ZINC01174928	O=Cc1ccc(OCc2ccc(C(=O)[O-])cc2)c(I)c1
ZINC05838578	O=C1C(Cl)C(c2ccc([N+](=O)[O-])cc2)N1n1cnc2ccccc2c1=O
ZINC07384750	Cc1cc(-n2c(C)cc(C(=O)Cn3nc(C)c(C)c(C#N)c3=O)c2C)no1
ZINC08232354	Cc1cccc2nc(C(=O)N3CC(C(=O)N4CCOCC4)Oc4ccccc43)cn12
ZINC09134755	CC(=O)N1C(=O)C2(CC(c3ccc4c(c3)OCO4)=NN2C(C)=O)c2ccccc21
ZINC12923331	Cn1ncc2c(N3CCN(S(=O)(=O)c4ccccc4Cl)CC3)ncnc21
ZINC08216836	O=C(C1CN(C(=O)c2cn3ccccc3n2)c2ccccc2O1)N1CCOCC1
ZINC13557437	O=C(/N=C1\SC2CS(=O)(=O)CC2N1Cc1ccc2c(c1)OCO2)C1CCCO1
ZINC15015932	CC(=O)N(C(C)=O)N1C(=O)/C(=C/c2cc([N+](=O)[O-])ccc2Cl)SC1=S
ZINC15775431	Cc1cc(C)nc(N2C=CC3C(=O)C2C2C=CC(=O)C3N2c2nc(C)cc(C)n2)n1
ZINC19118217	CC1(C)Cc2c(c(N3CCOCC3)nc3sc4c(ncn5ncnc45)c23)CO1
ZINC19374495	O=C(CN1C(=O)N2CCN=C2c2cnn(-c3ccccc3)c21)N1CCc2ccccc21
ZINC20601012	Cc1ncc2c(c1-c1noc(-c3ccco3)n1)CCN(C(=O)C1CCCO1)C2
ZINC21533215	Cc1nc(N2CCCC(C(=O)N(C)Cc3ccco3)C2)c2c(C)noc2n1
ZINC22768357	Cc1cccc(-n2ncc3c(=O)n4c(nc32)SCC4CC(=O)N2CCN(C)CC2)c1
ZINC36734997	CC1CCc2c(sc3ncn4c(=O)n(CC(=O)N5CC(C)OC(C)C5)nc4c23)C1
ZINC38770770	CC1CN(C(=O)CSc2nnc3ccc(-c4ccco4)nn23)CC(C)O1
ZINC39518937	CCC(C)C(=O)N1CCc2c(cnc(C)c2-c2noc(C3C=CN=N3)n2)C1
ZINC39532153	Cc1cnc(C(=O)N2CCC3=NN=C(c4ccc5c(c4)OCO5)C3C2)cn1
ZINC40115107	O=C(C1CC1[N+](=O)[O-])N1CCN(S(=O)(=O)c2ccc(F)c(F)c2)CC1
ZINC40145354	Cc1nc2c3ccccc3nc(CCN3C(=O)c4ccccc4N4C(=O)CCC34C)n2n1
ZINC42697495	CN(C(=O)Cn1c(Br)nc2c(=O)n(C)c(=O)n(C)c21)C1=CCCC1
ZINC43851358	O=C(CSc1nnc2n1CCCCC2)N1CCN(c2cnccn2)CC1
ZINC44098879	CC1Oc2ccccc2OC1C(=O)N1CCC(c2nnc(-c3ccco3)o2)CC1
ZINC44649413	CC1=NC(=O)C2=C(C)C(C(=O)OCc3cc(=O)n4ccsc4n3)SC2=N1
ZINC54042025	Cc1nc(N2CCN(S(=O)(=O)c3ccccc3F)CC2)c2cnn(C)c2n1
ZINC56932922	Cc1cnc(-n2nnc(C(=O)N3CCn4c3nc3ccccc34)c2C)s1
ZINC56933828	Cc1c(C(=O)N2CCC3(CC2)OCCO3)nnn1-c1nc2c(s1)CCCC2
ZINC57022591	Cc1csc(N2CCCN(S(=O)(=O)c3ccc([N+](=O)[O-])cc3)CC2)n1
ZINC18077997	O=C(Cc1cn2ccsc2n1)N1CCN(c2ccccc2[N+](=O)[O-])CC1
ZINC26759435	Cc1cc(N2CCN(S(=O)(=O)c3ccc(F)cc3F)CC2)n2ncnc2n1
ZINC15143368	Cc1noc(C)c1S(=O)(=O)N1CCN(c2ncnc3sccc23)CC1
ZINC29250074	CC(C)n1ncc2cc(C(=O)N3CCCC3c3nnc4n3CCCCC4)cnc21
ZINC58426306	O=C(c1ccc2c(c1)OCCO2)C1CCN(C(=O)C2CC2[N+](=O)[O-])CC1
ZINC08140392	Cc1noc(C(C)C)c1C(=O)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1
ZINC63247244	Cc1nc(N2CCN(c3ncccn3)CC2)c2cnn(-c3ccc(F)cc3)c2n1
ZINC39958705	O=C(CCc1nc2ccccc2s1)N1CCN(C2N=CN=C3N=CN=C32)CC1
ZINC63818160	Cc1noc2nc(C(C)C)cc(C(=O)/N=C3\N=NC(C4CCCO4)S3)c12
ZINC64566172	Cn1nc(-c2nc(-c3ccccc3F)no2)c2c1CCN(C(=O)c1cccnc1)C2
ZINC64893449	Cn1nc(C(=O)N2CCOCC2)c2c1CCN(S(=O)(=O)c1cccc(Cl)c1)C2
ZINC65196788	Cc1nc(-c2ccccn2)cc2nn(CC(=O)N(C)c3ccccc3)c(=O)n12
ZINC65225630	O=S(=O)(c1ccc2c(c1)OCCO2)N1CCCn2nc(-c3ccncc3)cc2C1
ZINC66717584	CN(C)c1nnc(S(=O)(=O)CC(=O)N2CCOC3CCCCC32)s1
ZINC66770485	O=C(Cc1ccc(-n2cnnn2)cc1)N1CCCC1c1cccc2c1OCCO2
ZINC66868373	Cc1cc(C)n2ncc(C(=O)C(C#N)c3nnc(-c4ccccc4)n3C)c2n1
ZINC66884732	CC(OC(=O)C1=CN2CCS(=O)(=O)N=C2C=C1)c1ccc2c(c1)OCCO2
ZINC67046935	O=C(c1cc2c(cc1[N+](=O)[O-])OCCO2)N1CCCC(c2nccs2)C1
ZINC67138038	Cc1ncc(CN(C)C(=O)c2nnn(-c3ccc4c(c3)OCCO4)c2C)s1
ZINC08939972	O=C(Cc1csc(SCc2ccccc2F)n1)Nc1nc2ccc([N+](=O)[O-])cc2s1
ZINC08946456	CSc1nc(N2CCCC2)c2cnn(CCNC(=O)c3ccc(C(C)(C)C)cc3)c2n1
ZINC09072616	CCn1c(SCC(=O)NC(C)c2ccc3c(c2)OCO3)nnc1-c1ccc(Cl)cc1
ZINC02235343	C=CCNC(=O)/C(C#N)=C/c1c(Oc2ccc(C(C)(C)C)cc2)nc2c(C)cccn2c1=O
ZINC09174160	COc1ccc(C)cc1S(=O)(=O)Nc1ccc2c(c1)N(CCC(C)C)C(=O)C(C)(C)CO2
ZINC02620363	CC(NC(=O)CSc1nnc(-c2ccc3c(c2)OCO3)n1-c1ccccc1)c1ccccc1
ZINC10022026	CC(OC(=O)c1ccc([N+](=O)[O-])cc1Cl)C(=O)NC(C)c1ccc(Cl)cc1Cl
ZINC10087305	Cc1ccc(NC(=O)COC(=O)/C=C/c2ccc(Cl)c([N+](=O)[O-])c2)c(Br)c1
ZINC10524725	O=C(COC(=O)/C=C/c1ccc(Br)cc1)Nc1ccc(Cl)cc1[N+](=O)[O-]
ZINC10993547	Cc1cc(NC(=O)C(C)Sc2nnc(-c3ccccc3Cl)n2Cc2ccccc2)on1
ZINC11811711	COc1ccc(-c2noc(CCC(=O)Nc3nc(-c4cc(C)ccc4C)cs3)n2)cc1
ZINC11915935	CCOC(=O)c1c(NC(=O)c2cc(-c3ccc(Cl)cc3)on2)sc(C(C)=O)c1C
ZINC12016319	Cc1ccc(C(C)NC(=O)COC(=O)c2ccc(Br)c([N+](=O)[O-])c2)cc1C
ZINC10246150	Cc1ccccc1-n1c(C)nnc1SCC(=O)Nc1cc(C(C)(C)C)nn1-c1ccccc1
ZINC13368587	CCCc1nn2c(=O)cc(COc3ccc(NC(=O)c4ccccc4Cl)cc3)nc2s1
ZINC14501992	CCCn1nc(C(=O)Nc2nc(-c3ccc(OCC)cc3)c(C)s2)c2ccccc2c1=O
ZINC14994032	CCCc1cc(C(=O)NCC2Cc3cc(-c4ccnc(SC)n4)cc(Cl)c3O2)n(C)n1
ZINC15019318	CCn1c(SCC(=O)Nc2nc(-c3ccccc3)cs2)nnc1-c1cc2ccccc2o1
ZINC09061647	COc1ccc(-c2csc(NC(=O)CCc3nc(-c4ccc(Cl)cc4)no3)n2)cc1
ZINC15641615	Cc1nc2c(cnn2C(C)C)c(C)c1CCC(=O)Nc1ccnn1Cc1ccc(Cl)cc1
ZINC16346654	CCOC(=O)c1c(NC(=S)N2CCN(c3ncccn3)CC2)sc2c1CCCCCC2
ZINC16573553	O=C(NCCc1ccccc1)c1cc(-c2ccccc2F)nn1-c1ccc([N+](=O)[O-])cc1
ZINC16807941	CCOc1ccc(-c2nnc(S)n2N/N=C/c2ccc(OC)c(Br)c2)cc1
ZINC16957161	COC(=O)/C=C1/S/C(=N\c2ccccc2)N(CCc2c[nH]c3ccc(OC)cc23)C1=O
ZINC17195578	CC(C)c1ccc(OCCn2cccc2/C=C2\C(=O)N(c3ccc(F)cc3)C(=O)N=C2O)cc1
ZINC19392585	Cc1cc(C)cc(-c2nnc(SCC(=O)NC(c3ccc4c(c3)OCCO4)C(C)C)o2)c1
ZINC21537810	CCOc1ccc(-c2c(C)nn3c(C)c(C(=O)Nc4ccccc4Cl)cnc23)cc1OCC
ZINC22148681	CCc1cccc2c(C(=O)C(OC(=O)c3nn(C)c(=O)c4ccccc34)c3ccccc3)c[nH]c12
ZINC22418109	CN(C)c1ccc(C(CNC(=O)c2ccc([N+](=O)[O-])cc2Cl)N2CCc3ccccc32)cc1
ZINC28185890	Cc1ccc(CNC(=O)c2nnc(/C(Cl)=C/c3ccc(C(C)C)c([N+](=O)[O-])c3)s2)cc1
ZINC28293083	CC1(C(=O)OC(C(=O)Nc2ccc([N+](=O)[O-])cc2Cl)c2ccccc2)CC1(Cl)Cl
ZINC35697225	C=CCOC(=O)C1=C(C)N=C2SC=C(/C=C(\[O-])N3CC[NH+](C)CC3)N2C1c1cccc(C)c1
ZINC25078656	CC(Sc1nnnn1CCc1cccs1)c1nc2scc(-c3ccccc3)c2c(=O)[nH]1
ZINC36502925	CC(C)=CC(=O)N(Cc1ccco1)C(C(=O)NC1CCCCC1)c1ccc2c(c1)OCO2
ZINC12621202	O=C(COC(=O)c1cn(-c2ccccc2)nc1-c1ccccc1)Nc1ncc(Cl)cc1Cl
ZINC38708122	COc1ccc(/C=C/C(=O)Nc2ccc3c(c2)N(CC(C)C)C(=O)C(C)(C)CO3)cc1OC
ZINC39895084	Cc1ccc(-n2nnnc2SCC(=O)Nc2ncc(Cc3ccc(Cl)cc3)s2)cc1
ZINC40169856	CCC(Sc1nnc2ccc3ccccc3n12)C(=O)Nc1sc(C)c(C)c1C(=O)OC
ZINC40854718	CC(CNC(=O)C1CCN(c2cc(-n3nccc3-c3ccccc3)ncn2)CC1)c1ccccc1
ZINC40994609	COc1ccc(OCC(=O)Nc2sc(C)c(C)c2-c2nc(-c3ccccc3)no2)cc1
ZINC41000790	COc1ccc(/C=C/C(=O)Nc2sc(C)c(C)c2-c2nc(-c3ccccc3)no2)cc1OC
ZINC45353129	COc1cc(OC)c(NC(=O)CSc2nnc(-c3ccc(Cl)cc3)n2C)cc1Cl
ZINC15443524	O=C(CN1CCN(c2ccccc2[N+](=O)[O-])CC1)NC(c1ccc(F)cc1)c1cccs1
ZINC49507932	CC(C)CCN1C(=O)C(C)(C)COc2ccc(NC(=O)c3ccc(Cn4ccnc4)cc3)cc21
ZINC28707140	O=C(NC1CC1)c1ccc(N2CCN(C(c3ccccc3)c3ccccc3)CC2)c([N+](=O)[O-])c1
ZINC19646849	COC(=O)Cc1nn(-c2ccc(OC)cc2)c(O)c1/C(C)=N/c1ccc(Cl)c(Cl)c1
ZINC20193765	Cc1csc(NC(=O)CSc2nnc(-c3cc4ccccc4o3)n2Cc2ccccc2)n1
ZINC35531981	CCCCn1c(=O)c2sccc2n2c(SCC(=O)Nc3cc(C)ccc3C)nnc12
ZINC35528057	Cc1cccc(-c2noc(-c3cccnc3N3CCC(C(=O)NCCc4ccccc4)CC3)n2)c1
ZINC64943809	CCc1ccccc1NC(=O)Cn1nc(S(=O)(=O)c2ccc(C(C)C)cc2)ccc1=O
ZINC00184775	O=c1oc(-c2ccco2)nc2ccc(Br)cc12
ZINC04414416	CC1Cc2ccccc2N1Cc1nnc(-c2ccccc2)o1
ZINC01735527	COC1CCC(/C(C#N)=C/C2CCC3OCOC3C2)CC1
ZINC02419680	CSc1nc2sc3c(c2c2ncnn12)CC(C)CC3
ZINC05641597	Cc1nn(C)c2c1C(c1ccc(Cl)cc1)SCC(=O)N2C
ZINC05733479	O=Nc1c(Br)ccc(Br)c1N=O
ZINC02806294	CC(C)(C)C1CCc2onc(C(=O)N3CCSCC3)c2C1
ZINC10151066	CC(=O)c1nc2ccccc2n1C(=O)C(Cl)(Cl)Cl
ZINC06700592	O=S(=O)(c1ccc(C2CCCCC2)cc1)n1ccnc1
ZINC19957352	CC1CC(=O)c2cnc(N3c4ccccc4CC3C)nc2C1
ZINC32540643	Cc1ccc2c(=O)n(C(C)Cc3ccncc3)cnc2c1C
ZINC32553776	O=C(CCCl)N1CCC(c2nc3ccccc3o2)CC1
ZINC32772279	Cc1sc(-c2ccco2)nc1C(=O)N1CCCCC1C
ZINC34773047	CCN(CC)c1ncnc2c3c(sc12)CC(C)(C)OC3
ZINC35369582	O=C(c1ccoc1)c1cc2c(cc1Br)OCCCO2
ZINC36321767	N#CCc1c(-c2ccncc2)nc2cccc(Br)n12
ZINC36916642	CC(=O)c1nnn(-c2c(F)cc(F)cc2Br)c1C
ZINC37176520	Fc1cc(F)c2c(c1)CCCN2Cc1nc(C2CC2)no1
ZINC37328359	Cc1sc2nc(CN3CCOC(C)C3)nc(Cl)c2c1C
ZINC37355639	N#CC(c1cc(Br)c2c(c1)OCO2)N1CCCCC1
ZINC37640542	CC(C)CCn1c(=O)n(C)c(=O)c2c3c(sc21)CCC3
ZINC00453721	Cc1nc2ccccc2c(=O)n1/N=C/c1ccccc1Cl
ZINC05007067	Cc1noc(C(=O)N2CC3(C)CC2CC(C)(C)C3)c1Cl
ZINC38676241	CC1(C)CC2=C3C(=O)N=C(c4cccs4)N=C3SC2CO1
ZINC38688775	CC1(C)CC2=C3C(=O)N=C(C4CCCCC4)N=C3SC2CO1
ZINC39621077	CC1=C2C(=O)N=C(C(C)N3CCCCC3C)N=C2SC1C
ZINC40159696	CC1CCCCN1C(=O)/C=C/c1c(Cl)nc2sccn12
ZINC41210996	Cn1nc(C(=O)N2CCc3ccccc32)cc1-c1cccs1
ZINC41536153	N#CC(c1ccc2c(c1)OCCO2)N1CCc2ccccc2C1
ZINC44644408	CC(c1ccc(F)cc1F)N1C(=O)c2ccccc2S1(=O)=O
ZINC45136269	CC(Cl)c1nc2c(F)cccc2n1Cc1cnn(C)c1
ZINC48601169	Cc1csc(SCc2cn3c(C)cc(C)nc3n2)n1
ZINC48797691	C/C=C\C=C\C(=O)N1CCN(c2cccc(Cl)n2)CC1
ZINC49179742	CC1CN(C(=O)/C=C/c2ccc(Br)o2)CC(C)(C)O1
ZINC49321443	Cc1cn2nc(N(C)C(C)c3ccc(C)s3)sc2n1
ZINC49425017	CC(C#N)CN(C)C(=O)C1COc2ccc(Cl)cc2C1
ZINC51362949	Cc1occc1C(Br)c1ccc2c(c1)oc(=O)n2C
ZINC54677683	Cc1noc(C2CCCN(Cc3ccc(Cl)cc3)C2)n1
ZINC54743975	CC(c1ccc(Cl)cc1Cl)n1nnnc1CCl
ZINC13228780	Cc1nc2c3ccccc3nc(SC/C=C/Cl)n2n1
ZINC57654421	BrCc1cc(-c2ccc3c(c2)OCCCO3)on1
ZINC46571228	Cc1oc(-c2cccs2)nc1C(=O)N1CCCC(C)C1
ZINC61629205	Cc1ccc(-n2nc(C(F)F)c(CCl)c2Cl)nn1
ZINC62980042	CCC1CCC(C#N)C(N2CCC(N3CCOCC3)C2)C1
ZINC64555583	CC(C)c1cc(C2CCCN2C(=O)c2cccs2)no1
ZINC64676570	Cc1ccc(-c2nc(C(=O)N3CCc4ccccc43)cs2)n1C
ZINC65385829	O=C(C1C=C(C2CC2)N=N1)N1CC=C(c2ccccc2)CC1
ZINC65815444	O=C(C1CCCN1C(=O)C1CC1)N1CC2CC3CC(C2)CC1C3
ZINC56226170	CN(C(=O)c1ccc2c(c1)OCO2)c1ccc(F)c(F)c1
ZINC67630608	Cn1c(=O)n(C/C=C/c2ccccc2)c(=O)c2ccccc21
ZINC00728479	CC1=NC2=C(C(=O)CCC2)C(c2cccc(I)c2)C1C#N
ZINC01104049	O=C1/C(=C/c2ccc(Br)o2)SC(=S)N1Cc1ccc(F)cc1
ZINC04492576	Cc1nn(C(=O)c2ccccc2I)c(C)c1Br
ZINC01013940	O=C1S/C(=C\C(Br)=C\c2ccccc2)C(=O)N1c1ccccc1
ZINC02329702	CC1Cc2cc(/C=C3\SC(=S)N(C(C)c4ccccc4)C3=O)ccc2O1
ZINC01053581	Cc1cc(C(=S)N2CCOCC2)c(C)n1-c1ccc(Cl)c(Cl)c1
ZINC04802467	O=[N+]([O-])c1ccc(I)cc1I
ZINC01610396	Cc1c(F)c(I)c(Br)c(C)c1[N+](=O)[O-]
ZINC01462605	BrCC1Cn2c(nnc2-c2ccc(Br)cc2)S1
ZINC06507210	O=S(=O)(c1c(F)cc(F)cc1Br)N1CCCc2ccccc21
ZINC08079495	Cc1csc(/C(C#N)=C/c2ccc(-c3ccc(Br)cc3)o2)n1
ZINC08086199	O=C(/C=C/c1ccccc1F)N1CCC(c2nc3ccccc3s2)CC1
ZINC11364436	O=c1c2c3c(sc2ncn1Cc1ccc(F)cc1Br)CCC3
ZINC01446295	CC1(C)SC(=S)N(c2ccccc2)C1/[N+]([O-])=C/c1ccc(Cl)cc1
ZINC12563075	Cc1c(Br)c(-c2ccc(S(C)(=O)=O)cc2)nc2ccccc12
ZINC12551157	Brc1ccc(-c2nncn2-c2ccc(Br)cc2)cc1
ZINC13540339	CC1Cc2cc(/C=C3/SC(=S)N(C(C)c4ccccc4)C3=O)ccc2O1
ZINC15593790	O=C(c1ccc(Br)o1)N1CCc2sccc2C1c1cccs1
ZINC18195792	O=C1CCCC2=C1C(c1ccc(Br)s1)C1=C(CCCC1=O)O2
ZINC19894216	CCN1C(=O)/C(=C/C=C2\Sc3sc4ccccc4c3N2CC)SC1=S
ZINC30265692	CC1c2cccn2CCN1C(=O)c1cc(Br)c(Br)s1
ZINC31656137	CC1Cc2ccccc2N1C(=O)COc1ccccc1I
ZINC33811557	Cc1ccc(S(=O)(=O)N2CCc3ccccc3C2C2CCSC2)cc1
ZINC38790991	O=c1ccc(-c2ccc(Br)cc2)nn1Cc1cc(F)ccc1F
ZINC39457066	CSc1c2c(n(SC)c1C)-c1nc3ccccc3c(F)c1C(=O)CC2
ZINC39458382	CSc1ccnc2c1C(=O)CCc1c(Cl)c(C)n(Cc3ccccc3)c1-2
ZINC39524685	CSC1CCCC2(CCCC(S(=O)(=O)c3ccccc3)N2Cl)C1
ZINC39525750	CC(C)S(=O)(=O)C1CCCC2(CCCC(Cl)C2)N1Br
ZINC39526341	CC(C)S(=O)(=O)C1CCCC2(CCCC(F)C2)N1I
ZINC39526344	CC(C)S(=O)(=O)C1CCCC2(CCCC(F)C2)N1I
ZINC40091084	CN(Cc1ccc(Br)o1)C(=O)c1ccc(Br)s1
ZINC42260069	O=S(=O)(c1ccc(Br)s1)N1CCSc2ccccc21
ZINC42306038	O=S(=O)(c1ccc(Br)s1)N1CCc2sccc2C1C1CC1
ZINC43220895	CCN(CC)P1Oc2ccc3c(c2C2=c4ccccc4=CCC2O1)=CCCC=3
ZINC43220916	Cc1cc2c(c3c1OP(N(C)C)OC1C3=c3ccccc3=CC1C)=CCCC=2
ZINC44731115	Cc1cc(C(C)n2c(CCl)nc3cc(Br)ccc32)c(C)o1
ZINC48441905	CN(c1ccc(F)cc1)S(=O)(=O)c1c(F)cc(F)cc1Br
ZINC48444091	CN(C1CCCc2ccccc21)S(=O)(=O)c1sccc1Br
ZINC48961900	Cc1cc(S(=O)(=O)N(C)c2ccc(Br)cc2C)c(C)s1
ZINC50045396	CC1CCN(C(=O)c2cc(Br)cnc2Cl)C2CCCCC12
ZINC50359122	O=C1CCCc2nc(-c3cc(Br)c(Br)o3)sc21
ZINC50593769	Cc1nn(C(C)C(=O)c2ccc(Cl)cc2Cl)c(C)c1Br
ZINC52224752	BrCc1cn(-c2cc(Br)ccc2Br)nn1
ZINC57974585	O=C(Cc1csc(-c2ccsc2)n1)N1CCCSc2ccccc21
ZINC27551043	CCN1C(=O)/C(=C/C=C2\Sc3c(ccc4c3CCCC4)N2CC)SC1=S
ZINC59928855	C=C(Br)Cn1cnc2scc(-c3ccc(C)c(C)c3)c2c1=O
ZINC60090571	Brc1ccc(C2CN(Cc3nc4ccccc4s3)CCO2)cc1
ZINC61673644	Brc1cc2c(cc1C(Br)C1CCOCC1)OCCCO2
ZINC62242289	Brc1cc2c(cc1C(Br)C1CCCOC1)OCCCO2
ZINC66689002	O=C(Cc1ccc(F)c(Br)c1)N1CCOC(c2ccccc2F)C1
ZINC00344067	O=C1c2cccc3c2N(CCC3)C(=O)C1(F)c1ccccc1
ZINC00344066	O=C1c2cccc3c2N(CCC3)C(=O)C1(F)c1ccccc1
ZINC01077327	CC(=O)N1N=C(c2cccs2)CC1c1sccc1C
ZINC01612288	CN(C)c1c2c(oc(=O)c1Cl)-c1ccccc1SCC2
ZINC04891500	CC(=O)C1=NN(c2ccccc2)/C(=C/c2ccccc2)S1
ZINC01935635	CC(=O)C(C)Sc1ncnc2sc3c(c12)CCCC3
ZINC00390192	c1ccc2c(c1)CCN(c1ncnc3sc4c(c13)CCC4)C2
ZINC01093693	Cc1nn(C)c(C)c1/N=C/c1ccc(Br)cc1
ZINC06402030	Cc1nnc(S)n1-c1ccc(Br)cc1Cl
ZINC10449436	O=S(=O)(Cc1ccc(F)cc1)N1CCc2ccccc21
ZINC19721056	CC(C)c1csc(C(=O)N2CC3(C)CC2CC(C)(C)C3)n1
ZINC19801520	CN(C)c1nc2ccc(Br)cc2cc1CC#N
ZINC19927622	Cc1cnc(N2C(=O)C(C)SC2c2ccc(F)cc2)s1
ZINC19966848	CC(C)=CCN1C(=O)C(=O)c2cc(Br)ccc21
ZINC16603388	CCN1CCN(C(=O)CC23CC4CC(CC(C4)C2)C3)CC1
ZINC20902334	O=C1CCSc2c1cccc2C(=O)N1CCc2ccccc21
ZINC24879276	Fc1ccc(CN2CCc3nc4ncccc4cc3C2)cc1
ZINC24879546	Fc1ccc(CN2CCc3nc4cccnc4cc3C2)cc1
ZINC35683736	CC(=O)C1=C(c2ccc(-c3ccccc3)cc2)COC(=O)C1
ZINC35778750	Cc1nn(-c2cccc(Br)c2)c(Cl)c1C=O
ZINC36890446	ClCc1nc2cc(Cl)ccc2n1Cc1ccncc1
ZINC36894363	O=Cc1cn(-c2ccc(F)cc2F)nc1-c1cccs1
ZINC38537826	Cc1cc(C(F)(F)F)n(-c2cccc(Br)n2)n1
ZINC39325874	Cc1nsc2nc(-c3ccc(Br)cc3)cn12
ZINC39460088	COc1cnc2cc(SC)cc(I)n12
ZINC39521754	COC1CCCC2(CCCC(Br)C2)N1OC
ZINC39521902	COC1CCCC2(CCCC(Br)N2OC)C1
ZINC42151946	Clc1ccc2cccnc2c1CSc1nncs1
ZINC43298978	FC(F)(F)c1ccn(-c2ncccc2Br)n1
ZINC44123308	CN(C)S(=O)(=O)c1ccc2c(c1)Cc1ccccc1S2
ZINC45446585	CC1CN(C(=O)c2sc3ccccc3c2Cl)C(C)CO1
ZINC49066059	Fc1ccc(Cn2cc(Br)cn2)c2ncccc12
ZINC49078484	CC(C)C1CCCN1S(=O)(=O)c1ccc2c(c1)CCC2
ZINC49306675	CN(c1c(F)cccc1F)S(=O)(=O)c1cccs1
ZINC49534436	Cc1ccc2c(c1)nc(CCl)n2Cc1csc(C)n1
ZINC50127373	O=C(CN1C(=O)Cc2ccc(Cl)cc21)c1cccs1
ZINC50376026	COC1CCCC1n1c(C(C)Cl)nc2cc(C)ccc21
ZINC51608019	Cc1cc(C)nc(Sc2ncccc2Br)n1
ZINC52225160	Fc1cc(Cl)ccc1-n1cc(CBr)nn1
ZINC52225218	Fc1ccc(-n2cc(CCl)nn2)c(Br)c1
ZINC52225350	Fc1cc(F)c(-n2cc(CCl)nn2)c(Br)c1
ZINC54862015	CN(c1nc2c(s1)C(=O)CC(C)(C)C2)C1CCSC1
ZINC55303878	ClC(c1ccc2oc3ccccc3c2c1)C1COCCO1
ZINC59383892	CC(=O)C1=NN(c2c(Cl)cccc2Cl)C2C=CCC12
ZINC61919607	CC1CN(c2nc3ccccc3cc2CCl)CCCO1
ZINC63014143	Brc1cccnc1N1CCOc2ccccc2C1
ZINC65813816	Cc1nc(/C=C/C(=O)N2CC3CC4CC(C3)CC2C4)cs1
ZINC66269327	CC1CCCCN1C(=O)c1cnc(-c2cccs2)s1
ZINC39951363	CC(C)C12CCN3CC(C)(CN(C1)C31CCCCC1)C2=O
ZINC66580033	O=S(=O)(C1CCCCC1)N1CCCc2sccc2C1
ZINC01011375	O=C1S/C(=C\c2cccs2)C(=O)N1Cc1ccc(F)cc1
ZINC05041635	N#C/C(=C\c1ccncc1)c1nc2cc(C(F)(F)F)ccc2s1
ZINC03413790	Cc1ccc(CN(C)C(=O)c2cc(Br)ccc2Cl)o1
ZINC01712186	O=S(=O)(OC1CC2c3ccccc3C1C2Cl)c1ccccc1
ZINC01728607	O=S(=O)(Oc1ccccc1)c1c(F)c(F)c(F)c(F)c1F
ZINC02325733	CC(C)CN1C(=O)/C(=C/c2ccc3c(c2)CC(C)O3)SC1=S
ZINC12907919	Cc1ccc(Cl)c(OCC(=O)N2CCc3sccc3C2)c1
ZINC15008686	Cc1ccsc1/C=C1\SC(=O)N(Cc2ccc(F)cc2)C1=O
ZINC19783477	O=S(=O)(c1ccc2c(c1)CCCC2)N1CCCC1CCl
ZINC20775636	Fc1cccc(-c2noc3c2CN(Cc2ccsc2)CC3)c1
ZINC20915680	Fc1ccccc1C1CN(Cc2ccccn2)Cc2ccccc2O1
ZINC23958094	Cc1csc(SC(C)C(=O)N2CCSc3ccccc32)n1
ZINC24505628	Cc1ccc(-c2csc3ncn(C/C=C/Cl)c(=O)c23)s1
ZINC29390838	CN(C1CCc2ccccc21)S(=O)(=O)c1ccc(F)c(F)c1
ZINC08131653	CC(c1nc2ccccc2s1)N(C)C(=O)c1ccccc1F
ZINC39522319	CSN1C(F)CCCC12CCCC(S(=O)(=O)C(C)C)C2
ZINC39523706	CSC1CCCC2(CCCC(S(=O)(=O)C(C)C)C2)N1F
ZINC39524063	CSC1CCCC2(CCCC(S(=O)(=O)C(C)C)N2F)C1
ZINC39527837	CSC1CCCC2(CCCC(F)N2S(=O)(=O)C(C)C)C1
ZINC40018691	CCC(C)N1C(=O)/C(=C/c2ccc3c(c2)CC(C)O3)SC1=S
ZINC42270429	Cc1ncsc1C(=O)N(C)Cc1ccc(Br)cc1
ZINC42462624	CC1(C)COCCN1CC(=O)c1ccc(Br)s1
ZINC44350569	Cc1ccc(C(C)N(C)C(=O)c2ccc(Br)o2)s1
ZINC44448712	O=C(N1CCN(CC(F)(F)F)CC1)C12CC3CC(CC(C3)C1)C2
ZINC45028731	COc1cccc(C(=O)c2ccccc2I)n1
ZINC47658564	O=S(=O)(Cc1nc2ccccc2s1)c1ccc(F)cc1F
ZINC48312678	Cc1cc(S(=O)(=O)N(C)C2CCCc3ccccc32)c(C)s1
ZINC48483027	O=S(=O)(Cc1nc2ccccc2s1)c1ccc(Cl)cc1
ZINC48820662	COc1ccc(Br)cc1/C=C/C(=O)N1CC2CCC1C2
ZINC48945444	Cc1occc1CN(C)C(=O)c1ccc(Br)cc1Cl
ZINC49035812	C/C=C/C=C/C(=O)N1CCOC(c2ccc(Br)cc2)C1
ZINC49151570	Cc1nn(C)c(C)c1C(=O)/C=C/c1ccc(Br)s1
ZINC49534377	Cc1nc(C)c(C(C)n2c(CCl)nc3c(F)cccc32)s1
ZINC49534385	Cc1ncc(Cn2c(C(C)Cl)nc3cc(Cl)ccc32)s1
