ZINC00178939	NC(=O)c1c(NC(=O)c2cccnc2Cl)sc2c1CCCCC2
ZINC52906730	CC(C)c1ccccc1Oc1cccc(Cl)c1C(N)=[NH2+]
ZINC53096133	OCC1([NH2+]Cc2c(O)ccc3ccccc23)CCCCC1
ZINC53116183	Cc1cc(C[NH2+]C2(CO)CCCC(C)C2)cc(C)c1O
ZINC54111844	CC[NH+](C)CCNc1ccc(N)cc1Br
ZINC58839737	CC(C)CNC(=S)NC1CC(C)(C)[NH2+]C(C)(C)C1
ZINC61368200	[NH2+]=C(NC1CCCCC1)NC1CCCc2sccc21
ZINC61440031	Cc1ccc2nc(SC(c3sccc3C)C(C)[NH3+])[nH]c2c1
ZINC61709923	CCC([NH3+])C(c1ccc(Br)cc1)N1CCC(O)C1
ZINC61856742	CCN(c1cccc(F)c1)c1ccc(C(N)=[NH2+])c(Cl)c1
ZINC62014797	CC(c1ccccc1F)N(C)c1ccc(C(N)=[NH2+])c(Cl)c1
ZINC62671035	NNC1CC2CCC(C1)[NH+]2CCc1ccc(Cl)cc1
ZINC62788973	CCN(c1ccc(F)cc1)c1cc(Cl)ccc1C(N)=[NH2+]
ZINC62954301	CCC1(CC)CCN(c2ccc(C(N)=[NH2+])cc2Cl)CC1
ZINC63067248	CC1(C)CCC[NH+]1CC(O)c1ccc(C(N)=S)cc1
ZINC63092447	CC(CC(N)=[NH2+])N(C)c1c(F)c(F)c(F)c(F)c1F
ZINC63099356	Nc1c[nH+]c2ccc(Br)cc2c1NCCC(F)(F)F
ZINC03895635	CCOC(=O)C(C)NC(=O)C(NC(=O)C1CCC(CC)CC1)C(C)C
ZINC03902557	C=CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(N(CC)CC)cc1
ZINC04210793	C=CCOc1cccc(/C=N/NC(=O)CNC(=O)c2cccc(C)c2)c1
ZINC04536221	CCCOCCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1C
ZINC04794701	COC(=O)C(NC(=O)OC(C)C)(Nc1ccccc1C)C(F)(F)F
ZINC02725882	C=CCNC(=O)NC(=O)COC(=O)c1ccccc1Cc1ccccc1
ZINC03576016	COCCNC(=O)CSc1nnc(Nc2ccc(C)c(C)c2)s1
ZINC02237632	CCCc1cc(NCCOCCO)n2nc(C)c(-c3ccccc3)c2n1
ZINC08107716	CCc1ccc(OC(C)C(=O)NNC(=O)COc2ccc(C)cc2)cc1
ZINC08144008	O=C(CC1C=CCC1)NCCNc1ccc(C(F)(F)F)cc1[N+](=O)[O-]
ZINC12419216	CCCC(=O)NC(Nc1ccc(C)cn1)(C(=O)OCC)C(F)(F)F
ZINC21256867	CCCCNC(=O)c1sc(NC(=O)CC)c(C(=O)OCC)c1C
ZINC22133529	CCC(C)NC(=O)COC(=O)c1sc(NC(=O)C(C)(C)C)cc1C
ZINC23540224	CCCN(CC1CC1)C(=O)COC(=O)c1cc(Cl)c(N)cc1OC
ZINC06439773	CCOc1ccc(C(=O)O/N=C(/N)c2ccc(C)cc2)cc1OCC
ZINC38652004	COCCOCCCNc1ccc(O)c2c1C(=O)c1ccccc1C2=O
ZINC40161503	C=C(C)CN(CC)CC1=C(C(=O)OCC)C(c2ccccc2)NC(=O)N1
ZINC40681423	CCCOC(=O)c1ccc(N)c(OCCC(=O)N2CCC(C)CC2)c1
ZINC42153486	CCCCCOc1ccc(S(=O)(=O)N2CCCC2)cc1C(N)=O
ZINC29325808	COc1cc(NC(C)C(=O)NCCC(C)C)cc(OC)c1OC
ZINC22266040	COc1ccc(C(C)C)cc1S(=O)(=O)NC(C)C(=O)NCC(C)C
ZINC45707203	CNS(=O)(=O)c1ccc(CNC(=O)N(CCC(C)C)C2CC2)cc1
ZINC14062670	CCCC(C)NC(=O)CCNc1ccc(C(F)(F)F)cc1[N+](=O)[O-]
ZINC31514555	COc1cc(C(C)NC(=O)CNC(=O)C(C)(C)C)ccc1OC(C)C
ZINC48193403	CC(C)Oc1ccccc1NC(=O)NCCCOCc1ccco1
ZINC48650571	CCCCCC(C)NC(=O)C(=O)Nc1cc(Cl)c(OC)cc1OC
ZINC50207803	CCCC(OC(=O)CNC(=O)NCc1ccco1)c1ccccc1
ZINC50784036	CCOc1ccc(Cl)cc1NCC(=O)N(C)CC(=O)NC(C)(C)C
ZINC52496680	CC(C)COCCCNC(=O)Nc1nnc(-c2ccsc2)s1
ZINC56885543	C=CCN(Cc1ccccc1F)C(=O)NCCNc1ncccc1C#N
ZINC56915431	C=CCN(Cc1ccc(OC)cc1)C(=O)NCCC(=O)NC(C)CC
ZINC58104826	COCCCC(=O)NCC1(NC(=O)OC(C)(C)C)CCCCCC1
ZINC60081997	CCOC(=O)c1ccc(NCC(O)COc2c(C)cccc2C)nc1
ZINC60935208	CCOC(=O)C1=C(CN(Cc2ccccc2)C(C)CC)NC(=O)NC1
ZINC61105931	COc1cccc(C(=O)Oc2cccc(CC(N)=O)c2)c1OC(F)F
ZINC50972712	CCCCCOC(=O)c1cc(Cl)c(OCC(N)=O)c(OC)c1
ZINC58278451	CCC(Sc1nnc(-c2ccc(N(CC)CC)cc2)n1C)C(N)=O
ZINC65283093	CCCNC(=O)C1CCCN(C(=O)NCCCOC2CCCCC2)C1
ZINC65456114	CCN(C(=O)NCCNS(=O)(=O)Cc1ccccc1)C(C)C(C)C
ZINC65887455	Cc1ccccc1OCCCSCc1nc(N)nc(N(C)C)n1
ZINC66238345	CCc1ccc(OCC(O)CN2C(=O)NC(C)(CC(C)C)C2=O)cc1
ZINC66598418	CCOc1c(OC)cc(CNC(=O)NCC2(C)CCCC2)cc1OC
ZINC66650751	Cc1occc1C(=O)NCC(=O)NCCOc1ccccc1C(C)(C)C
ZINC66699207	CCCN(Cc1ccccc1O)C(=O)NCc1cccnc1OCC
ZINC67287248	O=C(NCCCOCC1CC1)Nc1ccc(-n2cccn2)c(Cl)c1
ZINC67333985	O=C(CCCNc1ccc([N+](=O)[O-])cc1)NC1CC1c1cccc(F)c1
ZINC67340040	CCC(C)c1ccccc1OCC(=O)NCCNC(=O)OC(C)(C)C
ZINC67380977	CC(C)CCCC(C)NC(=O)NCCCc1nnc2n1CCCCC2
ZINC67468416	CCC(C)NC(=O)CN1CCN(C(=O)NCCSC(C)(C)C)CC1
ZINC67573112	COC(C)c1cccc(NC(=O)NCc2ccnc(OCC3CC3)c2)c1
ZINC04113578	CCc1ccc(C2NC(=O)NC(C)=C2C(=O)OCCOC)cc1
ZINC04113579	CCc1ccc(C2NC(=O)NC(C)=C2C(=O)OCCOC)cc1
ZINC03764530	CC(C)C(NC(=O)Cc1cccs1)C(=O)N/N=C/c1ccco1
ZINC04798533	C=CCN(CC(=O)Nc1ncc(C)s1)C(=O)NCCCC
ZINC04993923	C=CCOc1ccccc1C1NC(=O)NC(C)=C1C(=O)OCC
ZINC02215487	CCOCCCNc1ncnc2c1[nH]c1ccc(OCC)cc12
ZINC05702994	C/C=C/C=C/C(=O)OCc1c(C(=O)OCC)sc(N)c1C#N
ZINC06396448	CCC(C)c1ccccc1OCC(=O)NNC(=O)c1ccco1
ZINC06948382	CCOc1ccc(OCc2ccc(/C=C(\C#N)C(N)=O)o2)cc1
ZINC05564174	CCCNC(=O)NC(=O)COC(=O)/C=C/c1c(F)cccc1Cl
ZINC11808285	CCCc1nnc(SC(C)C(=O)c2[nH]c(C)c(C(C)=O)c2C)[nH]1
ZINC11808286	CCCc1nnc(SC(C)C(=O)c2[nH]c(C)c(C(C)=O)c2C)[nH]1
ZINC20209283	CCCc1cc(CNC(=O)c2ccc(NC(C)(C)C)nc2)on1
ZINC20905393	COCCSc1n[nH]c(N/N=C/c2cccc3ccccc23)n1
ZINC22356336	CCOC(=O)c1ccc(NCC(=O)NC(C)(C#N)C2CC2)cc1
ZINC03527726	C=CCNc1nc(C(=O)OCC(=O)NC2CCCCC2)cs1
ZINC00174127	CCOC(=O)c1cnc(S/C=C/C(=O)c2ccc(C)cc2)nc1N
ZINC06000839	CC(C)CCC(=O)OC(C)C(=O)NC(=O)NC1CCCCC1
ZINC40359057	CC(C)(C)c1ccc(OCc2n[nH]c(CC(=O)NC3CC3)n2)cc1
ZINC49203639	CCCNC(=O)C(C)NCc1ccc([N+](=O)[O-])cc1Br
ZINC49362445	COCCNC(=O)Nc1nnc(SCc2ccccc2F)s1
ZINC50632793	CCCC(C)NS(=O)(=O)c1c(NCC)nc2sccn12
ZINC50632833	CCCC(C)NS(=O)(=O)c1c(NCC)nc2ccccn12
ZINC50650804	CCCNc1nc2sccn2c1S(=O)(=O)NC(C)C(C)C
ZINC52502584	CC(CNC(=O)NC(c1ccccc1)c1ccco1)Cn1cccn1
ZINC55328785	CCCOc1ccccc1Oc1ncccc1CNC(=O)NC
ZINC57183130	CCOC(CC)C(=O)NNC(=O)C(C)Oc1cccc(C)c1C
ZINC26033134	CC(C)(C)c1ccc(OCc2nnc(SCCC#N)n2N)cc1
ZINC59501684	C=CCOc1cccc(/C=N/NC(=O)C(=O)NC2CCCCC2)c1
ZINC04389669	COC(=O)c1ccc(CO/N=C(\N)c2ccc(C(C)(C)C)cc2)o1
ZINC63847554	CC(C)CC(NCC1C=NN=C1c1ccc(F)cc1)C1NC=NN1C
ZINC64758781	CCCNC(=O)CCNc1c(-c2cccc(C)c2)nc2cnccn12
ZINC64758945	CCCNC(=O)CCNc1c(-c2ccccc2C)nc2cnccn12
ZINC64796782	Cc1c(Cl)cccc1NC(=O)CNC(=O)CN(C)CC(C)C#N
ZINC65378555	CCCC(C)NC(=O)C1CCCN(C(=O)NCCCOC)C1
ZINC66135196	CCOC(=O)c1c(C)nc(N)nc1COc1cccc(CC)c1
ZINC66138129	CCC(Oc1ccccc1)c1nc(N)nc(C)c1C(=O)N(CC)CC
ZINC66238274	Cc1cccc(OCC(O)CN2C(=O)NC(C)(CC(C)C)C2=O)c1
ZINC66367699	CCC(NC(=O)NC(c1ccccc1OC)c1nccn1C)C(C)C
ZINC67081662	CCC(NC(=O)NCCCc1nc(C)no1)C1CCCCC1
ZINC67107537	O=C(CCNc1ccccc1[N+](=O)[O-])NC1CC1c1cccc(F)c1
ZINC67132292	O=C(NCCNc1ccc([N+](=O)[O-])cc1)C1CC1c1cccc(F)c1
ZINC67147692	Cc1cccc(C)c1OCC(C)NC(=O)CNC(=O)c1ccoc1
ZINC67165190	CC1CCCCC1OCCNC(=O)CNC(=O)OC(C)(C)C
ZINC67293362	COCCOc1ccc(F)cc1NC(=O)NC(C)c1ccc(C)o1
ZINC67336038	CCCc1cc(C(=O)NCc2ccnc(OCC3CC3)c2)[nH]n1
ZINC67380967	CC(C)CCNC(=O)NC(C)c1cccc(S(=O)(=O)N(C)C)c1
ZINC67513896	O=C(CCNc1ccccc1[N+](=O)[O-])NC1CC1c1ccccc1
ZINC67634751	O=C(NCCCC(=O)OCC1CCCCO1)NC1CCCCC1
ZINC67640578	CC(OC(=O)c1cccc(OCC(N)=O)c1)c1cccc(C#N)c1
ZINC02639325	Cc1ccc(C(C)C)cc1OCC(=O)Nc1sccc1C(N)=O
ZINC02762750	CCc1c(C)sc(NC(=O)COc2ccc(C)cc2)c1C(N)=O
ZINC00511428	C/C(=N\NC(=O)COc1ccccc1C(C)C)c1cccc(N)c1
ZINC06744642	NC(=O)COc1ccc(NS(=O)C23CC4CC(CC(C4)C2)C3)cc1
ZINC14002239	O=C(Cc1ccc(Cl)cc1)NC(=S)NNC(=O)C1CCCCC1
ZINC14246237	CC(C)=CC1C(C(=O)NCCc2ccc(S(N)(=O)=O)cc2)C1(C)C
ZINC19175647	O=C(NNC(=S)Nc1ccccc1)c1ccc(-c2ccccc2F)o1
ZINC21657708	CCc1cccc(C)c1NC(=O)C(C)Oc1cc(C)ccc1C(N)=O
ZINC26803022	O=C(NNC(=S)NCC1CCCO1)c1cc2c(F)cccc2s1
ZINC28632993	O=C(NNC(=S)NC1CCCCC1)c1cccc(-n2cccc2)c1
ZINC29647352	Cc1cc(C)c(NC(=O)CNc2ccccc2C(=O)NC(C)C)c(C)c1
ZINC35320198	CCC(C)S(=O)(=O)CCC(=O)Nc1c(N)cc(Cl)cc1Cl
ZINC38079947	Nc1ccccc1OCCNS(=O)(=O)c1ccc(Cl)s1
ZINC06337003	CC1CCc2sc(C(=O)NNC(=S)NCC3CCCO3)cc2C1
ZINC40662468	CN(Cc1ccccc1)c1ncnc(NCc2ccc(Cl)cc2)c1N
ZINC41447571	COc1ccc(C(O)CNC(=O)NC(C)c2ccc(F)cc2F)cc1
ZINC42934286	CSc1cccc(NC(=O)C(Sc2nnc(N)s2)C(C)C)c1
ZINC46497949	O=C(NCC(O)COc1cccc(F)c1)Nc1ccccc1F
ZINC46498290	O=C(NCC(O)COc1cccc(F)c1)Nc1ccc2c(c1)CCC2
ZINC46498428	Cc1ccc(C)c(NC(=O)NCC(O)COc2cccc(F)c2)c1
ZINC47872173	Cc1ccc(/C=C/C(=O)NNC(=S)NC2CCCC(C)C2C)o1
ZINC48375827	Nc1nnc(SCC(O)COc2cc(Cl)ccc2Cl)s1
ZINC49309236	CC(C)C(C)NC(=O)COC(=O)c1ccc(Br)c(N)c1
ZINC49596330	N/C(=N/O)c1ccccc1OCCOc1cccc(Br)c1
ZINC52539420	C=CCNC(=S)NNC(=O)C1COc2ccc(Cl)cc2C1
ZINC55154194	CCSc1ccccc1NC(C)C(=O)NC(=O)NCC(F)(F)F
ZINC56525784	O=C(NCC(O)COc1ccc(F)cc1)Nc1ccc(F)c(F)c1
ZINC57140538	Cc1cc(C)cc(OCCNc2ncc(C(N)=O)cc2Cl)c1
ZINC43873642	O=C(NCCc1cccc(F)c1)Nc1cccc(C(=O)NC2CC2)c1
ZINC20151278	CCCC(=O)NC(=S)Nc1cc(-c2ccc(CO)o2)ccc1Cl
ZINC62009400	CCOc1cccc(CNC(=O)NCC(O)c2ccc(Cl)cc2)c1
ZINC58333032	CCC(C)NC(=O)C(C)NC(=O)Nc1ccccc1C(F)(F)F
ZINC62495250	CCCCOc1ccc(CC2Oc3ccc(N)cc3NC2=O)cc1
ZINC63478507	CC[NH+](CC)c1ccc(NC(=O)C2C=c3c(OC)cccc3=[NH+]2)cc1
ZINC64546834	CCOc1ccc(NC(=O)NCC(O)c2ccccc2F)cc1C
ZINC65361121	CNC(=O)Cc1ccccc1NC(=O)NCCc1ccccc1Cl
ZINC65593485	CCCCC(NC(N)=O)C(=O)N1CCCC1c1ccccc1C
ZINC65987446	CCC(C)NC(=O)C(C)NC(=O)NC(C)c1cccc(Cl)c1
ZINC66121187	CC(Cc1c(F)cccc1F)NC(=O)N1CCCC(CCC(N)=O)C1
ZINC66466395	NC(=O)c1cccc(CCNc2nc(C(F)F)nc3ccccc23)c1
ZINC66716955	Cc1ccc(CC(C)NC(=O)NC(C)C(=O)NC(C)(C)C)c(C)c1
ZINC66908692	COCc1ccccc1CNC(=O)NCC1(O)CCCc2ccccc21
ZINC66925333	COC(CNC(=O)NCC1(O)CCCc2ccccc21)c1ccccc1
ZINC67326457	CCOc1ccc(F)cc1NC(=O)NCC(O)c1ccc(Cl)cc1
ZINC15362856	CNC(=O)c1ccccc1NCC(=O)NC(C)c1ccc(Cl)cc1
ZINC67451905	CSC(C)c1cccc(NCC(=O)NC(=O)NC2CCCC2)c1
ZINC67463580	CCc1nc(CC(=O)NNC(=S)NC2CCCC(C)C2C)cs1
ZINC67558743	Cc1ccc(OCC(C)NC(=O)NCC(O)c2ccccc2F)cc1
ZINC67562472	O=C(CCNC(=O)NC1CC1c1cccc(F)c1)NC1CCCCC1
ZINC67580508	CSC(C)c1cccc(NC(=O)NCCNC(=O)C2CCCC2)c1
ZINC00195764	Cc1cccc(NC(=O)CC([NH2+]Cc2ccco2)C(=O)[O-])c1C
ZINC06845487	Cc1ccc(OCC(=O)NC(=S)NNC(=O)C2CC2)cc1
ZINC08729722	CCOC(=O)/C(CSc1ccc(Cl)cc1)=N\NC(N)=O
ZINC09883551	CC(C)CC(=O)Nc1sc2c(c1C(=O)OCC(N)=O)CCC2
ZINC16060876	CC(C)CCNC(=S)NNC(=O)/C=C/c1cnn(C)c1
ZINC19794267	O=C([O-])c1ccc2[nH+]c3c(c(NCCOCCO)c2c1)CCC3
ZINC36289520	Oc1cccc(/C=N/NC(=S)NCCN2CCOCC2)c1
ZINC37011238	CCCCS(=O)(=O)NC(C)c1ccc(S(N)(=O)=O)cc1
ZINC37011239	CCCCS(=O)(=O)NC(C)c1ccc(S(N)(=O)=O)cc1
ZINC37068100	CCCOc1nc(NCCCN2CCOCC2)ccc1N
ZINC37191336	CCC(C)C(NC(=O)CSc1ccc(N)cn1)C(=O)OC
ZINC38055109	CCC(C)C(NC(=O)COc1cccc(N)c1)C(=O)OC
ZINC40352082	COc1ccc(C(O)COc2ccc(N)cc2)c(OC)c1OC
ZINC40451958	CCNC(=O)CN(CC)S(=O)(=O)c1cc(N)ccc1CC
ZINC40723183	CCN(CC)c1ncnc(NCc2ccc(OC)cc2)c1N
ZINC41098325	CCCC(C)NC(=O)C(C)OC(=O)c1cc(N)cnc1C
ZINC42357201	CCOCCCNC(=O)C(C)Sc1nc(C)cc(N)n1
ZINC43429403	COC(=O)C(CC(C)C)NC(=O)c1cc(N)cn1C1CC1
ZINC43441621	COC(=O)C(CC(C)C)Nc1nc(C)cc(C)c1C(N)=O
ZINC45092994	CCCN(C/C(N)=N/O)S(=O)(=O)CC1CCCCC1
ZINC45846888	C=CCNC(=S)NNC(=O)C(C)Oc1ccccc1C#N
ZINC48820520	Cc1cnn(CCC(=O)NNC(=S)NCCC(C)C)c1
ZINC49127444	CCCn1cc(S(=O)(=O)NC(CC)C(C)C)c(N)n1
ZINC49161574	CCCCSC(C)C(=O)NNC(=O)NCC1CCCO1
ZINC49162383	CCCCSC(C)C(=O)NNC(=O)NCc1ccco1
ZINC49309344	CC(C)C(C)NC(=O)COC(=O)c1cc(N)cn1C(C)C
ZINC50183412	Cc1[nH]ncc1CCCNC(=O)C(C)NC(=O)C(C)(C)C
ZINC50197057	CC(C[NH+]1CCCCC1)NC(=O)NC(C)(C)CCC(=O)[O-]
ZINC50321102	COCCN(C(=O)c1n[nH]c(C(C)C)c1N)C(C)C1CC1
ZINC50399374	CCCC(CC)NS(=O)(=O)c1cn(CCC)nc1N
ZINC50791049	CCCNc1ccc(Cl)c(C(=O)NC(C)C(=O)NCC)n1
ZINC50791055	CCCNc1cc(C(=O)NC(C)C(=O)NCC)cc(Cl)n1
ZINC52854263	CCCCC1CCC(C(=O)NNC(=O)C(=O)NC(C)C)CC1
ZINC57914176	Cc1cc(C)n(CC(=O)NNC(=S)NCCC(C)C)n1
ZINC14156274	CNC(=S)/N=C(\NCC(C)C)Nc1nc(C)cc(C)n1
ZINC59879014	OCCCSc1n[nH]c(N/N=C/c2ccc(F)cc2)n1
ZINC62321641	CC[NH+](CC)CCCn1cc(C(=O)[O-])c(=O)c2c(N)cccc21
ZINC62801201	CCCC(C)NC(=O)C(C)Sc1nnc(N)n1C(C)C
ZINC62846965	CCCC1(C(=O)[O-])CCN(C(=O)NCCC[NH2+]CC)CC1
ZINC62874529	CCCC1(C(=O)[O-])CCCN(C(=O)NCCC[NH2+]CC)C1
ZINC63644679	CCS(=O)(=O)NCCNC(=O)CNc1ccccc1Cl
ZINC64404854	CCc1c(C(=O)NCC(=O)NCC(C)C)[nH]c(C)c1C(C)=O
ZINC65206030	COCCCNC(=O)NNC(=O)C1(c2cccc(F)c2)CCC1
ZINC65898088	CCN(CC(=O)NNC(=O)NCC(C)C)c1ccccc1
ZINC66081162	CCCCc1cc(NC(=O)C(C)NC(=O)C2CCC2)[nH]n1
ZINC66326861	Cc1cccc(OCC(O)CNC(=O)NCC2CCCO2)c1
ZINC66790776	CC(C)CCC(=O)NNC(=O)C(C)NC(=O)C1CCCC1
ZINC67062052	Cc1ccsc1C(=O)NNC(=O)NCCOCC(F)(F)F
ZINC67082475	Cc1ccsc1C(=O)NNC(=O)NC(C)COCC(C)C
ZINC67146579	O=C(NCC(O)COc1ccc(F)cc1)c1cc(C2CC2)[nH]n1
ZINC01801383	CCCOc1cccc(/C=N/Nc2cc[nH]c(=O)n2)c1
ZINC02506786	CC(C)(C)OC(=O)NC(=S)NC(=O)OC(C)(C)C
ZINC08698877	CC(C)C[NH2+]C1CCN(C(=O)OC(C)(C)C)CC1C(=O)[O-]
ZINC06353139	CC(C)(C)CC(=O)OCC(=O)NC(=O)NC1CCCC1
ZINC22589372	CC(CN1CCOCC1)C(C)OC(=O)c1ccc(O)cc1O
ZINC22589377	CC(CN1CCOCC1)C(C)OC(=O)c1ccc(O)cc1O
ZINC24133404	CCC(C)C(=O)OC(C)C(=O)NC(=O)NC1CCCC1
ZINC12256666	CC(C)C(C)(C#N)NC(=O)CSc1nc(C(C)(C)C)n[nH]1
ZINC32603254	CC(C)(C)OC(=O)NOCC(=O)NC1CCCCC1
ZINC35633073	CC[NH2+]C(C)c1cccc(S(=O)(=O)[N-]c2cc(C)on2)c1
ZINC39975322	CCOC(=O)c1sc(NC(=O)NC(C)CC)nc1C
ZINC40725031	CC(C)CN(CC(C)C)c1ncnc(N2CCOCC2)c1N
ZINC40809738	CC(C)Oc1ccc(C(C)NS(=O)(=O)c2cn[nH]c2)cc1
ZINC43630317	CCOC(=O)N1CCC(NC(=O)NC(CC)CC)CC1
ZINC44925815	CC([NH2+]Cc1cc(Cl)ccc1OC(F)F)c1nnn[n-]1
ZINC45109309	CC(C)CCOCCn1nnnc1-c1cc(N)ccc1Cl
ZINC45117639	CCCC(C)NC(=O)NC1CCN(C(=O)OCC)CC1
ZINC48317595	CCOC(=O)NNC(=O)C(C)Oc1cc(C)ccc1Cl
ZINC48695356	CCCCc1nnc(NC(=O)NCC2CCCOC2)s1
ZINC49057266	CC(Nc1ccsc1[N+](=O)[O-])C(=O)NCC(F)(F)F
ZINC49462208	CCCc1noc(COc2cc(Cl)ccc2C(N)=O)n1
ZINC49560927	CC(C)CC(C[NH+](C)C)NC(=O)N1CCCC(C(=O)[O-])C1
ZINC49560933	CC(C)CC(C[NH+](C)C)NC(=O)N1CCC(C(=O)[O-])CC1
ZINC49963414	O=C(CNCc1ccc([N+](=O)[O-])cc1Cl)NC1CC1
ZINC50634262	CCCCN(CC)S(=O)(=O)c1c(N)nc2sccn12
ZINC50698175	CCCN(CCC)C(=O)c1cc(Cl)c(N)c([N+](=O)[O-])c1
ZINC50706088	CC(C)CN(CC(C)C)C(=O)c1cc([N+](=O)[O-])ccc1N
ZINC50725764	CCC(CC)NC(=O)c1cc(NC)c(F)cc1[N+](=O)[O-]
ZINC51698008	CCOc1cc(-c2nc(COC)cc(NC)n2)ccc1O
ZINC52302085	CCCNc1nc2ccccn2c1S(=O)(=O)NC1CC1C
ZINC52303439	CCCNc1ccc([N+](=O)[O-])cc1C(=O)NC1CC1C
ZINC57168633	CC(C#N)CN(C)C(=O)NCCC(=O)NC1CCCCC1
ZINC58004927	CCOC(=O)CN1C(=O)C(CC)(CC)Oc2cccc(N)c21
ZINC27774579	CCCCc1noc(C(C)Sc2nnc(N)s2)n1
ZINC58984255	CCCC1(C)NC(=O)N(CC(=O)NC(C)C(C)C)C1=O
ZINC06339667	C(=N/Nc1nnc(SCc2ccccc2)[nH]1)\c1ccco1
ZINC59020117	Cc1ccc(/C=N/Nc2nc(SCC(C)C)n[nH]2)o1
ZINC44924544	CC([NH2+]C(C)c1nnn[n-]1)c1ccc(OC(F)F)cc1
ZINC50706557	CCCN(CC(F)(F)F)C(=O)c1cc([N+](=O)[O-])ccc1N
ZINC50707475	CCCCN(C(=O)c1cc([N+](=O)[O-])ccc1N)C1CC1
ZINC62727062	O=C([O-])C1CCCC([NH2+]CCc2ccccc2[N+](=O)[O-])C1
ZINC62801243	COc1ccc(OC)c(CSc2nnc(N)n2C(C)C)c1
ZINC62876193	CCCC1(C(=O)[O-])CCCN(C(=O)NCC(C)[NH+](C)C)C1
ZINC66187553	Cc1noc(CNC(=O)NC(CC(C)C)c2cccs2)n1
ZINC66661375	CCC(C)C(=O)NCC(=O)Nc1ccnn1C(C)CC
ZINC66862447	CC(NC(=O)CNc1ccc(F)c([N+](=O)[O-])c1)C1CC1
ZINC67098425	Cc1ccc(/C(N)=N\OCc2noc(CC(C)C)n2)cc1F
ZINC67099990	N/C(Cc1ccc(Cl)cc1)=N\OCc1noc(C2CC2)n1
ZINC67604061	Cc1nc(NCCNC(=O)C(C)(C)C)cc(N2CCCC2)n1
ZINC67610310	Cc1cc(CNC(=O)NC(C)COc2ccc(F)cc2)no1
ZINC04387383	CCOC(=O)C1C(c2cccc(Br)c2)NC(=O)NC1(O)C(F)(F)F
ZINC04876724	CC(Sc1nnc(-c2cccc(F)c2)n1N)C(=O)NC1CCCc2ccccc21
ZINC06082790	CC(Sc1nnc(C2CCCCC2)n1N)C(=O)NC1CCCc2ccccc21
ZINC07409983	CC1CCc2c(sc(NS(=O)(=O)c3ccc(C#N)cc3)c2C(N)=O)C1
ZINC10349806	N#Cc1cnc(SCC(=O)Nc2c(F)cc(F)cc2Br)nc1N
ZINC10682853	Cc1ccc(C(NS(=O)(=O)c2ccc(S(N)(=O)=O)cc2)C2CC2)cc1
ZINC11859033	CCOC(=O)C1C(c2cccc(Br)c2)NC(=O)NC1(O)C(F)(F)F
ZINC12551507	Cc1cc(C)c2c(N)c(C(=O)OC(C)C(=O)Nc3c(C)cccc3C)sc2n1
ZINC21971115	O=C(NNC(=O)c1c[nH]c(=S)n1-c1ccccc1)c1cc2c(s1)CCCCC2
ZINC34898226	O=S(=O)(/N=C1/CCCN1)c1cccc(NC(=S)NC2CCCCC2)c1
ZINC35316416	NC(=O)COc1cccc(C2CC(=O)Nc3c(-c4cccc(F)c4)nsc32)c1
ZINC08716769	Cc1cc(C)c2cc(CN(CCO)C(=O)Nc3ccc(Cl)cc3)c(=O)[nH]c2c1
ZINC10040902	CC(C)C(NC(=O)c1ccccc1Cl)C(=O)NN/C=C1\C=CC=CC1=O
ZINC05582093	CC(Sc1nnc(C(C)C)n1N)C(=O)Nc1cc(Cl)ccc1Cl
ZINC41853673	Cc1cc(C)cc(NC(=O)C(=O)NCCNc2ncc(Cl)cc2Cl)c1
ZINC41853689	Cc1ccc(NC(=O)C(=O)NCCNc2ncc(Cl)cc2Cl)c(F)c1
ZINC42901882	CC(C)C(Sc1nc2ccccc2o1)C(=O)Nc1sccc1C(N)=O
ZINC42944129	CC1CCC(NC(=O)C(Sc2nnc(C(F)(F)F)n2N)C(C)C)CC1
ZINC47872155	CC1CCCC(NC(=S)NNC(=O)CC2OC(=O)c3ccccc32)C1C
ZINC48141970	Cc1nc(CNC(=O)Nc2ccc(C(=O)NCC(C)C)c(Cl)c2)cs1
ZINC49150504	COc1cc(I)c(Cl)cc1C(=O)NNC(=O)NC1CC1
ZINC54067728	CC(Oc1ccc(F)cc1)C(=O)NNC(=O)NC(C)c1ccc(F)cc1F
ZINC54349749	CNS(=O)(=O)c1ccc(C(C)NC(=O)Nc2cccc(SC)c2)cc1
ZINC54906169	Cc1nn(C)c(Cl)c1/C=C/C(=O)NNC(=S)NC1CCCC(C)C1C
ZINC55119365	NC(=O)Cc1ccc(NC2CC(=O)N(c3cccc(Cl)c3Cl)C2=O)cc1
ZINC56157839	CC(Nc1cccc(N2CCNC2=O)c1)C(=O)Nc1ccc(F)c(F)c1F
ZINC12853511	CC(NCC(=O)N1CC(C(N)=O)Oc2ccccc21)c1ccc(Cl)cc1Cl
ZINC32074551	COc1cccc(C2CC(O)=Nc3nc(N)sc32)c1OCc1ccccc1F
ZINC32074551	COc1cccc(C2CC(=O)Nc3nc(N)sc32)c1OCc1ccccc1F
ZINC62182973	COc1cc2cc(CCNC(=O)NC3CCCCC3)c(=O)[nH]c2cc1Cl
