ZINC06680090	CCNC(=O)c1cc(S(=O)(=O)NCC(=O)[O-])c(C)s1
ZINC08972736	Cc1ccc(Cl)cc1NC(=O)CSc1nnc(-c2n[nH]c3c2CCC3)n1N
ZINC22196110	COc1cc(Cl)c(C)cc1NC(C)C(=O)Nc1cccc(S(N)(=O)=O)c1
ZINC22386171	O=C(CCNC(=O)NC1CCCCC1)NNC(=O)C12CC3CC(CC(C3)C1)C2
ZINC22698592	CC(C)(C)C(=O)Nc1cccc(C(=O)NNC(=O)Cc2c[nH]c3ccccc23)c1
ZINC29720050	CC(Nc1ccc(NC(=O)NCc2ccco2)cc1)C(=O)Nc1cccc(F)c1
ZINC32939550	CC1CC1C(=O)Nc1cccc(C(=O)Nc2ccc(NC(=O)NC3CC3)cc2)c1
ZINC34925107	Cc1cc(C)n(-c2nc(NN)nc(Nc3ccc(Br)cc3)n2)n1
ZINC36875416	CC(C)C(NC(=O)c1ccccc1Cl)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC01075691	CC(C)C(=O)Nc1ccc(C(=O)NNC(=O)NC2CCCCC2)cc1
ZINC39559476	O=C(/C=C/c1cccc(Cl)c1)NCC(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC40824383	Cc1c(C(=O)Nc2cccc(C(F)(F)F)c2)oc2c1/C(=N/NC(N)=O)CCC2
ZINC43078723	CN(C)c1ccc(C(CNC(=O)Nc2cn[nH]c2)c2c[nH]c3ccccc23)cc1
ZINC44804411	CC(=O)Nc1cccc(NC(=O)C(C)Nc2cccc(NC(=O)C3CC3)c2)c1
ZINC47058456	O=C(NCCNc1ncccn1)NNc1c(Cl)cc(Cl)cc1Cl
ZINC47126290	Cc1cccc(C)c1OCCNC(=O)NNC(=O)Cc1c[nH]c2ccccc12
ZINC49548282	NNc1ncc(Br)cc1S(=O)(=O)/N=c1\[nH]c2c(s1)CCC2
ZINC53507814	CC(NC(=O)c1cc2sc(N(C)C)nc2s1)c1ccc(NC(N)=O)cc1
ZINC04540536	Cc1[nH]nc(O)c1C(c1ccc(-c2cccc(Cl)c2)o1)c1c(O)n[nH]c1C
ZINC53854454	CC(NC(=O)c1ccc(NC(=O)C2CC2C)cc1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC54026091	CC(Oc1ccc(F)cc1)C(=O)NNC(=O)NCCc1c[nH]c2ccccc12
ZINC55844813	CNC(=O)c1ccc(NC(=O)CNc2cc(NC(=O)C(C)C)ccc2C)cc1
ZINC55857747	CCNC(=O)c1ccc(C)c(NCC(=O)NC(=O)NC2CCCCC2C)c1
ZINC55876740	Cc1cc(C(=O)NC2CCCCC2)ccc1NCC(=O)NC(=O)NC(C)C
ZINC55892632	CNC(=O)c1ccc(NCC(=O)NC(=O)NC2CCCCC2C)cc1Cl
ZINC56133786	CNC(=O)NC(C)(C)C(=O)Nc1ccc(Cl)c(C(=O)NC2CCCCC2)c1
ZINC05392490	O=C(Cc1cccc2ccccc12)NCC(=O)NNC(=O)c1ccccc1O
ZINC57674776	Nc1c(Cl)cc(NC(=O)CNC(=O)c2cccc([N+](=O)[O-])c2)cc1Cl
ZINC58457203	CSCCC(NC(N)=O)C(=O)Nc1ccc2c(c1)OC1(CCCCC1)O2
ZINC58851015	NS(=O)(=O)c1ccc(CCNC(=O)Nc2ccccc2N2CCCCC2)cc1
ZINC59385494	CC1=C(C(=O)N/N=C/c2ccccc2O)C(c2ccc(Cl)cc2)NC(=O)N1
ZINC60062213	COc1ccc(CNC(=O)Nc2cc(C(N)=O)ccc2N2CCCCC2)cc1
ZINC51096418	NNc1ccc([N+](=O)[O-])cc1C(=O)Nc1cccc(Br)c1
ZINC60770328	Cc1ccc(CNC(=O)NCC(=O)NCc2ccc(-c3ccn[nH]3)cc2)cc1
ZINC17194671	CCCCCCn1c(=O)[nH]c([O-])c(C2[NH2+]CCc3c2[nH]c2ccccc32)c1=O
ZINC17194671	CCCCCCn1c([O-])c(C2[NH2+]CCc3c2[nH]c2ccccc32)c(=O)[nH]c1=O
ZINC63270729	CC(C)CC(NC(=O)c1ccc(Cl)cc1)C(=O)NNC(=O)NC(C)C
ZINC63469956	O=C(CNc1ccc(C(=O)NC2CCCCC2)cc1)NC(=O)NC1CCCC1
ZINC64625478	O=C(CNC(=O)NCCCc1nc2ccccc2[nH]1)Nc1ccc(F)cc1
ZINC65019188	Cc1[nH]c2ccc(CNC(=O)NNc3ccc(Cl)nn3)cc2c1C
ZINC65442877	O=C(CNC(=O)Nc1ccc2c(c1)CCC(=O)N2)Nc1ccc(Cl)cc1
ZINC16279380	CC1CCCCC1NC(=S)NNC(=O)c1n[nH]c(=O)c2ccccc12
ZINC66426239	CCNC(=O)NC1(C(=O)Nc2ccc(C(=O)NC(C)C)c(C)c2)CCCC1
ZINC66608005	CC1CC(CC(=O)NCC(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)CC(C)(C)C1
ZINC66981022	CCc1ccccc1NC(=O)CNC(=O)Nc1cc(NC(C)=O)c(F)cc1F
ZINC67062963	CCC(=O)Nc1ccc(C(C)NC(=O)NNC(=O)c2cccc(C)c2)cc1
ZINC67102639	Cc1cccc(C(=O)NNC(=O)NC(CC(C)C)c2nc3ccccc3[nH]2)c1
ZINC67102640	Cc1cccc(C(=O)NNC(=O)NC(CC(C)C)c2nc3ccccc3[nH]2)c1
ZINC67470370	CNS(=O)(=O)c1cccc(C(C)NC(=O)NNc2cccc(Cl)c2C)c1
ZINC02882168	CC(=O)Nc1nnc(SC(C)C(=O)Nc2ccc(S(N)(=O)=O)cc2)s1
ZINC06602431	CC(=O)c1ccc(S(=O)(=O)NC(C)C(=O)NNC(=O)c2ccccc2O)cc1
ZINC08299453	CC(C)NC(=O)N1CCN(C(=O)NC(C)C)C(C(=O)NC2CCCNC2=O)C1
ZINC00942538	CC(Nc1n[nH]c(=O)[nH]c1=O)C(=O)N/N=C/c1ccccc1Br
ZINC08744695	CC1Cc2cc(S(N)(=O)=O)ccc2N1Cc1ccc(C(N)=O)cc1[N+](=O)[O-]
ZINC09365475	O=C(Cc1c[nH]c2ccccc12)NNC(=O)CN1C(=O)NC2(CCCC2)C1=O
ZINC10382739	CC(NC(=O)Nc1cccc([N+](=O)[O-])c1)c1ccc(S(N)(=O)=O)cc1
ZINC11039076	CC1CCCCC1NC(=O)NC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1
ZINC12978087	O=C1COc2ccc(S(=O)(=O)NNC(=O)c3c[nH]c4ccccc34)cc2N1
ZINC15543524	COc1ccc(C(=O)NCC(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)cc1[N+](=O)[O-]
ZINC16189416	CNS(=O)(=O)c1cc(C(=O)Nc2ccc(S(N)(=O)=O)cc2)ccc1OC
ZINC21324301	C/C(=N\Nc1nnc(SCC(=O)Nc2cccc(C)c2)n1N)c1ccncc1
ZINC21324598	C/C(=N\Nc1nnc(SCC(=O)Nc2ccc(F)cc2)n1N)c1ccncc1
ZINC22278639	COc1cc(C(=O)Nc2ccc3c(c2)NC(=O)CO3)cc(Cl)c1OCC(N)=O
ZINC26968576	CNC(=O)COc1cccc(NC(=O)c2cc(S(N)(=O)=O)ccc2OC)c1
ZINC30673780	O=C(Cc1c[nH]c2ccccc12)NNC(=O)Cn1c(=O)[nH]c2ccccc2c1=O
ZINC29979182	CC(=O)Nc1ccc(F)c(NCC(=O)NN2C(=O)NC3(CCCCC3)C2=O)c1
ZINC32754184	Cc1ccnn1-c1ccc(C(=O)NCC(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)cc1
ZINC12583977	COCCNC(=O)c1ccc(NS(=O)(=O)c2ccc3[nH]c(=O)[nH]c3c2)cc1
ZINC09533070	CC1CCCCC12NC(=O)N(CC(=O)Nc1ccc3[nH]c(=O)[nH]c3c1)C2=O
ZINC39232131	COc1ccc2[nH]cc(CCNC(=O)CC3=NN4C(=O)C=C(C)NC4N3)c2c1
ZINC43115299	O=C(CNC(=O)NNC(=O)c1cccc([N+](=O)[O-])c1)Nc1ccc(F)c(F)c1
ZINC44019269	CCOc1ccc(-n2c(=O)cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]c2=O)cc1
ZINC44782409	CN(C1CCCCC1)S(=O)(=O)NCC(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC45156836	CC(=O)Nc1cccc(NC(=S)NNC(=O)c2ccc([N+](=O)[O-])c(C)c2)c1
ZINC45843159	CCNC(=O)c1ccc(CNC(=O)NNC(=O)c2cccc([N+](=O)[O-])c2)cc1
ZINC46541016	COc1ccc(C)cc1NC(=O)CNC(=O)c1ccc2[nH]c(=O)c(=O)[nH]c2c1
ZINC46819182	COc1cc(NC(C)C(=O)NC(=O)NC(C)C)ccc1NS(C)(=O)=O
ZINC47445455	Cc1nn(C)c2[nH]c(=O)c(CCC(=O)Nc3ccc(OCC(N)=O)cc3)c(C)c12
ZINC48639358	Cc1ccc(NC(=O)C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1[N+](=O)[O-]
ZINC55872639	CCC1(C)NC(=O)N(NC(=O)CNc2cccc(C(=O)NC(C)(C)C)c2)C1=O
ZINC58234526	CC(C)NC(=O)Nc1ccc(CNC(=O)CN2C(=O)NC(C)(C)C2=O)cc1
ZINC58408223	CC(C)(C)OC(=O)Nc1cc(NC(=O)CCC2NC(=O)NC2=O)ccc1F
ZINC58864928	Cc1ccccc1NC(=O)NNC(=O)CN1C(=O)NC2(CCC(C)CC2)C1=O
ZINC12501079	CC(=O)Nc1ccc(C(=O)NNC(=S)NC(=O)c2ccc([N+](=O)[O-])cc2)cc1
ZINC59040373	CC(=O)Nc1cccc(NC(=O)CSc2n[nH]c(NN=C3CCCC3)n2)c1
ZINC59879110	CC(=O)NNC(=O)C(C)Sc1n[nH]c(N/N=C/c2ccccc2Cl)n1
ZINC60458912	CCC1(C)NC(=O)N(NC(=O)CNc2ccc(C(=O)NC(C)C)cc2C)C1=O
ZINC62162090	CN(C)c1ccc(NC(=O)CNS(=O)(=O)c2ccc3[nH]c(=O)[nH]c3c2)cc1
ZINC62632466	CCC(C)NC(=O)C(C)NC(=O)C(=O)Nc1cc2c(cc1Cl)NC(=O)CO2
ZINC63270795	CC(C)NC(=O)NNC(=O)c1ccc(S(=O)(=O)NCc2ccco2)cc1
ZINC63721050	Cc1nnnn1/C(=C\c1ccc(F)cc1)C(=O)Nc1cccc(NC(N)=O)c1
ZINC64292230	CCCC(NC(N)=O)C(=O)Nc1ccc(S(=O)(=O)/N=C2/CCCN2C)cc1
ZINC64427799	CC(C)(C)C1CCC2(CC1)NC(=O)N(CC(=O)NNC(=O)NC1CC1)C2=O
ZINC64734524	CC(=O)Nc1ccc(F)c(C(=O)NNC(=O)c2n[nH]c(=O)c3ccccc23)c1
ZINC64900757	O=C(NNC(=O)c1ccc(NC2=NS(=O)(=O)c3ccccc32)cc1)NC1CC1
ZINC65920317	Cc1ccc(C2(C)NC(=O)N(CC(=O)NNC(=O)NC3CCCC3)C2=O)cc1
ZINC65921068	N#CCCNS(=O)(=O)c1ccc(C(=O)NNC(=O)NC2CCCC2)cc1
ZINC67102155	Cc1ccsc1C(=O)NNC(=O)NCC(=O)Nc1ccc(-n2cccn2)cc1
ZINC67483319	CNS(=O)(=O)c1ccc(CNC(=O)NNC(=O)c2ccccc2OC)s1
ZINC02973261	CCOc1ccc(-n2c(=O)[nH]cc(C(=O)Nc3ccc(C(N)=O)cc3)c2=O)cc1
ZINC04292833	CC(OC(=O)CCc1nc2sc3c(c2c(=O)[nH]1)CCCC3)C(=O)NC(N)=O
ZINC02240543	COc1ccc(C(=O)NC(=S)Nc2ccc3[nH]c(=O)[nH]c3c2)cc1[N+](=O)[O-]
ZINC01087962	COc1ccc2[nH]c(C)c(CCNS(=O)(=O)c3c(C)[nH]c(=O)[nH]c3=O)c2c1
ZINC07737608	Cc1nn(-c2cccc([N+](=O)[O-])c2)c(N)c1C1(O)C(=O)Nc2ccc(Cl)cc21
ZINC08744694	CC1Cc2cc(S(N)(=O)=O)ccc2N1Cc1ccc(C(N)=O)cc1[N+](=O)[O-]
ZINC11039066	CC1CCCCC1NC(=O)NC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1
ZINC12494870	NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc([N+](=O)[O-])cc2)cc1
ZINC15553208	COc1ccc(N(Cc2nc(N)nc(N)n2)S(=O)(=O)c2ccc(C)cc2)cc1
ZINC19236560	Cc1cccc2c3c([nH]c12)CCN(C(=O)CCN1C(=O)NC2NC(=O)NC21)C3
ZINC20504965	NC(=O)C(CC1CCCCC1)NC(=O)C1CNCCN1C(=O)N1CCOCC1
ZINC28258303	COCC(=O)Nc1cccc(NS(=O)(=O)c2cccc(S(N)(=O)=O)c2)c1
ZINC32745204	CNC(=O)c1cccc(NC(=O)CSc2nnc(-c3ccncc3)n2N)c1
ZINC32841177	CC(C)(C)Nc1nnc(SCC(=O)c2c(N)n(C3CC3)c(=O)[nH]c2=O)s1
ZINC04524942	COc1ccc(NC(=O)C(=O)NN/C(C)=C/C(=O)Nc2ccc(Cl)cn2)cc1
ZINC34783218	Cc1ccccc1NC(=O)Cn1c(=O)c2c(C)c(C(=O)NN)sc2n(C)c1=O
ZINC36357360	COc1cc(C2c3c(n[nH]c3C)Nc3[nH]c(=O)[nH]c(=O)c32)ccc1OC(F)F
ZINC36357360	COc1cc(C2c3c(C)n[nH]c3Nc3[nH]c(=O)[nH]c(=O)c32)ccc1OC(F)F
ZINC39558835	COc1ccc(CC(=O)NCC(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)c(OC)c1
ZINC39856250	Cc1c(C(=O)NCCN2CCOCC2)oc2c1/C(=N/NC(N)=O)CC(C)(C)C2
ZINC41920577	COC(=O)Nc1ccc(CNC(=O)C(=O)Nc2ccc(NC(C)=O)cc2)cc1
ZINC41920917	CNC(=O)c1cccc(NC(=O)C(=O)NCc2ccc(NC(=O)OC)cc2)c1C
ZINC42043893	Cc1ccc(-c2nnc3n2CCCCC3)cc1NC(=O)C(=O)NCCCC(N)=O
ZINC44944046	CCCn1nc(C(=O)NNC(=O)CNC(=O)NC2CC2)c2ccccc2c1=O
ZINC45843735	N#CCCNS(=O)(=O)c1ccc(C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)cc1
ZINC46501782	CCC1(C)NC(=O)N(NC(=O)CNc2cc3c(cc2Cl)NC(=O)CO3)C1=O
ZINC47685125	CC(NC(=O)c1cccc([N+](=O)[O-])c1)C(=O)Nc1ccc(C(N)=O)c(Cl)c1
ZINC16021985	COCCN1C(=O)C2C(CC(N)=O)NC3(C(=O)Nc4c(C)cc(C)cc43)C2C1=O
ZINC56381511	C#Cc1cccc(NC(=O)CNC(=O)NNC(=O)c2ccc(OC)c(OC)c2)c1
ZINC45640837	Cc1ccc(S(=O)(=O)NCCNC(=O)NNC(=O)c2cc(C)oc2C)cc1
ZINC12501192	CC(=O)Nc1ccc(C(=O)NNC(=S)NC(=O)c2ccccc2[N+](=O)[O-])cc1
ZINC05584129	O=C(Nc1ccccc1O)c1ccc2c(c1)C(=O)N(c1c[nH]c(=O)[nH]c1=O)C2=O
ZINC59791155	Nn1c(SCC(=O)NNC(=O)C(F)(F)F)nnc1-c1ccc([N+](=O)[O-])cc1
ZINC27743554	Cc1cc(C(=O)NNC(=O)c2cccc([N+](=O)[O-])c2)cc(S(N)(=O)=O)c1C
ZINC26690606	Cc1cc(C(=O)NNC(=O)c2ccc3c(c2)OCO3)cc(S(N)(=O)=O)c1C
ZINC22633993	O=C1COc2ccc(C(=O)NNC(=O)c3n[nH]c(=O)c4ccccc34)cc2N1
ZINC60781282	Cc1ccc(NCC(=O)NNC(=O)CCN2C(=O)NC3(CCCC3)C2=O)cc1
ZINC61073170	CON(C)S(=O)(=O)c1ccc(NC(=O)c2cccc(NC(N)=O)c2)cc1
ZINC63217590	CCCN1C(=O)NC([O-])=C(C(=O)CSC2N=Nc3nc4ccccc4n32)C1[NH3+]
ZINC64475380	CNC(=O)Nc1cccc(NS(=O)(=O)c2cccc(S(=O)(=O)NC)c2)c1
ZINC65190238	CCNC(=O)NNC(=O)C(NC(=O)c1ccc([N+](=O)[O-])cc1Cl)C(C)C
ZINC65191409	CCNC(=O)NNC(=O)c1ccc(S(=O)(=O)Nc2ccc(OC)cc2)cc1
ZINC54649065	O=C(CNC(=O)NNC(=O)C1CCS(=O)(=O)C1)Nc1ccc(Cl)cc1
ZINC66098639	NC(=O)C1CC(C(=O)NCCC(=O)Nc2cccnc2)=NN1c1ccc(F)cc1
ZINC66357395	O=C(NCc1ccc(C(=O)NC2CC2)cc1)NNC(=O)c1cccc([N+](=O)[O-])c1
ZINC66360871	NC(=O)C1CCN(C(=O)NCCNS(=O)(=O)c2ccc([N+](=O)[O-])cc2)C1
ZINC66375591	CCC1(C)NC(=O)N(NC(=O)CNc2cc(NC(C)=O)c(F)cc2F)C1=O
ZINC67300790	CCNC(=O)Nc1cccc(NC(=O)c2cc(C3CC3)nc3c2c(=O)[nH]n3C)c1
ZINC67438126	COc1ccccc1C(=O)NNS(=O)(=O)c1cccc(S(N)(=O)=O)c1
ZINC67444031	Cc1cccc(OCC(O)CNC(=O)C(=O)Nc2ccc3c(c2)NC(=O)CO3)c1
ZINC67590756	Cc1cc(C)c(CNC(=O)NCC(O)COc2ccc3c(c2)OCO3)c(=O)[nH]1
ZINC05829910	[NH3+]CCCNC(=O)c1c(O)[nH]c2c(c1=O)CCCC2
ZINC19842471	[NH3+]C(c1ccc2[nH]c(=O)c(=O)[nH]c2c1)C1CCCO1
ZINC19971646	[NH3+]C(c1ccc2c(c1)NC(=O)CC(=O)N2)C1CC1
ZINC19972281	[NH3+]C(c1cccnc1)c1ccc2[nH]c(=O)c(=O)[nH]c2c1
ZINC20260423	[NH3+]C(Cc1cccc(F)c1)c1ccc2[nH]c(=O)c(=O)[nH]c2c1
ZINC26506235	[NH3+]C1=CC2=[NH+]C(=O)CC(=O)NN2C([S-])=N1
ZINC34183622	NC(=O)CN1CC(NC(=O)C2CCC[NH2+]2)CC1=O
ZINC35764302	CC([NH3+])c1ccc(S(=O)(=O)Nc2cn[nH]c2)cc1
ZINC36265879	CNC(=O)c1cc(S(=O)(=O)NC2CC([NH3+])C2)cn1C
ZINC36265948	CC(=O)Nc1ccc(S(=O)(=O)NC2CC([NH3+])C2)cc1
ZINC36746090	CC1CCCC(C(=O)NCCS(N)(=O)=O)[NH2+]1
ZINC37005418	NC(=O)C1CCC(NC(=O)C2CSC[NH2+]2)CC1
ZINC37243876	[NH3+]CCNC(=O)C(=O)N1CC(=O)Nc2ccccc21
ZINC37481878	NC(=O)C1CCCN1C(=O)CNC(=O)C[NH3+]
ZINC37569957	NC(=O)CNC(=O)c1cc(C#CC[NH3+])ccc1F
ZINC37571893	NC(=O)CCNC(=O)c1cc(F)ccc1C#CC[NH3+]
ZINC37572181	NC(=O)C1CCCN1C(=O)c1ccc(C#CC[NH3+])cc1
ZINC37626385	CNC(=O)C1CCN(C(=O)C([NH3+])CC(N)=O)CC1
ZINC37768948	[NH3+]CC(=O)Nc1ccc(-n2cc[nH]c2=O)cc1
ZINC37821190	NC(=O)CC1CCN(C(=O)C2CC(O)C[NH2+]2)CC1
ZINC38042637	NC(=O)NC(=O)C[NH+]1CCC([NH+]2CCCC2C(=O)[O-])CC1
ZINC38049053	[NH3+]C1CCCCC1NC(=O)c1c[nH]c(=O)[nH]c1=O
ZINC40430847	CNC(=O)c1cccc(NC(=O)C(C)[NH3+])c1
ZINC40468242	CC(C)(C)C([NH3+])C(=O)N1CCC2(CC1)NC(=O)NC2=O
ZINC40806894	CC([NH3+])C(=O)Nc1ccc2c(c1)NC(=O)CO2
ZINC40941992	[NH3+]C(c1ccc2[nH]c(=O)c(=O)[nH]c2c1)C1CCOC1
ZINC44752205	CC(C)(C[NH3+])C(=O)N1CCC(CC(N)=O)CC1
ZINC45277280	CC([NH3+])(CCN1CCS(=O)CC1)C(N)=O
ZINC49105877	CNC(=O)C(C)NC(=O)c1cccc(C#CC[NH3+])c1
ZINC49105887	CNC(=O)C(C)NC(=O)c1cc(F)ccc1C#CC[NH3+]
ZINC49729387	[NH3+]C(CC1CC1)c1ccc2c(c1)NC(=O)CC(=O)N2
ZINC50392888	[NH3+]CC#Cc1ccc(F)c(C(=O)NC2CCCNC2=O)c1
ZINC55127447	CC(=O)NCCNC(=O)C1CCC([NH3+])C(C)C1
ZINC55140571	CNC(=O)C(C)NC(=O)C1CC([NH3+])CCC1C
ZINC55140599	CNC(=O)C(C)NC(=O)C1CCC([NH3+])CC1C
ZINC55298621	[NH3+]C(c1ccc2[nH]c(=O)[nH]c2c1)C1COCCO1
ZINC20374755	[NH3+]C(Cc1c[nH]cn1)c1nc2ccc(Cl)cc2[nH]1
ZINC55085799	NC(=O)C1CCCN(C(=O)C2CCCC([NH3+])C2)C1
ZINC55087293	CC(=O)NCCNC(=O)C1CCCC([NH3+])C1
ZINC55090464	CNC(=O)C(C)NC(=O)C1CCCC([NH3+])C1
ZINC62745682	CNC(=O)NC(=O)C(C)Oc1cc(F)ccc1C(C)[NH3+]
ZINC62812660	CC(=O)Nc1cccc(NC(=O)C2C[NH2+]CCN2)c1
ZINC62814510	CC(=O)NCCNC(=O)C1C[NH2+]C(C)CN1
ZINC62814530	CCNC(=O)CNC(=O)C1C[NH2+]C(C)CN1
ZINC62814901	CNC(=O)C(C)NC(=O)C1C[NH2+]C(C)CN1
ZINC63173749	[NH3+]C1CCCC1NC(=O)c1cc(=O)[nH]c(=O)[nH]1
ZINC63175087	[NH3+]C1CCCC1NS(=O)(=O)c1c[nH]c(=O)[nH]c1=O
ZINC63175403	Cc1n[nH]c(C)c1S(=O)(=O)NC1CCCC1[NH3+]
ZINC65404931	[NH3+]C1CNC(C(=O)NCC2(O)CCCCC2)C1
ZINC65410242	CNC(=O)c1[nH]nc2c1C(C1CCC([NH3+])CC1)CC(=O)N2
ZINC04201773	NNC(=O)C(=O)Nc1ccccc1Cl
ZINC19801068	NC1=CC=CN([O-])C1=C1C(N)=CC=C[N+]1=O
ZINC20404874	CN(C)/C=C(\C#N)C(O)(NN)C(F)(F)F
ZINC34940191	CS(=O)(=O)c1ccc(NC(=S)NN)cc1
ZINC34977848	NNC(=O)C(=O)NCCc1cccs1
ZINC35179741	O=C(CNc1n[nH]c(=O)[nH]c1=O)NC1CC1
ZINC35300796	NC(=O)NC(=O)C[NH+]1CCCC1C(=O)[O-]
ZINC35737010	CC(NC(=O)C(=O)NN)c1cccs1
ZINC35737011	CC(NC(=O)C(=O)NN)c1cccs1
ZINC36224902	CCNC(=O)C1=C(C)C(C(N)=O)SC1=N
ZINC36948009	CCc1cccc(C)c1NC(=O)C(=O)NN
ZINC36962706	Cc1ccc(C(=O)NCC(=O)NN)s1
ZINC36962886	CC(NC(=O)c1cccs1)C(=O)NN
ZINC37256654	CC1CCCC(NC(=O)C(=O)NCC(N)=S)C1
ZINC38787686	O=C1N=C([O-])C(O)(C2=C(O)N=[NH+]C2c2ccccc2)C(=O)N1
ZINC40471761	CC(NC(=O)C1([NH3+])CCCCC1)C(=O)[O-]
ZINC40471834	CC(NC(=O)C1CCC([NH3+])CC1)C(=O)[O-]
ZINC40479507	CC([NH3+])C(=O)NC1(C(=O)[O-])CCCCC1
ZINC40479585	CC([NH3+])CC(=O)NC1(C(=O)[O-])CCCCC1
ZINC40481323	CC([NH3+])CC(=O)NC1(C(=O)[O-])CCCC1
ZINC40481517	CC1CCC(NC(=O)CC[NH3+])(C(=O)[O-])CC1
ZINC40481559	CC([NH3+])CC(=O)NC1(C(=O)[O-])CCC(C)CC1
ZINC40481680	CC(NC(=O)C1CC(O)C[NH2+]1)(C(=O)[O-])C1CC1
ZINC40481771	[NH3+]CCC(=O)NC1(C(=O)[O-])CCCCCC1
ZINC40481985	CC(CC(=O)[O-])NC(=O)C1CCC([NH3+])CC1
ZINC40482164	CC(C)(C)C(NC(=O)C1CCC([NH3+])CC1)C(=O)[O-]
ZINC40486827	[NH3+]CC(=O)NCC(=O)N1Cc2ccccc2CC1C(=O)[O-]
ZINC40531205	NC(=O)CNC(=O)N1CC[NH+](CC(=O)[O-])CC1
ZINC40924694	CC(C)([NH3+])C(=O)NC(C)(C(=O)[O-])C1CC1
ZINC41036571	CC1CCCC(NC(=O)C(C)(C)[NH3+])(C(=O)[O-])C1
ZINC41036607	CC1CCCC(NC(=O)CC[NH3+])(C(=O)[O-])C1
ZINC41036609	CC1CCCC(NC(=O)CC[NH3+])(C(=O)[O-])C1
ZINC41036677	CCC([NH3+])C(=O)NC1(C(=O)[O-])CCCC(C)C1
ZINC41036715	CC1CCCC(NC(=O)C2([NH3+])CCCC2)(C(=O)[O-])C1
ZINC41759993	CC1CCCC([NH2+]CC(N)=O)(C(=O)[O-])C1
ZINC41759998	CC1CCCC([NH2+]CC(N)=O)(C(=O)[O-])C1
ZINC41760001	CC1CCCC([NH2+]CC(N)=O)(C(=O)[O-])C1
ZINC41804901	CC1CCC([NH2+]C(C)C(N)=O)(C(=O)[O-])CC1
ZINC41805055	CC([NH2+]C1(C(=O)[O-])CCCCC1)C(N)=O
ZINC41805056	CC([NH2+]C1(C(=O)[O-])CCCCC1)C(N)=O
ZINC41834220	CC1CCCC([NH2+]C(C)(C)C(N)=O)(C(=O)[O-])C1
ZINC42350044	CNC(=O)C(C)Nc1n[nH]c(=O)[nH]c1=O
ZINC42430660	[NH3+]C1CCCCC1NC(=O)CCC(=O)[O-]
ZINC51633840	NNC(=O)C(=O)NC1CCCc2ccccc21
ZINC54342999	CC1CCC(NC(=O)C(C)C[NH3+])(C(=O)[O-])CC1
ZINC54343018	CC(C[NH3+])C(=O)NC1(C(=O)[O-])CCCCCC1
ZINC42119103	NC(=O)CN1C(=O)C(N)c2c(Cl)ccc(F)c21
ZINC61574338	CC([NH2+]C1(C(=O)[O-])CCCSC1)C(N)=O
ZINC61844727	O=C(Nc1nc[nH]n1)c1c[nH]c(=O)[nH]c1=O
ZINC67641443	CC(C)(O)C#Cc1ccc(CN2CCC([NH3+])(C(=O)[O-])C2)s1
ZINC00293892	NNC(=O)CNC(=O)c1cccc(Cl)c1
ZINC01646833	NNC(=O)CC(=O)Nc1ccc(Cl)cc1
ZINC09970327	CC1(C)OC(O)C(C)(O)C(C)(O)C1(C)O
ZINC19971661	NC(c1ccc2c(c1)NC(=O)CC(=O)N2)C(F)(F)F
ZINC20217158	[NH3+]C(CCC(=O)[O-])c1ccc2c(c1)CCC(=O)N2
ZINC20475395	NC(c1ccc2c(c1)NC(=O)CC(=O)N2)C(F)F
ZINC26507424	Cc1ccc2[nH]cc(C(=O)NN)c(=O)c2c1
ZINC34924845	Cc1cccc(NC(=O)CCC(=O)NN)c1
ZINC34940175	NNC(=S)Nc1ccc2c(c1)OCCCO2
ZINC35651344	NC(=O)C1CCN(C(=O)c2cc(N)ccc2F)CC1
ZINC35651468	NC(=O)C1CCCN1C(=O)c1cc(N)ccc1F
ZINC36948218	NNC(=O)C(=O)Nc1ccccc1Br
ZINC36948262	NNC(=O)C(=O)Nc1ccc(F)cc1Br
ZINC37034529	NC(c1ccc2[nH]c(=O)c(=O)[nH]c2c1)C(F)(F)C(F)(F)F
ZINC37256652	CC1CCCC(NC(=O)C(=O)NCC(N)=S)C1
ZINC04201781	NNC(=O)CNC(=O)c1cccc(Br)c1
ZINC40168036	CC1(NC(=S)NN)CCS(=O)(=O)C1
ZINC40168044	NNC(=S)NC1CS(=O)(=O)CC1Cl
ZINC40175550	NNC(=O)c1c[nH]c2c(F)cc(F)cc2c1=O
ZINC40304885	Nc1cc(N)cc(C(=O)N2CCCC2c2ccncc2)c1
