ZINC00112261	Cc1cc(C)c(C(=O)Nc2nnc(C(C)C)s2)c(C)c1
ZINC05299110	CSc1ccc2nc(NC(=O)c3ccco3)sc2c1
ZINC06995048	CC1CCc2nc(NC(=O)/C=C/c3ccco3)sc2C1
ZINC08273714	Cc1ccc(/C=C/C(=O)Nc2ccc3c(c2)OCO3)s1
ZINC12763672	CCC1CCc2sc(C(=O)Nc3ccn(C)n3)cc2C1
ZINC12763677	CCC1CCc2sc(C(=O)Nc3ccn(C)n3)cc2C1
ZINC14378076	Cc1ccc(/C=C/C(=O)Nc2nc3c(s2)CCCC3)o1
ZINC23040861	COc1cc(C(=O)Nc2nc3c(s2)CCC3)ccc1C
ZINC26953659	CC(C)Oc1ccc(C2NN=C3CC(C)(C)OCC32)cc1
ZINC30802986	Cc1ccc(C(=O)N/N=C\c2ccc3ccccc3c2)cn1
ZINC17174314	CCSc1nc2c(c(=O)[nH]1)CN(c1ccccc1)CC2
ZINC21161737	Cc1nc(-n2cccc2)sc1C(=O)NC1CCCCC1
ZINC36148846	Cc1cc(C)c2c(c1)OC1(CC2)CC[NH+](CCC(=O)[O-])C1
ZINC36151318	CC(C)(C)C1CSc2nnc(Cc3ccccc3)n2N1
ZINC36152730	CCc1nnc2n1NC(c1ccc(C(C)C)cc1)CS2
ZINC36391544	Cc1c(Cl)cccc1NC(=O)c1ccc(N(C)C)nc1
ZINC36925433	CC1=CC(=N)SC1c1nc(Cc2ccc(F)cc2)no1
ZINC38102329	Cc1ccc(C(C)NC(=O)c2ccc(Cl)nn2)c(C)c1
ZINC36695383	Cc1cc(C(=O)Nc2nc3c(C)c(Cl)ccc3s2)c(C)o1
ZINC39858931	CC/N=C1\S/C(=C(/C)c2ccc(O)cc2)C(=O)N1CC
ZINC41092691	Clc1cccc(NC2CC3CCC2C3)c1-n1cncn1
ZINC41829680	Cc1cc(NC(=O)/C=C/c2ccc(C)c(Cl)c2)n(C)n1
ZINC41849728	C[NH+](C1CCCCC1)C1(C(=O)[O-])CCOc2ccccc21
ZINC41873746	CCC1CCCC[NH+]1C1(C(=O)[O-])CCOc2ccccc21
ZINC42097480	N#Cc1c(F)cccc1N1CC=C(c2c[nH]c3ncccc23)CC1
ZINC42652860	Cc1ccc(C)c(C(=O)Nc2nnc(C(C)(C)C)s2)c1
ZINC43682807	OCC#Cc1ccc(COc2ccc3c(c2)OCO3)s1
ZINC44287400	CC1CC(C)CN(S(=O)(=O)NC2CCCCC2C)C1
ZINC44767463	Cc1cc(C(C)NC(=O)C2(C#N)CCCCCC2)c(C)o1
ZINC46784515	CCC1CCc2nc(NC(=O)c3occc3C)sc2C1
ZINC46996117	CCC1CN(C(=O)NCc2ccc(Cl)s2)CCO1
ZINC46996119	CCC1CN(C(=O)NCc2ccc(Cl)s2)CCO1
ZINC47064517	Cc1cc(C)c2nc(NC(=O)CC3CCCO3)sc2c1
ZINC14206221	Cc1cccc(NC(=O)/C=C/c2c(C)nn(C)c2Cl)c1
ZINC48889776	CC(NC(=O)c1cnsn1)c1ccc2c(c1)CCCC2
ZINC50769301	CCNc1ccnc(C(=O)N2CCC3CCCCC3C2)c1
ZINC51040037	Cc1ccc(Nc2cnnc(Cl)n2)cc1C(F)(F)F
ZINC02772989	CC(NC(=O)c1ccc2c(c1)OCO2)C1CC2CCC1C2
ZINC54927957	COc1ccc(N(C)c2nc3c(s2)C(O)CCC3)cc1
ZINC07844636	CC(C)(C)Nc1nc(-c2ccc3c(c2)OCCO3)cs1
ZINC59156696	Cc1cccc(/C=N/NC(=O)c2cccc3ccccc23)n1
ZINC62182823	Cc1cc2c(C)c(C(=O)[O-])oc2c(C[NH+]2CCCC2)c1C
ZINC62396465	Cc1ccc(-c2nc3sc(C(C)C)nn3c2CO)cc1
ZINC20487701	CC(=O)C1=C(C)C(C(=O)NC2CCCC(C)C2C)C(C)=N1
ZINC66666937	Cc1cccc(NC(=O)N(C)Cc2scnc2C)c1C
ZINC66704924	Cn1cccc1C1CCCN1C(=O)NCC1(C)CCCC1
ZINC67119964	N#CCc1ccc(Nc2ncc(Br)cn2)cc1
ZINC67587303	Cc1ccc(C2(O)CCN(c3ccc4ccccc4n3)CC2)nc1
ZINC02487921	CCc1ccc(C2CC(c3ccccc3)Nc3ncnn32)cc1
ZINC04476463	O=c1c(Cl)c(NC2CC2)cnn1C12CC3CC(CC(C3)C1)C2
ZINC00024089	CNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1
ZINC04663956	N#C/C(=C\c1ccc(-c2ccccc2)o1)c1nc2ccccc2[nH]1
ZINC01426107	O=C(Nc1ccc(-c2cc3ccccc3o2)cc1)c1ccco1
ZINC01433005	CCn1cc(Cl)c(C(=O)Nc2ccc(Cl)cc2Cl)n1
ZINC04739831	COc1ccc2[nH]c(/C(C#N)=C\c3ccc(Cl)s3)nc2c1
ZINC01009513	Cc1ccc(N2C(=O)SC(Nc3ccccc3C)C2=O)cc1
ZINC04815744	CNc1ccc(N2CCCCC2)c2c1C(=O)c1ccccc1C2=O
ZINC04840161	Cc1cccc(NC(=O)N2CCN(c3cccc(C)c3C)CC2)c1
ZINC00260377	Cc1ccc(-c2nc(NC(=O)c3ccco3)sc2C)c(C)c1
ZINC05815167	Cc1ccc2nc(NC(=O)/C(C#N)=C/c3ccccc3)sc2c1
ZINC02646040	Cc1cc(C(=O)Nc2nc3c(C)cccc3s2)c2ccccc2n1
ZINC05431066	Cc1ccc(S(=O)(=O)N/N=C2\C=CC3(CCCC3)CC2)cc1
ZINC06701718	Cc1ccc(NC(=O)Cc2coc3ccc4ccccc4c23)nc1
ZINC07725231	Cc1cccc2sc(NC(=O)c3cccc(N(C)C)c3)nc12
ZINC08238605	CC(NC(=O)c1cc2ccccc2o1)c1cc2ccccc2o1
ZINC11286767	Cc1ccccc1NC(=O)/C(C#N)=C/c1cc2ccccc2o1
ZINC12800374	Cn1ccc(NC(=O)c2cc3c(s2)CCC(C(C)(C)C)C3)n1
ZINC05587261	Cc1c(Cl)cccc1-c1ccc(C(=O)Nc2cccnc2)o1
ZINC06983124	ClC1(Cl)CC1CSc1nnc2[nH]c3ccccc3n12
ZINC13634852	Cc1ccc2c(c1)C1C=CCC1C(c1ccccc1[N+](=O)[O-])N2
ZINC16880720	Cc1ccc(Cn2c(O)nc(C)c(C3CCCC3)c2=O)c(C)c1
ZINC23074898	CC(c1cc2ccccc2o1)N(C)C(=O)Nc1ccccc1F
ZINC24613937	CC1(C)CCc2cc(S(=O)(=O)Nc3ccccc3)ccc2O1
ZINC25596646	Cc1cccc(NCc2cc(=O)n3cc(Cl)ccc3n2)c1C
ZINC26071185	COc1ccccc1C(=O)Nc1ccc(Cl)c2ncccc12
ZINC29459806	Cc1ccc(-n2ncc(C(=O)Nc3cc(C)ccc3C)c2C)cc1
ZINC28838399	COc1ccc2nc(NC(=O)c3cc(C)c(C)s3)sc2c1
ZINC32841482	O=C(Nc1ccc(-c2cc3ccccc3o2)cc1)c1ccoc1
ZINC32865737	CC1CN(C(=O)c2cc(C(C)C)cc(C(C)C)c2O)CCO1
ZINC36931900	CS(=O)(=O)c1ccc(NC2CC3CC2C2CCCC32)cn1
ZINC00303921	Cc1cc(C)c(S(=O)(=O)Nc2ccc(Cl)cn2)c(C)c1
ZINC00434762	Cn1cccc1/C=N/NC(=O)c1sc2ccccc2c1Cl
ZINC04348898	Cc1ccc2occ(/C=C/C(=O)c3ccccc3O)c(=O)c2c1
ZINC02503574	Cc1cccc(CSc2nnc3c(n2)[nH]c2ccccc23)c1
ZINC13132166	CCc1ccc(C2CC(c3ccccc3)n3ncnc3N2)cc1
ZINC01470798	O=c1nc2ccc(OC(F)(F)F)cc2c(-c2ccccc2)[nH]1
ZINC42815414	CC1CCC(N(C)C(=O)NCc2nc3ccccc3s2)CC1
ZINC46588031	CC(NC(=O)c1cnc2ccccc2n1)c1ccc(Cl)s1
ZINC48801717	CCc1nc2cc(NC(=O)c3ccc(Cl)s3)ccc2o1
ZINC49414732	COc1ccc2cccc(NC(=O)c3ccc(Cl)s3)c2n1
ZINC49415443	O=C(Nc1cccc2ccc(-n3cccc3)nc12)C1CCCCC1
ZINC02275325	CC(C)C1C(C#N)=C(SCC#N)NC2=C1C(=O)CC(C)(C)C2
ZINC33498479	C/C(=N\Nc1nc(Cl)c(Cl)cc1Cl)c1cccnc1
ZINC06556662	CC1=NN(c2ccc(C)cc2C)C(=O)/C1=C/Nc1ccccc1
ZINC57818665	O=C(Nc1c(-c2ccccc2)nc2ccccn12)C1CC=CCC1
ZINC36635338	Cc1ccc(N2C(=O)CC(Nc3cc(C)ccc3C)C2=O)cc1
ZINC66402584	Cc1ccccc1C(C#N)NC(=O)c1oc2c(C)cccc2c1C
ZINC67347643	CC(Nc1ncc(Br)cn1)c1cc2ccccc2o1
ZINC00187295	O=C(Nc1ccccc1-c1ccccc1)c1cc2ccccc2oc1=O
ZINC02741711	Cc1occc1C(=O)Nc1sc2c(c1C#N)CCC(C(C)(C)C)C2
ZINC01500696	O=C(NN=C1CCCCC1)c1cc(-c2cccs2)nc2ccccc12
ZINC04253469	Cc1c(Cl)ccc2sc(NC(=O)c3ccc(N(C)C)cc3)nc12
ZINC04370166	Cc1nc2sccn2c1-c1csc(Nc2ccc(Cl)cc2)n1
ZINC04458827	N#Cc1c(Cl)nc(N/N=C/c2ccc(F)cc2)c(Cl)c1Cl
ZINC04771660	O=C(/C=C/c1cc(Cl)cc2c1COCO2)c1cc(Cl)ccc1O
ZINC02859333	COc1ccc(C(=O)Nc2nc3c(Cl)cccc3s2)cc1Cl
ZINC05255124	Cc1ccc2c(c1)[nH]c1c(N3CC4(C)CC3CC(C)(C)C4)ncnc12
ZINC02198283	Cc1ccc2c(c1)[nH]c1c(=O)n(CCc3ccc(F)cc3)cnc12
ZINC05682070	OC1(c2ccccc2)C=C(n2nnc3ccccc32)C=C1c1ccccc1
ZINC06623579	N#Cc1c(NC(=O)CN2CCc3ccccc32)sc2c1CCCCC2
ZINC06811378	Cc1ccc(C)c(NC(=O)c2cc(=O)c3cc(C)c(C)cc3o2)c1
ZINC07505311	O=S(=O)(Nc1nc2c(ccc3ccccc32)s1)c1cccs1
ZINC07779757	Cc1cc2nc(NC3CCCc4ccccc43)c3ccccc3n2n1
ZINC00342539	O=C(N/N=C/c1cccc(Cl)c1Cl)c1ccc2ccccc2n1
ZINC00517131	CN(C)c1ccc(/C=C/C23NC(=O)CN2c2ccccc2C3(C)C)cc1
ZINC08864760	Cc1ccc2nc(NS(=O)(=O)c3ccc(Cl)s3)sc2c1
ZINC06967079	Cc1ccc2c(c1C)NC(c1ccc(Cl)c([N+](=O)[O-])c1)C1CC=CC21
ZINC13141616	COc1cc(/C=C/c2nc3ccccc3o2)cc(Br)c1O
ZINC13781362	Cc1cc(C)cc(C(=O)Nc2nc(-c3ccccn3)cc3ccccc23)c1
ZINC05738723	O/N=C/c1cn(-c2ccccc2)nc1-c1ccc(Br)cc1
ZINC20292095	CCC1CCCC[NH+]1Cc1c([O-])c(Cl)cc2c(C)c(C)c(=O)oc12
ZINC20704289	Cc1ccc2c(c1C)NC(c1ccc(Cl)c([N+](=O)[O-])c1)C1CC=CC21
ZINC20900187	CCCC1c2ccc(C)n2CCN1C(=O)Nc1cc(C)ccc1C
ZINC20900426	CCCC1c2ccc(C)n2CCN1C(=O)Nc1ccc(C)cc1C
ZINC22450540	Cc1ccccc1Cc1c(C)nc(N2CCc3ccccc3C2)[nH]c1=O
ZINC26954662	CSc1nc(NC(=O)c2ccccc2)c2c3c(sc2n1)CCC3
ZINC27062136	Cn1ncc(Br)c1/C=N/Nc1c(F)c(F)cc(F)c1F
ZINC27741964	CSc1ncc(Br)c(C(=O)Nc2ccc(C)cc2C)n1
ZINC34773054	Cc1ccc(Nc2ncnc3c4c(sc23)CC(C)(C)OC4)cc1
ZINC37316263	Cc1ncsc1C(C)Nc1c(Cl)cc(Cl)c2nsnc12
ZINC00556403	COc1c(Cl)cc(Cl)cc1C(=O)Nc1cccc2cccnc12
ZINC04900078	Cc1ccnc(N2C(=O)c3ccccc3C2Nc2cccc(C)c2C)c1
ZINC37974822	CN(C)c1ccc(Cl)cc1NC(=O)c1cc(Cl)nc(Cl)c1
ZINC38582801	ClC1=CN2C(=NC(CSc3nc4ccccc4[nH]3)C2Cl)C=C1
ZINC39908705	Cc1ccc(S(=O)(=O)Nc2ccc3ccccc3c2)c2cccnc12
ZINC40098178	CN(Cc1nc2ccccc2s1)C(=O)Nc1cccc2c1CCCC2
ZINC40384236	CN(C)c1ccc(C(=O)Nc2ccnc3c2ccc2ccccc23)cc1
ZINC56056291	CCOc1ccc2cc(C(=O)N3CCCc4ccccc43)[nH]c2c1
ZINC28818177	Cc1ccc2nc(NC(=O)c3cc(C)nc4ccccc34)sc2c1
ZINC28818177	Cc1ccc2[nH]/c(=N/C(=O)c3cc(C)nc4ccccc34)sc2c1
ZINC00222526	CCc1ccc(C2CC(c3ccccc3Cl)n3ncnc3N2)cc1
ZINC58458538	CCN(C(=O)c1cc2ccccc2c(=O)[nH]1)C1C2CC3CC(C2)CC1C3
ZINC43188192	Cc1cccc(N2CCN(C(=O)Nc3ccc(C)cc3Cl)CC2)c1
ZINC06962806	Cc1cc([N+](=O)[O-])c2c(c1C)C1C=CCC1C(c1ccc(F)cc1)N2
ZINC59155619	O=C(N/N=C/c1ccc2ccccc2n1)c1ccc(Cl)cc1Cl
ZINC59261020	O=C(N/N=C/c1ccc2ccc3cccc4ccc1c2c34)c1ccncc1
ZINC06140415	ClC1(Cl)CC1CSc1nnc2c(n1)[nH]c1ccccc12
ZINC59399500	Cc1ccc(-c2nc3ccccc3s2)cc1NC(=O)c1ccccn1
ZINC36635516	Cc1cc(C)c(N2C(=O)CC(Nc3ccc(C)c(C)c3)C2=O)c(C)c1
ZINC00149056	CSc1sc(-c2nc(C)cs2)c(C)c1-c1cc[nH]n1
ZINC01034860	O=C(NCc1ccc2c(c1)CCO2)c1csc2ccccc12
ZINC06527303	O=C(/C=C/c1ccccc1Cl)Nc1nc2c(s1)CCC2
ZINC00050660	O=C(N/N=C/c1ccc(Br)s1)C1CC12CCC2
ZINC03206909	CC(Br)C(=O)N/N=C/c1cccc2ccccc12
ZINC10442666	Cc1cnc(NC(=O)/C=C/c2cc(Cl)cc(Cl)c2)s1
ZINC12428838	O=C1CC(c2cccc(OC3CCCC3)c2)c2sccc2N1
ZINC14176674	N#C/C(=C\c1ccc(Cl)s1)C(=O)Nc1ccccc1F
ZINC14479144	COc1ccc(C2Nc3ccccc3C3C=CCC32)cc1OC
ZINC14849683	C#Cc1cccc(NS(=O)(=O)c2ccc3ccccc3c2)c1
ZINC15771483	O=C1CCCC2=C1C1CCCC(O)(C1)N2CCc1ccccc1
ZINC15838651	CCCNC(=O)C1=Cc2cc(Br)ccc2OC=C1
ZINC19835784	C=C(C#N)C(O)c1ccc(-c2ccc(Br)cc2)o1
ZINC20134826	Cc1nn(C)c(C)c1NC(C)c1ccc(Br)cc1
ZINC25512495	CC1CCc2[nH]c3ccc(C(=O)N(C)C(C)C4CC4)cc3c2C1
ZINC36755207	CC(C)c1cc(=O)[nH]c(Cc2ccc(Br)cc2)n1
ZINC37309133	O=C(Nc1nc(CCl)cs1)c1cc2c(s1)CCCC2
ZINC37336427	CC1CC[NH+](Cc2c(C(=O)[O-])sc3cccc(F)c23)CC1
ZINC37336435	CC1CCCC[NH+]1Cc1c(C(=O)[O-])sc2cccc(F)c12
ZINC38009225	Cn1cc(NCc2sc3ccccc3c2Cl)ccc1=O
ZINC20589593	CC(C)c1n[nH]c(=S)n1C(C)C12CC3CC(CC(C3)C1)C2
ZINC39218193	Fc1ccc(C/[NH+]=C2\C=CC=C3[N-]C(C(F)(F)F)N=C32)cc1
ZINC39510355	CON1CCCC(SC)C12CCC(c1ccccc1O)C2
ZINC39511357	COC1CCCN(c2ccccc2O)C12CCC(SC)C2
ZINC39512494	CCOC1CCCN(c2ccccc2O)C12CCC(Cl)C2
ZINC39513103	CCOC1CCC2(C1)C(Cl)CCCN2c1ccccc1O
ZINC39513323	CCOC1CCC2(C1)C(c1ccccc1O)CCCN2Cl
ZINC06190098	Cc1ccc(/N=C2/NC(=O)C(Cc3ccccc3C)S2)cc1
ZINC06212033	Cc1ccc(CC2S/C(=N\c3ccc(C)cc3)NC2=O)cc1
ZINC40260078	Cc1ccc(CC(O)c2cc3c(cc2Cl)OCCO3)cc1
ZINC42359010	CCc1ccc(C(=O)Nc2cccc(Br)n2)s1
ZINC42849459	CC(NC(=O)c1cc2cccc(Br)c2o1)C1CC1
ZINC43041456	O=C(NCC1CCC1)c1cc2cccc(Br)c2o1
ZINC32484482	CC(C)C(C)NC(=O)c1cc2cccc(Br)c2o1
ZINC47550530	CCC(C)N(C)C(=O)Nc1c(C)cc(Br)cc1C
ZINC48439415	CC1CCCC(NC(=O)/C=C\c2ccc(Br)o2)C1
ZINC48698061	Cn1c(C(=O)NCc2ccc(Cl)s2)cc2ccccc21
ZINC48893057	CC(Nc1cncc(Cl)n1)c1ccccc1Br
ZINC50043046	CN(c1ncc(Br)cc1CO)C1CCCCCC1
ZINC50043418	Cc1ccc(N(C)c2ncc(Br)cc2CO)cc1
ZINC50046657	O=C(CSc1ccccc1O)N1CCCC2CCCCC21
ZINC51733293	CC1CC[NH+](Cc2c(C(=O)[O-])sc3ccccc23)C(C)C1
ZINC55334754	CC(C)c1cc(=O)[nH]c(Cc2ccccc2Br)n1
ZINC58947993	O=C(/C=C/c1c(F)cccc1F)Nc1cnc2ccccc2c1
ZINC33712999	CCC(=O)Nc1nc(-c2cc(Cl)sc2Cl)cs1
ZINC62935939	CC1(C(=O)[O-])CC[NH+](Cc2sc3ccccc3c2Cl)C1
ZINC13496880	CC/[NH+]=C(\[S-])N1CCn2cccc2C1c1ccc(F)cc1
ZINC65207475	Fc1cccc(NCc2cc(Cl)cc3c2OCOC3)c1F
ZINC67119597	CC(Nc1ncc(Br)cn1)c1ccccc1Cl
ZINC67339376	CC(C)NC(=O)/C=C/c1cc2cc(Br)ccc2o1
ZINC00518399	CC1CCC2C(C)(CO)C(O)CCC2(C)C12CCC1(CCOC1)O2
ZINC04244104	Cc1cc(Br)c2nc(C)c(-c3csc(N)n3)n2c1
ZINC08869339	N#Cc1c(NC(=O)c2ccccc2O)sc2c1CCCC2
ZINC00409401	Cn1c(-c2ccc(Br)o2)nc2cc(N)ccc21
ZINC19263584	CC1Cc2ccccc2N1S(=O)(=O)c1ccccc1N
ZINC19732986	Cc1ccc(C2C3CCCC=C3C(C#N)=C(N)C2(C#N)C#N)s1
ZINC05731165	O=c1c(-c2ccc(O)cc2)c(C(F)(F)F)oc2cc(O)ccc12
ZINC20024374	Cc1ccc(N)cc1S(=O)(=O)N1c2ccccc2CC1C
ZINC23381027	Cc1cc(C2C3CCCCC=C3C(C#N)=C(N)C2(C#N)C#N)c(C)s1
ZINC25767439	Cc1[nH]c2ccc(C(=O)Nc3nc4c(s3)CCC4)cc2c1C
ZINC28839649	Cc1cc(C)c2nc(NC(=O)c3cc(Cl)c[nH]3)sc2c1
ZINC31886736	Cc1cc(C)c2nc(-n3nc(C)c(S)c3N)cc(C)c2c1
ZINC35343069	Cc1nc2cc(Sc3nc4ccccc4o3)c(N)cc2s1
ZINC36286335	Cc1sc2nc(-c3ccncc3)c(N)n2c1-c1ccccc1
ZINC36290220	Nc1c(-c2ccncc2)nc2scc(-c3ccccc3)n12
ZINC36814011	Nc1cc2c(cc1Oc1cc(Cl)cc(Cl)c1)OCCO2
ZINC36826207	Cc1ccc(N)cc1S(=O)(=O)N1CCCC2CCCCC21
ZINC37549136	Cc1cc(C#CCO)ccc1NC(=O)c1ccc(Cl)o1
ZINC36318639	Cc1ccc(-c2csc3nc(-c4ccncc4)c(N)n23)c(C)c1
ZINC38137146	Nc1ccc2c(c1)N(S(=O)(=O)C1CCCCC1)CCS2
ZINC40347897	Cc1cccc(N)c1S(=O)(=O)N1CCc2sccc2C1C
ZINC40359315	Cc1ccc(NC(=O)c2c[nH]c3c(C)c(Cl)ccc3c2=O)cc1
ZINC41068004	Nc1csc(S(=O)(=O)N2CCCC3CCCCC32)c1
ZINC42143638	Cc1sc2ncnc(Sc3ncccc3N)c2c1C
ZINC44491012	Cc1nc(NC(=O)c2ccc(Br)cc2O)sc1C
ZINC44983145	CC1CCC(c2noc(-c3cc(N)c(F)cc3F)n2)CC1
ZINC29579656	Cc1nc(NC(=O)c2cc(Br)ccc2O)sc1C
ZINC48413502	Nc1nc(CC2CCCO2)nc2sc3c(c12)CCCC3
ZINC48670547	Cc1ccc(Cl)cc1NC(=O)c1c[nH]c(=O)c(Cl)c1
ZINC50208622	Nc1ccc(Br)cc1-c1nc(-c2ccsc2)no1
ZINC50586719	Cc1nn(-c2c(C(N)=S)cnc3ccccc23)c(C)c1Cl
ZINC50586729	Cc1nn(-c2nc3c(cc2C(N)=S)CCCC3)c(C)c1Cl
ZINC50588519	Cc1nn(-c2ccc3cc(N)ccc3n2)c(C)c1Br
ZINC50588523	Cc1nn(-c2ccc3scnc3c2N)c(C)c1Br
ZINC50588544	Cc1nn(-c2ncc(Br)cc2N)c(C)c1Br
ZINC50708614	Cc1ccccc1N(C)C(=O)c1cc(Br)cnc1N
ZINC51925446	Cc1ncn(-c2c(N)cnc3ccc(Br)cc23)c1C
ZINC54698791	Cn1nc(C(C)(C)C)nc1-c1cc(Cl)cc(Cl)c1N
ZINC16609631	CC1CN/C(=N/c2ccc(/N=C3\NCC(C)S3)cc2)S1
ZINC37332522	Cc1sc(N)nc1-c1cc2c(cc1Br)OCCCO2
ZINC06678333	CCc1ccc(C2SC(C)C(=O)Nc3[nH]nc(C)c32)cc1
ZINC58377479	CC1CCC(C(N)=O)CN1C(=O)c1cc2c(s1)CCCCC2
ZINC38198032	O=C1NC(=O)/C(=C/c2c3ccccc3cc3ccccc23)N1
ZINC08518549	O=C1NC2=C(C(=O)CC(c3ccccc3)C2)C(c2ccccc2)N1
ZINC55334198	Cn1nc(-c2ccco2)c(-c2ccccc2Br)c1N
ZINC61912418	CC1Oc2cc(N)ccc2N(Cc2ccc(Cl)s2)C1=O
ZINC62238127	Nc1onc(C2CCCOC2)c1-c1ccc(Cl)cc1Cl
ZINC62637965	Cc1cc(Br)ccc1NC(=O)c1c(C)cc[nH]c1=O
ZINC12540637	O=C1NCCCCC1Sc1nc2ccc(Cl)cc2[nH]1
ZINC66462210	Cc1ccc2cccc(NC(=O)c3ccc4cc[nH]c4c3)c2n1
ZINC03317416	Cc1ccc(-c2csc3[nH]c(CCl)nc(=O)c23)cc1
ZINC00322182	O=C1CCCC2=C1C(c1ccccc1)Nc1ccc3ncccc3c12
ZINC00322178	O=C1CCCC2=C1C(c1ccccc1)Nc1ccc3ncccc3c12
ZINC04973077	COC(=O)NC1C(C)C=CC(C)C1I
ZINC05036437	CC1CCCC(NC(=O)c2cc3sccc3n2C)C1C
ZINC05224445	N#Cc1c(NC(=O)C2CC3CCC2C3)sc2c1CCCC2
ZINC05384027	CC(C)C(=O)Nc1nc2ccc(Br)cc2s1
ZINC05577781	CC1CCc2nc(/C(C#N)=C/c3ccc(O)cc3)sc2C1
ZINC09218497	O=C(Nc1cccc2ncccc12)c1cc2c(s1)CCC2
ZINC13746881	O=C(Nc1ccc(Cl)cn1)c1csc2ccccc12
ZINC18184948	Cc1ccc(NC(=O)c2cc(Br)cn2C)cc1Cl
ZINC19725069	CC(=O)c1c(-c2ccco2)[nH]c2ccc(Br)cc12
ZINC13776989	O=c1[nH]c2c(s1)C(c1ccco1)C1C3CCC(C3)C1S2
ZINC20131876	Cc1cc(Cl)cc2sc(NC(=O)C(C)Cl)nc12
ZINC22020295	Cc1ccc2nc(C)c(C(=O)NC3CCC(C)CC3)cc2c1
ZINC22241798	CC1CC(C(=O)N2CCc3ccccc32)c2ccccc2N1
ZINC25061216	O=C(Nc1cnc2ccccc2c1)c1ccccc1Br
ZINC20370116	O=c1[nH]c(Cc2ccccc2F)nc2sc3c(c12)CCC3
ZINC04172297	O=C1NC(=O)C2C3C=CC(C3=C(c3ccccc3)c3ccccc3)C12
ZINC36649995	O=C(Nc1nc2c(s1)CCCCC2)C1CC2CCC1C2
ZINC37326504	CCn1c(C2=C3CCCCC3SC2=N)nc2ccccc21
ZINC37387233	Cc1cc(C)cc(C(=O)Nc2ncc(Br)s2)c1
ZINC00042158	O=C(Nc1ccc2ccccc2n1)c1ccccc1Br
ZINC40105510	O=C(Nc1ccc2c(c1)CCC2)N1CCCC1c1ccsc1
ZINC40244993	OC(c1cc(Cl)cc(Cl)c1)c1ccc2c(c1)OCCCO2
ZINC40247289	OC(c1cc(Cl)cc(Cl)c1)c1ccc2c(c1)OCCO2
ZINC40264875	OC(c1ccc2c(c1)CCCO2)c1ccc(Br)o1
ZINC41627347	O=c1[nH]c(-c2ccc(Br)cc2)nc2sccc12
ZINC42376310	N#Cc1c(F)cccc1Nc1ncccc1Br
ZINC43535819	c1ccc2c(c1)SCCC2Nc1ncnc2ccccc12
ZINC45069457	COC(=O)NC1CC=CC(C)C1I
ZINC45069463	COC(=O)NC1CC=CC(C)C1I
ZINC48622649	CCc1c(C)sc2nc(C3CCCC(C)C3)[nH]c(=O)c12
ZINC48791107	CC(C)c1ccc2cc(C(=O)N3CCSCC3)[nH]c2c1
ZINC18231293	Cc1cccnc1NC(=O)c1cc(F)c(Cl)cc1Cl
ZINC49242227	O=C(NCc1cc(F)cc(Br)c1)N1CC2CCC1C2
ZINC54910635	Cc1ccc2c(c1)CCCN2c1nc(C)c(C(C)O)s1
ZINC54911403	OC1CCCc2nc(N3CCC4CCCCC4C3)sc21
ZINC47345569	CC(C)=CC(=O)N1CC=C(c2c[nH]c3cc(F)ccc23)CC1
ZINC50186593	Cc1ccc(-c2c(C)sc3nc(C4CC4)[nH]c(=O)c23)cc1
ZINC60637910	CC1CCc2nc(NC(=O)C3CC4C=CC3C4)sc2C1
ZINC61888740	N#CC1CCCC1NC(=O)c1cc2c(s1)CCCCC2
ZINC61888742	N#CC1CCCC1NC(=O)c1cc2c(s1)CCCCC2
ZINC62561683	CC1CC(=O)Nc2cc(C(C)C)cc(Br)c2O1
ZINC62561769	Cc1cc(Br)c(C)c2c1OC(C(C)C)C(=O)N2
ZINC62561774	Cc1c(Br)cc2c(c1C)OC(C(C)C)C(=O)N2
ZINC62561778	Cc1cc2c(c(C)c1Br)NC(=O)C(C(C)C)O2
ZINC62564210	CC(C)Cc1cc(Br)c2c(c1)NC(=O)CC(C)O2
ZINC63785476	C#CCNC(=O)N1CC=C(c2cccc3ccccc23)CC1
ZINC67613299	O=C(NC1CC1c1ccccc1)N1CCc2ccccc2C1
ZINC00301531	O=C(NN=C1CCCC1)c1ccccc1I
ZINC00342393	O=C(Nc1cccnc1)c1sc2ccccc2c1Cl
ZINC04758655	COc1ccc(Cl)c2c1NC(c1ccncc1)C1CC=CC21
ZINC09314160	O=C(Nc1cccc2cccnc12)c1ccc(Cl)s1
ZINC09365973	Cc1cnc(NC(=O)c2cc3c(F)cccc3s2)s1
ZINC14171172	Cc1oc2c(F)c(F)c(F)c(F)c2c1C(=O)NC1CCCC1
ZINC01275683	OC1CSc2nc(-c3ccccc3)c(-c3ccccc3)n2C1
ZINC19724869	O=Cc1c(-c2ccco2)[nH]c2ccc(Br)cc12
ZINC06062033	N#CC1(c2ccccc2)CCc2c(sc3[nH]cnc(=S)c23)C1
ZINC06061924	N#CC1(c2ccccc2)CCc2c(sc3[nH]cnc(=S)c23)C1
ZINC19965951	C#Cc1cccc(NC(=O)c2nc(Cl)ccc2Cl)c1
ZINC20131874	Cc1cc(Cl)cc2sc(NC(=O)C(C)Cl)nc12
