ZINC06447457	Cn1c(=O)c2[nH]c(CC[NH3+])nc2n(C)c1=O
ZINC63431697	CN(C)S(=O)(=O)c1cccc(C2NN(c3ccccc3)C=C2/C=C(\C#N)C2[NH+]=c3ccccc3=[NH+]2)c1
ZINC63490987	CCC1=NN2C(=O)C=C(COc3ccc(/C=C(\C#N)C4[NH+]=c5ccccc5=[NH+]4)cc3OC)NC2S1
ZINC63490993	CCOc1cc(/C=C(\C#N)C2[NH+]=c3ccccc3=[NH+]2)ccc1OCC1=CC(=O)N2N=C(C)SC2N1
ZINC63667475	CN(Cc1ccccc1)S(=O)(=O)c1ccc(C(=O)Nc2ccccc2C2[NH+]=c3ccccc3=[NH+]2)cc1
ZINC63699716	O=C(CCCCl)Nc1ccc(S(=O)(=O)N2CCC(C3[NH+]=c4ccccc4=[NH+]3)CC2)cc1
ZINC63708202	CC1=C(CCC2=[NH+]C3=c4ccccc4=[NH+]C(SCC(=O)c4ccc(F)cc4)N3N2)C(C)N=N1
ZINC63709560	O=C(Nc1ccccc1C1[NH+]=c2ccccc2=[NH+]1)C1CCN(S(=O)(=O)c2cccs2)CC1
ZINC63808543	COc1ccc2c(c1)=C(CCN1C(=O)C3N=[NH+]C(c4ccccc4)C3C1c1cccc(O)c1)C[NH+]=2
ZINC64031564	COc1ccc(CC2(CCC(=O)N(C)CC3[NH+]=c4ccccc4=[NH+]3)CCC(=O)N2)c2ccccc12
ZINC64151793	CC1=CC(=O)C(C(=O)NCC2[NH+]=c3ccccc3=[NH+]2)C2CC(c3cccs3)Sc3ccccc3N12
ZINC64730202	COc1ccc(C(CNC(=O)CN2CCN(c3cccc[nH+]3)CC2)C2=c3ccccc3=[NH+]C2)cc1
ZINC64744024	CC(C(=O)NCCC(C)[NH+]1CCCCCC1)C1CCN(C(=O)C2C=c3cc(Cl)ccc3=[NH+]2)CC1
ZINC03999067	Cc1ccc(NC2OC(C)C(O)C(O)C2O)cc1NC1OC(C)C(O)C(O)C1O
ZINC04268262	OCC1=CC(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C12
ZINC04268265	OCC1=CC(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C12
ZINC04974279	CC12CC(O)C3C(CCC4(O)CC(O)CC(O)C34CO)C1(O)CCC2C1=CC(=O)OC1
ZINC05566520	OCC1=CC(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C12
ZINC04221817	NC(=O)CCCNC(=O)C1=CC(NS(=O)(=O)c2cccs2)C(O)C(O)C1
ZINC08951914	O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12
ZINC09915728	CC1(CO)OC(C)(OC(C(O)CO)C(O)CC=O)C(C)(O)C(C)(O)C1(C)O
ZINC12653057	Cc1cc(NC2OC(CO)C(O)C(O)C2O)c(NC2OC(CO)C(O)C(O)C2O)cc1C
ZINC13407254	OCC1=CC(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C12
ZINC13424701	O=C1CC(c2ccc(O)c(O)c2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c21
ZINC13424749	O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12
ZINC16952318	COc1nc(NC2OC(CO)C(O)C(O)C2O)c(/C=N/O)c(=O)n1C
ZINC22047975	C=CCOC(=O)NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O
ZINC22047980	C=CCOC(=O)NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O
ZINC31155358	COc1ccc(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)cc1OC
ZINC31160903	O=C1CCC=CC1(O)C(=O)OCc1cccc(O)c1OC1OC(CO)C(O)C(O)C1O
ZINC33416005	C=CCOC(=O)NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O
ZINC33416009	C=CCOC(=O)NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O
ZINC35271482	CC1OC(OC2C(Oc3ccc4ccc(=O)oc4c3)OC(CO)C(O)C2O)C(O)C(O)C1O
ZINC35454765	COc1ccc(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)cc1OC
ZINC35456726	O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c21
ZINC35458207	O=C(/C=C/c1ccc(O)cc1)OCC1OC(OC(=O)c2cc(O)c(O)c(O)c2)C(O)C(O)C1O
ZINC35458965	CC1C(c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2)OC(c2ccc(O)cc2)C1(C)O
ZINC37634375	CC(C)C1NC(=O)CNC(=O)CNC(=O)C(C(C)C)NC(=O)CNC(=O)CNC1=O
ZINC36384899	CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC12C
ZINC08952339	CC(=O)OC1(C)CC(O)C2(O)C=COC(OC3OC(CO)C(O)C(O)C3O)C12
ZINC15449156	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(OC3OC(CO)C(O)C(O)C3O)c(O)cc(O)c12
ZINC35456943	CC1CC(O)CC(C)(C)C1(O)/C=C/C(CO)OC1OC(CO)C(O)C(O)C1O
ZINC35455248	O=C(OC1C=C(CO)C2C(OC3OC(CO)C(O)C(O)C3O)OC=CC12O)c1ccc(O)cc1
ZINC35456926	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1C=CC2(O)CO
ZINC33833251	COc1c(OC2OC(CO)C(O)C(O)C2O)cc2oc(-c3ccc(O)c(O)c3)c(O)c(=O)c2c1O
ZINC31154833	O=C1c2c(OC3OC(CO)C(O)C(O)C3O)cc(O)cc2OC1(O)Cc1ccc(O)cc1
ZINC17213269	NN1C(=O)C(CCO)S/C1=N\N=C1/SC(CCO)C(=O)N1N
ZINC39296710	NC(=O)c1c(NC(=O)/C=C(\N)CC(=O)Nc2sc3c(c2C(N)=O)CCCC3)sc2c1CCCC2
ZINC43465417	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(OC3OC(CO)C(O)C(O)C3O)c(O)cc(O)c12
ZINC43465490	O=c1c(-c2ccc(O)cc2)coc2c(C3OC(CO)C(O)C(O)C3O)c(O)ccc12
ZINC43509297	CC1(O)OC(CO)C(C)(OC2(C)OC(CO)C(C)(O)C(C)(O)C2(C)O)C(C)(O)C1(C)O
ZINC43735718	CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC12C
ZINC09214623	CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC12C
ZINC44028875	COC1(C)OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O1
ZINC44184660	CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC12C
ZINC44608002	CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC12C
ZINC36645746	COc1cc2ccc(=O)oc2cc1OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O
ZINC36645748	COc1cc2ccc(=O)oc2cc1OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O
ZINC48045968	[N-]=[N+]=NC1OC(CO)C(OC2CC(O)C(O)C(CO)O2)C(O)C1O
ZINC05664819	COC(C(=O)C(O)C(C)O)C1Cc2cc3cc(O)c(C)c(O)c3c(O)c2C(=O)C1O
ZINC59914414	Cc1nn(CCO)c(C)c1/C=N/Nc1nnc(SCC(N)=O)n1N
ZINC65734159	C=CCOC(=O)NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O
ZINC65748744	COC1(C)OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O1
ZINC03838737	NC(=O)CNC(=O)C1(O)CC(O)C(O)C(NC(=O)NC2CCCCC2)C1
ZINC00510095	CC(C)C1Cc2c(sc3nc(NN)nc(NN)c23)CO1
ZINC05706920	CCCCNC(=S)NC1OC(CO)C(O)C(O)C1O
ZINC06178425	CN(/N=C/C(=N/N)C(O)C(O)C(O)CO)c1ccccc1
ZINC06761071	OCC1CC(O)C(O)C(OC2C(CO)OC(O)C(O)C2O)O1
ZINC01956637	CN1C(=O)N(C)C(NNC(N)=S)C1NNC(N)=S
ZINC09915900	CC1(CO)OC(C)(Oc2ccc(N)cc2)C(C)(O)C(C)(O)C1(C)O
ZINC13424713	O=C1CC(c2ccc(O)cc2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c21
ZINC13660037	CC(/C=C/C1(O)C(C)CC(O)CC1(C)C)OC1OC(CO)C(O)C(O)C1O
ZINC16136377	NC(=O)NNCn1c(=S)sc(=S)n1CNNC(N)=O
ZINC16292182	Cc1ccc(C2=NNC(C(C)(O)C(C)(O)C(C)(O)C(C)(O)CO)S2)cc1
ZINC16948547	CNC(=O)c1csc(N/N=C/C(O)C(O)C(O)CO)n1
ZINC22048088	Nc1ccc(CSC2OC(CO)C(O)C(O)C2O)cc1
ZINC28295725	NC(=O)N/N=C/c1cn(CC(O)C[NH2+]CC(=O)[O-])c2ccccc12
ZINC31156466	CC(O)CCC1C(COC2OC(CO)C(O)C(O)C2O)CC(O)CC1(C)C
ZINC31156807	O=C(c1ccc(O)c(C2OC(CO)C(O)C(O)C2O)c1O)C(O)Cc1ccc(O)cc1
ZINC33727943	NC1NC(=O)N(C2OC(CO)C(O)C2O)C=C1Br
ZINC36728548	O=C1c2ccccc2OC2C=C(O)C(C3OC(CO)C(O)C(O)C3O)=C(O)C12
ZINC37246050	NS(=O)(=O)c1ccc(NC2(O)OC(CO)C(O)C(O)C2O)cc1
ZINC18163797	NNC(=O)C1C2c3ccccc3C(c3ccccc32)C1C(=O)NN
ZINC37556327	CC(NS(=O)(=O)c1c(NN)nc2sccn12)C(N)=O
ZINC39224556	Nc1[nH]c(=O)[nH]c(=O)c1C1C(c2ccc3c(c2)OCCO3)=NC2NC(=O)NC(=O)C21
ZINC39580082	COC(=O)C1C/C(=N\NC(N)=S)C(C(=O)OC)C/C1=N\NC(N)=S
ZINC04644908	OCC1OC(Nc2ccc(NC3CC(O)C(O)C(CO)O3)cc2)CC(O)C1O
ZINC40546190	Cc1cc(OCC(=O)NN)c(C)c(C)c1OCC(=O)NN
ZINC41023356	Nc1cc(N)nc(Sc2ccc3scnc3c2N)n1
ZINC42084697	CC(NC(N)=O)C(=O)NNC(=S)NCC1CCCO1
ZINC42085557	CCC(C)C(NC(N)=O)C(=O)NNC(=S)NC1CCCCC1C
ZINC42085558	CCC(C)C(NC(N)=O)C(=O)NNC(=S)NC1CCCCC1C
ZINC42691448	CC(C)CN(CC(N)=O)c1cc(N)cc(S(N)(=O)=O)c1
ZINC43536946	CCNC(=S)NC1CC(O)(C(=O)NC(C)C(N)=O)CC(O)C1O
ZINC43760819	NS(=O)(=O)c1ccc(NC2(O)OC(CO)C(O)C(O)C2O)cc1
ZINC43772534	Nc1nc2c([nH]c(=O)n2CC2CC(O)C(CO)O2)c(=O)[nH]1
ZINC15020023	NC1=C/C(=N\c2ccc(N)cc2)C(N)=C/C1=N\c1ccc(N)cc1
ZINC15020023	NC1=C/C(=N\c2ccc(N)cc2)C(N)=C/C1=N/c1ccc(N)cc1
ZINC44699170	OCC1OC(OC2C(CO)OC(OCc3ccccc3)C(O)C2O)C(O)C(O)C1O
ZINC45868719	NC(=O)C(NC(=O)NCC1CCS(=O)(=O)C1)C(N)=O
ZINC47872191	CC(C)C(NC(N)=O)C(=O)NNC(=S)NC1CCCC(C)C1C
ZINC49946773	CC1c2cccc(O)c2CC2=C(O)C3(O)C(=O)C(C(N)=O)=C([O-])C([NH+](C)C)C3C(O)C21
ZINC53114730	CC1CCCC(CO)(Nc2ccc(S(N)(=O)=O)cc2N)C1
ZINC16957541	Nc1cc2c(C3OC(CO)C(O)C3O)n[nH]c2c(=S)[nH]1
ZINC08780825	N/C(CSc1nc(SC/C(N)=N\O)ns1)=N\O
ZINC61807559	NC(=O)CN(CC(N)=O)c1ccc(S(N)(=O)=O)cc1N
ZINC61850304	NC(=O)CN(CC(N)=O)c1ccc(C(N)=S)c(Cl)c1
ZINC62834568	NC(=O)CN(CC(N)=O)C(=O)c1cc2cc(N)ccc2[nH]1
ZINC64417722	NC1=NC(=O)NC(=O)C1C1C(c2ccc(Cl)s2)=NC2NC(=O)NC(O)C21
ZINC65622648	CCC(C)C(NC(N)=O)C(=O)NNC(=O)NCCC(C)C
ZINC65734968	CC(Cc1cc(O)c(O)cc1Br)([NH2+]N)C(=O)[O-]
ZINC65734972	CC(Cc1cc(O)c(O)c(Br)c1)([NH2+]N)C(=O)[O-]
ZINC32821922	[NH3+]CCc1ccc(OC2OC(C(=O)[O-])C(O)C(O)C2O)c(O)c1
ZINC32821920	[NH3+]CCc1ccc(OC2OC(C(=O)[O-])C(O)C(O)C2O)c(O)c1
ZINC09424021	O=c1[nH]c(=O)n(Cc2ccccc2)c2c1C(C(F)(F)F)(C(F)(F)F)[NH+]=C(CCc1ccccc1)N2
ZINC09542385	COc1ccc(C2N=C(c3ccc(Cl)cc3)CC(c3cccc(OC)c3O)[NH2+]2)cc1Br
ZINC09542538	CCOc1cccc(C2CC(c3ccc(Cl)cc3)=NC(c3ccc(OC)c(Br)c3)[NH2+]2)c1O
ZINC09542766	CCOc1cccc(C2CC(c3ccc(C)cc3)=NC(c3ccc(OC)c(Br)c3)[NH2+]2)c1O
ZINC12820527	Cc1ccc2nc(-c3ccc(NC(=O)C[NH+](C)CC(=O)Nc4ccc(F)c(F)c4F)cc3)sc2c1
ZINC16633281	CC(C(=O)Nc1ccccc1C(=O)c1ccccc1)[NH+](C)CC(=O)Nc1ccccc1Br
ZINC08448666	CCOC(=O)C1=C(CSc2nc3c(cc2C#N)C[NH+](C)CC3)OC(N)=C(C#N)C1c1ccc(Cl)cc1
ZINC20617420	COc1cc(Cl)c(C)cc1NC(=O)c1cc2c(CO)cnc(C)c2o/c1=[NH+]\c1cccc2ccccc12
ZINC20763345	CCc1ccc(C2=NC(c3ccc(OC)c(OC)c3)[NH2+]C(c3cc(Br)ccc3O)C2)cc1
ZINC20764788	COC(=O)c1ccc(C2N=C(c3cccc(Br)c3)CC(c3cc(Cl)ccc3O)[NH2+]2)cc1
ZINC24023405	Cc1cc(N2CCOCC2)nc(Nc2ccc(NS(=O)(=O)c3ccc4cccc5c4c3CC5)cc2)[nH+]1
ZINC28048965	Cc1cc(Br)ccc1S(=O)(=O)Nc1c(O)oc2ccccc2c1=[NH+]C1CCCCC1
ZINC30881648	CC1=CC(CNC(=O)Nc2ccccc2)C(C(C)C)CC1CC(=O)N1CCN(c2cccc[nH+]2)CC1
ZINC33748759	COc1ccc(NC(=O)C2=C(C)[NH+]=C3SCCCN3C2c2ccc(NC(=O)c3ccccc3C)cc2)cc1
ZINC34681406	Cc1ccc(S(=O)(=O)N2CCCN(c3ccc(NC(=O)Nc4ccc(C)cc4C)c[nH+]3)CC2)cc1
ZINC35415640	CCC1CCCC[NH+]1CC(=O)Nc1sc2c(c1C(=O)Nc1cccc([N+](=O)[O-])c1)CCC(C(C)(C)C)C2
ZINC35842962	Cc1ccc(S(=O)(=O)N2CCCN(c3ccc(NC(=O)Nc4cccc(C)c4C)c[nH+]3)CC2)cc1
ZINC36013955	CCOC(=O)C1=C(C[NH+]2CCCN(C(=O)NC(C)(C)C)CC2)N(CC)C(=O)NC1c1cccc(C)c1
ZINC36013981	CCOC(=O)C1=C(C[NH+]2CCCN(C(=O)NC(C)(C)C)CC2)N(CC)C(=O)NC1c1ccc(C)cc1
ZINC08682519	COC(=O)c1c(NC(=O)C[NH+]2CCC3(O)CCCCC3C2c2ccccc2OC)sc(C)c1C
ZINC03011883	O=C(Nc1cccc(Cl)c1Cl)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(Cl)cc1)N2
ZINC03011892	O=C(Nc1cc(Cl)cc(Cl)c1)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(Cl)cc1)N2
ZINC38547455	Cc1cccc(NC(c2ccc3c(c2)OCO3)c2c(NC(=O)c3ccco3)sc3c2CCCC3)[nH+]1
ZINC38547882	CCc1cc(C(Nc2cc(C)cc[nH+]2)c2ccc(Br)cc2)c(NC(=O)c2ccco2)s1
ZINC38793472	CC(SC1NN=C(C2=c3ccccc3=[NH+]C2)N1c1ccc(Cl)cc1)C(=O)Nc1ccc(C#N)cc1
ZINC38796717	c1ccc(Nc2nc(CSC3NN=C(C4=c5ccccc5=[NH+]C4)N3CC3CCCO3)cs2)cc1
ZINC38806208	COC(=O)c1c(NC(=O)c2cc(Br)ccc2Cl)sc2c1CC(C)(C)[NH2+]C2(C)C
ZINC39466505	O=P1(Cc2ccccc2)N[NH+]2CC3C=C(Cc4ccccc4)C(c4ccccc4O)=CC3CC2CO1
ZINC39466506	O=P1(Cc2ccccc2)N[NH+]2CC3C=C(Cc4ccccc4)C(c4ccccc4O)=CC3CC2CO1
ZINC39467032	O=P1(c2ccccc2O)N[NH+]2CC3C=C(Cc4ccccc4)C(Cc4ccccc4)=CC3CC2CO1
ZINC39467036	O=P1(c2ccccc2O)N[NH+]2CC3C=C(Cc4ccccc4)C(Cc4ccccc4)=CC3CC2CO1
ZINC39467410	O=S(=O)(Nc1ccc(N2CCC([NH2+]CC3=NN=C(c4ccccc4)C3)CC2)cc1)c1ccccc1
ZINC39533906	O=S(=O)(Oc1ccccc1)C1CN(C(CNBr)c2ccc(-c3ccccc3)cc2)CC[NH2+]1
ZINC39584757	O=C(CSC1=NNC(c2ccc(Cl)cc2)N1c1ccccc1)N/N=C/C1=c2ccccc2=[NH+]C1
ZINC40392476	CCOC(=O)C1=C(C[NH+]2CCCN(C(=O)NC(C)(C)C)CC2)N(CC)C(=O)NC1c1ccccc1C
ZINC40688693	Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1Nc1[nH+]cnc(N(C)c2ccccc2)c1N
ZINC38550664	COc1ccc(C(Nc2cccc[nH+]2)c2c(NC(=O)c3ccco3)sc3c2CCCC3)c(OC)c1
ZINC59170418	Cc1ccc(NC(=O)c2cc3c(ccc4ccccc43)o/c2=[NH+]\NS(=O)(=O)c2ccc(C)cc2)cc1
ZINC59170636	CCc1ccc(NC(=O)c2cc3cc(Cl)ccc3o/c2=[NH+]\NS(=O)(=O)c2ccc(C)cc2)cc1
ZINC59170737	CCOc1cccc2cc(C(=O)Nc3ccccc3OC)/c(=[NH+]\NS(=O)(=O)c3ccc(C)cc3)oc12
ZINC59170741	COc1ccc2cc(C(=O)Nc3ccccc3OC)/c(=[NH+]/NS(=O)(=O)c3ccc(C)cc3)oc2c1
ZINC15947157	CCOc1cc(C2N=C(O)c3c(sc4c3CC[NH+](CC)C4)N2)ccc1OC(=O)c1ccc(F)cc1
ZINC15947293	CC[NH+]1CCc2c(sc3c2C(O)=NC(c2cc(Br)ccc2OCc2ccccc2)N3)C1
ZINC63166543	O=C(NC1CCCCCC1)C(CC1=c2ccccc2=[NH+]C1)NC(=O)C(c1ccccc1)c1ccccc1
ZINC63589036	COc1ccc(C(=O)/N=C(/NCCC2=c3ccccc3=[NH+]C2)Nc2ccc(Br)cc2)cc1
ZINC63589291	COc1ccc(N/C(=N\C(=O)c2ccc3c(c2)OCO3)NCCC2=c3ccccc3=[NH+]C2)cc1Cl
ZINC63830754	COc1ccc(C(CNC(=O)CN2C(=O)NC3(CCCCC3C)C2=O)C2=c3ccccc3=[NH+]C2)cc1
ZINC64164765	O=C(NCCC1=c2ccccc2=[NH+]C1)/C(=C\c1ccc([N+](=O)[O-])cc1)NC(=O)c1ccccc1Cl
ZINC64169868	COc1cccc(C(CNC(=O)CC23CC4CC(CC(O)(C4)C2)C3)C2=c3ccccc3=[NH+]C2)c1OC
ZINC64716234	COc1ccc(C(CNC(=O)CN2C(=O)NC3(CCCCCC3)C2=O)C2=c3ccccc3=[NH+]C2)cc1
ZINC00845086	CC(C)(C)C1CCc2c(sc(NC(=O)c3cc4nc(-c5ccco5)cc(C(F)(F)F)n4n3)c2C(N)=O)C1
ZINC05494536	NS(=O)(=O)c1ccc2c(c1)C1C(Cl)C(Sc3ccccc3[N+](=O)[O-])CC1C(c1ccccc1)N2
ZINC08444955	COC(=O)c1c(NC(=O)c2sc3nc(C(F)F)cc(C)c3c2N)sc2c1CCC(C(C)(C)C)C2
ZINC01808334	C=CCNC(=S)NNc1nc2c(c(=O)n1-c1ccccc1OC)C1(CCCCC1)Cc1ccccc1-2
ZINC08833341	Cc1cc(C)c2oc(-c3ccc(NC(=S)NC(=O)/C=C/c4ccc(Cl)cc4Cl)cc3O)nc2c1
ZINC01243416	CC1CCc2c(sc(NC(=O)/C(C#N)=C/c3ccc(-c4ccc(Br)cc4)o3)c2C(N)=O)C1
ZINC01819644	CCOC(=O)Cc1c(NC(=O)CSc2nc(N)c3c4c(sc3n2)CCCC4)sc2c1CCCC2
ZINC02315651	COC(=O)c1c(NC(=O)c2c(N)n(CCc3ccccc3)c3nc4ccccc4nc23)sc2c1CCCC2
ZINC02377007	Cc1ccc(-c2nnc(SCC(=O)Nc3c(Br)cc(C)cc3Br)n2N)cc1
ZINC09325730	COc1ccc(Cl)c2sc(NNC(=O)c3cccc(NS(=O)(=O)c4ccc(C)cc4)c3)nc12
ZINC16572771	CCC(C)C(NC(=O)Nc1ccccc1C)C(=O)Nc1nnc(-c2cccc(Br)c2)s1
ZINC16610778	CCOC(=O)C1=C(C)N(C)C(=S)NC1c1cccc(NC(=O)Nc2c(C(C)C)cccc2C(C)C)c1
ZINC19939899	CCc1ccccc1NC(=O)CSC1=C(C#N)C(c2ccccc2)C(C(=O)Nc2ccccc2C)=C(C)N1
ZINC01438104	CCc1ccc(NC(=O)CSC2=C(C#N)C(c3cccs3)C(C(=O)Nc3ccccc3)=C(C)N2)cc1
ZINC09302125	CC1=C(C(=O)Nc2ccccc2)C(c2cccs2)C(C#N)=C(SCC(=O)Nc2ccc(Cl)cc2)N1
ZINC01438102	CC1=C(C(=O)Nc2ccccc2)C(c2ccco2)C(C#N)=C(SCC(=O)Nc2ccc(C)c(Cl)c2)N1
ZINC20347541	CCc1ccc(NC(=O)CSC2=C(C#N)C(c3ccccc3)C(C(=O)Nc3ccccc3)=C(C)N2)cc1
ZINC20347742	COc1cc(C2C(C#N)=C(SCC(=O)c3ccc(C)cc3)NC(C)=C2C(=O)Nc2ccccc2)ccc1O
ZINC20701011	COc1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2cc(Cl)cc(Cl)c2O)N3)cc1
ZINC20713357	O=C(Nc1ccc(Nc2ccccc2)cc1)c1cccc2c1NC(c1ccccc1[N+](=O)[O-])C1CC=CC21
ZINC20882145	COc1ccc(OC)c(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cc(Cl)c(O)c(OC)c2)c1
ZINC20883432	COc1cc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(C(C)(C)C)cc2)C3)cc([N+](=O)[O-])c1O
ZINC21249841	CCOc1cc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccccc2Cl)C3)cc([N+](=O)[O-])c1O
ZINC21253061	COc1cc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(OC(C)C)cc2)C3)cc(Cl)c1O
ZINC21256951	CCOc1cc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(N(C)C)cc2)C3)cc(Cl)c1O
ZINC33382455	CCC(C)C(NC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)Nc1nnc(-c2ccc(N(C)C)cc2)s1
ZINC34947067	O=C(NCCCN(C(=O)Nc1ccc(Cl)cc1)c1ccccc1)Nc1ccccc1Br
ZINC35004547	CCCCNC(=O)N1CCN(C(=O)C(NC(=O)Nc2ccccc2Br)C(C)CC)CC1C
ZINC35300908	CCC(C)C(NC(=O)Nc1cccc2ccccc12)C(=O)Nc1nnc(-c2ccc(N(C)C)cc2)s1
ZINC35707650	CCN1C(=O)NC(c2ccc(NC(=O)Nc3ccccc3Br)cc2)C(C(=O)OC(C)C)=C1C
ZINC35707658	CC1=C(C(=O)OC(C)C)C(c2ccc(NC(=O)Nc3ccc(Br)cc3)cc2)NC(=O)N1C
ZINC35707660	CCN1C(=O)NC(c2cccc(NC(=O)Nc3ccccc3Br)c2)C(C(=O)OC(C)C)=C1C
ZINC36484942	COc1ccc(C(C(=O)NC(C)(C)C)N(C(=O)c2c(O)cccc2O)c2cccc(Cl)c2)cc1OC
ZINC36484943	COc1ccc(C(C(=O)NC(C)(C)C)N(C(=O)c2c(O)cccc2O)c2cccc(Cl)c2)cc1OC
ZINC36545254	COc1ccc(C(C(=O)NC(C)(C)C)N(C(=O)c2c(O)cccc2O)c2ccccc2Cl)cc1OC
ZINC36545255	COc1ccc(C(C(=O)NC(C)(C)C)N(C(=O)c2c(O)cccc2O)c2ccccc2Cl)cc1OC
ZINC36557815	O=C(Nc1ccc(Nc2ccccc2)cc1)c1cccc2c1NC(c1ccccc1[N+](=O)[O-])C1CC=CC21
ZINC39409969	COc1cccc(/C=N/C23CCCCC2C(/[NH+]=C/c2cccc(OC)c2O)c2cccc(OC)c2O3)c1O
ZINC39711246	Cc1cc2c(cc1C)=[NH+]C(=O)C(C(C1N=NNN1C(C)(C)C)[NH+](Cc1ccco1)Cc1ccccc1Cl)C=2
ZINC39895380	Cc1ccc(-c2c(C#N)c(N)nc3c(C(=O)N4CC(C)OC(C)C4)c(Nc4cccc(C)c4)sc23)cc1
ZINC41006297	Cc1ccc(NC(=O)C2C(=O)CC(C)(O)C(C(=O)Nc3ccc(C)cc3C)C2c2ccccc2F)c(C)c1
ZINC41006575	Cc1ccccc1NC(=O)C1C(=O)CC(C)(O)C(C(=O)Nc2ccccc2C)C1c1c(F)cccc1Cl
ZINC41006581	Cc1ccccc1NC(=O)C1C(=O)CC(C)(O)C(C(=O)Nc2ccccc2C)C1c1c(F)cccc1Cl
ZINC45259227	CNc1cc(-c2cccnc2Nc2c(C)ccc3c(Nc4ccc5sc(C)nc5c4)nccc23)ncn1
ZINC08951410	CC1(C)SC(=S)N(/N=C/c2c(O)ccc3ccccc23)C1N(O)C(=O)Nc1ccc(Cl)cc1
ZINC09243649	CCOc1cc(C2c3c(n[nH]c3-c3cc(Cl)c(C)cc3O)C(=O)N2Cc2ccc(C)cc2)ccc1O
ZINC09243649	CCOc1cc(C2c3c(-c4cc(Cl)c(C)cc4O)n[nH]c3C(=O)N2Cc2ccc(C)cc2)ccc1O
ZINC01102294	CC1=C(C(=O)Nc2ccccc2C)C(c2cccs2)C(C#N)=C(SCC(=O)Nc2cccc(C)c2C)N1
ZINC01767197	C=C(NNC(=O)CSc1nc2sc3c(c2c(=O)n1-c1ccc(C)cc1)CCCC3)c1ccc(O)cc1
ZINC16284203	Cc1cc2nc(-c3ccc(NC(=S)NC(=O)/C=C/c4ccc(Cl)cc4Cl)cc3O)oc2cc1C
ZINC58961266	Cc1ccc(-c2cc(C(F)(F)F)nc(SC(C)C(=O)Nc3sc4c(c3C(N)=O)CCCC4)n2)cc1
ZINC03838414	CC(C)NC(=O)NC1CC(C(=O)N2CCCC2C(N)=O)N(C(=O)CC(C)(C)C)C1
ZINC00958540	CCOC(=O)c1c(NC(=O)c2ccc(OC(C)C(=O)NN)cc2)sc2c1CCCC2
ZINC06544904	CCOC(=O)C1=C(c2ccccc2)N(CC(N)=O)C(=O)C12C(C#N)=C(N)Oc1ccccc12
