ZINC02780389	Cc1nn(C)cc1C(=O)Nc1sc2c(c1C(N)=O)CCC2
ZINC60164265	O=C(NCC(c1ccc(Cl)cc1)N1CCOCC1)C1=NN(c2ccccc2)C(=O)CC1
ZINC60331120	Cc1ccc(C(=O)N2CCCC(C(=O)N3CCCCC3CNC(=O)OC(C)(C)C)C2)cc1
ZINC39791979	COc1cc(Cl)c(NC(=O)CCC2=NC(=O)C3=C4CCCCC4SC3=N2)cc1OC
ZINC63617329	O=C1CC(c2ccccc2)=NC(SCC(=O)NC2ON=CC2c2ccc(Cl)cc2)=N1
ZINC64816344	COCCNC(=O)C1(C)Cn2nc(-c3cccs3)cc2C(=O)N1c1ccc(C)cc1C
ZINC64816345	COCCNC(=O)C1(C)Cn2nc(-c3cccs3)cc2C(=O)N1c1ccc(C)cc1C
ZINC65293833	Cc1oc(CNS(=O)(=O)c2ccc(C(F)(F)F)cc2)nc1C(=O)N1CCC(C)CC1
ZINC05392793	CCCS(=O)(=O)Nc1ccc(=O)n2c1C1CC(CN(S(=O)(=O)c3ccccc3)C1)C2
ZINC07006671	CCOC(=O)c1c(C)[nH]c(C)c1S(=O)(=O)N1CCCC(C(=O)N2CCCCC2)C1
ZINC08728115	CC(C)CN(C(=O)CN1C(=O)NC(C)(c2ccc(Cl)cc2)C1=O)C1CCS(=O)(=O)C1
ZINC08879988	CCOC(=O)c1sc(NC(=O)c2ccc(N3C(=O)CCC3=O)cc2)c(SC#N)c1C
ZINC09410522	COc1ccc(CNC(=O)C2C3C=CC4(CN(Cc5ccc6c(c5)OCO6)C(=O)C24)O3)cc1
ZINC09630846	CC1CCCC(NC(=O)COC(=O)C2CC(=O)N(c3ccc4c(c3)OCCO4)C2)C1C
ZINC09684916	COc1ccc(NS(=O)(=O)c2c(C(=O)N3CCCCC3)c(C)n(C)c2C)c(OC)c1
ZINC11694107	O=C(COc1ccccc1)N1CCC2(CC1)NC(=O)N(CCOc1ccccc1)C2=O
ZINC11694119	COc1ccc(C(=O)N2CCC3(CC2)NC(=O)N(CCc2ccccc2)C3=O)cc1OC
ZINC12149850	COc1ccc(CCN2C(=O)NC(C)(C3CCN(C(=O)C4CCCO4)CC3)C2=O)cc1
ZINC13117874	O=C(CSc1nnc(-c2ccc(Cl)cc2)n1CC1CCCO1)N1CCNC1=O
ZINC14200737	CC(=O)c1c(C)[nH]c(C(=O)CSc2nnc(C3COc4ccccc4O3)n2C)c1C
ZINC15069189	COCc1c(C(=O)NCc2cccc(C)n2)cnn1-c1ncc(C)c(-c2cccs2)n1
ZINC15277930	N#Cc1c(NC(=O)COC(=O)Cn2cnc3ccccc3c2=O)sc2c1CCCC2
ZINC16677053	COc1ccc(N2C(=O)C(C)CS2(=O)=O)cc1S(=O)(=O)NCCc1cccs1
ZINC17299589	O=C(CCCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCN(c2ncccn2)CC1
ZINC15320673	CCOC(=O)CN1C(=O)C2(NC(C)C3C(=O)N(Cc4ccccc4)C(=O)C32)c2ccccc21
ZINC04312334	Cc1ccc(C2C(C(=O)c3c(C)nc4c(C)cccn34)=C([O-])C(=O)N2CC[NH+](C)C)o1
ZINC20548928	CCOC(=O)C1=C(C)C2C(=O)NC(CN3CCc4cc(OC)c(OC)cc4C3)=NC2S1
ZINC20622654	CC(C)Cc1nc(N2CCN(C(=O)C(=O)NCc3ccco3)CC2)c(C#N)c2c1CCC2
ZINC21150622	CC1(C)Cc2c(C#N)c(SCC(=O)NCc3ccco3)nc(N3CCOCC3)c2CO1
ZINC22521634	COC(=O)c1c(NC(=O)C2CCCN(S(=O)(=O)N(C)C)C2)sc2c1CCCC2
ZINC22735672	CN1CCc2cc(C(CNS(=O)(=O)c3ccc4c(c3)OCCO4)N3CCOCC3)ccc21
ZINC22978071	CSc1nc(-c2ccco2)nc(C)c1C(=O)OCC(=O)NC1CCOc2ccccc21
ZINC25154233	COC(=O)C(c1ccc(Cl)cc1)N1CCN(C(=O)C(C)NC(=O)c2ccco2)CC1
ZINC25250166	Cc1nn(-c2ccccc2)c(C)c1CN(C)C(=O)CCN1C(=O)NC2(CCCC2)C1=O
ZINC25878659	COc1ccc(C2CCCN2C(=O)CCCN2C(=O)NC3(CCCC3)C2=O)cc1OC
ZINC28626771	Cc1nc(NC(=O)COC(=O)CN2C(=O)C3CC=CCC3C2=O)c(Cl)cc1Cl
ZINC31419062	Cc1ccc(-c2nc(C)c(C(=O)NCCS(=O)(=O)N3CC(C)OC(C)C3)s2)o1
ZINC31783928	COc1ccc(-c2nn(CN3Cc4c(OC)ccc(OC)c4C(O)C3)c(=S)o2)cc1
ZINC32949630	O=S(=O)(NCCn1c(C(F)(F)F)nc2cccnc21)c1cccc2nsnc12
ZINC33006414	Cn1c(=O)c(N2CCCC(C(=O)NCCSCc3ccco3)C2)nc2cccnc21
ZINC39543905	COc1ccc(CN(C)C(=O)CN2C(=O)NC3(CC(C)CC(C)(C)C3)C2=O)cc1OC
ZINC45470721	CN(CC(=O)NC(C)(C)C)C(=O)CN1CC(C(=O)N2CCCCC2)Oc2ccccc21
ZINC46842508	CC(=O)c1ccc(S(=O)(=O)N(C)CC(=O)NC2CCN(C(=O)C(C)(C)C)CC2)cc1
ZINC03302953	O=C(OCC(=O)N1NC(c2ccc(Cl)cc2)=CC1c1ccco1)c1cc[n+]([O-])cc1
ZINC15837972	COc1cc(/C=C2/C(=N)N3N=C(Cc4ccccc4)SC3=NC2=O)cc(OC)c1OC
ZINC57607592	Cc1cc2cc(CN(Cc3nnnn3C3CCCC3)CC3CCCO3)c(=O)[nH]c2cc1C
ZINC59007281	Cc1ccc(-c2csc3ncn(CCC(=O)NC(C)c4nncn4C)c(=O)c23)cc1
ZINC14706921	O=C(CN1C(=O)C2CC=CCC2C1=O)N(Cc1ccccc1)Cc1nc2ccccc2c(=O)[nH]1
ZINC12637410	O=C(COC(=O)CN1C(=O)C2CC=CCC2C1=O)Nc1nc(-c2ccc(F)cc2)cs1
ZINC63133238	CS(=O)(=O)[N-]c1ccc(C(=O)CSc2nnc(C3=c4ccccc4=[NH+]C3)o2)cc1
ZINC63710186	COc1ccc(N2C(=O)C3=CN=NC3=NC2SCC(=O)NCc2cccs2)cc1
ZINC64076097	CC1=C2C(=O)N=C(CSC(C)C(=O)Nc3cccnc3-n3cccn3)N=C2SC1C
ZINC64414881	CC1=C(S(=O)(=O)NCCC2CCCCN2S(=O)(=O)c2cccs2)C(C)N=N1
ZINC35478355	CCOC(=O)c1cc(S(=O)(=O)N2CCCC2C(=O)Nc2cc(F)ccc2F)cn1C
ZINC35482432	CCN(Cc1ccccc1)C(=O)C1CCN(S(=O)(=O)c2ccc3c(c2)NC(=O)CO3)CC1
ZINC64688263	CCOC(=O)C1=C2CCCCCC2SC1NC(=O)CSC1=NC=NC2=NC=NC21
ZINC64711976	CCc1ccc(CNC(=O)C2CCCN(S(=O)(=O)C3C=CC(C4C=CN=N4)O3)C2)cc1
ZINC65259065	Cc1oc(C2N=NC=C2C(=O)N2CCCC2)cc1S(=O)(=O)NCc1ccc(Cl)cc1
ZINC11868278	C[NH+](C)CCN1C(=O)CC(CC(=O)N2CCC([NH+]3CCOCC3)CC2)(c2ccccc2Cl)C1=O
ZINC14535702	COc1ccc(CCN2C(=O)N(CC[NH+](C)C)C(=O)C23CC[NH+](C2CCSC2)CC3)cc1
ZINC39406094	COc1cc(C2=NN=CC2C[NH+]2CCCCC2CCn2cc[nH+]c2C)cc(OC)c1OC
ZINC39556119	CC1=CC(NC(=O)CSC2[NH+]=c3ccccc3=C3[NH+]=C(CCn4nc(C)cc4C)NN32)N=N1
ZINC39594174	CCCCC(=O)N1CC(C(=O)NCC(c2cccnc2)[NH+]2CCCC2)C2(CC[NH2+]CC2)C1
ZINC39594187	CCCC(C)C(=O)N1CC(C(=O)NCC(c2cccnc2)[NH+]2CCCC2)C2(CC[NH2+]CC2)C1
ZINC39594792	O=C(NCC(c1cccnc1)[NH+]1CCCC1)C1CN(C(=O)COc2cccc(Cl)c2)CC12CC[NH2+]CC2
ZINC39594983	COc1c(C(=O)N2CC(C(=O)NCC(c3cccnc3)[NH+]3CCCC3)C3(CC[NH2+]CC3)C2)csc1Cl
ZINC39608634	CC(=O)Oc1cccc(C(=O)N2CC(C(=O)NC3CC[NH+](Cc4ccccc4)C3)C3(CC[NH2+]CC3)C2)c1C
ZINC39626485	Cc1cc(=O)oc2c(OCC(=O)N3CC(C(=O)NCC[NH+](C)C)C4(CC[NH2+]CC4)C3)cccc12
ZINC39627943	COc1cc(C(=O)N2CC(C(=O)NCC[NH+]3CCCCC3)C3(CC[NH2+]CC3)C2)cc(OC)c1OC
ZINC39628309	COc1cc(OC)cc(C(=O)N2CC(C(=O)NCCC[NH+]3CCCCC3C)C3(CC[NH2+]CC3)C2)c1
ZINC39628496	CC(=O)Oc1cccc(C(=O)N2CC(C(=O)NCCC[NH+]3CCCCC3C)C3(CC[NH2+]CC3)C2)c1C
ZINC39628554	Cc1cc(C(=O)N2CC(C(=O)NCCC[NH+]3CCCCC3C)C3(CC[NH2+]CC3)C2)n(C(C)(C)C)n1
ZINC39630580	COc1cc(OC)cc(C(=O)N2CC(C(=O)NCC(C)(C)C[NH+](C)C)C3(CC[NH2+]CC3)C2)c1
ZINC39630751	CC(Oc1ccccc1)C(=O)N1CC(C(=O)NCC(C)(C)C[NH+](C)C)C2(CC[NH2+]CC2)C1
ZINC39630869	COc1ccc(Br)c(C(=O)N2CC(C(=O)NCC(C)(C)C[NH+](C)C)C3(CC[NH2+]CC3)C2)c1
ZINC39634764	CC(Oc1ccccc1)C(=O)N1CC(C(=O)NCC[NH+](C(C)C)C(C)C)C2(CC[NH2+]CC2)C1
ZINC39634816	COc1ccc(Br)c(C(=O)N2CC(C(=O)NCC[NH+](C(C)C)C(C)C)C3(CC[NH2+]CC3)C2)c1
ZINC39634838	Cc1cc(-c2onc(C)c2C(=O)N2CC(C(=O)NCC[NH+](C(C)C)C(C)C)C3(CC[NH2+]CC3)C2)no1
ZINC39663904	COc1ccc(C(CNC(=O)C2CN(C(=O)c3csc4ccccc34)CC23CC[NH2+]CC3)[NH+](C)C)cc1
ZINC39664174	CCC(C)CC(=O)N1CC(C(=O)NCC(c2ccc(OC)cc2)[NH+]2CCCC2)C2(CC[NH2+]CC2)C1
ZINC39664812	C[NH+](C)CC(NC(=O)C1CN(C(=O)c2cccnc2Oc2ccccc2)CC12CC[NH2+]CC2)c1ccccc1
ZINC39674628	CC(=O)Oc1ccccc1C(=O)N1CC(C(=O)NCCC2=c3cc(C#N)ccc3=[NH+]C2C)C2(CC[NH2+]CC2)C1
ZINC39674770	CCSc1ncccc1C(=O)N1CC(C(=O)NCCC2=c3cc(C#N)ccc3=[NH+]C2C)C2(CC[NH2+]CC2)C1
ZINC39674883	COCCC(=O)N1CC(C(=O)NCCC2=c3cc(C#N)ccc3=[NH+]C2C)C2(CC[NH2+]CC2)C1
ZINC39675828	C[NH+](C)C(CNC(=O)C1CN(C(=O)c2cccnc2Oc2ccccc2)CC12CC[NH2+]CC2)c1ccccc1
ZINC39675829	C[NH+](C)C(CNC(=O)C1CN(C(=O)c2cccnc2Oc2ccccc2)CC12CC[NH2+]CC2)c1ccccc1
ZINC39678889	COc1cc(OC)cc(C(=O)N2CC(C(=O)NCCCC[NH+](C)C)C3(CC[NH2+]CC3)C2)c1
ZINC39678891	CC(=O)Oc1ccccc1C(=O)N1CC(C(=O)NCCCC[NH+](C)C)C2(CC[NH2+]CC2)C1
ZINC39683479	CCCC[NH+]1CCC(CNC(=O)C2CN(C(=O)c3cc(OC)c(OC)c(OC)c3)CC23CC[NH2+]CC3)CC1
ZINC39689790	C[NH+]1CCC(CNC(=O)C2CN(C(=O)C3CCN(C(=O)OCc4ccccc4)CC3)CC23CC[NH2+]CC3)C1
ZINC39695519	CC[NH+]1CCCC1CNC(=O)C1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CC12CC[NH2+]CC2
ZINC39710237	COCCn1nnnc1C(C1C=c2cc(C)ccc2=[NH+]C1=O)N1CC[NH+](Cc2ccc3c(c2)OCO3)CC1
ZINC39711465	CCOc1ccc2c(c1)=CC(C(c1nnnn1CCOC)N1CC[NH+](CC)CC1)C(=O)[NH+]=2
ZINC39711622	COCCn1nnnc1C(C1C=c2cc3c(cc2=[NH+]C1=O)OCO3)N1CC[NH+](Cc2ccccc2)CC1
ZINC39711659	COCCn1nnnc1C(C1C=c2cc3c(cc2=[NH+]C1=O)OCO3)[NH+](Cc1ccccc1)Cc1ccco1
ZINC46555914	CC(C(=O)NC1CC[NH+](Cc2ccccc2)C1)[NH+]1CCN(c2ccccc2[N+](=O)[O-])CC1
ZINC63208857	COc1cccc(C(C[NH2+]CC(O)CN2CCOCC2)C2=c3ccccc3=[NH+]C2)c1OC
ZINC63330620	COC(=O)c1cc(C(=O)OC)cc(N2C(=O)CC([NH2+]CCC3=c4ccccc4=[NH+]C3)C2=O)c1
ZINC63362270	COc1ccc2c(c1)=C1CCN3C(=O)N(c4ccccc4C(=O)NCCC[NH+](C)C)C(=O)C3(C)C1[NH+]=2
ZINC63372676	CCOc1c(OC)cccc1C1CN2C(=O)CN(CCCn3cc[nH+]c3)C(=O)C2(C)C2[NH+]=c3ccccc3=C12
ZINC63494624	CC1=C(CCC2=[NH+]C3=c4ccccc4=[NH+]C(NCCCN4CCOCC4)N3N2)C(C)N=N1
ZINC63494626	CC1=C(CCC2=[NH+]C3=c4ccccc4=[NH+]C(NCCCN4CCOCC4)N3N2)C(C)N=N1
ZINC63739246	COc1ccc2c(c1)=[NH+]C(C(=O)N1CCC(C(C)C(=O)NCCC(C)[NH+]3CCCC3)CC1)C=2
ZINC63908198	C[NH+](C)C(CNC(=O)C1=c2cc(S(=O)(=O)Nc3ccc(F)cc3)ccc2=[NH+]C(=O)C1)c1ccco1
ZINC63908199	C[NH+](C)C(CNC(=O)C1=c2cc(S(=O)(=O)Nc3ccc(F)cc3)ccc2=[NH+]C(=O)C1)c1ccco1
ZINC63985562	COC(=O)C1C(NC(C)=O)c2cc(NCC(C)C)c[nH+]c2N1CCC1=c2ccccc2=[NH+]C1
ZINC64230984	CC(OC(=O)c1ccc(NS(=O)(=O)c2ccc3c(c2)=[NH+]C(=O)[NH+]=3)cc1)C(=O)N1CCCC1
ZINC65326029	CCOC(=O)c1ccc(N2C(=O)CC([NH2+]CCC3=c4cc(OC)ccc4=[NH+]C3)C2=O)cc1
ZINC04111790	CCC1CCCCN1C(=O)Cn1c(=O)n(CCC(=O)NCc2ccco2)c(=O)c2sccc21
ZINC09222648	CCN(CC(=O)NC1CCS(=O)(=O)C1)C(=O)c1ccc(S(=O)(=O)N(C)c2ccccc2)cc1
ZINC09953212	Cc1nc(Cc2nnc(SC(C)C(=O)Nc3ccc(S(=O)(=O)N4CCCC4)cc3)o2)cs1
ZINC10318012	N#CCCNC(=O)COC(=O)c1cc(S(=O)(=O)N2CCN(c3ccccc3)CC2)ccc1Cl
ZINC11456575	O=C(CSc1nnc(N2CCCCC2)n1CC1CCCO1)c1c[nH]c(C(=O)N2CCCC2)c1
ZINC12771835	CC(OC(=O)C1CCCN1S(=O)(=O)c1ccc2c(c1)OCCO2)C(=O)NCc1ccccc1
ZINC12867795	CCCc1ccc(C2(C)NC(=O)N(CC(=O)N(Cc3ccco3)C3CCS(=O)(=O)C3)C2=O)cc1
ZINC12893880	CC(NS(=O)(=O)c1cccc(Cl)c1)C(=O)OCCN1C(=O)c2ccccc2S1(=O)=O
ZINC12686811	COc1cc(/C=N/NC(=O)Cc2cn3ccsc3n2)cc(Br)c1OCC(=O)N(C)C
ZINC13502457	COCCN(C(=O)Cn1nnc2ccccc21)C(C(=O)NCc1ccco1)c1ccccc1F
ZINC13692194	CCOc1ccc(N2C(=O)CCS2(=O)=O)cc1S(=O)(=O)NCCc1ccccc1OC
ZINC13692278	CCOc1ccc(N2C(=O)CCS2(=O)=O)cc1S(=O)(=O)NCCc1ccc(OC)cc1
ZINC14101180	COc1cc(C2(CNS(=O)(=O)c3cn(C)c(=O)n(C)c3=O)CCCC2)ccc1OC(F)F
ZINC14960065	COCCC(=O)NC(CC(C)C)c1nnc2n1CCN(C(=O)CSc1nc(C)cs1)CC2
ZINC15354562	CCOc1cc(/C=N/NC(=O)Cn2nc(C)cc2C)cc(Br)c1OCC(=O)N(C)C
ZINC15677790	CCOc1ccc(CCNC(=O)C2CCCN(S(=O)(=O)N3CCC4(CC3)OCCO4)C2)cc1
ZINC16163572	Cc1noc(C)c1S(=O)(=O)N1CCCC(C(=O)OCC(=O)NCc2ccc(Cl)cc2)C1
ZINC21464698	CC(OC(=O)CN1CSCC1=O)C(=O)Nc1cc(S(=O)(=O)N2CCCCC2)ccc1Cl
ZINC22389218	COc1ccc(/C=C2\SC(=O)N(CCNC(=O)CN(C)S(=O)(=O)c3cccs3)C2=O)cc1
ZINC22425071	CS(=O)(=O)N(CC(=O)NCCCOC1CCCCC1)c1ccc(C(=O)N2CCOCC2)cc1
ZINC22901598	CC(NS(=O)(=O)/C=C/c1ccccc1)C(=O)N1CCN(Cc2nc(-c3ccsc3)no2)CC1
ZINC23228010	COc1cc(/C=C2\SC(=O)N(CCNC(=O)CCc3c(C)noc3C)C2=O)ccc1OC(F)F
ZINC24144963	COc1cc(CNC(=O)Cn2cc(S(=O)(=O)N(C)C)ccc2=O)ccc1OCc1ccccc1
ZINC24219000	CCN(CC(=O)NCc1ccc(Cl)cc1)C(=O)C1CCCN1S(=O)(=O)c1c(C)noc1C
ZINC24789722	C=CCn1c(SCC(=O)Nc2cc(Cl)c(OC)cc2OC)nnc1C1CCS(=O)(=O)C1
ZINC25797136	Cc1noc(C)c1CSc1ncccc1C(=O)OCC(=O)c1c[nH]c(C(=O)N2CCCC2)c1
ZINC26680988	CCC1=NN2C(=N)/C(=C\c3ccc(OCCOc4ccccc4OC)c(OC)c3)C(=O)N=C2S1
ZINC26713010	CCOc1cc(/C=C2\C(=N)N3N=C(CC)SC3=NC2=O)ccc1OCCOc1ccccc1OC
ZINC35287179	CC(OC(=O)C(Cc1ccccc1)N1C(=O)c2ccccc2C1=O)C(=O)NC1CCS(=O)(=O)C1
ZINC36499404	COc1ccc(C(C(=O)NCS(=O)(=O)c2ccc(C)cc2)N(C=O)Cc2ccco2)cc1OC
ZINC36499554	Cc1ccc(S(=O)(=O)CNC(=O)C(c2ccc3c(c2)OCO3)N(C=O)Cc2ccco2)cc1
ZINC36602123	COCC(=O)N(Cc1ccc(C)o1)C(C(=O)NCS(=O)(=O)c1ccc(C)cc1)c1ccco1
ZINC15941630	CCOc1ccc(CCNC(=O)C2CCCN(S(=O)(=O)N3CCOCC3)C2)cc1OCC
ZINC15941628	CCOc1ccc(CCNC(=O)C2CCCN(S(=O)(=O)N3CCOCC3)C2)cc1OCC
ZINC13150661	COCCNC(=O)C(c1cccnc1)N(Cc1ccc(C)cc1)C(=O)Cn1nnc2ccccc21
ZINC08582754	COC(=O)c1ccccc1S(=O)(=O)N(Cc1cc2ccc(OC)cc2[nH]c1=O)CC1CCCO1
ZINC33812628	CCCn1c(N2CC[NH+](C)CC2)c(/C=C2/SC(=S)N(CCCC(=O)[O-])C2=O)c(C)c(C#N)c1=O
ZINC39617617	CC1=C2C(=O)N=C(CSC(C)C(=O)OCC(=O)c3ccc4c(c3)NC(=O)CO4)N=C2SC1C
ZINC40155508	COC(=O)CN(CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O)C1CCS(=O)(=O)C1
ZINC41537066	COc1cc(C2C(C(=O)c3ccc(C)o3)=C([O-])C(=O)N2CC[NH+]2CCCC2)cc(OC)c1OC
ZINC43987186	CCN(CC)S(=O)(=O)c1ccc(C(=O)NCC2CCN(C(=O)c3snnc3C)CC2)cc1
ZINC46716946	CCOc1ccc(CNC(=O)C2CCCN2S(=O)(=O)c2ccc3c(c2)OCCO3)cc1OC
ZINC12285383	CCOc1cc(/C=C2\C(=N)N3N=C(C)SC3=NC2=O)ccc1OCCOc1cccc(OC)c1
ZINC57286372	CCN(CC(=O)NC1CCS(=O)(=O)C1)Cc1nc2scc(-c3ccccc3)c2c(=O)n1CC#N
ZINC14247340	COc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)C(CCSC)N1C(=O)C2CCCCC2C1=O
ZINC41082569	CCOc1cc(/C=C2\C(=N)N3OC(C)=CC3=NC2=O)ccc1OCCCOc1ccccc1OC
ZINC20205604	CCOc1cc(/C=C2/C(=N)N3C(SCC(C)C)=NSC3=NC2=O)ccc1OS(C)(=O)=O
ZINC13942723	CCC1=NN2C(=N)/C(=C/c3ccc(OCCOc4ccc(OC)cc4)c(OC)c3)C(=O)N=C2S1
ZINC64155587	COC(=O)C1=CC(S(=O)(=O)N2CCN(CCCn3c(=O)[nH]c4ccccc43)CC2)SC1
ZINC64732590	CCOC(=O)C1N=C(C)C(CCC(=O)N2CCC(C(=O)NCCc3c(C)noc3C)CC2)=C1C
ZINC04936314	CC(C)CC(NS(=O)(=O)c1ccc2c(c1)oc(=O)n2C)C(=O)NCc1ccco1
ZINC06546066	C#CCN1C(=O)C2(C(C#N)=C(N)Oc3ccccc32)C(C(=O)OCC)=C1CC(=O)OCC
ZINC09411304	CCOC(=O)C1NN=C(C(=O)C(C)(O)CBr)C1c1ccc([N+](=O)[O-])cc1
ZINC09412264	COCCCn1c(SCC(=O)NC(=O)NCc2ccco2)nc2ccccc2c1=O
ZINC09440734	CCNC(=O)NC(=O)C(C)OC(=O)c1cc(S(=O)(=O)N(CC)CC)ccc1F
ZINC09449917	CC(C)Cn1c(N)c(C(=O)COC(=O)COc2ccc3c(c2)CCC3)c(=O)n(C)c1=O
ZINC10068219	CC(C)CNC(=O)NC(=O)COC(=O)c1ccc(CS(=O)(=O)c2ccccc2)o1
ZINC10209565	CC(C)CNC(=O)NC(=O)COC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1
ZINC11242229	CC(C)CNC(=O)NC(=O)COC(=O)C1CCN(S(=O)(=O)c2ccccc2)CC1
ZINC12624528	C=CCNC(=O)NC(=O)COC(=O)c1ccc(F)c(S(=O)(=O)N2CCCCC2)c1
ZINC12764578	Cc1ccc(OCCN(C)C(=O)CCn2c(=O)oc3cc(S(N)(=O)=O)ccc32)cc1
ZINC12918446	CCc1noc(C)c1C(=O)OC(C)C(=O)Nc1ccc(S(=O)(=O)NC(C)C)cc1
ZINC13012107	CC(=O)c1c(C)[nH]c(C(=O)OCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2C)c1C
ZINC14880856	O=C(Cn1cc(NC(=O)CCC(=O)c2ccccc2)cn1)NCC1COc2ccccc2O1
ZINC16109615	CC(NC(=O)CNC(=O)/C=C/c1ccc([N+](=O)[O-])cc1)c1ccc(S(C)(=O)=O)cc1
ZINC16133516	COc1cn(-c2ccccc2)nc1C(=O)OCC(=O)N(CCC(N)=O)c1ccccc1
ZINC17306872	CCOC(CNC(=O)c1cn(C)c2c(=O)n(-c3ccc(Cl)cc3)c(=O)[nH]c12)OCC
ZINC19354486	Cc1oc(-n2cccc2)c(C#N)c1C(=O)OCC(=O)NCC(=O)Nc1ccc(F)c(F)c1
ZINC20046191	CC(C(=O)OCC(=O)NC(=O)NCCc1cccs1)N1C(=O)c2ccccc2C1=O
ZINC13690528	COC(=O)c1ccc(C2C(C(=O)c3c(C)n[nH]c3C)=C([O-])C(=O)N2CCC[NH+](C)C)cc1
ZINC21744711	CCOC(=O)Cc1csc(SCC(=O)NN2C(=O)NC3(CCC(C)CC3)C2=O)n1
ZINC21877509	CCN1C(=O)c2cc(C(=O)NCCCOC(C)C)nn2CC1(C)C(=O)NC1CCCC1
ZINC24962704	Cc1cc(C)c(NC(=O)CNC(=O)COC(=O)c2nn(-c3ccccc3)nc2C)c(C)c1
ZINC26058448	CCOC(=O)c1c(C)[nH]c(C(=O)NCc2ccccc2S(=O)(=O)N2CCOCC2)c1C
ZINC27836023	CC(=O)Oc1cc(NC(=O)CC2S/C(=N/c3ccccc3)NC2=O)cc(OC(C)=O)c1
ZINC29529003	NC(=O)C1CN(C(=O)COC(=O)CCc2cnn(-c3ccccc3)c2)c2ccccc2O1
ZINC32091133	Cc1occc(=O)c1OCc1ccc(-c2noc(C(=O)NCC(O)c3ccccc3)n2)cc1
ZINC32091138	Cc1occc(=O)c1OCc1ccc(-c2noc(C(=O)NCC(O)c3ccccc3)n2)cc1
ZINC32983149	COCCN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)c1[nH]c(C)c(C(=O)OC)c1C
ZINC35271772	C=C(C(=O)OC)C1C(OC(=O)/C(C)=C\COC(C)=O)CC2(C)C(O)CCC(=O)C2C1O
ZINC36329782	CC(C)CC(C(=O)NCC(O)c1ccc([N+](=O)[O-])cc1)N1C(=O)C2CC=CCC2C1=O
ZINC03355403	O=C1CN(C(=O)COC(=O)CNS(=O)(=O)/C=C/c2ccccc2)c2ccccc2N1
ZINC12686686	CCOc1ccccc1OCCCC(=O)NNC(=O)c1nn(C)c(=O)c2ccccc12
ZINC13008604	COc1cc(/C=C/C(=O)OCC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)ccc1O
ZINC39326969	CCOC(=O)C1=C(C)NC(SCC(=O)Nc2cc(C)on2)=C(C#N)C1c1cccnc1
ZINC36007292	CC(C)CC(C(=O)OC(C)C(=O)NC(=O)NC(C)C)N1C(=O)C2CC=CCC2C1=O
ZINC39749598	CCOc1ccc(N2C(=O)CC(NNC(=O)CCOc3ccc(OC)cc3)C2=O)cc1
ZINC40158628	Cc1c[nH]c(=O)n1-c1ccc(C(=O)OC(C)C(=O)c2ccc(NS(C)(=O)=O)cc2)cc1
ZINC45253869	CCCOCCn1c(=O)c(NC(C)CO)nc2ncc(-c3ccc(OC)nc3)cc21
ZINC45537339	CC(=O)c1c(C)[nH]c(C(=O)NC(CC(=O)OC(C)C)c2ccccc2[N+](=O)[O-])c1C
ZINC45680822	CC(C)NC(=O)NC(=O)C(C)OC(=O)C1CCN(C(=O)OCC(F)(F)F)CC1
ZINC58012928	COc1ccccc1COCC(O)CN1C(=O)NC(C)(c2ccc3c(c2)OCCO3)C1=O
ZINC58012930	COc1ccccc1COCC(O)CN1C(=O)NC(C)(c2ccc3c(c2)OCCO3)C1=O
ZINC24097286	CCOc1ccc(OCC(O)CN2C(=O)NC(C)(c3ccc4c(c3)OCCO4)C2=O)cc1
ZINC58880658	O=C(COc1ccc(/C=N/NC(=O)C(=O)N2CCCCC2)cc1)NCc1ccco1
ZINC58880695	O=C(COc1ccc(/C=N/NC(=O)C(=O)N2CCCCCC2)cc1)NCC1CCCO1
ZINC59022158	COC(=O)c1c(C)[nH]c(C(=O)NCCCN2CCN(C(=O)OC(C)(C)C)CC2)c1C
ZINC60126392	COC(=O)CCCCNC(=O)c1cc(C(C)C)nc2c1c(=O)[nH]c(=O)n2CC(C)C
ZINC39782259	CN1CNc2c1c(=O)n(CCCSc1nc(CCC3CCCC3)n[nH]1)c(=O)n2C
ZINC65101206	CCCNC(=O)C1CCN(c2nc3ncn(CC(=O)NC(C)CC)c(=O)c3s2)CC1
ZINC05530495	NC(=O)c1c(NC(=O)COC(=O)c2cc3ccccc3[nH]2)sc2c1CCC2
ZINC05717418	O=C(CCC(=O)Nc1ccccc1Cl)N/N=C/c1ccc(O)cc1O
ZINC06754851	CC1(C)Cc2c(sc(NC(=O)N(CCO)Cc3ccccc3)c2C(N)=O)CO1
ZINC08534412	CC1CCc2c(sc(NC(=O)C(NC(=O)c3ccco3)C(C)C)c2C(N)=O)C1
ZINC00909084	CCOc1cc(C2NC(=O)NC(O)(C(F)(F)F)C2C(=O)c2ccccc2)ccc1O
