ZINC04219119	O=C([O-])c1c[nH]c2cc(Br)c(Br)cc12
ZINC38975266	[S-]C1=NNC(C2N=NC3=C2CCC3)N1/N=C/C=C/c1ccccc1
ZINC38975270	[S-]C1=NNC(C2N=NC3=C2CCC3)N1/N=C/C=C/c1ccccc1
ZINC08852799	CC(C)(C)c1ccc(-c2n[n-]c(NC(=O)c3ccccn3)n2)cc1
ZINC40811692	Cc1c(C(=O)[O-])oc2c1/C(=N/NC(=O)c1ccc(Cl)cc1)CCC2
ZINC41628346	CC(Sc1nc2c(c(=O)[nH]1)CCCC2)C(=O)Nc1nccs1
ZINC41633287	CCC(Sc1nnc(C)c([O-])n1)C(=O)Nc1cc(C)ccc1C
ZINC44379262	Cc1cccc(C(=O)Nc2nc(C)c(-c3nnc([S-])n3C)s2)c1
ZINC47522016	COC(=O)c1cc(S(=O)(=O)[N-]c2cc(F)cc(F)c2)ccc1O
ZINC49235750	O=C([O-])c1ccc(S(=O)(=O)/N=c2/[nH]c(C3CC3)cs2)s1
ZINC50006992	Cc1ccc(-c2n[nH]c(/N=C(\[O-])COc3ccccc3)n2)s1
ZINC50200894	Cn1nccc1/C=C/C(=O)Nc1ccc(Br)cc1C(=O)[O-]
ZINC06659505	COc1ccccc1-n1c([S-])nnc1-c1cc(C2CC2)n[nH]1
ZINC50856627	C=CCNC(=O)/C(C#N)=C(\[O-])c1nc(-c2cccs2)oc1C
ZINC51654627	Cc1cnn(-c2ccc(/C([O-])=C(\C#N)C(=O)NC3CCCC3)cc2)c1
ZINC44893511	COCc1nc2ccc([N-]S(=O)(=O)c3ccc(Cl)cc3)cc2[nH]1
ZINC18266866	CC1=Nc2ccccc2N/C(=N\C(=O)/C=C/C(=O)[O-])C1c1ccccc1
ZINC13691589	CCc1nn2c(=O)c(CCC(=O)[O-])c(C)[nH]c2c1-c1ccccc1
ZINC55311234	Cc1oc(C(=O)[O-])cc1S(=O)(=O)NC1CCCCCCC1
ZINC06032854	COC1=C/C(=C/Nn2c([S-])nnc2-c2ccc(C)cc2)C=CC1=O
ZINC05545462	CC(=N/O)/C(=N/[N-]S(=O)(=O)c1ccc(C)cc1)c1ccccc1
ZINC05545462	CC(=N\O)/C(=N/[N-]S(=O)(=O)c1ccc(C)cc1)c1ccccc1
ZINC61343328	Cc1ccccc1C(C)NC(=O)c1cccc(-n2nc([O-])ccc2=O)c1
ZINC61428877	CC1CCC(CNC(=O)c2cccc(-n3nc([O-])ccc3=O)c2)CC1
ZINC08686004	CCCSc1nc2c([O-])n[nH]c(=O)c2n1Cc1ccccc1
ZINC12226344	Cc1cc(Nc2cccc([N-]S(=O)(=O)c3cccs3)c2)ncn1
ZINC12791142	CC(NC(=O)c1ccc(-c2nnn[n-]2)cc1)c1cccc(Cl)c1
ZINC00753945	CCc1ccc(S(=O)(=O)[N-]/N=C2/C(=O)Nc3ccccc32)cc1
ZINC00753945	CCc1ccc(S(=O)(=O)[N-]/N=C2\C(=O)Nc3ccccc32)cc1
ZINC09108800	Cc1ccc(C2CC(=O)C(/C=N/Nc3nc(C)cc(C)n3)=C([O-])C2)cc1
ZINC10493794	Cc1cc(C)nc(/N=C(/N=C(\[O-])C2CC2)NC2Cc3ccccc3C2)n1
ZINC63547252	Cc1ccc(C2=NN=C3N=C(c4ccc(O)cc4)C=C(C(=O)[O-])C32)cc1
ZINC64303420	CCC1N=C(C/C([O-])=N/c2nc(-c3ccc(C)s3)n[nH]2)CS1
ZINC65310057	CCn1ccc2cc(NC(=O)c3cc(C#N)c(SC)nc3[O-])ccc21
ZINC65491477	CCc1ccsc1C(=O)NC(c1nnn[n-]1)c1cc(F)ccc1F
ZINC67514096	Cc1cccnc1C(C)Nc1ncnc2sc(C(=O)[O-])c(C)c12
ZINC05374466	CN(C1=NC(=O)/C(=C\c2cccn2C)S1)c1ccccc1C(=O)[O-]
ZINC11567392	Cc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccco4)nn(C)c3n2)cc1
ZINC12543354	Cc1ccc(-n2nc(C)c3c(C(=O)[O-])cc(-c4cccnc4)nc32)cc1
ZINC13091731	O=C([O-])c1cccnc1Sc1nnc2c(Cl)cc(Cl)cn12
ZINC13190548	CC1CCCCN1c1ccc(S(=O)(=O)N2CCCCC2)cc1C(=O)[O-]
ZINC13261798	O=C([O-])C1CCN(C(=O)COc2ccc3oc4c(c3c2)CCCC4)CC1
ZINC13447618	Cc1onc(-c2ccccc2)c1C(=O)N1CCc2cc(C(=O)[O-])ccc21
ZINC01452513	O=[N+]([O-])c1ccc(-c2ccc(/C=C3/SC(=S)N=C3[O-])o2)cc1
ZINC13147661	O=[N+]([O-])c1ccc(-c2ccc(/C=C3\SC(=S)N=C3[O-])o2)cc1
ZINC20614426	Cn1cc(C(=O)[O-])c(C(=O)N(C2CCCCC2)C2CCCCC2)n1
ZINC21168083	CCCCn1nc([N-]S(C)(=O)=O)c2cc3ccc(C)cc3nc21
ZINC28379881	COc1ccc(OC)c(/C=N/n2c([S-])nnc2-c2cccs2)c1
ZINC05687653	COc1cc(-n2c([S-])nnc2-c2ccncc2)c(OC)cc1Cl
ZINC32586066	Cc1cc([N+](=O)[O-])ccc1S(=O)(=O)[N-]c1ccc(F)c(F)c1F
ZINC36611104	Cc1nnc([S-])n1/N=C/c1ccc(COc2cccc(Cl)c2)o1
ZINC36611476	Fc1ccc(OCc2ccc(/C=N/n3cnnc3[S-])o2)cc1Cl
ZINC36724661	O=C([O-])CSc1nnc(-c2ccco2)n1-c1ccc(Cl)cc1
ZINC37553141	COc1ccc([N-]S(=O)(=O)c2c(Cl)nc3sccn23)cc1
ZINC38104493	O=S(=O)([N-]c1cccnc1Cl)c1c(Cl)nc2ccccn12
ZINC09261090	COCc1nn2c([O-])cc(CCl)nc2c1-c1ccc(OC)cc1
ZINC39976389	CCC1CC1c1ccc(/C=C(\C#N)c2nc([O-])c3cccnc3n2)o1
ZINC39976390	CCC1CC1c1ccc(/C=C(\C#N)c2nc([O-])c3cccnc3n2)o1
ZINC41373914	Cc1noc(C)c1S(=O)(=O)[N-]c1cc(N2CCCCC2)ccc1Cl
ZINC41962012	CC(C)(Oc1c(Br)cc(Cl)cc1[N+](=O)[O-])C(=O)[O-]
ZINC47906436	Cc1ccc(C)c(S(=O)(=O)[N-]c2ccc3nc4n(c(=O)c3c2)CCC4)c1
ZINC48985948	Cc1ccc(-c2nc(C)c(/C([O-])=C(\C#N)C(=O)N3CCCCC3)s2)o1
ZINC48991434	Cc1nn(-c2ccc(/C([O-])=C(\C#N)C(=O)N3CCCC3)cc2)c(C)c1Cl
ZINC48994856	N#C/C(C(=O)N1CCOCC1)=C(\[O-])c1ccc(OC(F)(F)F)cc1
ZINC49096618	Cc1cc2occ(C/C([O-])=C(/C#N)C(=O)N3CCOCC3)c2cc1C(C)C
ZINC49165262	Cc1occc1/C([O-])=C(/C#N)C(=O)C1CCN(C(=O)C(C)(C)C)CC1
ZINC49202176	Cc1ccccc1-n1ncc(/C([O-])=C(/C#N)C(=O)c2ccco2)c1C
ZINC20865726	COc1ccc(-c2nc(CSc3nc4ccncc4[n-]3)c(C)o2)cc1
ZINC49735680	COc1ccc(C)cc1S(=O)(=O)[N-]c1oncc1-c1ccccc1
ZINC50309488	O=C([O-])c1ccc(Br)cc1-n1nnnc1C1CCCCC1
ZINC13152747	CCCn1c(/N=C(\[O-])C2COc3ccccc3O2)nc2ccccc21
ZINC13152748	CCCn1c(/N=C(\[O-])C2COc3ccccc3O2)nc2ccccc21
ZINC55580130	Cc1ccc(/C=C/S(=O)(=O)[N-]c2cnc3c(c2)c(C)nn3C)cc1
ZINC06651551	Cc1cc([O-])c(C(=O)/C=C/c2c(C)nn(-c3ccccc3)c2Cl)c(=O)o1
ZINC62874288	CC1(C(=O)[O-])CCCN(c2ccc([N+](=O)[O-])cc2Br)C1
ZINC63849977	COc1cc(C)c(S(=O)(=O)[N-]c2cnc(C(C)(C)C)nc2)cc1C
ZINC63878553	Cc1ccc(C#N)cc1[N-]S(=O)(=O)c1ccc2oc(=O)ccc2c1
ZINC08738903	O=C1N=C([O-])N(CCC2=CCCCC2)C(=O)/C1=C\C=C\c1ccco1
ZINC52768018	CCc1ccc(-c2nc(C)c(/C([O-])=N/S(=O)(=O)N(C)C)s2)cc1
ZINC50205371	N#C/C(C(=O)N1CCCCC1)=C(/[O-])c1cnn(-c2ccccc2Cl)c1
ZINC50205378	N#C/C(C(=O)N1CCCC1)=C(/[O-])c1cnn(-c2ccccc2Cl)c1
ZINC14354501	Cc1cc(C)c2c([O-])nc(SCC(=O)N(C(C)C)C(C)C)nc2n1
ZINC66505925	Cc1cc(C)cc(N2CCC(/C([O-])=C(\C#N)C(=O)c3ccoc3C)C2=O)c1
ZINC66579663	O=S(=O)([N-]c1cccc(Cl)c1-n1cncn1)C1CCCCC1
ZINC66746095	Cc1cc([O-])c(C(=O)/C=C/c2cn(C)nc2-c2ccccc2Cl)c(=O)o1
ZINC66814661	Cc1cnc(-c2cccc([N-]S(=O)(=O)c3cccc(C#N)c3)c2)o1
ZINC04482644	O=[N+]([O-])c1cc(Br)c([O-])c(/C=N/c2ccc(Cl)cn2)c1
ZINC05374557	CN(C1=NC(=O)/C(=C/C=C/c2ccco2)S1)c1ccccc1C(=O)[O-]
ZINC05427865	O=C([O-])c1cccc(/N=C/c2ccc(Br)c([N+](=O)[O-])c2)c1
ZINC05513507	COc1ccc(/N=C/c2cc(Br)cc([N+](=O)[O-])c2[O-])cc1
ZINC02626179	O=C([O-])c1ccc(/C=N/n2cnc3sc4c(c3c2=O)CCCC4)cc1
ZINC06182421	COc1cccc(/N=C/c2cc(Br)cc([N+](=O)[O-])c2[O-])c1
ZINC06045329	O=[N+]([O-])c1cc(Cl)cc(/C=N/c2ccc(Br)cn2)c1[O-]
ZINC13090422	O=C([O-])c1cccnc1Sc1cc(Cl)c(C(F)(F)F)cc1[N+](=O)[O-]
ZINC19290740	Cn1cc(-c2cc([O-])n3nc(C(F)(F)F)c(-c4ccccc4)c3n2)cn1
ZINC19357056	O=C([O-])c1cc([N+](=O)[O-])cnc1/C=C/c1cc(Br)cs1
ZINC19525116	CCn1cc(-c2cc([O-])n3nc(C)c(-c4ccc(Cl)cc4)c3n2)cn1
ZINC01231402	O=[N+]([O-])c1ccc(-c2ccc(/C=C3/SC(=S)N=C3[O-])o2)c(Cl)c1
ZINC20719787	CCCCc1nnc2n1N1C(=CSC1c1ccc(C(=O)[O-])cc1)S2
ZINC13683119	[O-]c1nc2sc3c(c2c2nc(COc4ccccc4)nn12)CCCC3
ZINC27516779	Cc1ccc(OCc2nc3c4c5c(sc4nc([O-])n3n2)CCC5)cc1
ZINC30954678	CSc1ccc(S(=O)(=O)[N-]c2c(C)cc(C)cc2[N+](=O)[O-])cc1
ZINC32097979	CC(C)n1ncc2cc([N-]S(=O)(=O)c3ccc(Cl)c(Cl)c3)cnc21
ZINC32641807	O=C([O-])c1csc(SCc2ccc(-c3ccc4c(c3)OCO4)o2)n1
ZINC05580619	N#C/C(=C\n1c([S-])nc2ccc([N+](=O)[O-])cc21)c1cccc(Cl)c1
ZINC02571245	[O-]c1nc(-c2ccc(Oc3ncc(C(F)(F)F)cc3Cl)cc2)no1
ZINC05126853	O=[N+]([O-])c1cc([N-]S(=O)(=O)c2ccc3c(c2)CCCC3)ccc1F
ZINC36611101	Cc1cc(OCc2ccc(/C=N/n3cnnc3[S-])o2)ccc1Cl
ZINC36611106	Cc1c(Cl)cccc1OCc1ccc(/C=N/n2cnnc2[S-])o1
ZINC36611112	Cc1cccc(Cl)c1OCc1ccc(/C=N/n2cnnc2[S-])o1
ZINC36917871	CCCn1c(C(=O)[O-])ccc1-c1ccc([N+](=O)[O-])cc1Br
ZINC37288565	CC(C)C(Oc1c(Br)cc(Cl)cc1[N+](=O)[O-])C(=O)[O-]
ZINC00657984	Cc1cc(Cl)c(S(=O)(=O)[N-]/N=C/c2ccc3c(c2)OCO3)c(Cl)c1
ZINC09578362	CC(Sc1nc([O-])c(C#N)c(-c2ccco2)n1)C(=O)c1ccccc1
ZINC39998095	CC(C)c1nnc(/N=C([O-])/C(C#N)=C/c2ccc(-c3ccc(F)cc3)o2)s1
ZINC40544597	Cc1cc([N+](=O)[O-])ccc1-c1oc(/C=C/C(=O)[O-])cc1Br
ZINC40544984	Cc1ccc(-c2oc(/C=C/C(=O)[O-])cc2Br)cc1[N+](=O)[O-]
ZINC45021853	Cc1cc([N+](=O)[O-])ccc1-c1oc(/C=C\C(=O)[O-])cc1Br
ZINC48989444	N#C/C(C(=O)N1CCCC1)=C(\[O-])c1ccc2noc(-c3ccccc3)c2c1
ZINC49202058	Cc1ccc(-n2nc(/C([O-])=C(\C#N)C(=O)c3ccco3)c3c2CCC3)cc1
ZINC49514539	Cc1nn(C)c(Cl)c1S(=O)(=O)/N=C(\[O-])CSC(F)(F)F
ZINC50044485	O=C([O-])c1cc(Br)cnc1Sc1ccc([N+](=O)[O-])cc1
ZINC51654978	Cc1cn2nc(Sc3nc(-c4ccc(Cl)cc4)n[n-]3)sc2n1
ZINC54829652	N#Cc1cccc(CSc2nc([O-])c3cnn(-c4ccccc4)c3n2)c1
ZINC20626905	O=[N+]([O-])c1cccc([N-]S(=O)(=O)c2cc(Cl)sc2Cl)c1
ZINC58513831	COc1cc(-c2ccccc2)sc1/C([O-])=N/c1nnc2ccccn12
ZINC22312726	N#Cc1ccc(CSc2nc([O-])c3cnn(-c4ccccc4)c3n2)cc1
ZINC06733038	COc1cccc2c1Oc1nc(-c3ccc(N(C)C)cc3)nc([O-])c1C2
ZINC63653279	COc1ccccc1[N-]S(=O)(=O)c1ccc(C2C=C(C)N=N2)s1
ZINC63653323	CC(=O)c1ccc([N-]S(=O)(=O)c2ccc(C3N=NC(C)=C3C)s2)cc1
ZINC63653325	CC(=O)c1ccc([N-]S(=O)(=O)c2ccc(C3N=NC(C)=C3C)s2)cc1
ZINC64055209	CCCc1cc([O-])nc(SC(C)C2=NC(=O)C3=C(C)C(C)SC3=N2)n1
ZINC04977817	COc1ccc(-c2cc(-c3nnc([S-])n3-c3ccccc3Cl)n[nH]2)cc1
ZINC04977817	COc1ccc(-c2cc(-c3nnc([S-])n3-c3ccccc3Cl)[nH]n2)cc1
ZINC13551018	CC(C)(C)c1cc(-c2nnc([S-])n2-c2cccc3ncccc23)[nH]n1
ZINC65031174	COc1ccc(C)cc1[N-]S(=O)(=O)c1ccc(-c2ccno2)s1
ZINC65228766	O=S(=O)([N-]c1cccn2cnnc12)c1ccc(C2CCCCC2)cc1
ZINC11758903	O=C([O-])c1nnn(-c2cccc(Br)c2)c1-c1ccco1
ZINC11759297	O=C([O-])c1nnn(-c2ccccc2Br)c1C1CCCO1
ZINC02554433	O=C([O-])C1CCCN(c2nc(-c3ccco3)cc(C(F)(F)F)n2)C1
ZINC20345283	Cc1cc(C)cc(N2C(=O)N=C([O-])/C(=C/C=C/c3ccco3)C2=O)c1
ZINC29258059	CN(C(=O)c1ccc(-c2nnn[n-]2)cc1)C1CCCc2ccccc21
ZINC31669569	O=S(=O)([N-]c1cccc(Cl)c1-n1cncn1)c1cccs1
ZINC35186495	COc1cc([N-]S(=O)(=O)c2sc(Cl)nc2C)cc(OC)c1
ZINC37555376	N#Cc1ccc([N-]S(=O)(=O)c2c(Cl)nc3sccn23)cc1
ZINC37555594	O=S(=O)([N-]c1ccc(Cl)cn1)c1c(Cl)nc2ccccn12
ZINC00612558	Cc1ccc2cccc(S(=O)(=O)[N-]c3ccc4c(c3)OCO4)c2n1
ZINC37985852	COC(=O)c1ccc([N-]S(=O)(=O)c2cnc(Cl)s2)cc1
ZINC38103725	Cc1nc(Cl)sc1S(=O)(=O)[N-]c1ccc2nccnc2c1
ZINC38548326	Cc1ccc(S(=O)(=O)[N-]c2nnc(-c3cccnc3)s2)cc1
ZINC39296042	COC(=O)C1=C([O-])c2sc(C(F)(F)F)cc2S(=O)(=O)N1C
ZINC39425140	Cc1ccc(S(=O)(=O)[N-]/N=C/C2C=NN=C2c2ccc(F)cc2)cc1
ZINC39940348	COc1ccc(N(C)/C([S-])=N/C2=CC3C(=O)N=CN=C3C=C2)cc1
ZINC39994851	COc1cccc(/C=C(C#N)/C([O-])=N/c2nnc(SC)s2)c1
ZINC42625521	CSc1ccc([N-]S(=O)(=O)c2ccc3c(c2)C(=O)N(C)C3=O)cc1
ZINC44024211	CC(C)c1nn(C)c(Cl)c1/C=C(C#N)\C([O-])=N\c1nccs1
ZINC44244596	CC(C)c1cc([N-]S(=O)(=O)c2cncc(Br)c2)on1
ZINC48069513	CN(Cc1cc(Br)cs1)C(=O)c1cc([N+](=O)[O-])c[n-]1
ZINC48989262	Cc1cc(/C([O-])=C(/C#N)C(=O)N2CCCC2)c(C)n1Cc1ccco1
ZINC48990466	N#C/C(C(=O)N1CCCC1)=C(/[O-])c1ccc(OCC(F)(F)F)nc1
ZINC49197475	Cc1nn(-c2ccccc2)c(C)c1C/C([O-])=C(\C#N)C(=O)c1ccco1
ZINC49735977	COc1ccc(-c2cnoc2[N-]S(=O)(=O)c2cccs2)cc1
ZINC54361172	O=C1N=C([N-]c2cccnc2)S/C1=C\c1cnc2ccccc2n1
ZINC55580145	CCc1ccc(S(=O)(=O)[N-]c2cnc3c(c2)c(C)nn3C)s1
ZINC57120250	N#Cc1cccc(S(=O)(=O)[N-]c2ccc(-c3csnn3)cc2)c1
ZINC57122305	O=C1OCCN1c1ccc(F)c([N-]S(=O)(=O)c2cccs2)c1
ZINC57754464	Cc1noc(C)c1S(=O)(=O)[N-]c1cccc(N2CCCCC2)c1
ZINC59334544	CN(C)C(=O)/C(C#N)=C/c1ccc(-c2ccc(C(=O)[O-])c(Cl)c2)o1
ZINC61429432	Cc1ccc(-c2nnc([S-])n2CC(=O)N(C)C2(C#N)CCC2)cc1
ZINC61584910	Cc1ccc(-c2nnc([S-])n2CC(=O)N2CCC(C#N)CC2)cc1
ZINC39764967	CCCSC1=NC(=O)C2C(=N1)N=C1CCCC([O-])=C1C2c1ccncc1
ZINC63653342	CC1=C(C)C(c2ccc(S(=O)(=O)[N-]c3cccnc3)s2)N=N1
ZINC63772150	O=S(=O)([N-]/N=C\C1C=NN=C1c1ccc(F)cc1)c1ccccc1
ZINC63878446	Cc1ccc(C#N)cc1[N-]S(=O)(=O)c1cnn(-c2ccccc2)c1
ZINC05790590	[S-]c1nnc(-c2cc(-c3ccco3)[nH]n2)n1-c1ccccc1Cl
ZINC05790590	[S-]c1nnc(-c2cc(-c3ccco3)n[nH]2)n1-c1ccccc1Cl
ZINC58391709	COC(=O)c1cccc(S(=O)(=O)/N=C(\[O-])C2CC3CCC2C3)c1
ZINC64919948	Cc1nnc(-c2ccc(S(=O)(=O)[N-]c3cccc(C)c3C)s2)o1
ZINC65217884	CCc1ccccc1[N-]S(=O)(=O)c1cc(C2C=CN=N2)oc1C
ZINC65217888	CCc1ccc([N-]S(=O)(=O)c2cc(C3C=CN=N3)oc2C)cc1
ZINC65217924	Cc1ccc([N-]S(=O)(=O)c2cc(C3C=CN=N3)oc2C)c(C)c1
ZINC65217954	Cc1ccc([N-]S(=O)(=O)c2cc(C3C=CN=N3)oc2C)cc1C
ZINC65217959	Cc1cc(C)cc([N-]S(=O)(=O)c2cc(C3C=CN=N3)oc2C)c1
ZINC65218170	CC1=CC(c2cc(S(=O)(=O)[N-]c3ccccc3C)c(C)o2)N=N1
ZINC65218172	CC1=CC(c2cc(S(=O)(=O)[N-]c3ccccc3C)c(C)o2)N=N1
ZINC65284043	Cc1cccc(S(=O)(=O)[N-]c2cccn3nc(C4CCC4)nc23)c1
ZINC66242148	Cc1cc([N-]S(=O)(=O)c2cccc(C#N)c2)n(-c2ccccc2F)n1
ZINC66250326	COC(=O)c1sc([N-]S(=O)(=O)c2cccc(Cl)c2C)nc1C
ZINC02109719	O=C([O-])CSC1=CC2=NC34CCCCC3CC3=C(CCCC3)N4C2=CC1=O
ZINC04530097	O=[N+]([O-])c1cccc(/C=N\c2ccc(I)cc2)c1[O-]
ZINC02457547	O=C([O-])c1cccc(C(=O)N2CCN(c3ccc(C4CCCCC4)cc3)CC2)c1
ZINC13078087	O=C([O-])c1c2c(nc3ccccc13)/C(=C\c1ccc(-n3ccnc3)cc1)CCC2
ZINC13090390	O=C([O-])c1cccnc1Sc1ncnc2scc(-c3ccc(Cl)cc3)c12
ZINC13341334	O=C([O-])c1cc(S(=O)(=O)N2CCCCCCC2)c(Cl)cc1Cl
ZINC04118684	O=[N+]([O-])c1ccc(SC2CCCCC2)c(/C=C2/SC(=S)N=C2[O-])c1
ZINC20900939	CCOc1ccc([N-]C2=NS(=O)(=O)C(c3ccc(Cl)cc3)=C2C)cc1
ZINC31535236	Cc1cc(C)n(-c2ccccc2[N-]S(=O)(=O)c2cc(Cl)sc2Cl)n1
ZINC32831781	[O-]c1c(Cl)cc(Cl)c2ccc(/C=C/c3cnc(N4CCCC4)nc3)nc12
ZINC35959481	Cc1ccn2c([N-]S(=O)(=O)c3ccccc3)c(-c3ccccc3C)nc2c1
ZINC13815035	CC(C)Cc1nn2c(/C=C3\SC(=S)N=C3[O-])c(-c3ccccc3)nc2s1
ZINC37312381	CC(C)(C)c1c(C(=O)[O-])nnn1-c1ccccc1I
ZINC02251071	CSc1nc(SC(C)C(=O)[O-])c2c3c(sc2n1)COC(C)(C)C3
ZINC20470762	[O-]c1c(C2=NCCCCC2)c2nc(-c3ccccc3)cn2n1-c1ccccc1
ZINC05650087	[S-]c1nnc(COc2ccccc2)n1/N=C/c1ccc(Br)s1
ZINC15930655	Cc1nn(-c2ccc(F)cc2)c([O-])c1/C=N/c1sc2c(c1C#N)CCCC2
ZINC38183658	O=[N+]([O-])c1cccc(/C=N/c2ccccc2I)c1[O-]
ZINC39724210	CC1CCC2=C3C(=O)N=C(/C=C/c4ccc(C(=O)[O-])cc4)N=C3SC2C1
ZINC39724212	CC1CCC2=C3C(=O)N=C(/C=C/c4ccc(C(=O)[O-])cc4)N=C3SC2C1
ZINC39724214	O=C1N=C(/C=C/c2ccc(C(=O)[O-])cc2)N=C2SC3CCCCCC3=C12
ZINC39944671	O=[N+]([O-])c1ccc([O-])c(/C=N\c2ccc(I)cc2)c1
ZINC40139640	Cc1ccccc1[N-]C1=NC(=O)/C(=C\c2csc(-c3ccccn3)n2)S1
ZINC45028204	CC(C)(C)C(C(=O)[O-])N1C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C1=O
ZINC46706942	N#CC(C(=O)c1ccc(Cl)cc1)c1nc([O-])c2c3c(sc2n1)CCCC3
ZINC06044149	Cc1cc(C)nc(/N=C/c2nc(-c3ccc(Br)cc3)oc2[O-])c1
ZINC50894383	CCCC1CCN(S(=O)(=O)c2cc(C(=O)[O-])sc2Br)CC1
ZINC05120850	COC(=O)c1ccc(C)c([N-]S(=O)(=O)c2cccc(Br)c2)c1
ZINC59678348	Cc1c(/N=C/c2cc(Br)c(N3CCCC3)o2)cccc1C(=O)[O-]
ZINC60957344	O=C(CCn1c([S-])nnc1-c1ccc(F)cc1)N1CCCC2CCCCC21
ZINC61441976	CC(C)(C)c1c(I)c(C(=O)[O-])nn1-c1ccccn1
ZINC62072792	CCc1ccc(S(=O)(=O)[N-]c2ccc(N3CCOCC3(C)C)cc2)s1
ZINC62156705	O=S(=O)([N-]c1cccc2cccnc12)c1ccc(OC2CCCC2)cc1
ZINC62554262	CCc1ccc(S(=O)(=O)[N-]c2ccc(N3C(C)COCC3C)cc2)s1
ZINC39764853	CCCSC1=NC(=O)C2C(=N1)N=C1CCCC([O-])=C1C2c1ccc(F)cc1
ZINC39774710	CCCCSC1=NC(=O)C2C(=N1)N=C1CCCC([O-])=C1C2c1ccccc1
ZINC39775140	CCC(C)SC1=NC(=O)C2C(=N1)N=C1CCCC([O-])=C1C2c1ccccc1
ZINC63276841	COc1c(C)cc(/C=C(/C#N)c2nc([O-])c3c(C)c(C)sc3n2)cc1C
ZINC63867080	COc1cc(/C=C(/C#N)c2nc([O-])c3c(C)c(C)sc3n2)ccc1SC
ZINC22412502	[O-]c1nc(SCC2CC2(Cl)Cl)nc2c1cnn2-c1ccccc1
ZINC64335280	CC(C(=O)N1CCCC2CCCCC21)n1c([S-])nnc1-c1cccs1
ZINC20347960	COC(=O)CSC1=C(C#N)C(c2ccc(C)cc2)C2=C([O-])CCCC2=N1
ZINC20347960	COC(=O)CSC1=C(C#N)C(c2ccc(C)cc2)C2=C(CCCC2=O)N1
ZINC16294388	Cc1ccc(S(=O)(=O)/N=C(\N=c2\cccc[n-]2)c2ccc(Cl)cc2)cc1
ZINC16294388	Cc1ccc(S(=O)(=O)/N=C(\Nc2ccccn2)c2ccc(Cl)cc2)cc1
ZINC64845900	Cc1ccc([N-]S(=O)(=O)c2c(C)sc(C)c2-c2onc(C)c2C)cc1
ZINC65137747	CC1=C(C)C(C2CC(S(=O)(=O)[N-]c3cccc(C)c3C)=C(C)S2)N=N1
ZINC65137807	CC1=C(C)C(C2CC(S(=O)(=O)[N-]c3ccc(C)cc3C)=C(C)S2)N=N1
ZINC65137834	CC1=C(C)C(C2CC(S(=O)(=O)[N-]c3ccc(C)c(F)c3)=C(C)S2)N=N1
ZINC66247113	CCc1ccc(S(=O)(=O)[N-]c2nc3c(s2)C(=O)CC(C)(C)C3)s1
ZINC66722809	COc1cccc(C2(/C([O-])=N/S(=O)(=O)c3ccc(C)cc3)CCCC2)c1
ZINC67005809	Cc1cc([O-])c(C(=O)/C=C/c2ccc(Oc3cc(F)cc(F)c3)cc2)c(=O)o1
ZINC05227153	CC(=O)OCC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)[O-])CCC12
ZINC05227155	CC(=O)OCC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)[O-])CCC12
ZINC05383398	CC(=O)C1CCC2C3CCC4=C/C(=N\OCC(=O)[O-])CCC4(C)C3CCC12C
ZINC11862849	CCOc1cc(-c2nc(C)c(C(=O)[O-])s2)cc(Br)c1OC
ZINC13070140	O=C([O-])c1ccc(Cl)c(S(=O)(=O)N2CCCC(C(F)(F)F)C2)c1
ZINC13070142	O=C([O-])c1ccc(Cl)c(S(=O)(=O)N2CCCC(C(F)(F)F)C2)c1
ZINC13075080	O=C([O-])c1ccc(Cl)c(S(=O)(=O)N2CCCC2c2cccs2)c1
ZINC13075082	O=C([O-])c1cc(S(=O)(=O)N2CCCC2c2cccs2)ccc1Cl
ZINC06273799	CN(C)c1ccc(-c2n([O-])c(-c3ccccc3)c(-c3ccccc3)[n+]2[O-])cc1
ZINC15837290	C=CCN1C(=O)/C(=C/c2cc(C)n(C3CCCCC3)c2C)C([O-])=NC1=S
ZINC25452769	O=S(=O)([N-]c1cccc(/C=C/c2ccccn2)c1)c1cccnc1Cl
ZINC32943909	CC(=O)N1CC(C)Sc2ccc(S(=O)(=O)[N-]c3ccccc3Cl)cc21
ZINC33513791	[O-]n1c(-c2ccccc2)c(C(c2ccccn2)N2CCOCC2)c2ccccc21
ZINC06932659	O=C(C(Sc1nc2ncc(Cl)cc2[n-]1)c1ccccc1)N1CCCC1
ZINC34896003	Clc1cnc2nc(SCC3CN(Cc4ccccc4)CCO3)[n-]c2c1
ZINC36169209	CCC1CCCN(S(=O)(=O)c2cc(C(=O)[O-])sc2Br)C1
ZINC13238234	COc1ccc(-c2nc3sccn3c2/C=C2\SC(=S)N=C2[O-])cc1
ZINC36987999	N#CCOc1cccc([N-]S(=O)(=O)c2ccc(Br)s2)c1
ZINC36988013	N#CCOc1ccccc1[N-]S(=O)(=O)c1ccc(Br)s1
ZINC37136652	Cc1ccc(S(=O)(=O)[N-]c2cccc(Cl)c2N2CCOCC2)s1
