ZINC03897368	S=C1NCCOCCNC(=S)NCCOCCN1
ZINC06910486	CC[NH+](CC)c1ccc(C2C3=C([O-])CCCC3=Nc3[nH]c(=S)nc(N)c32)cc1
ZINC55154856	Cc1cc(OC(C)C)ccc1NC(C)C(=O)Nc1ccc(S(N)(=O)=O)cc1
ZINC56729177	CCC(C)NC(=O)c1ccc(NC(=O)NC2C3CCCC2C[NH+](C2CC2)C3)cc1
ZINC56747142	CCCOc1ccc(NC(=O)NCCc2ccc(S(N)(=O)=O)cc2)c(C)c1
ZINC56803108	O=C(NCC1(c2ccc(F)cc2)CCOCC1)NNC(=S)NC1CCCC1
ZINC41317889	CCC(C)C(NC(N)=O)C(=O)NCc1ccc(CN2CCc3ccccc32)cc1
ZINC59045482	Nn1c(SCC(=O)NC2C3CC4CC(C3)CC2C4)nnc1-c1ccccc1O
ZINC48227750	CC(=O)Nc1ccc(SC(C)C(=O)Nc2cc(Cl)c(N)c(Cl)c2)cc1
ZINC59466901	Cc1sc(/N=C/c2ccc(/C=N/c3sc(C)c(C)c3C(N)=O)cc2)c(C(N)=O)c1C
ZINC61882584	Nc1cc(Cl)cc(S(=O)(=O)NC2(CO)CCCCC2)c1Br
ZINC62825368	CCCC([NH3+])C(=O)Nc1c(Br)cc(Br)cc1C(=O)[O-]
ZINC63678989	CCCC(NC(N)=O)C(=O)NCc1ccc(-c2ccc(Br)cc2)o1
ZINC66664721	CC(C)(C)c1cc(NC(=O)CC(NC(N)=O)c2cccs2)n(C(C)(C)C)n1
ZINC66966615	CC(C)Oc1ccc(F)cc1NC(C)C(=O)Nc1cccc(S(N)(=O)=O)c1
ZINC67193419	CC(=O)Nc1cccc(NC(=S)NNC(=O)CC2CC(C)CC(C)(C)C2)c1
ZINC67260198	NC(=O)CSc1ccccc1NC(=O)NCC1(c2ccc(Cl)cc2)CC1
ZINC67470115	O=C(NCC1(c2cccc(C(F)(F)F)c2)CC1)NNC(=O)Nc1ccccc1
ZINC67576967	CC(=O)Nc1ccc(NC(=O)NC2C3CCCC2C[NH+](C2CC2)C3)c(Cl)c1
ZINC03838533	C=CCNc1nc2c(s1)CC1C(C)(CO)C(O)CCC1(C)C2CC(=O)NCCC
ZINC04946030	CCOP(=O)(Nc1ccc2c(c1)/C(=N\NC(N)=S)c1ccccc1-2)OCC
ZINC00834483	CC(C)(C)c1cc(S(N)(=O)=O)c2cc(C(C)(C)C)cc(S(N)(=O)=O)c2c1
ZINC06266129	COc1ccccc1C(=O)NC(=S)Nc1sc2c(c1C(N)=O)CCC(C)C2
ZINC03358146	NC(=O)c1c(NC(=O)COC(=O)c2ccc(O)c(Cl)c2)sc2c1CCCC2
ZINC08563307	Cc1sc(NC(=S)NC(=O)c2ccc(OC(C)C)cc2)c(C(N)=O)c1C
ZINC08846199	CCOC(=O)c1ccc(-c2ccc(C3C(C#N)=C(N)Oc4cc(N)ccc43)o2)cc1
ZINC12503471	CC(=O)Nc1ccc(C(=O)NNC(=S)NC(=O)/C=C/c2cccc3ccccc23)cc1
ZINC12698184	NS(=O)(=O)c1ccc(CCC(=O)NNC(=O)c2cc3c(s2)CCCCCC3)cc1
ZINC12723714	CC(Sc1nc(N)c2c3c(sc2n1)CCCC3)C(=O)NC(=O)NC1CC1
ZINC06831860	CCOc1cc(Br)c(CSc2nc(N)cc(N)n2)cc1OCC
ZINC01123417	NC(=O)c1c(NC(=S)NC(=O)c2ccccc2Br)sc2c1CCC2
ZINC16489901	CNS(=O)(=O)c1cc(C(=O)Nc2cc(Cl)c(N)c(Cl)c2)cc(C)c1C
ZINC13627969	CCCCn1c(=S)[nH]c([O-])c(C2[NH2+]CCc3c2[nH]c2ccc(Cl)cc32)c1=O
ZINC20681890	C=CCNS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC27254229	Cc1ccc(C(=O)NCC(=O)NNC(=S)NC2CCCC(C)C2C)cc1C
ZINC32687725	Cc1cc(Br)ccc1NC(=O)CNC(=O)c1ccc(NC(=O)NC2CC2)cc1
ZINC32803710	CCCNc1ccc(S(N)(=O)=O)cc1NS(=O)(=O)C1=Cc2ccccc2CC1
ZINC04676917	C/C(=C\C(=O)Nc1ccccc1)NNC(=O)c1cc(Br)ccc1O
ZINC08554330	NC(=O)c1c(NC(=S)NC(=O)CCC2CCCCC2)sc2c1CCCC2
ZINC18163615	Cc1ccc(/N=N\c2cc(C)c(C)cc2NC2OC(C)C(O)C(O)C2O)cc1C
ZINC36821233	CC1CCc2c(sc3nc(SCC(=O)NC(=O)NC(C)C)nc(N)c23)C1
ZINC38009012	NNc1cc(S(=O)(=O)[N-]c2c(Cl)cc(Br)cc2Cl)cc[nH+]1
ZINC39534047	[O-]C1CN(C(CNBr)c2ccc(-c3ccccc3O)cc2)CC[NH2+]1
ZINC40762044	Nc1c(Nc2ccc(Br)cc2)ncnc1Nc1ccc2c(c1)OCCO2
ZINC44681459	C=CCNc1nc2c(s1)CC1C(C)(CO)C(O)CCC1(C)C2CC(=O)NCCC
ZINC44776034	NC(=O)Nc1ccc(NC(=O)C2CC=CCC2c2nc3ccccc3s2)cc1
ZINC44861345	CCCC(CCC)(C(=O)Nc1ccccc1I)/C(N)=N/O
ZINC45382923	CC(CCc1ccc(O)cc1)NC(=O)NNC(=O)CC12CC3CC(CC(C3)C1)C2
ZINC45782966	CC(NC(=O)COc1ccc(Br)cc1)c1ccc(NC(N)=O)cc1
ZINC45850957	NC(=O)Nc1ccc(NC(=O)c2c(-n3cccc3)sc3c2CCSC3)cc1
ZINC46575641	CC(=O)Nc1cccc(NC(=S)NNC(=O)/C=C/c2cc(C)c(C)cc2C)c1
ZINC47872119	CC(C)C(NC(=O)c1ccco1)C(=O)NNC(=S)NC1CCCC(C)C1C
ZINC48120753	Cc1cc(OC(C)C)ccc1NC(=O)NCCc1ccc(S(N)(=O)=O)cc1
ZINC48264745	Cc1ccc(-n2c(C)cc(C(=O)CSc3nc(N)cc(N)c3C#N)c2C)cc1C
ZINC51122860	NNc1ccc([N+](=O)[O-])cc1C(=O)Nc1cccc(I)c1
ZINC06910484	CCN(CC)c1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3[nH]c(=S)nc(N)c32)cc1
ZINC54621213	NS(=O)(=O)c1ccc(NC(c2cccs2)c2ccc3cccnc3c2O)cc1
ZINC56142786	O=C(CNC(=O)NC1CCCCC1)NNC(=O)c1cc2c(s1)CCCCC2
ZINC56519001	Cc1ccccc1CCNC(=O)NNC(=O)Nc1ccc(Br)cc1
ZINC56604186	CC(C)(CNC(=O)Nc1ccccc1SCC(N)=O)c1ccc(Cl)cc1
ZINC06585218	O=C(N/C(=N/O)c1ccc(NC(=O)C2CC2)cc1)Nc1ccc(Cl)c(Cl)c1
ZINC58723960	CC(Nc1ccc(OCC(N)=O)cc1)C(=O)Nc1ccc(Br)cc1
ZINC58884447	O=C(Nc1ccccc1)Nc1cccc(NC(=O)NC2CCOc3ccccc32)c1
ZINC59349870	CC(O)CCc1nc2cc(Cc3ccc4nc(CCC(C)O)[nH]c4c3)ccc2[nH]1
ZINC59384631	COc1cc(/C=N/NC(=O)C2=C(C)NC(=S)NC2c2ccccc2)ccc1O
ZINC64056304	CC(C)CC(NC(N)=O)C(=O)Nc1ccc(Oc2cccc3cccnc23)cc1
ZINC65455238	NC(=O)Cc1ccccc1NC(=O)NCCc1cc(Br)ccc1F
ZINC66147680	CNC(=O)c1ccc(/C=C/C(=O)NNC(=S)Nc2ccccc2C(C)C)cc1
ZINC56851928	CC(NC(C)c1cc(F)c(Cl)cc1Cl)C(=O)Nc1ccc(C(N)=O)cc1
ZINC01104365	Cc1nc2sc(C(N)=O)c(N)c2c(C)c1CC(=O)c1ccc(Br)cc1
ZINC01080844	COc1ccc(C2(c3ccc(O)cc3O)CC(c3cccs3)NC(=S)N2)cc1
ZINC01511290	O=C(NNC(=O)C(O)(c1ccccc1)c1ccccc1)Nc1csc2c1CCCC2
ZINC06848813	COc1ccccc1/C=C/C(=O)NC(=S)Nc1sc2c(c1C(N)=O)CCCC2
ZINC06960131	CCOc1cc(C2NC(=S)NC(C)=C2C(=O)Nc2cccc(OC)c2)ccc1O
ZINC00989444	O=C(N/N=C/c1cc(Br)c(O)c(Br)c1O)C(O)c1ccccc1
ZINC03362530	NC(=O)c1c(NC(=O)CNc2ccc(I)cc2)sc2c1CCC2
ZINC02859205	CC(C)(O)C#Cc1ccc(C(=O)NCCCNC(=O)c2ccc(C#CC(C)(C)O)s2)s1
ZINC09963800	C/C(=N\NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1)c1ccc2c(c1)Nc1ccccc1S2
ZINC10149712	CCc1c(C)sc(NC(=S)NC(=O)c2ccccc2I)c1C(N)=O
ZINC10243471	Nc1nc(SCc2ccc(Br)cc2)[nH]c(=O)c1NC(=O)c1ccco1
ZINC12104600	NC(=O)c1c(NC(=O)CSc2nnc(CCC3CCCC3)[nH]2)sc2c1CCCC2
ZINC12279475	CC1CC(C(=O)NCc2nc(NCCCc3ccccc3)c3ccccc3n2)NC(=S)N1
ZINC01430779	N#CC1=C(N)Oc2nc(SCc3ccccc3Cl)nc(N)c2C1c1cccc(F)c1
ZINC01430797	N#CC1=C(N)Oc2nc(SCc3ccccc3Cl)nc(N)c2C1c1ccccc1F
ZINC01430909	N#CC1=C(N)Oc2nc(SCc3ccccc3Cl)nc(N)c2C1c1cccnc1
ZINC12759595	NC(=O)NC(Cc1ccccc1)C(=O)NCCSc1ccc(Br)cc1
ZINC14558864	CCCOc1ccc(Br)cc1C(=O)NC(=S)Nc1cccc(C(N)=O)c1
ZINC14558895	CC(C)Oc1ccc(Br)cc1C(=O)NC(=S)Nc1cccc(C(N)=O)c1
ZINC15262349	COc1cc(C2Oc3c(OC)cc(/C=C/c4cc(O)cc(O)c4)cc3C2CO)ccc1O
ZINC08636464	O=C(Nc1ccccc1)C1CC(O)C(O)C2NC(=S)N(c3ccc(OC(F)(F)F)cc3)C12
ZINC16477938	NC(=O)COc1ccccc1C1NC(=S)NC(c2ccccc2)=C1C(=O)c1ccccc1
ZINC17206157	O=c1c(C2[NH2+]CCc3c2[nH]c2ccccc32)c([O-])[nH]c(=S)n1CCc1ccccc1
ZINC20624042	O=c1[nH]c([O-])c(C2[NH2+]CCc3c2[nH]c2ccc(Cl)cc32)c(=O)n1CCc1ccccc1
ZINC20681772	CC(C)(C)NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC24274981	CC(C)(C)C1CCc2sc(C(=O)NNC(=O)c3ccc(OCC(N)=O)cc3)cc2C1
ZINC24450833	NC(=O)NC(CC(=O)NCC1CC2c3ccccc3C1c1ccccc12)c1ccccc1Cl
ZINC27664431	CCOc1cc(C2NC(=O)NC(O)(C(F)(F)F)C2C(=O)c2ccc(C)cc2)ccc1O
ZINC32937309	NC(=O)Nc1ccc(NC(=O)c2ccc(-c3ccc(Br)cc3)s2)cc1
ZINC33513669	Nc1nc(=S)[nH]c2c1C(c1ccc(OCc3ccccc3)cc1)C1=C(CCCC1=O)N2
ZINC33908593	Cc1ccc(N(CC(O)C(O)C(O)CO)/N=N/c2ccc(Br)cc2)cc1C
ZINC37637854	COc1ccc(NC(=S)NNC(=S)Nc2ccc(Br)cc2)cc1
ZINC39335247	N#CC1=C(N)NC(SCC(=O)Nc2cc(Cl)ccc2Cl)=C(C#N)C12CCCCC2
ZINC39335337	N#CC1=C(N)NC(SCC(=O)Nc2cc(Cl)cc(Cl)c2)=C(C#N)C12CCCCC2
ZINC39534049	[O-]C1CN(C(CNI)c2ccc(-c3ccccc3O)cc2)CC[NH2+]1
ZINC39534050	[O-]C1CN(C(CNI)c2ccc(-c3ccccc3O)cc2)CC[NH2+]1
ZINC39859819	CC(=O)Nc1ccc(NC(=S)NC(NC(=O)c2cccs2)C(Cl)(Cl)Cl)cc1
ZINC40376894	CCCC(NS(=O)(=O)c1c(Cl)cc(Br)cc1Cl)/C(N)=N/O
ZINC40825375	Cc1c(C(=O)NNC(C)(C)C)oc2c1/C(=N/NC(=S)Nc1ccccc1)CCC2
ZINC41006673	CC1(O)CC(=O)C(C(=O)Nc2ccccc2)C(c2ccc(O)cc2)C1C(=O)Nc1ccccc1
ZINC43553686	C=CCNc1nc2c(s1)CC1C(C)(CO)C(O)CCC1(C)C2CC(=O)NCc1cccs1
ZINC08053751	NC(=O)c1c(NC(=S)NC(=O)CC23CC4CC(CC(C4)C2)C3)sc2c1CCC2
ZINC54535282	CCCCNc1ccc(S(N)(=O)=O)cc1NS(=O)(=O)c1ccc(Cl)cc1
ZINC54535295	CCCCNc1ccc(S(N)(=O)=O)cc1NS(=O)(=O)c1cc(C)ccc1C
ZINC42933403	Cc1ccc(Br)cc1NC(=O)NCCc1ccc(S(N)(=O)=O)cc1
ZINC59894579	CC(NC(=O)C1CCCN1C(=O)C12CC3CC(CC(C3)C1)C2)c1ccc(NC(N)=O)cc1
ZINC62825356	CCC(C)C([NH3+])C(=O)Nc1c(Br)cc(Br)cc1C(=O)[O-]
ZINC62825425	CC(C)(C)C([NH3+])C(=O)Nc1c(Br)cc(Br)cc1C(=O)[O-]
ZINC64164819	COc1ccc(NC(=O)C2CC(C(C)O)NC23C(=O)Nc2c(Cl)cccc23)cc1
ZINC64981100	Cc1sc(NC(=O)CSc2nc(=O)c3c4c(sc3[nH]2)CCCC4)c(C(N)=O)c1C
ZINC02955123	Cc1ccc(OCC(=O)Nc2sc3c(c2C(N)=O)CCC(C)C3)c(C)c1
ZINC02502649	N#CC1=C(N)Oc2cc(O)ccc2C1c1ccccc1OCc1ccc(F)cc1
ZINC04246396	Cc1ccc(NC(=O)COC(=O)c2cc(Br)ccc2N)c(C)c1
ZINC04984242	CCCOc1ccccc1C(=O)Nc1sc2c(c1C(N)=O)CCCC2
ZINC04973824	O=c1[nH]c2ccc(NCc3cccc(OCc4ccccc4F)c3)cc2[nH]1
ZINC05780544	CC(Sc1nc2cc(Cl)ccc2s1)C(=O)Nc1ccc(C(N)=O)cc1
ZINC02558479	CCC1CCc2c(sc(N)c2C(=O)Nc2ccc(OC)cc2OC)C1
ZINC01937543	Cc1cc(C)c(C)c(OCC(=O)Nc2sc3c(c2C(N)=O)CCC(C)C3)c1
ZINC06886072	O=C(Cc1cccc2ccccc12)NNC(=S)NC(=O)C1CCCCC1
ZINC08843905	COc1cccc(C2NC(=S)NC(C)=C2C(=O)Nc2ccc(F)cc2)c1
ZINC09647690	CC(C)c1ccccc1NC(=O)CSc1nc(N)c2ccsc2n1
ZINC11027293	CC1=C(C)C(C(N)=O)C(NC(=O)c2ccccc2Oc2ccccc2)S1
ZINC06108780	Nc1nc(SCC(=O)NCc2cccs2)nc2sc3c(c12)CCCC3
ZINC04083314	NC(=O)N/N=C/c1cn(Cc2ccc(Cl)cc2Cl)c2ccccc12
ZINC01726834	O=C(CCc1ccc(O)cc1)N/N=C/c1cc(Br)ccc1O
ZINC01305292	CCOc1ccccc1NC(=O)C1=C(C)NC(=S)NC1c1ccccc1
ZINC20693588	COc1cc(C2Nc3ccc(NC(=O)C(C)C)cc3C3C=CCC32)ccc1O
ZINC20693634	COc1cc(C2Nc3ccc(C(=O)NC(C)(C)C)cc3C3C=CCC32)ccc1O
ZINC20694749	CCCNC(=O)c1ccc2c(c1)C1C=CCC1C(c1cccc(OC)c1O)N2
ZINC21443667	CC(C)(C)c1ccc(O)c(NC(=O)CNC(=O)c2ccc(F)cc2F)c1
ZINC26919609	CSC(=O)C1C(c2ccc(C(C)C)cc2)NC(=O)NC1(O)C(F)(F)F
ZINC35681714	Cc1ccc(-c2nc(C(=O)NN)c(Sc3ccc(Cl)cc3)o2)cc1
ZINC04965399	O=C(Nc1ccccc1)NC1(C(=O)NCc2cccs2)CCCCC1
ZINC17820040	CNC(=S)N1C2CCC1CC(NC(=O)NC13CC4CC(CC(C4)C1)C3)C2
ZINC40018168	Nc1nc(SCC(O)COC2CCCc3ccccc32)nc2sccc12
ZINC40735397	CC1(C)CC2CC(C)(CN2c2ncnc(NCc3ccccc3Cl)c2N)C1
ZINC40760702	CC(Nc1ncnc(Sc2cccc3cccnc23)c1N)c1ccccc1
ZINC43654312	CC(=O)Nc1cccc(NC(=O)NC(c2cccs2)C2CCCC2)c1
ZINC45821485	Cc1ccc(-c2csc3nc(SCCC(N)=O)[nH]c(=O)c23)cc1C
ZINC47872132	CC1CCCC(NC(=S)NNC(=O)c2ccc(Br)o2)C1C
ZINC49779098	COc1ccccc1C(C)NC(=O)NNc1c(F)c(F)c(F)c(F)c1F
ZINC54412254	Cc1ccc(C(C)NC(=O)Nc2cc(NC(=O)C(C)C)ccc2C)s1
ZINC05615910	COc1ccccc1C1NC(=S)NC(C)=C1C(=O)Nc1ccc(C)cc1
ZINC11005797	O=C(CNC(=O)Nc1cccc2ccccc12)Nc1ccc(F)c(F)c1F
ZINC61750887	NC(=O)c1cc(NC(=O)N2CCCC2Cc2cccc3ccccc23)ccc1F
ZINC63122688	O=C(NNC(=S)NC1CCCCC1)c1cnc(-c2ccccc2F)s1
ZINC63161311	CC(C)CC(NC(=O)Nc1cc(C(F)(F)F)c[nH]c1=O)c1cccs1
ZINC64900673	Cc1ccc(C23CC4CC(CC(C(=O)NNC(=O)NC5CC5)(C4)C2)C3)cc1
ZINC65080623	CC(C)(C(=O)Nc1cccc(S(N)(=O)=O)c1)c1ccc(Cl)c(Cl)c1
ZINC66121833	CC(Cc1ccc(Cl)cc1Cl)NC(=O)N1CCCC(CCC(N)=O)C1
ZINC66122499	CC(C)c1ccccc1NC(=S)NNC(=O)c1cc2ccccc2n1C
ZINC66402165	CC(C)CC(NC(=O)Nc1cc(C(F)(F)F)c[nH]c1=O)c1cccs1
ZINC66606244	O=C(CNC(=O)NCc1ccc(Cl)cc1)NC1CCCC(C(F)(F)F)C1
ZINC66977014	O=C(Cc1ccccc1F)NNC(=O)NC(c1cccs1)C1CCCC1
ZINC66980949	CC(=O)Nc1cc(NC(=O)NC2CCCCC2C(C)(C)C)c(F)cc1F
ZINC67005702	CCc1ccc(/N=C/c2cc(Br)ccc2O)cc1S(N)(=O)=O
ZINC67063837	O=C(CCC1CCCCC1)NNC(=O)NCc1cc(Br)cs1
ZINC67065005	O=C(CC1CCCCC1)NNC(=O)NCc1ccc(C(F)(F)F)cc1
ZINC67566194	CC1CCc2sc(C(=O)NNC(=O)NC3CC3c3cccc(F)c3)cc2C1
ZINC67614462	O=C(NCc1ccc(O)cc1)N1CCC(C(O)c2ccc(Cl)cc2)CC1
ZINC02337172	Cc1cccc(C)c1NC(=O)CSc1nnc(-c2ccc(C(C)(C)C)cc2)n1N
ZINC01171959	COc1ccc(OC)c(C2NC(=S)NC(C)=C2C(=O)Nc2ccc(C)cc2C)c1
ZINC01146678	COc1ccc(OC)c(C2NC(=S)NC(C)=C2C(=O)Nc2cc(C)ccc2C)c1
ZINC04366152	NC(=O)N/N=C/c1ccc(OC(=O)c2ccccc2I)cc1
ZINC01132480	CC1CCCCC1NC(=O)CSc1nnc(-c2ccc(Cl)cc2)n1N
ZINC03272685	CCC(C)c1ccccc1NC(=O)CSc1nnc(-c2ccc(C)cc2)n1N
ZINC05919330	CC(Oc1ccc(Cl)cc1Cl)C(=O)NNC(=O)Nc1ccc(Cl)cc1
ZINC06762764	CC(C)C(NC(=O)c1ccccc1F)C(=O)N/N=C/c1c(O)ccc2ccccc12
ZINC09317002	COc1cccc(C(=O)c2c(N)c(C(=O)Nc3ccccc3F)c3ccccn23)c1
ZINC13220339	Cc1nc(N)sc1C(=O)N/N=C/c1ccccc1OCCc1ccccc1
ZINC18406160	CC(OC(=O)c1cccc(Cl)c1N)C(=O)Nc1ccccc1OC(F)F
ZINC20528055	Nn1c(N/N=C/c2ccc(F)cc2)nnc1SCc1ccc(Cl)cc1
ZINC23399369	O=C(Nc1ccccc1)Nc1ccc(NS(=O)(=O)c2cccs2)cc1
ZINC01473011	C=CCc1c(C)c(C#N)c2nc3ccccc3n2c1Nc1ccc(C(N)=O)cc1
ZINC12403376	CCc1ccc(OCC(=O)NNC(=O)NC2CCCCC2)c(Br)c1
ZINC04671719	COc1ccc(NC(=O)/C=C(\C)NNC(=O)Cc2cccc3ccccc23)cc1
ZINC26895595	CCC1(C)Cc2ccccc2-c2nc(NNC(=O)Cc3ccccc3)[nH]c(=O)c21
ZINC36271390	COc1ccc(OC)c(NC(=O)C2=C(C)NC(=S)NC2c2ccc(C)cc2)c1
ZINC36567710	CCCN(C(=O)c1ccccc1O)C(C(=O)NC(C)(C)C)c1ccccc1O
ZINC36587100	Cc1ccc(C(C(=O)NC(C)(C)C)N(C(=O)c2cccc(O)c2O)C(C)(C)C)cc1
ZINC08498015	CC(C)C(=O)Nc1ccc(C(=O)C(C)OC(=O)c2ccc(Cl)c(N)c2)cc1
ZINC03531207	CC(C)C(C)NC(=O)CSc1nnc(-c2ccc(C(C)(C)C)cc2)n1N
ZINC43876498	Cc1ccc(SCC(=O)NNC(=O)NC(C)c2cc3ccccc3o2)cc1
ZINC43976251	O=C(Nc1ccc(NC(=O)c2ccco2)cc1)NC1CCCC(C(F)(F)F)C1
ZINC47487863	CCC(=O)Nc1cccc(NC(=O)NCc2ccccc2OC2CCCC2)c1
ZINC49749987	CCc1cc2c(=O)[nH]c(SCC(=O)Nc3cc(C)ccc3O)nc2s1
ZINC51186639	Cc1cc(N2CCSCC2)ccc1NC(C)C(=O)NC(=O)NC1CCCC1
ZINC06753022	CC(C)(C)c1ccc(C2c3c(-c4ccccc4O)n[nH]c3C(=O)N2CCO)cc1
ZINC52939254	CC1CCCCC1NC(=S)NNC(=O)/C=C/c1c(Cl)nc2sccn12
ZINC54114293	Oc1cccnc1NC(c1ccc(OC(F)F)cc1)c1ccc2cccnc2c1O
ZINC56157449	CC(Nc1cccc(N2CCNC2=O)c1)C(=O)Nc1ccc(Cl)c(Cl)c1
ZINC57394048	CC(C)CC(NC(=O)NNC(=O)c1cn(C)c2ccccc12)c1cccs1
ZINC57405958	CCc1cc2c(CNc3ccc(NC(=O)C(C)C)cc3)cc(=O)oc2cc1O
ZINC57541531	COc1ccc(C)cc1CCNC(=O)Nc1cc(NC(=O)C(C)C)ccc1C
ZINC57544081	COc1ccc(C(NC(=O)Nc2cc(NC(=O)C3CC3)ccc2C)C2CC2)cc1
ZINC07170995	CC(Sc1nnc(-c2ccc(C(C)(C)C)cc2)n1N)C(=O)NC(C)(C)C
ZINC58411999	NC(=O)c1ccccc1OCC(=O)Nc1ccc(Oc2ccccc2Cl)cc1
ZINC58822945	CCOc1cc(/C=N/NC(N)=O)ccc1OCc1ccc(Cl)c(Cl)c1
ZINC13977417	O=S(=O)(NC1CCCCC1)c1ccc(/N=C/c2ccc(O)cc2O)cc1
ZINC01172862	Cc1ccc2oc(-c3cc(NC(=S)NC(=O)c4cccs4)ccc3O)nc2c1
ZINC59385376	COc1ccccc1C1NC(=S)NC(C)=C1C(=O)N/N=C/c1ccccc1F
ZINC13942923	COc1cc(C2NC(=S)NC(C)=C2C(=O)Nc2ccccc2)ccc1OC(C)C
ZINC03417734	O=C(COC(=O)c1ccc(O)cc1O)Nc1cc(Cl)c(Cl)cc1Cl
ZINC62318301	CC(C)(C)c1ccc(CCNC(=O)NCCn2c(=O)[nH]c3ccccc32)cc1
ZINC63389330	CNC(=O)C1CCC(NC(=O)Nc2ccc(Oc3cccc(C)c3)cc2)CC1
ZINC63409028	Cc1cccc(C(C)(C)CNC(=O)NNC(=O)COc2ccccc2F)c1
ZINC65143789	CC(C)CCNC(=O)NNC(=O)c1ccc(-c2nc3ccccc3s2)s1
ZINC65621291	CC(=O)Nc1ccc(O)c(C(=O)NN=C(c2ccccc2)c2ccccc2)c1
ZINC66398819	Cc1ccccc1C(C#N)NC(=O)CCNC(=O)NC12CC3CC(CC(C3)C1)C2
ZINC66682504	COc1ccc(C)cc1C(C)NC(=O)Nc1ccc(C(=O)NC(C)C)c(C)c1
ZINC00089285	NC(=O)NC(=O)CC1Sc2ccccc2NC1=O
ZINC01646794	Nc1ccc(Nc2cc(=O)[nH]c(=O)[nH]2)cc1
ZINC05276275	CC1OC(Nc2ccc(O)cc2)C(O)C(O)C1O
ZINC05526851	COc1ccc(/C=C2\C(=O)NC(=O)N\C2=N/N)cc1
ZINC05749420	O=C1NC(=O)C(Cc2ccc(O)c(O)c2)N1
ZINC12358956	CC1(O)OC(CO)C(C)(O)C(C)(O)C1(C)O
ZINC04256208	O=C1c2ccccc2C2(O)c3ccc(O)cc3NC12O
ZINC00047822	O=C1c2ccccc2C2(O)NC(=S)NC12O
ZINC00053457	O=C([O-])C1CSC(c2cccc(O)c2O)[NH2+]1
ZINC12358818	CC1OC(O)C(C)(O)C(C)(O)C1(C)O
ZINC17083503	Nc1c(O)[nH]c(=O)n(-c2ccccc2)c1=O
ZINC20420537	Cc1nn(C(C)C(=O)NC(N)=O)c(C)c1N
ZINC31669947	CN(N)c1nc(N)c(C#N)c(C#N)c1C#N
ZINC19757525	CC1CN(CC(N)=O)c2ccc(N)cc2O1
ZINC22942313	O=C1NC2NC3NC(=O)NC3NC2N1
ZINC35431171	[NH3+][N-]S(=O)(=O)c1ccc2c(c1)NC(=O)CO2
ZINC34198910	CC1(C)OC2C(O)C(O)C(O)C(O)C2O1
ZINC36742906	CS(=O)(=O)Nc1cc2c(cc1N)OCC(=O)N2
ZINC37263636	OCC1COC2OC([S-])=[NH+]C2C(O)C1O
ZINC37638042	NC(=[NH2+])Sc1c([O-])[nH]c(=O)[nH]c1=O
ZINC37934214	Nc1cc(N2CCCC(O)C2)cc(S(N)(=O)=O)c1
ZINC38665051	OCC1(F)OC(F)C(O)C(O)C1O
ZINC39124427	COc1c2c(c3nc(C)n(N)c(=O)c3c1N)OCO2
ZINC39194550	NNC(=O)Nc1ccccc1[N+](=O)[O-]
ZINC22865640	O/N=C1\NC2NCCNC2N\C1=N/O
ZINC40174023	O=C(CCl)N=c1[nH]c2c([nH]1)NON2
ZINC26441761	CC1(C)C(C(N)=O)CCC1(C)C1NC(=O)NC1=O
ZINC40418948	Cn1c(N)c(N2CCCC(CO)C2)c(=O)[nH]c1=O
ZINC40470535	[NH3+]C1(C(=O)N2CC(O)CC2C(=O)[O-])CCCCC1
ZINC17175279	OC1C(O)C(O)C(Cl)C(O)C1O
ZINC40516545	Cc1nn(-c2ccc(S(N)(=O)=O)cn2)c(C)c1N
ZINC41028351	[NH3+]C1CCCN(C(=O)c2cc([O-])[nH]c(=O)c2)C1
ZINC42440723	CC1CCC(C(N)=O)CN1C(=O)NN
ZINC43509371	CC1(O)C(O)OC(CO)C(C)(O)C1(C)O
ZINC43509434	CC1(O)OC(CO)C(C)(O)C(C)(O)C1(C)O
ZINC44168159	OC1C(O)C(O)C2OC3(CCCCC3)OC2C1O
ZINC44817433	CC(NC(N)=O)C(=O)/N=C1/NCCS1
ZINC44830159	Nc1cc(NS(N)(=O)=O)ccc1O
ZINC39122098	N=C(N)N(C(N)=O)C1=CC=CCN1O
ZINC51886334	Cn1c(N)c(N2CCC(CO)C2)c(=O)[nH]c1=O
ZINC52125743	NC(=O)CN1C(=O)c2ccc(N)cc2S1(=O)=O
ZINC52834470	CC1(N/C(N)=N/O)CCS(=O)(=O)C1
ZINC42068362	Cc1ccc2c(c1C)N(CC(N)=O)C(=O)C2N
ZINC12505884	NC(=O)C1=C(N)N2C(CC3CCCCC32)C1=O
ZINC62365444	Nc1cc(=O)[nH]c(Sc2ncnc(Cl)c2N)n1
ZINC62723189	Nc1ccc2c(S(=O)(=O)[O-])ccc(N)c2c1O
ZINC63193368	CC([NH3+])C1CCCCN1C(=O)c1cc(=O)[nH]c([O-])n1
