ZINC01027075	Cc1nnc(CSc2nnc3n(N)cnn23)o1
ZINC42870579	CC(NC(=O)NC1CCS(=O)(=O)C1)C(=O)N(C)C
ZINC44245723	O=S(=O)(NCC1COCCO1)c1cncc(C#CCO)c1
ZINC48127337	O=C1NC(=O)C2(CCN(C(=O)C3COCCO3)CC2)N1
ZINC48127340	O=C1NC(=O)C2(CCN(C(=O)C3COCCO3)CC2)N1
ZINC48577022	O=C(CNC(=O)C1CCCO1)NC1CCS(=O)(=O)C1
ZINC48577028	O=C(CNC(=O)C1CCCO1)NC1CCS(=O)(=O)C1
ZINC48674809	O=C(/C=C/c1nccs1)NNC(=O)C1CCS(=O)(=O)C1
ZINC49041265	CC(NS(C)(=O)=O)C(=O)NC1CCC2(CC1)OCCO2
ZINC49087313	C[NH+]1CCC(NC(=O)N(CC(=O)[O-])C2CCS(=O)(=O)C2)C1
ZINC49347858	Cc1nc(C(=O)NCC(=O)NC2CCS(=O)(=O)C2)cs1
ZINC50843573	CC(C)(C)OC(=O)N1CCCC1C(=O)N1CCOC(C(N)=O)C1
ZINC51131562	CCN1CCN(C(=O)C(C)N2CCOC(C(N)=O)C2)CC1
ZINC51164330	CC(=O)c1ccc(S(=O)(=O)N2CCOC(C(N)=O)C2)cc1
ZINC52222521	O=C(Cn1cc(CO)nn1)NC1CS(=O)(=O)CC1Cl
ZINC52578023	Cc1occc1C(=O)NCC(=O)NC1CCCc2c1cnn2C
ZINC52578025	CC(NC(=O)c1ccoc1)C(=O)NC1CCCc2c1cnn2C
ZINC40387256	CS(=O)(=O)NC1=NCN(CC2CCCO2)CN1
ZINC55305518	NS(=O)(=O)C1CCCN(C(=O)C2COCCO2)C1
ZINC04538846	CC1(C)OC2C(CO)OC(n3cnc4c(=S)[nH]cnc43)C2O1
ZINC04538848	CC1(C)OC2C(CO)OC(n3cnc4c(=S)[nH]cnc43)C2O1
ZINC48007459	CNC(=O)CN1CCN(C(=O)C(=O)NC2CC2)CC1
ZINC60481486	O=C1NC(=O)C2(CCN(C(=O)CN3CCCC3=O)CC2)N1
ZINC19169954	COCCN1C(=O)C2C(c3ccc(O)cc3)NN(C)C2C1=O
ZINC62027032	Cc1n[nH]c(C)c1S(=O)(=O)NCc1nn2c(C)nnc2s1
ZINC62328465	CC(NC(=O)N1CCn2cc[nH+]c2C1)(C(=O)[O-])C1CC1
ZINC63015031	CS(=O)(=O)CCCN1C(=O)c2ccc(N)cc2S1(=O)=O
ZINC63110725	O=C(CN1CCS(=O)(=O)CC1)NNC(=O)C1CC1
ZINC63587174	Cc1[nH]n(C2=NC(=O)CC(C(F)(F)F)=N2)c(=O)c1CCO
ZINC50636922	O=C(NC1CCCNC1=O)c1ccc(N2C(=O)CCC2=O)cc1
ZINC66626280	Cc1nn(CC(=O)NCc2n[nH]c(=S)n2C)c(C)c1Cl
ZINC66649291	CN(C)C(=O)C1CSCN1C(=O)CNC(=O)NC1CC1
ZINC65374661	CN(Cc1ccc(C2CC(=O)Nc3n[nH]cc32)o1)S(C)(=O)=O
ZINC02491957	CCn1c(NCCO)nc2c1c(=O)n(C)c(=O)n2C
ZINC04338539	CN(C)/C=N/c1ncnc2c1ncn2C1CC(O)C(CO)O1
ZINC04737442	O=C(Nc1nnnn1NC(=O)C(F)(F)F)C(F)(F)F
ZINC04730245	O=C1NC(=O)C(/C=N/Cc2ccc3c(c2)OCO3)C(=O)N1
ZINC05500093	CC1(C)OC2OC(C(O)CO)C(N=[N+]=[N-])C2O1
ZINC05574421	COC1CC(NC(C)=O)C(O)C(CN=[N+]=[N-])O1
ZINC00122701	Cc1cc(-c2onc(C)c2C(=O)NNS(C)(=O)=O)no1
ZINC06394477	CC1(C)OC2OC(C(O)COS(C)(=O)=O)C(O)C2O1
ZINC12981630	Cc1cc(C)n2ncc(C(=O)Nn3cn[nH]c3=S)c2n1
ZINC17008086	Cc1nc2n(n1)C(C(=O)NCC1CCCO1)CC(=O)N2
ZINC19899369	CN1C(=O)C(=CNCCc2c[nH]cn2)C(=O)N(C)C1=O
ZINC28559389	Cc1nc(N2CCN(C(N)=O)CC2)c2c(n1)c(C)nn2C
ZINC32058997	CC(=O)Nc1nc(C(=O)NCc2nnc3n2CCC3)cs1
ZINC37750833	Cn1c(=O)c2[nH]c(NCCS(C)(=O)=O)nc2n(C)c1=O
ZINC04881389	CN(c1ncnc(N)c1[N+](=O)[O-])C1CCS(=O)(=O)C1
ZINC39265135	N#Cc1cnc(N2CCN(C(=O)C3CCCO3)CC2)nc1N
ZINC40736967	Cc1cc(C)n(-c2ncnc(N(CC#N)CC#N)c2N)n1
ZINC42029506	COc1ccc(N)cc1-c1nnnn1CC1COCCO1
ZINC44281543	Cc1occc1C(=O)NNC(=O)C1CC1[N+](=O)[O-]
ZINC44976328	CCn1cnnc1CNc1ncnc2[nH]ncc12
ZINC45163898	CNC(=O)C(C)NC(=O)c1ccc([N+](=O)[O-])o1
ZINC47996865	CNC(=O)NC(=O)C(C)N1CCN(C(=O)COC)CC1
ZINC48000446	Cc1nc(NC(=O)C(=O)NC2CCS(=O)(=O)C2)oc1C
ZINC48187277	Cc1nnc(C(C)Sc2nnc(-c3ccoc3C)n2N)o1
ZINC48187279	Cc1nnc(C(C)Sc2nnc(-c3ccoc3C)n2N)o1
ZINC48391026	Cc1cc(C(=O)NNC(=O)Cn2nc(C)cc2C)on1
ZINC48552822	CS(=O)(=O)N1CCN(c2ncc([N+](=O)[O-])c(N)n2)CC1
ZINC48571431	CC(c1nc(C2CC2)no1)N1CCN(S(N)(=O)=O)CC1
ZINC48708550	O=C(NNC(=O)C1CCS(=O)(=O)C1)c1cnns1
ZINC49083219	O=C(NNC(=O)C1CCS(=O)(=O)C1)c1cnccn1
ZINC49347865	O=C(CNC(=O)c1cnsn1)NC1CCS(=O)(=O)C1
ZINC50122312	O=C(NNC(=O)c1ccc[n+]([O-])c1)c1cccc([N+](=O)[O-])c1
ZINC50517805	O=[N+]([O-])c1ccc(CO)cc1OC1CS(=O)(=O)CC1O
ZINC50632404	N#CCN(CC#N)S(=O)(=O)c1cnc(N)nc1
ZINC50788003	CNc1ccc(C(=O)NCc2nc(C)no2)nn1
ZINC52788368	Cn1ncc(-c2nc(CS(C)(=O)=O)no2)c1N
ZINC13427056	CCN1C(=O)N(CO)C2C1N(CO)C(=O)N2CC
ZINC55856060	Cc1ccc(-n2cnnn2)cc1NCC(=O)N1CCNC1=O
ZINC59158505	O=c1[nH][nH]c(=O)n1/N=C/c1ccc2c(c1)OCO2
ZINC62367375	CCNc1ncnc2c1cnn2-c1ncnc2[nH]cnc12
ZINC63078774	CN(Cc1cnn(C)c1)Cc1nc(N)c2cnn(C)c2n1
ZINC39791629	CNC(=O)NC(=O)C(C)SC1=NC(=O)C2=CN=NC2=N1
ZINC63633246	CC1=CC(NC(=O)CSC2=NC=NC3=NC=NC32)NO1
ZINC63869847	Cc1nc(NCCN2CCNC2=O)c2nc(C)oc2n1
ZINC63900031	CC1C(Nc2cn[nH]c(=O)n2)C(=O)N(c2ccccc2)N1C
ZINC58263894	O=C(NC1CCCNC1=O)c1ccc(-n2cnnn2)cc1
ZINC48355942	CC(NC(=O)C1=NNC(=O)CC1)c1nnc2n1CCCCC2
ZINC65743088	CC1(C)OC2OC(C(O)COS(C)(=O)=O)C(O)C2O1
ZINC66377071	Cn1cc(-c2ncc(C(=O)Nc3nc[nH]n3)s2)cn1
ZINC66457480	O=C(Nc1cc[nH]n1)C1=CN2CCS(=O)(=O)N=C2C=C1
ZINC02565207	Cc1c([N+](=O)[O-])c(C(F)(F)F)nn1CC(=O)[O-]
ZINC09530996	CN1/C(=N/C(=O)CCCC(=O)[O-])SC2CS(=O)(=O)CC21
ZINC15443033	CC(C)(C)OC(=O)N1CCN(C(=O)C(=O)[O-])CC1
ZINC06746752	COc1cc(-c2nn[n-]n2)cc(OC)c1OC
ZINC20445799	CC(=O)N1CCN(c2c(C(=O)[O-])c(C)nn2C)CC1
ZINC20817247	Cc1nnc(=S)n(/N=C/c2cnn(C)c2)c1[O-]
ZINC32501512	CCN1/C(=N/C(=O)CCC(=O)[O-])SC2CS(=O)(=O)CC21
ZINC33513346	CC(C)(C(=O)[O-])n1cc([N+](=O)[O-])ccc1=O
ZINC36232094	Cc1oc(C)c(S(=O)(=O)N2CCOC(C)(C)C2)c1C(=O)[O-]
ZINC36863861	O=C([O-])c1cc(S(=O)(=O)N2CCOCC2)cn1C1CC1
ZINC37337744	CC1COCCN1CC(=O)c1cc([N+](=O)[O-])c[n-]1
ZINC37400993	COC1CC(C(=O)[O-])N(c2ccc(C)cc2[N+](=O)[O-])C1
ZINC37582239	O=C([O-])CN(C(=O)c1ccc(Cl)o1)C1CCS(=O)(=O)C1
ZINC03957328	COc1cc(-c2nnc([O-])o2)cc(OC)c1OC
ZINC06706462	Cc1nn(C)cc1S(=O)(=O)[N-]c1ncccn1
ZINC37931642	Cc1cc2ncc(C(=O)N(C)CCC(=O)[O-])c(C)n2n1
ZINC38058400	CC(=O)N1CCN(S(=O)(=O)c2ccc(C(=O)[O-])s2)CC1
ZINC38564666	Cc1nc2n(c1C)C1C([O-])=NC(=O)N(C)C1=N2
ZINC39779488	CC1=C(S(=O)(=O)OCC(=O)[O-])C(C)N=N1
ZINC41886566	O=C([O-])C1(n2cc([N+](=O)[O-])cn2)CCCC1
ZINC41898694	O=C([O-])C1(n2cc([N+](=O)[O-])ccc2=O)CCSC1
ZINC41907488	CC(C(=O)[O-])(c1ccc2c(c1)OCO2)N1CCOC1=O
ZINC41915915	CC1CCCCC1(C(=O)[O-])n1cnc([N+](=O)[O-])n1
ZINC42165200	CN(C(=O)N1CCCC1CC(=O)[O-])C1CCS(=O)(=O)C1
ZINC42709229	CC(CN(C)C(=O)N(C)C1CCS(=O)(=O)C1)C(=O)[O-]
ZINC43702934	CN(C1CCCCC1)S(=O)(=O)N1CCOC(C(=O)[O-])C1
ZINC48518428	Cc1nn(C)c(C)c1S(=O)(=O)/N=C(\[O-])CC1CCCO1
ZINC48755772	CC(C)c1nnc(/N=C(\[O-])C(=O)N2CCOCC2C)s1
ZINC48869021	CN(C)S(=O)(=O)/N=C([O-])/C=C\c1ccc2c(c1)OCO2
ZINC48869934	COc1ccc(/C([O-])=N/S(=O)(=O)N2CCCCC2)cn1
ZINC49417820	CC(C)S(=O)(=O)/N=C(\[O-])c1cnc2n(c1=O)CCS2
ZINC49864793	Cc1nn(C)c(Cl)c1/C=C/C(=O)N1CCOC(C(=O)[O-])C1
ZINC50223734	O=C([O-])c1nnn(C2CCS(=O)(=O)C2)c1C1CC1
ZINC50445939	CC1CCC(C(=O)[O-])(n2cccc([N+](=O)[O-])c2=O)CC1
ZINC53162265	COC1CC(C(=O)[O-])N(c2c([N+](=O)[O-])ccc(F)c2F)C1
ZINC54052034	CC(C(=O)[O-])N(C)C(=O)c1ccc([N+](=O)[O-])cc1Cl
ZINC54052818	CC(C(=O)[O-])N(C)C(=O)c1cc([N+](=O)[O-])ccc1F
ZINC54052900	CC(C(=O)[O-])N(C)C(=O)c1ccc([N+](=O)[O-])cc1F
ZINC54054911	CC(C(=O)[O-])N(C)c1ccc([N+](=O)[O-])nc1
ZINC57572256	CC(CC(=O)[O-])c1nnc(-c2ccc3c(c2)OCO3)o1
ZINC57600060	O=CN1CCN(c2nnc(SCC(=O)[O-])s2)CC1
ZINC57961912	CN1C(=O)CC(C(=O)[O-])C1c1ccc([N+](=O)[O-])cc1
ZINC62843142	COC(=O)C1CCCN1C(=O)N1CCC(C)(C(=O)[O-])CC1
ZINC62843606	CC1(C(=O)[O-])CCN(c2cc([N+](=O)[O-])ccn2)CC1
ZINC62869986	CCC1(C(=O)[O-])CCCN(C(=O)C2=NN(C)C(=O)CC2)C1
ZINC62914066	CC1(C(=O)[O-])CCN(C(=O)c2cc([N+](=O)[O-])ccc2F)C1
ZINC62924394	CC1(C(=O)[O-])CCN(S(=O)(=O)N2CCOCC2)C1
ZINC62938717	Cn1nnnc1N1CCCC(C)(C(=O)[O-])C1
ZINC39327543	CCOC(C)/C([O-])=N/C1=NC=NC2=NC=NC21
ZINC63818435	COc1ccc([N-]C2=NC(N(C)C)N=C3N=NC=C32)cc1
ZINC01059670	COc1ccc(C2C([N+](=O)[O-])=C(N)Oc3cc(C)oc(=O)c32)cc1OC
ZINC01405684	CC1=NNC2(C)Nc3ncnn3C(c3ccc([N+](=O)[O-])cc3)C12
ZINC04941520	O=C(NCC1COC2(CCCC2)O1)C(=O)Nc1cccc([N+](=O)[O-])c1
ZINC06412723	CCn1nccc1/C(C)=N\NC(=O)c1n[nH]c([N+](=O)[O-])c1Cl
ZINC07776150	N#C/C(C(=O)CSc1n[nH]c(=O)n1C1CC1)=C1/NN=C2CCCCCN21
ZINC09155309	Cc1cc(C(=O)OCc2nc(N)nc(N(C)C)n2)c2c(C)noc2n1
ZINC09912923	N#Cc1cc([N+](=O)[O-])ccc1NC(=O)C(=O)NCc1ccc2c(c1)OCO2
ZINC11675222	Cc1cc(NC(=O)CSc2nnnn2-c2ccc(O)cc2)on1
ZINC04823712	CC(=O)OCC1OC(n2cnc3c(N)ncnc32)C2OC(C)(C)OC12
ZINC13612334	CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1
ZINC08747589	CC(C)(C)OC(=O)N1CCN(C(=O)c2ccc(N)c([N+](=O)[O-])c2)CC1
ZINC19095927	O=C(NNS(=O)(=O)c1cccc2nsnc12)C1CCS(=O)(=O)C1
ZINC19766937	O=C([O-])c1ccc(N2C(=O)CC([NH+]3CCC4(CC3)OCCO4)C2=O)cc1O
ZINC19766937	O=C([O-])c1ccc(N2C(=O)CC(N3CCC4(CC3)OCCO4)C2=O)cc1O
ZINC20617545	Cc1cc(NC(=O)c2ccn(C(C)C(=O)Nc3cc(C)n(C)n3)n2)nn1C
ZINC21261043	Nc1nc(C(Cl)(Cl)[N+](=O)[O-])nc(C(Cl)(Cl)[N+](=O)[O-])n1
ZINC23280896	Cc1nnc(SCC(=O)N2CCc3ccc([N+](=O)[O-])cc32)n1N
ZINC23619303	Cc1nn(C)c(C)c1-c1ccnc(NCc2nc(-c3ccncc3)n[nH]2)n1
ZINC24961127	CC(C)c1noc2ncc(C(=O)N3CCC4(CC3)NC(=O)NC4=O)cc12
ZINC27055097	NC(=O)c1cc([N+](=O)[O-])cn(CC(=O)c2ccc3c(c2)OCCCO3)c1=O
ZINC32851478	Cn1c(=O)c2c(ncn2CCSc2nnc(N)s2)n(C)c1=O
ZINC32871834	O=C1NC2(CCCC2)C(=O)N1CCCNc1ccc2nnnn2n1
ZINC35933619	CCCNC(=O)c1n[nH]c2c1CN(C(=O)c1ccc([N+](=O)[O-])cc1)CC2
ZINC06995928	CN1C(/C=[N+](\[O-])O)=C(C#N)C2(CCCC2)C(C#N)=C1/C=[N+](\[O-])O
ZINC18196005	COc1cc(C2C3=C(CCCC3=O)Nc3nnnn32)cc([N+](=O)[O-])c1O
ZINC09391805	Cc1c(C(=O)Oc2cc(N)n(S(C)(=O)=O)n2)cccc1[N+](=O)[O-]
ZINC06577160	Cc1cc(NC(=O)C2CCCN(S(=O)(=O)c3c(C)noc3C)C2)[nH]n1
ZINC38701767	CN1C(=O)N=C2Oc3ccccc3C(C3C(=O)NC(=O)N(C)C3O)C2C1=O
ZINC39443938	Cc1cc(NC(=O)C(C)SCC(=O)/[NH+]=C2\C=CC3=NC([O-])=NC3=C2)no1
ZINC39536429	NS(=O)(=O)c1ccc(Sc2nnnn2C2CC2)c([N+](=O)[O-])c1
ZINC40050086	NC(=O)c1cc([N+](=O)[O-])cn(CC(=O)N2CCCCCCC2)c1=O
ZINC42097165	Cn1c(Sc2ccc(S(N)(=O)=O)cc2[N+](=O)[O-])nnc1C1CC1
ZINC45635822	COc1cc(CNC(=O)N2CCC(C(=O)Nc3cc(C)on3)CC2)ccn1
ZINC47880821	CN(C)c1nc(N)nc(/C(C#N)=C/c2cnc(N3CCCC3)nc2)n1
ZINC48628765	C=CCNC(=O)NC(=O)Cn1cc(Br)c([N+](=O)[O-])n1
ZINC50649845	CNc1cc([N+](=O)[O-])ccc1S(=O)(=O)N1CCNC(=O)C1
ZINC50926388	NC(=O)C1CN(Cn2c(=S)oc3ccc([N+](=O)[O-])cc32)CCO1
ZINC23339189	CC1(C)CN(Cc2cn(C3CCN(c4ccnc(N)n4)CC3)nn2)CCO1
ZINC22861435	CC(OC(=O)c1ccc(N)c([N+](=O)[O-])c1)C(=O)N1CCOCC1
ZINC17332629	O=C(NNC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)c1ccoc1
ZINC58194632	Cc1noc(CN2CCN(CC(=O)NC(=O)NC3CCCC3)CC2)n1
ZINC60363736	Cc1cc([N+](=O)[O-])cc(S(=O)(=O)N2CCCN(C(N)=O)CC2)c1C
ZINC48005158	COC(=O)c1ccc(NC(=O)N2CCN(C(=O)C(=O)NC3CC3)CC2)cc1
ZINC61500585	CN(C)c1ccc([N+](=O)[O-])cc1C(=O)NNC(=O)c1ccoc1
ZINC62885469	CNc1ccc([N+](=O)[O-])cc1C(=O)NC(C)C(=O)N1CCOCC1
ZINC63847769	CNc1nc(C)cc(-c2cnn(CC(=O)Nc3cc(C)nn3C)c2)n1
ZINC63884899	[NH-]C1=NC2=NC=NC2C(N2CCC(n3cc(C4CCCC4)nn3)CC2)=[NH+]1
ZINC15085607	COc1cc(C2C(C#N)=C(N)Oc3n[nH]c(C)c32)c(OC)c2c1OCO2
ZINC65084111	CCc1nc(C)c(C(=O)NNC(=O)c2ccc(-n3cnnn3)cc2)s1
ZINC67102935	Cc1cccc(C(=O)NNC(=O)N2CCN(C(=O)c3cc(C)no3)CC2)c1
ZINC67150449	Cc1c(C(=O)NCc2cc[nH]c(=O)c2)nnn1-c1ccc2c(c1)OCCO2
ZINC04380732	O=[N+]([O-])c1ccc(/N=C/c2cc(Br)cc([N+](=O)[O-])c2[O-])cc1
ZINC13190964	COc1cc2c(cc1OC)CN(c1ccc(/C=C/C(=O)[O-])cc1[N+](=O)[O-])CC2
ZINC20249647	COc1ccc(S(=O)(=O)[N-]c2cnn(-c3cnn(-c4ccccc4)c3)c2)cc1
ZINC20479166	O=[N+]([O-])c1ccc(/C([O-])=N/c2nnc(-c3ccc([N+](=O)[O-])cc3)s2)cc1
ZINC14255947	COc1cc([N-]S(=O)(=O)c2cccc([N+](=O)[O-])c2)c(OC)cc1Cl
ZINC25836230	CC(c1cccc([N+](=O)[O-])c1)N(C)C(=O)Cn1c([S-])nnc1-c1cccs1
ZINC26461210	O=[N+]([O-])c1cccc(S(=O)(=O)[N-]c2cccc3c([N+](=O)[O-])cccc23)c1
ZINC06316537	O=[N+]([O-])c1cc([N-]S(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)ccc1F
ZINC32595207	Cc1cc([N+](=O)[O-])ccc1S(=O)(=O)[N-]c1ccc2oc(C3CC3)nc2c1
ZINC32855673	COc1ccc([N+](=O)[O-])cc1S(=O)(=O)[N-]c1cc2c(cc1Cl)OCCO2
ZINC07708260	COc1ccc(Cl)cc1[N-]S(=O)(=O)c1cc([N+](=O)[O-])ccc1OC
ZINC07428312	COc1ccc(S(=O)(=O)[N-]c2ccc(Cl)c([N+](=O)[O-])c2)cc1OC
ZINC39443158	CC1=C(S(=O)(=O)[N-]c2ncn(Cc3ccc(Cl)c(Cl)c3)n2)C(C)N=N1
ZINC39460294	CC(OC(=O)c1ccc(Oc2ccccc2)cc1)C(=O)/N=C1\[N-]C=NC2=NC=NC21
ZINC39870512	C=CCn1c([O-])c(/N=N/c2ccc([N+](=O)[O-])cc2)c(C)c(C#N)c1=O
ZINC39870519	Cc1c(/N=N/c2ccc([N+](=O)[O-])cc2)c([O-])n(Cc2ccco2)c(=O)c1C#N
ZINC39870531	Cc1c(/N=N/c2cccc([N+](=O)[O-])c2)c([O-])n(C(C)C)c(=O)c1C#N
ZINC39870535	C=CCn1c([O-])c(/N=N/c2cccc([N+](=O)[O-])c2)c(C)c(C#N)c1=O
ZINC39871161	Cc1cc([N+](=O)[O-])ccc1/N=N/c1c(C)c(C#N)c(=O)n(C(C)C)c1[O-]
ZINC39871407	C=CCn1c([O-])c(/N=N/c2cc([N+](=O)[O-])ccc2C)c(C)c(C#N)c1=O
ZINC40945764	COC(=O)c1c([N-]S(=O)(=O)c2cccc([N+](=O)[O-])c2)sc2c1CCCC2
ZINC40945815	O=[N+]([O-])c1cccc(S(=O)(=O)[N-]c2ccc([N+](=O)[O-])cc2Br)c1
ZINC41571735	O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)[N-]c2nc(-c3ccncc3)cs2)c1
ZINC18707198	Cc1c(Cl)cc(S(=O)(=O)[N-]c2ccc(F)c([N+](=O)[O-])c2)cc1[N+](=O)[O-]
ZINC14230782	O=[N+]([O-])c1ccc(S(=O)(=O)[N-]c2ccc(Cn3cccn3)cc2)cc1
ZINC55582441	COc1cc([N+](=O)[O-])ccc1S(=O)(=O)[N-]c1ccc(-c2cnc(C)o2)cc1
ZINC57120292	Cc1cc([N+](=O)[O-])ccc1S(=O)(=O)[N-]c1ccc(-c2csnn2)cc1
ZINC57122348	Cc1ccc(S(=O)(=O)[N-]c2cc(N3CCOC3=O)ccc2F)cc1[N+](=O)[O-]
ZINC57122403	Cc1cc([N+](=O)[O-])ccc1S(=O)(=O)[N-]c1cc(N2CCOC2=O)ccc1F
ZINC58381622	Cc1cccc([N+](=O)[O-])c1S(=O)(=O)[N-]c1ccc2c(c1)OC(F)(F)O2
ZINC31555956	COc1cc([N-]S(=O)(=O)c2cccc([N+](=O)[O-])c2C)c(OC)cc1Cl
ZINC59418839	N#Cc1c(/N=C/c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2[O-])sc2c1CCCC2
ZINC60437011	COc1cc(C)c([N-]S(=O)(=O)c2cc(C)c(C)cc2[N+](=O)[O-])cc1OC
ZINC46929859	COc1cc(/C([O-])=N/S(=O)(=O)c2ccc(C)c(C)c2)c([N+](=O)[O-])cc1OC
ZINC63911453	COc1cc(OC)c([N-]S(=O)(=O)c2ccc([N+](=O)[O-])s2)cc1Cl
ZINC63911675	Cn1cnnc1Sc1ccc([N-]S(=O)(=O)c2ccc([N+](=O)[O-])s2)cc1
ZINC63911680	Cn1ccnc1Sc1ccc([N-]S(=O)(=O)c2ccc([N+](=O)[O-])s2)cc1
ZINC63911912	CN(C)C(=O)c1ccc(Cl)cc1[N-]S(=O)(=O)c1ccc([N+](=O)[O-])s1
ZINC20478245	Cc1c(-c2cc(C(F)(F)C(F)F)n[nH]2)c([O-])c([N+](=O)[O-])c(C)c1[N+](=O)[O-]
ZINC35539064	COc1cc([N-]S(=O)(=O)c2cc(-c3noc(C)n3)sc2C)cc(OC)c1
ZINC65194255	COc1ccc(Cl)cc1[N-]S(=O)(=O)C1C(C)=NC(C)=C1c1nc(C)no1
ZINC65194389	CCc1noc(C2=C(C)N=C(C)C2S(=O)(=O)[N-]c2ccc(OC)c(F)c2)n1
ZINC66246790	COc1ccc2nc([N-]S(=O)(=O)c3ccc(C)cc3[N+](=O)[O-])sc2c1
ZINC66247096	Cc1cc([N+](=O)[O-])ccc1S(=O)(=O)[N-]c1nc2c(s1)C(=O)CC(C)(C)C2
ZINC66249727	COc1ccc(S(=O)(=O)[N-]c2nc3c(OC)cccc3s2)cc1[N+](=O)[O-]
ZINC66249746	COc1ccc(S(=O)(=O)[N-]c2nc3c(OC)cccc3s2)c([N+](=O)[O-])c1
ZINC66249753	COc1cc([N+](=O)[O-])ccc1S(=O)(=O)[N-]c1nc2c(OC)cccc2s1
ZINC66814448	O=[N+]([O-])c1ccc(S(=O)(=O)[N-]c2ccc(-c3nnc4n3CCCC4)cc2)cc1
ZINC66877396	CC(OC(=O)c1ccc2c([O-])n(C)c(=S)nc2c1)c1ccc([N+](=O)[O-])cc1
ZINC67116720	CCc1ccc([N+](=O)[O-])cc1S(=O)(=O)[N-]c1cc(S(C)(=O)=O)ccc1C
ZINC04636338	COC1OC(C)Cc2oc3cc(O)c(O)c(C(=O)[O-])c3c(=O)c21
ZINC06862771	O=[N+]([O-])c1cc2c(c([O-])c1[N+](=O)[O-])OCCO2
ZINC04600015	COC(=O)N/N=C/c1cc([O-])ccc1[N+](=O)[O-]
ZINC06221206	C(=N\n1cnnc1)\c1ccc(-c2nnn[n-]2)cc1
ZINC19845080	CC(=O)N1CCN(c2ccc([N+](=O)[O-])c(C(=O)[O-])c2)CC1
ZINC14187814	O=C([O-])C1=Nc2nnnn2C(c2ccc3c(c2)OCCO3)C1
ZINC33277219	COc1ccc(S(=O)(=O)[N-]c2ccc3nncn3n2)cc1
ZINC33730682	COc1cc(/C=C2\N=C([S-])N(C)C2=O)cc([N+](=O)[O-])c1O
ZINC37731052	Cc1[nH]ncc1S(=O)(=O)[N-]c1cccc([N+](=O)[O-])c1
ZINC38582746	O=[N+]([O-])c1ccc([O-])c(/C=N/C2C=NN=N2)c1
ZINC39444112	CC1=C(C#N)C(=O)N(C)C(=O)/C1=C\N=C1/C=CC2=NC([O-])=NC2=C1
ZINC39709969	[O-]c1oc(-c2ccco2)nc1/C=N/C1N=CN=N1
ZINC39710164	O=C(/[NH+]=C1\C=CC2=NC([O-])=NC2=C1)c1ncn[n-]1
ZINC39929550	O=C(Nc1ncn[n-]1)C1C(=O)N2CCCc3cccc(c32)C1O
ZINC40810229	Cc1cc([N+](=O)[O-])ccc1[N-]S(=O)(=O)c1cn[nH]c1
ZINC41915354	Cn1ncc2c(=O)n(C3(C(=O)[O-])CCOCC3)cnc21
ZINC43428509	O=C([O-])CNC(=O)CNC(=O)N1CCOC2CCCC21
ZINC43700459	O=C([O-])C1CN(C(=O)c2cccc([N+](=O)[O-])c2)CCO1
ZINC43702922	CC1CN(S(=O)(=O)N2CCOC(C(=O)[O-])C2)CC(C)O1
ZINC43706975	COC(=O)C(C)NC(=O)N1CCOC(C(=O)[O-])C1
ZINC29666814	CN(C)S(=O)(=O)c1ccc(C(=O)Nc2nc[nH]n2)o1
ZINC44373362	CC(Nc1ccc([N+](=O)[O-])cn1)c1nnn[n-]1
ZINC44585648	O=C([O-])c1c[nH]c(C2(NC(=O)c3ccon3)CCC2)n1
ZINC44592039	Cn1cnc([N+](=O)[O-])c1N1CCc2sccc2C1C(=O)[O-]
ZINC44885542	CC(NC(=O)c1ncccc1[O-])c1nnn[nH]1
ZINC44888923	Cc1csc(=O)n1CC(=O)NC(C)c1nnn[n-]1
ZINC44930588	CC(NS(=O)(=O)c1ccc2c(c1)OCCO2)c1nnn[n-]1
ZINC47475573	CN(CC(=O)Nc1nc(C#N)c(C#N)[n-]1)C(=O)c1cccs1
ZINC48479766	CNc1ccc([N+](=O)[O-])cc1/C([O-])=N/S(C)(=O)=O
ZINC48518422	Cc1nn(C)c(C)c1S(=O)(=O)/N=C(\[O-])c1csnn1
ZINC48734616	Cc1nc(NC(=O)c2n[nH]c([O-])n2)sc1SCC#N
ZINC49514549	Cc1nn(C)c(Cl)c1S(=O)(=O)/N=C(\[O-])C1CC1[N+](=O)[O-]
ZINC49593440	O=C([O-])/C=C/c1ccc/c(=N/S(=O)(=O)c2cn[nH]c2)[nH]1
ZINC50631913	Nc1ncc(S(=O)(=O)[N-]c2nncs2)cn1
ZINC51350377	CN/C([O-])=C(\C#N)C(=O)CN1C(=O)N(C)C2(CCCCC2)C1=O
ZINC51394770	Cn1ncc2c(=O)n(CC3CCC(C(=O)[O-])O3)cnc21
ZINC18205750	O=[N+]([O-])c1cccc(/C=N/c2nnc[nH]2)c1[O-]
ZINC57318383	Cc1ccc([N+](=O)[O-])cc1C(=O)/N=C1/N=C([O-])CN1
