ZINC01615674	CC(O)C(NC(=O)c1cnc2ccccc2n1)C(=O)[O-]
ZINC13362519	O=C(COc1ccccc1-c1ccccc1)NNS(=O)(=O)c1ccc(F)c(C(=O)[O-])c1
ZINC13407831	Cc1nc(SCC(=O)Nc2ccccc2SC(F)F)[nH]c(=O)c1CCC(=O)[O-]
ZINC13411444	O=C(COc1cc(C(F)(F)F)cc(C(F)(F)F)c1)NC(Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC15956242	CCC(C)C(NC(=O)CNC(=O)Cc1c(C)c2cc3c4c(oc3c(C)c2oc1=O)CCCC4)C(=O)[O-]
ZINC15956807	CC(=O)C1(O)CCC2C3CCC4=C/C(=N/OCC(=O)NCCCCC(=O)[O-])CCC4(C)C3CCC21C
ZINC15957809	CC(=O)C1(O)CCC2C3CCC4=C/C(=N/OCC(=O)NC(C(=O)[O-])C(C)C)CCC4(C)C3CCC21C
ZINC20496850	Cc1cc(C)nc([N-]S(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(C)c(C)c3)cc2)n1
ZINC21804286	Cc1ccc(CNc2nc3nc(C)c(CCC(=O)Nc4ccccn4)c([O-])n3n2)cc1
ZINC22471001	O=C(COc1ccc(Br)cc1)NCCCNC(=O)c1nc([O-])c2ccccc2n1
ZINC22972818	C=CCn1c([S-])nnc1-c1sc(NC(=O)c2cc(C)c(C)c(S(=O)(=O)NC)c2)nc1C
ZINC24977010	O=C(NNC(=O)c1cccc(S(=O)(=O)[N-]c2ccccc2Cl)c1)c1ccc(-n2ccnc2)cc1
ZINC25177162	CCNC(=O)C(C)NC(=O)c1cc2ccccc2cc1[N-]S(=O)(=O)c1cccs1
ZINC32365979	O=C(NCCNC(=O)c1cccc(S(=O)(=O)[N-]c2cccc(C(F)(F)F)c2)c1)c1cccnc1
ZINC03343504	CNC(=O)NC(=O)C(C)OC(=O)c1ccc(Cl)c(S(=O)(=O)[N-]c2ccc(F)cc2)c1
ZINC38773980	CC1c2cc3c4c(oc3cc2OC(=O)C1CCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-])CCCC4
ZINC38789737	CCc1nc(SCC(=O)NC2[N-]C(C(=O)OCC(C)C)=C(C)S2)[nH]c(=O)c1C#N
ZINC38798777	C=CCn1c([S-])nnc1CC1=NC(NC(=O)c2cccc(NC(=O)c3cccs3)c2)SC1
ZINC10736811	CCOc1ccc(-c2nnc([S-])n2CC(=O)NNC(=O)c2cn(C)c3ccccc23)cc1
ZINC39709599	COc1cc(C(C2=C(C)N=NC2O)c2c(C)n[nH]c2[O-])ccc1OC(=O)c1ccccc1F
ZINC39970794	CC1CCCC(C)N1S(=O)(=O)c1ccc(NC(=S)Nc2cccc(-c3nnn[n-]3)c2)cc1
ZINC40081601	CCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCO)C2c2cc(Br)c(O)c(OC)c2)c(C)c1
ZINC40084670	Cc1cc(OCC(C)C)ccc1C(=O)C1=C([O-])C(=O)N(CCOCCO)C1c1ccc(O)cc1
ZINC13254053	CC(C)Cn1c(SCC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)[O-])nnc1-c1ccccc1F
ZINC46815706	O=C(NCCCNc1ccc(C(F)(F)F)cn1)c1ccc(S(=O)(=O)[N-]c2ccncc2)cc1
ZINC51347577	CSCCC(NC(=O)CO/N=C1/C=C2CCC3C(CCC4(C)C3CCC4(C)O)C2(C)CC1)C(=O)[O-]
ZINC14805294	O=C(CC1CC2CCC1C2)NNC(=O)c1ccccc1[N-]S(=O)(=O)c1cccs1
ZINC33719705	Cc1cc([N-]S(=O)(=O)c2ccc(NC(=O)NC(C)(C(F)(F)F)C(F)(F)F)cc2)nc(C)n1
ZINC59266497	CC(NC(=O)c1cccc(NC(=O)OC(C)(C)C)c1)c1ccccc1[N-]S(C)(=O)=O
ZINC13347060	O=C([O-])/C=C/c1ccc(S(=O)(=O)Nc2cccc(S(=O)(=O)/N=C3/CCCCCN3)c2)cc1
ZINC21804367	Cc1[nH]c2nc(NCc3cccs3)nn2c(=O)c1CCC(=O)Nc1ccccc1F
ZINC66200581	COc1nccnc1[N-]S(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccccc2C)cc1
ZINC66200637	COc1cc([N-]S(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(Cl)cc3)cc2)ncn1
ZINC02899003	COc1ccc(/C=C(\NC(=O)c2ccccc2Br)C(=O)NC(C(=O)[O-])C(C)C)cc1
ZINC08720986	O=C([O-])CCCNC(=O)/C(=C/c1ccc2c(c1)OCO2)NC(=O)c1cccc(Br)c1
ZINC08771649	CC(=O)C1(O)CCC2C3CCC4=C/C(=N/OCC(=O)NC(C(=O)[O-])C(C)C)CCC4(C)C3CCC21C
ZINC02155389	Cc1oc2c(C)c3oc(=O)c(CCC(=O)NC(Cc4c[nH]c5ccccc45)C(=O)[O-])c(C)c3cc2c1C
ZINC08926227	O=C([O-])CCCNC(=O)/C(=C\c1ccc2c(c1)OCO2)NC(=O)c1ccc(Br)o1
ZINC13203967	CC(C)(C)NC(=O)NC(=O)CSc1nnc(-c2ccc(Cl)cc2)n1CC(=O)[O-]
ZINC13218920	Nn1c(COc2cccc(Br)c2)nnc1SCC(=O)N1CCC(C(=O)[O-])CC1
ZINC13223272	Cc1c(Cl)cccc1NC(=O)CNC(=O)CSc1nc2ccccc2c(=O)n1CC(=O)[O-]
ZINC13232931	CCc1cc(C(=O)NNC(=O)CSc2nnc(-c3cccs3)n2C(C)C(=O)[O-])sc1C
ZINC13243675	NC(=O)c1ccc(CSc2ncc(C(=O)[O-])n2-c2ccc(F)cc2)c([N+](=O)[O-])c1
ZINC13251370	O=C(CC(C(=O)[O-])c1ccccc1)Nc1cccc(S(=O)(=O)/N=C2\CCCCCN2)c1
ZINC13262221	C=CCNC(=O)c1ccccc1NS(=O)(=O)c1ccc(Br)c(C(=O)[O-])c1
ZINC13307461	COC(=O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(/C=C/C(=O)[O-])cc1
ZINC13367013	COc1ccc(/C=C/C(=O)[O-])cc1S(=O)(=O)NNC(=O)c1ccccc1Br
ZINC13367796	COc1ccc(Cl)cc1C(=O)NNS(=O)(=O)c1cc(/C=C/C(=O)[O-])ccc1OC
ZINC13420955	O=C([O-])Cc1ccc(OCC(=O)Nc2cccc(S(=O)(=O)/N=C3\CCCCCN3)c2)cc1
ZINC15956241	CCC(C)C(NC(=O)CNC(=O)Cc1c(C)c2cc3c4c(oc3c(C)c2oc1=O)CCCC4)C(=O)[O-]
ZINC20025993	CCOC(=O)C1=C([O-])NC(SCC(=O)Nc2c(C)cccc2C)=C(C#N)C1c1ccccc1OCC
ZINC22259595	COc1ccc(CC(=O)NNC(=O)c2ccccc2[N-]S(=O)(=O)c2cccs2)cc1OC
ZINC22384408	CC(C)C(=O)NCCNC(=O)c1ccc(Cl)c([N-]S(=O)(=O)c2ccc(F)cc2)c1
ZINC22471029	O=C(COc1ccc2ccccc2c1)NCCCNC(=O)c1nc([O-])c2ccccc2n1
ZINC24177020	Cc1csc(=O)n1CCC(=O)NNC(=O)c1cccc(S(=O)(=O)[N-]c2ccccc2Cl)c1
ZINC25576972	Cc1nc(SC(F)F)nc([O-])c1CCC(=O)N(C)C(C)c1ccc(S(N)(=O)=O)cc1
ZINC32102312	O=C(Cc1csc(-c2ccccc2Cl)n1)NC(Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC32814722	COC(=O)c1c(C)[nH]c(C(=O)Nc2ccccc2[N-]S(=O)(=O)c2cccs2)c1C
ZINC32933535	COc1cc(/C=C/C(=O)[O-])cc(S(=O)(=O)Nc2cccc(-c3n[nH]c4c3CCC4)c2)c1OC
ZINC13571254	COc1ccc2c(CCNC(=O)C(C)Sc3nc(Cl)nc4nc[n-]c34)c[nH]c2c1
ZINC38798770	C=CCn1c([S-])nnc1CC1=NC(NC(=O)c2ccc(NC(=O)c3cccs3)cc2)SC1
ZINC38798901	C=CCn1c([S-])nnc1CC1=NC(NC(=O)c2ccc(NC(=O)c3ccccc3)cc2)SC1
ZINC39546557	CC(=O)C1(O)CCC2C3CCC4=C/C(=N/OCC(=O)NCCCCC(=O)[O-])CCC4(C)C3CCC21C
ZINC39680514	CCCN1C(=O)C2C=C(CC)SC2N=C1SCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC39998126	CC(C)Cc1nnc(/N=C([O-])/C(C#N)=C/c2ccc(-c3ccc(S(N)(=O)=O)cc3)o2)s1
ZINC40081603	CCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCO)C2c2cc(Br)c(O)c(OC)c2)c(C)c1
ZINC40084799	CCOc1cc(C2C(C(=O)c3ccc(OCC(C)C)cc3C)=C([O-])C(=O)N2CCO)ccc1O
ZINC40109051	Cc1ccc(COc2cccc(C(=O)C3=C([O-])C(=O)N(CCOCCO)C3c3cccc(O)c3)c2)cc1
ZINC43743430	C#CC1(O)CCC2C3CCC4=C/C(=N/OCC(=O)NC(C(=O)[O-])C(C)CC)CCC4(C)C3CCC21C
ZINC35400337	O=C1NC(=O)C2C1C(c1ccc(/C=C/c3ccccc3)cc1)NC2(Cc1ccc([N+](=O)[O-])cc1)C(=O)[O-]
ZINC45873552	CN(CCOc1ccccc1F)C(=O)c1ccccc1[N-]S(=O)(=O)c1ccc2[nH]c(=O)[nH]c2c1
ZINC13255610	Cn1c(SCC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)[O-])nnc1-c1ccc(Cl)cc1
ZINC15040517	O=C([O-])CCCCCNC(=O)CCCN1C(=O)/C(=C/c2cc(Br)ccc2O)SC1=S
ZINC15040530	O=C([O-])CCCCCNC(=O)CCCN1C(=O)/C(=C/c2c[nH]c3ccccc23)SC1=S
ZINC26467796	CCO/C([O-])=C1\C(COCC(O)CO)=NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
ZINC36710218	CSCCC(NC(=O)/C=C/c1ccc([N-]S(C)(=O)=O)cc1)c1nc2ccccc2[nH]1
ZINC54360703	O=C(CCCN1C(=O)/C(=C/c2ccc(F)cc2)SC1=S)Nc1ccc(O)cc1C(=O)[O-]
ZINC58332070	CN(CCCCCc1cc(-c2ccc(F)cc2)n[nH]1)C(=O)c1cnc2nc([O-])[nH]c(=O)c2c1
ZINC58912130	COc1ccc(S(=O)(=O)[N-]c2ccccc2OC(F)(F)F)cc1C1(C)NC(=O)NC1=O
ZINC59239017	CCCC(=O)Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)[N-]c3nccc(C)n3)cc2)c1
ZINC59403048	COc1cc(NC(=O)C(C)NC(=O)c2cccc(Cl)c2Cl)ccc1[N-]S(C)(=O)=O
ZINC59404311	CC(NC(=O)c1ccccc1NC(=O)c1ccccc1)c1cccc([N-]S(C)(=O)=O)c1
ZINC60331835	COCCCn1c([S-])nc2cc(C(=O)Nc3ccc4nc(C5CCC5)[nH]c4c3)ccc2c1=O
ZINC08819513	COc1ccc(/C=C2\SC(=S)N(CCCC(=O)Nc3ccc(O)c(C(=O)[O-])c3)C2=O)cc1OC
ZINC12296649	CC(=O)C1CCC2C3CCC4=C/C(=N\OCC(=O)NCC(C)(C)C(O)C(=O)[O-])CCC4(C)C3CCC12C
ZINC12296651	CC(=O)C1CCC2C3CCC4=C/C(=N\OCC(=O)NCC(C)(C)C(O)C(=O)[O-])CCC4(C)C3CCC12C
ZINC02821414	CC(C)C(NC(=O)/C(=C/c1ccc([N+](=O)[O-])cc1)NC(=O)c1ccc(Br)o1)C(=O)[O-]
ZINC13193346	Cc1c(Cl)cccc1NC(=O)CNC(=O)CSc1nnc(-c2cccs2)n1CCC(=O)[O-]
ZINC13195818	CCOc1ccc(-c2nnc(SCC(=O)NC(=O)NC3CCCC(C)C3C)n2CC(=O)[O-])cc1
ZINC13210538	Cc1cc(C)c(NC(=O)CNC(=O)CSc2nc3nc(C)c(CCC(=O)[O-])c(C)n3n2)c(C)c1
ZINC13235179	O=C(NCCOc1c(Cl)cccc1Cl)NC(Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC13236978	O=C(NCCOc1ccc(Br)cc1)NC(Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC13237221	COc1ccc(-c2nnc(SCC(=O)NC(=O)NCc3cccs3)n2CC(=O)[O-])cc1
ZINC13244808	NC(=O)c1ccc(CSc2nnc(-c3ccc(Cl)cc3)n2CC(=O)[O-])c([N+](=O)[O-])c1
ZINC13245512	Cc1nc2nc(SCC(=O)N(CCC(N)=O)c3ccccc3Cl)nn2c(C)c1CC(=O)[O-]
ZINC13449800	Cc1nc(SC(C)C(=O)Nc2ccc(OC(F)(F)F)cc2)[nH]c(=O)c1CCC(=O)[O-]
ZINC13455367	COc1cc(/C=C/C(=O)[O-])cc(S(=O)(=O)Oc2ccc(C3=CCN(C(N)=O)CC3)cc2)c1OC
ZINC15958637	CCC(C)C(NC(=O)CNC(=O)CCc1c(C)c2cc3c4c(oc3cc2oc1=O)CCCC4)C(=O)[O-]
ZINC09229622	C/C([O-])=N/S(=O)(=O)c1ccc(NC(=S)NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)cc1
ZINC22513718	O=C(Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1)c1ccc(NS(=O)(=O)c2ccccc2)cc1
ZINC23145237	O=C(CSc1nc(CC(=O)NC2CC2)cc(=O)[nH]1)Nc1ccc(OC(F)(F)F)cc1
ZINC24641495	CCOc1ccc(-c2nnc([S-])n2CC(=O)NN2C(=O)NC(CC)(c3ccccc3)C2=O)cc1
ZINC24749950	CCOC(=O)c1cc2cc(C(=O)Nc3ccc(S(=O)(=O)[N-]c4ncccn4)cc3)ccc2[nH]1
ZINC25670834	Cc1nc(SC(F)F)nc([O-])c1CCC(=O)Nc1ccc(F)c(NS(C)(=O)=O)c1
ZINC27904369	COC(=O)c1ccccc1/N=N/C(=N\Nc1cc(S(=O)(=O)[O-])ccc1O)c1ccccc1
ZINC13442607	O=C(Nc1ccc(CC(Nc2ncccc2[N+](=O)[O-])C(=O)[O-])cc1)c1c(Cl)cncc1Cl
ZINC32932232	COCCCNC(=O)c1c(NC(=O)Cc2c(C)nc3c(C#N)cnn3c2[O-])sc2c1CCCC2
ZINC01900390	CCCCC(=O)NC1(C(F)(F)F)C(=O)Nc2c1c(=O)[nH]c(=O)n2CCc1ccc(OC)c(OC)c1
ZINC13523630	COc1ccc(C(=O)N/C(=C\c2ccc([N+](=O)[O-])cc2)C(=O)NC(CCSC)C(=O)[O-])cc1
ZINC01645396	CCOC(=O)C(NC(=O)CC)(Nc1ccc(S(=O)(=O)[N-]c2onc(C)c2C)cc1)C(F)(F)F
ZINC04001717	CCOC(=O)C(NC(=O)CC)(Nc1ccc(S(=O)(=O)[N-]c2cc(C)on2)cc1)C(F)(F)F
ZINC38690380	O=C([O-])CCC(=O)NCCC1=c2ccccc2=[NH+]C1/C=C1\C(=O)N(Cc2ccc(F)cc2)C(=S)N=C1[O-]
ZINC39546553	CC12CC/C(=N\OCC(=O)NCCCCC(=O)[O-])C=C1CCC1C2CCC2(C)C(O)CCC12
ZINC13184403	O=C([O-])c1cc(S(=O)(=O)NCCNc2ncc(C(F)(F)F)cc2Cl)ccc1Cl
ZINC39999565	CCSc1nnc(N2C(=O)C([O-])=C(C(=O)c3ccco3)C2c2ccc(OCC(N)=O)cc2)s1
ZINC40055328	O=C(C1=C([O-])C(=O)N(CCCO)C1c1cccc(O)c1)c1ccc(OCc2ccc(F)cc2)cc1
ZINC40075484	COc1cc(C2C(C(=O)c3ccc(C)o3)=C([O-])C(=O)N2CCOCCO)cc(Br)c1O
ZINC40082405	CCCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCO)C2c2cc(Br)c(O)c(OC)c2)c(C)c1
ZINC41105292	Cc1cc([N-]S(=O)(=O)c2ccc(NC(=O)CCNS(=O)(=O)c3ccc(C)c(C)c3)cc2)nc(C)n1
ZINC41105372	CCCCN/C([O-])=N/S(=O)(=O)c1ccc(NC(=O)c2cc(=O)c3ccccc3o2)cc1
ZINC43746950	CC12CC/C(=N/OCC(=O)NCC(CC(=O)[O-])c3ccccc3)C=C1CCC1C2CCC2(C)C(O)CCC12
ZINC13415180	Cc1cccc(Nc2nnc(SCC(=O)NC(Cc3c[nH]c4ccccc34)C(=O)[O-])s2)c1
ZINC13220698	Cc1ccc(-c2nnc(SCC(=O)NCCc3c[nH]c4ccccc34)n2CC(=O)[O-])cc1
ZINC49181426	CCC(C)/C=C(C)/C=C/C1=CC2=C(Cl)C(=O)C(C)(OC(C)=O)C(=O)C2=CN1C(CCC(=O)[O-])C(N)=O
ZINC34106466	CCOc1cc(/C=C2\NC(=O)N(CC(=O)Nc3cccc(C)c3)C2=O)cc(Cl)c1OCC(=O)[O-]
ZINC59362896	CC(C)Oc1ccc([N-]S(=O)(=O)CC(=O)NCCNc2ccccc2[N+](=O)[O-])cc1
ZINC60318285	Cc1oncc1C(=O)Nc1cccc(NS(=O)(=O)c2ccc(OCC(=O)[O-])c(Cl)c2)c1
ZINC18077321	COc1ccc2[nH]cc(CC[N-]/C(=N\C(=O)CSc3nccn3C)Nc3nc(C)cc(C)n3)c2c1
ZINC12098685	COC(=O)c1cc(CNC(=O)c2nc(C)c[nH]2)cc([N-]S(=O)(=O)c2cccc(C(F)(F)F)c2)c1
ZINC64796099	CCOc1cc(C2CC(=O)Nc3c2sc(C(=O)[O-])c3-c2ccc(C)cc2)ccc1OCC(N)=O
ZINC66200619	COc1nccnc1[N-]S(=O)(=O)c1ccc(NC(=S)NC(=O)c2cccc(OC(C)C)c2)cc1
ZINC66200625	COc1nccnc1[N-]S(=O)(=O)c1ccc(NC(=S)NC(=O)/C=C/c2cccc3ccccc23)cc1
ZINC66200672	CCCOc1ccc(C(=O)NC(=S)Nc2ccc(S(=O)(=O)[N-]c3cc(OC)ncn3)cc2)cc1
ZINC02158148	CCC(C)C(NC(=O)Cc1c(C)c2ccc(O)c(C)c2oc1=O)C(=O)[O-]
ZINC13027218	O=C([O-])C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc2c(c1)CCC2
ZINC13221881	Cc1nc2nc(SCC(=O)NC(=O)NC(C)(C)C)nn2c(C)c1CC(=O)[O-]
ZINC13254712	O=C(CC1(C(=O)[O-])CCCCC1)NNC(=O)c1cccc(S(=O)(=O)N2CCCC2)c1
ZINC13260056	CON(C)S(=O)(=O)c1cccc(C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)[O-])c1
ZINC13591863	CSCCC(NC(=O)C(NC(=O)N1CCn2c1nc1ccccc12)C(C)C)C(=O)[O-]
ZINC20623759	COCCCN1C(=O)NC(=O)/C(=C\NCC(CC(=O)[O-])c2ccc(Cl)cc2)C1=O
ZINC20761909	O=C(CN1Cc2ccccc2C1=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC06505131	COC(=O)CCC(=O)NNC(=O)c1c([O-])n(C)c2ccccc2c1=O
ZINC26772268	CCC(C)C(NC(=O)Cc1c(C)c2ccc(O)c(C)c2oc1=O)C(=O)[O-]
ZINC35841589	CC(NC(=O)c1csc(Nc2cccc(C(F)(F)F)c2)n1)C(=O)[O-]
ZINC36575512	O=C(CN1Cc2ccccc2C1=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC37843406	NS(=O)(=O)c1ccc(Cl)c([N-]S(=O)(=O)CCCCl)c1
ZINC02948510	CC(NC(=O)/C(=C/c1cccc([N+](=O)[O-])c1)NC(=O)c1ccco1)C(=O)[O-]
ZINC38564669	O=C([O-])CNC(=O)C(Cc1c[nH]c2ccccc12)N1C(=O)N=C2C=CC=CC2C1=O
ZINC38798762	C=CCn1c([S-])nnc1CC1=NC(NC(=O)CCCNC(=O)c2ccco2)SC1
ZINC39680308	O=C(CSC1N=Nc2nc3ccccc3n21)NC(Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC39862087	Cc1cccc(/C=C2\SC(=S)N(C(CCC(N)=O)C(=O)[O-])C2=O)c1
ZINC39862181	NC(=O)CCC(C(=O)[O-])N1C(=O)/C(=C/c2cccc(F)c2)SC1=S
ZINC40007790	Cc1cccn2c(=O)c(/C=C3\SC(=S)N(CC(=O)[O-])C3=O)c(NCC(C)O)nc12
ZINC40046345	O=C(C1=C([O-])C(=O)N(CCCO)C1c1cccc(O)c1)c1cccs1
ZINC40071198	CC(C)C(NS(=O)(=O)c1ccc2c(c1)OCCO2)C(=O)Nc1ncn[n-]1
ZINC15040715	CC(NC(=O)CCCN1C(=O)/C(=C/c2ccccc2O)SC1=S)C(=O)[O-]
ZINC47880455	COc1cc([N-]S(=O)(=O)c2ccc([N+](=O)[O-])cc2)ccc1S(N)(=O)=O
ZINC48547200	CNC(=O)NC(/C(=C/[O-])[N+](=O)[O-])c1cc(OC)c(OC)c(OC)c1
ZINC49103201	COCCCN/C([O-])=C(\C#N)C(=O)CN1C(=O)NC2(CCCC2)C1=O
ZINC50663713	C#CCNC(=O)CNC(=O)c1cc(Cl)ccc1[N-]S(C)(=O)=O
ZINC50983716	CC(C)N/C([O-])=C(\C#N)C(=O)CCCNC(=O)c1ccc(F)cc1F
ZINC13589999	C/N=C(/[S-])C1(c2cccnc2)CCCC/C1=C\C=N\OCC(O)CO
ZINC55631412	N#Cc1ccccc1S(=O)(=O)[N-]c1ccccc1OCCC(N)=O
ZINC55631917	CCOc1cc(F)ccc1[N-]S(=O)(=O)c1cc(C(N)=O)n(C)c1
ZINC52778619	COc1ccccc1-c1n[nH]c(/N=C(\[O-])CNC2=NS(=O)(=O)c3ccccc32)n1
ZINC61343398	O=C(NCCNC(=O)C1CC1)c1cccc(-n2nc([O-])ccc2=O)c1
ZINC13543978	CCOc1ccccc1/C=N/NC(=O)CSc1nnc(=O)[nH]c1[O-]
ZINC41237982	Cc1cc([N-]S(=O)(=O)CCNS(=O)(=O)c2c(C)n[nH]c2C)no1
ZINC41427297	Cc1ccc(S(=O)(=O)/N=C(\[O-])NCC(=O)Nc2cc(C)on2)cc1
ZINC41427581	Cc1ccc(S(=O)(=O)/N=C(\[O-])NCCC(=O)Nc2cc(C)on2)cc1
ZINC63143333	CS(=O)(=O)CCS(=O)(=O)[N-]c1ccc(S(N)(=O)=O)c(Cl)c1
ZINC63314614	Cc1nnc([O-])c(C(=O)NCC(O)COc2ccc([N+](=O)[O-])cc2)c1C
ZINC63858212	CCCN/C([S-])=C(/C(=O)c1ccc2c(c1)CCC(=O)N2)[n+]1cc([O-])ccc1C
ZINC63958909	[O-]/C(CCC1NC(c2cccnc2)=NO1)=N\c1nc(-c2ccccn2)n[nH]1
ZINC64080294	O=C(NCCN1CCS(=O)(=O)CC1)C1=CNN(c2ccc([O-])nn2)C1C(F)(F)F
ZINC63479712	CC(C)n1c(=O)[nH]c([O-])c(/C=N/C(CC2=c3ccccc3=[NH+]C2)C(=O)[O-])c1=O
ZINC20548996	COCCN1C(=O)C2C(CCC(=O)[O-])NC3(C(=O)Nc4ccc(F)cc43)C2C1=O
ZINC64348056	CS(=O)(=O)c1n[n-]c(NC(=O)c2cccc(S(=O)(=O)NC3CC3)c2)n1
ZINC64348087	CS(=O)(=O)c1n[n-]c(NC(=O)CCCNC(=O)c2ccccc2)n1
ZINC09341978	CCOC(=O)c1c(C)n(C)c2ccc(OC)c(/N=C/c3c([O-])[nH]c(=O)[nH]c3=O)c12
ZINC09341978	CCOC(=O)c1c(C)n(C)c2ccc(OC)c(NC=C3C(=O)NC(=O)NC3=O)c12
ZINC57443775	O=C(NCCNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)c1cccnc1[S-]
ZINC66654302	CCOCC(=O)NNC(=O)c1cccc([N-]S(=O)(=O)c2cccs2)c1
ZINC67074369	Cc1ccc([N-]S(C)(=O)=O)c(C(=O)NCCc2n[nH]c(=S)n2C(C)C)c1
ZINC05752397	NS(=O)(=O)c1ccc(NNC(=S)NCC[NH+]2CCOCC2)cc1
ZINC08624445	C[NH2+]Cc1cn(CC2OC(CC(=O)NCc3cccnc3)C(O)C2O)nn1
ZINC08636324	COc1ccc(NC2=NC3C(O)C(O)CC(C(=O)NCC[NH+](C)C)C3S2)cc1
ZINC12654281	C=C1CCCC2(C)CC3OC(=O)C(C[NH+](C)CC(O)C(O)C(O)C(O)CO)C3CC12
ZINC15708012	O=C(CCC1CNC(=O)C2CC(NC(=S)NC3CC3)C[NH+]12)NCc1cccs1
ZINC15708461	C#CCNC(=O)CCC1CNC(=O)C2CC(NC(=S)NCCOC)C[NH+]12
ZINC05567542	OC1COC(O)(C[NH2+]CCc2c[nH]c3ccc(OCc4ccccc4)cc23)C(O)C1O
ZINC04629673	O=C(C1=C(O)C(=O)N(CC[NH2+]CCO)C1c1ccc(O)cc1)c1ccc(F)cc1
ZINC20465639	O=C(NCC1OC(CO)C(O)C1N1CCN(c2cccc[nH+]2)CC1)Nc1ccccc1
ZINC20465887	C[NH+](CCc1ccccn1)C1C(CNC(=O)Nc2ccsc2)OC(CO)C1O
ZINC22065506	OCC1C(O)C(O)C(O)C[NH+]1CCCCCCOCC(F)(F)F
ZINC22134603	Cc1n[nH]c(=O)c2c(NC(=O)C[NH+](C)C(C)c3ccc(S(N)(=O)=O)cc3)oc(C)c12
ZINC25671934	NS(=O)(=O)c1ccc(NC(=O)NCCC[NH+]2CCN(c3ncccn3)CC2)cc1
ZINC28658357	COCC(C)/[NH+]=C(\N)SCCOc1ccc(S(N)(=O)=O)cc1
ZINC35365982	OCC(O)C(O)C(O)C1N2CC3(c4ccccc4)C[NH+]1CC(c1ccccc1)(C2)C3O
ZINC18324024	NC(=O)C1([NH+]2CCCCC2)CCN(C(=S)Nc2ccc(S(N)(=O)=O)cc2)CC1
ZINC39290206	CCOC(=O)C1NN[NH+](Cc2ccc(C)cc2)C1NC(=O)CSc1nc[nH]n1
ZINC39947078	CS(=O)(=O)Nc1ccc(CC2=NOC(C3=CC4=C(CC[NH3+])C=NC4C=C3)N2)cc1
ZINC40794779	Cc1ccc(S(=O)(=O)NNc2ncnc(NCCCn3cc[nH+]c3)c2N)cc1
ZINC43227068	NS(=O)(=O)c1ccc(CCNC(=O)c2csc(C3CCC[NH2+]C3)n2)cc1
ZINC44253684	NC(=O)CC([NH3+])c1ccc(Oc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])cc1
ZINC44253875	NC(=O)CC([NH3+])c1ccc(Sc2ccc(C(F)(F)F)cn2)c([N+](=O)[O-])c1
ZINC44254948	N#C/C(=C\c1ccc(C([NH3+])CC(N)=O)cc1)S(=O)(=O)c1ccccn1
ZINC44473575	COc1cc(C(N)C[NH3+])ccc1OCC(O)Nc1ccccc1-c1ccccc1
ZINC44473650	CCOc1cc(C(N)C[NH3+])ccc1OCC(O)Nc1ccccc1C
ZINC44473704	CCOc1cc(C(N)C[NH3+])ccc1OCC(O)Nc1cc(C)ccc1C
ZINC45067046	COc1cc(C[NH2+]CCCS(N)(=O)=O)cc(Br)c1O
ZINC46919645	COc1ccc(S(N)(=O)=O)cc1C(=O)NCCC[NH+]1CCC(C(N)=O)CC1
ZINC47964392	NC(=O)c1ccsc1NC(=O)C(=O)NCC(c1ccccc1)[NH+]1CCCC1
ZINC47999012	C[NH+](C)C(CNC(=O)C(=O)Nc1sccc1C(N)=O)c1ccsc1
ZINC48732735	C[NH+](C)C(CNC(=O)C(=O)Nc1ccc(F)c(C(N)=O)c1)c1ccco1
ZINC48732762	C[NH+](C)C(CNC(=O)C(=O)Nc1ccc(OCC(N)=O)cc1)c1ccco1
ZINC48768063	NC(=O)Cc1ccc(NC(=O)C(=O)NCC(c2ccco2)[NH+]2CCCC2)cc1
