ZINC13547300	N#Cc1sc(=S)n(-c2ccc(F)cc2)c1N
ZINC43511956	Cc1cc([N+](=O)[O-])ccc1[N-]S(=O)(=O)C1CCC[NH2+]C1
ZINC45573845	Cc1cccc(NC(=O)CN2C(=O)NC3(CCCCC3C)C2=O)n1
ZINC45623148	O=C(Nc1cc[nH]n1)c1cc([N+](=O)[O-])ccc1Br
ZINC45689781	Cc1nnnn1-c1cccc(NC(=O)NC2CCCCC2C)c1
ZINC47053239	O=C(NCC1CCC1)Nc1ccccc1-n1cnnn1
ZINC47929359	Cc1cc(C(=O)Nc2c[nH]ccc2=O)ccc1[N+](=O)[O-]
ZINC48246538	O=C(Nc1ccc(-n2cccn2)nc1)c1cc(F)cc2[nH]cnc12
ZINC48474766	CC(C)C(C)NC(=O)Nc1ccc(-n2cnnn2)cc1
ZINC48494191	O=C(Nc1ccc([N+](=O)[O-])cc1Cl)C(=O)NC1CC1
ZINC48546425	Cc1c(C(C)NC(=O)Nc2ccc3c(c2)OC(C)(C)O3)cnn1C
ZINC49320638	Cc1cc(Oc2ccc([N+](=O)[O-])c(Cl)c2)nc(N)n1
ZINC49518062	CONC(=O)NC1CCN(C(=O)OC(C)(C)C)CC1
ZINC50396628	O=C1NCCCC1Nc1ccc([N+](=O)[O-])c2ncccc12
ZINC50829111	CNc1snnc1CN1C(=O)NC2(CCC(C)CC2)C1=O
ZINC53582161	Cc1ccc(C(C)Nc2nc3c(c(=O)[nH]c(=O)n3C)n2C)s1
ZINC05296213	CC(=O)C1=C(C)NC(=O)NC1c1ccc([N+](=O)[O-])cc1
ZINC18267351	Cn1nnnc1SCc1nc(N)c2c3c(sc2n1)CCCC3
ZINC45689866	Cc1nnnn1-c1cccc(NC(=O)NC2CCCC2)c1
ZINC59352940	CNc1ccc([N+](=O)[O-])cc1NC(=O)c1cccnc1
ZINC62162262	O=C(Nc1ccon1)c1csc(Nc2ccccn2)n1
ZINC47103434	Cc1cccnc1NC(=O)NC1CCCN(c2ncccn2)C1
ZINC64300902	Cc1nc(-c2cccc(NC(=O)c3cc(C)on3)c2)n[nH]1
ZINC58209647	O=C(Nc1ccc2nc[nH]c(=O)c2c1)c1ccn(-c2ccccc2)n1
ZINC64313768	CC1NN=C2C=CC(C(=O)Nc3nc(C4=NC=CC4)cs3)=CN21
ZINC64334197	Cc1ccc(C)c(NC(=O)c2n[nH]c(C)c2[N+](=O)[O-])c1
ZINC08783484	CCCCc1[nH]nc2c1C1(CCC3COC1O3)C(C#N)=C(N)O2
ZINC53511009	O=C(Nc1ccc(-n2nccn2)cc1)c1cc(=O)c2ccccc2[nH]1
ZINC65137161	c1cc(C2=NOC(C3N=NC4=C3CCCC4)N2)cc(-c2ccn[nH]2)c1
ZINC65454660	CCCn1cnnc1-c1nc2c([nH]1)CC(C)(C)CNC2=O
ZINC66264579	CC(C)NC(=O)NC(=O)Cn1nc(C(C)(C)C)ccc1=O
ZINC66430889	Cc1[nH]nc(C(=O)NCC2(C)CCCC2)c1[N+](=O)[O-]
ZINC00492341	Cc1ccc(C2C(C#N)=C(N)N3C(=C2C#N)Nc2ccccc23)o1
ZINC02212552	CC(C)c1nc2oc3c(NN)ncnc3c2c2c1CCC2
ZINC12348716	Cc1ccsc1C1C2=C(CCCC2=O)Nc2[nH]nc(O)c21
ZINC15541737	O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1ccc(F)cc1Cl
ZINC29631644	Cc1ccc(NC(=O)C2CCCN(C(N)=O)C2)c(Cl)c1
ZINC32124236	O=C(Nc1ccc2cc[nH]c2c1)c1cc(=O)[nH]c2ccccc12
ZINC08694829	Cc1cc(C)c2nc(Nc3[nH]c(=O)c(C)c([O-])[nH+]3)nc(C)c2c1
ZINC34793571	Cc1n[nH]c(C)c1NC(=O)Nc1ccc(F)cc1F
ZINC35453517	CC1CCCC(Oc2cc3c(cc2N)OCC(=O)N3)C1
ZINC35675585	N#Cc1ccc(Nc2ccc(N)c3nonc23)cc1
ZINC37378267	Nc1c(NC2CCS(=O)(=O)CC2)ccc2ncccc12
ZINC37641486	Cc1cc(C)nc(NC(=O)c2cc(N)c(C)c(F)c2)n1
ZINC37791056	O=C(Nc1cccc2[nH]ncc12)c1cc(Br)c[nH]1
ZINC05817373	CC(C)Cc1nc2n[nH]c(N)c2c2c1COC(C)(C)C2
ZINC05817373	CC(C)Cc1nc2[nH]nc(N)c2c2c1COC(C)(C)C2
ZINC38592681	CC(C)(C)C1CCC2=C3C(=O)N=C(NN)[NH+]=C3SC2C1
ZINC40571947	Cc1nc(Nc2ncnc(Cl)c2N)sc1C
ZINC41027210	CC1CCC(C#N)C(Sc2nc(N)cc(=O)[nH]2)C1
ZINC41043914	Cc1cs/c(=N\S(=O)(=O)c2cc(N)cs2)[nH]1
ZINC41261660	O=C(Nc1ccccc1)Nc1ccc2oc(=O)[nH]c2c1
ZINC43592227	Cc1c[nH]/c(=N\S(=O)(=O)c2ccc(N)cc2F)s1
ZINC44263942	Nc1c(-c2nc3ncccc3[nH]2)cnn1-c1ccccc1
ZINC44549811	O=C(Nc1ccc(Cl)c(Cl)c1)NN1CCNC1=S
ZINC44783304	CC1CCCCN1C(=O)C1(/C(N)=N/O)CCCCCC1
ZINC44990185	CC1CCN(c2nc(N)nc3[nH]cnc23)CC(C)(C)C1
ZINC50121504	CN1C=[NH+]C(c2cc(Cl)c3c(c2)OCCCO3)C1=[NH2+]
ZINC50306095	Cc1[nH]nc(C(=O)N(C)C2C3CC4CC(C3)CC2C4)c1N
ZINC50306187	Cc1[nH]nc(C(=O)N2CCCC2C2CCCCC2)c1N
ZINC50309616	CC(C)c1[nH]nc(C(=O)N2CCc3sccc3C2)c1N
ZINC50323914	Nc1c(C2CC2)n[nH]c1C(=O)N1CCC2CCCCC2C1
ZINC50696098	Cc1ccc(NC(=O)c2nc(N)ccc2Cl)nc1
ZINC51091788	CC1CCCN(C(=O)c2nc(NN)ccc2Cl)C1C
ZINC51151381	NNc1nc(-c2ccncc2)nc2sc3c(c12)CCCC3
ZINC51750363	CC1CCN(C(=O)C2(/C(N)=N/O)CCCCCC2)C(C)C1
ZINC52811978	Nc1cc(=O)[nH]c(Sc2nc(Cl)nc3ccccc23)n1
ZINC14047770	Cn1/c(=N/NC(=O)c2nccnc2N)sc2ccccc21
ZINC55325169	O=c1[nH]c2cc3nc(-c4cccc5c4OCO5)[nH]c3cc2[nH]1
ZINC57476730	CCC1CCCCN1c1cc2c(cc1N)OCC(=O)N2
ZINC37783712	O=C1Nc2ccc(Cl)cc2C1Nc1cccc2[nH]ncc12
ZINC42872007	Cc1nc(N)c(N2CCN(c3cccc(C)c3C)CC2)[nH]1
ZINC37100290	O=C1Nc2ccc(Cl)cc2C1Nc1cccc2cn[nH]c12
ZINC18030775	NS(=O)(=O)c1ccc(/N=C2\C(=O)Nc3ccccc32)cc1
ZINC18030775	NS(=O)(=O)c1ccc(/N=C2/C(=O)Nc3ccccc32)cc1
ZINC62424671	Cc1[nH]c2cc([N+](=O)[O-])ccc2c1-c1csc(N)n1
ZINC62467527	Cc1cccn2c(C(=O)[O-])c(-c3cccc(N)c3)[nH+]c12
ZINC62777740	Cn1nc(-c2ccn[nH]2)c(-c2c(F)cccc2Cl)c1N
ZINC62833649	CN(C(=O)c1cc2cccc(N)c2[nH]1)c1ccccn1
ZINC62953286	CCC1(C)CCN(c2cc3c(cc2N)OCC(=O)N3)CC1
ZINC39758918	CC1Nc2cc(NC(=O)c3ccc4[nH]cnc4c3)ccc2O1
ZINC63399654	O=C(NC1Nc2ccccc2S1)c1ccc2[nH]nnc2c1
ZINC15974574	Nc1nn2c(=O)c3c([nH]c2c1/N=N/c1ccccc1)CCCC3
ZINC66740221	Cc1[nH]nc2c1NC(c1cnc(-c3ccccc3)s1)NC2=O
ZINC04536462	NC(=O)C1CCc2nc(Cl)nc(Cl)c2C1
ZINC00495295	Cc1sc2c(c1C)C(c1cccnc1)C(C#N)=C(N)O2
ZINC00090851	N#Cc1ccc(C2NC(=O)c3ccccc3N2)cc1
ZINC09530168	Cc1ccc2c(c1)NC(C(C)C)NS2(=O)=O
ZINC15670664	Cc1n[nH]c2c1C(c1cc(F)cc(F)c1)SCC(=O)N2
ZINC00291867	Cc1nc2sc3c(c2c(=O)n1N)CCC(C)C3
ZINC19961785	CC(C)CC(=O)N1CCc2nc(N)sc2C1
ZINC25047317	Cc1cc(Sc2nc(C)cs2)nc(N)n1
ZINC28405120	Nc1nc(-c2ccc(I)o2)ns1
ZINC02067924	CN1/C(=C2/SC(=S)N(N)C2=O)Sc2ccccc21
ZINC36165543	Cc1n[nH]c(C)c1C(=O)NC1CCCC(C)C1C
ZINC36860957	CC1CCCN(C(=O)c2cc(N)cn2C(C)C)C1
ZINC37129970	O=c1[nH]c2cc(NC3CCSC3)ccc2o1
ZINC37181176	Cc1nc(N)c2c(C)c(C)n(CC3CCC3)c2n1
ZINC37257265	CC1CCCC(NC(=O)NC(=O)C(C)Cl)C1
ZINC00106612	O=C1CCCC2=C1C(c1cccnc1)Nc1ccccc1N2
ZINC38051247	Cc1ccoc1C(=O)N1CCSc2ccc(N)cc21
ZINC38095258	Cc1ncc(N)cc1C(=O)N1CCCC2CCCCC21
ZINC40291031	Cc1nnc(N2CCCCC2)c(C(N)=S)c1C
ZINC40312222	Cc1ncc(N)cc1C(=O)N1CCSc2ccccc21
ZINC40713752	CC1CN(c2ncc(Br)cc2N)C(C)CO1
ZINC40728630	Cc1nn(-c2ncc(Br)cc2N)c(C)c1C
ZINC40730128	Cc1nn(-c2cc(C(N)=S)ccn2)c(C)c1C
ZINC41583232	N#Cc1c(N)sc2c1CCN(C(=O)C1CCCCC1)C2
ZINC42140304	CN(C(=O)C1CCCCC1)c1ccncc1N
ZINC43409084	NC(=S)c1cc2c(nc1-n1cccn1)CCC2
ZINC43569532	Nc1ccnc(Oc2cccc3cccnc23)c1
ZINC47212456	Nc1ncc(-c2cccnc2)cc1-c1cccnc1
ZINC50588465	Cc1nn(-c2ccc(N)cn2)c(C)c1Br
ZINC50697755	CC1CCCN(C(=O)c2nc(N)ccc2Cl)C1
ZINC51070427	CCC1CCCCN1C(=O)c1cccc(N)n1
ZINC51296372	Cc1ncsc1C(=O)N1CCCc2ccc(N)cc21
ZINC51814543	Cn1c(N)nnc1SCC#Cc1ccccc1
ZINC52855647	Nc1ccc(-n2ccc(C3CC3)n2)c2cccnc12
ZINC52907522	Cc1nn(-c2cccc(Cl)c2C#N)c(C)c1N
ZINC55170930	Cc1nc(N)sc1C(=O)N1C(C)CCCC1C
ZINC55171683	CCC1CCCN(C(=O)c2sc(N)nc2C)C1
ZINC55176939	CN(C(=O)c1csc(N)n1)c1ccccc1
ZINC55271096	CC1CC(C)CN(C(=O)Cc2csc(N)n2)C1
ZINC58570836	O=C(Nc1cnc2ccccc2c1)c1ccc[nH]1
ZINC59370763	N#CC1C(=O)NC(=S)NC1c1ccc(Cl)cc1Cl
ZINC00565682	O=C1NC(c2cccnc2)Nc2sc3c(c21)CCCC3
ZINC61916877	Nc1c(N2CCCOCC2)ccc2scnc12
ZINC00565723	O=C1NC(c2ccccn2)Nc2sc3c(c21)CCCC3
ZINC62532622	CC(C)C1Oc2c(N)cc(F)cc2N(C)C1=O
ZINC62535612	CC1Oc2c(cc(N)cc2C(C)(C)C)N(C)C1=O
ZINC62538975	CC1Oc2cc(Cl)c(N)c(Cl)c2N(C)C1=O
ZINC63104254	Nc1ccc2nc(N3CCOC4CCCC43)sc2c1
ZINC65395986	Nc1ccc(-c2ccc(-n3cccn3)cc2)cn1
ZINC66715733	Cc1ccc2cccc(NC(=O)c3ccc[nH]3)c2n1
ZINC00171508	NC1=NC(=O)CC(C(=O)Nc2cc(Cl)ccc2Cl)S1
ZINC00208969	NC1=NC(=O)CC(C(=O)Nc2cc(Cl)cc(Cl)c2)S1
ZINC02225503	NC1=NC(=O)CC(C(=O)Nc2cccc(Cl)c2Cl)S1
ZINC05529721	Cc1nc2c3c4c(sc3nc(NN)n2n1)CCCC4C
ZINC05634912	Cc1ccc(C2C(C#N)=C(N)Oc3[nH]nc(C(C)C)c32)s1
ZINC20078560	CC(n1c(N)cc(=O)[nH]c1=O)C12CC3CC(CC(C3)C1)C2
ZINC20463193	CC(C)(C)n1c(=O)[nH]c([O-])c(C2[NH2+]CCc3ccccc32)c1=O
ZINC28628471	CCC1(C)Cc2c(sc3nc(C)nc(NN)c23)CO1
ZINC29477711	Cc1cc(Cl)ccc1NC(=O)C1CCCN(C(N)=O)C1
ZINC35383242	CN(c1cc2nc[nH]c(=O)c2cc1N)C1CCCC1
ZINC37403140	Nc1ccc(Cl)c(CN2C(=O)NC3(CCCC3)C2=O)c1
ZINC15974571	CC1Nc2nc(NC(=O)C(C)(C)C)[nH]c(=O)c2N(C)C1C
ZINC39272103	NC1=N/C(=N\Cc2ccc(Cl)c(Cl)c2)C2=NC=NC2N1
ZINC40630700	O=C1COc2c(cccc2NC(=O)NC2CCCCC2)N1
ZINC40818052	Cc1nc2nc(NC(=O)c3cncc(N)c3)ccc2c(C)c1C
ZINC41414008	NNc1cc(N2CCCCS2(=O)=O)ccc1Cl
ZINC41596505	O=c1[nH]c(Nc2ccc3cn[nH]c3c2)nc2c1CSC2
ZINC41632477	Cc1n[nH]c(Sc2ccc3scnc3c2N)n1
ZINC42143714	Cn1c(=O)c2[nH]c(Sc3ccc(N)cc3)nc2n(C)c1=O
ZINC42420870	CNC(=O)C1CCCCN1c1ncc(Br)cc1N
ZINC44783504	CC1CN(C(=O)C2(/C(N)=N/O)CCCCCC2)CC(C)O1
ZINC44785436	N/C(=N/O)C1(C(=O)N2CCC3CCCCC3C2)CCCC1
ZINC45667735	CC1CCCC(NC(=O)NC2CCCCNC2=O)C1
ZINC46087426	CC1CNc2ncnc(Nc3ncccc3O)c2C1
ZINC47720168	Cc1c[nH]/c(=N\C(=O)NCc2c[nH]nc2C)s1
ZINC48950381	CNC(=O)NNC(=O)c1ccccc1I
ZINC49526108	CC(c1cccc(Cl)c1)n1c(N)cc(=O)[nH]c1=O
ZINC49541799	Cn1cc(S(=O)(=O)/N=c2\[nH]c3c(s2)CCC3)c(N)n1
ZINC49964965	CN(c1ccc(F)cc1)c1cc2nc[nH]c(=O)c2cc1N
ZINC50323923	Nc1c(C2CC2)n[nH]c1C(=O)N1CCCC2CCCCC21
ZINC00531560	Nc1nc2n(n1)C(c1ccco1)CC(c1ccccc1Cl)N2
ZINC50694321	Nc1cc(C(=O)Nc2cccc3cccnc23)cc(Cl)n1
ZINC50710066	Nc1ccc(Cl)c(C(=O)Nc2nc3c(s2)CCC3)n1
ZINC17013859	Cc1cc(=O)[nH]c(Nc2nc3cc(C)c(C)cc3[nH]2)n1
ZINC51073165	O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1cccc(Cl)n1
ZINC51090810	NNc1ccc(C(=O)N2CCC3CCCCC3C2)nn1
ZINC51750369	CC1CCN(C(=O)C2(/C(N)=N/O)CCCCCC2)C(C)C1
ZINC54419824	Nc1nonc1C(=O)Nc1ccccc1Br
ZINC54420834	Nc1nonc1C(=O)Nc1ccc2sccc2c1
ZINC55170235	Cc1nc(N)sc1-c1nc2cc3c(cc2[nH]1)OCCO3
ZINC55171112	Cc1nc(N)sc1C(=O)Nc1ccc(Cl)cn1
ZINC55176630	Cc1nc(N)sc1-c1n[nH]c(C2CCCCC2)n1
ZINC57279252	Cc1nc2c(Nc3cccc(C#N)c3)nc(N)nc2n1C
ZINC36989610	O=C1Nc2cc(F)ccc2C1Nc1ccc2[nH]ncc2c1
ZINC37134252	O=C1Nc2ccccc2C1Nc1ccc2cn[nH]c2c1
ZINC36107699	N#CC1C(N)N=C2Nc3ccccc3N2C1c1ccncc1
ZINC61094382	Nc1nonc1C(=O)Nc1cc(F)c(F)cc1F
ZINC13571265	Nc1nc(N2CCN(c3ccc(F)cc3)CC2)c2nc[nH]c2n1
ZINC62725969	Nc1c[nH]cc/c1=N\S(=O)(=O)c1cc(Cl)cc(Cl)c1
ZINC39232740	[NH-]C1=NC(Nc2cc(Cl)cc(Cl)c2)C2=NC=NC2=[NH+]1
ZINC00038517	NC(=O)c1c(NC(=O)C2CCCCC2)sc2c1CCCC2
ZINC00429830	Cc1cc2cc(CNC(=O)Nc3cccc(Cl)c3)ccc2[nH]1
ZINC03130877	Cc1ccc(NC(=O)NC(O)C(Cl)(Cl)Cl)cc1
ZINC09246200	CC1CCc2c(sc(N)c2C(=O)NCC2CCCO2)C1
ZINC00058723	N#CC1=C(N)SC(=N)C(C#N)C1c1ccccc1C(F)(F)F
ZINC19231365	Cc1cccc(NS(=O)(=O)c2ccc(N)cc2Cl)c1C
ZINC19389095	Cc1ccc(NS(=O)(=O)c2ccccc2N)cc1Cl
ZINC19978959	Cc1cccc(NS(=O)(=O)c2cc(N)cc(C)c2C)c1
ZINC20318290	Nc1ncc(C(F)(F)F)cc1Nc1cccc2cccnc12
ZINC20472047	Cc1ccc(S(=O)(=O)Nc2cccc(Cl)c2F)cc1N
ZINC20557240	Cc1ccc(NS(=O)(=O)c2cc(C)c(C)cc2N)cc1C
ZINC20566173	Cc1ccc(NS(=O)(=O)c2ccc(F)c(N)c2)cc1C
ZINC21051431	N/C(=N\O)c1ccc(Sc2nc3ccccc3s2)cc1
ZINC21057834	Cc1cc(N)c(S(=O)(=O)NC2CCCC(C)C2C)cc1C
ZINC21804213	Cc1ccc(NS(=O)(=O)c2cc(N)cc(C)c2C)cc1C
ZINC35285986	CC(Nc1ccc2[nH]c(=O)[nH]c2c1)c1ccc(Cl)s1
ZINC35329696	Cc1ccc(Nc2ccc(S(C)(=O)=O)cc2N)c(F)c1
ZINC36960563	Cc1cc(N)ccc1NS(=O)(=O)c1ccc(Cl)s1
ZINC36961606	Cc1cc(F)ccc1S(=O)(=O)Nc1cc(Cl)ccc1N
ZINC37053478	Cc1cc(N)cc(S(=O)(=O)Nc2ccc(F)cc2C)c1
ZINC37053828	Cc1cc(N)cc(S(=O)(=O)NC2CCCCCCC2)c1
ZINC37064211	Cc1ccc(S(=O)(=O)Nc2ccc(F)c(Cl)c2)c(N)c1
ZINC37138042	CC(C)Nc1ccc(S(N)(=O)=O)cc1Br
ZINC37177409	CC(NC(=O)c1ccc(Br)o1)c1ccc(N)cc1
ZINC37254575	Cc1cc(S(=O)(=O)NC2CCCC(C)C2)cc(N)c1C
ZINC37390212	Nc1cc(S(=O)(=O)NC2CCCCCC2)c(F)cc1F
ZINC37859939	Cc1ccc(NS(=O)(=O)c2cc(Cl)ccc2N)c(C)c1
ZINC37929187	Cc1ccc(Cl)cc1NS(=O)(=O)c1cc(F)ccc1N
ZINC40294967	CN(C)c1ccc(C(=O)Nc2cc(F)cc(F)c2)cc1N
ZINC40328442	Cc1cccc(N)c1S(=O)(=O)Nc1ccc(Cl)cc1F
ZINC45147499	Cc1c(Cl)cccc1NS(=O)(=O)c1c(N)cccc1F
ZINC45165939	Cc1ccc(NS(=O)(=O)c2c(N)cccc2Cl)cc1
ZINC45166334	C#Cc1cccc(NS(=O)(=O)c2c(N)cccc2Cl)c1
ZINC45623671	Nc1ccc(Br)c(C(=O)Nc2cccc3cnccc23)c1
ZINC49496586	Cc1sc(C(=O)Nc2nc(C(C)(C)C)cs2)cc1N
ZINC50439439	Cc1cc(N)c(NS(=O)(=O)c2cccc(Cl)c2)cc1C
ZINC50439464	Cc1cc(N)c(NS(=O)(=O)c2ccc(F)cc2C)cc1C
ZINC50705860	Nc1ccc(C(=O)Nc2ccc(F)c(C(F)(F)F)c2)cn1
ZINC50709141	CC(NC(=O)c1cc(N)nc(Cl)c1)c1cccc(Cl)c1
ZINC50709206	CC(NC(=O)c1nc(N)ccc1Cl)c1ccccc1Cl
ZINC51667477	Cc1nc2cc(NCc3cccc(C#N)c3)c(N)cc2s1
ZINC51667524	N#Cc1cccc(CNc2ncc(Br)cc2N)c1
ZINC53737447	CCC1CCCCC1n1c(C(C)O)nc2cc(N)ccc21
ZINC60389887	CC1CC1C(=O)Nc1sc2c(c1C(N)=O)CCCCC2
ZINC47381439	Cc1c(F)cc(C(N)=O)cc1NC(=O)c1cc(F)cc(F)c1
ZINC61099106	Cc1cc(NS(=O)(=O)c2ccc(Cl)cc2N)ccc1F
ZINC61119994	Cc1nnc(Nc2cc(F)c(F)c(F)c2)c(C(N)=S)c1C
ZINC61680194	Nc1ccc(NC(=O)Cc2cccc(Br)c2)cn1
ZINC62352995	NNc1nc(Cc2c(F)cccc2Cl)nc2c1CCCC2
ZINC62823283	CC(C)(C)c1csc(NC(=O)c2ccc(F)cc2N)n1
ZINC00090712	Nc1nc2ccc(OC(F)(F)Cl)cc2s1
ZINC01558543	CSc1nc(N)c(I)c(Cl)n1
ZINC00396487	CC(C)NC(=O)Nc1ccc(Cl)cc1Cl
ZINC01866150	Nc1cc2c3cccnc3ccc2c2ncccc12
ZINC08699381	Nc1ccc2c(cnn2Cc2ccc(Cl)cc2)c1
ZINC04245377	Cc1cc(C(F)(F)F)nc2sc(C#N)c(N)c12
ZINC16385298	O/N=C1\C2CCC(C2)C1Nc1ccc(F)cc1F
ZINC06345064	O=C1Nc2ccccc2/C1=C/Nc1ccccc1F
ZINC22145390	Nc1ccc(Oc2ncc(Cl)cc2Cl)cc1
ZINC22635926	S=C1NCN(CC23CC4CC(CC(C4)C2)C3)CN1
ZINC23653212	CC1CCc2[nH]c3ccc(C(=O)NC4CC4)cc3c2C1
ZINC26422199	Cc1cc(C)cc(-n2nc3c(c2N)CSC3)c1
ZINC32655690	CC1CCc2[nH]c3c(C(=O)NC4CC4)cccc3c2C1
ZINC35340888	Cc1ccc(Oc2ccc(N)c3ncccc23)cc1C
ZINC35340893	Cc1ccccc1Oc1ccc(N)c2ncccc12
ZINC35340947	CC1CCCCC1Oc1ccc(N)c2ncccc12
ZINC35344641	CN(c1ccc2scnc2c1N)C1CCCC1
ZINC36290563	CC1CCc2c(sc3nc(-c4ccccc4)c(N)n23)C1
ZINC36852072	N#Cc1cccc(NC2CCc3c(O)cccc32)c1
ZINC36867310	Nc1ccc2cnn(Cc3ccc(Cl)s3)c2c1
ZINC36899311	Nc1nc2cc(F)ccc2n1Cc1cccc(F)c1
ZINC36937780	CC1CC1c1nn(C)c(N)c1-c1ccc(F)cc1
ZINC37641725	Cc1c(N)cc(C(=O)N2CCC3CCCCC3C2)cc1F
ZINC04127742	CC1CC2=C(/C(=N\O)C1)C1(O)CC(C)CC(C)(C2)C1
ZINC40458458	CC1CCCCC1NC(=O)C1Cc2ccccc2N1
ZINC41183827	NC1(c2nc3c(s2)CCCC3)CCOc2ccccc21
ZINC41295978	Nc1cc(C2CCCC2)nn1-c1ccccc1F
ZINC41721262	Cc1cccc(Oc2ccnc3ccccc23)c1N
ZINC43667973	Cc1cccc(C(C)n2nc(C)c(Cl)c2N)c1
ZINC44273766	CCc1c(-c2cc(C)oc2C)sc(C#N)c1N
ZINC44353742	Cc1sc(C(=O)N(C)C2CCCCC2C)cc1N
ZINC44678031	Nc1nc2c(F)cccc2n1C1CC1c1ccccc1
ZINC48473309	Cc1ccc(NC(=O)NC2CCCCCC2)c(F)c1
ZINC49255323	CC1CCCC(NC(=O)Nc2ccc(F)c(F)c2)C1
ZINC49351171	CC1CC1c1noc(N)c1-c1cc(F)cc(F)c1
ZINC49414996	O=C(Nc1cccc(F)c1F)NC1CCCCCC1
ZINC50003443	CN(c1cccc(F)c1)c1ccc2ncccc2c1N
ZINC50201874	Cc1ccc(N)c(C(=O)N2CCC3CCCCC3C2)c1
ZINC52065229	Nc1cc(F)ccc1Oc1ccnc2ccccc12
ZINC52293565	CC1CC1n1c(N)nc2cc(Br)ccc21
ZINC37139705	Cc1nc2ccc(NC3CCCC(C)C3)cc2[nH]1
ZINC52842800	Nc1ccc2c(c1)ncn2C12CC3CC(CC(C3)C1)C2
ZINC52853718	CC1CCCCC1Cn1cnc2cc(N)ccc21
ZINC53713277	CN(C(=O)C1CCCCCC1)c1ccccc1N
ZINC54210262	Cc1ccc(N(C)C(=O)c2cccc(F)c2N)cc1
ZINC19879611	O=C1Nc2ccc(Cl)cc2C1Nc1ccccc1
ZINC43664771	Cc1cc(N)n(Cc2cc(Cl)cc(Cl)c2)n1
ZINC12375622	Nc1ccccc1/N=c1\ssnc1Cl
ZINC63106544	Cc1cc2ccccc2nc1Sc1ccncc1N
ZINC19877199	Cc1cccc(NC2C(=O)Nc3ccc(C)cc32)c1
ZINC00173753	O=CNC1CCCc2c1[nH]c1ccc(Br)cc21
ZINC00027619	CC(=O)c1sc2nc(C(C)(C)C)cc(C)c2c1N
ZINC04651089	CC1CCCC(NC(=O)NC2CCCCC2)C1C
ZINC05943170	Cc1ccccc1NC(=O)NC1CCCC(C)C1
ZINC02327138	CNc1nc(-c2c[nH]c3cc(C)ccc23)cs1
ZINC19723503	Nc1nc2ncccc2cc1-c1cccc(Cl)c1
ZINC19869115	Nc1ccc(Oc2ccc(Cl)cc2Cl)cn1
ZINC19869306	Nc1ccc(Oc2ccccc2Br)cn1
ZINC20353718	Cc1cc(N)nn1Cc1cccc(Cl)c1Cl
ZINC00042447	Cc1ccc(C2=C(C#N)C(N)=C(C#N)C3=CCCC32)c(C)c1
ZINC22142640	Nc1ccccc1Oc1ncc(Cl)cc1Cl
ZINC35333230	CC1CCCC(Oc2ccc(N)c3cnccc23)C1
ZINC35344103	CC1CCCN(c2ccc3scnc3c2N)C1
ZINC36327987	CN(c1ccc(C#N)cc1N)C1CCCCCC1
ZINC36938004	Cc1c(-c2cc3c(s2)CCCC3)nn(C)c1N
ZINC37759410	Cc1ccc(Sc2ncc(N)cc2C#N)c(C)c1
ZINC37820696	Cc1cc(C(=O)N2CC3(C)CC2CC(C)(C)C3)ccc1N
ZINC04073047	Nc1nccc(/C=C/c2c(F)cccc2Cl)n1
ZINC38033016	Cc1cc(C#N)ccc1N1CCc2c(N)cccc2C1
ZINC04773356	Cc1cc(O)cc(C)c1C(=N)c1ccc(N(C)C)cc1
ZINC40103562	Cc1cc(F)ccc1NC(=O)NC1CCCCC1C
ZINC40458461	CC1CCCCC1NC(=O)C1Cc2ccccc2N1
ZINC41300175	Cc1c(Cl)cccc1-n1nc(C2CC2)cc1N
ZINC43569367	Nc1ccnc(Oc2cc(Cl)ccc2Cl)c1
ZINC43982033	C#Cc1cccc(NC(=O)NC2CCCC(C)C2)c1
ZINC48421736	CC1CCC(NC(=O)NC2CCC(C)CC2)CC1
ZINC48469947	O=C(Nc1c(F)cccc1F)NC1CCCCCC1
ZINC48476031	CC1CCCC(NC(=O)Nc2cc(F)cc(F)c2)C1
ZINC49351162	CC1CC1c1noc(N)c1-c1cc(F)cc(F)c1
ZINC49526713	Cc1ccccc1C(C)n1c(C)c(C)c(C#N)c1N
ZINC49559103	Cc1ccc(C(C)n2c(N)nc3c(F)cccc32)cc1
ZINC49850157	Cc1cccnc1-c1nc(-c2ccccc2N)cs1
ZINC50563208	CC1CCCN(C(=O)c2cc(N)c(Cl)c(Cl)c2)C1C
ZINC50867424	Cc1nc(-c2ccc(Br)s2)nc(N)c1C
ZINC52341950	Cc1c(C#N)c(N)n(C(C)C2CCCCC2)c1C
ZINC52853268	Cc1nc2cc(N)ccc2n1C1CCCc2ccccc21
ZINC52854902	Cc1ccccc1C(C)n1c(C)nc2cc(N)ccc21
ZINC53169700	CC1CCC(n2c(N)nc3ccc(F)c(F)c32)CC1
ZINC37439090	N=C1SC2CCCCC2=C1c1nc2cc(F)ccc2[nH]1
ZINC58103395	CC1(C)C(=O)Nc2c(C(O)C(C)(C)C)cc(F)cc21
ZINC58111712	CCC(O)c1cc2c(c(C)c1Cl)NC(=O)C2(C)C
