ZINC04026895	O=CNC1C2CCCC1C1=C(CCCC1)C2
ZINC27695938	COc1ccc2cc(C(C)c3nc4ccccc4n3CC(O)C[NH+](C)Cc3ccccc3)ccc2c1
ZINC27697111	CC(C)[NH+](Cc1ccccc1)CC(O)Cn1c(Cc2ccc(-c3ccccc3)cc2)nc2ccccc21
ZINC27697332	OC(Cn1c(C(Sc2ccccc2)c2ccccc2)nc2ccccc21)C[NH+]1CCCCCC1
ZINC35246829	Cc1ccc(C[NH+](Cc2cccc(F)c2)Cc2ccc(C(=O)NCCc3ccccc3)o2)cc1
ZINC35371471	CCc1cccc2c(C(CC(=O)N(CC[NH+](C)C)Cc3ccccc3)c3cccs3)c[nH]c12
ZINC36203189	Cc1ccccc1C[NH+](Cc1ccc(C(O)(c2ccccc2)c2ccccc2)o1)CC1CCCO1
ZINC36203578	Cc1ccc(C[NH+](Cc2ccc(C(O)(c3ccc(F)cc3)c3ccc(F)cc3)o2)CC2CCCO2)s1
ZINC01913284	CC[NH+](Cc1ccccc1)Cc1c(O)ccc2c(=O)c(-c3ccc(Cl)cc3)c(C(F)(F)F)oc12
ZINC38670477	CN1CCCc2cc(C(CNC(=O)Cc3ccc(-c4ccccc4)cc3)[NH+]3CCCC3)ccc21
ZINC38670975	CN1CCCc2cc(C(CNC(=O)C(c3ccccc3)c3ccccc3)[NH+]3CCCCC3)ccc21
ZINC38671181	CN1CCCc2cc(C(CNS(=O)(=O)c3cc(Cl)ccc3Cl)[NH+]3CCCCC3)ccc21
ZINC38766325	COc1ccccc1OC1=CN=[NH+]C1c1ccc(OCc2c(Cl)cccc2Cl)cc1O
ZINC39537287	COc1ccc(C2NN(c3ccccc3C)CC2C[NH+](C)CCC2=C(C)N=NC2C)cc1F
ZINC22936077	OC(COc1ccc(C23CC4CC(CC(C4)C2)C3)cc1)CN1CC[NH+](Cc2ccccc2)CC1
ZINC39929461	CCOC(=O)c1c(NC(=O)c2ccccc2)sc(C[NH+](C)C)c1-c1ccc(Br)cc1
ZINC39988962	CNC(=S)N1N=C(C2C(=O)[NH+]=c3ccc(Cl)cc3=C2c2ccccc2)CC1c1ccc(OC)cc1
ZINC40322855	Cc1ccc(C(CNC(=O)c2ccc(S(=O)(=O)c3ccc(C)cc3)o2)[NH+]2CCCCCC2)cc1
ZINC40403922	CCC(C)[NH+](Cc1ccc2c(c1)OCO2)Cc1ccc(C(O)(c2ccccc2)c2ccccc2)o1
ZINC40720492	CCOc1cc(C[NH2+]CC2CCCN2CC)cc(Br)c1OCc1cccc(Cl)c1
ZINC41021122	Cc1ccc(-c2cnc(CCC(=O)NCC(c3ccccc3Cl)[NH+]3CCCCC3)o2)cc1
ZINC45850377	CCCCn1c(SCC(=O)Nc2c(Br)cc(C)cc2Br)[nH+]c(C)c1C
ZINC49564985	COc1cccc(/C=C/C(=O)/N=c2\[nH]c3c(s2)C[NH+](Cc2ccccc2)CC3)c1OC(F)F
ZINC22876374	Cc1cc(CSc2ccccc2C(=O)Nc2nc3c(s2)C[NH+](Cc2ccccc2)CC3)on1
ZINC59302538	Cc1ccc(NC(=O)c2c(-n3c(C)cc(/C=[NH+]/Cc4ccccc4)c3C)sc3c2CCCC3)cc1
ZINC24549791	Oc1ccccc1-c1nc(/C=C/c2ccc(Br)cc2)nn1CC[NH+]1CCCCC1
ZINC59587201	COc1cc(CNC2CC[NH+](Cc3ccccc3)CC2)cc(Br)c1OCc1ccccc1
ZINC41584192	CCCC[NH+](CCCC)Cc1c(O)cc(C)c2c1O/C(=C/c1cn(CC)c3ccccc13)C2=O
ZINC39945703	CCCCCCN1C(C2=c3ccccc3=[NH+]C2)=NNC1SCC(=O)C12CC3CC(CC(C3)C1)C2
ZINC39946462	Cc1ccc(Nc2nnc(SC(C(=O)C3=c4ccccc4=[NH+]C3)c3ccccc3)s2)cc1
ZINC39946796	CCC1CCCCN1C(=O)CSC1NN=C(C2=c3ccccc3=[NH+]C2)N1c1ccc(Cl)cc1
ZINC27550179	C[C@@H]([NH2+][C@H]1CC(=O)N(c2ccc(N=Nc3ccccc3)cc2)C1=O)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
ZINC63658956	CC1[NH+]=c2ccc(Cl)cc2=C1CCN(Cc1ccco1)C(=S)Nc1ccc(Cl)cc1
ZINC63755524	Cc1ccc(C2[NH+]=c3ccccc3=C2SCCNC(=O)c2ccc(Br)o2)cc1
ZINC38971456	CCCCc1ccc(NC2[NH+]=c3ccccc3=N/C2=N\S(=O)(=O)c2ccc(C)c(C)c2)cc1
ZINC64215554	CC1N=C(c2cccs2)C(CC(=O)NCC(C2=c3ccccc3=[NH+]C2)c2ccccc2)S1
ZINC01536414	C[NH+]1CCC=C(c2nsnc2SCCCCCCSc2nsnc2C2=CCC[NH+](C)C2)C1
ZINC04237326	C[NH+](C)Cc1ccccc1-c1ccc2n(c1=O)CC1CC2C[NH+](Cc2cc3ccccc3o2)C1
ZINC04253864	O=[N+]([O-])c1ccc(C[NH+]2CC[NH+](C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1
ZINC11839582	COCC[NH+](Cc1ccccc1OC(F)F)CC1CCC[NH+](C2Cc3ccccc3C2)C1
ZINC12438109	Fc1ccc(-n2cccn2)c(C[NH+](CC2CC[NH+](C3CCCC3)CC2)CC2CCCO2)c1
ZINC12478774	Cc1ccc(C2(c3noc(C[NH+]4CCN(c5ccc(Cl)c[nH+]5)CC4)n3)CCCC2)cc1
ZINC12576556	COc1cc(C[NH+]2CCC3(CCC[NH+](CCCc4ccccc4)C3)C2)cc2c1OCO2
ZINC12582325	COc1cc(C[NH+](C)CC2CCC[NH+](CCc3ccc(Cl)cc3)C2)cc2c1OCO2
ZINC12711600	CCOc1cccc(C[NH+](CCOC)CC2CCC[NH+](C3Cc4ccccc4C3)C2)c1
ZINC12748581	Clc1cc2c(cc1C[NH+](CC1CC[NH+](C3CCCC3)CC1)CC1CCCO1)OCO2
ZINC12305931	COc1ccc(C[NH+](Cc2cccnc2)CC2CC[NH+](C3CCCC3)CC2)c(C)c1C
ZINC13736450	Brc1ccc(-c2ccc(C[NH2+]CC3CC[NH2+]CC3)o2)c(Br)c1
ZINC15080349	COc1ccc(CC[NH+]2CCC(C[NH+](C)Cc3ccc(C4CCCCO4)s3)CC2)cc1
ZINC16138101	O/N=C1/C2CCC(C2)C1[NH+]1CCC(CCCC2CC[NH+](C3/C(=N/O)C4CCC3C4)CC2)CC1
ZINC03114920	CC[NH+](CC)C(NC(=O)NC([NH+](CC)CC)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
ZINC14959824	COc1ccc(CC[NH+]2CCCC(CN(C)Cc3ccc(C[NH+]4CCCC4)s3)C2)cc1
ZINC20028398	c1ccc(CN2COc3c(c4c(c5c3C[NH+](Cc3ccccc3)CO5)C[NH+](Cc3ccccc3)CO4)C2)cc1
ZINC38596463	N#C/C(=C\c1cc(Br)ccc1OCc1ccccc1Cl)C1[NH+]=c2ccccc2=[NH+]1
ZINC38965580	COc1ccc(S(=O)(=O)/N=C2\N=c3ccccc3=[NH+]C2Nc2ccc(Br)cc2)cc1
ZINC38970994	CCc1ccc(NC2[NH+]=c3ccccc3=N/C2=N\S(=O)(=O)c2ccc(F)cc2)cc1
ZINC38981009	CCc1cccc(NC2[NH+]=c3ccccc3=N/C2=N\S(=O)(=O)c2ccc(C)c(C)c2)c1
ZINC39035004	CCSc1ccc(-c2nn(-c3ccccc3)cc2/C=C(/C#N)C2[NH+]=c3ccccc3=[NH+]2)cc1
ZINC39457967	CCc1cccc2c1=[NH+]CC=2C(=O)CSC1N=NC(C(C)[NH+](C)C)N1c1ccc(F)cc1
ZINC39461201	Cc1oc(-c2cccs2)nc1C[NH+](CC1CC[NH+](C2CCCC2)CC1)CC1CCCO1
ZINC39702089	C(=N/c1ccc(Cc2ccc(/N=C/C3=c4ccccc4=[NH+]C3)cc2)cc1)\C1=c2ccccc2=[NH+]C1
ZINC39706780	CCOc1cc(/C=C(\C#N)C2[NH+]=c3ccc(C)cc3=[NH+]2)ccc1OCc1ccc(Cl)cc1
ZINC39710248	Cc1ccc2c(c1)=CC(C(C1N=NNN1C(C)(C)C)[NH+](Cc1ccccc1)Cc1ccc(Cl)cc1)C(=O)[NH+]=2
ZINC39710376	CCc1ccc2c(c1)=CC(C(C1N=NNN1C(C)(C)C)[NH+]1CCc3ccccc3C1)C(=O)[NH+]=2
ZINC39710942	Cc1cccc2c1=[NH+]C(=O)C(C(C1N=NNN1C1CCCC1)[NH+](Cc1ccccc1)Cc1ccc(F)cc1)C=2
ZINC39969383	COC(=O)COc1c(Cl)cc(/C=C(/C#N)C2[NH+]=c3ccc(OC)cc3=[NH+]2)cc1Cl
ZINC29236164	Fc1ccc([NH+]=c2ccn(CCCCCCCCn3ccc(=[NH+]c4ccc(F)cc4)cc3)cc2)cc1
ZINC29238642	Clc1ccc([NH+]=c2ccn(CCCCCCn3ccc(=[NH+]c4ccc(Cl)cc4)cc3)cc2)cc1
ZINC63067868	O=C(COc1ccc(Br)cc1)Nc1ccc(C2[NH+]=c3ccccc3=[NH+]2)cc1
ZINC63140078	CCCC[NH+](CCCC)CCCN1CC(=O)N2C(CC3=c4ccccc4=[NH+]C3C2c2ccccc2)C1=O
ZINC39747207	CC(C)(C)c1ccc(OC2N=C3C=CC=CN3C(=O)C2/C=C(\C#N)C2[NH+]=c3ccccc3=[NH+]2)cc1
ZINC63165352	COc1ccc(N2C(COc3ccc(C)cc3)NNC2SCC2[NH+]=c3ccccc3=[NH+]2)cc1
ZINC63172381	COC(=O)C1C(NC(=O)CSC2[NH+]=c3ccccc3=[NH+]2)SC2CC(C(C)(C)C)CCC21
ZINC63234391	CC1=CCC(C[NH+](C)Cn2nc(C3=c4ccccc4=[NH+]C3)n(-c3ccc(Cl)cc3)c2=S)O1
ZINC63234458	CCc1cccc(C)c1N(C(=O)CSC1[NH+]=c2ccc(Cl)cc2=[NH+]1)C(C)COC
ZINC63270305	CCOCN(C(=O)CSC1[NH+]=c2ccc(OCC)cc2=[NH+]1)c1c(C)cccc1CC
ZINC63437328	CC[NH+](CC)CCNC(=O)C(CC1=c2ccccc2=[NH+]C1)NC(=O)c1ccc(C23CC4CC(CC(C4)C2)C3)cc1
ZINC63493351	C=C(C)COc1cc2c(cc1Cl)C(C)C(CC(=O)NC1[NH+]=c3ccccc3=[NH+]1)C(=O)O2
ZINC63514295	CC[NH+](CC)CCN(C(=O)c1ccc([N+](=O)[O-])cc1)C1CCCC2=c3cc(C)ccc3=[NH+]C21
ZINC63770282	CCc1cccc2c1=[NH+]CC=2C(C1=c2cccc(CC)c2=[NH+]C1)c1ccc(N(C)C)cc1
ZINC63994010	CC(C)CN1C(=O)N(CCc2ccccc2)C2(CC[NH+](CC3C=c4ccccc4=[NH+]3)CC2)C1=O
ZINC64002425	Cc1cc2c(cc1C)=[NH+]C(CN(C)C(=O)c1cc(C(c3ccccc3)c3ccccc3)no1)[NH+]=2
ZINC64083754	Cc1ccc(OCc2cc(C(=O)N(C)CC3[NH+]=c4ccc(Cl)cc4=[NH+]3)no2)cc1C
ZINC64084369	COC(=O)C1CC(=O)N(Cc2ccc3ccccc3c2)C12CC[NH+](CC1C=c3ccccc3=[NH+]1)CC2
ZINC64640468	CCn1cc[nH+]c1CN1CCC2=c3ccccc3=[NH+]C2C1c1cccc(C(F)(F)F)c1
ZINC65547994	Cc1ccc(C2[NH+]=c3ccccc3=[NH+]2)cc1NC(=O)C(C)Oc1ccc(Cl)cc1Cl
ZINC02656986	NS(=O)(=O)c1cc(C(=O)OCC(=O)Nc2ccc(Cl)cc2C(F)(F)F)ccc1Cl
ZINC08862485	CCC1CCc2sc(-c3nnc(SCC(=O)Nc4sccc4C(N)=O)n3C)cc2C1
ZINC09373183	CC(=O)c1ccc(NC(=S)Nc2cc(S(=O)(=O)Nc3ccc(C)cc3C)ccc2C)cc1
ZINC09595190	CSCCC(NC(=O)c1ccc(C(C)(C)C)cc1)C(=O)N1Cc2ccccc2CC1C(N)=O
ZINC09611424	CC1CCCCC1NC(=O)C(Cc1ccccc1)NS(=O)(=O)c1ccc2c(c1)CCC(=O)N2
ZINC09611425	CC1CCCCC1NC(=O)C(Cc1ccccc1)NS(=O)(=O)c1ccc2c(c1)CCC(=O)N2
ZINC09611446	O=C1CCc2cc(S(=O)(=O)NC(Cc3ccccc3)C(=O)Nc3ccc(Cl)cc3F)ccc2N1
ZINC10000938	COc1cc(Br)cc(/C=N/NC(=O)C(NC(=O)c2ccc(F)cc2)C(C)C)c1O
ZINC10039957	COc1cc(/C=N/NC(=O)C(NC(=O)c2ccc(C)cc2)C(C)C)cc(I)c1O
ZINC12500787	O=C(COc1ccc2ccccc2c1Br)NNC(=S)NC(=O)c1ccccc1
ZINC12503183	Cc1ccccc1OCC(=O)NC(=S)NNC(=O)c1ccccc1I
ZINC12570799	CC(Oc1ccc(Cl)cc1Cl)C(=O)NNC(=S)NC(=O)c1ccc(Br)o1
ZINC12897728	CSCCC(NC(=O)c1ccc(Cl)cc1Cl)C(=O)Nc1ccc2c(c1)NC(=O)C(C)O2
ZINC13976849	O=C(COc1ccccc1Cl)NC(=S)NNC(=O)c1ccccc1I
ZINC13979197	O=C(COc1ccc(Br)cc1Cl)NNC(=S)NC(=O)c1ccc(F)cc1
ZINC13979584	CCC(=O)Nc1ccc(C(=O)NNC(=O)COc2ccc(Cl)cc2Br)cc1
ZINC13983785	CC(C)C(=O)NC(=S)NNC(=O)COc1ccc2cc(Br)ccc2c1Br
ZINC13986904	Cc1cccc(C(=O)NC(=S)NNC(=O)COc2ccc(Cl)cc2Br)c1
ZINC14002227	Cc1ccc(OCC(=O)NNC(=S)NC(=O)Cc2ccc(Cl)cc2)c(Br)c1
ZINC14625310	CCCCn1c(N)c(N(Cc2ccccc2)C(=O)c2ccc(Cl)c(Cl)c2)c(=O)[nH]c1=O
ZINC14643057	CCC(=O)Nc1ccc(C(=O)NNC(=O)C(C)Oc2c(C)cc(Br)cc2C)cc1
ZINC14720665	CCCCN(C(=O)c1cc(Br)ccc1Cl)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC16071208	CC(Oc1ccc2ccccc2c1)C(=O)NNC(=O)c1ccc(Cl)c(NC(=O)c2cccs2)c1
ZINC17137909	CC(=O)C1(O)CCC2C3CCC4=C/C(=N\OCC(=O)NCCc5ccc(O)cc5)CCC4(C)C3CCC21C
ZINC18526946	Nn1c(SCC(=O)Nc2cc(C(F)(F)F)ccc2N2CCCCC2)nnc1-c1cccs1
ZINC09375395	CC1=C(C(=O)Nc2ccc(F)cc2)C(c2ccco2)C(C#N)=C(SCC(=O)NC(C)(C)C)N1
ZINC20347862	CC1=C(C(=O)Nc2ccc(F)cc2)C(c2ccco2)C(C#N)=C(SCC(=O)Nc2ccc(C)cc2)N1
ZINC20562778	COC(=O)c1c(NC(=S)NNC(=O)c2csc3c2CCCC3)sc2c1CCC(C)C2
ZINC20694095	CCOc1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2cccc(OC)c2O)N3)cc1
ZINC20837383	C/C(=N\Nc1nc(SCC(=O)NC2CCCc3ccccc32)n[nH]1)C12CC3CC(CC(C3)C1)C2
ZINC21535807	Cc1cccc(NC(=O)C(CC(C)C)NS(=O)(=O)c2ccc3c(c2)CCCC(=O)N3)c1C
ZINC22617178	Cc1ccc(S(=O)(=O)Nc2cccc(C(=O)NNC(=O)CC34CC5CC(CC(C5)C3)C4)c2)cc1
ZINC23867686	CC(OC(=O)c1ccc2[nH]c3c(c2c1)CCCC3)C(=O)NCC(=O)Nc1ccc(F)c(F)c1F
ZINC13148966	NS(=O)(=O)c1ccc(NC(=O)COC(=O)C23CC4CC(C2)CC(c2ccccc2)(C4)C3)cc1
ZINC35591891	CC(C)NC(=O)C1(OCc2cccc(Cl)c2)CC(O)C(O)C(OCc2cccc(Cl)c2)C1
ZINC36597485	Cc1ccc(CN(C(=O)c2c(O)cccc2O)C(C(=O)NC2CCCCC2)c2ccccc2C)o1
ZINC39966449	CCn1c(SCC(=O)Nc2ccccc2C(N)=O)nnc1-c1csc2c1CCCCC2
ZINC38705238	Cc1cc(C)c(-c2n[nH]c3c2C(c2ccc(OCc4ccccc4)cc2)N(CCO)C3=O)c(O)c1
ZINC43548107	COCCNC(=O)CCC12CCC(C)(O)CC1C(C)(C)CC2NC(=O)c1ccc(C(F)(F)F)cc1
ZINC43553438	C=CCN(C)C(=O)CC1c2nc(NC(=O)C(C)(C)C)sc2CC2C(C)(CO)C(O)CCC12C
ZINC43554538	COc1ccccc1CNC(=O)CC1c2nc(-c3cccnc3)sc2CC2C(C)(CO)C(O)CCC12C
ZINC57331828	CC(C)c1ccc(C(NCC(=O)NN2C(=O)NC3(CCCCC3)C2=O)c2cccs2)cc1
ZINC58994000	Cc1ccc(C)c(NC(=O)CSc2n[nH]c(N/N=C/c3cccc(Br)c3)n2)c1
ZINC59019583	Cc1ccc(/C=N/Nc2nc(SCC(=O)Nc3ccc(Br)c(C)c3)n[nH]2)cc1
ZINC59020870	C/C(=N/Nc1nc(SCC(=O)Nc2ccc(F)c(F)c2)n[nH]1)c1ccc(Br)cc1
ZINC21084841	O=C(CCSc1nnc(NN=C2CCCC2)[nH]1)Nc1ccc(I)cc1
ZINC59461865	Cc1ccc(-c2csc(-n3[nH]c(-c4ccccc4)c(C(c4ccccc4)C(C#N)C(N)=O)c3=O)n2)cc1
ZINC20151794	COc1ccc(NC(=S)NC(=O)c2cccc(I)c2)cc1-c1ccc(CO)o1
ZINC14920142	O=C(CNC(=O)C(c1ccccc1)c1ccccc1)NN/C=C1\C=CC(=O)C(I)=C1
ZINC03088541	C/C(=C\C(=O)NC(C)C)NNC(=O)COc1cc(C)c(Br)cc1Br
ZINC06193120	CC[NH+](CC)CCCNC(=S)N(Cc1cc2c(C)ccc(C)c2[nH]c1=O)C1CCCC1
ZINC06134841	CCc1ccc(NC(=S)N(CC[NH+](CC)CC)Cc2cc3cc(C)ccc3[nH]c2=O)cc1
ZINC02263119	COC(=O)C(NC(=O)c1cccc(F)c1)(Nc1ccc(Br)c[nH+]1)C(F)(F)F
ZINC09746573	Cc1ccc(C[NH+]2CCC(C[NH2+]Cc3c(C(=O)[O-])c(C)n(Cc4cccc(C)c4)c3C)CC2)cc1
ZINC11658513	COc1ccc(C(CNC(=O)CC2Sc3ccc(Cl)cc3NC2=O)[NH+]2CCCCC2)cc1
ZINC11882483	COC(=O)C1CC(NC(=O)c2ccc3ccccc3c2O)C[NH+]1Cc1ccccc1C(F)(F)F
ZINC11912974	CC(Cc1ccsc1)[NH2+]C1CCN(c2ccc(NC(=O)COc3ccccc3)cc2)CC1
ZINC12704506	CC[NH+]1CCCC1CN(Cc1cc2ccc(C)c(C)c2[nH]c1=O)C(=O)NCc1ccccc1
ZINC12705582	CC[NH+]1CCCC1CN(Cc1cc2c(C)cc(C)cc2[nH]c1=O)C(=O)NCc1ccccc1
ZINC06193435	CC[NH+](CC)CCN(Cc1cc2ccc(C)c(C)c2[nH]c1=O)C(=S)Nc1ccc(F)cc1
ZINC16009686	CCN(CC)c1ccc(C2C3CCCCC3(O)CC[NH+]2CC(=O)NCc2ccco2)cc1
ZINC16009688	CCN(CC)c1ccc(C2C3CCCCC3(O)CC[NH+]2CC(=O)NCc2ccco2)cc1
ZINC20876961	COc1cc(C[NH2+]C(C)(C)C)cc(Br)c1OCC(O)c1ccc2c(c1)OCO2
ZINC20999469	CC(C)CN1CC([NH2+]Cc2ccc(N(C)C)cc2)CC1C(=O)NCCc1ccccc1F
ZINC21264082	COc1ccc(C(C)N(Cc2ccc(C)o2)C(=S)NC2CC(C)(C)[NH2+]C(C)(C)C2)cc1
ZINC22419261	CN(C)c1ccc(C(CNC(=O)NCc2ccc(F)cc2)[NH+]2CCc3ccccc3C2)cc1
ZINC23153407	COc1cccc(CCNCc2ccccc2OCC(O)C[NH+]2CCc3ccccc3C2)c1
ZINC08636258	Cn1nc(C2CCCCC2)cc1C1C[NH+]2CCC1CC2CNC(=S)Nc1cccc(C#N)c1
ZINC29836033	CSCCC(NC(=O)c1ccccc1Br)C(=O)NCC(c1cccc(F)c1)[NH+](C)C
ZINC35674748	CCC(NC(=O)NC(C)(C)C)C1c2cc(OC)c(OC)cc2CC[NH+]1Cc1ccccc1C
ZINC35674828	CCC(NC(=S)NC(C)C)C1c2cc(OC)c(OC)cc2CC[NH+]1Cc1ccccc1C
ZINC36408730	O=C(NCC(c1ccccc1Cl)[NH+]1CCCC1)C1CSC(Cc2ccccc2F)C(=O)N1
ZINC36430624	O=C(C[NH+]1CCCC1C(=O)NCc1ccco1)NC(c1ccc(F)cc1)c1cccs1
ZINC23360108	COCCNC(=O)C1CC(NCCC2=C(C)CCCC2(C)C)C[NH+]1Cc1ccc(Cl)cc1
ZINC39600552	CCCCC(C)C(=O)N1CC(C(=O)NCc2cc(F)cc(C(F)(F)F)c2)C2(CC[NH2+]CC2)C1
ZINC39652835	CCCC(C)C(=O)N1CC(C(=O)NCCc2ccc(Br)cc2)C2(CC[NH2+]CC2)C1
ZINC39654502	CCc1ccc(CCNC(=O)C2CN(C(=O)c3csc(Cl)c3OC)CC23CC[NH2+]CC3)cc1
ZINC39666022	Cc1ccc(OC(C)CNC(=O)C2CN(C(=O)c3ccc(F)c(C(F)(F)F)c3)CC23CC[NH2+]CC3)cc1
ZINC39666028	Cc1ccc(OC(C)CNC(=O)C2CN(C(=O)c3cc(F)cc(C(F)(F)F)c3)CC23CC[NH2+]CC3)cc1
ZINC39666414	CCc1ccc(C(=O)N2CC(C(=O)NCC(C)Oc3ccccc3Cl)C3(CC[NH2+]CC3)C2)cc1
ZINC39667110	COc1ccc(C(=O)N2CC(C(=O)NCCc3ccc(C)cc3C)C3(CC[NH2+]CC3)C2)cc1C(F)(F)F
ZINC39675186	COc1ccc(CCC(C)NC(=O)C2CN(C(=O)c3c(Cl)cccc3Cl)CC23CC[NH2+]CC3)cc1
ZINC39675210	COc1ccc(CCC(C)NC(=O)C2CN(C(=O)c3ccc4ccccc4c3)CC23CC[NH2+]CC3)cc1
ZINC39675328	COc1ccc(CCC(C)NC(=O)C2CN(C(=O)c3c(F)ccc(C)c3F)CC23CC[NH2+]CC3)cc1
ZINC39675447	COc1ccc(CCC(C)NC(=O)C2CN(C(=O)c3ccc(C)cc3C)CC23CC[NH2+]CC3)cc1
ZINC39677269	Cc1ccsc1CNC(=O)C1CN(C(=O)CCCc2ccccc2)CC12CC[NH2+]CC2
ZINC39683640	CCCC(C)C(=O)N1CC(C(=O)NCCc2ccccc2Br)C2(CC[NH2+]CC2)C1
ZINC39686495	COc1ccccc1CC(C)NC(=O)C1CN(C(=O)c2ccc(C(F)(F)F)c(F)c2)CC12CC[NH2+]CC2
ZINC39686752	COc1ccccc1CC(C)NC(=O)C1CN(C(=O)Cc2ccc(C)cc2)CC12CC[NH2+]CC2
ZINC39687082	CC(Cc1ccccc1F)NC(=O)C1CN(C(=O)CCCc2ccccc2)CC12CC[NH2+]CC2
ZINC40157566	CSCCC(NC(=O)c1ccccc1Br)C(=O)NCC(C)[NH+]1CCCCC1
ZINC55384939	O=C(CC1C(=O)NCCN1Cc1cccc(F)c1F)NCC1([NH+]2CCCCC2)CCCC1
ZINC59092866	COC(=O)c1ccccc1NC(=S)N(Cc1ccncc1)C1CC(C)(C)[NH2+]C(C)(C)C1
ZINC59363580	O=C(CNC(=O)c1ccc(Br)s1)NCc1ccc(C[NH+]2CCCCC2)cc1
ZINC63204647	CC(=O)Nc1ccc(CC(=O)NCC(C2=c3ccccc3=[NH+]C2)c2ccc(N(C)C)cc2)cc1
ZINC63098799	CN1CC(/C=C(\NC(=O)c2ccccc2)C(=O)NCCC2=c3ccccc3=[NH+]C2)c2ccccc21
ZINC13401178	O=C1/C(=C/NCCO)C(CSc2ccc(Cl)cc2)=NN1c1nc2ccccc2s1
ZINC13401178	O=c1c(/C=N/CCO)c(CSc2ccc(Cl)cc2)[nH]n1-c1nc2ccccc2s1
ZINC13401178	OCC/[NH+]=C/c1c(CSc2ccc(Cl)cc2)nn(-c2nc3ccccc3s2)c1O
ZINC63588932	COc1ccc(N/C(=N\C(=O)c2ccc(C)c(F)c2)NCCC2=c3ccccc3=[NH+]C2)cc1
ZINC63920253	Cc1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1C(=O)NCCC1=c2ccccc2=[NH+]C1
ZINC64231020	CC(=O)NCC1CC=C(S(=O)(=O)NCC(C2=c3ccccc3=[NH+]C2)c2ccccc2)S1
ZINC00688711	CCC(C)(C)C1CCc2c(sc(NC(=O)c3ccc(C)o3)c2C(N)=O)C1
ZINC04246373	Cc1cc(C)cc(NC(=O)COC(=O)c2cc(Br)ccc2N)c1
ZINC02135414	Cc1ccc(C(=O)NNC(=S)NC(=O)c2ccc(C(C)(C)C)cc2)cc1
ZINC01182620	COc1cccc(C(=O)NC(=S)Nc2cc(C(C)(C)C)ccc2O)c1
ZINC04993451	Cc1cccc(C)c1OC(C)C(=O)Nc1sc2c(c1C(N)=O)CCCC2
ZINC05119092	CCC1(C)Cc2ccccc2-c2nc(NN)n(CCc3ccccc3)c(=O)c21
ZINC02749185	NC(=O)CSc1nc2c(c(=O)[nH]1)C(C1CCCCC1)Cc1ccccc1-2
ZINC01088060	Cc1c(Cc2ccccc2)sc(NS(=O)(=O)c2ccccc2)c1C(N)=O
ZINC06504265	Cc1cccc(C(=O)NNC(=S)NC(=O)Cc2cccc3ccccc23)c1
ZINC07174837	CC(Sc1ccc(C(C)(C)C)cc1)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC10288610	CCC(C)Oc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1
ZINC12341997	Cc1cccc(NC(=O)c2c(N)c(C(=O)c3cccs3)n3ccccc23)c1
ZINC14460103	CCCNC(=O)c1ccc2c(c1)C1C=CCC1C(c1cccc(OC)c1O)N2
ZINC13657724	COc1cccc(/C=N/NC(=S)NC2CC3CC2C2C=CCC32)c1O
ZINC20707104	CC(C)NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccccc1O)N2
ZINC35485508	Cc1cc(C)cc(NC(=O)C(CC(C)C)NC(=O)C2Cc3ccccc3CN2)c1
ZINC36812275	CC1CCc2c(sc3nc(SC(C)C(=O)NC4CC4)nc(N)c23)C1
ZINC04904521	C/C(=C/C(=O)NC1C2CC3CC(C2)CC1C3)NNC(=O)c1ccccc1Cl
ZINC04904521	C/C(=C\C(=O)NC1C2CC3CC(C2)CC1C3)NNC(=O)c1ccccc1Cl
ZINC39396261	Cc1ccc2nc(SCC(=O)NC3Nc4c(C)cccc4S3)[nH]c2c1
ZINC39492369	CC(=O)NC(c1ccccc1)C(C(=O)c1ccccc1O)c1ccccc1O
ZINC40735394	CC1(C)CC2CC(C)(CN2c2ncnc(NCc3ccccc3Cl)c2N)C1
ZINC41222704	CC(CCc1ccc(O)cc1)NC(=O)C(=O)Nc1cc(Cl)ccc1Cl
ZINC42360487	CNC(=O)c1cccc(NC(C)C(=O)NC(C)c2ccc3ccccc3c2)c1
ZINC45440188	Cc1ccc(SCC(=O)NNC(=O)NC2CCCC(C(F)(F)F)C2)cc1
ZINC07204064	CC(C)CNC(=O)C(C)Sc1nc(N)c2c3c(sc2n1)CCCC3
ZINC45724502	CN(C(=O)Nc1ccccc1CC(N)=O)C(c1ccccc1)c1ccc(F)cc1
ZINC47037016	CC(C)C(=O)Nc1ccc(NC(=O)NCc2cc(Br)cs2)cc1
ZINC47100459	CNC(=O)c1ccc(NC(=O)NC(C)(C)c2ccc(Br)cc2)cc1
