ZINC03458097	Cc1cc(C)cc(CN2C(=O)NC3(CCC(C)CC3)C2=O)c1
ZINC39933494	CCC1(C)NC(=O)N(NC(=O)CSC2NN=C(C3=c4ccccc4=[NH+]C3)O2)C1=O
ZINC63269946	O=C(CNC(=O)CN1CNc2ccccc2C1=O)NCCC1=c2ccccc2=[NH+]C1
ZINC63328944	CC(NC(=O)C(C)N1CNc2ccccc2C1=O)C(=O)NCCC1=c2ccccc2=[NH+]C1
ZINC63780933	O=C(NCCNC(=O)C1C=c2ccccc2=[NH+]1)C(=O)NCc1ccccc1Cl
ZINC40069266	NC(=O)C1CCCN(C(=O)CSC2NN=C(C3=c4ccccc4=[NH+]C3)N2C2CC2)C1
ZINC64890555	Cc1ccc(S(=O)(=O)NC(C)C2[NH+]=C(c3ccc4c(c3)[nH]c(=O)c(=O)n4C)NO2)cc1
ZINC66834245	COC(=O)C1CCC[NH+](C(C)C(=O)NCCc2ccc(S(N)(=O)=O)cc2)C1
ZINC66875846	CC(C(=O)N1CCCC(C(N)=O)C1)[NH+]1CCC(NC(=O)CC2CCCC2)CC1
ZINC67095524	Cc1ccn2cc(CNc3ccc(S(N)(=O)=O)cc3S(C)(=O)=O)[nH+]c2c1
ZINC67460209	COc1ccc(F)c(CN2CCCC(O)(C[NH2+]CCN3CCNC3=O)C2=O)c1
ZINC02885035	COc1cc(C2CC(=O)Nc3ccc4ccccc4c32)cc(Cl)c1O
ZINC00752508	CC1CC(=O)C2=C(C1)OC(N)=C(C#N)C2c1ccc(-c2ccccc2)cc1
ZINC00752590	N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1c1ccccc1Cl
ZINC02388804	Nn1c(SCc2cccc(Cl)c2)nnc1-c1ccc(Cl)cc1
ZINC01789724	Nn1c(SCc2ccc(Cl)cc2)nnc1-c1ccc(Cl)cc1
ZINC01148549	Cc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cccnc2)cc1
ZINC00483769	CCOC(=O)C1=C(C)NC(=S)NC1c1cccc(Cl)c1Cl
ZINC02403689	CC(C)c1ccc(C(=O)CC2(O)C(=O)Nc3cc(Cl)cc(Cl)c32)cc1
ZINC02924969	Nc1c(C(=O)c2cccs2)sc2nc3c(c(-c4ccco4)c12)CCC3
ZINC02503979	CSc1ccc(C2C(C#N)=C(N)N3C(=C2C#N)Sc2ccccc23)cc1
ZINC04738098	O=C(NNC(=O)C12CC3CC(CC(C3)C1)C2)c1cc(Cl)cc(Cl)c1
ZINC02746584	O=C(N/N=C/c1c(F)c(F)c(F)c(F)c1F)c1cc(Cl)ccc1O
ZINC06058133	Cc1ccc(-c2nnc(SCc3ccccc3Br)n2N)cc1
ZINC01234490	Cc1ccc(S(=O)(=O)Nc2cc(Cl)c(O)c(Br)c2)cc1
ZINC06930255	O=S(=O)(Nc1ccccc1Cl)c1ccc2[nH]c3c(c2c1)CCCC3
ZINC08207995	Cc1cc(Cl)ccc1N1C(=O)/C(=C/c2cc(C)c(O)c(C)c2)NC1=S
ZINC10255751	NC(=O)C1Cc2ccccc2N1C(=O)Cc1ccc(-c2ccccc2)cc1
ZINC10881788	O=C(CCc1c[nH]c2ccccc12)N1CCC(c2c[nH]c3ccccc23)CC1
ZINC12290899	O=S(=O)(NNc1ccccc1)c1ccc(Br)c2ccccc12
ZINC12697931	Cc1ccc(C(=O)NNC(=O)c2cc3c(s2)CCCCCC3)s1
ZINC13016425	O=C(NCCc1ccc(F)cc1)N1CCC(c2c[nH]c3ccccc23)CC1
ZINC14458475	Cc1ccc(C2Nc3ccc(S(=O)(=O)NC(C)C)cc3C3C=CCC32)cc1
ZINC14459279	COc1cc(C2Nc3ccc(OC(C)C)cc3C3C=CCC32)ccc1O
ZINC14547987	COC(=O)c1cccc2c1NC(c1c(O)ccc3ccccc13)C1CC=CC21
ZINC15900726	CC(C)(C)C1CCC(C(=O)NNC(=O)C23CC4CC(CC(C4)C2)C3)CC1
ZINC18107056	O=C1CC(c2ccccc2)CC2=C1C(c1ccco1)Nc1ccccc1N2
ZINC20690673	COc1ccc(C2Nc3ccc(OC(C)C)cc3C3C=CCC32)cc1O
ZINC24714004	CC(C)=CC1C(C(=O)NNC(=O)C23CC4CC(CC(C4)C2)C3)C1(C)C
ZINC24714289	CC(C)=CC1C(C(=O)NNC(=O)c2cc3c(s2)CCCC3)C1(C)C
ZINC36899682	Nc1nc2cc(Br)ccc2n1-c1ccccc1OC(F)F
ZINC01438268	CC(C)c1ccc(C2C3CSCC=C3C(C#N)=C(N)C2(C#N)C#N)cc1
ZINC39503715	CCOC1CN(c2ccccc2O)C2(CCC(c3ccccc3O)C2)C1
ZINC39855514	Cc1c(C(=O)Nc2ccccc2Br)oc2c1C(O)CC(C)(C)C2
ZINC40151367	NC(=O)C1C(c2ccc(Cl)cc2)C(C(=O)c2ccccc2)C2C=CC=CN21
ZINC41081359	COC(=O)c1ccc(Oc2ccccc2I)c(N)c1
ZINC42879960	Cc1cc(I)ccc1NCc1cc2c(cc1O)OCO2
ZINC43041374	Oc1ccccc1CN1CCCC(c2[nH]ncc2-c2c(F)cccc2F)C1
ZINC43547249	NC(=O)c1cc(Cl)ccc1OC(=O)c1ccc(Br)cc1
ZINC44607945	COC(=O)C(C)C1(O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C
ZINC46619390	O=C(NCC1Cc2ccccc2O1)c1cccc2c3c([nH]c12)CCCC3
ZINC47325067	CN(Cc1ccccc1O)C(=O)Nc1ccccc1I
ZINC57297128	NC(=O)CN1CCn2c3c(c4cc(C5CCCCC5)ccc42)CCCC31
ZINC53362889	COc1ccc(C2=NC(c3ccc(C)cc3)NC(c3ccccc3O)C2)cc1
ZINC32790806	O=C1N=C(NC2CCCCC2)S/C1=C\c1ccc(O)c(Br)c1
ZINC20060228	CC[NH+](CC)c1ccc(C2Nc3ccc(C)cc3-c3cc(C)nn32)cc1
ZINC15775455	NC(=O)C1C(c2ccc(Cl)cc2)C(C(=O)c2ccccc2)C2C=CC=CN21
ZINC62824356	Nc1ccc(I)cc1-c1nc(Cc2cccs2)no1
ZINC66391696	Cc1sc2nc(C(C)NC(C)c3ccc(F)c(Cl)c3)[nH]c(=O)c2c1C
ZINC08990448	OC1=Nc2[nH]nc(-c3ccc(Cl)cc3)c2C(c2ccc(F)cc2F)C1
ZINC08990448	O=C1CC(c2ccc(F)cc2F)c2c(-c3ccc(Cl)cc3)n[nH]c2N1
ZINC67608591	Cc1ccccc1CNC(=O)N1CCC(C(O)c2ccc(Cl)cc2)CC1
ZINC01612996	CCc1c2c(nc3ccc(OC(=O)N4CCC([NH+]5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC
ZINC06149274	CCC(C)(C)n1nnnc1C(c1cc2ccc(C)cc2[nH]c1=O)[NH+](Cc1ccccc1)Cc1ccco1
ZINC09808346	CCOC(=O)C1CC[NH+](C(c2ccc([N+](=O)[O-])cc2)c2sc3nc(-c4ccco4)nn3c2O)CC1
ZINC12498351	COC(=O)C1(Cc2ccccc2)[NH2+]C(c2ccccc2C)C2C(=O)N(c3ccc4c(c3)OCO4)C(=O)C21
ZINC13063708	CCc1ccc2[nH]c(=O)c(C[NH+](C3CCCC3)C(CC)c3nnnn3Cc3ccc(OC)cc3)cc2c1
ZINC13064140	CCC(c1nnnn1C1CCCCC1)[NH+](Cc1ccc(C)cc1)Cc1cc2cc(OC)ccc2[nH]c1=O
ZINC13064299	CCC(c1nnnn1Cc1ccc(OC)cc1)[NH+](Cc1cc2ccc(OC)cc2[nH]c1=O)C1CCCCC1
ZINC13064931	CCC(c1nnnn1Cc1ccco1)[NH+](Cc1ccc(C)cc1)Cc1cc2c(C)cc(C)cc2[nH]c1=O
ZINC13064983	CCC(c1nnnn1CCc1ccccc1)[NH+](Cc1ccco1)Cc1cc2c(C)cc(C)cc2[nH]c1=O
ZINC06300642	Cc1cc(C)c2[nH]c(=O)c(C(c3nnnn3C3CCCC3)[NH+](Cc3ccccc3)Cc3ccco3)cc2c1
ZINC13495849	CCC(c1nnnn1Cc1ccco1)[NH+](CCc1ccccc1)Cc1cc2cc(C)cc(C)c2[nH]c1=O
ZINC13679213	CC(C)[NH2+]CCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21
ZINC06195653	Cc1ccc(C)c(N2CC[NH+](C(c3cc4c(C)ccc(C)c4[nH]c3=O)c3nnnn3Cc3ccccc3)CC2)c1
ZINC06195808	Cc1ccc(C)c(N2CC[NH+](C(c3cc4c(C)ccc(C)c4[nH]c3=O)c3nnnn3Cc3ccccc3)CC2)c1
ZINC16493236	O=C(/C=C/c1ccc([N+](=O)[O-])cc1)NCC[NH+]1CCN(c2nc(Cc3ccc(F)cc3)ns2)CC1
ZINC17287324	COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CC[NH+]3CC2CC(OC(=O)c2ccc(N)cc2)C1OC
ZINC17287332	COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CC[NH+]3CC2CC(OC(=O)c2ccc(N)cc2)C1OC
ZINC08670463	CCOc1ccc2nc(O)c(C[NH+](Cc3ccco3)C(CC)c3nnnn3Cc3ccccc3)cc2c1
ZINC17913449	COc1ccc(C(CNC(=O)Cc2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])cc2)[NH+](C)C)cc1
ZINC09312960	CCOc1cc(C2/C(=C(\O)c3ccc(OCC(C)C)cc3C)C(=O)C(=O)N2CCC[NH+](C)C)ccc1O
ZINC19941607	Cc1cc(C)c2[nH]c(=O)c(C(c3nnnn3C3CCCCC3)N3CC[NH+](C4CCCCC4)CC3)cc2c1
ZINC15778190	COc1ccc(Nc2c3cc(OC)ccc3n/c(=[NH+]\c3ccc(OC)cc3)n2-c2ccc(OC)cc2)cc1
ZINC35018752	CCc1c2c(nc3ccc(OC(=O)N4CCC([NH+]5CCCCC5)CC4)cc13)C1=CC3C(COC(=O)C3(O)CC)C(=O)N1C2
ZINC35646610	CCOC(=O)C1=C(C[NH+]2CCCN(C(=O)C3CCC3)CC2)N(CC)C(=O)NC1c1ccc(C)cc1C
ZINC35929059	COc1ccc(-c2nc(N3CCN(c4cccc[nH+]4)CC3)nc3nn(Cc4ccccc4)c(N)c23)c(F)c1
ZINC22798555	COc1cccc(C(c2sc3nc(-c4ccco4)nn3c2O)N2CC[NH+](Cc3ccccc3)CC2)c1
ZINC09211154	O=C(NCC1CC[NH+](Cc2ccccc2F)CC1)C1CCCN(c2ncnc3c2nc2n3CCCCC2)C1
ZINC19500648	CCC(c1nnnn1CCc1ccccc1)[NH+](Cc1ccco1)Cc1cc2c(C)ccc(C)c2[nH]c1=O
ZINC15943938	Cc1nn(C)c(C)c1S(=O)(=O)N(CC(=O)NCCC[NH+]1CC(C)CC(C)C1)c1ccc(C(C)C)cc1
ZINC39534246	CCONCC(c1ccc(S(=O)(=O)Oc2ccccc2)cc1)N1CC[NH2+]C(c2ccccc2O)C1
ZINC40984092	COc1cc(-c2nc(C[NH+]3CCC(C(=O)NCCC4=CCCCC4)CC3)c(C)o2)cc(OC)c1OC
ZINC20075950	CC[NH+](CC)Cc1c(C(=O)NN=C(/C=C/c2ccccc2)/C=C/c2ccccc2)nnn1-c1nonc1N
ZINC49632912	O=C(/N=c1\[nH]c2c(s1)C[NH+](Cc1ccccc1)CC2)c1ccc2c(c1)C(=O)N(Cc1ccco1)C2=O
ZINC20238767	CCOc1ccc(-c2ccc(/C=C3\C(=N)N4N=C(c5ccccc5C)SC4=NC3=O)o2)c([N+](=O)[O-])c1
ZINC52634536	O=C(NC(CC1=c2cccnc2=[NH+]C1)C(=O)NCC1CC(Br)=NO1)OCc1ccccc1
ZINC52635001	COc1cc2c(cc1C(=O)NCc1ccccn1)CC1=C2N=[NH+]C1c1ccc(-c2ccc(O)c(C#N)c2)cc1
ZINC17783146	O=C(/N=c1\[nH]c2ccccc2n1CC[NH+]1CCCCC1)C12CC3CC(C1)CC(n1cnc(Cl)n1)(C3)C2
ZINC59170656	CCOc1cccc2cc(C(=O)Nc3ccccc3CC)/c(=[NH+]/NS(=O)(=O)c3ccc(C)cc3)oc12
ZINC41585936	COc1cccc2cc(-c3cc(=O)oc4c(CN5CCN(c6cccc[nH+]6)CC5)c(O)ccc34)c(=O)oc12
ZINC63361801	COc1ccc(CCNC(=O)c2ccccc2N2C(=O)N3CCC4=c5ccccc5=[NH+]C4C3(C)C2=O)cc1
ZINC63362193	COc1ccc2c(c1)=C1CCN3C(=O)N(c4ccccc4C(=O)NC(C)c4ccccc4)C(=O)C3(C)C1[NH+]=2
ZINC63373399	C=CCNC(=O)c1ccccc1N1C(=O)C2CC3=c4ccccc4=[NH+]C3C(c3cccc(OC)c3)N2C1=O
ZINC63375744	COc1ccc(C2C3[NH+]=c4ccccc4=C3CC3C(=O)N(c4ccccc4C(=O)NCC(C)C)C(=O)N32)cc1
ZINC63385022	COc1ccc(-c2cc(=O)oc3cc(OCC(=O)NCCC4=c5cc(OC)ccc5=[NH+]C4)ccc23)cc1
ZINC63707956	O=C1C(CC2=c3ccccc3=[NH+]C2)N=C2c3ccccc3N=C(SCC3=CC(=O)N4C=CC=CC4N3)N12
ZINC38980009	COc1cc(OC)c(NC2[NH+]=c3ccccc3=N/C2=N\S(=O)(=O)c2cc(C)ccc2C)cc1Cl
ZINC64073376	COC(=O)c1ccc(CN(C)C(=O)C(CC2=c3ccccc3=[NH+]C2)NC(=O)OCc2ccccc2)cc1
ZINC64073377	COC(=O)c1ccc(CN(C)C(=O)C(CC2=c3ccccc3=[NH+]C2)NC(=O)OCc2ccccc2)cc1
ZINC35427200	CCOC(=O)CCNC(=O)N1Cc2c(sc3c2CC[NH+](C)C3)-n2cccc2C1c1ccc(OC)cc1
ZINC64703812	CCc1ccc(-c2nc3sc(N(C)CC(=O)NCCC(C)[NH+]4CCCC4)nn3c2NC(C)(C)C)cc1
ZINC04226126	CC(C)(C)c1ccc(C(=O)N/C(=C/c2cccc([N+](=O)[O-])c2)C(=O)NN)cc1
ZINC05067822	Nc1nc(NCC2CCCO2)nc(Nc2ccc(Cl)cc2)c1[N+](=O)[O-]
ZINC05298129	Cc1ccc(Nc2nc(N)nc(CN3C(=O)NC4(CCCCC4C)C3=O)n2)cc1
ZINC05685489	O=C(N/N=C\c1c[nH]c2ccccc12)C(=O)N/N=C/c1c[nH]c2ccccc12
ZINC05956709	COc1ccc(C2c3cc4c(cc3OC(NNC(N)=O)C2C)OCO4)cc1
ZINC07080949	Nc1nc(N)nc(CSc2nnc(Cc3cccs3)n2C2CCCCC2)n1
ZINC09229625	Cc1sc(NC(=S)NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)c(C(N)=O)c1C
ZINC08857484	Oc1ccc(Nc2nc(Nc3nccs3)nc(Nc3nccs3)n2)cc1
ZINC14151988	Cc1cc(C)c2c(N)c(C(=O)OCC(=O)NC(=O)NC3CCCCC3C)sc2n1
ZINC14232334	CNc1nnc(SCc2nc(N)nc(Nc3ccc(Cl)cc3)n2)s1
ZINC16683385	COc1ccccc1Nc1nc(N)nc(CSc2nc(-c3ccccc3F)n[nH]2)n1
ZINC16818527	Nc1nc(CSc2n[nH]c(=O)n2Cc2ccccc2)nc(Nc2ccccc2)n1
ZINC09541110	Nn1c(SCC(=O)Nc2cc(Cl)ccc2Cl)nnc1-c1[nH]nc2c1CCC2
ZINC09541110	Nn1c(SCC(=O)Nc2cc(Cl)ccc2Cl)nnc1-c1n[nH]c2c1CCC2
ZINC18162959	OCC1OC(n2cnc3c(NC4CCCCC4)cc(Cl)nc32)C(O)C1O
ZINC18333394	Nn1c(SCC(=O)Nc2ccc(O)cc2)nnc1-c1ccc(OC(F)F)cc1
ZINC18337247	CCOc1ccccc1-c1nnc(SCc2nc(N)c3ccccc3n2)n1N
ZINC05612694	C/C(=C\C(=O)Nc1cc([N+](=O)[O-])ccc1Cl)NNC(=O)c1ccccc1O
ZINC20906967	CC(C)(C)NC(=O)CSc1n[nH]c(N/N=C/c2c(O)ccc3ccccc23)n1
ZINC20913074	Nn1c(N/N=C/c2cccc3ccccc23)nnc1SCC(=O)NC1CCCCC1
ZINC21075693	COc1ccc(O)c(/C=N/Nc2nc(SCc3nc4ccccc4[nH]3)n[nH]2)c1
ZINC21317773	Nn1c(N/N=C/c2cccs2)nnc1SCC(=O)Nc1cccc2ccccc12
ZINC21318885	COc1cccc(/C=N/Nc2nnc(SCc3ccccc3Cl)n2N)c1O
ZINC21327851	Cc1ccc(Cl)cc1NC(=O)CSc1nnc(NN=C2CCCC2)n1N
ZINC04820930	COc1c(O)ccc(C2NC(=O)NC(C)=C2C(=O)Nc2ccccc2C)c1[N+](=O)[O-]
ZINC17207776	Nc1nc(Nc2ccc(Cl)cc2)nc(NCc2ccco2)c1[N+](=O)[O-]
ZINC40679715	CCN(c1ccccc1)c1ncnc(NNS(=O)(=O)c2ccc(C)cc2)c1N
ZINC40733787	CCC1CCCCN1c1ncnc(NNS(=O)(=O)c2ccc(C)cc2)c1N
ZINC41301166	CCCCNc1nc(N)c([N+](=O)[O-])c(Nc2onc3c2CC(C)CC3)n1
ZINC41301354	CC1CCc2noc(Nc3nc(NC4CCCC4)nc(N)c3[N+](=O)[O-])c2C1
ZINC41334112	CC(C)CCNc1nc(N)c([N+](=O)[O-])c(Nc2cccc3cccnc23)n1
ZINC02819757	O=C(N/N=C/c1c[nH]c2ccccc12)C(=O)N/N=C/c1c[nH]c2ccccc12
ZINC46670048	CCOC(=O)NC(C(=O)NNC(=O)c1cc(Br)c[nH]1)C(C)C
ZINC13550191	O=C(CNc1nc(Cl)nc2[nH]cnc12)NCCc1c[nH]c2ccccc12
ZINC20906614	Cc1ccc2nc(CSc3n[nH]c(N/N=C/c4cccc(O)c4)n3)[nH]c2c1
ZINC13945123	CCC(Sc1nc(N)cc(=O)[nH]1)C(=O)Nc1nc2ccc([N+](=O)[O-])cc2s1
ZINC08721487	CCCc1cc(=O)[nH]c(SCc2nc(N)nc(Nc3ccc(C)cc3)n2)n1
ZINC12500166	CCOc1ccc(/C=N/Nc2ccc(S(N)(=O)=O)cc2[N+](=O)[O-])c(O)c1
ZINC05891858	C/C(=N\NC(=O)CSc1nnc(-c2ccccc2O)n1N)c1ccc(F)cc1
ZINC06337126	Nn1c(SCCCC(=O)NN=C2CCCCC2)nnc1-c1ccccc1O
ZINC59006498	O=C(CSc1n[nH]c(N/N=C/c2c[nH]c3ccccc23)n1)Nc1ccc(F)c(F)c1
ZINC28444926	CCOc1ccc(C(c2c(O)n[nH]c2C)c2c(C)n[nH]c2O)c(OCC)c1
ZINC59385852	CC1=C(C(=O)N/N=C/c2ccc([N+](=O)[O-])cc2)C(c2ccccc2O)NC(=O)N1
ZINC59385899	CCOc1ccc(C2NC(=O)NC(C)=C2C(=O)N/N=C/c2ccc(O)cc2)cc1
ZINC59829747	C/C(=N\Nc1nnc(SCC(=O)c2ccc(C)cc2)n1N)c1ccccc1O
ZINC59830379	C/C(=N\Nc1nc(SCC(=O)Nc2c(F)cccc2F)n[nH]1)c1ccccc1O
ZINC63456276	Cc1ccc(-c2nc(CO/N=C(\N)C3=C(N)C4(CCCC4)N(C)C3=O)co2)cc1
ZINC63770021	CC(C)(C)OC(=O)NC1(CNC(=O)C2CCN(C(N)=O)CC2)CCCCCC1
ZINC67129700	CC(NC(=O)OC(C)(C)C)C(=O)NC(C)c1ccc(S(N)(=O)=O)cc1
ZINC46327580	CC(NC(=O)OC(C)(C)C)C(=O)Nc1cc(C(N)=O)ccc1N1CCCCC1
ZINC67538427	CC(NC(=O)Nc1nnc(C2CCCCC2)s1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC03640917	Cn1c(-c2ccccc2)c(/C=N/NC(=O)Cn2c(-c3nonc3N)nc3ccccc32)c2ccccc21
ZINC08645316	Nn1c(SCC(=O)Nc2ccc(Cl)cc2[N+](=O)[O-])nnc1-c1ccc(Cl)cc1Cl
ZINC08915354	O=C1NC(c2ccc(-c3cccc([N+](=O)[O-])c3)o2)C(C(=O)c2ccccc2)C(O)(C(F)(F)F)N1
ZINC09666123	Cc1ccc([N+](=O)[O-])c(NC(=O)CSc2nnc(-c3ccc(Cl)cc3Cl)n2N)c1C
ZINC09850116	NC(=S)N/N=C/c1ccc(Sc2nc(-c3ccccc3)cc(C(F)(F)F)n2)c([N+](=O)[O-])c1
ZINC10048456	Cc1ccc(-n2c(C)c(C)n3c4c(=O)n(CC(C)CNc5ccccc5N)c(=O)n(C)c4nc23)cc1
ZINC10048529	Cc1cn2c3c(=O)n(CC(C)CNc4ccccc4N)c(=O)n(C)c3nc2n1-c1cccc(Cl)c1
ZINC11087552	NC(=O)C1CN(C(=O)COC(=O)c2ccccc2Nc2ccc(OC(F)F)cc2)c2ccccc2O1
ZINC12473930	CCc1ccccc1-n1c(SCC(N)=O)nnc1-c1ccc(NS(=O)(=O)c2ccccc2)cc1
ZINC12946446	Cc1ccc(C(=O)C2C(c3ccc(-c4ccccc4[N+](=O)[O-])o3)NC(=O)NC2(O)C(F)(F)F)cc1
ZINC13039760	Cc1ccccc1OCC(=O)N(CCC1=CCCCC1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC14942361	CC(C)C(NC(=O)C12CC3CC(CC(C3)C1)C2)C(=O)NNC(=O)c1ccc(COc2ccccc2)o1
ZINC16213901	Nc1nc(CSc2nnc(Cc3cccs3)n2C2CCCCC2)nc(Nc2ccc(F)cc2)n1
ZINC16817927	CC(C)=CC(=O)Nc1scc(-c2ccccc2)c1C(=O)OCc1ccc(C(N)=O)cc1[N+](=O)[O-]
ZINC17026319	Cc1ccc(C)c(NC(=O)CSc2nnc(Cc3cc(=O)[nH]c(=O)[nH]3)n2-c2cc(C)ccc2C)c1
ZINC18188455	CCCCn1c(N)c(N(Cc2ccccc2)C(=O)COc2ccc(Cl)cc2Cl)c(=O)[nH]c1=O
ZINC18242902	CCOC(=O)C1=C(CSc2nnc(Nc3ccccc3C)s2)NC(=O)NC1c1ccco1
ZINC20905525	COC(=O)c1c(NC(=O)CSc2n[nH]c(N/N=C/c3cccc4ccccc34)n2)sc2c1CCCC2
ZINC21229386	COc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cc(OC)c(O)c([N+](=O)[O-])c2)cc1
ZINC21251655	CCOC(=O)C1=C(CSc2nnc(-c3c[nH]c4ccccc34)n2-c2cccc(C)c2)NC(=O)NC1
ZINC25460061	COC(=O)C1=C(CSc2nnc(-c3ccccc3F)n2N)N(C2CC2)C(=O)NC1c1ccccc1
ZINC29465794	Cc1ccc(-c2noc(CN(CCC(C)C)c3c(N)n(Cc4ccccc4)c(=O)[nH]c3=O)n2)cc1
ZINC32537921	Cc1c(C(=O)N(Cc2ccccc2)c2c(N)n(Cc3ccccc3)c(=O)[nH]c2=O)oc2c(F)cccc12
ZINC32849118	CC1CC(=O)Nc2ccccc2N1C(=O)COC(=O)CCNC(=O)NC12CC3CC(CC(C3)C1)C2
ZINC13784981	CC(C)c1ccc(/C=N/NC(=O)C(NC(=O)c2ccccc2)c2n[nH]c(=O)c3ccccc23)cc1
ZINC35000154	CCCCNC(=O)N1CCN(C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CC(C)(C)C)CC1C
ZINC35004543	CCCCNC(=O)N1CCN(C(=O)C(NC(=O)NC23CC4CC(CC(C4)C2)C3)C(C)CC)CC1C
ZINC22148649	COc1ccccc1-c1nnc(SC(C)c2nc3scc(-c4cccs4)c3c(=O)[nH]2)n1N
ZINC36484951	CCCCNC(=O)C(c1ccc([N+](=O)[O-])cc1)N(C(=O)c1c(O)cccc1O)c1cccc(Cl)c1
ZINC36586995	CC(C)(C)N(C(=O)c1cccc(O)c1O)C(C(=O)NC1CCCCC1)c1cc([N+](=O)[O-])ccc1Cl
ZINC36627217	CCOC(=O)C1=C(CSc2nnc(NC3CCCCC3)s2)NC(=O)NC1c1ccccc1
ZINC36812778	CCn1c(SC(C(=O)NC(N)=O)C(C)C)nnc1-c1cc(-c2ccccc2)nc2ccccc12
ZINC37360024	Nc1c2c(-c3ccc4c(c3)OCO4)nc(NCCOc3ccccc3)nc2nn1-c1ccc(Cl)cc1
ZINC12844411	CCOC(=O)C1=C(CSc2n[nH]c(/C=C/c3ccc(C)o3)n2)NC(=O)NC1c1ccc(Cl)cc1
ZINC39362624	CCOc1ccc(N2C(SCc3cc(C)ccc3C)=NNC2Cc2cc(=O)[nH]c(=O)[nH]2)cc1
ZINC39477463	CCc1ccccc1Nc1nc(N)nc(CSc2nnc(-c3ccc(Br)cc3)o2)n1
ZINC39561069	CC(OC(=O)c1nc(Cl)c(Cl)c(N)c1Cl)C(=O)Nc1cc([N+](=O)[O-])ccc1Cl
ZINC02205411	COc1ccc(CN2C(=O)c3[nH]nc(-c4cc(Cl)c(C)cc4O)c3C2c2ccc(O)c(OC)c2)cc1
ZINC40621694	O=C(NNc1ncnc(NC23CC4CC(CC(C4)C2)C3)c1[N+](=O)[O-])C(c1ccccc1)c1ccccc1
ZINC40650215	O=C(NNc1ncnc(Nc2ccc(Cl)cc2Cl)c1[N+](=O)[O-])c1ccc(Cl)cc1Cl
ZINC41020453	CCCCSc1nc2n(n1)C(c1ccc(O)c(OC)c1)C(C(=O)Nc1cccc(C)c1C)=C(C)N2
ZINC41334166	Nc1nc(N2CCN(c3ccccc3Cl)CC2)nc(Nc2cccc3cccnc23)c1[N+](=O)[O-]
ZINC45343984	CCCCn1c(N)c(N(Cc2ccccc2OC)C(=O)/C=C/c2ccc(C)cc2C)c(=O)[nH]c1=O
ZINC45509139	COc1ccc(CNC(=O)C(C)Sc2nnc(-c3ccc(C(C)(C)C)cc3)n2N)cc1OC
ZINC45599304	Cc1cccc(-n2c(SC(C)c3nc(N)nc(N(C)C)n3)nnc2-c2c[nH]c3ccccc23)c1
ZINC11263971	CN(C)c1nc(N)nc(COC(=O)c2c3c(nc4ccccc24)/C(=C/c2ccc(O)cc2)CC3)n1
ZINC58790586	CCCCN(C(=O)CN1CCCc2cc(C(C)C)ccc21)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC59020828	COc1ccc(NC(=O)CSc2n[nH]c(N/N=C(/C)c3ccc(Br)cc3)n2)c(C)c1
ZINC59310647	CCOc1ccc(NC(=O)CSc2n[nH]c(N/N=C(\C)C34CC5CC(CC(C5)C3)C4)n2)cc1
ZINC64870258	COc1ccc(Cn2c(=O)[nH]c3cc(C4NC(c5cccc(C(F)(F)F)c5)NO4)ccc3c2=O)cc1
ZINC11812904	CCCC1(C2CC[NH+](Cc3ccccc3-c3ccco3)CC2)NC(=O)N(CCC2CCC[NH+]2C)C1=O
ZINC15003055	C[NH+](C)CCN1C(=O)NC(CCc2ccccc2)(C2CCN(C(=O)C3CCC[NH+](C)C3)CC2)C1=O
ZINC15003063	C[NH+](C)CCN1C(=O)NC(CCc2ccccc2)(C2CCN(C(=O)C3CCC[NH+](C)C3)CC2)C1=O
ZINC15673526	O=C(CC1CC[NH2+]CC1Cc1cc(CSc2ccccc2)on1)N1CCN(c2cccc[nH+]2)CC1
ZINC33033383	CCN(CC[NH+](C)C)C(=O)c1ccc(N2CC[NH2+]CC2)c(NS(=O)(=O)c2ccc(C(C)C)cc2)c1
ZINC38612957	O=C(N/N=C/C1=c2ccccc2=[NH+]C1)C1CC(c2ccccc2OCc2cccc3ccccc23)[NH+]=N1
ZINC38975249	COc1ccc(CCNC2[NH+]=c3ccccc3=[NH+]/C2=N\S(=O)(=O)c2cc(C)ccc2C)cc1OC
