ZINC13807919	C[NH2+]C[C@H](O)c1cc(O)c(O)cc1F
ZINC15069342	CC1(C)C[C@@H](NC(=O)c2ccc(C[NH+]3CCC(C(O)(c4ccccc4)c4ccccc4)CC3)[nH]c2=O)CCO1
ZINC15099688	CCCCn1c(N)c(N(C(=O)C[N@H+](C)CCOc2ccccc2C)C2CCCC2)c(=O)[nH]c1=O
ZINC15103169	CCCCn1c(N)c(N(C(=O)C[N@H+](C)CCOc2cc(C)cc(C)c2)C2CCCC2)c(=O)[nH]c1=O
ZINC15451008	CC(C)CN(C(=O)C[N@@H+](C)CCCOc1ccc(F)cc1)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC09410247	CCOc1cc(C(=O)NCC(=O)N2CCC3(CC2)[NH2+]CCc2[nH]cnc23)cc(OCC)c1OCC
ZINC19534140	CCN(C(=O)C[N@H+](Cc1ccco1)Cc1cccs1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC03633054	CCC[NH+](CCC)Cc1c(C(=O)N/N=C/c2cccc(Br)c2)nnn1-c1nonc1N
ZINC21473024	CCCCN(C(=O)C[N@H+]1CCC[C@@H]1c1ccc(OC)cc1)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC22635346	CC(C)(C)[C@H]1CCc2c(sc(NC(=O)C[NH+]3CCN(CCO)CC3)c2C(=O)Nc2ccc(Cl)cc2)C1
ZINC25510896	CCc1ccccc1NC(=O)C[NH+]1CCN(C(=O)CSc2nnc(-c3ccc(C)cc3)n2N)CC1
ZINC13803999	C[N@H+](Cc1c(C(=O)N/N=C/c2ccccc2C(F)(F)F)nnn1-c1nonc1N)C1CCCCC1
ZINC03633059	CCC[NH+](CCC)Cc1c(C(=O)N/N=C/c2ccc(Br)cc2)nnn1-c1nonc1N
ZINC38688988	Nc1nonc1N1N=N[C@H](C(=O)N/N=C/C2=c3ccccc3=[NH+]C2)[C@H]1CSc1ccc(Cl)cc1
ZINC39197611	CCN(CC)S(=O)(=O)c1ccc(OC)c(NC(=O)C[N@H+]2CCc3cc(O)c(O)cc3[C@@H]2C)c1
ZINC39352507	C=C(C)CC[C@H](C)Nc1c[nH+]c2c(c1)[C@@H](NC(C)=O)[C@@H](C(=O)OC)N2CCc1c[nH]c2ccccc12
ZINC39352566	COC(=O)[C@@H]1[C@H](NC(C)=O)c2cc(NC3CCN(C(C)=O)CC3)c[nH+]c2N1CCc1c[nH]c2ccccc12
ZINC39533349	CC(C)Cc1ccc([C@H](C[N-]S(=O)(=O)Oc2ccccc2)[N@@H+]2CC[NH2+][C@H](c3ccccc3O)C2)cc1
ZINC39597572	CC(=O)Oc1ccccc1C(=O)N1C[C@@H](C(=O)NCCc2c[nH]c3ccccc23)C2(CC[NH2+]CC2)C1
ZINC39631864	COc1c(C(=O)N2C[C@H](C(=O)N[C@H](C)CCCC(C)(C)O)C3(CC[NH2+]CC3)C2)csc1Cl
ZINC39655798	COc1cc(OC)cc(C(=O)N2C[C@H](C(=O)NCCc3c[nH]c4ccc(C)cc34)C3(CC[NH2+]CC3)C2)c1
ZINC39656028	CC(=O)Oc1cccc(C(=O)N2C[C@H](C(=O)NCCc3c[nH]c4ccc(C)cc34)C3(CC[NH2+]CC3)C2)c1C
ZINC39676383	COc1cc(OC)cc(C(=O)N2C[C@@H](C(=O)NCCc3c[nH]c4ccc(Cl)cc34)C3(CC[NH2+]CC3)C2)c1
ZINC39676491	COc1ccc(OC)c(C(=O)N2C[C@@H](C(=O)NCCc3c[nH]c4ccc(Cl)cc34)C3(CC[NH2+]CC3)C2)c1
ZINC39684162	CC(=O)Oc1cccc(C(=O)N2C[C@H](C(=O)NCCc3c[nH]c4c(C)cccc34)C3(CC[NH2+]CC3)C2)c1C
ZINC39685778	COc1cc(C(=O)N2C[C@@H](C(=O)N[C@H](C(=O)NC(C)(C)C)C(C)C)C3(CC[NH2+]CC3)C2)cc(OC)c1OC
ZINC39685892	Cc1onc(-c2ccccc2)c1C(=O)N1C[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C)C(C)C)C2(CC[NH2+]CC2)C1
ZINC12531465	CN1CCC([NH2+][C@H]2CC(C)(C)[C@@H]3C[C@@](C)(O)CC[C@]23CCC(=O)NCCN2CCOCC2)CC1
ZINC40149218	CC(C)Cn1c(CCC(N)=O)nn(C[N@@H+]2CCC[C@H](C(=O)Nc3ccc(Cl)cn3)C2)c1=S
ZINC40395079	CN(C)C(=[NH2+])c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)c(N2CCCC2)c1
ZINC43227017	CCOC(=O)[C@H](CCCCNS(=O)(=O)c1ccc(C)cc1)NC(=O)c1csc([C@H]2CCC[NH2+]C2)n1
ZINC43737050	CC(=O)[C@]1(O)CC[C@@H]2[C@H]3CCC4=C/C(=N\OCC(=O)NCCc5c[nH]c[nH+]5)CC[C@@]4(C)[C@H]3CC[C@]21C
ZINC44559412	COc1ccc(-c2cc(N3CCN(c4nc(N)c5cc(OC)c(OC)cc5[nH+]4)CC3)n[nH]2)cc1OC
ZINC44714521	CCOc1ccccc1C(=O)N1C[C@@H](C(=O)NCCc2c(C)[nH]c3ccc(C#N)cc23)C2(CC[NH2+]CC2)C1
ZINC17306117	CC(C)CN(C(=O)C[N@@H+](C)[C@H](C)c1ccc(-n2cncn2)cc1)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC48365672	CC[NH+](CC)Cc1ccc(C(=O)NNC(=O)CN2C(=O)N[C@]3(CC[C@@H](C(C)(C)CC)CC3)C2=O)o1
ZINC52550766	Cc1cc(N2CCC([NH+](C)C)CC2)cc2[nH]c([C@H]3C(=O)N=CC=C3NC[C@@H](O)c3cccc(Cl)c3)nc12
ZINC39695758	COc1cc(C(=O)N2C[C@@H](C(=O)N[C@H](C)c3nc4ccc(C)cc4[nH]3)C3(CC[NH2+]CC3)C2)cc(OC)c1OC
ZINC14532499	Cc1[nH]c(CNc2cc(C(=O)Nc3ccc4c(c3)COC4)cc(S(=O)(=O)N3CCCC3)c2)c[nH+]1
ZINC62587367	CCCCCCNC(=O)[C@H]1CCC[N@@H+](CC(=O)Nc2cccc(S(=O)(=O)/N=C3/CCCN3)c2)C1
ZINC39001344	NS(=O)(=O)c1ccc(CCN[C@H]2[NH+]=c3ccccc3=N/C2=N\S(=O)(=O)c2cccc(Cl)c2)cc1
ZINC35514014	Cc1cc(C)c(S(=O)(=O)Nc2cnc(N3CC[NH2+]CC3)c(C(=O)NC[C@H]3CCCO3)c2)cc1C
ZINC64674481	CCOC(=O)C1=C(CN2C(=O)N[C@@H](CC3=c4ccccc4=[NH+]C3)C2=O)NC(=O)N[C@@H]1c1cccs1
ZINC64890614	CCn1c(=O)c(=O)[nH]c2cc(C3=[NH+][C@H]([C@@H](NS(=O)(=O)c4ccccc4)C(C)C)ON3)ccc21
ZINC64890712	CC(C)[C@H](NS(=O)(=O)c1ccccc1)[C@@H]1[NH+]=C(c2ccc3c(c2)[nH]c(=O)c(=O)n3C(C)C)NO1
ZINC64890795	CCCn1c(=O)c(=O)[nH]c2cc(C3=[NH+][C@H]([C@H](NS(=O)(=O)c4ccc(C)cc4)C(C)C)ON3)ccc21
ZINC04544092	C[C@@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1CC[C@@H]2O[C@H]1O[C@@H](C(=O)[O-])[C@@H](O)[C@@H](O)[C@H]1O
ZINC04544094	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1CC[C@@H]2O[C@H]1O[C@@H](C(=O)[O-])[C@@H](O)[C@@H](O)[C@H]1O
ZINC04544173	C[C@@]12CC[C@H]3c4ccc(O[C@H]5O[C@@H](C(=O)[O-])[C@@H](O)[C@@H](O)[C@H]5O)cc4CC[C@@H]3[C@@H]1CC[C@@H]2O
ZINC15020145	O=C([O-])[C@H]1O[C@@H](Oc2c[nH]c3ccc(Br)cc23)[C@H](O)[C@@H](O)[C@@H]1O
ZINC15205702	O=C([O-])[C@H]1O[C@@H](Oc2c[nH]c3ccc(Br)c(Cl)c23)[C@H](O)[C@H](O)[C@@H]1O
ZINC15205706	O=C([O-])[C@H]1O[C@@H](Oc2c[nH]c3cc(Cl)c(Br)cc23)[C@H](O)[C@H](O)[C@@H]1O
ZINC02389963	O=C([O-])[C@@H]1O[C@H](Oc2c[nH]c3ccc(Br)c(Cl)c23)[C@@H](O)[C@H](O)[C@H]1O
ZINC22065550	NC(=O)N1c2ccccc2C=C(O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@@H]2O)c2ccccc21
ZINC22065553	NC(=O)N1c2ccccc2C=C(O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)c2ccccc21
ZINC25719230	CCCCN(CC)c1nc(N)c2c(N)nc(SCC(=O)[O-])cc2c1C#N
ZINC26460770	Cc1ccc(S(=O)(=O)[N-]c2ccc(C(N)=O)c(C(N)=O)c2)cc1[N+](=O)[O-]
ZINC26460781	Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)[N-]c1ccc(C(N)=O)c(C(N)=O)c1
ZINC08813844	Cc1[nH]nc(O)c1C(c1cc(Br)c(O)c(Br)c1)c1c(O)n[nH]c1C
ZINC31168974	CC/C=C\C[C@@H]1[C@@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)CC[C@@H]1CC(=O)[O-]
ZINC31168978	CC/C=C\C[C@@H]1[C@H](CC(=O)[O-])CC[C@@H]1O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC31168982	CC/C=C\C[C@H]1[C@H](CC(=O)[O-])CC[C@@H]1O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC33611218	Cc1ccc(Nc2cc(O)c(N)c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)[O-])c1
ZINC19812302	Cc1n[nH]c([O-])c1[C@@H](c1cc(Br)cc(Br)c1O)c1c(C)[nH][nH]c1=O
ZINC35644043	NC(=O)N1c2ccccc2C[C@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@@H]2O)c2ccccc21
ZINC35644048	NC(=O)N1c2ccccc2C[C@@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@@H]2O)c2ccccc21
ZINC35644528	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1C[C@H](O[C@H]1O[C@@H](C(=O)[O-])[C@H](O)[C@H](O)[C@H]1O)C2=O
ZINC35644535	C[C@]12CC[C@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1C[C@H](O[C@H]1O[C@@H](C(=O)[O-])[C@H](O)[C@H](O)[C@H]1O)C2=O
ZINC20896800	O=c1[nH]c(=O)c2c(-c3c(-n4cccc4)nc([O-])[nH]c3=O)c(-c3ccc(Cl)cc3)[nH]c2[nH]1
ZINC19886021	Cc1[nH]nc([O-])c1[C@H](c1ccc(O)c(Br)c1)c1c(O)n[nH]c1C
ZINC31159075	CC1(C)CC[C@]2(C(=O)[O-])CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(CO)(CO)[C@@H]5CC[C@]43C)[C@@H]2[C@@H]1O
ZINC03830556	Cc1c(C(=O)[O-])c(O)cc2c1C(=O)c1c(O)c([C@@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)c(O)c(O)c1C2=O
ZINC39369118	CC1=C([C@H](c2ccc(O)cc2)c2c([O-])n[nH]c2C)[C@@H](O)N(c2ccccc2)N1
ZINC39560161	CC1(C)CC[C@]2(C(=O)[O-])CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(CO)(CO)[C@H]5CC[C@]43C)[C@H]2[C@@H]1O
ZINC43505199	O=C([O-])[C@@H]1O[C@@H](Oc2c[nH]c3ccc(Br)c(Cl)c23)[C@H](O)[C@@H](O)[C@H]1O
ZINC43505201	O=C([O-])[C@@H]1O[C@@H](Oc2c[nH]c3cc(Cl)c(Br)cc23)[C@H](O)[C@@H](O)[C@H]1O
ZINC43509415	C[C@@]1(Oc2c[nH]c3ccc(Br)c(Cl)c23)O[C@H](C(=O)[O-])[C@@](C)(O)[C@](C)(O)[C@]1(C)O
ZINC44020007	NC(=O)N1c2ccccc2C[C@@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)c2ccccc21
ZINC44963537	C[C@@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1C[C@H](O[C@H]1O[C@@H](C(=O)[O-])[C@H](O)[C@@H](O)[C@H]1O)C2=O
ZINC33949394	Cc1c2c(c(O)c3c(O)cccc13)C(=O)O[C@@H]2[C@@H]1[C@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@@H]1[O-]
ZINC28630632	Cc1c2c(c(O)c3c(O)cccc13)C(=O)O[C@H]2[C@H]1[C@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@@H]1[O-]
ZINC20755667	O=C([O-])c1ccc(-n2c([O-])c([C@H]3[NH2+]CCc4c3[nH]c3ccccc43)c(=O)[nH]c2=O)cc1
ZINC09054040	Cn1c(N)c(-c2c(-c3ccc(C4CCCCC4)cc3)[nH]c3c2c([O-])nc(=O)n3C)c(=O)[nH]c1=O
ZINC54621945	Cc1cccc(NC(=O)[C@H]2[C@@H](c3ccc(O)cc3)/C(=C(\[O-])Nc3cccc(C)c3C)C(=O)C[C@]2(C)O)c1C
ZINC54621949	Cc1ccc(C)c(NC(=O)[C@H]2[C@@H](c3ccc(O)cc3)/C(=C(\[O-])Nc3cc(C)ccc3C)C(=O)C[C@]2(C)O)c1
ZINC54621957	Cc1cccc(NC(=O)[C@H]2[C@@H](c3cccc(O)c3)/C(=C(\[O-])Nc3cccc(C)c3C)C(=O)C[C@]2(C)O)c1C
ZINC12532911	O=C([O-])c1ccccc1NS(=O)(=O)c1ccc(N/N=C/c2cccc(O)c2O)c([N+](=O)[O-])c1
ZINC22607481	Cc1ccc(/N=C(/N)NC2=N[C@H](CC(=O)Nc3cc(C)cc(C)c3)C([O-])=N2)cc1
ZINC40376536	Cc1ccc(/N=C(/N)NC2=N[C@H](CC(=O)Nc3ccc(C)cc3C)C([O-])=N2)cc1
ZINC63272194	CCc1ccc(C2=N[C@@H]3NC(=O)N=C([O-])[C@@H]3[C@@H]2[C@H]2C(=O)NC(=O)N=C2N)s1
ZINC64219734	CC(=O)N[C@H]1[C@H](O)O[C@](Br)(CO)[C@]([O-])(Cl)[C@@]1(O)n1ccc2ccccc21
ZINC64417335	CCc1ccc(C2=Nc3nc([O-])[nH]c(=O)c3[C@H]2[C@@H]2C(=O)NC(=O)N=C2N)s1
ZINC65735127	C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O[C@@H]1O[C@@H](C(=O)[O-])[C@@H](O)[C@@H](O)[C@H]1O
ZINC65735197	Cc1c(C(=O)[O-])c(O)cc2c1C(=O)c1c(O)c(O)c([C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)c(O)c1C2=O
ZINC65740782	C#C[C@@]1(O[C@H]2O[C@@H](C(=O)[O-])[C@@H](O)[C@@H](O)[C@H]2O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
ZINC65740785	C#C[C@@]1(O[C@H]2O[C@@H](C(=O)[O-])[C@@H](O)[C@@H](O)[C@@H]2O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
ZINC00448802	Cc1cccc(NC(=[NH2+])Nc2nc(C(F)(F)F)cc(=O)[nH]2)c1C
ZINC03056554	O=C(C[C@H]1[NH2+]CCNC1=O)N/N=C/c1c(O)ccc2ccccc12
ZINC01576720	[NH3+][C@H](Cc1ccc(O)cc1)C(=O)N/N=C/c1ccc2c(c1)OCO2
ZINC11754622	Cc1cc(Cl)ccc1NC(=O)[C@@H]([NH3+])Cc1c[nH]c2ccccc12
ZINC11754676	Cc1ccc(Cl)cc1NC(=O)[C@@H]([NH3+])Cc1c[nH]c2ccccc12
ZINC12799998	CC(C)CC[NH2+]CC(=O)Nc1sc2c(c1C(N)=O)CCCC2
ZINC20452144	Nc1nc(CCNC(=O)c2ccc([C@@H]3CCC[NH2+]3)s2)cs1
ZINC16955314	CC1(C)[NH+]=C(N)N=C(N)N1c1ccc(OCc2cccc(C#N)c2)c(Cl)c1
ZINC31964976	Cc1ccc(NC(=O)/C=C/c2ccc(F)cc2)c(NC(=O)C[NH3+])c1
ZINC31964981	Cc1ccc(/C=C/C(=O)Nc2ccc(C)cc2NC(=O)C[NH3+])cc1
ZINC32086712	C[N@H+](CCO)[C@H](C[NH3+])c1cc(Cl)cc(Br)c1[O-]
ZINC32088112	Cc1cccc(N2CCN([C@H](C[NH3+])c3ccc(O)cc3O)CC2)c1
ZINC32652127	C[C@H]1CCCC[C@H]1NC(=O)NC(=O)C[NH+]1CCC(C(N)=O)CC1
ZINC33461793	COc1cc([C@H](C[NH3+])N(C)c2ccc(O)cc2)cc(Cl)c1O
ZINC34792278	COc1ccc(Br)cc1-c1[nH][nH]c(=O)c1CCC[NH3+]
ZINC05929579	CCOC(=O)c1sc2nc(CSC(N)=[NH2+])[nH]c(=O)c2c1C
ZINC35645907	OC[C@H]1[C@@H](O)[C@@H](O)[C@H](O)C[N@@H+]1CCCCCCOCC(F)(F)F
ZINC40167864	[NH3+]CCCCCCNC(=S)N[C@@H]1CS(=O)(=O)C[C@@H]1Cl
ZINC40674944	Cc1ccc(OC[C@H](O)C[NH2+]C(C)(C)C(N)=O)c(Br)c1
ZINC40688458	CCc1ccc(Nc2ncnc(NN3CC[NH+](C)CC3)c2N)cc1
ZINC40702798	Cc1ccc(Nc2ncnc(NN3CC[NH+](C)CC3)c2N)cc1C
ZINC40737265	[NH3+]CCc1ccc(S(=O)(=O)NCCc2ccc(O)cc2)s1
ZINC40756300	Cc1ccc(Nc2ncnc(NCC[NH+]3CCCCC3)c2N)cc1
ZINC40798919	Cc1ccc(Nc2nc[nH+]c(Nc3cccnc3Cl)c2N)nc1
ZINC40802759	Cc1ccc(N[C@@H]([NH3+])N/N=N/c2nc3ccc(C)cc3s2)cc1
ZINC43147382	C[NH+](C)C1(CNC(=O)NNC(=S)NC2CCCC2)CCCC1
ZINC43262405	NC(=O)[C@H]1CCCCN1[C@H](C[NH3+])c1ccc(Br)s1
ZINC44253819	Cc1ccc(Sc2nc3sccn3c2[C@H]([NH3+])CC(N)=O)cc1
ZINC44289741	CCC[NH2+]CC(=O)Nc1cc2[nH]c(=O)[nH]c2cc1Br
ZINC44463776	COc1cc(C[C@@H]([NH3+])CO)cc(I)c1O
ZINC45070957	NS(=O)(=O)CCC[NH2+]Cc1cccc(Br)c1O
ZINC48794729	NS(=O)(=O)c1ccc(C[NH2+]Cc2cccc(Br)c2O)cc1
ZINC48834956	C[C@]([NH2+]CC[NH3+])(C(=O)[O-])c1cc2cc(Br)ccc2o1
ZINC51099001	Cc1ccc(C(=O)NC2CC[NH+](CC(=O)NC(N)=O)CC2)s1
ZINC52819971	C[C@@H](c1nc(N)nc(Nc2ccccc2)n1)[NH+]1CCC(CO)CC1
ZINC53055789	COc1ccc2[nH]cc(C3=CC[N@H+](CC(=O)NC(N)=O)CC3)c2c1
ZINC54133357	NNc1ncc(Br)cc1C(=O)NCC[NH+]1CCCC1
ZINC57802246	COc1ccc(-c2nc3cc(C)c(C)cc3n2CCC[NH3+])cc1N
ZINC57802249	COc1ccc(-c2nc3cc(C)c(C)cc3n2[C@@H](C)C[NH3+])cc1N
ZINC57804039	CC[C@H]([NH3+])Cn1c(-c2ccc(N)cc2)nc2cc3c(cc21)OCO3
ZINC57804740	Nc1ccc(-c2nc3cc4c(cc3n2CCC[NH3+])OCCO4)cc1
ZINC57897355	CCCOc1ccc(CCC[NH2+]CCc2ccc(O)cc2)cc1N
ZINC62012777	C[N@@H+](CCNC(=O)c1cc(Br)cnc1NN)C1CC1
ZINC62702806	NS(=O)(=O)CCC[NH2+]Cc1ccc(O)c(Br)c1
ZINC62777445	CCC[NH2+][C@@H](c1cc[nH]n1)c1cc2[nH]c(=O)[nH]c2cc1Br
ZINC65409204	Nc1nc(NCCO)cc(N2CCC3=c4ccccc4=[NH+][C@@H]3C2)n1
ZINC65963376	NC(=O)NC(=O)CC[NH+]1CCC(NC(=O)C2CCCCC2)CC1
ZINC65965034	C[C@H](C(=O)NC(N)=O)[NH+]1CCC(C(=O)NC2CCCCC2)CC1
ZINC66599143	CC1(CNC(=O)NCCC[N@@H+]2CCC[C@H](C(N)=O)C2)CCCC1
ZINC66886348	NC(=O)NC(=O)C[NH+]1CCC(NC(=O)CC2CCCCC2)CC1
ZINC03838760	CCNC(=S)N[C@@H]1C=C(C(=O)NCC(N)=O)C[C@@H](O)[C@@H]1O
ZINC03905381	Cc1c(C)n(C[C@@H](O)C[NH2+]C(CO)(CO)CO)c2ccccc12
ZINC02254701	C[C@H](Sc1nnc(S[C@@H](C)C(=O)NN)s1)C(=O)NN
ZINC04610621	COC(=O)CCCC[C@@H]1SC[C@@H](NC(N)=O)[C@@H]1NC(N)=O
ZINC04807827	CCCCC(C[C@@H](O)COCC(C)C)(C(=O)NN)C(=O)NN
ZINC01638892	Cc1cc(CO)c(O)c(C[NH2+]Cc2cc(C)cc(CO)c2O)c1
ZINC02240175	NC(=O)CCN(CCC(N)=O)S(=O)(=O)c1ccc(N)cc1
ZINC14512194	OC[C@H]1O[C@H](OCCc2ccc(O)c(O)c2)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC16478070	OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1NN=C(c2ccccc2)S1
ZINC04916661	C/C(CCCCCCCC/C(C)=N/NC(N)=S)=N/NC(N)=S
ZINC20922166	NNc1nnc(SCCC(=O)Nc2ccccc2[N+](=O)[O-])n1N
ZINC22047799	OC[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)/C=N/Nc1nncc2ccccc12
ZINC22047808	OC[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)/C=N/Nc1nncc2ccccc12
ZINC33521095	CC(C)(C)[C@@H]1CCc2c(sc(NC(=O)CCC[NH3+])c2C(N)=O)C1
ZINC33521135	CC(C)(C)[C@@H]1CCc2c(sc(NC(=O)CC[NH3+])c2C(N)=O)C1
ZINC34165726	OC[C@@H]1O[C@@H](OCCc2ccc(O)c(O)c2)[C@@H](O)[C@H](O)[C@@H]1O
ZINC35636258	OC/C(=N\Nc1nncc2ccccc12)[C@@H](O)[C@H](O)[C@H](O)CO
ZINC37658465	NC(=O)CCCNc1c(N)c[nH+]c2ccc(Br)cc12
ZINC37660687	NNc1ccc(S(=O)(=O)NCCCC(N)=O)cc1[N+](=O)[O-]
ZINC37660688	NNc1ccc([N+](=O)[O-])cc1S(=O)(=O)NCCCC(N)=O
ZINC13340466	OCCc1ccc(O)c(O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)c1
ZINC37930061	NNc1ccc([N+](=O)[O-])c(S(=O)(=O)NCCCC(N)=O)c1
ZINC37934027	CC(C)[NH+](CCNc1cc(N)cc(S(N)(=O)=O)c1)C(C)C
ZINC38748399	Cc1ccc(C2=C[C@H]([C@@H]3NN[C@H](SCC(N)=O)N3N)N=N2)cc1
ZINC38748400	Cc1ccc(C2=C[C@@H]([C@@H]3NN[C@H](SCC(N)=O)N3N)N=N2)cc1
ZINC38971155	CCCCS[C@H]1NN[C@@H]([C@@H]([NH3+])Cc2c[nH]c3ccccc23)O1
ZINC39016295	CC(C)=CCS[C@@H]1NN[C@H]([C@@H]([NH3+])Cc2c[nH]c3ccccc23)O1
ZINC39016300	CC(C)=CCS[C@H]1NN[C@@H]([C@@H]([NH3+])Cc2c[nH]c3ccccc23)O1
ZINC16887388	CCOC(=O)[C@H](C)C(/C(C)=N/NC(N)=O)/C(C)=N/NC(N)=O
ZINC40688460	CCc1ccc(Nc2[nH+]cnc(NNc3ccccc3)c2N)cc1
ZINC40702802	Cc1ccc(Nc2[nH+]cnc(NNc3ccccc3)c2N)cc1C
ZINC40704480	Cc1ccc(C)c(Nc2[nH+]cnc(NNc3ccccc3)c2N)c1
ZINC40706527	CCCCNc1ncnc(NC2CC(C)(C)[NH2+]C(C)(C)C2)c1N
ZINC40760926	CC[C@H](C)Nc1ncnc(NC2CC(C)(C)[NH2+]C(C)(C)C2)c1N
ZINC40767681	Nc1cc(NCC[NH+]2CCCCCC2)cc(S(N)(=O)=O)c1
ZINC40771457	CC1CC[NH+](CCNc2ccc(S(N)(=O)=O)cc2N)CC1
ZINC40771589	CC1CC[NH+](CCNc2cc(N)cc(S(N)(=O)=O)c2)CC1
ZINC43258310	CC[C@H]([NH3+])[C@H](Sc1nc(N)cc(=O)[nH]1)c1ccc(Cl)s1
ZINC43258316	CC[C@H]([NH3+])[C@@H](Sc1nc(N)cc(=O)[nH]1)c1ccc(Cl)s1
ZINC44474080	N[C@H](C[NH3+])c1cn(C[C@H]([O-])[NH+]2CCCCCC2)c2ccccc12
ZINC44474082	N[C@H](C[NH3+])c1cn(C[C@@H]([O-])[NH+]2CCCCCC2)c2ccccc12
ZINC44474088	N[C@@H](C[NH3+])c1cn(C[C@@H]([O-])[NH+]2CCCCCC2)c2ccccc12
ZINC44474237	Cc1c([C@@H](N)C[NH3+])c2ccccc2n1C[C@H]([O-])[NH+]1CCCCCC1
ZINC44549166	N/C(CCn1c(=S)n(CC/C(N)=N/O)c2cnccc21)=N\O
ZINC45089240	NC(=S)c1c[nH+]c2ccccc2c1NCCCS(N)(=O)=O
ZINC45110443	CC(C)(NS(=O)(=O)c1ccc(NN)c([N+](=O)[O-])c1)C(N)=O
ZINC59378880	CN(CNc1ccccc1O)[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O
ZINC61807227	Cc1ccc(N)c(S(=O)(=O)N(CC(N)=O)CC(N)=O)c1C
ZINC61807311	NC(=O)CN(CC(N)=O)S(=O)(=O)c1cc(N)c(F)cc1Cl
ZINC63664871	CCC[C@@H](NC(N)=O)C(=O)NNC(=S)NC1CCCCC1
ZINC02453828	NC(=O)c1ccccc1NCc1c(C(=O)N/N=C/c2ccco2)nnn1-c1nonc1N
ZINC04783044	CC[NH+](CC)Cc1cc([C@](O)(CC)[C@@](O)(CC)c2ccc(O)c(C[NH+](CC)CC)c2)ccc1O
ZINC01727083	Cc1cc(NCCCCCCNc2cc(C)[nH+]c3ccc(N)cc23)c2cc(N)ccc2[nH+]1
ZINC09913674	NNC(=O)c1nnn(CC(=O)N2N=C(c3ccco3)C[C@H]2c2ccco2)c1C(=O)NN
ZINC12504521	O=[N+]([O-])c1ccc(O[C@@H]2O[C@H](CS[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)cc1
ZINC13081229	O[C@@H](C[NH2+]Cc1ccccn1)COc1ccc(OC[C@H](O)C[NH2+]Cc2ccccn2)cc1
ZINC06475564	O[C@@H](C[NH2+]Cc1ccccn1)COc1ccc(OC[C@@H](O)C[NH2+]Cc2ccccn2)cc1
ZINC06475567	O[C@H](C[NH2+]Cc1ccccn1)COc1ccc(OC[C@H](O)C[NH2+]Cc2ccccn2)cc1
ZINC15230573	COc1ccc2nc(/C=N/Nc3nc4c(N)ncnc4n3[C@@H]3O[C@@H](CO)[C@@H](O)[C@@H]3O)ccc2c1
