ZINC01637789	CCOP1(=O)CC(C)=C(Cl)C(OC)C1
ZINC21232381	CCCOc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccccc2Cl)C3)cc1OC
ZINC21234575	COc1cccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccccc2Cl)C3)c1OC(C)C
ZINC21243694	COc1ccc(OC)c(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccc(C(C)(C)C)cc2)c1
ZINC21243713	COc1ccc(OC)c(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccc(C(C)(C)C)cc2)c1
ZINC21244209	CCCOc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(CC)cc2)C3)cc1OC
ZINC33379151	CC(C)(C)NC(=O)c1c(NC(=O)c2ccccc2Br)sc2c1CCC(C(C)(C)C)C2
ZINC33720213	CC(C)NC(=O)c1c(NC(=O)c2ccccc2Br)sc2c1CCC(C(C)(C)C)C2
ZINC33810210	Cc1ccc(CSc2nc3c(c(=O)[nH]2)C(c2ccccc2Br)C2=C(CCCC2=O)N3)cc1
ZINC35391984	COc1ccccc1NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1cccc(Br)c1)N2
ZINC35450409	CCC(C)Sc1nc2c(c(=O)[nH]1)C(c1ccc(Cl)c(Cl)c1)C1=C(CC(C)(C)CC1=O)N2
ZINC35451069	CCCCSc1nc2c(c(=O)[nH]1)C(c1ccc(Cl)c(Cl)c1)C1=C(CC(C)(C)CC1=O)N2
ZINC36481449	CC1C(C(=O)N(c2cccc(Cl)c2)C(C(=O)NC(C)(C)C)c2ccc(O)cc2)CC2CC1C2(C)C
ZINC36482887	O=C(NC1CCCCC1)C(c1ccc(O)cc1)N(C(=O)c1ccc(Cl)cc1)c1cccc(Cl)c1
ZINC38651324	N#CC1=C(N)Oc2cc(OC(=O)/C=C/c3ccc(Cl)cc3Cl)ccc2C1c1ccc(Cl)cc1
ZINC38679595	Cc1ccc(/C=C/C(=O)Oc2ccc3c(c2)OC(N)=C(C#N)C3c2c(Cl)cccc2Cl)cc1
ZINC38679602	N#CC1=C(N)Oc2cc(OC(=O)/C=C/c3ccccc3Cl)ccc2C1c1c(Cl)cccc1Cl
ZINC38700472	Cc1ccc2c(Cl)c(C(=O)Oc3ccc4c(c3)OC(N)=C(C#N)C4c3cccc(F)c3)sc2c1
ZINC40476225	Cc1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3nc(SCc4ccc(F)cc4)[nH]c(=O)c32)s1
ZINC43743565	C#CC1(O)CCC2C3CCC4=C/C(=N/OCC(=O)NCC5CCCCC5)CCC4(C)C3CCC21C
ZINC21357059	CN1/C(=C/Cc2ccccc2NS(=O)(=O)c2ccc(Br)s2)Nc2ccccc21
ZINC12429161	O=C(NCC12CC3CC(CC(C3)C1)C2)c1cnn2c1NC(c1ccc(F)cc1)CC2C(F)(F)F
ZINC58846576	Cc1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(OC(C)C)cc2)N3)cc1C
ZINC58846716	Cc1cc(C)cc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(OC(C)C)cc2)N3)c1
ZINC58847754	O=S(=O)(Nc1cc(Cl)ccc1Cl)c1ccc2c(c1)C1C=CCC1C(c1ccccc1F)N2
ZINC58848562	CCOc1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2cc(C)ccc2C)N3)cc1
ZINC58849049	CCOc1ccccc1NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1cc(C)ccc1C)N2
ZINC58850292	COc1ccccc1NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1c(F)cccc1Cl)N2
ZINC58916723	C/C(=N\NC(=O)CSCc1ccccc1C)c1ccc2c(c1)C1C=CCC1C(c1ccc(F)cc1)N2
ZINC12559597	O=C1NC(c2ccccc2)=C(c2nc3ccccc3s2)C(c2cccc(Oc3ccccc3)c2)N1
ZINC32116665	O=C(Nc1ccc2oc(-c3ccc(O)c(Br)c3)nc2c1)C(c1ccccc1)c1ccccc1
ZINC04047623	COc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cccc(Cl)c2Cl)cc1
ZINC05218493	Cc1ccc2c(c1)NC(c1cccc(OC(F)(F)F)c1)C1=C(CC(C)(C)CC1=O)N2
ZINC06029707	Cc1ccc(C(=O)Nc2sc3c(c2C(=O)NC(C)C)CCC(C(C)(C)C)C3)cc1
ZINC06504248	Cc1cccc(C(=O)NC(=S)Nc2sc3c(c2C#N)CCC(C(C)(C)C)C3)c1
ZINC02192347	CC1(C)CC(=O)C2=C(C1)N(c1c(F)cccc1F)C(N)=C(C#N)C2c1ccc(C(C)(C)C)s1
ZINC01077009	O=C1CC(c2cccs2)CC2=C1C(c1ccc(Cl)c(Cl)c1)Nc1ccccc1N2
ZINC09152908	Cc1ccc(-c2n[nH]c3c2C(c2cccc(Br)c2)C2=C(CC(C)(C)CC2=O)N3)cc1
ZINC09251101	CC(NC(=O)Nc1ccccc1Br)c1c(-n2cccc2)sc2c1CCCC2
ZINC09519981	Cc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccc(Br)cc2)cc1
ZINC12661686	COc1cccc(/C=N/CC2(O)CCC3C4CCC5CCCCC5(C)C4CCC32C)c1O
ZINC06284036	CCc1ccc(C2C(C#N)=C(N)N(c3ccc(C)c(Cl)c3)C3=C2C(=O)CC(C)(C)C3)s1
ZINC02217720	S=C1NC(c2ccc(Cl)cc2Cl)N2C(=S)NC(c3ccc(Cl)cc3Cl)N12
ZINC14458248	Cc1ccc(C2Nc3ccc(S(=O)(=O)Nc4ccc(C)c(C)c4)cc3C3C=CCC32)cc1
ZINC14458422	Cc1ccc(C2Nc3ccc(S(=O)(=O)Nc4cc(C)cc(C)c4)cc3C3C=CCC32)cc1
ZINC14467893	Oc1c(Cl)cc(Cl)cc1C1Nc2c(OCC3CCCO3)cccc2C2C=CCC21
ZINC14546716	CC(C)(C)NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1c(Cl)cccc1Cl)N2
ZINC14549253	CC(C)NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1c3ccccc3cc3ccccc13)N2
ZINC14552460	Cc1ccccc1C(=O)Nc1ccc2c(c1)C1C=CCC1C(c1ccc3ccccc3c1)N2
ZINC14552499	COc1ccc2ccccc2c1C1Nc2ccc(NC(=O)c3ccccc3C)cc2C2C=CCC21
ZINC20509425	OC(c1ccccc1)(c1ccccc1)C1CCN(C(=S)Nc2ccc(F)c(Cl)c2)CC1
ZINC20701889	Oc1c(Cl)cc(Cl)cc1C1Nc2c(OCC3CCCO3)cccc2C2C=CCC21
ZINC20701901	CC1CCN(C(=O)c2ccc3c(c2)C2C=CCC2C(c2cc(Cl)cc(Cl)c2O)N3)CC1
ZINC20752067	Oc1ccc2ccccc2c1C1Nc2ccc(OCC3CCCO3)cc2C2C=CCC21
ZINC20769450	Cc1ccccc1C(=O)Nc1ccc2c(c1)C1C=CCC1C(c1ccc3ccccc3c1)N2
ZINC20881966	O=C1CC(c2cccs2)CC2=C1C(c1c(Cl)cccc1Cl)Nc1ccccc1N2
ZINC20882092	COc1cccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cccc(Cl)c2Cl)c1
ZINC20883897	Cc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccccc2Br)cc1
ZINC21222710	COc1cccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2c(Cl)cccc2Cl)c1
ZINC21222717	COc1cccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2c(Cl)cccc2Cl)c1
ZINC21224418	COc1ccccc1C1CC(=O)C2=C(C1)Nc1ccccc1NC2c1c(F)cccc1Cl
ZINC21233751	CC(C)Oc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(F)cc2)C3)cc1
ZINC21234129	COc1cccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccccc2Br)c1
ZINC21236155	COc1ccccc1C1CC(=O)C2=C(C1)Nc1ccccc1NC2c1ccc(Br)cc1
ZINC21238484	CCOc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cccc(Cl)c2)cc1
ZINC21240935	O=C1CC(c2cccs2)CC2=C1C(c1cccc(Oc3ccccc3)c1)Nc1ccccc1N2
ZINC21252696	CC(C)Oc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccccc2F)cc1
ZINC21254544	CN(C)c1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2c(F)cccc2Cl)cc1
ZINC22704779	CC1CCc2c(sc(NC(=S)NC(=O)c3cc(Br)ccc3Cl)c2C#N)C1
ZINC32892073	CC(C)C(NC(=O)C12CC3CC(CC(C3)C1)C2)C(=O)NC12CC3CC(CC(C3)C1)C2
ZINC14457602	Cc1cc(C)c(C2Nc3ccc(S(=O)(=O)Nc4ccccc4)cc3C3C=CCC32)c(C)c1
ZINC39324385	CN1CC2=C(OC(N)=C(C#N)C2c2ccccc2Cl)/C(=C/c2ccccc2Cl)C1
ZINC39503687	Oc1ccccc1C1CCC2(CC(I)CN2c2ccccc2O)C1
ZINC39503689	Oc1ccccc1C1CCC2(CC(I)CN2c2ccccc2O)C1
ZINC54620367	Cc1ccc2ccc(C(Nc3cc(Cl)c(Cl)cc3Cl)c3ccccc3)c(O)c2n1
ZINC58845599	O=S(=O)(Nc1ccccc1)c1ccc2c(c1)C1C=CCC1C(c1c(Cl)cccc1Cl)N2
ZINC59372122	Oc1c(C(Nc2ccc(Br)cc2)c2ccc(Cl)cc2)ccc2cccnc12
ZINC59489209	CC12CCC(O)CC1=CCC1C2CCC2(C)C(O)/C(=C\c3ccc(OC(F)F)cc3)CC12
ZINC35718160	CC12CCC(O)CC1=CCC1C2CCC2(C)C(O)/C(=C\c3ccc(OC(F)(F)F)cc3)CC12
ZINC15947826	CC1CCc2c(sc3c2C(O)=NC(c2ccc(-c4cc(Cl)cc(Cl)c4)o2)N3)C1
ZINC15947828	CC1CCc2c(sc3c2C(O)=NC(c2ccc(-c4cc(Cl)cc(Cl)c4)o2)N3)C1
ZINC03849770	CC12CCC3C(CCC4CC(CC(=O)[O-])CCC43C)C1CCC2O
ZINC04030194	O=C([O-])c1cccc2c1NC(C1CC=CCC1)C1CC=CC21
ZINC04123692	O=C([O-])c1ccc2c(c1)C1C=CCC1C(c1ccccc1F)N2
ZINC04140509	Cc1cc(C)c2c(c1)C1C=CCC1C(c1ccc(C(=O)[O-])cc1)N2
ZINC04140513	Cc1ccc2c(c1C)NC(c1ccc(C(=O)[O-])cc1)C1CC=CC21
ZINC03904806	Cc1c(C(=O)[O-])ccc2c1NC(c1cccc3ccccc13)C1CC=CC21
ZINC04690191	Cc1c(Cl)ccc2c1NC(c1ccc(C(=O)[O-])cc1)C1CC=CC21
ZINC04722544	CCC(CC)C1Nc2c(C(=O)[O-])cc(Cl)cc2C2C3CCC(C3)C12
ZINC04892877	CC1=C(C)CC(C(=O)Nc2ccc(F)c(Cl)c2)C(C(=O)[O-])C1
ZINC05811831	Cc1cc(C)c2c(c1)C1C=CCC1C(c1ccc(C(=O)[O-])cc1)N2
ZINC00307913	CC(C)(C)c1oc2cc(Br)c(O)cc2c1C(=O)[O-]
ZINC05064796	O=C([O-])c1cccc2c1NC(c1ccccc1F)C1C3CCC(C3)C21
ZINC12468422	O=C([O-])c1ccc(C2Nc3c(Br)cccc3C3C=CCC32)cc1
ZINC12628209	Cc1c(Cl)ccc2c1NC(c1ccc(C(=O)[O-])cc1)C1CC=CC21
ZINC13469879	O=C([O-])C1CC=CCC1C(=O)Nc1c(Cl)c(Cl)cc(Cl)c1Cl
ZINC13469882	O=C([O-])C1CC=CCC1C(=O)Nc1c(Cl)c(Cl)cc(Cl)c1Cl
ZINC14944202	O=C([O-])c1cccc2c1NC(c1ccc(F)cc1F)C1C3CCC(C3)C21
ZINC15081483	O=C1CC(c2cccc(F)c2)c2sc(C(=O)[O-])c(-c3ccc(F)cc3)c2N1
ZINC15107222	O=C1CC(c2cccc(F)c2F)c2sc(C(=O)[O-])c(-c3ccccc3)c2N1
ZINC20018453	[O-]c1c(Cl)cc(Cl)cc1CNc1ccc(Cl)c(Cl)c1
ZINC22054354	[O-]c1nc2c(C(O)(C#CC3CC3)C(F)(F)F)cc(Cl)cc2o1
ZINC23115395	CCC1=NC(c2cc(Cl)cc(Cl)c2[O-])N(O)C1(C)C
ZINC23115397	CCC1=NC(c2cc(Cl)cc(Cl)c2[O-])N(O)C1(C)C
ZINC32121218	COc1ccc(C2Nc3c(Cl)cc(C(=O)[O-])cc3C3C=CCC32)cc1
ZINC31991043	O=C([O-])c1cccc2n[nH]c(-c3ccc4c(c3)CCCC4)c12
ZINC13466866	CC12CC(C(=O)C(F)(F)F)=C([O-])C=C1CCC1C2CCC2(C)C(O)CCC12
ZINC36177703	CCC(CC)C(O)(CC(=O)[O-])c1ccc2c(c1)CCCC2
ZINC01068557	O=C(NC1=Nc2cccc3cccc(c23)[N-]1)c1ccccc1
ZINC37960254	O=C([O-])C1(Nc2ccc(Br)cc2)CCCc2ccccc21
ZINC39273444	[O-]C1=NC(=S)N=C2NC(c3ccccc3)=CC(c3cccc4ccccc34)C12
ZINC39887484	Cc1ccc(N2C([S-])=C(C#N)C(=O)NC2c2ccccc2Cl)c(C)c1
ZINC40147950	Cc1ccc(C)c(N2C([S-])=C(C#N)C(=O)NC2c2cccc3ccccc23)c1
ZINC40147959	Cc1ccc(N2C([S-])=C(C#N)C(=O)NC2c2cccc3ccccc23)c(C)c1
ZINC41768371	CC(Nc1c(F)cccc1F)(C(=O)[O-])c1cccc(Br)c1
ZINC41989653	CC(Sc1ccc(O)cc1)(C(=O)[O-])c1ccc(F)c(Cl)c1
ZINC43726531	CC12CCC3C(CCC4CC(CC(=O)[O-])=CCC43C)C1CCC2O
ZINC48554902	N#C/C(C(=O)NC1CCCC1)=C(\[O-])c1ccc(I)cc1
ZINC48555260	N#C/C(C(=O)NC1CCCC1)=C(\[O-])c1ccc(Br)s1
ZINC49061197	O=S(=O)([N-]c1cccc2c(O)cccc12)c1sccc1Br
ZINC50200730	O=C([O-])c1cc(Br)ccc1NC(=O)C1CC2C=CC1C2
ZINC50200733	O=C([O-])c1cc(Br)ccc1NC(=O)C1CC2C=CC1C2
ZINC08970854	Oc1ccc(Cl)cc1-c1cc(-c2ccccc2F)n[nH]1
ZINC08970854	Oc1ccc(Cl)cc1-c1cc(-c2ccccc2F)[nH]n1
ZINC28466591	Fc1ccc(C2C=C(c3ccc(Cl)cc3)NC([S-])=N2)cc1
ZINC55544680	Cc1nc([S-])sc1CC(=O)Nc1cccc2c1CCCC2
ZINC04598660	O=C(/C=C/c1ccccc1)C1=C([O-])NC23CCCCC2C1c1ccccc1O3
ZINC58928723	O=C([O-])c1cc(Br)cc2c1NC(c1ccccc1)C1CC=CC21
ZINC33964808	CC(C(=O)[O-])C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
ZINC62337890	Cc1cc(NC(=O)c2ccc(Br)s2)cc(C(=O)[O-])c1C
ZINC13496978	Cc1cccc(C)c1/N=C(\[S-])Nc1ccc(Cl)c(Cl)c1
ZINC13496978	Cc1cccc(C)c1NC(=S)Nc1ccc(Cl)c(Cl)c1
ZINC65365784	O=c1cc([O-])c2sc3nc(-c4ccc(Cl)cc4)cc(C(F)F)c3c2[nH]1
ZINC04545143	O=C(CSc1cccc2ccccc12)N/N=C/c1ccc(C(=O)[O-])cc1
ZINC01329584	O=C([O-])c1ccc(CSc2ncccc2-c2nc3ccccc3[nH]2)cc1
ZINC02243684	O=C(NC(C(=O)[O-])C1CCCC1)OCC1c2ccccc2-c2ccccc21
ZINC04951714	CCC1CCc2sc(C(=O)N/N=C/c3ccc(C(=O)[O-])cc3)cc2C1
ZINC04951721	CCC1CCc2sc(C(=O)N/N=C/c3ccc(C(=O)[O-])cc3)cc2C1
ZINC05548885	CC(C)(C)c1ccc(-c2nc(NCCC(=O)[O-])c3ccccc3n2)cc1
ZINC06209678	N#C/C(=C\c1ccc(C(=O)[O-])cc1)C(=O)Nc1cc(Cl)ccc1Cl
ZINC09854207	CCCCC(SC1=Nc2cccnc2Nc2ccccc21)C(=O)[O-]
ZINC13027398	Cc1ccc(C(=O)[O-])cc1S(=O)(=O)Nc1ccc(C(C)(C)C)cc1
ZINC13061655	Cc1ccc(Nc2nnc(SCc3cccc(C(=O)[O-])c3)s2)cc1
ZINC13061755	Cc1cccc(Nc2nnc(SCc3cccc(C(=O)[O-])c3)s2)c1
ZINC13062075	O=C([O-])c1cccc(CSc2nnc(Nc3ccccc3)s2)c1
ZINC13085820	Cc1ccc(OCC(=O)NC(C)C23CC4CC(CC(C4)C2)C3)c(C(=O)[O-])c1
ZINC13085912	Cc1ccc(OCC(=O)NCC23CC4CC(CC(C4)C2)C3)c(C(=O)[O-])c1
ZINC13166867	O=C(/C=C/c1ccc(OC(F)(F)F)cc1)Nc1ccc(C(=O)[O-])cc1
ZINC13186017	CCC(C)(C)C1CCC(NS(=O)(=O)c2cc(C(=O)[O-])ccc2F)CC1
ZINC13187673	O=C(/C=C/c1ccc(OC(F)F)cc1)Nc1ccc(Cl)cc1C(=O)[O-]
ZINC13256545	Cc1ccc(-c2csc(NC(=O)/C=C/c3ccc(C(=O)[O-])cc3)n2)cc1
ZINC13315616	O=C([O-])c1ccc(Cl)c(S(=O)(=O)NC2CCC3CCCCC3C2)c1
ZINC13356906	CCC1CCc2sc(C(=O)N/N=C/c3ccccc3C(=O)[O-])cc2C1
ZINC13422996	O=C(COc1c(Cl)cc(C(=O)[O-])cc1Cl)NCC1CCCCC1
ZINC18206897	Cc1nc(SCc2nc3ccccc3[nH]2)nc([O-])c1Cc1ccccc1
ZINC23137989	O=C(Cc1cc([O-])nc(SCc2ccccc2)n1)NC1CCCCC1
ZINC31833872	[O-]c1nncc(N/N=C\c2cccc(Br)c2)c1Br
ZINC31858807	[O-]c1nncc(N/N=C\c2cccc3ccccc23)c1Br
ZINC35288370	CC(C)COc1ccc(-c2nc([O-])c(Cc3ccc(F)cc3)c(=O)[nH]2)cc1
ZINC35288406	C=CCOc1ccc(-c2nc([O-])c(Cc3ccc(Cl)cc3)c(=O)[nH]2)cc1
ZINC35288421	C=C(C)COc1ccc(-c2nc([O-])c(Cc3ccccc3)c(=O)[nH]2)cc1
ZINC35288438	C=C(C)Cc1c([O-])nc(-c2ccc(OCc3ccccc3)cc2)[nH]c1=O
ZINC02239196	C=CCc1cccc(/C=N\n2c([S-])nnc2-c2ccccc2Cl)c1O
ZINC00098572	O=C([O-])c1cccc(Nc2ncnc3scc(-c4ccccc4)c23)c1
ZINC08855137	CCOC(=O)C1=C(C)C(c2cccc(Oc3ccccc3)c2)NC([S-])=N1
ZINC08607014	CC(C)c1ccc(NC(=O)CSc2nc3c(c(=O)[nH]2)CCC3)cc1
ZINC40867795	CC(Oc1ccc(C(C)(C)C)cc1)C(=O)Nc1ccc(C(=O)[O-])cc1
ZINC43413478	O=C([O-])CC1(CNS(=O)(=O)C(F)(F)F)CCCCC1
ZINC45573657	O=C(CCn1c([S-])nnc1-c1cccs1)NC1CCCCCCC1
ZINC46053348	Cc1cccc(C(=O)Nc2ccc(N3CCC(C)CC3)c(C(=O)[O-])c2)c1
ZINC47361953	Cc1[nH]c2ccccc2c1/C([O-])=C(\C#N)C(=O)/C=C/c1ccc(N(C)C)cc1
ZINC49597417	Cc1ccc(/C(CCC(=O)[O-])=N/Nc2cc(C)c3ccccc3n2)cc1C
ZINC50208971	CC(N(C)C(=O)Nc1ccc(Br)cc1C(=O)[O-])C(C)(C)C
ZINC50679732	Cc1nc(-c2ccccc2)sc1/C([O-])=C(/C#N)C(=O)NC1CCCCC1
ZINC50850856	C=CCNC(=O)/C(C#N)=C(/[O-])c1sc(-c2cccc(Cl)c2)nc1C
ZINC50922621	COc1ccccc1NC(=O)/C(C#N)=C(\[O-])c1cc2c(s1)CCC(C)C2
ZINC51652896	CC(Oc1ccc(C(C)(C)C)cc1)/C([O-])=C(\C#N)C(=O)NC1CCCC1
ZINC00621921	O=C(Nc1ccc(C(=O)[O-])cc1)OCC1c2ccccc2-c2ccccc21
ZINC56045854	COC(=O)C1=NC(=S)NC(c2ccc(C)cc2)/C1=C(/[O-])c1ccccc1
ZINC20150962	O=C(/C=C/c1ccc(-c2ccccc2Cl)o1)Nc1cccc(C(=O)[O-])c1
ZINC63235105	Cc1[nH]c2ccccc2c1/C([O-])=C(/C#N)C(=O)c1cnc(C(C)(C)C)s1
ZINC63236003	N#C/C(C(=O)NC1CCCC1)=C(\[O-])c1cnc(-c2ccccc2F)s1
ZINC65046423	CCc1ncc(/C([O-])=C(\C#N)C(=O)Nc2ccc(C(C)CC)cc2)s1
ZINC04126726	O=C([O-])c1cc2c3c(c1)C1C=CCC1C(c1ccc(F)cc1)N3CC1CC=CC21
ZINC13339262	CC1C/C(=C/c2cccs2)c2nc3ccccc3c(C(=O)[O-])c2C1
ZINC13339336	O=C([O-])c1c2c(nc3ccccc13)/C(=C/c1cccc(F)c1)CC2
ZINC05488494	Cc1cc([O-])c(C2=Nc3ccccc3SC(c3ccccc3F)C2)c(=O)o1
ZINC06192637	[S-]c1nnc(-c2ccccc2Cl)n1/N=C/c1ccc(Cl)cc1
ZINC06855750	CC(C)c1ccc(C(=O)n2c([O-])c3cc(Br)ccc3nc2=S)cc1
ZINC20588769	COc1ccc(Cl)cc1-n1c([S-])nnc1-c1ccccc1
ZINC20591172	[S-]c1nnc(-c2cccs2)n1-c1ccccc1I
ZINC20627223	O=S(=O)([N-]c1ccc(F)cc1Cl)c1cc(Cl)sc1Cl
ZINC21502514	CCC1CCc2nc3cc(Br)ccc3c(C(=O)[O-])c2C1
ZINC22756393	O=S(=O)([N-]c1cccc(C#Cc2cccs2)c1)c1ccccc1Cl
ZINC24070489	Cc1ccc(S(=O)(=O)[N-]c2nc3c(ccc4ccccc43)s2)s1
ZINC26432149	COc1cc(F)ccc1/N=C/c1cc(Cl)cc(Cl)c1[O-]
ZINC26432173	COc1cc(F)ccc1/N=C/c1cc(Br)cc(Br)c1[O-]
ZINC31973139	Cc1ccc2nc(-c3ccc4ccccc4c3)c(/C=C/C(=O)[O-])n2c1
ZINC31973164	Cc1ccn2c(/C=C/C(=O)[O-])c(-c3ccc4ccccc4c3)nc2c1
ZINC01094632	CC(=O)c1ccc(/N=C/c2c(Br)ccc(Br)c2[O-])cc1
ZINC35357040	Cc1ccc(Cl)c([N-]S(=O)(=O)c2sc(Cl)nc2C)c1Cl
ZINC06556192	CC1CCc2c(-c3nnc([S-])n3Cc3ccccc3)csc2C1
ZINC36740935	Cc1cccc2c([O-])nc(/C(Cl)=C/c3csc(Br)c3)nc12
ZINC36927370	O=C([O-])/C=C/c1ccc(-c2ccc(I)cc2)s1
ZINC37335911	[S-]c1nnc(-c2ccncc2)n1-c1c(Cl)cc(Br)cc1Cl
ZINC37337382	CC1CCCCC1OCc1c(C(=O)[O-])sc2ccccc12
ZINC37385916	CCc1ccc([N-]S(=O)(=O)c2c(F)cc(F)cc2Br)cc1
ZINC13468603	CC1(C)CC(=O)C(/C=N/c2ccccc2Sc2ccccc2)=C([O-])C1
ZINC17994697	Cc1nc(SCc2ccc(Br)cc2)[nH]c(=O)c1C
ZINC40285482	[O-]c1nc2ccc(C(Br)c3ccc(Br)cc3)cc2o1
ZINC40285690	[O-]c1nc2ccc(C(Br)c3c(F)cccc3Cl)cc2o1
ZINC40414019	O=S(=O)([N-]c1c(Cl)cccc1Cl)c1ccccc1Br
ZINC41141804	CC1=NN(c2cc(C)ccc2C)C(c2ccc(C)cc2)C1C(=O)[O-]
ZINC41947581	CC(Oc1cccc(F)c1)(C(=O)[O-])c1ccc(Cl)c(Cl)c1
ZINC41980535	CCCc1ccc(C(C)(Sc2cccs2)C(=O)[O-])cc1
ZINC41983088	CC(Sc1ccccc1Br)(C(=O)[O-])c1c(F)cccc1F
ZINC42266232	Cc1ccc([N-]S(=O)(=O)c2sccc2Br)cc1C(F)(F)F
ZINC42350463	O=S(=O)([N-]c1cc(Cl)cc(Cl)c1)c1sccc1Br
ZINC43554365	CCC(Cl)c1nc([O-])c2c(-c3ccccc3F)csc2n1
ZINC48430025	Cc1cc(Br)ccc1[N-]S(=O)(=O)c1ccc(F)cc1Cl
ZINC48981520	Cc1c(/C([O-])=C(\C#N)C(=O)N2CCCCC2)sc2cccc(F)c12
ZINC53159231	Fc1ccc(Cn2c([S-])nnc2-c2ccccc2)cc1Cl
ZINC57660241	Cc1ccc(C(C)(C)C)cc1-c1c(C(=O)[O-])sc2nccn12
ZINC58645061	O=S(=O)([N-]c1cccc2ccccc12)c1ccc(F)cc1Cl
ZINC61693084	Cc1cc(F)ccc1S(=O)(=O)[N-]c1cc(Br)ccc1Cl
ZINC13122482	Cc1cc([O-])c(C2=Nc3ccccc3SC(c3ccc(F)cc3)C2)c(=O)o1
ZINC62181522	CC(Cc1ccccc1)(Sc1ccccc1Br)C(=O)[O-]
ZINC62703668	O=C([O-])/C=C/c1ccc(OC2CCCCC2)c(Br)c1
ZINC62764339	O=C([O-])C1CCC(c2ccccc2)CC1Sc1cccs1
ZINC62764483	O=C([O-])C1CCCCCC1Sc1nc2ccccc2s1
ZINC62764485	O=C([O-])C1CCCCCC1Sc1nc2ccccc2s1
ZINC19802049	COc1cccc(C2C(C#N)=C(C)N=C3CC(C)(C)CC([O-])=C32)c1
ZINC19802049	COc1cccc(C2C(C#N)=C(C)NC3=C2C(=O)CC(C)(C)C3)c1
ZINC59124512	CC1(C)C=CN(c2cc(C(F)(F)F)ccc2Cl)C([S-])=N1
ZINC07013415	CCC(/C=N/NC(=S)NCc1ccccc1)CC
ZINC08702440	CCCCCCC(C)Oc1ccc(N)cc1
ZINC05479265	CCCc1[nH]nc(-c2n[nH]c(CCC)c2CC)c1CC
ZINC13820099	CCCCC(CC)CNC(=S)NCC
ZINC20482772	CCCCC(CC)C(=O)Nc1cccc(/C(C)=N/O)c1
ZINC20507103	CCCCCCC(C)Oc1cc2c(cc1N)OCCO2
ZINC20507133	CCCCC(CC)COc1cc2c(cc1N)OCCO2
ZINC35062238	CCCC(C)Nc1ccc(S(=O)(=O)NCC)cc1
ZINC35082178	CSCCCNC(=S)NC1CCCCCC1
ZINC36225253	CCCCCCOc1ccc(C2OCCCO2)cc1N
ZINC36283547	CCCCCn1c(C(CC)CC)nc2c(N)cccc21
ZINC36332812	CCCCSc1ccc(N)c(OCCC)n1
ZINC37001577	CCCCCC(C)Nc1cccc(N2CCNC2=O)c1
ZINC37065854	CCCCC(CC)COCc1cc(N)ccc1OCC
ZINC37068051	CCC(=O)Nc1ccc(NC(C)CC(C)(C)OC)cc1
ZINC37092350	CCC(C)CC(CC)Nc1ccc(NC(=O)OC)cc1
ZINC36680527	CCCCCCC(C)OC(CC)CC(N)=S
ZINC37779789	CCCCC(C)Nc1ccc(C(=O)NC(C)C)cc1
ZINC37783498	C=CCNC(=O)c1ccc(NC(C2CC2)C2CC2)cc1
ZINC37783644	C=CCNC(=O)c1ccc(NC(C)C(C)CC)cc1
ZINC37872854	CCCCC(CC)COCC(O)CNc1ccccc1
ZINC37882294	CCCCCCOCC(O)CNc1ccc(C)cc1
ZINC37882300	Cc1ccc(NCC(O)COCCCC(C)C)cc1
ZINC37883895	Cc1ccc(NCC(O)COC(C)CC(C)C)c(F)c1
ZINC37069220	CC(C)COc1nc(OC(C)CC(C)C)ccc1N
ZINC20473065	CC(C)CNC(=O)C(C)Nc1ccc(OC(C)C)cc1
