ZINC19433863	CC([NH3+])C(=O)Nc1ccccc1C(=O)NC1CC1
ZINC04275268	CC1(C)Cc2c(sc(NC(=O)c3ccc4ncsc4c3)c2C(N)=O)C(C)(C)[NH2+]1
ZINC38091999	NC(=O)C1CCC([NH2+]CC(=O)Nc2ccccc2Br)CC1
ZINC38971887	[NH3+]C1C(c2nc3ccccc3[nH]2)c2nc3ccccc3nc2N1CCO
ZINC39323856	CCCCc1nc2c(o1)NC([NH3+])=C(C#N)C21C(=O)Nc2ccc(Br)cc21
ZINC39323857	CCCCc1nc2c(o1)NC([NH3+])=C(C#N)C21C(=O)Nc2ccc(Br)cc21
ZINC39353521	O=C(NCC1NNC2CC[NH+](Cc3cc4ccccc4[nH]3)CCN21)c1ccccc1
ZINC40051456	Cc1cc(C)c2c(N)c(C(=O)NNC(=O)C3CCN(C(=O)C(C)C)CC3)sc2[nH+]1
ZINC40824768	Cc1cc(C)cc(OC(=O)c2oc3c(c2C)/C(=N/NC(N)=[NH2+])CCC3)c1
ZINC42988828	CC(C)(O)c1ccc2c(c1)NC(=O)c1ccc(Nc3cc[nH+]cc3)cc1N2
ZINC45253334	Cc1c(NC2CCC([NH3+])CC2)c(C#N)c2ccnn2c1NOc1ccccc1
ZINC45464000	CC(C)C[NH+]1CCC(NC(=O)NNC(=O)c2cc(Br)c[nH]2)CC1
ZINC47274055	NC(=O)NC(=O)C(c1ccccc1)[NH+]1CC=C(c2c[nH]c3cc(F)ccc23)CC1
ZINC49148761	CC([NH3+])c1ccc(NC(=O)NC(C)c2ccc(Cl)s2)cc1
ZINC49189652	CC([NH3+])c1cccc(NC(=O)Nc2ccc(Br)cc2Br)c1
ZINC49189654	CC([NH3+])c1cccc(NC(=O)Nc2ccc(Br)cc2Br)c1
ZINC52094216	Cc1occc1C([NH3+])c1cc2[nH]c(=O)[nH]c2cc1Br
ZINC52094242	Cc1cc(Br)ccc1C([NH3+])c1cc2[nH]c(=O)[nH]c2cc1Br
ZINC52587779	Cc1ccccc1NC(=O)NNC(=O)NCC1([NH+](C)C)CCCC(C)C1
ZINC54581142	CNS(=O)(=O)c1ccc(C(C)NC(=O)NC2CC(C)(C)[NH2+]C(C)(C)C2)cc1
ZINC54717207	CC(c1ccccc1)[NH+]1CCC(NC(=O)NNC(=O)Nc2ccccc2)C1
ZINC56898918	CC(NC(=O)NNC(=O)Nc1ccccc1)c1ccc(N2CC[NH+](C)CC2)cc1
ZINC63641541	O=C1C(C2NCCC3=c4ccccc4=[NH+]C32)C(O)NC(O)N1c1ccccc1Cl
ZINC63641543	O=C1C(C2NCCC3=c4ccccc4=[NH+]C32)C(O)NC(O)N1c1ccccc1Cl
ZINC63641546	O=C1C(C2NCCC3=c4ccccc4=[NH+]C32)C(O)NC(O)N1c1ccccc1Cl
ZINC64380677	Cc1ccc(N2C(=O)C(C3NCCC4=c5ccccc5=[NH+]C43)C(O)NC2O)c(C)c1
ZINC64380679	Cc1ccc(N2C(=O)C(C3NCCC4=c5ccccc5=[NH+]C43)C(O)NC2O)c(C)c1
ZINC65330195	O=C(NCCC1=c2ccccc2=[NH+]C1)C1NNSC1NC(=O)N1CCCCC1
ZINC65330197	O=C(NCCC1=c2ccccc2=[NH+]C1)C1NNSC1NC(=O)N1CCCCC1
ZINC65520948	CC(C)[NH+]1CCC(CNC(=O)NNC(=O)c2ccccc2O)C1
ZINC65966650	CC(C(=O)Nc1sccc1C(N)=O)[NH+]1CCC(c2cc3ccccc3[nH]2)CC1
ZINC67565911	Cc1ccc(NC(=O)C(=O)NC2CC[NH+](C3CCCCCC3)C2)cc1C(N)=O
ZINC00196705	CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)C2c1ccc(O)c(O)c1
ZINC01430915	CSc1nc(N)c2c(n1)OC(N)=C(C#N)C2c1cc(Br)ccc1F
ZINC03503658	O=c1[nH]c2ccc(NC(=S)Nc3cc(C(F)(F)F)ccc3Cl)cc2[nH]1
ZINC00829027	NC(=S)NNC(=O)COc1ccc(Br)cc1Br
ZINC00849487	CC1CCc2c(sc(NC(=S)NC(=O)c3ccccc3)c2C(N)=O)C1
ZINC02857619	O=C(NNC(=S)NC1CCCCC1)c1cc(Br)ccc1O
ZINC05570125	N#CC1=C(N)OC2NN=C(C(F)(F)F)C2C1c1ccc(O)cc1
ZINC00823197	CC1=C(C(=O)Nc2ccc(Br)cc2)C(c2ccccc2O)NC(=S)N1
ZINC13640443	CCCCNC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC13640447	CCCCNC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC15205491	CC1OC(Oc2c[nH]c3ccc(Br)c(Cl)c23)C(O)C(O)C1O
ZINC01091262	Nc1ccccc1C(=O)N/N=C/c1cc(Br)cc(Br)c1O
ZINC16238227	O=C(NNC(=S)NC1CC2CCC1C2)c1cc2ccccc2cc1O
ZINC16384906	NC(=O)c1c(NC(=S)NC(=O)c2ccc(Cl)cc2Cl)sc2c1CCC2
ZINC20154584	Cc1cc(NC(N)=S)cc(-c2nc3cc(C(C)C)ccc3o2)c1O
ZINC20682379	CCCCNC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC22018740	Cc1cc(C)c2cc(C(=O)Nc3ccc4[nH]c(=O)[nH]c4c3)[nH]c2c1
ZINC23708819	Cc1cc(C)cc(NC(=O)CC(NC(N)=O)c2cccc(Br)c2)c1
ZINC32125284	Cc1ccc(C(=O)NC(=S)Nc2sc3c(c2C(N)=O)CCCCC3)cc1C
ZINC18178495	O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1cc2ccccc2cc1O
ZINC05603884	O=C1NC(c2ccccc2)C2CCCC3C(c4ccccc4)NC(=O)NC23N1
ZINC37316596	CC(Nc1cccc(NS(N)(=O)=O)c1)c1sccc1Br
ZINC37536163	CC(C)=CCc1ccc(Oc2c(O)cc(C)cc2CO)c(O)c1O
ZINC39073386	Cc1ccccc1C(=O)NN1SNSNSNC2C=CC=C2S1
ZINC06628223	Cc1cccc(C)c1/N=C1\NC(=S)N(NC(N)=O)C12CCCCC2
ZINC40167307	CC1(NC(=S)Nc2ccc(-c3ccc(N)cc3)cc2)CCS(=O)(=O)C1
ZINC40167797	Nc1ccc(-c2ccc(NC(=S)NC3CS(=O)(=O)CC3Cl)cc2)cc1
ZINC40370954	CCC(CC)(NC(=O)c1cc(Br)ccc1F)/C(N)=N/O
ZINC08236369	CC1(C)CC(=O)C2=C(C1)Nc1[nH]c(=S)nc(N)c1C2c1ccc(C#N)cc1
ZINC06037668	CC1CCC2C(C)(C)C(O)C(O)CC2(C)C12Cc1c(O)cc(CO)c(C=O)c1O2
ZINC40498426	NC(=O)NC(CC(=O)NC1CCCCCC1)c1ccccc1F
ZINC44783060	CCC(CC)(C(=O)Nc1c(Cl)cc(Br)cc1Cl)/C(N)=N/O
ZINC44861209	CCCC(C(=O)Nc1c(Cl)cc(Br)cc1Cl)/C(N)=N/O
ZINC45051586	CCC(C)C(NC(N)=O)C(=O)Nc1ccc(I)cc1C
ZINC46645435	CC(C)C(NC(N)=O)C(=O)NCC1CC2c3ccccc3C1c1ccccc12
ZINC08014903	Oc1cc(/C=N/NC(=S)NC2CCCCC2)cc(Cl)c1O
ZINC50202349	CC([NH3+])(C(=O)Nc1ccc(Br)cc1C(=O)[O-])C1CC1
ZINC51122949	NNc1ncc(C(=O)Nc2c(Cl)cc(Br)cc2Cl)cc1Cl
ZINC51122968	NNc1cc(C(=O)Nc2c(Cl)cc(Br)cc2Cl)cc(Cl)n1
ZINC15105993	CNC(=O)C1C(c2ccc(Br)cc2)c2c(O)n[nH]c2CC1(C)O
ZINC53113082	CC1CCC(CO)(NS(=O)(=O)c2ccc(Br)cc2N)CC1
ZINC54217218	NNc1c(F)cccc1C(=O)Nc1c(Cl)cc(Br)cc1Cl
ZINC45723401	NC(=O)Cc1ccccc1NC(=O)NCc1ccc(Br)s1
ZINC06185324	C/C(=N\NC(=S)Nc1ccc(Cl)c(Cl)c1)c1ccc(O)cc1O
ZINC17082270	Cc1cc(C)cc(C(=O)NC(=S)Nc2sc3c(c2C(N)=O)CCC(C)C3)c1
ZINC62825387	CCCC(C)([NH3+])C(=O)Nc1c(Br)cc(Br)cc1C(=O)[O-]
ZINC63712760	CC1(C)CCC(NC(=O)CC(NC(N)=O)c2cccs2)c2ccccc21
ZINC66440764	Cc1ccc2c(CC(=O)Nc3ccc(C)c(C(N)=O)c3)c[nH]c2c1
ZINC67308956	Cc1ccc(NC(=O)NC2CC2c2ccccc2C(F)(F)F)cc1C(N)=O
ZINC67309266	Cc1ccc(NC(=O)NC(c2ccc(Cl)cc2)c2ccsc2)cc1C(N)=O
ZINC01816473	CC(C)(C)c1cc(C2[NH2+]C(C(=O)[O-])Cc3c2[nH]c2ccccc32)cc(C(C)(C)C)c1O
ZINC01816472	CC(C)(C)c1cc(C2[NH2+]C(C(=O)[O-])Cc3c2[nH]c2ccccc32)cc(C(C)(C)C)c1O
ZINC00956720	O=C(Nc1ccccn1)C1=C(c2ccccc2)NC(=S)NC1c1ccc(O)cc1
ZINC05912928	CC(C)c1ccc(C2CC(C(F)(F)F)n3ncc(C(=O)NN)c3N2)cc1
ZINC01727469	Nc1cc(S(=O)(=O)c2ccc(N3CCCCC3)c(N)c2)ccc1N1CCCCC1
ZINC08254752	CC(C)c1ccc(N2C(=S)NC3C(O)C(O)CC(C(=O)Nc4ccccc4)C32)cc1
ZINC09419192	CC(C(=O)NCCc1ccc(O)c(O)c1)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
ZINC10217420	Cc1ccccc1NC(=O)Cc1nc(-c2ccc(O)c(C(N)=O)c2)cs1
ZINC13425172	CC1=C(/C(C)=N\NC(N)=S)C2(C)CCC3C(CCC4CC(O)CCC43C)C2C1
ZINC13639905	CC(C)(C)NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC13640518	O=C(NCC1CCCO1)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC13640563	O=C(CCc1ccccc1)Nc1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC13640567	O=C(CCc1ccccc1)Nc1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC14552361	Cc1ccccc1C(=O)Nc1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC14552364	Cc1ccccc1C(=O)Nc1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC14553520	Cc1cccc(C(=O)Nc2ccc3c(c2)C2C=CCC2C(c2ccc(O)cc2O)N3)c1
ZINC14553521	Cc1cccc(C(=O)Nc2ccc3c(c2)C2C=CCC2C(c2ccc(O)cc2O)N3)c1
ZINC15777332	O=C(N/N=C/c1cc(Br)cc(Br)c1O)c1ccc(O)cc1O
ZINC16249639	COC(=O)c1c(N)sc(-c2sc(N)c(C(=O)OC)c2C)c1C
ZINC01126896	CC1=C(C(=O)Nc2cccc(C(F)(F)F)c2)C(c2ccc(O)c(Cl)c2)NC(=O)N1
ZINC16400842	NC(=O)c1c(NC(=S)NC(=O)c2ccc(Br)cc2)sc2c1CCC2
ZINC20681772	CC(C)(C)NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC20682331	CCCC(=O)Nc1ccc(Cl)c2c1C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC20682334	CCCC(=O)Nc1ccc(Cl)c2c1C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC20682478	O=C(NCC1CCCO1)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC20769303	Cc1ccccc1C(=O)Nc1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC20769306	Cc1ccccc1C(=O)Nc1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC20795296	Cc1cccc(C(=O)Nc2ccc3c(c2)C2C=CCC2C(c2ccc(O)cc2O)N3)c1
ZINC27912084	Cc1ccc(-c2[nH]c3ccccc3c2C2c3ccccc3C(=O)N2C(C)C(=O)NN)cc1
ZINC32125325	Cc1ccc(C(=O)NC(=S)Nc2sc3c(c2C(N)=O)CCCCC3)cc1Cl
ZINC03273875	Cc1cc(Br)c(NC(=O)CSc2n[nH]c(N)n2)c(Br)c1
ZINC36737304	Nc1cc(Br)cc(Br)c1NC(=O)c1ccc(Cl)cc1O
ZINC01740248	CC[NH+](CC)c1ccc(C2Nc3cccc4cccc(c34)N2)c(O)c1
ZINC39545524	O=C(C1CC(c2ccccc2O)=C2Nc3ccccc3C[NH+]21)N(F)c1ccccc1O
ZINC40385582	Cc1ccc(NC(=S)c2c(N)nc(N3CCc4ccccc4C3)[nH]c2=O)c(C)c1
ZINC40426313	Nc1c(NC(=O)NC2CCCC2)c(-c2ccccc2)nn1-c1cc(F)ccc1F
ZINC40570682	Cc1[nH]c2ccccc2c1/C=C(/C#N)C(=O)Nc1sc2c(c1C(N)=O)CCCC2
ZINC40824482	Cc1c(C(=O)Nc2cc(Cl)cc(Cl)c2)oc2c1/C(=N/NC(N)=S)CCC2
ZINC43132817	CC(NC(=O)Nc1ccccc1Br)c1cccc(S(N)(=O)=O)c1
ZINC44806518	CC(Nc1ccc(Cl)c(C(N)=O)c1)C(=O)NC1(C#N)CCCCC1
ZINC46673972	CNC(=O)Nc1ccc(NC(=O)Cc2c(C)[nH]c3ccc(Br)cc23)cc1
ZINC09130176	O=C1NC(c2cccc(O)c2)C(C(=O)c2ccc(Cl)cc2)C(O)(C(F)(F)F)N1
ZINC57531271	O=C1NC(c2c(O)ccc3ccccc23)C(C(=O)c2ccccc2)C(O)(C(F)(F)F)N1
ZINC57531276	O=C1NC(c2c(O)ccc3ccccc23)C(C(=O)c2ccccc2)C(O)(C(F)(F)F)N1
ZINC57548472	Cc1cc(/C=C(/C#N)C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc(C)c1O
ZINC59166754	O=C(N/N=C/c1c(O)cc(O)cc1O)C(F)(F)C(F)(F)C(F)(F)F
ZINC10715982	CC(Sc1n[nH]c(N)n1)C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1
ZINC13123395	Oc1cccc(NC(=S)/[NH+]=N/c2c(O)[nH]c3ccc(Br)cc23)c1
ZINC13123395	O=C1Nc2ccc(Br)cc2/C1=N/NC(=S)Nc1cccc(O)c1
ZINC66952007	O=C1CCc2cc(NC(=O)NCC3(O)CCCc4ccccc43)ccc2N1
ZINC00708805	Cc1n[nH]c2c1C(c1cc(O)c(Br)c(O)c1)C(C#N)=C(N)O2
ZINC04731234	Cc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc12
ZINC01573788	O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2O)C1O
ZINC06211791	Cc1ccc(C2=NNC(C(C)(O)C(C)(O)C(C)(O)CO)S2)cc1
ZINC06682016	CC(=O)C1=C(C)Nc2sc(C(N)=O)c(N)c2C1c1ccco1
ZINC12348858	CC1(C)CC(=O)C2=C(C1)Nc1[nH]nc(O)c1C2c1ccc(O)c(O)c1
ZINC14644152	O=c1cc(-c2ccc(O)c(O)c2O)oc2cc(O)cc(O)c12
ZINC14694896	COc1cc(O)c(C(CO)C(O)CO)c2oc3cccc(O)c3c(=O)c12
ZINC16292190	Cc1ccc(C2=NNC(C(C)(O)C(C)(O)C(C)(O)CO)S2)cc1
ZINC07128040	NC1=Nc2nc3ccccc3n2C(c2cc(O)c(O)c(Cl)c2)N1
ZINC19933179	N#Cc1c(N)nc2c(c1N)C(c1ccccc1)c1ccc(O)cc1O2
ZINC20759728	O=c1[nH]c([O-])c(C2[NH2+]CCc3c2[nH]c2ccc(Cl)cc32)c(=O)[nH]1
ZINC20759752	O=c1[nH]c(=S)[nH]c([O-])c1C1[NH2+]CCc2c1[nH]c1ccc(Cl)cc21
ZINC28845289	CC(Sc1n[nH]c(N)n1)C(=O)NC(=O)NC1CCCCC1
ZINC06520226	Cc1c(O)cc2oc(-c3ccc(O)c(O)c3)c(O)c(=O)c2c1O
ZINC35339710	CNS(=O)(=O)c1ccc(NC2CCC(O)CC2)c(N)c1
ZINC06607225	CC1CCCCC1NC(=O)NC(=O)CSc1n[nH]c(N)n1
ZINC37271769	NC(=O)c1cc(NC2CCN(C(N)=O)CC2)c(F)cc1F
ZINC37288547	NC(=O)NC(=O)COc1c(N)cc(Cl)cc1Br
ZINC38092075	NC(=O)C1CCC(Nc2ccccc2S(N)(=O)=O)CC1
ZINC03869685	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
ZINC04098600	O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)ccc12
ZINC38990087	CC1=CC(C2NNC(SCC(=O)Nc3ccccc3F)N2N)N=N1
ZINC39016361	CC1=CC(C2NNC(SCC(=O)Nc3cccc(F)c3)N2N)N=N1
ZINC39926810	NN1C(SCc2nc3ccccc3[nH]2)NNC1c1ccc(F)cc1
ZINC40377299	Cc1[nH]ncc1S(=O)(=O)NC1(/C(N)=N/O)CCCCCC1
ZINC40545613	CC1=CC2(Nc3cc(C)cc(Br)c3O2)C(C(N)=O)=C(N)O1
ZINC40546312	CC1=CC2(Nc3cc(C)c(C)c(Br)c3O2)C(C(N)=O)=C(N)O1
ZINC40824428	Cc1c(C(=O)NNC(C)(C)C)oc2c1/C(=N/NC(N)=O)CCC2
ZINC48843564	[NH3+]C1CCCCC1NC(=O)Nc1ccc(C(=O)[O-])c(Cl)c1
ZINC48852995	Cc1ccc(C(C)N(C)C(=O)NC(C(N)=O)C(N)=O)s1
ZINC52016975	NNc1ncc(Br)cc1C(=O)NC1CCCCC1O
ZINC39277094	NC1NNC(SCCCn2c(=O)[nH]c3ccccc32)S1
ZINC19799239	O=C1Nc2c(n[nH]c2O)NC=C1NC(=O)c1ccc(Br)cc1
ZINC55475735	CC(C)C(NC(N)=O)C(=O)NC1C2CCCC1C[NH+](C1CC1)C2
ZINC06439237	CCOC(=O)C1C(c2ccc(O)c(O)c2)NC(=O)NC1(O)C(F)(F)F
ZINC31053320	NS(=O)(=O)c1cccc(NC(=O)NCC(O)c2ccccc2F)c1
ZINC58950899	Cc1n[nH]c2c1C(c1ccccc1Cl)C(C(N)=O)=C(N)O2
ZINC58950900	Cc1n[nH]c2c1C(c1ccccc1Cl)C(C(N)=O)=C(N)O2
ZINC59461800	Cc1nn(C(N)=S)c(O)c1C(c1ccc(Cl)cc1)C(C#N)C(N)=O
ZINC59461801	Cc1nn(C(N)=S)c(O)c1C(c1ccc(Cl)cc1)C(C#N)C(N)=O
ZINC59461802	Cc1nn(C(N)=S)c(O)c1C(c1ccc(Cl)cc1)C(C#N)C(N)=O
ZINC13321403	C/C(=N\NC(=O)c1ccc(C(N)=O)cc1)c1cc(O)ccc1O
ZINC62822891	Nc1cc(F)ccc1C(=O)Nc1ccccc1S(N)(=O)=O
ZINC62828856	Cc1sc(NC(=O)NC2CCC([NH3+])CC2)c(C(=O)[O-])c1C
ZINC63000091	Nc1cc(S(=O)(=O)NC(CO)c2ccccc2)ccc1O
ZINC65631270	NC(=O)Nc1ccc(NC(=O)CNC(=O)c2ccsc2)cc1
ZINC03881558	O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12
ZINC66741032	Cc1[nH]nc2c1NC(c1cc(O)cc(Br)c1O)NC2=O
ZINC66906771	NC(=O)c1ccc(NC(=O)NCC2(O)CCCc3ccccc32)cc1
ZINC03232414	O=C(N/N=C/c1ccc(O)c(O)c1O)c1cn(-c2ccccc2)nc1-c1ccccc1
ZINC04428282	Cc1c(O)cc(O)c(C2(c3c(O)cc(O)c(C)c3O)OC(=O)c3ccccc32)c1O
ZINC04601488	Oc1ccc(C23CCCCC2C2(CCCCC2)c2ccc(O)c(O)c2O3)c(O)c1O
ZINC01675877	NC(=O)C1(Nc2ccc(Br)cc2)C=C(c2ccccc2)C(O)(c2ccccc2)C1
ZINC03876673	CNC(=O)N(O)C1N(NC(=O)Nc2ccc(Cl)c(Cl)c2)C(=S)SC1(C)C
ZINC06344457	O=C(Nc1ccccc1)Nc1cc(Cl)c(NC(=O)Nc2ccccc2)cc1Cl
ZINC00799782	CC1=C(C(=O)Nc2ccc(Cl)cc2)C(c2cc(Br)ccc2O)NC(=S)N1
ZINC03327713	Nn1c(SCC(=O)NC(=O)NC2CCCC2)nnc1-c1ccc(Cl)cc1Cl
ZINC08845374	Cc1ccc(O)c(-c2cc(C(=O)Nc3c(C(=O)Nc4ccccc4)oc4ccccc34)n[nH]2)c1
ZINC08845374	Cc1ccc(O)c(-c2cc(C(=O)Nc3c(C(=O)Nc4ccccc4)oc4ccccc34)[nH]n2)c1
ZINC13321338	C/C(=N/NC(=O)c1cc(O)ccc1O)c1cccc(NC(=O)c2csc3c2CCCC3)c1
ZINC14727588	CC(C)=CCc1c(O)c(CC=C(C)C)c2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2
ZINC15016583	Oc1cc(C(c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)cc(Br)c1O
ZINC15107711	COC(=O)c1ccc(C2c3c(O)n[nH]c3CC(C)(O)C2C(=O)Nc2ccc(C)cc2C)cc1
ZINC15107717	COC(=O)c1ccc(C2c3c(O)n[nH]c3CC(C)(O)C2C(=O)Nc2ccc(C)cc2C)cc1
ZINC15862824	Cc1ccc(C)c(C(=O)c2sc(Nc3ccc(F)cc3)c(C(N)=O)c2N)c1
ZINC20467293	CCNC(=O)NC1CCC2(C)CCC(C(C)C(=O)NC3CCCC3)C(O)C2C1C
ZINC20568884	CC1=C(C(=O)Nc2ccc(Br)cc2)C(c2c(O)ccc3ccccc23)NC(=O)N1
ZINC21332062	CC1CCCCC1NC(=O)NC(=O)COC(=O)c1nc(Cl)c(Cl)c(N)c1Cl
ZINC21332068	CC1CCCCC1NC(=O)NC(=O)COC(=O)c1nc(Cl)c(Cl)c(N)c1Cl
ZINC32125066	NC(=O)c1c(NC(=S)NC(=O)c2ccc(Cl)cc2Cl)sc2c1CCCCC2
ZINC09130657	Nc1c(N2CCN(c3ccccc3)CC2)cc(NCCO)c2c1C(=O)c1ccccc1C2=O
ZINC34784874	CC(C)(C)c1nn(-c2cc(F)ccc2F)c(N)c1NC(=O)NCC1CCCCC1
ZINC38171495	NS(=O)(=O)c1ccc(O)c(/N=N/c2c(Nc3ccccc3)ccc3ccccc23)c1
ZINC01684459	O=C(N/N=C/c1c(O)ccc2ccccc12)C(=O)N/N=C/c1c(O)ccc2ccccc12
ZINC39561091	CC(OC(=O)c1nc(Cl)c(Cl)c(N)c1Cl)C(=O)NC(=O)NC1CCCCC1
ZINC40399328	Cc1ccc(NC(=O)C2CC(=O)Nc3nc(Nc4ccc(Cl)cc4)[nH]c(=O)c32)c(F)c1
ZINC40400371	Cc1ccc(Nc2nc3c(c(=O)[nH]2)C(C(=O)Nc2ccc(C)c(C)c2)CC(=O)N3)cc1
ZINC40400375	Cc1ccc(Nc2nc3c(c(=O)[nH]2)C(C(=O)Nc2cc(C)cc(C)c2)CC(=O)N3)cc1
ZINC40400531	Cc1ccc(Nc2nc3c(c(=O)[nH]2)C(C(=O)Nc2ccc(C)cc2Cl)CC(=O)N3)cc1
ZINC06050257	CC1(C)CC(NC(=O)NC2CCCCC2)CC(C)(CNC(=O)NC2CCCCC2)C1
ZINC06050258	CC1(C)CC(NC(=O)NC2CCCCC2)CC(C)(CNC(=O)NC2CCCCC2)C1
ZINC45326720	CC1=C(C(=O)Nc2ccccc2C(F)(F)F)C(c2ccc(O)c([N+](=O)[O-])c2)NC(=S)N1
ZINC20611068	COc1ccc2[nH]c3c(c2c1)CC[NH2+]C3c1c([O-])[nH]c(=O)n(-c2cccc(C)c2C)c1=O
ZINC20611475	COc1ccc2[nH]c3c(c2c1)CC[NH2+]C3c1c([O-])[nH]c(=O)n(-c2cc(C)ccc2C)c1=O
ZINC01790855	Nc1c(C(=O)NC2CCCCC2)c2nc3ccccc3nc2n1/N=C/c1ccccc1O
ZINC45873168	O=C(NC1CCCCCC1)c1ccccc1NS(=O)(=O)c1ccc2[nH]c(=O)[nH]c2c1
ZINC39326460	CC1=CC(=O)N2C(N1)NC(NCCc1c[nH]c3ccccc13)=NC2c1ccc(Cl)cc1
ZINC01276165	Nc1c(C(=O)NC2CCCC2)c2nc3ccccc3nc2n1/N=C\c1ccccc1O
ZINC54202200	Cc1ccc(Nc2nc3c(c(=O)[nH]2)C(C(=O)Nc2ccc(F)c(Cl)c2)CC(=O)N3)cc1
ZINC54925357	CC(NC(=O)NNC(=O)c1cc(-c2ccccc2)n[nH]1)c1cc2ccccc2o1
ZINC56157228	Cc1ccc(NC(=O)NC(=O)C(C)Nc2cccc(N3CCNC3=O)c2)c(C)c1
ZINC56157229	Cc1ccc(NC(=O)NC(=O)C(C)Nc2cccc(N3CCNC3=O)c2)c(C)c1
ZINC03521728	CC(Sc1nnc(-c2c[nH]c3ccccc23)n1-c1ccc(Cl)cc1)C(=O)NC(N)=O
ZINC03521729	CC(Sc1nnc(-c2c[nH]c3ccccc23)n1-c1ccc(Cl)cc1)C(=O)NC(N)=O
ZINC59385187	CC1=C(C(=O)N/N=C/c2ccc3c(c2)OCO3)C(c2ccccc2O)NC(=S)N1
ZINC15972886	COc1ccc(Cl)cc1NC(=O)C1CC(C(C)O)NC12C(=O)Nc1ccc(Cl)cc12
ZINC62522425	O=C(Nc1ccc(Cl)cc1)Nc1ccc(NC(=O)c2cc[nH]n2)cc1
ZINC13523681	COc1ccc(C2(c3ccc(O)cc3O)CC(c3ccccc3Cl)[NH+]=C([S-])N2)cc1
ZINC13523681	COc1ccc(C2(c3ccc(O)cc3O)CC(c3ccccc3Cl)NC(=S)N2)cc1
ZINC65315493	O=C(Nc1ccccc1)Nc1ccc(NC(=O)N2CCCC(C(=O)NC3CCCC3)C2)cc1
ZINC65315549	CNC(=O)C1CCCN(C(=O)Nc2ccc(NC(=O)Nc3ccc(C)cc3C)cc2)C1
ZINC01048187	CC1(C)C2CCC(C2)C1(C)NC(=S)N/N=C/c1ccc(O)cc1O
ZINC01296701	N#CC1=C(N)n2c(s/c(=C\c3ccccc3)c2=O)=C(C(N)=O)C1c1ccccc1
ZINC00838848	O=C(NNC(=O)Nc1csc2c1CCCC2)Nc1csc2c1CCCC2
ZINC02166036	O=C(NNC(=O)c1ccc(O)cc1)Nc1cc(Cl)c(Cl)cc1Cl
ZINC02853681	O=C(NNC(=O)c1cc(Br)ccc1O)Nc1ccc(F)cc1F
ZINC05175714	O=C(N/N=C/c1c2ccccc2cc2ccccc12)c1cc(O)c(O)c(O)c1
ZINC12402452	CC1(O)Cc2[nH]nc(O)c2C(c2ccccc2)C1C(=O)Nc1ccccc1
ZINC12660047	C/C(=N\NC(N)=S)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
ZINC13640429	CC(C)CC(=O)Nc1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC13640433	CC(C)CC(=O)Nc1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC14762765	CC(C)=CCc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc12
ZINC15020136	OCC1OC(Oc2c[nH]c3ccc(Br)c(Cl)c23)C(O)C1O
ZINC15081092	CC1(O)Cc2[nH]nc(O)c2C(c2ccc(Cl)cc2)C1C(=O)Nc1ccccc1
ZINC15081094	CC1(O)Cc2[nH]nc(O)c2C(c2ccc(Cl)cc2)C1C(=O)Nc1ccccc1
