ZINC02004002	CC(C)([NH3+])Cc1ccc(Br)cc1
ZINC61570588	C1CCC([NH2+]C2CCCSC2)CC1
ZINC62716654	C1CCC(C23C[NH2+]CC2C3)CC1
ZINC39473484	CC1(C)CC2(CCC[NH2+]C2)CCS1
ZINC66340112	C1CCCC2(CCC1)C[NH2+]2
ZINC19881175	COCC[NH2+]C1CCCCC1C
ZINC19906923	CCCCNC1CC[NH+](C)CC1
ZINC20035915	CCC(C)(C)[NH2+]CC1CCCO1
ZINC35287156	CCC1CSC(NCC(C)C)=[NH+]1
ZINC35294271	CCC1CSC(NCC2CC2)=[NH+]1
ZINC37180219	Cc1ccc(C[NH2+]CC2CCC2)o1
ZINC37187374	COC1CCCCC1[NH2+]CC1CC1
ZINC37187377	COC1CCCCC1[NH2+]CC1CC1
ZINC37242338	CCNC1CC[NH+](C(C)C(C)C)C1
ZINC37255004	CC(C#N)C[NH2+]C1CCCC(C)C1
ZINC37467933	C[NH2+]C(CC1CCCO1)C(C)C
ZINC38043627	CCC(C)[NH2+]CC1CCCOC1
ZINC38043628	CCC(C)[NH2+]CC1CCCOC1
ZINC20206737	CC([NH2+]C(C)C1CCCO1)C1CC1
ZINC38043973	CC(C)C(C)[NH2+]CC1CCCOC1
ZINC38043975	CC(C)C(C)[NH2+]CC1CCCOC1
ZINC19963636	CC(C)C(C)[NH2+]CC1CCCO1
ZINC37264976	CNC1CC[NH+](C(C)CC(C)C)C1
ZINC40494674	CCNC1CC[NH+](CC(C)(C)C)C1
ZINC40887157	CCC(C)[NH2+]CC1CCOCC1
ZINC41049505	CC(C)C(C#N)[NH2+]C1CCCC1
ZINC41051488	CC(C)(C)C[NH2+]Cc1nccs1
ZINC44043015	CCC[NH2+]C1CCCC1OC
ZINC44044714	CC[NH2+]C1CCCCC1OCC
ZINC44069385	C[NH2+]C1CCCCC1OCC1CC1
ZINC44095274	C[NH2+]C(C)C(C)OC(C)(C)C
ZINC50267118	CCC(C)[NH2+]CC1CCC=CO1
ZINC50267121	CCC(C)[NH2+]CC1CCC=CO1
ZINC50267922	CC([NH2+]CC1CCC=CO1)C1CC1
ZINC50371083	COC1CCCC1[NH2+]CC1CC1
ZINC50519903	CC[NH2+]C1CCCC1OC1CCC1
ZINC50520591	C1CCC(CCOC2CCC2)[NH2+]C1
ZINC51815845	C/C=C/COCC1CCCC[NH2+]1
ZINC51957309	C[NH2+]CC(C)(C)OC1CCCC1
ZINC52173792	C[NH2+]C(C)CCC1CCOCC1
ZINC52173842	C[NH2+]C(C)C(C)CC1CCOCC1
ZINC52953697	C[NH2+]CC(C)CC1CCOCC1
ZINC53825265	C[NH2+]C(CC1CCOCC1)C(C)C
ZINC53827838	C[NH2+]C(CC1CCOCC1)C1CC1
ZINC54489023	CCC(C)CNC1=[NH+]C(C)CS1
ZINC54594777	CC(C)[NH2+]CC1CC1C1CCOC1
ZINC54596005	C1CC(C2CC2C[NH2+]C2CC2)CO1
ZINC54822725	C=CC[NH2+]C1CCCCC1C#N
ZINC42543984	CC(C)CC[NH2+]C1CCN(C)C1
ZINC49709114	CCCN1CCC([NH2+]CC)C(C)C1
ZINC59924882	CC(C)CC(=[NH2+])N1CCCC1
ZINC52171687	CCC(C)(C)[NH2+]CC1CCOCC1
ZINC61674549	CC(C)C[NH2+]CC1(C)CCOCC1
ZINC62194628	CCC1(C[NH2+]C(C)C)CCCOC1
ZINC62990972	CCC(=[NH2+])N(C)CC(F)(F)F
ZINC03881395	CC(=O)C1(C)CC=C(CCC=C(C)C)CC1C
ZINC02077804	CC(=O)C1(C)CC=C(CCC=C(C)C)CC1C
ZINC02130740	CC(C)=CCCC(C)/C(C)=C/C=O
ZINC02170699	CCC(C)(C)C1CCC(=O)C(C(C)(C)CC)C1
ZINC01084563	CC(C)(C)Sc1cccc2ccccc12
ZINC00409840	CC1=CC(C)(C)C=C(S)N1c1ccccc1
ZINC04823490	C=CCSCCC1=CCC2CC1C2(C)C
ZINC01702349	C/C=C/c1cc(C)cc(C)c1OC(C)CC
ZINC04025441	C=C1CCC2COC(C3CCC=C(C)C3)C1C2
ZINC02038700	CCCCSc1nc2ccccc2s1
ZINC05735746	COC1(C)CCC23CC1C(C)(C)C2CCC3C
ZINC05923919	CCC1(C)CC(=O)C(=C(C)C)CC1C(C)C
ZINC05923937	CCC1(C)CCC(=C(C)C)C(=O)C1C(C)C
ZINC17283930	CC(C)(C)C1CCCC(C(C)(C)C)C1=O
ZINC25665091	Cc1ccc(Sc2ccccc2C)s1
ZINC32012852	Cc1cc(C)c(-n2c(C)ccc2C)c(C)c1
ZINC35645021	COC(C)C/C=C1/C(C)=CCCC1(C)C
ZINC36849112	CC1CCC(C(C)C)C(OCCCCl)C1
ZINC36928912	CC(=O)c1sc2c(C)cc(C)cc2c1C
ZINC37934445	CCC(C#N)(CC)c1cc(C)cc(C)c1
ZINC38634001	CCC/C(C=O)=C\CC1CC=C(C)C1(C)C
ZINC38636823	CC(C)C1CC2CC(C#N)C1CC2C
ZINC39055890	CCCC/C=C\C1C(C(=O)Cl)C1(C)C
ZINC40265597	CCc1ccc(C(Cl)c2occc2C)s1
ZINC41226704	Cc1cc(C)cc(OC(C)(C)CCl)c1
ZINC41241886	CCCC(CCl)c1ccc(Cl)s1
ZINC41278065	CC(C)CC(CCl)c1ccc(Cl)s1
ZINC41284476	COc1cc(C)c(C(CCl)C(C)C)cc1C
ZINC43646460	Cc1ccc(C)c(SCCCCCl)c1
ZINC43653972	CC(C)=CCC1CC(C(C)(C)C)CCC1=O
ZINC45028343	Clc1ccc(-c2ccc(Cl)s2)cn1
ZINC49707245	CCC(Cl)c1ccc(C(C)(C)C)cc1
ZINC49781049	ClCC/C=C/c1ccc2c(c1)CCCC2
ZINC49781548	CC(CCCl)c1ccc2c(c1)CCCC2
ZINC49781972	CC(C)C(CCl)c1c(F)cccc1Cl
ZINC49783332	Cc1cc(C)c(C(CCCl)C(C)C)c(C)c1
ZINC50426042	CCCC1CCC(=O)C(CC(C)CC)C1
ZINC01813573	CCCCCC/C=C1\CCCCC1=O
ZINC55161685	Cc1cc(Cl)c(Cl)cc1C(F)(F)F
ZINC55260896	C=C(C)C#CCC1CC2C=CC1C2
ZINC55343146	CC1CCC(C(C)C)C(Cl)C1
ZINC59508300	Cc1ccc(/N=C/c2ccc(C)s2)c(C)c1
ZINC59519027	Cc1ccsc1/C=N/c1ccccc1Cl
ZINC53779977	CCCCCC(=O)C1CCCC(C)C1
ZINC54629850	CC(C)CCC1CC(C(C)C)CCC1=O
ZINC54629872	CCCCCC1CC(C(C)C)CCC1=O
ZINC62335737	CCC(CC)C(Cl)c1ccc2c(c1)COC2
ZINC35904881	Cc1cc2c(cc1C=O)C(C)(C)C(C)C2(C)C
ZINC62836063	N#CC1CCCCCC1SCC1CCCC1
ZINC63116665	Cc1ccc(F)c2nc(Cl)c(C(C)C)cc12
ZINC20187793	OCCC[NH2+]C1CCCCCCC1
ZINC20187914	CC([NH2+]CCCO)c1ccc(Cl)cc1
ZINC20194575	CCC(CO)[NH2+]C1C(C)CCCC1C
ZINC32011825	CC[NH2+]CC(C)(O)c1ccc(CC)cc1
ZINC35236180	CC(C)CCOC1CCCCC1C[NH3+]
ZINC35602926	Cc1ccc(C(C)[NH2+]C(C)CO)c(C)c1
ZINC35603980	CCc1ccc(C[NH2+]C(C)(C)CO)s1
ZINC36786916	CCC(CC)(C[NH3+])N(C)C(C)C(C)C
ZINC37163791	CCCCCOC1CCCC1C[NH3+]
ZINC37163831	CCCCCOC1CCCCC1C[NH3+]
ZINC37165947	CCC(CC)[NH2+]C1CCCC(O)C1
ZINC37688601	CCC(O)C[NH2+]C1CCCC(C)C1C
ZINC38040709	CC(C)CCCC(C)[NH2+]C1CCNCC1
ZINC19883017	CC(C)C[NH2+]C(C)c1ccc(O)cc1
ZINC41053656	CC(C)C(C)N(C)C(C)(C[NH3+])C(C)C
ZINC41059830	CC(C)CCC(C)([NH3+])c1nccs1
ZINC41206417	CCCc1ccc(C(O)C[NH2+]C)cc1
ZINC41213148	CCc1ccccc1NCC1CCC[NH2+]1
ZINC41216550	COc1ccc(C(C)C[NH3+])cc1C(C)C
ZINC41232906	CCc1ccc(CC(O)C2CCC[NH2+]2)cc1
ZINC41675079	Cc1ccsc1C(CO)[NH2+]CC1CC1
ZINC42861857	CCC(O)C[NH2+]CC1CCCCC1C
ZINC43295130	CC([NH3+])C(OC1CCCC1)C(C)(C)C
ZINC43295171	CC([NH3+])C(OCC(F)(F)F)C(C)(C)C
ZINC43296187	CC(C)CCOC(C(C)[NH3+])C(C)(C)C
ZINC43296687	CCC([NH3+])C(OCC1CC1)C(C)(C)C
ZINC43384166	CCC([NH3+])C(OCC(C)C)C(F)(F)F
ZINC43385242	CCC(C)OC(C([NH3+])CC)C(F)(F)F
ZINC43395107	Cc1cc(C)cc(C(CO)[NH2+]C(C)C)c1
ZINC43445378	CC1CCCCC1[NH2+]CCCCO
ZINC44398731	Cc1cc(CC[NH3+])c(OCC2CC2)cc1C
ZINC45617987	CC([NH3+])CCCCOC1CCCC(C)C1
ZINC50212793	CCC(O)(CC)C[NH2+]C1CCCC1
ZINC51020735	CC1CCCC([NH2+]CCCCCO)C1
ZINC51958199	CCC(C)(C[NH3+])OC1CCCCC1
ZINC52170925	CCC(C)(C[NH3+])OCC1CCCCC1
ZINC52947259	CC(C)C(C[NH3+])Cc1cscn1
ZINC53125554	C=C(C)C[NH2+]C1(CO)CCCC(C)C1
ZINC53493555	CC(C)[NH2+]C(C)CNCc1cccs1
ZINC53760698	CCC([NH3+])(CC1CCCO1)C(C)C
ZINC53760906	COCCC(C)([NH3+])Cc1cccs1
ZINC55031154	OC(C[NH2+]C1CCCC1)C1CCCC1
ZINC58854160	CC[NH2+]CCNc1ccc(C)cc1C
ZINC58855282	CC[NH2+]CCNc1ccc(C)c(Cl)c1
ZINC37490740	CCC(CC)[NH2+]C1CCCCC1O
ZINC37490742	CCC(CC)[NH2+]C1CCCCC1O
ZINC53752134	CCOCCC1([NH3+])CCCC(C)C1
ZINC61319817	C[NH2+]C(C)(C)CNCc1ccc(C)s1
ZINC61686406	CC(C)OCCC(C(C)C)C(C)[NH3+]
ZINC62992256	CCC(=[NH2+])NC(C)c1cc(C)sc1C
ZINC00116711	Nc1cc(F)c(C(F)(F)F)c(F)c1
ZINC01760436	OCc1cc(Cl)c(O)c(Br)c1
ZINC08764193	Nc1ccc(Sc2ccncc2)c(Cl)c1
ZINC12370880	OCc1ccc(I)c(O)c1
ZINC00109585	NC(=O)c1sccc1Br
ZINC08698284	OCC(O)CC(F)(F)C(F)(F)C(F)(F)F
ZINC19413267	NC(=S)Cc1ccc(Br)s1
ZINC19435164	CCC1CCCCC1OCCC(N)=S
ZINC19930103	Cc1ccccc1C(N)c1nc(C)c(C)s1
ZINC19930105	Cc1ccccc1C(N)c1nc(C)c(C)s1
ZINC20257396	NC(=S)c1ccc(N2CCSCC2)cc1
ZINC20475323	NC(c1ccc2c(c1)-c1ccccc1C2)C(F)F
ZINC19875174	Nc1ccc2c(c1)CCCN2C(F)F
ZINC33427019	Cc1c(Cl)cccc1N1CCC(N)C1
ZINC36205367	Cc1ncc(Cc2cc(N)ccc2Cl)s1
ZINC36866938	Cc1nc(N)sc1SCc1ccsc1
ZINC37182212	Nc1ccc(SCC2CCCCO2)cc1
ZINC37182507	Nc1ccc(SCC2CCCO2)cc1
ZINC37194158	CCOCCSc1ccc(N)cc1F
ZINC37205801	N#CCSc1ccc(Br)cc1N
ZINC37688425	CCC(O)CNc1ccc(SC)cc1
ZINC37862466	OC(CNCc1cccs1)c1cccs1
ZINC37883239	OC(CNCC(F)(F)F)c1ccccc1Cl
ZINC38111660	CC(CO)(NCC(F)(F)F)c1ccccc1F
ZINC03845931	CC1(C(N)=O)CCC(CBr)C1(C)C
ZINC40714038	CCSc1ncc(Br)cc1N
ZINC41048920	Cc1cc(-c2cc(N)ccc2F)c(C)o1
ZINC41051948	CC(C)(C)C(CO)NCC(F)(F)F
ZINC41059897	NC(c1nccs1)c1c(F)cccc1Cl
ZINC41060182	NC(c1ccsc1)c1nc2c(s1)CCCC2
ZINC42467570	Nc1cccc(N(Cc2ccsc2)C2CC2)c1
ZINC43444125	OCCCNc1ccc(Br)cc1F
ZINC45333612	CC(N)(C#N)CCCSC(C)(C)C
ZINC48334656	Cc1ccc(CNCC(O)c2cccs2)s1
ZINC48896113	Nc1ccc(N2CCCSCC2)c(Cl)c1
ZINC49259797	Cc1cc(N)ccc1SCCOC(C)C
ZINC43376830	CC(N)C(N1CCCCCCC1)C(F)(F)F
ZINC49808684	NC(c1ccc(Cl)c(F)c1)c1nccs1
ZINC49964492	CCCCS(=O)Cc1ccc(N)cc1Cl
ZINC50869897	CCc1cc(N)c2cc(F)cc(Cl)c2n1
ZINC53166011	Nc1ccc(F)c(F)c1N1CCCSCC1
ZINC55214709	CC(C)(O)C#Cc1ccc(C2NCCS2)cc1
ZINC61362942	CC(NCC(O)c1cccs1)c1ccsc1
ZINC62053816	Nc1ccc(SC2CCOCC2)c(Cl)c1
ZINC62053820	Nc1ccccc1SC1CCOCC1
ZINC62451846	N#CC(N)CCSc1ccc(F)c(F)c1
ZINC62830463	Nc1ccc(CCS(=O)C2CCCC2)cc1
ZINC63066240	CC1(C)CCCN1c1c(F)cc(N)cc1F
ZINC65356661	N#CSc1cc(Cl)c(N)cc1F
ZINC34087503	OCc1ccc(Br)c(O)c1
ZINC03425125	O=C(Oc1ccc(-n2cnnn2)cc1)C1(c2ccc(Cl)cc2)CCC1
ZINC04013488	COc1ccccc1CN1C(=O)C(=O)N(Cc2c(F)cccc2Cl)C1=O
ZINC04132202	CC1=C(C(=O)OCC2CCCO2)C(c2ccncc2)C2C(=O)CCCC2=N1
ZINC04998931	CCOC(=O)C1CCN(C(=O)C2CC(=O)N(c3ccc(C)c(C)c3)C2)CC1
ZINC05539778	O=C(CN1CCCCCC1=O)OCc1cc(Cl)cc2c1OCOC2
ZINC03510620	O=C(OCC(=O)N1CCCC1=O)c1cc(-c2ccccc2)nc2ccccc12
ZINC05757601	COC(=O)C1=C(C(=O)OC)C2C(C)=CC(C)=CN2C(C#N)=C(SC)S1
ZINC05535197	CS(=O)(=O)c1ccccc1C(=O)OCC(=O)N1CCCc2ccccc21
ZINC04251303	O=C(CSc1ccc(-c2ccc(-n3ccnc3)cc2)nn1)N1CCCCC1
ZINC12303616	O=C(Cn1cccn1)N1CCC2(CCCN(CCC3CCCCC3)C2=O)C1
ZINC12862653	COc1ccccc1-c1nnc(SCc2ncc(Cl)n2C)n1C
ZINC12550376	Cc1ccc(-c2cc(C(=O)OCc3cccnc3)c3c(C)noc3n2)s1
ZINC15706323	CC(OC(=O)c1ccc(Cl)nc1)C(=O)N1CCN(c2ccccc2)CC1
ZINC19214163	CSc1nnc(C2CCCN2C(=O)C(C)Oc2ccc(C)c(C)c2)n1C
ZINC21129786	CCN1CCN(C(=O)C(C)Sc2nnc(-c3ccccc3C)n2C)CC1
ZINC30974964	COc1ccc(Cl)cc1CSc1nnc(N2CCOCC2)n1C
ZINC32615783	O=C(Cn1cccc2c(=O)n(Cc3cccs3)c(=O)nc1-2)c1ccccc1
ZINC32776942	O=C(OC1CCCCC1=O)C1CCCN(S(=O)(=O)c2cccs2)C1
ZINC34723692	CCCCn1c(=O)n(CC(=O)N2CC2)c(=O)c2c3c(sc21)CC(C)=C3C
ZINC34732581	CCC1=C(C)Cc2sc3c(c21)c(=O)n(C)c(=O)n3CC(=O)N(CC)CC
ZINC34766523	CCOC(=O)Cn1c(=O)c2c3c(sc2n(CC)c1=O)CCCCC3
ZINC37640620	COC(=O)Cn1c(=O)n(Cc2ccccc2)c(=O)c2c3c(sc21)CCC3
ZINC00779297	CCn1c(SCC(=O)N2CCc3ccccc32)nnc1-c1ccco1
ZINC39540431	Cn1cc(S(=O)(=O)Oc2ccccc2)c(S(=O)(=O)c2ccccc2)c1
ZINC41257480	COc1ccc(S(=O)(=O)N2CCN(C(C#N)c3cccs3)CC2)cc1
ZINC45644889	COc1cc(OC)c(C2=CCN(c3ncccc3C#N)CC2)c(OC)c1
ZINC45874868	Cc1nn(C)c(Cl)c1/C=C/C(=O)OC(C)C(=O)N1CCCCCC1
ZINC47961392	Cc1nc(S(=O)(=O)C(C)C(=O)N2CCCCCC2)n(CC(C)C)c1C
ZINC48435800	CC(C)Cc1cn(CC2CCCN(C(=O)c3ccc4ncccc4c3)C2)nn1
ZINC48867543	CCS(=O)(=O)N1CCC(C(=O)Oc2cccc3c2OC(C)(C)C3)CC1
ZINC49458284	N#CC(C(=O)c1cnn(-c2ccccc2F)c1-n1cccc1)c1ccccn1
ZINC51561021	Cc1ccc(CCC(=O)N(C)S(=O)(=O)c2c(C)noc2C)c(C)c1
ZINC52852485	CCc1oc2ccccc2c1/C=C/C(=O)N1CCN(Cc2cc(C)on2)CC1
ZINC55347176	COC(=O)c1ccccc1S(=O)(=O)C(C)C(=O)N1CC(C)CC(C)C1
ZINC07699430	CC(c1ccc(-n2cncn2)cc1)N(C)S(=O)(=O)c1ccccc1Cl
ZINC58629930	O=S(=O)(Cc1cc(-c2ccccc2)on1)Cc1cn2ccccc2n1
ZINC59337912	Cn1ccnc1CSc1nnc(N2CCCC2)n1-c1ccccc1Cl
ZINC53435049	CCN(CC1CCCO1)C(=O)C1=NN(c2cc(C)ccc2C)C(=O)CC1
ZINC62093522	O=C(C(Cc1ccccn1)c1ccccc1)N1CCN(c2ncccn2)CC1
ZINC62093524	O=C(C(Cc1cccnc1)c1ccccc1)N1CCN(c2ncccn2)CC1
ZINC62555649	Cc1ccccc1OCC1CCCN(S(=O)(=O)c2c(C)noc2C)C1
ZINC63238203	C=C1c2ccccc2C(=O)N1CC(=O)OCc1cccc2c1OCCO2
ZINC63495393	CCOC(=O)c1ccc(N2CCCN(C(=O)c3ccc(C)s3)CC2)nc1
ZINC64612242	Cn1cc(-c2nc(CSCc3cc(=O)n4ccsc4n3)cs2)cn1
ZINC65283487	CCC(CC)N1CCN(C(=O)c2nc(N(C)C)c3c(C)scc3n2)CC1
ZINC65535156	c1ccc(-c2ncn(CC3CCCO3)c2-c2ccc(-n3cncn3)cc2)cc1
ZINC66078532	Cc1nc(-c2ccccc2C)n(CN2CCN(Cc3cscn3)CC2)n1
ZINC66568692	COC(=O)c1cccc(S(=O)(=O)Oc2cccc3cccnc23)c1C
ZINC66804115	Cc1cc2nc(C)c(CCC(=O)Oc3ccc(C#N)c(F)c3)c(C)n2n1
ZINC66868505	Cn1c(-c2ccccc2)nnc1C(C#N)C(=O)/C=C/c1ccc2c(c1)CCO2
ZINC01590473	CNC(=O)Nc1ccc(C2(C)SCCS2)cc1
ZINC19845681	Nc1cccc(Cl)c1Sc1nncs1
ZINC20222246	Nc1ccccc1CCc1ncc2ccccn12
ZINC20278405	CC1CCCCN1c1cc(C(F)(F)F)cnc1N
ZINC20296633	Nc1ccc(Oc2cccc3cccnc23)cc1
ZINC20506919	CC1CC(Oc2ccc(N)nc2)CC(C)(C)C1
ZINC20595556	Nc1ccc(=O)n(Cc2c(Cl)cccc2Cl)c1
ZINC35763898	CC(Nc1cn[nH]c1)c1ccc(Cl)cc1Cl
ZINC36020282	CC(=O)C1CC2(O)C(C(C)C)CCC2(C)CC1O
ZINC37077758	COc1nc(Sc2ccccc2)ccc1N
ZINC37132320	Oc1cccc2c(NCc3ccco3)cccc12
ZINC37222378	N#Cc1ccc(Cn2ccc3ccc(N)cc32)c(F)c1
ZINC37419769	CCC1COC(C)CN1c1cccc(F)c1N
ZINC37550318	Cc1cc(C#CCCO)ccc1NC(=O)C1CC1C
ZINC37550321	Cc1cc(C#CCCO)ccc1NC(=O)C1CC1C
ZINC37691938	Cc1cc(CO)cc(C)c1OC1CCCCC1O
ZINC37715877	Nc1ccc(Sc2ncnc3ccccc23)cc1
ZINC37715896	Nc1cccc(Sc2ncnc3ccccc23)c1
ZINC00438370	CC(C)OC(=O)c1c(N)sc2c1CCCC2
ZINC37913003	CCC1CCCN1c1ccc(N)c2ncccc12
ZINC39509749	OC1CCCN(O)C12CCC(Cc1ccccc1)C2
ZINC41278703	CCc1ccc(C(C#N)c2ccc(N)cn2)cc1
ZINC41325106	CCc1ccc(-n2nc(C(F)(F)F)cc2N)cc1
ZINC41383574	Cc1ccc(C)c(CN2C(=O)Cc3cc(N)ccc32)c1
ZINC42421428	CCOC1CCCN(c2ccc(Cl)cc2N)C1
ZINC43424014	Cc1c(N)cccc1CN1CCOC2CCCCC21
ZINC43569391	Nc1ccnc(Oc2ccc(Br)cc2)c1
ZINC43665447	CC(c1ccccc1F)n1ncc(Cl)c1N
ZINC43665616	Cc1ccc(C(C)n2ncc(Cl)c2N)cc1C
ZINC43666484	CCC(C)C(C)n1ncc(Br)c1N
ZINC49351117	CC(C)c1noc(N)c1-c1cc(F)cc(F)c1
ZINC49827713	CC(C)(C)C1CCc2[nH]c(=O)c(CO)cc2C1
ZINC50471351	Cc1ccnc(Oc2ccc(N)c(Cl)c2)c1
ZINC50472097	Nc1cnccc1Sc1ccc2ccccc2n1
ZINC50585887	Cc1nn(Cc2cccc(N)c2C)c(C)c1Cl
ZINC51331240	Cc1ccnc(SC(C)c2ccc(N)cc2)n1
ZINC52842400	CCCc1nc2cc(N)ccc2n1-c1ccccc1
ZINC53074852	O=C(NC1(CO)CCCCC1)C1CC2C=CC1C2
ZINC54700979	Nc1ccc(Oc2ncccc2F)cc1Cl
ZINC58092272	CCCC(O)c1cc(C)cc2c1NC(=O)C2(C)C
ZINC58098946	Cc1c(C(O)CC(C)C)cc2c(c1C)NC(=O)C2
ZINC58098951	Cc1c(C(O)C(C)(C)C)cc2c(c1C)NC(=O)C2
ZINC58100893	Cc1c(C(O)C(C)C)cc2c(c1C)NC(=O)C2(C)C
ZINC43667620	Cc1nn(C(C)c2ccccc2)c(N)c1Cl
ZINC61365111	CC(c1ccsc1)n1c(N)nc2ccc(F)cc21
ZINC61659240	Cc1ccc(SCc2cccnc2C#N)c(N)c1
ZINC61669677	COc1ccc(-c2cc(N)c(C#N)s2)cc1F
ZINC61875314	Cc1ccc2cccc(Cc3cnc(N)s3)c2n1
ZINC58104387	CCCC(O)c1cc(Cl)cc2c1NC(=O)C2C
ZINC62365486	CC1CCCC(Sc2ncnc(Cl)c2N)C1
ZINC01085078	O=C(CSc1ccc(Br)cc1)Nc1cccc([N+](=O)[O-])c1
ZINC00923673	CCc1nnc(NC(=O)CSc2cc(C)c3ccc(C)c(C)c3n2)s1
ZINC01453351	Cc1ccc(-c2ccc(/C=C(\C#N)C(=O)NCc3ccco3)o2)cc1Cl
ZINC04690569	Cc1ccccc1NC(=O)CSc1nnc(-c2ccccc2Cl)n1C
ZINC01357870	O=C(NC(c1ccccc1)c1ccccc1)C1CCCN(c2ncccn2)C1
ZINC05633298	CC(C)OC(=O)C1CC=CCC1C(=O)Nc1sc2c(c1C#N)CCCC2
ZINC02743986	Cc1noc(C)c1C(=O)Nc1nc(-c2ccc(CC(C)C)cc2)c(C)s1
ZINC03482334	Cc1ccc(NC(=O)COC(=O)c2c3c(nc4ccccc24)CCC3)c(C)c1
ZINC06534600	Cc1nc(SCC(=O)Nc2ccc(N3CCCCC3)cc2)nc(C)c1C
ZINC07646361	CC(OC(=O)c1cc(F)c(F)cc1Cl)C(=O)NC1(C#N)CCCCC1
ZINC01444735	O=C(N/N=C/c1cn(-c2ccccc2)nc1-c1ccccc1)c1ccccc1
ZINC10264073	Cc1ccc(-c2nnc(SC(C)C(=O)Nc3ccccc3F)n2C)cc1
ZINC12220474	COc1ccc(C(C)C)cc1S(=O)(=O)N1CCC(O)(c2ccccc2)C1
ZINC12945399	COC(=O)C1(NC(=O)Cc2coc3cc4c(cc23)CCC4)CCCCCC1
ZINC06105994	Cc1ccc(-n2cnnc2SC(C)C(=O)NC2CCCCC2C)c(C)c1
ZINC08280278	Cc1cc(C)cc(OCC(=O)Nc2ccc(-c3cn4ccsc4n3)cc2)c1
ZINC12554006	COC(=O)C1=C(C)N(c2ccc(OC)cc2)C(=S)NC1c1ccsc1
ZINC13864406	CNC(=O)c1cc2c(Oc3ccc(OC(F)(F)F)cc3)cncc2s1
ZINC14479269	COc1ccc(C2Nc3c(OC)ccc(OC)c3C3C=CCC32)cc1OC
ZINC15588019	C=CCSc1nnc(NC(=O)C2COc3ccc(Cl)cc3C2)s1
ZINC16837999	Cc1ccccc1NC(=O)COc1cccc2ccc(N3CCCCC3)nc12
ZINC17747651	CCOc1ccc(-c2nc3sc4c(c3c(=O)[nH]2)CCCC4)cc1OCC
ZINC24141220	CC1CCCCC1NC(=O)CSc1nnc2ccc(C(F)(F)F)cn12
ZINC24715467	CC(C)=CC1C(C(=O)NCc2nnc3ccc(C(F)(F)F)cn23)C1(C)C
ZINC00636945	CCOC(=O)C1=C(C)NC2=C(C(=O)CCC2)C1c1ccc(OC)c(Cl)c1
ZINC28958777	c1ccc(-c2cc(NCc3cccnc3)n3ncc(-c4ccccc4)c3n2)cc1
ZINC29073514	CC(Sc1ncn(-c2ccccc2)n1)C(=O)Nc1cccc2ccccc12
ZINC31714020	CC(C)n1ncc2cc(NC(=O)CCc3cccc(Cl)c3Cl)cnc21
ZINC37562848	COc1c(Br)cc(Cl)cc1NCc1csc([N+](=O)[O-])c1
ZINC37578039	COc1cc(OC)cc(C(=O)N2CCCC(Nc3cc(C)ccc3F)C2)c1
ZINC00754091	CCOC(=O)C1(C#N)C(=N)C(C#N)C(c2ccccc2)=CC1c1ccccc1
ZINC40654965	CC(C)(CC(=O)Nc1ccc(N2CCCS2(=O)=O)cc1)c1ccccc1
ZINC41125119	CCCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4)ccc1c23
ZINC41308029	CCOC(=O)c1c(NC(=O)c2cc3cc(C)ccc3o2)sc2c1CCC2
ZINC41373097	COc1ccc(N2CCCC2)cc1NS(=O)(=O)c1ccc(Cl)s1
ZINC45294141	O=C1CN(C(=O)COC(c2ccccc2)c2ccccc2)c2ccccc2N1
ZINC22139234	Cc1noc2nc(C3CC3)cc(C(=O)NC(c3ccc(F)cc3)C(C)C)c12
ZINC48310203	N#Cc1c(CSc2nnc(NC3CCCCC3)s2)cn2ccccc12
ZINC49382723	CSc1cccc(NC(=O)CN2CCN(c3ccc(Cl)cc3)C2=O)c1
ZINC05785546	C(=N/c1cccc(-c2c[nH]cn2)c1)\c1nc2ccccc2n1Cc1ccccc1
ZINC55270673	Cc1cnn(Cc2ccccc2Cl)c1NC(=O)Cc1ccc(Cl)nc1
ZINC26761214	COc1ccc(C(C)Nc2cnn(-c3ccccc3)c(=O)c2Cl)cc1F
ZINC14871369	C=CCN1C(=O)NC(c2ccc(Br)s2)C(C(=O)OC)=C1C
ZINC46131701	CN(CC(=O)Nc1ccc(C23CC4CC(CC(C4)C2)C3)cc1)S(C)(=O)=O
ZINC16006873	CCOC(=O)c1c(NC(=O)c2nc(Cl)ccc2Cl)sc(C)c1C
ZINC62627935	CC(C)CN(C)C(=O)C(=O)Nc1cccc(-c2nc3ccccc3s2)c1
ZINC64713017	C=Cc1ccc(CSC2N=NC(=O)C3C=C(c4ccc(C)cc4)NN23)cc1
ZINC64898313	O=C(CCCn1cccn1)NC1=NC2=C(CCCC2)C2(CCCCC2)S1
ZINC66333149	Cc1cccc(C)c1Oc1ccccc1NC(=O)c1cnn(C)c1C(F)F
ZINC66623057	O=C(C(c1ccccc1)N1CCCCC1=O)N1CCC(Nc2ccccc2)C1
ZINC05001822	CC[NH+](CC)CCn1c(=O)[nH]c2cc(C(=O)NC3CCCCC3C)ccc21
