CHEMBL355330	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCC1
CHEMBL331906	Oc1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1
CHEMBL331906	Oc1cccc(-c2n[nH]c3ncnc(Nc4cccc(Cl)c4)c23)c1
CHEMBL121190	Nc1ncnc2n[nH]c(Nc3cccc(Cl)c3)c12
CHEMBL121190	Nc1ncnc2[nH]nc(Nc3cccc(Cl)c3)c12
CHEMBL1085511	CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CC[NH+](C)CC5)cc4)cnn3c2N)cc1
CHEMBL1085511	CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1
CHEMBL455384	Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)nc(-n3ccnc3)nc21
CHEMBL509941	Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)nc(N3CC[NH+](C)CC3)nc21
CHEMBL509941	Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)nc(N3CCN(C)CC3)nc21
CHEMBL400402	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(OCC[NH+]4CCCC4)cc3)nc12
CHEMBL56359	O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1cccs1
CHEMBL1171679	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(/C=C/n4cnc5c(N)ncnc54)c3)cc(C(F)(F)F)c2)cn1
CHEMBL1171679	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(/C=C/n4cnc5c(N)ncnc54)c3)cc(C(F)(F)F)c2)c[nH+]1
CHEMBL248393	COc1cc2c(NC3CC3c3ccccc3)c(C#N)cnc2cc1OCCCN1CC[NH+](C)CC1
CHEMBL248393	COc1cc2c(NC3CC3c3ccccc3)c(C#N)cnc2cc1OCCC[NH+]1CCN(C)CC1
CHEMBL1092926	Fc1cc(-c2cccc3ncc(-c4cnn(C5CC[NH2+]CC5)c4)nc23)cc(F)c1CN1CCOCC1
CHEMBL248392	COc1cc2c(NC3CC3c3ccccc3)c(C#N)cnc2cc1OCCCN1CCOCC1
CHEMBL248392	COc1cc2c(NC3CC3c3ccccc3)c(C#N)cnc2cc1OCCC[NH+]1CCOCC1
CHEMBL401251	COCCOc1cc2ncc(C#N)c(NC3CC3c3ccccc3)c2cc1OC
CHEMBL272198	COc1cc2[nH+]ccc(Oc3ccc4c(C(=O)NC5CC5)cccc4c3)c2cc1OC
CHEMBL31965	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1
CHEMBL31965	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCC[NH+]1CCOCC1
CHEMBL355019	COC(=O)CN1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)C1
CHEMBL355019	COC(=O)C[NH+]1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)C1
CHEMBL41465	COc1cc(Nc2c(C#N)cnc3cc(OCCC4CC[NH+](C)CC4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL56669	CCCCCC(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1
CHEMBL207471	Nc1ncnc2n[nH]c(-c3ccc(Cl)cc3)c12
CHEMBL207471	Nc1ncnc2[nH]nc(-c3ccc(Cl)cc3)c12
CHEMBL262276	COC(=O)CN1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)CC1
CHEMBL262276	COC(=O)C[NH+]1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)CC1
CHEMBL377463	O=C(Nc1ccc2[nH]nc(-c3nc4cc(N5CCC([NH+]6CCCCC6)CC5)ccc4[nH]3)c2c1)c1ccco1
CHEMBL377463	O=C(Nc1ccc2[nH]nc(-c3nc4ccc(N5CCC([NH+]6CCCCC6)CC5)cc4[nH]3)c2c1)c1ccco1
CHEMBL250019	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)N(C)CC[NH+]4CCCC4)cc3)nc12
CHEMBL249819	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(C(=O)N4CCS(=O)(=O)CC4)cc3)nc12
CHEMBL399246	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(C(=O)N4CC[NH+](C)CC4)cc3)nc12
CHEMBL399246	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3)nc12
CHEMBL249820	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(N)(=O)=O)cc3)nc12
CHEMBL378299	c1ccc2c(-c3nc4cc(N5CCC([NH+]6CCCCC6)CC5)ccc4[nH]3)n[nH]c2c1
CHEMBL378299	c1ccc2c(-c3nc4ccc(N5CCC([NH+]6CCCCC6)CC5)cc4[nH]3)n[nH]c2c1
CHEMBL455404	CN1C(=O)/C(=C/c2ccc(/C=C/C(=O)NCC[NH+](C)C)s2)Oc2ccccc21
CHEMBL376945	c1csc(CNc2ccc3n[nH]c(-c4nc5ccc(N6CCC([NH+]7CCCCC7)CC6)cc5[nH]4)c3c2)n1
CHEMBL376945	c1csc(CNc2ccc3n[nH]c(-c4nc5cc(N6CCC([NH+]7CCCCC7)CC6)ccc5[nH]4)c3c2)n1
CHEMBL376945	c1csc(CNc2ccc3[nH]nc(-c4nc5cc(N6CCC([NH+]7CCCCC7)CC6)ccc5[nH]4)c3c2)n1
CHEMBL518166	Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)nc(Oc3cccnc3)nc21
CHEMBL29197	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC
CHEMBL461768	Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)nc(C3CC[NH+](C)CC3)nc21
CHEMBL373101	COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CC[NH+](C)CC5)cn4)sc23)c(Cl)cc1Cl
CHEMBL373101	COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(C[NH+]5CCN(C)CC5)cn4)sc23)c(Cl)cc1Cl
CHEMBL119385	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl
CHEMBL556874	Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1/C=C/n1cnc2c(NC3CC3)ncnc21
CHEMBL245800	N#Cc1cnc2ccc(-c3ccc(C[NH3+])cc3)cc2c1NC1CC1c1ccccc1
CHEMBL399438	N#Cc1cnc2cc(-c3ccc(CN4CCOCC4)cc3)ccc2c1NC1CC1c1ccccc1
CHEMBL559826	Cc1ccc(C(=O)Nc2cc(-n3ccnc3)cc(C(F)(F)F)c2)cc1/C=C/n1cnc2c(NC3CC3)ncnc21
CHEMBL607707	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/C[NH+](C)C
CHEMBL607707	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
CHEMBL402548	COC(C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CC[NH+](C)CC4)cc3)c2C1)c1ccccc1
CHEMBL402548	COC(C(=O)N1Cc2n[nH]c(NC(=O)c3ccc(N4CC[NH+](C)CC4)cc3)c2C1)c1ccccc1
CHEMBL477139	COc1ccc2c(c1)Cc1sc(NC(=O)c3cccs3)nc1-2
CHEMBL477342	O=C(Nc1nnc(COc2ccccc2)s1)c1cccs1
CHEMBL1213976	O=C(Nc1ccc(OCCN2CCOCC2)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1
CHEMBL1213976	O=C(Nc1ccc(OCC[NH+]2CCOCC2)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1
CHEMBL1213975	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(CN4CC[NH+](C)CC4)cc3)cc2)ccn1
CHEMBL1213975	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(C[NH+]4CCN(C)CC4)cc3)cc2)ccn1
CHEMBL572878	Cc1cc(Nc2cc(N3CC[NH+](C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1
CHEMBL572878	Cc1cc(Nc2cc(N3CC[NH+](C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1
CHEMBL1213974	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)cc2)ccn1
CHEMBL495727	O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1
CHEMBL495727	O=C(Nc1cn[nH]c1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1
CHEMBL184742	Cc1ccc(NC(=O)Nc2cccc(N3CCCC3)c2)cc1Nc1nccc(-c2cccnc2)n1
CHEMBL290921	COc1cc(Nc2c(C#N)cnc3cc(OCCCC4CC[NH+](C)CC4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL122182	Oc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1
CHEMBL122182	Oc1ccc(Nc2n[nH]c3ncnc(Nc4cccc(Cl)c4)c23)cc1
CHEMBL1171532	c1n[nH]cc1-c1cnc2ncc(-c3cn[nH]c3)n2c1
CHEMBL1087650	C[NH+]1CC2CC1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)cc1
CHEMBL1087650	CN1CC2CC1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)cc1
CHEMBL169390	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCCC1
CHEMBL259247	Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cncnc1
CHEMBL1077317	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(/C=C/N4CNc5c(NC6CC6)ncnc54)c3)cc(C(F)(F)F)c2)cn1
CHEMBL1077317	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(/C=C/N4CNc5c(NC6CC6)ncnc54)c3)cc(C(F)(F)F)c2)c[nH+]1
CHEMBL1077317	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(C=CN4CNc5c(NC6CC6)ncnc54)c3)cc(C(F)(F)F)c2)cn1
CHEMBL1077317	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(C=CN4CNc5c(NC6CC6)ncnc54)c3)cc(C(F)(F)F)c2)c[nH+]1
CHEMBL400403	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(C(=O)NCC[NH+]4CCCC4)cc3)nc12
