ZINC00519932	O=C1NN(c2ccccc2)C(=O)C2C1C1C=CC2C12CC2
ZINC40801603	C=CCNC(=O)c1c(NC(=O)CC2Oc3ccc(C)cc3NC2=O)sc2c1CCCC2
ZINC43943492	CC(NC(=O)C(=O)NCC1CCN(C(=O)Nc2cccs2)CC1)c1ccccc1
ZINC43943884	Cc1ccc(NC(=O)C(=O)NCC2CCN(C(=O)Nc3ccc(F)cc3)CC2)cc1F
ZINC20290793	C/C(NCCc1c[nH]c2ccccc12)=C1/C(=O)NC(=O)N(c2ccccc2C)C1=O
ZINC08486534	Cc1c(C#N)c(NC(=O)CSc2nnc(N)s2)n(-c2cccc(F)c2)c1C
ZINC63373107	O=c1[nH]c([O-])c(C2NCCC3=c4ccccc4=[NH+]C32)c(=O)n1CCc1ccc(F)cc1
ZINC63373111	O=c1[nH]c([O-])c(C2NCCC3=c4ccccc4=[NH+]C32)c(=O)n1CCc1ccc(F)cc1
ZINC63374768	O=c1[nH]c([O-])c(C2NCCC3=c4ccccc4=[NH+]C32)c(=O)n1CCc1ccccc1
ZINC00045412	COC(=O)NC1(C(F)(F)F)Oc2cc(Cl)c(Cl)cc2O1
ZINC04088487	CC1CCc2c(sc(NC(=O)C3COc4ccccc4O3)c2C#N)C1
ZINC03035469	Cc1c2c(nc3c(C(=O)NC4CCCCC4C)cnn13)CCCC2
ZINC00815056	N#Cc1c(NC(=O)c2cc(-c3ccccc3)on2)sc2c1CCC2
ZINC02881704	Cc1ccc(C(=O)Nc2cc(C#N)c3sc4ccccc4n3c2=O)cc1
ZINC05683150	O=C(NCc1ccccc1)N1CCC(c2nc3ccccc3o2)CC1
ZINC00814416	O=C1CN(S(=O)(=O)c2ccc3ccccc3c2)c2ccccc2N1
ZINC07015305	O=C1NC2(CCOc3ccccc32)C(=O)N1Cc1cccc2ccccc12
ZINC09926746	CC1=C(C(=O)c2ccccc2)C(c2ccc(C)cc2)n2ncnc2N1
ZINC14128947	Cc1c(C(=O)CN2C(=O)NC3(CCCC3)C2=O)sc2ccccc12
ZINC14266750	Cc1ccc2c(c1)SC(C(=O)Nc1ccc(F)c([N+](=O)[O-])c1)C2
ZINC15866501	Brc1ccc(C2CC(c3cccs3)n3nnnc3N2)cc1
ZINC15866504	Brc1ccc(C2CC(c3cccs3)n3nnnc3N2)cc1
ZINC20755156	COc1cccc(C2Nc3c(ccc([N+](=O)[O-])c3C)C3C=CCC32)c1
ZINC35520074	CN1C(=O)NC(c2ccccc2)C2=C1CN(C1CCCCC1)C2=O
ZINC37523031	Cc1ccc(NC(=O)N2CCN(c3ccc(Cl)cc3)C(=O)C2C)cc1
ZINC37669548	O=C(Nc1cc(Cl)cc(Cl)c1)c1cc(F)ccc1[N+](=O)[O-]
ZINC04469478	Cc1ccc(C(=O)CN2C(=O)NC3(CCCCCC3)C2=O)c(C)c1
ZINC36695615	CC1Oc2ccccc2OC1C(=O)Nc1nc2c(F)cc(F)cc2s1
ZINC39327759	O=C(Nc1ccc(Cl)cc1)N1CCN(C2=CC=CC3N=CC=C23)CC1
ZINC39486955	CC1(C)CN(F)C(=O)N1CC1(C2CCCCC2)CCN(O)CC1
ZINC43235640	CC(NC(=O)N1CCC2(CC1)OCCO2)c1cccc2ccccc12
ZINC44019780	Cc1cccc(-n2c(=O)cc(N3CCCc4ccccc43)[nH]c2=O)c1
ZINC46651582	Cc1nn(C)c(Cl)c1C(=O)NC(C)c1oc2ccccc2c1C
ZINC47320302	CC(C)(C)c1ccc(C2CCCN2C(=O)Nc2nncs2)cc1
ZINC49544368	Cn1ncc2c1N=C(O)CC2c1ccc(-c2ccc(Cl)cc2Cl)o1
ZINC49544368	Cn1ncc2c1NC(=O)CC2c1ccc(-c2ccc(Cl)cc2Cl)o1
ZINC49548497	Cn1ncc2c1N=C(O)CC2c1ccc(-c2cc(Cl)ccc2Cl)o1
ZINC49548497	Cn1ncc2c1NC(=O)CC2c1ccc(-c2cc(Cl)ccc2Cl)o1
ZINC49548499	Cn1ncc2c1N=C(O)CC2c1ccc(-c2cc(Cl)ccc2Cl)o1
ZINC49548499	Cn1ncc2c1NC(=O)CC2c1ccc(-c2cc(Cl)ccc2Cl)o1
ZINC04776965	O=C1CC(c2ccc(F)cc2)CC2=C1C(c1ccccc1)n1ncnc1N2
ZINC32606590	Cc1c/c(=N\c2ccc(Cl)c([N+](=O)[O-])c2)c2cc(F)ccc2[nH]1
ZINC14184667	CC1CCCCC12NC(=O)N(CN1CCCC1c1ccccc1)C2=O
ZINC00222232	Fc1ccc(C2CC(c3ccc(Cl)cc3)Nc3nnnn32)cc1
ZINC57406013	CC1CCc2c(sc3nc(C(C)N4CC(C)OC(C)C4)[nH]c(=O)c23)C1
ZINC00222331	Clc1ccc(C2CC(c3ccc(Cl)cc3)n3nnnc3N2)cc1
ZINC27028793	Cc1ccc(/N=C2/CSc3nnc(C(F)(F)F)n3N2)c(C)c1
ZINC57722806	CN1CCc2[nH]/c(=N/S(=O)(=O)c3ccc(Cl)cc3F)sc2C1
ZINC47246635	O=C(C1CCCN1C(=O)NC1CCCCC1)N1CCc2sccc2C1
ZINC18144600	Cc1ccc(N/C=C2\C(=O)C(C)(C)Oc3ccc4ccc(=O)oc4c32)cc1
ZINC18144600	Cc1ccc(N/C=C2/C(=O)C(C)(C)Oc3ccc4ccc(=O)oc4c32)cc1
ZINC02629438	C(=C1\CCCC2=C1Nc1nnnn1C2c1ccsc1)\c1ccsc1
ZINC13126828	Oc1ccccc1-c1nnc(COc2ccc(Cl)cc2Cl)o1
ZINC63411353	Cc1ccsc1/C=N\NC(=O)C1N=NC2=C1CCc1ccccc12
ZINC63786384	CC1=C2C(N=N1)NC(=O)CSC2c1ccc(-c2ccc(Cl)cc2)o1
ZINC63786390	CC1=C2C(N=N1)NC(=O)CSC2c1ccc(-c2ccc(Cl)cc2)o1
ZINC65341730	N#Cc1ccc(-c2ccc(S(=O)(=O)N3CCCCC3)cc2)cc1O
ZINC66248147	Cc1ccc(S(=O)(=O)/N=c2/[nH]c3c(s2)CN(C)CC3)cc1Cl
ZINC66253104	CCC1CCc2[nH]/c(=N\S(=O)(=O)c3cncc(F)c3)sc2C1
ZINC66278066	O=C1c2ccccc2C(=O)N1NC(=O)C12CC3CC(CC(C3)C1)C2
ZINC66967108	Cc1cc(C(=O)N2CCCCC2C)ccc1NC(=O)N1CCCCC1C
ZINC67033910	O=C(Nc1ccccc1F)N1CCCC1c1cccc2c1OCCO2
ZINC67535195	Cc1ccc(C2CCCN2C(=O)NC(C)c2c(C)nn(C)c2C)cc1
ZINC04313631	COc1cc([N+](=O)[O-])cc2c1NC(c1ccccc1F)C1CC=CC21
ZINC04503225	CC(C)(C)OC(=O)N1N=C2CCCCCC2C1(O)C(F)(F)F
ZINC04513656	Cc1ccc(C2NC(=O)N(C)C3=C2C(=O)N(C(C)C(C)C)C3)c(C)c1
ZINC04751863	CN1C(=O)NC(c2ccccc2)C2=C1CN(c1ccc(Cl)cc1)C2=O
ZINC00437788	O=C(Nc1ccccc1C#Cc1ccccc1)c1cccc([N+](=O)[O-])c1
ZINC00094389	COc1ccc(C2Nc3c(F)cccc3C3C=CCC32)cc1[N+](=O)[O-]
ZINC00087423	Cc1ccc2nsnc2c1S(=O)(=O)Nc1ccc(Cl)cc1
ZINC06828295	Cn1ccc(C(=O)Nc2nc(C34CC5CC(CC(C5)C3)C4)cs2)n1
ZINC00587860	CN(C)c1ccc(C2C3CCCC=C3C(C#N)C(=N)C2(C#N)C#N)cc1
ZINC12380180	CC(=O)c1ccc2c(c1)C1C=CCC1C(c1cccc([N+](=O)[O-])c1)N2
ZINC12953262	c1ccc(CNc2ncnc3c2oc2nc4c(cc23)CCCC4)cc1
ZINC13389407	COc1ccc(C2Nc3c(F)cccc3C3C=CCC32)cc1[N+](=O)[O-]
ZINC13402410	COc1cc([N+](=O)[O-])cc2c1NC(c1ccccc1F)C1CC=CC21
ZINC14456403	COc1ccc([N+](=O)[O-])c2c1NC(c1ccc(C)s1)C1CC=CC21
ZINC15733155	O=C(Nc1nc2ccccc2s1)c1noc2c1CCc1sccc1-2
ZINC16624390	Cc1ccc(C(=O)CN2C(=O)NC3(CCCCCCC3)C2=O)cc1C
ZINC17919578	CC(/N=c1\ccccn1C(=O)Nc1ccc(Cl)cc1)c1ccco1
ZINC20637424	CC(C)c1ccc(C2C(C#N)C(=O)Nc3nc4ccccc4n32)cc1
ZINC20688992	COc1ccc([N+](=O)[O-])c2c1NC(c1ccc(C)s1)C1CC=CC21
ZINC24644587	Cn1ccs/c1=N\C(=O)c1ccc(NC(=O)c2cccs2)cc1
ZINC17057069	CCCc1nc2sc3c(=O)[nH]cnc3c2c2c1OCC(C)(C)C2
ZINC03580914	CC1CCC2(CC1)NC(=O)N(/N=C/c1ccc(Cl)c(Cl)c1)C2=O
ZINC04638324	COc1cccc(C2C3CCCC=C3C(C#N)C(=N)C2(C#N)C#N)c1
ZINC37523798	CC1C(=O)N(c2ccc(Cl)cc2)CCN1C(=O)NC(C)(C)C
ZINC00195125	O=C1CC(c2cccc([N+](=O)[O-])c2)c2ccc3ccccc3c2N1
ZINC38596665	O=C1N=C2OC(c3ccccc3)=CC(c3ccc(Cl)cc3)C2C(=O)N1
ZINC39855711	Cc1c(C(=O)N(C)Cc2ccccc2)oc2c1/C(=N/O)CC(C)(C)C2
ZINC39948151	O=C(N/N=C/c1c(Cl)cccc1Cl)C1=C2CCCC2N=N1
ZINC39964595	O=C(CC12CC3CC(CC(C3)C1)C2)/[NH+]=C1\C=CC2=NC([O-])=NC2=C1
ZINC41174034	COc1ccc(C2CN(C(=O)NC3CCCCC3)CCO2)cc1
ZINC41637683	[O-]c1c(C(c2cccs2)[NH+]2CCCCCC2)sc2ncnn12
ZINC42265927	O=C(Nc1ccccc1Br)c1ccc([N+](=O)[O-])cc1F
ZINC44023202	O=c1cc(N2CCCC3CCCCC32)[nH]c(=O)n1C1CCCCC1
ZINC45625210	CC1CCCCC1NC(=O)c1cc([N+](=O)[O-])ccc1Br
ZINC46983521	Cc1c(C(C)NC(=O)N2CCCCC2C)cnn1-c1ccc(F)cc1
ZINC47298423	Cc1c(C(=O)Nc2nc3c(s2)CCC3)oc2c1C(=O)CC(C)(C)C2
ZINC09332056	Brc1ccc(C2C=C(c3ccccc3)N=C3NN=NN32)cc1
ZINC09332056	Brc1ccc(C2CC(c3ccccc3)=Nc3nnnn32)cc1
ZINC56720958	CC(c1ccc(F)cc1)N(C)C(=O)Nc1cccc2c1OCCO2
ZINC57795257	Cc1c(C(=O)NN2C(=O)c3ccccc3C2=O)sc2cccc(F)c12
ZINC00222243	Fc1cccc(C2CC(c3ccc(Cl)cc3)Nc3nnnn32)c1
ZINC59422920	O=C(Nc1ccc2oc(=O)ccc2c1)C1=Cc2cc(Cl)ccc2OC1
ZINC60665496	O=C1COc2cc(C(=O)Oc3ccc(F)c(Cl)c3)ccc2N1
ZINC47250998	CC1(C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3F)cc2O1
ZINC63528848	N#Cc1cnn2c1N=C(c1ccc(Cl)cc1)C2NC1CCCCC1
ZINC63529077	Cc1cccc(NC(=O)C2OC3=C(C4N=NC=C4CC3)C2C)c1C
ZINC63529120	Cc1ccc(NC(=O)C2OC3=C(C4N=NC=C4CC3)C2C)c(Cl)c1
ZINC63784397	O=C(Nc1nncs1)N1CC=C(c2cccc3ccccc23)CC1
ZINC66253103	CCC1CCc2[nH]/c(=N\S(=O)(=O)c3cncc(F)c3)sc2C1
ZINC66962874	CCc1ccccc1NC(=O)N1CCN(C(=O)C2CCCCC2)CC1
ZINC67280581	COc1cc(C)ccc1NC(=O)N1CCOC(c2cccc(F)c2)C1
ZINC00650492	CCn1cc(/C=C2\CCCC3=C2OC(N)=C(C#N)C3c2cn(CC)nc2C)c(C)n1
ZINC00834003	O=C(NNC(=O)c1ccccc1[N+](=O)[O-])c1ccccc1I
ZINC04225802	CCOc1ccc(NC(=O)c2c[nH]c(=O)n(-c3ccc(F)c(Cl)c3)c2=O)cc1
ZINC00850043	COc1ccc(C2C(C#N)=C(N)Oc3cc(C)oc(=O)c32)cc1OCc1ccccc1
ZINC00989042	COc1cc(C2C(C#N)=C(N)Oc3cc(C)oc(=O)c32)ccc1OCc1ccccc1
ZINC05145869	COC(=O)NC(=O)c1c(NC(=O)c2ccc(OC)cc2)sc2c1CCC(C)C2
ZINC05226440	CC(=O)c1c(C)[nH]c(C(=O)CN2C(=O)NC(C)(c3cccc4ccccc34)C2=O)c1C
ZINC03516536	CNC(=O)NC(=O)CSc1nc2sc3c(c2c(=O)n1C1CCCC1)CCCC3
ZINC04933606	CC1CCCC(NC(=O)CN(C)S(=O)(=O)c2ccc3c(c2)CCC(=O)N3)C1C
ZINC03521485	CCNC(=O)NC(=O)C(C)Sc1nc2ccccc2c(=O)n1-c1ccccc1F
ZINC06812134	CCc1nnc2n1NC(c1ccc(F)cc1)C(C(=O)Nc1ccccc1OC)S2
ZINC07525859	Cc1ccccc1CC(=O)NNC(=O)CN1c2cccc3cccc(c23)S1(=O)=O
ZINC08716298	CC(OC(=O)c1ccc2c(c1)NC(=O)C(C)S2)C(=O)Nc1ccc(Cl)cn1
ZINC08918383	CC(C(=O)NCc1ccc(F)cc1)N1C(=O)N2CCc3c([nH]c4ccccc34)C2(C)C1=O
ZINC12123332	Cc1cc(=O)[nH]c(-n2nc(C3CC3)cc2NC(=O)c2ccc(C(F)(F)F)cc2)n1
ZINC12811507	Cc1ccc(S(=O)(=O)N2CCCCC2C(=O)NNC(=O)c2ccc(F)cc2)cc1
ZINC12983557	CC(NS(=O)(=O)c1cccc(Cl)c1)C(=O)Nc1ccc2c(c1)OC(F)(F)O2
ZINC04835608	CNC(=O)NC(=O)C(C)Sc1nnc(-c2ccccc2)n1-c1ccc(F)cc1
ZINC14185314	O=C1NC2(CCOc3ccccc32)C(=O)N1CC(O)COc1cccc2ccccc12
ZINC15239317	Cc1ccc(C)c(OCC(O)CN2C(=O)NC3(CCOc4ccccc43)C2=O)c1C
ZINC19577655	Cc1nn(C)c(C)c1C(C)NC(=O)c1cc2n(n1)C(C(F)(F)F)CC(C(C)C)N2
ZINC20000608	CCCOc1ccc(C2C3CN(C)CC=C3C(C#N)=C(N)C2(C#N)C#N)cc1OC
ZINC20029225	C=C(C)COc1ccc(C2C3CN(C)CC=C3C(C#N)=C(N)C2(C#N)C#N)cc1OC
ZINC20113838	COc1cc2c(cc1OC)C(c1c([O-])nc3scc(-c4ccccc4)n3c1=O)[NH2+]CC2
ZINC21881037	COc1cc(Cl)c(NS(=O)(=O)c2ccc3c(c2)CCCC(=O)N3)c(OC)c1
ZINC25455088	CC(=O)c1cc(C#N)c(SC(C)C(=O)NC(=O)Nc2ccc(C)cc2C)nc1C
ZINC30787024	CC(C)C(NC(=O)Nc1ccccc1)C(=O)N1CCN(C(=O)c2cccs2)CC1
ZINC32104667	N#Cc1cc2c(nc1N1CC[NH+](C(C(=O)[O-])c3c[nH]c4cc(F)ccc34)CC1)CCCC2
ZINC05488745	CCN1CC=C2C(C#N)=C(N)C(C#N)(C#N)C(c3ccc(OC(C)C)c(OC)c3)C2C1
ZINC36882674	O=C(CN1C(=O)NC2(CCOc3ccccc32)C1=O)NCc1ccc(Cl)cc1
ZINC00673044	CCC(=O)Nc1ccc(/C(C)=N/NC(=O)c2c(Br)c(C)nn2C)cc1
ZINC04077323	Nc1cc(OC(=O)c2ccccc2Br)nn1S(=O)(=O)c1ccccc1
ZINC03455988	CC1CCC2(CC1)NC(=O)N(CC(=O)Nc1nc(-c3ccc(F)cc3)cs1)C2=O
ZINC38612331	CCOc1cc(/C=N/NC(=O)C2C=C(C)N=N2)cc(I)c1O
ZINC39041374	CC1=CC(N2C(=O)C([O-])=C(C(=O)C3=C(C)C=[NH+]C3C)C2c2ccc(Cl)cc2)NO1
ZINC40796581	CCOC(=O)c1c(NC(=O)C2(C)Oc3ccccc3NC2=O)sc2c1CCCC2
ZINC43978904	CC(C)(C)NC(=O)N1CCC(CNC(=O)C2CC(=O)N(c3ccc(F)cc3)C2)CC1
ZINC44452714	CN(C)C(=O)NC(=O)c1c(NC(=O)COc2ccc(Cl)cc2)sc2c1CCC2
ZINC49550315	COc1cc(C2CC(O)=Nc3c2cnn3Cc2ccc(Cl)cc2)cc(OC)c1O
ZINC49550315	COc1cc(C2CC(=O)Nc3c2cnn3Cc2ccc(Cl)cc2)cc(OC)c1O
ZINC35363891	COc1ccc(CN2C(=O)C3C(C(C)C)NC4(C(=O)Nc5c(C)cccc54)C3C2=O)cc1
ZINC16322212	CC(O/N=C\c1ccc(Br)cc1)C(=O)N/N=C1\C(=O)Nc2ccccc21
ZINC00866872	O=C(NCc1ccco1)c1nn2c(c1Cl)NC(c1ccco1)CC2C(F)(F)F
ZINC28930305	O=C(Cn1c(=O)[nH]c2ccccc2c1=O)NCc1ccc(-c2ccc(Cl)cc2)o1
ZINC43175020	CC1CN(S(=O)(=O)CCNC(=O)Nc2ccc(Cl)cc2Cl)CC(C)O1
ZINC60214352	CC1CC(C)(C)CC2(C1)NC(=O)N(CC(=O)NCc1ccc(N(C)C)c(F)c1)C2=O
ZINC62178608	Cc1ccc(C(=O)C2CCCN2S(=O)(=O)c2ccc3[nH]c(=O)[nH]c3c2)cc1C
ZINC32096477	O=C(CCNC(=O)C1CC(=O)N(c2ccccc2)C1)/N=c1/[nH]c2ccccc2s1
ZINC32096477	O=C(CCNC(=O)C1CC(=O)N(c2ccccc2)C1)Nc1nc2ccccc2s1
ZINC64091227	Cn1/c(=N/C(=O)CCNS(=O)(=O)c2cccs2)[nH]c2cc(Cl)ccc21
ZINC67270642	CC(C)n1ncc2cc(/C=C/C(=O)Nc3cc(Cl)ccc3N(C)C)c(=O)[nH]c21
ZINC67288663	Cc1ccc(CNC(=O)CN2C(=O)NC(c3cc(C)ccc3C)C3=C2COC3=O)cc1
ZINC01186424	CCOc1cc(/C=C2\C(=O)NC(=O)N(c3ccc(C)c(C)c3)C2=O)cc(Cl)c1O
ZINC02319777	COc1ccc(Cc2nc3sc4c(c3c(=O)n2N)CC(C)(C)OC4)cc1OC
ZINC05277435	COc1cc(NS(=O)(=O)c2ccc3c(c2)CCC(=O)N3)c(OC)cc1Cl
ZINC03453515	Cc1ccc(NC(=O)NC(=O)COC(=O)c2ccc(Br)o2)c(C)c1
ZINC06686568	Cc1ccc(C(=O)CC2(O)C(=O)Nc3ccc(Br)cc32)cc1[N+](=O)[O-]
ZINC07673596	Cc1cc(NC(=O)CSc2nc3sc4c(c3c(=O)[nH]2)CCC(C)C4)no1
ZINC07766214	Cc1ccc(Cl)cc1NC(=O)C(C)Sc1nnnn1-c1ccc(O)cc1
ZINC08051495	CN(Cc1ccc(Cl)cc1Cl)c1ccc(S(N)(=O)=O)cc1[N+](=O)[O-]
ZINC08883077	CC(NC(=O)CN1C(=O)NC2(CCCc3sccc32)C1=O)c1cc2ccccc2o1
ZINC09018736	Cc1cc(C)c(NC(=O)CSc2nnc3[nH]c(=O)cc(C(C)(C)C)n23)c(C)c1
ZINC09069523	Cc1ccc(N2CC(CNC(=O)C(=O)c3c(C)[nH]c4ccccc34)OC2=O)cc1
ZINC09419243	COc1ccc(N2C(=O)NC(NC(=O)C3CCCCC3)(C(F)(F)F)C2=O)cc1
ZINC09659646	CCc1ccccc1NC(=O)c1cn(C)c2c(=O)n(-c3ccc(F)cc3)c(=O)[nH]c12
ZINC12697794	O=C(CN1C(=O)COc2ccccc21)NNC(=O)c1cc2c(s1)CCCCCC2
ZINC12520865	COc1ccc(C(C)(C)C)cc1NS(=O)(=O)c1ccc2c(c1)NC(=O)CO2
ZINC02440631	CCCCN1C(=O)C2(C(C#N)=C(N)Oc3c2c(C)nn3-c2ccccc2)c2ccccc21
ZINC19496121	CC(NC(=O)CN1C(=O)NC2(CCCCC2C)C1=O)c1nc2ccccc2s1
ZINC20438865	CC(CO)Nc1ncnc2c1sc1nc(N3CCCC3)c3c(c12)CC(C)(C)OC3
ZINC21732954	CC(NC(=O)CN1C(=O)NC(C)(c2ccco2)C1=O)c1ccc2c(c1)CCCC2
ZINC31829145	CC1CCc2c(sc3ncn(CC(=O)N/N=C\c4ccc(O)cc4)c(=O)c23)C1
ZINC34792612	C#CCNC(=O)CN1CC2=C(C1=O)C(c1ccc(C(C)(C)C)cc1)NC(=O)N2C
ZINC14116683	CC1Oc2c(C(=O)Nc3cccc(S(=O)(=O)/N=C4/CCCN4)c3)cccc2C1C
ZINC08622729	CC1(c2ccc(Cl)cc2)NC(=O)N(CC(=O)Nc2cccnc2Cl)C1=O
ZINC38520179	COc1ccc(Cl)cc1C(=O)Nc1nn(C)c2c1C(c1cccs1)CC(=O)N2
ZINC38743059	Fc1ccc(OCC2=NN3C(NNC3C3C=C(c4ccccc4)N=N3)S2)cc1
ZINC39037506	COc1ccc2[nH]/c(=N/C(=O)C3NN(c4ccc(Cl)cc4)C=CC3=O)sc2c1
ZINC39195926	CCCC12CN(C(=O)c3ccccc3Oc3ccccc3)CC1C(=O)NC(=O)N2
ZINC39195928	CCCC12CN(C(=O)c3ccccc3Oc3ccccc3)CC1C(=O)NC(=O)N2
ZINC40005481	COc1cc(N)c(Cl)cc1C(=O)OCC1=NC(=O)C2=C(C)C(C)SC2=N1
ZINC40143652	Cc1ccc(OC(C)C(=O)NN2C(=O)NC3(CCCCC3)C2=O)c(Br)c1
ZINC41270808	O=C(Nc1cc([N+](=O)[O-])c(F)cc1F)C(=O)NC1CCCC(C(F)(F)F)C1
ZINC43210938	CC(C)c1ccc(C2C3C(=O)N(C4CCCCC4)C(=O)C3ON2CC(N)=O)cc1
ZINC43532776	CCC(C)c1ccc(S(=O)(=O)N2CCN(c3cc(C)nc(N)n3)CC2)cc1
ZINC43846686	CC1CCCCC1NC(=O)Nc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1
ZINC46642549	Cc1ccc(N2CC(C(=O)NNC(=O)c3oc4ccccc4c3C)CC2=O)c(F)c1
ZINC04724040	COc1ccc(NC(=O)C2=C(C)Nc3ncnn3C2c2ccc(Cl)cc2)cc1
ZINC18219673	COCCn1c2c(c(=O)[nH]c1=O)C(c1ccccc1)C1=C(N2)c2ccccc2C1=O
ZINC53133091	CCOc1cccc2cc(C(C)NC(=O)c3ccc4c(c3)NC(=O)CN4C)oc12
ZINC16739614	O=C1Nc2ccccc2/C1=N/N=C1\NC(=O)C(CC(=O)c2ccc(Cl)cc2)S1
ZINC56175158	Cc1ccc(-n2nnc(C(=O)Nc3ccccc3C(=O)NC(C)(C)C)c2C)cc1
ZINC05680580	COc1ccc(C)cc1NC(=O)CN1C(=O)NC2(CCCc3sccc32)C1=O
ZINC10680195	CCn1c(NNC(=O)Cc2coc3c(C)c(C)ccc23)nc2ccccc2c1=O
ZINC58456891	NS(=O)(=O)c1ccc(C(=O)N2CCCc3cc(OC(F)(F)F)ccc32)o1
ZINC59104780	CN(C)c1oc(/C=C(\C#N)C2=NN(c3ccccc3)C(N)C2C#N)cc1Br
ZINC57514601	CC1(c2ccc(F)cc2)NC(=O)N(CC(=O)NCc2cc3ccccc3o2)C1=O
ZINC20739185	CC(C)(C)OC(=O)N1CC[NH+](C(C(=O)[O-])c2c[nH]c3cccc(Cl)c23)CC1
ZINC08569183	CCOc1c(OC)cccc1C1C(C#N)=C(N)Oc2[nH]nc(-c3cccs3)c21
ZINC05883372	CCCCN1C(=O)C2(C(C#N)=C(N)Oc3n[nH]c(-c4ccccc4)c32)c2ccccc21
ZINC05883372	CCCCN1C(=O)C2(C(C#N)=C(N)Oc3[nH]nc(-c4ccccc4)c32)c2ccccc21
ZINC64155781	CC1=C2C(=O)N=C(C(C)N3CCC(C(=O)Nc4ccccc4O)CC3)N=C2SC1C
ZINC66057847	CN(C)c1ccc(NC(=O)CN2C(=O)NC3(CCc4ccccc4C3)C2=O)cc1
ZINC04083886	O=C1C2C(Cc3ccccc3)[NH2+]C3(C(=O)Nc4ccccc43)C2C(=O)N1C1CCCC1
ZINC04024447	O=C1CC(c2ccc(F)cc2)C(n2cncn2)C(O)=C1C1[NH2+]CCc2ccccc21
ZINC09041595	CCCCN1C(=O)C2C(C)[NH2+]C3(C(=O)Nc4ccc(Br)cc43)C2C1=O
ZINC15947171	CC[NH+]1CCc2c(sc3c2C(=O)NC(c2cccc(OC(=O)c4cccs4)c2)N3)C1
ZINC18240750	COc1ccc2[nH]cc(CC[NH2+]C3CC(=O)N(c4ccc(C)cc4)C3=O)c2c1
ZINC19520172	CCOc1ccccc1C[NH+]1CCC2(CC1)CC1(CO2)NC(=O)c2ccccc2N1
ZINC02288814	Cc1ccc(C2C3C[NH+](Cc4ccccc4)CC=C3C(C#N)=C(N)C2(C#N)C#N)o1
ZINC24239715	CC(C(=O)NC(=O)NCc1cccs1)[NH+]1CCN(c2ccccc2F)CC1
ZINC04356358	O=C(NC1CCCCC1)NC1(C(=O)N2CC[NH+]3CCCC3C2)CCCCC1
ZINC04324786	CCOC(=O)c1c(NC(=O)Nc2ccc(F)cc2)sc2c1CC[NH+](C)C2
ZINC39466551	COC1=CC2CC3COP(=O)(Cc4ccccc4)N[NH+]3CC2C=C1c1ccccc1O
ZINC39467513	CCOC1=CC2CC3COP(=O)(c4ccccc4O)N[NH+]3CC2C=C1Cl
ZINC39485920	Clc1ccc(C2=NN=CC2CN2CCC3NNC(Cc4ccccc4)[NH+]3CC2)cc1
ZINC39610025	COc1ccc(CNC(=O)C2CN(C(=O)c3ccc(C)cc3C)CC23CC[NH2+]CC3)cc1
ZINC39634250	COc1ccccc1C(=O)N1CC(C(=O)NCc2ccc(C)cc2)C2(CC[NH2+]CC2)C1
ZINC39684606	COc1c(C(=O)N2CC(C(=O)NC(C)C(C)(C)C)C3(CC[NH2+]CC3)C2)csc1Cl
ZINC39916067	O=C1CCCC2=C1C(C1=CC=[NH+]C1)N1NC(SCc3ccccc3Cl)=NC1N2
ZINC39978368	Cc1cccc(C(=O)NC(C(=O)N/N=C\C2=c3ccccc3=[NH+]C2)C(C)C)c1
ZINC40757888	CN(c1ccccc1)c1[nH+]cnc(N2CCN(c3ccccc3F)CC2)c1N
ZINC47999869	CC1CC[NH+](CCCCNC(=O)C(=O)/N=c2/[nH]c3ccccc3s2)CC1
ZINC05351858	CC(C)CC1[NH2+]C2(C(=O)Nc3c(Cl)cccc32)C2C(=O)N(C(C)(C)C)C(=O)C12
ZINC51675977	O=C(NC1CC1)C1CCCN(C(=O)NCC2([NH+]3CCCCC3)CCCCC2)C1
ZINC51710598	C[NH+](C)C(CNC(=O)N1CCCC(C(=O)NC2CC2)C1)c1ccc(F)cc1
ZINC55349628	Nc1cccc2c1C(=O)N(CN1CC[NH+](C/C=C/c3ccccc3)CC1)C2=O
ZINC23381949	Cc1ccc(-n2c(-c3ccc(Cl)cc3)nn(C[NH+]3CCC(C(N)=O)CC3)c2=S)cc1
ZINC59416872	CC(C)(C)[NH2+]CC(=O)Nc1c(Br)cc([N+](=O)[O-])cc1Br
ZINC46618318	CC(NC(=O)/C=C/c1ccccc1)C(=O)NC1CCN(c2cccc[nH+]2)CC1
ZINC61604855	O=C(NCc1ccccc1)NC1(C(=O)N2CCC[NH+](C3CC3)CC2)CCCC1
ZINC13124476	O=C(Nc1ccc2c(c1)CCC2)c1cnn2c1NC(c1ccco1)CC2C(F)(F)F
ZINC62356970	CC1CC[NH+](C(CNC(=O)c2cc3ccc(F)cc3[nH]c2=O)c2ccco2)CC1
ZINC62503133	CC1CC[NH+](C(C)CNC(=O)N2CCC(NC(=O)C3CCCCC3)CC2)CC1
ZINC63491022	CC1c2ccc(O)cc2OC(=O)C1CC(=O)NCCC1=c2cc(F)ccc2=[NH+]C1
