ZINC02574883	NS(=O)(=O)c1cc(F)c(Br)cc1F
ZINC64581025	Cc1ccc(NC(=O)c2cnn(-c3ccc(Br)cc3)c2)c(C)c1
ZINC35399412	O=C(CCc1ccccc1)N1CCC2(CC1)Nc1ccccc1-n1cccc12
ZINC00083749	Clc1ccc2nc(CSc3nc4ccccc4[nH]3)cn2c1
ZINC00428771	c1ccc(Nc2c(-c3ccsc3)nc3ncccn23)cc1
ZINC04324054	Cc1csc2ncnc(N/N=C/c3ccccc3Cl)c12
ZINC00327454	O=C(Nc1ccc(Cl)cc1)C1CC(=O)N(C2CCCCC2)C1
ZINC00525165	Cc1ccsc1/C=N/NC(=O)c1ccc(Br)o1
ZINC06881552	Cc1ccc(NC(=O)/C(C#N)=C\C2=Cc3ccccc3OC2)cc1
ZINC11772136	O=C(NC1CCCCCCC1)C1CCC(=O)N(C2CCCC2)C1
ZINC05190879	O=C(Cn1cnc2ccccc21)Nc1cc(Cl)cc(Cl)c1
ZINC15290349	Cc1ccc2nc(CNc3ccc(Cl)cc3C)cc(=O)n2c1
ZINC15290609	Cc1c(Cl)cccc1NCc1cc(=O)n2c(C)csc2n1
ZINC17127135	C/C(=N/Nc1cc(C)c2cc(C)ccc2n1)c1ccccn1
ZINC20865951	CC1CCCC(NC(=O)Cn2cc3c(n2)CCCCCC3)C1C
ZINC22419052	CN(C)c1ccc(NC(=O)c2cc3c(s2)CCCCC3)cn1
ZINC24380662	O=C(Cn1cnc2cc(F)c(F)cc21)NC1CCCCCCC1
ZINC27740722	Cc1ccc(-c2nsc(NC(=O)c3cccs3)n2)cc1
ZINC32526053	Cc1cc(=O)n(C(C)C(=O)NC2CCCCC2)c2ccccc12
ZINC32865736	CC1CN(C(=O)c2cc(C(C)C)cc(C(C)C)c2O)CCO1
ZINC13282658	CC1=NN(c2cccc(Cl)c2)C(=O)/C1=C\Nc1ccccc1
ZINC34913039	Cc1ccc2nc(-c3ccccc3F)c(NC(=O)C(C)C)n2c1
ZINC35312445	Cc1ccc2cnn(CC(=O)NC3CCCC(C)C3C)c2c1
ZINC35429276	Cc1cc(Oc2nc3sccn3c2CO)ccc1Cl
ZINC36152750	CC(C)c1ccc(C2CSc3nnc(C4CC4)n3N2)cc1
ZINC36952939	CC1CCCC(Nc2cc(Cl)ccc2-n2cncn2)C1
ZINC37000988	Cc1nc(-n2cccc2)sc1C(=O)NC1CCCC(C)C1C
ZINC37051497	COc1cc(Cl)c(C)cc1NC1CCCc2c1cnn2C
ZINC37493869	CC(C)c1cc(NC(=O)c2ccccc2Br)on1
ZINC06810418	CSc1ncc(Cl)c(C(=O)Nc2cccc(Cl)c2)n1
ZINC37936866	Cc1cccc(NC(C#N)c2cc(Cl)c3c(c2)OCO3)c1
ZINC39536756	CSc1ncc(Cl)c(C(=O)Nc2ccc3c(c2)CCC3)n1
ZINC42199815	Cc1oc(-c2cccs2)nc1C(=O)Nc1c(F)cccc1F
ZINC43474179	O=[N+]([O-])c1ccc(NC2CSCc3ccccc32)c(F)c1
ZINC43570115	Cc1cc(NC2CSCc3ccccc32)ccc1[N+](=O)[O-]
ZINC44449140	O=C(CC1CCCCC1)Nc1nc2c(s1)C(=O)CCC2
ZINC45400589	Cc1noc(C(C)C)c1C(=O)Nc1cccc(Cl)c1C
ZINC46784513	CCC1CCc2nc(NC(=O)c3occc3C)sc2C1
ZINC47519637	Cc1ccc(C)c2sc(NC(=O)/C=C/c3ccccn3)nc12
ZINC48620395	Cc1cc(OC(=O)c2c[nH]c(=O)c(Cl)c2)cc(C)c1Cl
ZINC50444982	O=[N+]([O-])c1cc(Cl)ccc1CC1Cc2ccccc2C1O
ZINC51039363	FC(F)(F)c1cc(Cl)ccc1Nc1cnnc(Cl)n1
ZINC52811713	Cc1nc(C)c(C(C)Nc2nc(Cl)nc3ccccc23)s1
ZINC09582365	Clc1ccccc1CSC1=NN/C(=C2\C=CC=N2)O1
ZINC57929110	CCC1Nc2ccccc2N(Cc2cccc(C#N)c2)C1=O
ZINC23529257	CN(C)c1cccc(C(=O)N/N=C2/CC3CCC2(C)C3(C)C)c1
ZINC59310251	C/C=C/C=C/C(=O)/N=c1\[nH]c2ccccc2n1-c1ccccc1
ZINC59547234	O=C(Cn1ccc2ccccc21)N/N=C1/CCCc2ccccc21
ZINC61325363	c1nnc(-c2ccc(NC3CCCc4sccc43)cc2)o1
ZINC61364270	O=[N+]([O-])c1cc(F)cc(NC2CCCc3sccc32)c1
ZINC61587821	O=[N+]([O-])c1ccc(NC2CCCSC2)c(Br)c1
ZINC21112950	CC1(C)C(=O)N(CC(=O)NC2CCCCC2)c2ccccc21
ZINC67474680	Cc1ccc(C(C)N(C)C(=O)Nc2cccc3cnccc23)cc1
ZINC01633991	CCCC(C)C1CCC([NH2+]C2CCC(C(C)CCC)CC2)CC1
ZINC04909806	Cc1ccc(C(CC[NH2+]C(C)c2cccs2)c2ccco2)cc1
ZINC04958189	CC(C[NH+]1CCC2CCC(C2)C1)C(O)(Cc1ccccc1)c1cccs1
ZINC08497341	C=CCOc1ccc(C[NH2+]C(C)C23CC4CC(CC(C4)C2)C3)cc1
ZINC08534526	C=CCOc1ccc(C[NH2+]C23CC4CC(C)(CC(C)(C4)C2)C3)cc1
ZINC10785316	CC[NH+](CC)CCN(C(=O)C(C)(C)C)c1nc2c(C)cc(Cl)cc2s1
ZINC20006540	CCOc1ccccc1C[NH2+]C(C)c1ccc(Cl)c(Cl)c1
ZINC27453047	CC(=O)c1c(C)cc(C)c(C[NH2+]C(c2ccc(F)cc2)C(C)C)c1C
ZINC34672211	CCC[NH2+]C(c1ccc(-c2ccc(C)cc2Cl)s1)C(C)C
ZINC34672306	CCC[NH2+]C(c1ccc(-c2ccc(F)cc2Cl)s1)C(C)C
ZINC34672692	CCC[NH2+]C(c1ccc(-c2ccc(Cl)cc2F)s1)C1CC1
ZINC34672913	CCC[NH2+]C(CC)c1ccc(-c2ccccc2I)s1
ZINC34673045	CCC[NH2+]C(CC)c1ccc(-c2c(Cl)cc(Cl)cc2Cl)s1
ZINC34673359	CCC[NH2+]C(CC)c1ccc(-c2ccc(Br)cc2Cl)s1
ZINC34673618	CCC[NH2+]C(c1ccc(-c2cc(Cl)cc(Cl)c2)s1)C(C)C
ZINC34673691	CCCC([NH2+]CC)c1ccc(-c2cc(Cl)c(Cl)cc2Cl)s1
ZINC34664419	CC[NH2+]Cc1ccc(Br)cc1Oc1ccc(CC)cc1
ZINC34991063	FC(F)Oc1ccc(Br)cc1C[NH2+]CC1CCCCC1
ZINC35012686	CC(C)CC([NH2+]Cc1cccc(Cl)c1Cl)c1ccccc1
ZINC35253619	CC([NH2+]Cc1ccccc1OC(F)(F)F)c1ccc(Cl)s1
ZINC35509809	CC[NH2+]C(c1cc(Cl)cc(Br)c1OC)C(C)CC
ZINC35541760	CCCC(C)C([NH2+]CC)c1cc(Br)ccc1Br
ZINC35553221	CC[NH2+]C(c1ccc(Cl)s1)C(c1ccccc1)C(C)CC
ZINC35573520	CCC[NH2+]C(c1cccc(I)c1)c1ccc(CC)s1
ZINC35574015	CCC[NH2+]C(c1cccc(Cl)c1)c1ccc(OC)c(Cl)c1
ZINC35574197	CCC[NH2+]C(CC1CCCCC1)c1ccc(Br)cc1
ZINC35574306	CCC[NH2+]C(CCC1CCCCC1)c1ccc(Br)cc1
ZINC35583754	CCC[NH2+]C(c1cccc(C(F)(F)F)c1)c1ccc(Cl)s1
ZINC36789511	CCC(CC)[NH+](C)Cc1cccc(-c2nc(CCl)cs2)c1
ZINC36843112	Brc1ccccc1C1CC([NH2+]CCCc2ccccc2)C1
ZINC37107743	CCC(CC)C([NH2+]Cc1ccc(Br)s1)c1ccccc1
ZINC37107853	CCC(CC)C([NH2+]Cc1cc(Br)cs1)c1ccccc1
ZINC37232918	CC(CCc1ccco1)[NH2+]C(C)c1cc(F)c(Cl)cc1Cl
ZINC37284534	COc1ccc(CCC(C)[NH2+]C(C)c2ccc(Cl)s2)cc1
ZINC37318215	CCCCCCC(C)[NH2+]C1CCOc2c(Cl)cc(Cl)cc21
ZINC37369240	CCC[NH2+]C(c1ccc(-c2cc(Br)ccc2C)s1)C1CC1
ZINC37864926	CCC[NH2+]C(CC1CCCC1)c1cc(Br)ccc1Br
ZINC36843141	CC(C)CCC(C)[NH2+]C1CC(c2ccccc2Br)C1
ZINC37042898	CC(C)CC([NH2+]C(C)c1ccc(Br)cc1)c1ccccc1
ZINC37231815	CC(C)CCCC(C)[NH2+]C(c1cccs1)c1ccc(Cl)s1
ZINC37231817	CC(C)CCCC(C)[NH2+]C(c1cccs1)c1ccc(Cl)s1
ZINC37295175	CC(C)CC([NH2+]C(C)c1ccc(I)cc1)c1ccccc1
ZINC40729771	CC(C)Oc1c(Cl)cc(Cl)cc1C[NH2+]C(C)c1ccccc1
ZINC40731561	Cc1ccccc1COc1ccccc1C[NH2+]C(C)c1ccccc1
ZINC43534157	CC(CC[NH2+]Cc1ccc(Br)s1)c1ccccc1
ZINC49514761	CCOc1ccccc1C(C)[NH2+]C(C)c1ccc(Br)cc1
ZINC52976402	C[NH2+]CC(Cc1cccc(C)c1)Cc1cc(Br)cs1
ZINC52977863	CC(C)(C)[NH2+]CC(Cc1cccc(Cl)c1)Cc1cscn1
ZINC59383574	CC(=O)OC/C=C(/C)C#CC[NH+](C1CCCCC1)C1CCCCC1
ZINC66117377	C=C(C)COc1ccc2ccccc2c1C[NH2+]C1CCCC(C)C1
ZINC00373327	CCC(C)OC(=O)c1c(N)sc2c1CCCC2
ZINC01703038	CC(C)(C)C1CCCC(NC(=O)NCCCl)C1
ZINC05414597	Cc1ccc(NC(=O)CNc2ccccc2F)cc1
ZINC07013749	S=C(N/N=C1\CC2C=CCC12)NC1CCCCC1
ZINC07013753	S=C(N/N=C1\CC2C=CCC12)NC1CCCCC1
ZINC05225270	Cc1ccnc(NC(=S)NC2CCCCC2)c1
ZINC13745330	CCC(C)NC(=O)NCC12CC3CC(CC(C3)C1)C2
ZINC20054558	Cc1cc(F)ccc1NCC(=O)NC1CCCC1
ZINC20552960	CCC1CCCCC1Oc1ccc(C(N)=S)cn1
ZINC20564416	CCC1CCCCC1Oc1ncccc1C(N)=S
ZINC29055519	C=CCNC(=O)c1cc2ccc(C(C)(C)C)cc2[nH]1
ZINC15122835	Cc1ccc(F)cc1NCC(=O)NC1CCCCC1
ZINC32112593	CC(C)(C)c1ccc(-c2csc(CON)n2)cc1
ZINC35763953	Fc1ccc(C(Nc2cn[nH]c2)c2ccccc2)cc1
ZINC36957866	CC(C)C(=O)Nc1ccc(NC2CCSC2)cc1
ZINC37046714	CNC(=O)Cc1ccc(NC2CCCC(C)C2)cc1
ZINC37077972	CC(C)Oc1nc(SC(C)(C)C)ccc1N
ZINC37137381	Fc1ccccc1CNc1cccc(-c2ccn[nH]2)c1
ZINC37317812	C1=CC2CC1CC2CNc1cccc(-c2ccn[nH]2)c1
ZINC37689811	OC1CCCC1Nc1ccc(OC(F)(F)F)cc1
ZINC37783793	CC(Nc1cccc2[nH]ncc12)c1ccccc1F
ZINC37972422	Cc1cccc(C([NH2+]C2CCCCCC2)C(=O)[O-])c1
ZINC37972423	Cc1cccc(C([NH2+]C2CCCCCC2)C(=O)[O-])c1
ZINC37778735	CNC(=O)c1cc(NC(C)C(C)C)ccc1Cl
ZINC40514998	CCC(C)(C)Oc1nc(C)cc(C)c1C(N)=S
ZINC41063807	Nc1cccc(C(=O)OCc2ccc(Cl)s2)c1
ZINC41759381	Cc1cc(C)c(C(C)([NH2+]C(C)(C)C)C(=O)[O-])c(C)c1
ZINC42033267	CCC1CCCCC1NC(=O)c1ccccc1NC
ZINC42212192	CC(C)(C)NC(=O)CNc1ccc(Cl)cc1F
ZINC42578061	CC(C)CC(C)N(C)c1ccc(N)c2ncccc12
ZINC42933051	CC(C)(C)C(NC(=O)NC1CC1)c1ccccc1
ZINC43155689	O=C(NCCc1cccs1)Nc1cccc(F)c1
ZINC43281411	Cc1cccc(C(C)C)c1NC(=O)NCC1CC1C
ZINC43394961	Cc1cc(C)cc(C([NH2+]C2CCCCC2)C(=O)[O-])c1
ZINC43632349	CC(NC(=O)NC(C)C1CC1)c1cccc(Cl)c1
ZINC43640152	CCc1ccc(-c2nn(C)c(N)c2CC(C)C)s1
ZINC43881438	O=C(Nc1cc(F)cc(F)c1)NC(C1CC1)C1CC1
ZINC44749198	CCC1CCCCC1OC(=O)c1ccc(N)cc1C
ZINC48003682	CC1CCCC(NC(=O)NCCc2cccs2)C1
ZINC48421942	Cc1cccc(NCC(=O)NC2CCCCC2C)c1
ZINC49414641	CCC(NC(=O)Nc1cccc(F)c1F)C(C)C
ZINC49519019	Cc1cc(C)c(CNC(=O)NCC2CC2C)c(C)c1
ZINC50308887	CCOc1ccccc1-c1nc(C(C)C)sc1N
ZINC50831952	CC1CCC(OCc2cc3ccccc3nc2N)CC1
ZINC52853952	CCC(C)C(C)n1c(C(C)C)nc2cc(N)ccc21
ZINC61411762	CC(C)CC(C)NC(=O)c1cccc2c1CCCN2
ZINC61412188	CCC(C)C(C)NC(=O)c1cccc2c1CCCN2
ZINC61412245	CCC(NC(=O)c1cccc2c1CCCN2)C(C)C
ZINC62669437	CC(C)CNc1cc(-c2c(F)cccc2F)n[nH]1
ZINC66598139	Cc1ccsc1CNC(=O)NCC1(C)CCCC1
ZINC03840579	CCN(CC)C(=O)C(C)C1CCC2(C)Cc3sc(Nc4ccc(F)cc4)nc3C(C)C2C1O
ZINC03259830	C=C(NNC(=O)c1ccc(CN2C(=O)c3cccc4cccc2c34)cc1)c1ccc(Cl)cc1
ZINC00718190	CCc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(OC)c(OC)c2)C3)s1
ZINC00718187	CCc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(OC)c(OC)c2)C3)s1
ZINC08898461	CC1CCCCN1c1ccc(NC(=S)NC(=O)c2ccc(-c3cc(Cl)ccc3Cl)o2)cc1
ZINC09231016	CC(Oc1ccc(Cl)cc1Cl)C(=O)Nc1ccc(Cl)c(C(=O)NC2CCCCC2)c1
ZINC12706860	CCc1ccc2[nH]c(=O)c(CN(Cc3ccc(C)cc3)C(=O)Nc3ccc(Cl)cc3)cc2c1
ZINC01352863	Cc1cccc(CCN(Cc2cc3ccc(C)cc3[nH]c2=O)C(=O)Nc2ccccc2Cl)c1
ZINC01353183	Cc1ccc2[nH]c(=O)c(CN(CCc3ccccc3C)C(=O)Nc3ccc(Cl)cc3)cc2c1
ZINC12986828	Cc1ccc(-c2csc3nc(SCC(=O)Nc4ccc(F)cc4F)[nH]c(=O)c23)cc1C
ZINC09469887	Cc1ccc(Nc2nnc(SCC(=O)Nc3ccc(Br)cc3F)s2)cc1
ZINC13321836	O=C(N/N=C/c1c[nH]nc1-c1ccccc1)c1sc2cccc(Br)c2c1Cl
ZINC14274961	N#Cc1c(NC(=S)NC(=O)/C=C/c2ccc(-c3cc(Cl)cc(Cl)c3)o2)sc2c1CCC2
ZINC14277330	CC1CCCCN1c1ccc(NC(=S)NC(=O)c2ccc(-c3ccc(Cl)cc3Cl)o2)cc1
ZINC14553226	Cc1cccc(C(=O)Nc2ccc(NC(=O)C(C)Oc3c(C)cc(Br)cc3C)cc2)c1
ZINC18599713	CC(Sc1nc2scc(-c3ccc(F)cc3)c2c(=O)[nH]1)C(=O)Nc1cc(F)ccc1F
ZINC19841333	COc1ccc(-c2c(C#N)c(N)nc3c2CCCC3)cc1COc1cccc(C(F)(F)F)c1
ZINC19912592	Cc1ccc(C(=O)N/C(=C\c2ccc(-c3ccc(Cl)cc3Cl)o2)C(=O)NC(C)C)cc1
ZINC08739659	O=C(Nc1ccc(F)cc1)Nc1nnc(-c2ccccc2SCc2ccc(F)cc2)s1
ZINC08914888	O=C(Nc1ccc(Cl)c(Cl)c1)Nc1nnc(CSCc2ccccc2Cl)s1
ZINC20182380	O=C(CSc1nc(-c2ccc(Cl)cc2)[nH]c1-c1ccc(Cl)cc1)Nc1nccs1
ZINC20881986	COc1cccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccccc2)C3)c1OC(C)C
ZINC21221919	CCOc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccc(C)cc2)cc1OC
ZINC21239686	COc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2c(F)cccc2Cl)cc1OC
ZINC21249891	CCN(CC)c1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(N(C)C)cc2)C3)cc1
ZINC21254019	COc1cc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cccc(Cl)c2)ccc1OC(C)C
ZINC21258584	COc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(OC(C)C)cc2)C3)cc1
ZINC01885092	CCOc1cc(Br)cc(/C=N/c2ccc(-c3nc4ccccc4s3)c(O)c2)c1O
ZINC28869585	CC(Sc1nc(-c2ccc(Cl)cc2)n[nH]1)C(=O)Nc1c(Cl)cc(Cl)cc1Cl
ZINC33706634	CCc1ccccc1NC(=O)c1c(NC(=O)c2cccnc2)sc2c1CCC(C(C)(C)C)C2
ZINC35450597	CC(C)CCSc1nc2c(c(=O)[nH]1)C(c1ccccc1Cl)C1=C(CC(C)(C)CC1=O)N2
ZINC27834157	O=C(Oc1ccc(C2NC(=O)c3c(sc4c3CCCC4)N2)cc1)c1ccc(Cl)cc1Cl
ZINC08691962	COC(=O)CSc1nc(N)c2c3c(sc2n1)C(c1ccccc1)SC(c1ccccc1)C3
ZINC39395784	CC1=C2C(N=N1)OC(N)=C(C#N)C2c1cc(CSc2cc(Cl)ccc2Cl)c(C)cc1C
ZINC39967496	COC(=O)c1cc(C(C)c2ccccc2)sc1NC(=O)Nc1ccccc1Br
ZINC34971052	CC1(C)CC2CC(C)(CN2C(=O)C(Cc2ccccc2)NC(=O)Nc2cccc(Cl)c2)C1
ZINC43548680	CCN(CC)C(=O)C(C)C1CCC2(C)Cc3sc(Nc4ccc(F)cc4)nc3C(C)C2C1O
ZINC00673784	O=C(Nc1ccc(Cl)c(Cl)c1)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(F)cc1)N2
ZINC00673783	O=C(Nc1ccc(Cl)c(Cl)c1)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(F)cc1)N2
ZINC02228730	O=C(Nc1ccc(Cl)cc1)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(Cl)c(Cl)c1)N2
ZINC02228724	O=C(Nc1ccc(Cl)cc1)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(Cl)c(Cl)c1)N2
ZINC08444993	O=C(NC12CC3CC(CC(C3)C1)C2)c1nn2c(c1Cl)NC(c1ccccc1)CC2C(F)(F)F
ZINC00674915	CCc1ccccc1NC(=O)c1nn2c(c1Cl)NC(c1ccc(C)cc1)CC2C(F)(F)F
ZINC00674909	CCc1ccccc1NC(=O)c1nn2c(c1Cl)NC(c1ccc(C)cc1)CC2C(F)(F)F
ZINC02883723	Cc1ccc(C2CC(C(F)(F)F)n3nc(C(=O)Nc4cc(Cl)cc(Cl)c4)cc3N2)cc1
ZINC59015662	Clc1cccc(/C=N/Nc2nnc(SCc3cccc(Br)c3)[nH]2)c1Cl
ZINC59251346	O=C(Nc1ncc(Cc2cccc(Cl)c2Cl)s1)c1ccc(-c2ccccc2)[nH]c1=O
ZINC60276989	O=C(Nc1ccc(NC(=O)N2CCCCCC2)cc1)C(Sc1ccccc1)c1ccccc1
ZINC03011890	O=C(Nc1cc(Cl)cc(Cl)c1)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(Cl)cc1)N2
ZINC17015531	COc1ccc(-c2cs/c(=N\C(=S)NC(=O)c3ccccc3C)[nH]2)cc1Br
ZINC04668825	CCC[NH+](CCC)CCCNc1ccc(C(=O)Nc2cccc(C)c2)cc1[N+](=O)[O-]
ZINC07523962	O=[N+]([O-])c1ccc(NCC[NH2+]Cc2ccc(OCc3cccs3)cc2)c(Cl)c1
ZINC06870597	CCOc1cccc(C[NH2+]CCNc2ccc([N+](=O)[O-])cc2)c1OCc1ccccc1
ZINC10475094	CCOc1c(C[NH2+]CCNc2ccc([N+](=O)[O-])cc2Cl)cc(Cl)cc1OC
ZINC10475104	CCOc1ccc(C[NH2+]CCNc2ccc([N+](=O)[O-])cc2Cl)cc1Br
ZINC12633481	COc1ccc(C[NH2+]C(C(=O)Nc2ccc([N+](=O)[O-])cc2Cl)c2ccccc2)cc1OC
ZINC12703593	CCOc1ccccc1C[NH+]1CCNC(=O)C1CC(=O)NCCc1ccccc1Cl
ZINC15073439	COc1ccccc1/C=C/CN1CCNC(=O)C1CC(=O)NCCCC1CCCC1
ZINC15322833	C[NH+](Cc1ccccc1NCC(=O)NCC(=O)Nc1ccc(F)cc1)C1CCCCC1
ZINC16688198	CCOc1cc(Cl)cc(/C=[NH+]/CCCNc2ccc(Cl)cc2[N+](=O)[O-])c1O
ZINC20504510	CCCCNc1[nH+]c2c(s1)CC1(C)CCC(C(C)C(=O)NCCN3CCOCC3)C(O)C1C2C
ZINC20834426	COc1ccccc1NS(=O)(=O)c1cc([N+](=O)[O-])ccc1NCC(c1ccccc1)[NH+](C)C
ZINC21548885	Cc1ccc(NC(=O)C(NCC[NH+](C(C)C)C(C)C)c2ccccc2)c([N+](=O)[O-])c1
ZINC21928749	COc1ccc(Nc2nc(NCC[NH+](CC(C)C)CC(C)C)nc3c2cnn3C)cc1
ZINC24852456	CC[NH+](CC)C(CNC(=O)CSc1nnc(Nc2ccccc2OC)s1)c1ccco1
ZINC24853798	CC[NH+](CC)C(CNC(=O)CSc1nnc(Nc2ccccc2)s1)c1ccco1
ZINC06758006	CCNc1nc2nc(SCC(=O)c3ccc(C(C)(C)C)cc3)nn2c(NCC)[nH+]1
ZINC28638025	Cc1ccc(C)c(S(=O)(=O)Nc2cccc(C(=O)NCC[NH+](C(C)C)C(C)C)c2)c1
ZINC30880325	CC1=CC(CNC(=O)Nc2ccccc2)C(C(C)C)CC1CC(=O)NCC[NH+](C)C
ZINC32754850	CCOC(=O)C1=C(C[NH+](CC)CC(=O)Nc2cc(Cl)ccc2C)NC(=O)NC1c1ccc(C)o1
ZINC32754851	CCOC(=O)C1=C(C[NH+](CC)CC(=O)Nc2cc(Cl)ccc2C)NC(=O)NC1c1ccc(C)o1
ZINC35058358	COCCn1c(C(C)N(CCCCCC[NH3+])C(=O)c2ccc(C(C)(C)C)cc2)nc2ccccc2c1=O
ZINC35747149	Cc1ccc(-c2csc3nc(C[NH+](CC(O)COCc4ccco4)C(C)C)[nH]c(=O)c23)cc1C
ZINC35747150	Cc1ccc(-c2csc3nc(C[NH+](CC(O)COCc4ccco4)C(C)C)[nH]c(=O)c23)cc1C
ZINC36064000	O=C(NCC1CCCO1)c1coc(C[NH+](CCc2c[nH]c3ccccc23)Cc2cccc(Cl)c2)n1
ZINC36064064	O=C(NCC1CCCO1)c1coc(C[NH+](CCc2c[nH]c3ccccc23)Cc2ccc(Cl)cc2)n1
ZINC36075050	COc1ccc(NC(=O)c2cc([N+](=O)[O-])ccc2NC(=O)C[NH2+]C2CCCC(C)C2C)c(OC)c1
ZINC36154895	CC(C)(C)OCC(O)C[NH2+]C(Cc1ccccc1)c1nc(-c2ccc([N+](=O)[O-])cc2)no1
ZINC36207589	C=CCOCC(O)C[NH+](Cc1nc2scc(-c3ccccc3Cl)c2c(=O)[nH]1)CC(C)C
ZINC36207590	C=CCOCC(O)C[NH+](Cc1nc2scc(-c3ccccc3Cl)c2c(=O)[nH]1)CC(C)C
ZINC36207615	COCCC[NH+](Cc1nc2scc(-c3ccccc3)c2c(=O)[nH]1)CC(O)COc1ccccc1C
ZINC05979222	CC[NH+](CC)CCCN(Cc1cc2cccc(C)c2[nH]c1=O)C(=O)NC1CCCCC1
ZINC15936866	COc1cc(NC(=O)c2cc([N+](=O)[O-])ccc2NC(=O)C[NH2+]C2CCCCC2C)cc(OC)c1
ZINC12531474	CC1(O)CCC2(CCC(=O)NCCN3CCOCC3)C([NH2+]CC3CCCCC3)CC(C)(C)C2C1
ZINC40744497	Nc1nonc1C(=O)NCC[NH2+]Cc1c(OCc2ccc(Cl)c(Cl)c2)ccc2ccccc12
ZINC43024064	CC(Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(C[NH2+]C(C)(C)CO)cc1Cl
ZINC44608587	CC(C)(C)C(=O)OCC1OC([NH3+])CC(OC(=O)C(C)(C)C)C1OC(=O)C(C)(C)C
ZINC45358070	Cc1c(Nc2c(C#N)cncc2/C=C/CC[NH+]2CCC(NS(=O)(=O)C(C)C)CC2)ccc2[nH]ccc12
ZINC32428140	CC(C)C(NC(=O)OCc1ccccc1)C(=O)NCC(C)[NH+]1CCc2sccc2C1
ZINC04156689	CC(c1nc2ccccc2c(=O)[nH]1)N(CCCCCC[NH3+])C(=O)C12CC3CC(CC(C3)C1)C2
ZINC58644947	C[NH+](Cc1ccccc1NC(=O)CCCNC(=O)NC1CCCCC1)C1CCCCC1
ZINC58884588	CC[NH+](CC)C(CNC(=O)Nc1cccc(NC(=O)Nc2ccccc2)c1)c1ccsc1
ZINC12601818	C=CCN(C)CC1C[NH+]2CCC1CC2CNC(=O)Nc1ccc(OC(F)(F)F)cc1
ZINC59447160	O=C(C[NH2+]CCCNc1ccc(C(F)(F)F)cc1[N+](=O)[O-])Nc1ccc(Cl)cc1
ZINC60039781	CCCCN(C(=O)C[NH+](CCC)C1CCc2ccccc2C1)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC62588308	O=C(C[NH+](Cc1ccc(C(=O)NC2CC2)cc1)C1CC1)Nc1cccc(CSc2ccccn2)c1
ZINC63270824	CC(C)CCCC(C)NC(=O)CCCNC(=O)N1CCC2=c3ccccc3=[NH+]C2C1
ZINC63330563	COc1ccc(NC(=O)/N=C(\NCCC2=c3cc(OC)ccc3=[NH+]C2)Nc2nc(C)cc(C)n2)cc1
ZINC63552625	CC(C)CCN1C(=O)c2sccc2N2C(CCCC(=O)NCCC3=c4ccccc4=[NH+]C3)NNC12
ZINC65562375	CCC(C)C(NC(=O)OC(C)(C)C)C(=O)NCc1ccc(N2CCOC(C)C2)[nH+]c1
ZINC04221993	CC(C(=O)NCC[NH+]1CCOCC1)C1CCC2(C)Cc3sc(NC(=O)CC(C)(C)C)nc3C(C)C2C1O
ZINC09233430	Nc1nonc1-n1nnc(C(=O)N/N=C/c2cccs2)c1C[NH+]1CCC(Cc2ccccc2)CC1
ZINC09220060	Cc1ccc(C)c(S(=O)(=O)Nc2ccc(C(=O)NCC(c3ccc(C)o3)[NH+]3CCOCC3)cc2)c1
ZINC02258154	CCOC(=O)c1[nH]c2cc(OC)c(OC)cc2c1NC(=O)C[NH+]1CC2(C)CC1CC(C)(C)C2
ZINC12040927	COC(=O)c1cn(C2CC(C(=O)NCCc3c[nH]c4ccccc34)[NH+](C3C4CC5CC(C4)CC3C5)C2)nn1
ZINC12923188	C[NH+](C)CCNC(=O)/C(=C\c1ccc(-c2cccc([N+](=O)[O-])c2)o1)NC(=O)c1ccccc1
ZINC15673386	CCCCc1cc(CC2C[NH2+]CCC2CC(=O)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)no1
ZINC16685452	CC(c1nnc(SCc2nc(N)nc(Nc3ccc(F)cc3)n2)n1-c1ccc(Cl)cc1)[NH+](C)C
ZINC20617220	COC(=O)c1ccc(NC(=O)c2cc3c(CO)cnc(C)c3o/c2=[NH+]\c2ccc(C(=O)OC)cc2)cc1
ZINC21583997	CCOC(=O)C1=C(C[NH+](C)Cc2ccc3cc(OC)ccc3c2)NC(=O)NC1c1ccco1
