ZINC04719096	CC(=O)c1cc2c(N)c(/C(N)=N/C#N)sc2nc1C
ZINC12479419	Cc1ccc([C@H](C(=O)NCCC(C)C)N(CC[NH+]2CCOCC2)C(=O)c2snc(C(N)=O)c2N)cc1
ZINC13129719	NC(=O)N[C@H](CC(=O)OCC(=O)Nc1sc2c(c1C(N)=O)CCC2)c1cccc(Oc2ccccc2)c1
ZINC06077433	CCOc1ccc([C@H](C(=O)NC(C)(C)CC)N(Cc2cccnc2)C(=O)c2snc(C(N)=O)c2N)cc1
ZINC13816256	[NH2+]=C(NCCCc1c[nH]cn1)NCCC[C@H](c1ccc(Cl)c(Cl)c1)c1ccccn1
ZINC13864433	NC(=O)c1cc2c(Oc3ccc(/C=C/C(=O)NCC[NH+](CCO)CCO)cc3)cncc2s1
ZINC21739345	COc1cc(C(=O)OCC(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc(OC)c1OCC(N)=O
ZINC22075594	COc1cc(C[NH2+]CCNC[C@H](C)O)cc(Br)c1OCC(N)=O
ZINC23145830	CCC(=O)Nc1cccc(NCC(=O)Nc2sc(C(N)=O)c(C)c2C(=O)OCCOC)c1C
ZINC25586107	CCc1ccccc1NC(=O)/C(CC(=O)/C=C/c1cccc([N+](=O)[O-])c1)=N\NC(=S)NN
ZINC26021419	CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)N[C@H](C=O)CCCC[NH3+])C(C)C
ZINC29043699	Cc1cccc(C(F)(F)CNc2ccc(C#N)c(CC(=O)NCCONC(N)=[NH2+])c2F)n1
ZINC31166276	CC(=C\C(=O)[O-])/C=C(\C)C[C@@H](C)CCCC[C@@H](O)[C@@H](CO)C(=O)OC[C@@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC31167913	COc1cc(C[C@@H](CO[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)c2cc(/C=C/CO)cc(OC)c2O)ccc1O
ZINC17176635	CCCCCCN/C([O-])=C1\C(=O)N(CCCCCC)C(=O)\C1=N/NC(=N)N
ZINC17218644	CC1=CCC[C@@H](C)[C@]1(C)CC/C(C)=C\CC/C(C)=C\CS(=O)(=O)CC[NH+]=C(N)N
ZINC33459869	CC(C)C[C@H](NC(=O)c1csc([C@H]([NH3+])CCCCNC(=O)OCc2ccccc2)n1)C(N)=O
ZINC35466050	C=C[C@](C)(O)CC/C=C(\C)CC[C@@H](O)C(C)(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC36107671	NC(=[NH2+])c1ccc(CNC(=O)C2(NC(=O)[C@@H](CC3CCCCC3)[NH2+]CC(=O)[O-])CCCCC2)cn1
ZINC14156527	COc1cc(NC(=S)/N=C(/NCCc2c[nH]c[nH+]2)Nc2nc(C)cc(C)n2)cc(OC)c1OC
ZINC06134548	COc1ccc([C@@H](C(=O)NCCC(C)C)N(CCO)C(=O)c2snc(C(N)=O)c2N)cc1
ZINC06134943	CSCC[C@@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(N)=O)C(C)C
ZINC06600099	CCOCCCN(C(=O)c1snc(C(N)=O)c1N)[C@@H](C(=O)NC1CCCC1)c1ccc(O)c(OC)c1
ZINC39134235	NC(=[NH2+])NCCC[C@H](NC(=O)c1cc2ccccc2cn1)C(=O)NCc1ccc(C(F)(F)F)cc1
ZINC39200266	CN(C)c1ccc(C[NH+]2CCN(CCOC(=O)N[C@@H](Cc3ccc(O)cc3)C(N)=O)CC2)cc1
ZINC39559841	COc1c(C)c(OC/C=C(\C)C(=O)OC[C@H](O)[C@H](O)[C@H](O)CO)cc(CO)c1CO
ZINC40705922	COC(=O)c1cc(Nc2ncnc(NCCCn3cc[nH+]c3)c2N)cc(C(=O)OC)c1
ZINC44682097	COC(=O)[C@@H](CCCNC(=O)OC(C)(C)C)NCc1c(CO)c[nH+]c(C)c1O
ZINC27646270	CCO/C([O-])=C1\C(COCC[NH+](CC(N)=O)CC(N)=O)=NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl
ZINC21264113	CC[NH+](CC)c1ccc(CN(CCC[NH+](C)C)C(=S)NC2CC(C)(C)[NH2+]C(C)(C)C2)cc1
ZINC15952507	O=C(NCCC[NH2+]CCCNC(=O)c1ccc(/C=N/O)nc1)c1ccc(/C=N/O)nc1
ZINC63117439	CCOc1ccc([C@H](CNC(=O)C[C@@H](NC(N)=O)c2ccccc2C)C2=c3ccccc3=[NH+]C2)cc1OC
ZINC63209609	CC[NH+](CC)c1ccc(NC(=O)COC(=O)[C@@H](CC2=c3ccccc3=[NH+]C2)NC(N)=O)cc1
ZINC64858851	CCOC(=O)/C=C/[C@H](CC(C)C)NC(=O)[C@@H](CO)NC(=O)[C@@H](NC(=O)c1cccc(O)c1C)C(C)C
ZINC04237019	C=CCOC(=O)Nc1nc2c(s1)C[C@H]1[C@@](C)(CC[C@@H](O)[C@@]1(C)CO)[C@@H]2CC(=O)N[C@@H](CO)CC(C)C
ZINC04556708	CCC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(N)=[NH2+]
ZINC05294153	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)[O-]
ZINC06134079	COc1ccc(CN(C(=O)c2snc(C(N)=O)c2N)[C@H](CC(C)C)C(=O)NCCC(C)C)cc1
ZINC06134126	COc1ccc([C@H](C(=O)NCCC(C)C)N(Cc2ccco2)C(=O)c2snc(C(N)=O)c2N)cc1OC
ZINC06134232	COc1ccc([C@H](C(=O)NCCC(C)C)N(Cc2ccco2)C(=O)c2snc(C(N)=O)c2N)cc1
ZINC06134410	COc1cc([C@@H](C(=O)NCCC(C)C)N(Cc2ccco2)C(=O)c2snc(C(N)=O)c2N)ccc1O
ZINC06134595	COc1ccc(N(C(=O)c2snc(C(N)=O)c2N)[C@H](C(=O)NCCC(C)C)c2ccco2)cc1OC
ZINC06481373	CCCC[C@@H](C(=O)NCCC(C)C)N(C[C@@H]1CCCO1)C(=O)c1snc(C(N)=O)c1N
ZINC06500938	CCC[C@@H](C(=O)NC(C)(C)C)N(CCc1ccc(OC)c(OC)c1)C(=O)c1snc(C(N)=O)c1N
ZINC06501016	CCC[C@@H](C(=O)NC1CCCC1)N(CCCOCC)C(=O)c1snc(C(N)=O)c1N
ZINC06501452	CCC[C@H](C(=O)NCCC(C)C)N(CCc1ccc(OC)c(OC)c1)C(=O)c1snc(C(N)=O)c1N
ZINC06878667	COc1ccc([C@@H](C(=O)NC[C@H]2CCCO2)N(CC[NH+](C)C)C(=O)c2snc(C(N)=O)c2N)cc1
ZINC07779505	CC(C)CNC(=O)C[NH+](CC(=O)NCC(C)C)[C@H](C)c1ccc(S(N)(=O)=O)cc1
ZINC11339038	CCCCCN(CC(=O)NC(=O)NC(C)C)c1c(N)n(CCCC)c(=O)[nH]c1=O
ZINC06501144	CCC[C@@H](C(=O)NCCC(C)C)N(CCCOCC)C(=O)c1snc(C(N)=O)c1N
ZINC12656292	COc1cc2c(c(OC)c1OC)-c1ccc(NCCCCCC[NH3+])c(=O)cc1[C@@H](NC(C)=O)CC2
ZINC12896810	C=C(C)COc1ccc2c(C)c(CC(=O)N(C)C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO)c(=O)oc2c1C
ZINC05423795	CC(C)C[C@@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)OCc1ccccc1)C(N)=O
ZINC13816122	[NH2+]=C(NCCCc1c[nH]cn1)NCC[C@@H](c1ccccn1)c1ccccc1Cl
ZINC13816221	[NH2+]=C(NCCCc1c[nH]cn1)NCC[C@@H](c1ccc(F)cc1)c1cccnc1
ZINC14157932	Cc1cc(C)nc(N/C(=N/C(=S)NCc2ccco2)NCCc2ccc(S(N)(=O)=O)cc2)n1
ZINC16322871	COc1cc(C[NH2+]CCNC(=O)c2nonc2N)ccc1OCC(=O)NC(C)(C)C
ZINC16688490	CCOc1cc(C[NH2+]CCNC(=O)c2nonc2N)cc(Br)c1OCc1ccc(F)cc1
ZINC24901903	CCCCn1c(N)c(N(CCOC)C(=O)CSc2nc(C)c(CC(N)=O)s2)c(=O)[nH]c1=O
ZINC26677775	CCCNC(=S)NNC(=O)[C@H](CCC)NC(=O)NCc1ccc(F)cc1
ZINC26892158	C[NH2+]Cc1ccc(CSCCN/C(=N\S(C)(=O)=O)NC[C@@H](O)c2ccc(O)cc2)o1
ZINC29042452	Cc1ccnc(C(F)(F)CNc2ccc(C#N)c(CC(=O)NCCONC(N)=[NH2+])c2F)c1
ZINC29126141	C[C@]12C[C@@H](Cc3ccccc3)CC(=O)N1[C@H](C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)c1nccs1)CS2
ZINC31161882	CC(=O)O[C@H](C[C@H](O)[C@](C)(O)CCC=C(C)C)/C(C)=C/COC[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO
ZINC17218659	CC1=CCC[C@@H](C)[C@]1(C)CC/C(C)=C\CC/C(=C/CS(=O)(=O)CC[NH+]=C(N)N)CO
ZINC33459866	CC(C)C[C@@H](NC(=O)c1csc([C@@H]([NH3+])CCCCNC(=O)OCc2ccccc2)n1)C(N)=O
ZINC35050063	C=C[C@@](C)(O)CC/C=C(\C)CC[C@@H](O)C(C)(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC35465649	C/C(=C\Cc1c(O)cc(C)c(C=O)c1O)CC/C=C(\C)CCCC(C)(C)O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O
ZINC06134080	CC(C)CCNC(=O)[C@@H](CC(C)C)N(Cc1ccc2c(c1)OCO2)C(=O)c1snc(C(N)=O)c1N
ZINC06631998	CC[C@@H](C)[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CO)NC(=O)[C@@H]1CCC(=O)N1)C(=O)OC
ZINC36374535	C=C[C@](C)(CC/C=C(\C)CC[C@H](O)C(C)(C)O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC31165656	CC1=C(CC/C(C)=C\COC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C(C)(C)[C@H](C)CC1
ZINC04388859	CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C(=O)N[C@@H](C)C(N)=O)C(C)C
ZINC41856179	C=CC[NH+](CC=C)[C@@H](CNC(=O)C(=O)Nc1cccc(C(N)=O)c1C)C(C)C
ZINC44710262	CC(=O)Nc1ccc(OC[C@H](O)C[NH+](C[C@@H](O)COc2ccc(NC(C)=O)cc2)C(C)C)cc1
ZINC52594634	CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](CC1=c2ccccc2=[NH+]C1)C(=O)NCc1ccncc1
ZINC19690753	C=CCNC(=S)NCCCN1CC[NH+](CCCNC(=S)NCC=C)CC1
ZINC14156533	Cc1cc(C)nc(N/C(=N/C(=S)Nc2ccc(Nc3ccccc3)cc2)NCCc2c[nH]c[nH+]2)n1
ZINC14156570	Cc1cc(C)nc(N/C(=N/C(=S)Nc2cccc(OC(F)(F)F)c2)NCCc2c[nH]c[nH+]2)n1
ZINC63209611	CC[NH+](CC)c1ccc(NC(=O)COC(=O)[C@H](CC2=c3ccccc3=[NH+]C2)NC(N)=O)cc1
ZINC65742898	COc1c(O)c(C)c(CCCCCCCCCCO)c(O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O)[C@@H](O)[C@H]2O)c1OC
ZINC66245699	CCOCCC/[NH+]=C(/NCCCS(N)(=O)=O)NCc1ccc(OC)cc1
ZINC67221600	COc1cc(C[NH2+]CCC(=O)NC2CCCC2)cc(OC)c1OCC(N)=O
ZINC04161220	CCC[C@H](C(=O)NC1CCCC1)N(C(=O)c1snc(C(N)=O)c1N)C1CCCC1
ZINC04760369	CCc1cc([N+](=O)[O-])c(NC[C@@H](O)[C@@H](O)[C@H](O)CO)cc1Br
ZINC02379267	NC(=[NH2+])NCCC[C@H](NSc1ccccc1[N+](=O)[O-])C(=O)[O-]
ZINC06264710	CCCCc1[nH]nc2c1[C@@H](c1ccc(OCC(N)=O)c(OC)c1)C(C#N)=C(N)O2
ZINC06463339	CCOC(=O)C1=C(C)NC(=O)N[C@@H]1c1ccc(OCC(=O)NN)c(OC)c1
ZINC06551584	CC[C@H](C)[C@H](NC(N)=O)C(=O)NNC(=O)[C@@H](C)Oc1ccc(F)cc1
ZINC06778296	CC[C@H](C)[C@H](NC(N)=O)C(=O)NNC(=O)COc1cc(C)cc(C)c1
ZINC01923499	COC(=O)CSc1nnc(N)n1CC(=O)Nc1sc2c(c1C(N)=O)CCCC2
ZINC09513868	NC(=O)N[C@H](CC(=O)NNC(=O)CSc1ccc(Cl)cc1)c1ccc(Cl)cc1
ZINC11338872	CCCCCN(CC(N)=O)c1c(N)n(CCCC)c(=O)[nH]c1=O
ZINC20527448	COc1ccc(O)c(/C=N/Nc2nnc(SCC(=O)Nc3ccccn3)n2N)c1
ZINC20806538	CSc1ccccc1NC(=O)CSc1nnc(N/N=C/c2cccc(O)c2)n1N
ZINC20915833	Nn1c(N/N=C/c2cccc(O)c2)nnc1SCC(=O)NNC(=O)C(F)(F)F
ZINC21318768	COc1cccc(/C=N/Nc2nnc(SCC(=O)Nc3ccccc3C)n2N)c1O
ZINC25386494	CC[C@@H](C)[C@@H](NC(N)=O)C(=O)NNC(=O)CSc1cc(Cl)ccc1Cl
ZINC26949895	Cc1cc(NNC(=S)SCC(=O)N[C@H](O)C(Cl)(Cl)Cl)nc(N)n1
ZINC28631908	CC[C@@H](C)[C@@H](NC(N)=O)C(=O)NNC(=S)NC1CCCCC1
ZINC29299756	NC(=O)COc1ccc(NC(=O)CNC(=O)NCc2ccc(F)cc2)cc1
ZINC29664631	CC(C)[C@H](Sc1nnc(-c2ccco2)n1CCC(N)=O)C(=O)NC(N)=O
ZINC31160556	C=C[C@](C)(O)CC/C=C(\C)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC31169927	C/C(=C\CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CCC(C)(C)O
ZINC06821034	CC[C@H](C(=O)NC1CCCC1)N(C(=O)c1snc(C(N)=O)c1N)c1ccc(OC)cc1
ZINC02643848	CC(C)[C@H](NC(N)=O)C(=O)NNC(=O)COc1cccc(C(F)(F)F)c1
ZINC39337599	CCOC(=O)[C@H]1NNS[C@H]1NC(=O)NCCc1c[nH]c2ccc(OC)cc12
ZINC39345024	C/C(=N\NC(=O)CCCC(=O)N/N=C(\C)c1ccc(N)cc1)c1ccc(N)cc1
ZINC39691649	C[N@H+]1[C@H](c2ccccc2)NN[C@@H]1SCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC40757288	COCCCNc1ncnc(Nc2ccc(NC(C)=O)cc2)c1N
ZINC42084704	CC[C@@H](C)[C@H](NC(N)=O)C(=O)NNC(=S)NC[C@@H]1CCCO1
ZINC42084706	CC[C@@H](C)[C@@H](NC(N)=O)C(=O)NNC(=S)NC[C@@H]1CCCO1
ZINC44460322	C/C=C/C#CC#C[C@H](O)[C@@H](/C=C/CCCO)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC44460325	C/C=C/C#CC#C[C@@H](O)[C@H](/C=C/CCCO)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC45155303	CC[C@H](C)[C@H](NC(N)=O)C(=O)Nc1cccc(NC(=O)COC)c1
ZINC28362272	CC(C)CNC(=O)NC(=O)[C@@H](C)Nc1ccc(OCC(N)=O)cc1
ZINC48524533	COC(=O)NC(=S)Nc1cc2nc[nH]c2cc1NC(=S)NC(=O)OC
ZINC50122296	CSCC[C@@H](NC(N)=O)C(=O)NNC(=O)c1cccc([N+](=O)[O-])c1
ZINC55512368	COC(=O)Nc1cccc(NC(=O)[C@@H](CCSC)NC(N)=O)c1
ZINC56202753	COc1ccccc1OCC(=O)Nc1cccc(N[C@@H](C)C(=O)NC(N)=O)c1
ZINC29491144	Cc1ccc(NC(=S)NNC(=O)[C@H](CC(C)C)NC(N)=O)c(C)c1
ZINC58177445	CC(C)C[C@H](NC(N)=O)C(=O)NNC(=S)NC[C@@H]1CCCO1
ZINC59814610	CC(=O)Nc1ccc(NC(=O)CSc2n[nH]c(N/N=C/c3ccc(O)cc3)n2)cc1
ZINC59913947	COCCn1cc(/C=N/NC(=O)CSc2nc(N)cc(N)n2)cn1
ZINC50099389	C[C@@H](COc1ccc(C(C)(C)C)cc1)NC(=O)NC(C(N)=O)C(N)=O
ZINC62389294	C[C@H](NC(=O)Nc1ccccc1SCC(N)=O)C(=O)NCc1ccco1
ZINC63123127	CC(C)COC(=O)Nc1cccc(NC(=O)[C@@H](NC(N)=O)C(C)C)c1
ZINC63839188	CCOCCCNC(=O)NNC(=O)c1cc(C)c(C)c(S(N)(=O)=O)c1
ZINC64900116	COCCNC(=O)NNC(=O)CCNC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
ZINC66146224	COc1ccc([C@](CC/C(N)=N\O)(/C(N)=N\O)C(C)C)cc1OC
ZINC66954472	C[C@@H](CC#N)Sc1ccccc1NC(=O)NCCCc1n[nH]c(N)c1C#N
ZINC67310110	CCOCCCNC(=O)NNC(=O)c1cc(F)cc([N+](=O)[O-])c1N
ZINC67469624	CNS(=O)(=O)c1cccc([C@@H](C)NC(=O)NNC(=S)NC2CCCC2)c1
ZINC00309664	NC(=[NH2+])N1CCN(C(N)=[NH2+])CC1
ZINC05527863	C[C@@H]([NH3+])S(=O)(=O)[C@@H](C)[NH3+]
ZINC06691140	NC(=[NH2+])C[NH3+]
ZINC13529433	[NH3+]CCCC[C@H]([NH3+])C(=O)N1CC=CCC1
ZINC17002862	C/C(C/C(C)=N/NC(N)=[NH2+])=N\N=C(N)N
ZINC16924180	NC(=O)c1nc(CC[NH3+])[nH]c1N
ZINC19518195	NC(=O)CC([NH3+])CC(N)=O
ZINC20420034	CNC(=O)NC(=O)[C@@H](C)[N@H+](C)CCC[NH3+]
ZINC22007787	CC1(C)C(=O)N(CCC[NH3+])C(=O)N1CCC[NH3+]
ZINC17424159	NC(=[NH2+])S/C=C\CSC(N)=[NH2+]
ZINC33506704	C[C@H]([NH3+])CN[C@@H](C)C[NH3+]
ZINC33605180	CC[C@@H](C[NH3+])CC[NH3+]
ZINC35676960	N[C@]1(C[NH3+])C[N@H+]2CC[C@@H]1CC2
ZINC19688199	NC(=O)CN1CC[NH+](CCC[NH3+])CC1
ZINC20612246	CN1CCc2c3c(N)nc(N)[nH]c-3[nH+]c(=O)c2C1
ZINC36744535	NS(=O)(=O)CCNC(=O)C(=O)NCC[NH3+]
ZINC36747348	NC(=O)CC[NH2+]CC(=O)NC(N)=O
ZINC37039759	C[C@H](C(N)=O)[N@@H+]1CCCN(CC[NH3+])CC1
ZINC37048970	C[C@H](C[NH3+])C[NH+]1CCN(CC(N)=O)CC1
ZINC37227016	C[C@H](C[NH+]1CCN(CCC[NH3+])CC1)C(N)=O
ZINC37268339	C[N@@H+](CC(N)=O)[C@H]1CCC[C@@H]1C[NH3+]
ZINC37660304	C[C@H]([NH2+]CCCC(N)=O)C(N)=O
ZINC39091091	CC(C)(C)OC(=O)N[C@@H](N)CC[NH3+]
ZINC39115395	[NH3+]NC[C@@H]1[NH+]=c2ccccc2=[NH+]C1=O
ZINC42040257	[NH3+]C1(c2nc(-c3n[nH]c(=O)[nH]3)c[nH]2)CCC1
ZINC42428575	CC(C)[N@H+](CC(N)=O)C[C@@H](C)C[NH3+]
ZINC42871780	Cc1[nH]c(NCCCn2cc[nH+]c2)c(N)[nH+]1
ZINC44250102	CC(=O)OC(C)(C[NH3+])C[NH3+]
ZINC44250592	NC(=O)C[C@H]([NH3+])[C@H](N)CC(N)=O
ZINC44473052	C[NH+](C)CC1([C@@H](N)C[NH3+])CCCC1
ZINC44473976	CN1CC[NH+](CC(C)(C)[C@H](N)C[NH3+])CC1
ZINC44559211	CNC(=O)NC(=O)[C@@H](C)[N@H+]1CCCC[C@@H]1C[NH3+]
ZINC44830400	[NH3+]NC1=c2ccccc2=C(N[NH3+])CC1
ZINC49753798	Nc1nc(N)nc(C[NH+](CCO)CCO)n1
ZINC43461245	NC(=[NH2+])CCn1cnc2c(N)ncnc21
ZINC50607439	Nc1cc(N2CC[NH2+]CC2)cc(S(N)(=O)=O)c1
ZINC51016167	CC(C)[N@@H+](CC(N)=O)CC1(O)CC[NH2+]CC1
ZINC51694740	CC(C)[C@H]([NH3+])C(=O)N[C@H]1CC[C@H]([NH3+])CC1
ZINC51820781	C[C@@H](O)C[N@H+](C)CCC(N)=[NH2+]
ZINC52035790	C[NH+](C)CCCCNC(N)=[NH2+]
ZINC39136663	NNC(=[NH2+])c1cc[nH+]c(N)c1
ZINC54967456	[NH3+]Cc1cncc(C[NH3+])c1
ZINC40695220	C[NH+](C)CCNC1(C(N)=O)CC[NH2+]CC1
ZINC44762752	C[C@H](NC(=O)C1(C[NH3+])CCCC1)C(N)=O
ZINC45231546	CN(CC[C@](C)([NH3+])C(N)=O)C1CC[NH+](C)CC1
ZINC53278524	C[NH+]1CCC(NC(N)=[NH2+])CC1
ZINC54765001	[NH3+]CCCNCc1c[nH]c[nH+]1
ZINC61806489	[NH3+]CCN(CC[NH3+])c1ncnc2c1CCC2
ZINC61808399	NC(=O)CN(CC(N)=O)[C@H]1CCCC[C@H]1[NH3+]
ZINC62718367	Nc1ncc(C[NH2+]CC2CC[NH2+]CC2)cn1
ZINC00005761	Cc1ccc2oc(N[C@@H](CC3CCCCC3)c3ccccn3)nc2c1
ZINC01383198	CNc1nc(SCc2ccccc2)nc(-c2ccc(C)cc2)c1C#N
ZINC02469580	C=CCOC(=O)c1[nH]c2c(c1C)C(=O)C[C@H](c1ccc(Cl)cc1)C2
ZINC00947606	CCc1ccc(N2C(=O)C(Cl)=C(Nc3cccc(C)c3C)C2=O)cc1
ZINC01329610	N#Cc1ccc(CSc2ccc(-c3nc4ccccc4[nH]3)cn2)cc1
ZINC05151374	CC(/C=C1\SC(N(C)c2ccc(O)cc2)=NC1=O)=C\c1ccccc1
ZINC00584703	Cc1cccc(OCC(=O)N/N=C/c2ccc(Cl)cc2Cl)c1
ZINC03102634	Cc1ccccc1OCC(=O)N/N=C/c1ccc(Cl)c(Cl)c1
ZINC05822281	CC(C)c1ccc(/C=N/n2c(-c3cccc(Cl)c3)n[nH]c2=S)cc1
ZINC00565572	Cc1ccc(C)c(OCC(=O)N/N=C/c2c(F)cccc2Cl)c1
ZINC03305494	O=C(c1c[nH]c2ccccc12)[C@@H]1O[C@H]1c1ccc(-c2ccccc2Cl)o1
ZINC06310635	CCCCNc1ncnc2c1sc1nc(C(C)C)c3c(c12)CCC3
ZINC10151431	C=C(C)[C@@H]1CC=C(C)/C(=N/NC(=O)[C@H](C)Oc2ccc(C)c(C)c2)C1
ZINC12367887	COc1ccc(/C=N\NC(=O)c2cc3c(s2)-c2ccccc2CC3)cc1
ZINC12884096	O=c1[nH]c(SCc2csc(-c3cccs3)n2)nc2sccc12
ZINC14031554	C[C@H](Oc1ccc2ccccc2c1)C(=O)N/N=C1\CCCc2ccccc21
ZINC15017944	CCc1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(C(=O)OC)cc1)N2
ZINC16882611	Cc1ccc(Cn2cnc(O)c(Cc3cc(C)ccc3C)c2=O)c(C)c1
ZINC16882993	Cc1ccc(Cc2c(O)nc(C)n(Cc3ccc(Cl)cc3)c2=O)c(C)c1
ZINC20088319	Cc1cc(N[C@@H](C)c2cccc([N+](=O)[O-])c2)ccc1Br
ZINC20672140	CCc1ccc(Nc2nn(-c3ccc(F)cc3)c3c2C(=O)CCC3)cc1
ZINC21330670	O=C1C[C@@H](C(F)(F)F)N(C(=O)CSC2CCCC2)c2ccccc2N1
ZINC22451368	C[C@@H]1C[C@@H](C)CN(c2nc(CSc3ccc(Cl)cc3)cc(=O)[nH]2)C1
ZINC27974665	C[C@@H](Oc1ccc2ccccc2c1)C(=O)Nc1ncc(Cl)cc1Cl
ZINC12447038	Cc1ccc(C(=O)CSc2nc3sc(C)c(C)c3c(=O)[nH]2)c(C)c1
ZINC33271179	CCc1ccc2c(c1)[C@H]1OCC[C@H]1[C@H](c1ccc(C(=O)OC)cc1)N2
ZINC34913283	Cc1ccn2c(NC(=O)CC(C)(C)C)c(-c3cccc(F)c3)nc2c1
ZINC06154880	COc1ccc(-c2n[nH]c(S[C@H](C)c3ccccc3Cl)n2)cc1
ZINC36750638	Cc1ccc([C@@H](C)Nc2cc(Br)ccc2F)cc1[N+](=O)[O-]
ZINC37059814	Cc1ccc(N[C@@H](C)c2ccccc2Br)c([N+](=O)[O-])c1
ZINC37139986	CCc1ccc(CNc2ccc(Br)cc2[N+](=O)[O-])cc1
ZINC37299269	O=[N+]([O-])c1cc(NCc2c(Cl)ccc(Cl)c2Cl)ccc1F
ZINC37299521	Cc1c(N[C@H](C)c2ccc(F)c(Br)c2)cccc1[N+](=O)[O-]
ZINC37299597	C[C@H](Nc1ccc([N+](=O)[O-])cc1)c1ccc(I)cc1
ZINC37299799	Cc1cc([N+](=O)[O-])ccc1NCc1c(Cl)ccc(Cl)c1Cl
ZINC00710801	CCc1ccc([C@@H]2Nc3ccccc3C(=O)N2c2ccc(N(C)C)cc2)cc1
ZINC02197325	CCCCSc1nc(=O)c2c3c(sc2[nH]1)CO[C@](C)(CC)C3
ZINC04738980	N#C/C(=C\c1ccc(Sc2ccccc2)o1)c1nc2ccccc2[nH]1
ZINC05070165	COc1cc(OC)c(NC(=O)c2csc3c2CC[C@@H](C)C3)cc1Cl
ZINC03180029	CC(C)Oc1ccc2c(c1)O[C@](c1ccccc1)(C(F)(F)F)NC2=O
ZINC40896475	FC(F)(F)c1cc(Nc2cccc(Cl)c2)nc(-c2cccnc2)n1
ZINC48122872	Cc1cc(OC(C)C)ccc1NC(=O)N(C)[C@H](C)c1ccccc1F
ZINC17837411	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)[C@@H]1c1ccc(C)cc1
ZINC08914851	CCc1c(C)[nH]c2c(-c3ccccc3)c(Cc3ccccc3)nn2c1=O
ZINC22551524	C[C@]1(NC(=O)c2ccc(SC(F)(F)F)cc2)CCS(=O)(=O)C1
ZINC22551522	C[C@@]1(NC(=O)c2ccc(SC(F)(F)F)cc2)CCS(=O)(=O)C1
ZINC34988055	C/C(=N/NC(=O)COc1ccc(C)cc1C)c1ccc2ccccc2c1
ZINC60370099	O=S(=O)(c1ccc2c(c1)CCCC2)N1CC[C@@H](Nc2ccccc2)C1
ZINC66193239	CC(C)N(Cc1ccc(C#N)cc1)C(=O)N[C@H]1CCc2ccccc2C1
ZINC66343303	O=C(NC[C@@H]1CCN(c2ccc(F)cc2)C1)N1CCC[C@@H]1c1cccs1
ZINC08295023	CC(=O)N1CC[C@H](NS(=O)(=O)c2cccs2)C[C@H]1C(=O)N[C@H](CC(C)C)C(N)=O
ZINC08546529	C[C@]1(c2ccco2)NC(=O)N(CC(=O)Nc2sccc2C(N)=O)C1=O
ZINC08772271	O=C(CCNC1=NS(=O)(=O)c2ccccc21)NNC(=O)Cc1c[nH]c2ccccc12
ZINC09834116	C[C@H](NC(=O)CN1C(=O)N[C@](C)(C2CC2)C1=O)c1ccc(S(N)(=O)=O)cc1
