ZINC00227558	CC1=C(C(=O)OC(C)C)C(c2ccccc2F)CC(=O)N1
ZINC09547529	[O-]c1nc2sc3c(c2c2nc(Cc4ccccc4)nn12)CCCC3
ZINC13720084	[S-]c1nnc(-c2ccc(Cl)cc2)n1Cc1ccc2c(c1)OCO2
ZINC36928034	[S-]c1nnc(-c2ccccn2)n1-c1cccc(I)c1
ZINC37437433	O=S(=O)([N-]c1ncc(Br)s1)c1ccc(Br)s1
ZINC37553132	Cc1ccc([N-]S(=O)(=O)c2c(Cl)nc3sccn23)cc1C
ZINC37858755	CN(C)c1ccc(/C=C2\N=C([S-])N(Cc3ccccc3)C2=O)cc1
ZINC13130687	Cc1ccc(C(=O)C2=C([O-])C(=O)N(C)C2c2ccc(Br)cc2)cc1
ZINC38008528	O=S(=O)([N-]c1cc(Cl)cc(Cl)c1)c1ccnc(Cl)c1
ZINC38154169	CC(C)OC(=O)C1C2c3ccccc3C(c3ccccc32)C1C(=O)[O-]
ZINC02713380	COc1ccc(Cn2c([O-])c3oc4ccccc4c3nc2=S)cc1
ZINC39975142	Cc1cccc(S(=O)(=O)[N-]c2ccc(Br)cn2)c1C
ZINC40285739	[O-]c1nc2ccc(C(Br)c3ccc4c(c3)OCO4)cc2o1
ZINC41069799	O=S(=O)([N-]c1cccc(F)c1F)c1cc(Br)cnc1Cl
ZINC42419026	[S-]c1nnc(-c2ccccn2)n1Cc1ccc(Br)cc1
ZINC44602526	O=c1c([O-])c(-c2ccc3c(c2)OCCCO3)oc2cc(Cl)ccc12
ZINC48501895	O=[N+]([O-])c1ccc([O-])c(/C=N/c2ccc(F)cc2Br)c1
ZINC49061157	N#Cc1ccc(Cl)cc1[N-]S(=O)(=O)c1sccc1Br
ZINC01301158	O=C1N=C([N-]c2ccc(Br)cc2)S/C1=C/c1cccnc1
ZINC58063464	Cc1cc(Cl)c(C)c(S(=O)(=O)[N-]c2c(C)noc2C)c1Cl
ZINC59135878	O=C1/C(=C/c2cccc(Br)c2)C([O-])=NC(=S)N1c1ccccc1F
ZINC59859853	Cc1cccc(N2C(=O)N=C([O-])/C(=C/c3cccc(Br)c3)C2=O)c1C
ZINC06556301	Cc1c([O-])c2c(=O)n(-c3ccccc3)c(-c3ccccc3)cc2oc1=O
ZINC18156785	Cc1cccc(-n2c([S-])nc3nc4c(cc3c2=O)COC(C)(C)C4)c1
ZINC18156785	Cc1cccc(-n2c([O-])c3cc4c(nc3nc2=S)CC(C)(C)OC4)c1
ZINC39730592	CSC1=NC(=O)C2C(=N1)N=C1CCCC([O-])=C1C2c1ccc(C)cc1
ZINC39730600	CSC1=NC(=O)C2C(=N1)N=C1CCCC([O-])=C1C2c1ccc(C)cc1
ZINC05647237	Cc1ccc(-n2c([S-])nc3nc4c(cc3c2=O)COC(C)(C)C4)cc1
ZINC05647237	Cc1ccc(-n2c([O-])c3cc4c(nc3nc2=S)CC(C)(C)OC4)cc1
ZINC63911214	O=S(=O)([N-]c1ccccc1F)c1ccc(F)c(C(F)(F)F)c1
ZINC19883146	CSC1=C(C#N)C(c2ccc3c(c2)OCO3)C2=C([O-])CCCC2=N1
ZINC19883146	CSC1=C(C#N)C(c2ccc3c(c2)OCO3)C2=C(CCCC2=O)N1
ZINC40475400	O=C1C2Sc3nc([S-])sc3C(c3ccco3)C2C(=O)N1c1ccccc1
ZINC66254346	O=S(=O)([N-]c1nc2cc(F)c(F)cc2s1)c1cc(F)cc(F)c1
ZINC32427284	Cc1ccc(OC(=O)c2ccc3c([O-])n(C)c(=S)nc3c2)c(C)c1
ZINC04832605	O=C1C2C3c4ccccc4C(c4ccccc43)C2C(=O)N1c1ccccc1[S-]
ZINC05371684	CCc1ccccc1N1C(=O)/C(=C/c2ccc(C(=O)[O-])cc2)SC1=S
ZINC17373796	CCc1ccc(/C=C2\SC(=S)N(c3cccc(C(=O)[O-])c3)C2=O)cc1
ZINC05441446	Cc1cc([O-])c(C2=NCCSC(c3ccc(Cl)c(Cl)c3)C2)c(=O)o1
ZINC01245621	O=C1/C(=C\c2cccc3ccccc23)C([O-])=NC(=S)N1c1ccccc1F
ZINC05827477	O=c1c2cc(Br)ccc2nc([S-])n1CCC1=CCCCC1
ZINC20627195	O=S(=O)([N-]c1ccc(Cl)cc1F)c1cc(Cl)sc1Cl
ZINC20900801	CC1=C(c2ccc(C)cc2)S(=O)(=O)N=C1[N-]c1ccc(Br)c(C)c1
ZINC21657601	O=S(=O)(c1ccc(F)c(F)c1)c1cnc2c(F)c(Cl)ccc2c1[O-]
ZINC22079911	O=C1/C(=C/c2ccc(Br)cc2)[N-]C(S)N1c1ccccc1
ZINC07098723	[O-]C1=NC(=S)S/C1=C/c1cn(Cc2ccc(F)cc2)c2ccccc12
ZINC32631645	N#Cc1cccc(S(=O)(=O)[N-]c2ccc(I)cc2Cl)c1
ZINC33297627	Cc1cc(C)cc([N-]S(=O)(=O)c2cc(-c3nc(C)cs3)cs2)c1
ZINC12376658	O=C1/C(=C\c2cccc(Br)c2)N=C([S-])N1c1ccccc1
ZINC35357083	Cc1nc(Cl)sc1S(=O)(=O)[N-]c1ccc(Cl)c(Cl)c1
ZINC35357201	Cc1nc(Cl)sc1S(=O)(=O)[N-]c1c(F)cc(F)cc1Br
ZINC35697906	Cc1cc(-n2c([O-])c3sccc3nc2=S)ccc1Br
ZINC37437440	O=S(=O)([N-]c1ncc(Br)s1)c1cc(Cl)ccc1Cl
ZINC37574788	N#Cc1cccc([N-]S(=O)(=O)c2ccc(Br)cc2Br)c1
ZINC37575751	N#Cc1ccc([N-]S(=O)(=O)c2ccc(F)cc2Br)cc1Cl
ZINC05427828	[S-]c1nnc(C2CC2c2ccc(Cl)cc2)n1-c1ccc(Cl)cc1
ZINC38107806	O=S(=O)([N-]c1ccccc1-c1cccs1)c1cnc(Cl)s1
ZINC38571184	CC1=C(c2ccccc2)C(/N=C2/C=C([O-])CC(c3ccc(C)cc3)C2)N=N1
ZINC40432270	N#Cc1ccc([N-]S(=O)(=O)c2cccc(Br)c2)c(Br)c1
ZINC41065728	Cc1ccc(F)c([N-]S(=O)(=O)c2cc(Br)cnc2Cl)c1
ZINC42260159	N#Cc1ccc([N-]S(=O)(=O)c2ccc(Br)s2)cc1Cl
ZINC48440722	CC(C)c1ccc([N-]S(=O)(=O)c2sccc2Br)cc1
ZINC48442098	COc1ccc(Br)cc1[N-]S(=O)(=O)c1ccc(Cl)s1
ZINC48552800	O=S(=O)([N-]c1ccc(I)cc1)c1c(F)cc(F)cc1F
ZINC48606403	[O-]c1nc(-c2ccccn2)nc2c(Br)cc(Br)cc12
ZINC49184508	[S-]c1nnc(-c2ccccn2)n1-c1ccc(Br)cc1Br
ZINC49569683	CC(c1cccc(Br)c1)n1c([O-])c2sccc2nc1=S
ZINC03883296	O=C(c1cc(Br)c(Br)[n-]1)C(Cl)(Cl)Cl
ZINC57548031	Cc1sc2nc(/C(C#N)=C\c3cc(Br)cs3)nc([O-])c2c1C
ZINC59135731	O=C1/C(=C/c2ccc(Cl)c(Cl)c2)C([O-])=NC(=S)N1c1ccccc1F
ZINC59768470	Cc1ccc([N-]S(=O)(=O)c2ccc(C#N)c(Cl)c2)c(Br)c1
ZINC02448388	Cc1ccc([N-]C2=NC(=O)/C(=C/c3cn(C)c4ccccc34)S2)cc1C
ZINC02448388	Cc1ccc(/N=C2/NC(=O)/C(=C/c3cn(C)c4ccccc34)S2)cc1C
ZINC60291565	O=S(=O)([N-]c1ccc2scnc2c1)c1ccccc1C(F)(F)F
ZINC60347515	O=S(=O)([N-]c1cc(-n2cccc2)ccc1F)c1ccc(F)c(Cl)c1
ZINC51637884	N#Cc1cc([N-]S(=O)(=O)c2ccc(Br)cc2Cl)ccc1F
ZINC61095169	O=S(=O)([N-]c1cc(F)c(F)cc1F)c1ccc(Br)s1
ZINC61122707	O=S(=O)([N-]c1cc(F)cc(F)c1F)c1ccc(Br)s1
ZINC61122712	Cc1ccc(S(=O)(=O)[N-]c2cc(F)c(F)c(F)c2)c(Br)c1
ZINC61122718	O=S(=O)([N-]c1cc(F)c(F)c(F)c1)c1ccc(Br)s1
ZINC62194093	O=S(=O)([N-]c1ccc(Br)nc1)c1ccc2c(c1)CCCC2
ZINC06476899	CC(c1ccccc1)n1c([O-])c2cc(Br)ccc2nc1=S
ZINC15828840	[O-]c1c2sc3ncccc3c2nc(=S)n1Cc1ccc(Cl)cc1
ZINC33324051	O=C1N=C([N-]c2ccccc2)S/C1=C/c1ccc(Br)cc1
ZINC66247029	O=S(=O)([N-]c1nc2c(F)c(F)c(F)cc2s1)c1c(F)cc(F)cc1F
ZINC66583901	O=S(=O)(/C=C/c1cccc(Br)c1)[N-]c1cccc(F)c1F
ZINC05227155	CC(=O)OCC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)[O-])CCC12
ZINC05227161	CC(=O)OCC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)[O-])CCC12
ZINC11616478	CC(CCC(=O)[O-])C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C
ZINC00842254	Cc1ccc(S(=O)(=O)C2=C([O-])C(=O)N(c3ccccc3)C2c2ccccc2)cc1
ZINC26527953	CS(=O)(=O)c1ccc(Cl)c(S(=O)(=O)[N-]c2cc(Cl)cc(Cl)c2)c1
ZINC26528562	CS(=O)(=O)c1ccc(Cl)c(S(=O)(=O)[N-]c2ccc(F)c(F)c2F)c1
ZINC26528938	CS(=O)(=O)c1ccc(Cl)c(S(=O)(=O)[N-]c2ccc(Cl)cc2F)c1
ZINC27790339	CCN1C(=O)C(CC(=O)[O-])S/C1=N\c1ccc(I)cc1
ZINC30851842	O=C(c1ccc([N-]S(=O)(=O)c2ccccc2)c(Cl)c1)N1CCc2ccccc2C1
ZINC31776382	CN(C)C(=O)c1ccc(Cl)c([N-]S(=O)(=O)c2ccc(F)c(Cl)c2)c1
ZINC13286167	CN1/C(=C\C=C2/SC(=S)N(CCC(=O)[O-])C2=O)C(C)(C)c2ccccc21
ZINC33811290	O=C([O-])CC1c2ccccc2CCN1S(=O)(=O)c1ccc(Cl)s1
ZINC33811291	O=C([O-])CC1c2ccccc2CCN1S(=O)(=O)c1ccc(Cl)s1
ZINC37373607	O=C([O-])C1CC2CCCCC2N1S(=O)(=O)c1ccc(Br)s1
ZINC37414469	O=C([O-])C1CC2CCCCC2N1C(=O)c1cc(Br)c(Br)s1
ZINC36187880	CC(=O)N1CCc2ccc(S(=O)(=O)[N-]c3ccc(Cl)c(Cl)c3)cc2C1
ZINC38104670	CC([N-]S(=O)(=O)c1cnc(Cl)nc1)c1ccccc1Br
ZINC38107753	N#Cc1ccc([N-]S(=O)(=O)c2cnc(Cl)s2)c(Br)c1
ZINC39217281	O=S(=O)([N-]C1=CC=CC2N=CN=C12)c1ccc(Br)cc1F
ZINC40438613	CCn1cc([N-]S(=O)(=O)c2cc(Br)ccc2Br)ccc1=O
ZINC40447261	Cc1nccc(C[N-]S(=O)(=O)c2cc(Br)ccc2Br)n1
ZINC42161761	O=C([O-])CC1CCCN1S(=O)(=O)c1cc(Br)sc1Br
ZINC43710731	CC(CCC(=O)[O-])C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C
ZINC44244234	COc1cc(Br)cc(C)c1[N-]S(=O)(=O)c1cncc(Br)c1
ZINC48440655	O=S(=O)([N-]c1ccc2c(c1)OCCO2)c1sccc1Br
ZINC48440875	Cc1ccc(S(C)(=O)=O)cc1[N-]S(=O)(=O)c1sccc1Br
ZINC48547306	CC1(C)OC2CC3C4CCC(=O)C(C)(CCC(=O)[O-])C4=CCC3(C)CC2O1
ZINC48869417	O=S(=O)(/N=C(\[O-])c1ccc(Cl)c(I)c1)N1CCCC1
ZINC50288503	Cc1nc(=O)n(-c2ccc(I)cc2)c(C)c1C(C)C(=O)[O-]
ZINC40475380	O=C1C2Sc3nc([S-])sc3C(c3cccnc3)C2C(=O)N1c1ccccc1
ZINC05023047	COC1(OC)C2(Cl)C(Cl)=C(Cl)C1(Cl)C1CC3C([O-])=NC(=O)C3CC12
ZINC55549105	Cc1ccc(S(C)(=O)=O)cc1S(=O)(=O)[N-]c1cc(Cl)cc(Cl)c1
ZINC55648681	Cc1c([N-]S(=O)(=O)c2ccc(Cl)s2)cccc1N1CCCC1=O
ZINC55759587	Cc1csc(N2CCCN(C(=O)Cc3sc([S-])nc3C)CC2)n1
ZINC25369191	CN(C)C(=O)c1cccc([N-]S(=O)(=O)c2ccccc2Br)c1
ZINC28240383	Cc1ccc(S(=O)(=O)[N-]c2cccc(N3CCCC3=O)c2)c(Br)c1
ZINC26529899	Cc1ccc(Cl)cc1[N-]S(=O)(=O)c1cc(S(C)(=O)=O)ccc1Cl
ZINC02276918	CCOc1ccc(/C=C2/C(=O)N(c3ccc(F)cc3)C(=S)N=C2[O-])cc1
ZINC59182267	CCN1C(=O)/C(=C/c2cc(C)n(-c3ccc(Br)cc3)c2C)C([O-])=NC1=S
ZINC59678284	[O-]C1=NC(=S)S/C1=C/c1cc(Br)c(N2CCOCC2)o1
ZINC60554537	CS(=O)(=O)c1cc(S(=O)(=O)[N-]c2ccc(F)cc2Cl)ccc1F
ZINC03632907	COc1ccccc1-n1c([O-])c2sc(=S)n(Cc3ccccc3)c2nc1=S
ZINC64557835	O=C1C([O-])=C(S(=O)(=O)c2ccccc2)C(c2ccccc2)N1c1ccccc1
ZINC64883874	C#CCN(Cc1ccc(C)cc1)C(=O)c1ccc2c([O-])n(C)c(=S)nc2c1
ZINC65042221	CCc1ncc(/C([O-])=N/S(=O)(=O)c2cc(Cl)sc2Cl)s1
ZINC65196093	CC(=O)N1CCc2sc(S(=O)(=O)[N-]c3ccc(Cl)cc3)cc2C1
ZINC65196127	CC(=O)N1CCc2sc(S(=O)(=O)[N-]c3ccc(Cl)cc3F)cc2C1
ZINC14257264	CC(=O)N(C)c1ccc([N-]S(=O)(=O)c2ccc(Br)s2)cc1
ZINC66253990	Cn1cccc1-c1csc([N-]S(=O)(=O)C2=Cc3ccccc3CC2)n1
ZINC66255146	O=C1CCCc2nc([N-]S(=O)(=O)c3ccccc3Br)sc21
ZINC13256506	CC1CCc2c(sc3ncnc(SCC(=O)N4CCCC(C(=O)[O-])C4)c23)C1
ZINC13256507	CC1CCc2c(sc3ncnc(SCC(=O)N4CCCC(C(=O)[O-])C4)c23)C1
ZINC13350374	Cc1cc(/C=C2\SC(=S)N(CC(=O)[O-])C2=O)c(C)n1-c1cc(Cl)cc(Cl)c1
ZINC13449454	O=C([O-])c1ccc2c(c1)CCN2C(=O)/C=C/c1cc(Cl)c2c(c1)OCCO2
ZINC01245910	COc1ccc(/C=N/n2c([S-])nnc2-c2ccncc2)cc1Br
ZINC20480021	Cc1cccc(N2C(=O)N=C([O-])/C(=C/c3cc4c5c(c3)CCCN5CCC4)C2=O)c1
ZINC22959694	O=S(=O)([N-]c1cccc(-c2nnc3n2CCC3)c1)c1ccc(Cl)c(Cl)c1
ZINC14257095	O=[N+]([O-])c1cc([N-]S(=O)(=O)c2ccc(Br)s2)ccc1Cl
ZINC03298476	O=[N+]([O-])c1ccc(S(=O)(=O)[N-]c2c(F)cc(F)cc2Br)cc1
ZINC26330340	Cc1ccc(/N=c2\c([O-])c(-c3c(C)n(C)n(-c4ccccc4)c3=O)c2=O)cc1C
ZINC26542372	CS(=O)(=O)c1ccc(F)c([N-]S(=O)(=O)c2ccc(Br)cc2Cl)c1
ZINC13009424	O=[N+]([O-])c1cc([N-]S(=O)(=O)c2ccc(Br)s2)c(F)cc1F
ZINC09124467	Cc1ccc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C([O-])C(=O)N2c2nccs2)cc1
ZINC09243342	CC1Cc2cc(C(=O)C3=C([O-])C(=O)N(c4nccs4)C3c3ccccc3)ccc2O1
ZINC03313830	CC1CN(C(=O)c2cccc(S(=O)(=O)[N-]c3ccc(Cl)cc3)c2)CC(C)O1
ZINC38718384	O=S(=O)([N-]c1cccc(-c2cn3ccsc3n2)c1)c1cccc2cccnc12
ZINC39408770	O=C1N=C(SCc2nnc([S-])n2-c2ccccc2)N=C2SC3CCCCC3=C12
ZINC39556442	CCN1C(=O)/C(=C/c2cn(CC(=O)N3CCCCC3C)c3ccccc23)N=C1[S-]
ZINC39691574	Cc1c(C(=O)[O-])sc2c1=C(CSc1ncnc3sc4c(c13)CCC4)CC(=O)N=2
ZINC39691577	Cc1sc2ncnc(SCC3=c4c(C)c(C(=O)[O-])sc4=NC(=O)C3)c2c1C
ZINC40135012	Cc1cc(Br)cc(Cl)c1[N-]S(=O)(=O)c1ccc(N2CCCC2=O)cc1
ZINC40385711	CC1CCN(c2nc([O-])c3c(=S)n(-c4ccc(Cl)cc4)cnc3n2)CC1
ZINC40385733	[O-]c1nc(N2CCc3ccccc3C2)nc2ncn(-c3ccccc3)c(=S)c12
ZINC40693136	O=[N+]([O-])c1cc(Br)ccc1[N-]S(=O)(=O)c1ccccc1Br
ZINC41069681	O=S(=O)([N-]c1cc(Br)ccc1F)c1cc(Br)cnc1Cl
ZINC42256085	O=[N+]([O-])c1cc(Cl)ccc1[N-]S(=O)(=O)c1ccc(Br)s1
ZINC42266991	O=[N+]([O-])c1ccc(Cl)cc1[N-]S(=O)(=O)c1ccc(Br)s1
ZINC42622948	CN1C(=O)c2ccc(S(=O)(=O)[N-]c3ccc(Cl)cc3Cl)cc2C1=O
ZINC46053908	CC(=O)c1cccc([N-]S(=O)(=O)c2ccc3c(c2)C(=C(C)C)C(=O)N3C)c1
ZINC48045896	O=[N+]([O-])c1ccc(F)c(S(=O)(=O)[N-]c2ccccc2I)c1
ZINC55571967	O=S(=O)([N-]c1cc(Cl)ccc1-n1cncn1)c1cccc(Cl)c1F
ZINC45774303	Cc1nnc(-c2ccccc2[N-]S(=O)(=O)c2ccc(Br)s2)o1
ZINC59087085	CN1C(=O)/C(=C/c2cn(Cc3ccc(Br)cc3)c3ccccc23)C([O-])=NC1=S
ZINC59138126	Cc1ccc(N2C(=O)/C(=C/c3ccc(N4CCCCC4)o3)C([O-])=NC2=S)c(C)c1
ZINC59152762	CN1C(=O)/C(=N/[N-]S(=O)(=O)Cc2ccccc2)c2cc(Br)ccc21
ZINC59860293	CC(C)Oc1ccccc1/C=C1\C(=O)N(c2cccc(Cl)c2)C(=O)N=C1[O-]
ZINC00656349	CCOc1ccc(N2C(=O)/C(=C/c3c(C)n(C)c4ccccc34)C([O-])=NC2=S)cc1
ZINC60514889	CN(C(=O)c1ccc2c([O-])n(Cc3ccco3)c(=S)nc2c1)C1CCCCC1
ZINC62873159	CC1(C(=O)[O-])CCCN(S(=O)(=O)c2cc(Br)sc2Br)C1
ZINC39729831	CCOc1ccc(C2C3=C([O-])CC(C)(C)CC3=NC3=NC(SC)=NC(=O)C32)cc1
ZINC39765670	Cc1ccc(C2C3=C([O-])CC(C)(C)CC3=NC3=NC(SC(C)C)=NC(=O)C32)o1
ZINC39765674	Cc1ccc(C2C3=C([O-])CC(C)(C)CC3=NC3=NC(SC(C)C)=NC(=O)C32)o1
ZINC39765676	Cc1ccc(C2C3=C([O-])CC(C)(C)CC3=NC3=NC(SC(C)C)=NC(=O)C32)o1
ZINC17198091	CCN1CCc2cc(/C=C3/C(=O)N=C([O-])N(c4ccc(Br)cc4)C3=O)ccc21
ZINC17198091	CCN1CCc2cc(/C=C3\C(=O)N(c4ccc(Br)cc4)C(=O)N=C3[O-])ccc21
ZINC09087845	Cc1ccc(N2C(=O)N=C([O-])C3(Cc4c(ccc5ccccc45)N(C)C3)C2=O)cc1
ZINC09087845	Cc1ccc(N2C(=O)C3(Cc4c(ccc5ccccc45)N(C)C3)C(=O)N=C2[O-])cc1
ZINC08974388	Cc1ccc(N2C(=O)C3(Cc4c(ccc5ccccc45)N(C)C3)C(=O)N=C2[O-])c(C)c1
ZINC08974388	Cc1ccc(N2C(=O)N=C([O-])C3(Cc4c(ccc5ccccc45)N(C)C3)C2=O)c(C)c1
ZINC08994668	O=C1N=C([O-])N(c2ccccc2)C(=O)/C1=C\c1cn(Cc2ccccc2)c2ccccc12
ZINC08994668	O=C1N=C([O-])/C(=C/c2cn(Cc3ccccc3)c3ccccc23)C(=O)N1c1ccccc1
ZINC65284027	O=S(=O)([N-]c1cccn2nc(C3CCC3)nc12)c1cccc(Br)c1
ZINC66447173	O=C(Cn1c([S-])nnc1-c1ccc(Cl)cc1)N1CCOC2CCCCC21
ZINC66579008	O=S(=O)([N-]c1ccc(F)c(-c2nnc3n2CCCCC3)c1)C1CCCCC1
ZINC04024651	CC(C(=O)[O-])C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
ZINC04223037	O=C([O-])c1ccc(Cl)c2c1C1C=CCC1C(c1cccc(F)c1)N2
ZINC05447872	O=C([O-])c1cc(Cl)c2c(c1)C1C=CCC1C(c1ccc(Cl)cc1)N2
ZINC06045478	O=C([O-])c1ccc2c(c1)C1C3CCC(C3)C1C(c1ccccc1Cl)N2
ZINC07587332	Cc1ccc(NC2=NC(=O)/C(=C\c3ccc(C(=O)[O-])cc3)S2)c(C)c1
ZINC06619349	O=C([O-])c1ccc(/C=C/c2nc3sc4c(c3c(=O)[nH]2)CCCC4)cc1
ZINC08377879	O=C([O-])c1cc(Cl)c2c(c1)C1C=CCC1C(c1cccc(Br)c1)N2
ZINC08377898	O=C([O-])c1cc(Cl)c2c(c1)C1C=CCC1C(c1cccc(Br)c1)N2
ZINC08378158	O=C([O-])c1cc(Cl)c2c(c1)C1C=CCC1C(c1cccc(Cl)c1)N2
ZINC12340244	CC1(C(=O)[O-])CCC2C(CCC3CC=CCC32C)C1/C=C1\Nc2ccccc2C1=O
ZINC13305430	Cc1ccc(C(=O)[O-])cc1S(=O)(=O)NC12CC3CC(CC(C3)C1)C2
ZINC19320837	CC/C(=N\Nc1ccc(Cl)nn1)c1cc(Cl)cc(Cl)c1[O-]
ZINC09331872	O=C1CCCC2=C1C(c1cccc3ccccc13)c1c(nn(-c3ccccc3)c1[O-])N2
ZINC13571244	Oc1ccc(Cl)cc1-c1nnc([S-])n1-c1cccc2ncccc12
ZINC06062599	[S-]c1nnc(-c2ccc(Cl)cc2)n1/N=C/c1c[nH]c2ccccc12
ZINC26538220	Cc1ccc(-c2nnc([S-])n2CC(=O)NC2CCCCCCC2)cc1
ZINC28380068	Oc1ccc2ccccc2c1/C=N/n1c([S-])nnc1-c1cccs1
ZINC32121216	COc1ccc(C2Nc3c(Cl)cc(C(=O)[O-])cc3C3C=CCC32)cc1
ZINC05927478	[S-]c1nnc(-c2ccncc2)n1-c1ccc(Nc2ccccc2)cc1
ZINC32601909	O=S(=O)([N-]c1cccc(O)c1)c1cc(Cl)c(Cl)cc1Cl
ZINC15015486	O=C1N/C(=N/c2ccc(Br)cc2)S/C1=C\c1cc(Cl)ccc1O
ZINC15015486	O=C1N=C([N-]c2ccc(Br)cc2)S/C1=C\c1cc(Cl)ccc1O
ZINC33657741	Cc1cccc(N2C([S-])=C(C#N)C(=O)NC23CCCC(c2ccc(C)o2)C3)c1
ZINC33764778	CCCCc1ccc(N2C([S-])=C(C#N)C(=O)NC23C=CCCC3)cc1
ZINC33764779	CCCCc1ccc(N2C([S-])=C(C#N)C(=O)NC23C=CCCC3)cc1
ZINC00354860	Cc1ccc(-c2nc3cc(N/C=C4\C=CC(=O)C=C4[O-])ccc3o2)cc1
ZINC04475173	CC(C)(C)c1ccc(-c2nnc([S-])n2N/C=C2\C=CC=CC2=O)cc1
ZINC34776561	O=C([O-])c1ccc(C2Nc3ccc(Cl)cc3C3C4CCC(C4)C23)cc1
ZINC36306703	Cc1nc(Nc2cc(Cl)c(Cl)cc2Cl)sc1CC(=O)[O-]
ZINC35455416	COc1c(C(C)C)cc2c(c1O)C1(C(=O)[O-])CCCC(C)(C)C1CC2
ZINC08684059	COc1ccc(-c2nc([S-])c3c(n2)Oc2ccc(C)cc2C3)cc1O
ZINC39887082	CCC1CCC2(CC1)NC(=O)C(C#N)=C([S-])N2c1cc(C)ccc1C
ZINC40116896	Cc1ccc(C(=O)C2=C([O-])C(=O)NC2c2ccc(C(C)(C)C)cc2)cc1
ZINC40116898	Cc1ccc(C(=O)C2=C([O-])C(=O)NC2c2ccc(C(C)(C)C)cc2)cc1
ZINC40125396	Cc1ccc(C(=O)C2=C([O-])C(=O)NC2c2ccc(C(C)C)cc2)cc1F
ZINC40144082	N#CC1=C([S-])N(c2cccc3ccccc23)C2(C=CCCC2)NC1=O
ZINC40144131	Cc1ccc(N2C([S-])=C(C#N)C(=O)NC23CCCC(c2ccc(C)o2)C3)c(C)c1
ZINC41790291	O=C([O-])C1(Nc2ccccc2I)CCSc2ccccc21
ZINC43740637	CC12CCC3C(CCC4Cc5nc([O-])c(C#N)c(C#N)c5CC43C)C1CCC2O
ZINC47383617	Cc1ccc([N-]S(=O)(=O)c2ccccc2C(F)(F)F)c(C)c1O
ZINC16666323	COc1cc(/C=C2/SC([N-]c3cccc(C)c3C)=NC2=O)ccc1O
ZINC16525266	O=C(CC12CC3CC(CC(C3)C1)C2)Nc1c([O-])c2ccccc2oc1=O
ZINC12436953	O=C1N/C(=N/c2ccc(Cl)cc2)S/C1=C1\C(=O)Nc2ccccc21
ZINC12436953	O=C1N=C([N-]c2ccc(Cl)cc2)S/C1=C1\C(=O)Nc2ccccc21
ZINC37613807	O=C([O-])c1ccc(Cl)c2c1C1C=CCC1C(c1cccc(Br)c1)N2
ZINC18009687	CCc1c([O-])c(/C(C)=N/O)c(=O)n(-c2ccccc2)c1-c1ccccc1
ZINC62191639	CCc1ccc(S(=O)(=O)/N=c2\ccc3cc(C)c([O-])[nH]c-3c2)s1
ZINC06748433	[O-]c1nc(-c2cccc(O)c2)nc2c1Cc1cc(Br)ccc1O2
ZINC63579591	CCc1cc2c(s1)=N/C(=C1/C=CC(c3cccs3)=NC1=O)NC=2[O-]
ZINC63579825	O=c1[nH]c(-c2cccs2)ccc1-c1nc([O-])c2c3c(sc2n1)CSCC3
ZINC18155937	CC1(C)CC(=O)C2=C(C1)NC1=C(C(=O)c3ccccc31)C2c1cccc(O)c1
ZINC01857467	O=C1N/C(=N/c2ccccc2Cl)S/C1=C/c1c[nH]c2ccccc12
ZINC01857467	O=C1N=C([N-]c2ccccc2Cl)S/C1=C/c1c[nH]c2ccccc12
ZINC04692002	O=[N+]([O-])c1c(I)cc([O-])cc1I
ZINC00849889	O=C1C2C3c4ccccc4C(C(=O)[O-])(c4ccccc43)C2C(=O)N1c1ccccc1
ZINC13225806	CCCc1cc(C(=O)N2C(C(=O)[O-])CC3CCCCC32)sc1C
ZINC13434047	CC1CCc2sc(C(=O)N3CC(C(=O)[O-])Oc4ccccc43)cc2C1
ZINC20799481	[O-]c1c2cnn(-c3ccccc3)c2nc(=S)n1-c1ccc(Cl)cc1
ZINC22184949	Cc1ccc(/C=C2/C(=O)N(c3ccc(Cl)c(Cl)c3)C(=S)N=C2[O-])o1
ZINC25585969	CCn1c([O-])c2ccc(C(=O)N3c4ccccc4CC3C)cc2nc1=S
ZINC29967138	N#CCc1ccc([N-]S(=O)(=O)c2ccccc2Br)cc1
ZINC03597694	O=C1c2cc(I)ccc2-n2c1nc1c([O-])cccc1c2=O
ZINC05974726	[O-]C1=NC(=S)S/C1=C/c1c(-c2ccccc2)nc2sccn12
ZINC06414270	O=S1(=O)[N-]/C(=N\c2ccc(F)cc2F)Sc2ccc(F)cc21
ZINC02536816	CCOc1ccc(Br)cc1/C=C1/SC(=S)N=C1[O-]
ZINC03957064	O=c1cc([O-])oc2c3c(n(-c4ccccc4)c(=O)c12)-c1ccccc1CC3
ZINC33380942	O=C([O-])/C=C\c1cccn1-c1ccc(I)cc1
