ZINC01406388	O=[N+]([O-])c1ccc(Sc2ccc(Br)cc2)c(Br)c1
ZINC20883142	COc1ccc(OC)c(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(OC(C)C)cc2)C3)c1
ZINC21230061	O=C1CC(c2ccccc2Cl)CC2=C1C(c1ccc(Cl)c([N+](=O)[O-])c1)Nc1ccccc1N2
ZINC21233233	CC(C)Oc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccc(N3CCOCC3)cc2)cc1
ZINC21239671	COc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2c(F)cccc2Cl)cc1OC
ZINC21250725	COc1cc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(F)cc2)C3)cc(Br)c1OC
ZINC21253991	COc1cc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccc(SC)cc2)ccc1OC(C)C
ZINC21258942	O=C1CC(c2ccccc2Cl)CC2=C1C(c1coc3ccc(Cl)cc3c1=O)Nc1ccccc1N2
ZINC32961354	CC(=O)Nc1nc2c(C)cc(NC(=O)c3cc(-c4ccc(C)c(C)c4)nc4ccccc34)cc2s1
ZINC35729568	CC1=C(C(=O)OC(C)C)C(c2ccc(NC(=O)C34CC5CC(CC(C5)C3)C4)cc2)NC(=S)N1C
ZINC36040324	COc1cc(/C=N\NC(=O)C2CC2c2ccc(C(C)(C)C)cc2)cc(I)c1O
ZINC14543948	COc1ccc2ccccc2c1C1Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2C2C=CCC21
ZINC36559288	O=S(=O)(NCC1CCCO1)c1ccc2c(c1)C1C=CCC1C(c1c3ccccc3cc3ccccc13)N2
ZINC13387893	CC(NC(=O)C1=C(Cl)C2=NC(c3ccc(Cl)cc3)CC(C(F)(F)F)N2N1)c1ccccc1
ZINC38680186	N#CC1=C(N)Oc2cc(OC(=O)c3ccccc3Br)ccc2C1c1c(F)cccc1Cl
ZINC38682227	CSc1ccc(C2C(C#N)=C(N)Oc3cc(OC(=O)/C=C/c4ccc(Cl)cc4Cl)ccc32)cc1
ZINC38700755	CSc1ccc(C2C(C#N)=C(N)Oc3cc(OC(=O)c4oc5ccc(C)cc5c4C)ccc32)cc1
ZINC40476229	Cc1ccsc1C1C2=C(CC(C)(C)CC2=O)Nc2nc(SCc3ccc(F)cc3)[nH]c(=O)c21
ZINC40530272	Cc1c(C(=O)Oc2ccc3c(c2)OC(N)=C(C#N)C3c2ccc(C(C)(C)C)cc2)oc2ccc(F)cc12
ZINC40530301	COc1ccccc1C1C(C#N)=C(N)Oc2cc(OC(=O)c3sc4ccccc4c3Cl)ccc21
ZINC12429162	O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(Cl)cc1)N2
ZINC20718381	COc1ccc2ccccc2c1C1Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2C2C=CCC21
ZINC22747048	O=C1CCCC2=C1C(c1c(O)ccc3ccccc13)n1nc(SCc3ccccc3Cl)nc1N2
ZINC00647428	Cc1c(Cl)cccc1NC(=O)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(Br)cc1)N2
ZINC58847423	CCOc1ccc(C2Nc3ccc(S(=O)(=O)Nc4cccc(Cl)c4)cc3C3C=CCC32)cc1
ZINC58847682	O=S(=O)(Nc1cccc(Cl)c1Cl)c1ccc2c(c1)C1C=CCC1C(c1ccc3c(c1)OCO3)N2
ZINC58848026	COc1cccc(C2Nc3ccc(S(=O)(=O)Nc4ccc(Cl)cc4C)cc3C3C=CCC32)c1
ZINC58848224	COc1ccc(C2Nc3ccc(S(=O)(=O)Nc4ccc(C)c(Cl)c4)cc3C3C=CCC32)cc1
ZINC58850067	COc1ccccc1C1Nc2ccc(S(=O)(=O)Nc3cccc4ccccc34)cc2C2C=CCC21
ZINC03011769	Cc1ccc(C2CC(C(F)(F)F)n3nc(C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)cc3N2)cc1
ZINC03011765	Cc1ccc(C2CC(C(F)(F)F)n3nc(C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)cc3N2)cc1
ZINC03011901	O=C(Nc1ccc(Cl)c(Cl)c1)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(Cl)cc1)N2
ZINC03336517	O=S(=O)(c1ccc(S(=O)(=O)N2CCN(c3cccc[nH+]3)CC2)cc1)N1CCOCC1
ZINC08814551	CN1C(=O)N(C)C(=O)C2(Cc3cc([N+](=O)[O-])ccc3N3CCN(c4cccc[nH+]4)CC32)C1=O
ZINC09119655	Cc1cc2nnc(Sc3ccc(S(=O)(=O)N4CC[NH+](C)CC4)cc3[N+](=O)[O-])n2c2ccccc12
ZINC09119278	CC[NH+]1CCN(c2cc3c(cc2F)c(=O)c(S(=O)(=O)c2ccc(OC)cc2)cn3C)CC1
ZINC09518965	COc1ccc(N2CC(C)Cn3c2nc2c3c(=O)n(CC[NH+]3CCCCC3)c(=O)n2C)cc1
ZINC09741062	O=C1CC2(CCCC2)C(=O)N1C[NH+]1CCN(S(=O)(=O)c2ccc3c(c2)OCCCO3)CC1
ZINC09742939	O=C1C(=O)N(C2CCCC2)C(=O)N1C[NH+]1CCCN(S(=O)(=O)c2ccc(F)cc2)CC1
ZINC10047887	CC1=NN(Cc2cc(C)ccc2C)c2nc3c(c(=O)n(CC[NH+]4CCCCC4)c(=O)n3C)n2C1
ZINC10106962	Cc1cccc(-n2c(C)cn3c4c(=O)n(CCC[NH+]5CCCC(C)C5)c(=O)n(C)c4nc23)c1C
ZINC10106964	Cc1cccc(-n2c(C)cn3c4c(=O)n(CCC[NH+]5CCCC(C)C5)c(=O)n(C)c4nc23)c1C
ZINC10107238	Cc1ccc(-n2c(C)cn3c4c(=O)n(CCC[NH+]5CCCC(C)C5)c(=O)n(C)c4nc23)c(C)c1
ZINC10108029	Cc1ccc(-n2c(C)cn3c4c(=O)n(CC(C)C[NH+]5CCCC5)c(=O)n(C)c4nc23)cc1Cl
ZINC10109008	CC1CCCC(C)[NH+]1CCN1N=C(c2ccccc2)Cn2c1nc1c2c(=O)n(C)c(=O)n1C
ZINC10109011	CCC1CCCC[NH+]1CCN1N=C(c2ccccc2)Cn2c1nc1c2c(=O)n(C)c(=O)n1C
ZINC10271886	Cc1ccc(C)c(-n2c(C)c(C)n3c4c(=O)n(CC[NH+]5CCOCC5)c(=O)n(C)c4nc23)c1
ZINC11830424	O=S(=O)(c1ccc2c(c1)OCCO2)N1CC[NH+](Cc2nnnn2-c2ccc(F)cc2)CC1
ZINC11868515	Cc1csc(-c2cc3ccc(O)c(C[NH+]4CC5CC(C4)c4cccc(=O)n4C5)c3oc2=O)n1
ZINC12358986	O=[N+]([O-])c1ccc(-n2nc(-c3ccccc3)n[n+]2-c2ccc(I)cc2)cc1
ZINC12660050	CN1C(=O)N(C)C(=O)C(Cc2cn(C)c3ccccc23)(C[NH+]2CC3CC(C2)c2cccc(=O)n2C3)C1=O
ZINC09805222	CC(C(=O)N1CCCc2c1c(=O)oc1ccc(O)cc21)[NH+]1CCN(c2ccccc2F)CC1
ZINC15070789	CCOc1ccc2nc(N3CCCC([NH+]4CCN(c5nonc5C)CC4)CC3)nc(C)c2c1
ZINC16037627	O=C(c1cccc([N+](=O)[O-])c1)C1C2C(=O)N(c3cccc([N+](=O)[O-])c3)C(=O)C2C2c3ccccc3C=C[NH+]12
ZINC16571014	Cc1cccc(N2C(=O)C(c3c(C)nn(-c4ccc(F)cc4)c3O)=C([n+]3cccc(C)c3)C2=O)c1
ZINC16571226	CCc1cc[n+](C2=C(c3c(C)nn(-c4ccc(F)cc4)c3O)C(=O)N(c3ccc(F)cc3)C2=O)cc1
ZINC21884030	Cn1c(=O)c(-c2noc(C(=O)N3CCC([NH+]4CCCCC4)CC3)n2)nn(-c2ccc(F)cc2)c1=O
ZINC22816800	Cc1cccc(-n2c(C)c(C)n3c4c(=O)n(CC(C)C[NH+]5CCN(C)CC5)c(=O)n(C)c4nc23)c1
ZINC22821019	Cc1ccc(-n2c(C)cn3c4c(=O)n(CC(C)C[NH+]5CCN(C)CC5)c(=O)n(C)c4nc23)cc1C
ZINC22821026	Cc1ccc(-n2c(C)cn3c4c(=O)n(CC(C)C[NH+]5CCN(C)CC5)c(=O)n(C)c4nc23)cc1C
ZINC22821074	Cc1cc(C)cc(-n2c(C)c(C)n3c4c(=O)n(CCCN5CC[NH+](C)CC5)c(=O)n(C)c4nc23)c1
ZINC23194893	CC1CN(S(=O)(=O)N2CC[NH+](Cn3nnn(-c4ccc(Cl)cc4)c3=S)CC2)CC(C)O1
ZINC32888436	CC(C(=O)N(C)C1CCS(=O)(=O)C1)[NH+]1CCC(C(=O)c2ccc3c(c2)OCCO3)CC1
ZINC32888439	CC(C(=O)N(C)C1CCS(=O)(=O)C1)[NH+]1CCC(C(=O)c2ccc3c(c2)OCCO3)CC1
ZINC34707975	CC1CN(c2nc3ccccc3c3nnc(-c4ccco4)n23)CC[NH+]1Cc1cccc([N+](=O)[O-])c1
ZINC34734578	CC[NH+]1CCN(c2nc3sc4c(c3c(=O)n2CC(=O)N2CCOCC2)CC(C)(C)OC4)CC1
ZINC34747544	CN(C)C(=O)Cn1c(N2CC[NH+](CC(=O)N3CCCC3)CC2)nc2sc3c(c2c1=O)CCCC3
ZINC34814159	COc1ccc2c(c1)Oc1cc(C)ccc1N/C2=[N+]1/CCCN(C(=O)Nc2ccc(F)cc2)CC1
ZINC35683329	Cc1ccccc1NC(=O)c1cn2c3c(c(N4CC[NH+](C)CC4)c(F)cc3c1=O)OCC2C
ZINC35920624	Cc1ccc(Oc2nc(N3CC[NH+](C)CC3)nc3c2CN(C(=O)c2ccc(C)c([N+](=O)[O-])c2)CC3)cc1
ZINC04355093	COc1ccc2cc(C(c3nnnn3C3CCCCC3)[NH+]3CCCCCC3)c3nnnn3c2c1
ZINC20359882	Cc1cccn2c(=O)c3cc(S(=O)(=O)c4ccc(Br)cc4)c(N)[n+](C4CCCC4)c3nc12
ZINC23478220	Cc1ccc(N2C(=O)CC(N3CCN(C4CC(=O)N(c5ccc(C)cc5)C4=O)CC3)C2=O)cc1
ZINC39469743	O=P1(S(=O)(=O)Oc2ccccc2)N[NH+]2CC3C=C(Cl)C(Cl)=CC3CC2CO1
ZINC39939754	Cc1ccc2c(c1)=C(O)C(/C=N/C1C(=O)N(c3ccccc3)N(c3ccccc3)C1C)C(=O)[NH+]=2
ZINC41078145	O=c1cc(N2CCN(S(=O)(=O)c3ccc([N+](=O)[O-])cc3)CC2)[nH+]c2sc(-c3ccccc3)nn12
ZINC22920399	O=C1CC(N2CCC[NH+](C3CC(=O)N(c4ccc(F)cc4)C3=O)CC2)C(=O)N1c1ccc(F)cc1
ZINC41584745	Cc1ccc(/C=C2\Oc3c(C[NH+]4CC5CC(C4)c4cccc(=O)n4C5)c(O)cc(C)c3C2=O)o1
ZINC63737572	Cn1c(=O)oc2cc(S(=O)(=O)Nc3cccc(C4C=c5cc(Cl)ccc5=[NH+]4)c3)ccc21
ZINC64502993	Cc1ccc(N2NC(N3CCN(C(=O)C4C=c5cc(Cl)ccc5=[NH+]4)CC3)C=CC2=O)cc1
ZINC65362681	Cc1nc(N2CCN(S(=O)(=O)c3ccc4nc(C)sc4c3)CC2)cc(N2CC[NH+](C)CC2)n1
ZINC00694733	CCOC(=O)c1c(NC(=S)NC(=O)c2nn(C)cc2Br)sc2c1CCC(C)C2
ZINC08812035	CCC1CCCCN1S(=O)(=O)c1ccc2[nH]c(=O)cc(C(=O)NCCc3ccc(C)cc3)c2c1
ZINC08897859	Cc1ccc(C(=O)NC(=S)Nc2ccc(N3CCN(C(=O)c4ccco4)CC3)c(Cl)c2)cc1
ZINC09128527	C=CCSc1nnc(NC(=O)C(C)SCc2nc3sc4c(c3c(=O)[nH]2)CCCC4)s1
ZINC09200541	O=C(CSc1nnc(-c2ccc(I)cc2)o1)NNC(=O)c1ccccc1
ZINC09463071	Nn1c(COc2cccc(Br)c2)nnc1SC(C(=O)N1CCCC1)c1ccccc1
ZINC09746277	Cc1cc(C)c(S(=O)(=O)N2CCCCC2CCNC(=O)C(=O)Nc2c(C)cccc2C)c(C)c1
ZINC09748149	Cc1cc(S(=O)(=O)N2CCCCC2CCNC(=O)C(=O)Nc2ccc(Cl)cc2)ccc1F
ZINC10956299	Cc1sc(NC(=O)CNC(=O)c2ccc(Br)o2)nc1-c1ccc(OC(F)F)cc1
ZINC10995219	CC(=O)Nc1ccc(-c2csc(NC(=O)c3csc(COc4ccc(C)cc4)n3)n2)c(F)c1
ZINC11107716	CNS(=O)(=O)c1ccc(Cl)c(C(=O)OCC(=O)Nc2c(Cl)cccc2C(F)(F)F)c1
ZINC11265566	COC(=O)c1cc(Br)ccc1S(=O)(=O)Nc1ccc(NC(C)=O)cc1C(F)(F)F
ZINC11744479	CC(=O)NCc1ccc(-c2csc(NC(=O)CCc3ncc(-c4c(F)cccc4F)o3)n2)s1
ZINC11813032	O=C(NCc1ccccc1F)c1cn(CC2CCCO2)cc(C(=O)NC2CCCCCCC2)c1=O
ZINC12467144	CCOC(=O)C1=C(N)n2c(s/c(=C/c3cccs3)c2=O)=C(C(=O)OCC)C1c1cccs1
ZINC01335699	COc1cc2cc(CN(Cc3cccs3)C(=O)Nc3ccccc3Cl)c(=O)[nH]c2cc1OC
ZINC12759338	CC(C)(C)c1ccc(/C=C2\SC(=O)N(CCNC(=O)CNC(=O)c3ccccc3F)C2=O)cc1
ZINC12763325	Cc1ccc(-c2csc3nc(CSc4nnc(NCC5CCCO5)s4)[nH]c(=O)c23)s1
ZINC12846064	O=C(Nc1cccc(C(F)(F)F)c1)c1cccc(NC(=O)C2CCCN(C(=O)c3ccco3)C2)c1
ZINC01039272	Cn1c(CC2Sc3ccccc3NC2=O)nnc1SCC(=O)Nc1cccc(C(F)(F)F)c1
ZINC13506405	O=C(NCC(=O)N(c1ccccc1F)C(C(=O)NC1CCCCC1)c1ccco1)c1cccs1
ZINC14275913	CCOc1ccc(C(=O)NC(=S)Nc2ccc(I)cc2F)cc1[N+](=O)[O-]
ZINC15023191	COc1ccc(C2C(C(=O)c3ccc(F)cc3)N3c4ccccc4C=CC3C2(C#N)C(N)=O)cc1OC
ZINC15467017	Cc1ccc(SCC(=O)NNC(=O)c2cc(S(=O)(=O)N3CCCCC3)ccc2Cl)cc1
ZINC15765687	COc1cc(NC(=O)CCSCc2nc3sc4c(c3c(=O)[nH]2)CCC4)c(OC)cc1Cl
ZINC02755785	COc1ccc(CCNC(=O)c2cc3n(n2)C(C(F)(F)F)CC(c2cccs2)N3)cc1OC
ZINC17862990	Cc1cc(Br)ccc1NC(=O)CN(C)C(=O)CCn1c(-c2cccs2)n[nH]c1=S
ZINC17158438	O=C(CCCN1C(=O)c2ccc(Br)cc2C1=O)NNC(=O)C12CC3CC(CC(C3)C1)C2
ZINC18276800	O=C(Cn1cnc2scc(-c3ccccc3)c2c1=O)NCC(=O)Nc1ccccc1Br
ZINC09750364	C=CCNC(=O)NC(=O)CSc1nc2scc(-c3cccs3)c2c(=O)n1-c1ccccc1
ZINC21515075	Cc1cc(C(F)(F)F)c(C#N)c(SC(C)C(=O)Nc2ccc(S(=O)(=O)NC(C)C)cc2)n1
ZINC21923125	Cc1ccccc1NS(=O)(=O)c1ccc(C(=O)NCC(c2cccs2)N2CCOCC2)cc1
ZINC22324104	O=C(/C=C/c1ccc(N2CCCC2=O)cc1)Nc1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1
ZINC22707593	Cc1ccc(-n2c(C)cc(C(=O)COC(=O)c3ccc(Cl)c(S(N)(=O)=O)c3)c2C)cc1F
ZINC23119342	Cc1cc(C)c(NC(=O)CNC(=O)C2CCN(S(=O)(=O)c3ccc4c(c3)CCCC4)CC2)c(C)c1
ZINC10735604	CC(C)CC(C(=O)NNC(=O)c1ccc(-c2ccc(F)cc2)s1)N1C(=O)C2CC=CCC2C1=O
ZINC25401519	Cc1noc(C)c1CSc1ncccc1C(=O)NNC(=O)c1ccc(-c2ccc(F)cc2)s1
ZINC32983906	CCOc1ccc(CNC(=O)c2ccc3c(c2)NC(=O)/C(=C/c2ccccc2Cl)O3)cc1OC
ZINC33171057	CC(=O)Nc1c(C)noc1/C=C\c1ccc(S(=O)(=O)NCc2ccc(Br)cc2)cc1
ZINC33254638	CC(=O)Nc1ccc(S(=O)(=O)N2CCC(CC(=O)NC(c3cccs3)C(C)C)CC2)cc1
ZINC36627900	CC(C)N(C)S(=O)(=O)c1ccc(Cl)c(C(=O)NNC(=O)CC23CC4CC(CC(C4)C2)C3)c1
ZINC08967954	Cc1ccc(C(CNS(=O)(=O)c2ccc3c(c2)C(C)C(=O)N3)S(=O)(=O)c2cccs2)cc1
ZINC38935258	Cc1ccc(S(=O)(=O)C(CNC(=O)C(=O)Nc2cc(C)nc3ccccc23)c2cccs2)cc1
ZINC39836285	C=CCOc1ccc(C(=O)Nc2sc3c(c2C(=O)NC2CCS(=O)(=O)C2)CCC(C)C3)cc1
ZINC25589064	CCc1nc(SCC(=O)N(C2CC2)C2CCS(=O)(=O)C2)nc(N)c1-c1ccc(Cl)cc1
ZINC45915115	CC1CCCCN1S(=O)(=O)c1ccc(C(=O)Nc2ccccc2C(=O)NCC(F)(F)F)cc1
ZINC00659032	COc1ccc(C2CC(C(F)(F)F)n3nc(C(=O)NCc4ccco4)c(Br)c3N2)cc1
ZINC00900620	Cc1ccc(C2CC(C(F)F)n3ncc(C(=O)Nc4cnn(Cc5ccc(F)cc5)c4)c3N2)cc1
ZINC36039817	O=C(NC(c1ccccc1)c1ccc2nc[nH]c2c1)C1CCCN(S(=O)(=O)c2ccc(F)cc2)C1
ZINC57681431	CC(C)(C)c1ccc(NC(=O)c2ccc(NC(=O)CC3SC(N4CCCC4)=NC3=O)cc2)cc1
ZINC06060199	N#C/C(=C\Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1nc(-c2ccc(Cl)cc2)cs1
ZINC03654998	O=C(CCS(=O)(=O)c1nc(-c2cccs2)cc(C(F)(F)F)n1)Nc1cc(Cl)ccc1O
ZINC08455997	C/C(=N/NC(=O)CSc1nnc(C(C)Nc2ccc(Br)cc2)n1C)c1ccc(F)cc1
ZINC08704651	O=C(CSc1nnc(Nc2cccc(Br)c2)s1)c1c[nH]c(C(=O)N2CCCC2)c1
ZINC09490701	C=CCN1C(=O)C2C(C(=O)Nc3cccc(SC)c3)C3C=CC2(O3)C1C(=O)NC1CCCC(C)C1C
ZINC09639638	CC(Sc1nnc(-c2ccccc2F)n1C1CC1)C(=O)NCC(=O)Nc1ccc(F)c(F)c1F
ZINC09925580	CCCNS(=O)(=O)c1ccc(NC(=O)c2ccc(OCC3CCCO3)c(Br)c2)cc1
ZINC09925581	CCCNS(=O)(=O)c1ccc(NC(=O)c2ccc(OCC3CCCO3)c(Br)c2)cc1
ZINC09980861	CCOC(=O)C1C(=O)NC(SCC(=O)Nc2ccccc2CC)=C(C#N)C1c1ccccc1Cl
ZINC12050532	CCn1c(SCC(=O)Nc2cccc(C(=O)NC3CC3)c2)nc2sc3c(c2c1=O)CCC(C)C3
ZINC12642745	CC(C)CCN1C(=O)C2C(C(=O)NCc3cccs3)C3(C)C=CC2(O3)C1C(=O)NC1CCCCC1
ZINC12741391	O=C(CCNS(=O)(=O)c1ccccc1Cl)NCc1cn(-c2ccccc2)nc1-c1ccccc1
ZINC12588093	O=C(CSCc1nc2scc(-c3cccs3)c2c(=O)[nH]1)Nc1ccccc1N1CCOCC1
ZINC12878849	COc1cc2c(c(OC)c1OC)-c1ccc(NCC(C)c3ccccc3)c(=O)cc1C(NC(C)=O)CC2
ZINC13506033	Cc1ccc(C(C(=O)NC2CCCC2)N(C(=O)CNC(=O)c2cccs2)c2ccc(C)c(F)c2)o1
ZINC13506106	COc1ccccc1N(C(=O)CNC(=O)c1cccs1)C(C(=O)NC1CCCC1)c1cccs1
ZINC13507394	O=C(NCC(=O)N(c1ccccc1F)C(C(=O)NC1CCCC1)c1ccc(Cl)cc1)c1ccco1
ZINC13751726	CCCCN1C(=O)/C(=C/c2c(NCC(O)c3ccccc3)nc3c(C)cccn3c2=O)SC1=S
ZINC14170160	CC(C)C(NS(=O)(=O)c1cccs1)C(=O)NCc1cn(-c2ccccc2)nc1-c1ccccc1
ZINC14276701	COc1ccc(/C=C/C(=O)NC(=S)Nc2ccc(N3CCN(C(=O)C(C)C)CC3)c(Cl)c2)cc1
ZINC10956480	Cc1sc(NC(=O)CCn2c(-c3cccs3)n[nH]c2=S)nc1-c1ccc(OC(F)F)cc1
ZINC14468146	COc1cc(C2Nc3ccc(S(=O)(=O)NC4CCCCC4)cc3C3C=CCC32)ccc1OC(C)=O
ZINC14657377	CC(=O)c1sc(NC(=O)C(C)SCc2nc3sc(C)c(C)c3c(=O)[nH]2)nc1-c1ccccc1
ZINC14661523	COCCOc1ccc(C(=O)NNC(=O)COc2ccc(Br)c(C)c2)cc1Br
ZINC14668447	CC(C)Oc1ccc(Br)cc1C(=O)NC(=S)Nc1ccc(S(=O)(=O)N(C)C)cc1
ZINC15792917	CCOc1cc(C(=O)NNC(=O)c2ccc(I)cc2)cc(OCC)c1OCC
ZINC01126703	CCOC(=O)COc1c(I)cc(C2NC(=S)NC(C)=C2C(C)=O)cc1OCC
ZINC19955296	COc1cc(C2C(C(=O)OCC3CCCO3)=C(C)NC3=C2C(=O)CC(c2cccs2)C3)ccc1O
ZINC20412638	CC(C)Oc1ccc(C(=O)NC(=S)Nc2cccc(Cl)c2N2CCN(C(=O)C(C)C)CC2)cc1
ZINC21608478	NS(=O)(=O)c1ccc(CCn2c(SCC(=O)c3ccc(F)cc3)nc3ccccc3c2=O)cc1
ZINC21662281	CC(C)NC(=O)C1CCCN1C(=O)c1cccc(NS(=O)(=O)c2ccc(C3CCCCC3)cc2)c1
ZINC22406388	Cc1ccc(C(O)(CCNc2cnn(-c3ccc(C(F)(F)F)cn3)c(=O)c2Cl)C(F)(F)F)o1
ZINC12915315	Cc1ccc(-c2ccsc2C(=O)Nc2ccc(S(=O)(=O)NCCCN3CCOCC3)cc2)cc1
ZINC25499240	COCCNS(=O)(=O)c1ccc(Br)c(C(=O)Nc2ccc(OC(F)(F)F)cc2)c1
ZINC32973326	CCn1nc(C)c(CC[N-]/C(=N\C(=O)c2ccccc2Br)Nc2ccccc2OC)c1C
ZINC33265018	Cc1ccc(CNC(=O)c2cccc(-n3ccnc3SCC(=O)Nc3cc(Cl)ccc3C)c2)o1
ZINC36215375	CC(C)CNC(=O)C1C(c2ccc(NC(=O)c3cccs3)cc2)OC(=O)N1Cc1ccc(F)cc1
ZINC36220883	CC(C)CNC(=O)C1C(c2ccc(NC(=O)c3cccs3)cc2)OC(=O)N1Cc1cccc(F)c1
ZINC36597102	COc1cc(C(C(=O)NC2CCCCC2)N(Cc2ccc(C)o2)C(=O)C#Cc2ccccc2)ccc1O
ZINC22922354	Cc1sc2nc(CSC(C)C(=O)Oc3ccc(NC(=O)c4cccs4)cc3)[nH]c(=O)c2c1C
ZINC36812603	Cc1sc2nc(SCC(=O)NCC(=O)Nc3ccc(F)c(F)c3F)n(C(C)C)c(=O)c2c1C
ZINC13012063	CN(CC(=O)Nc1c(Cl)cccc1Cl)C(=O)CCNS(=O)(=O)c1ccccc1C(F)(F)F
ZINC12544802	O=C(NCC(c1ccco1)[NH+]1CCCC1)c1cccc(S(=O)(=O)[N-]c2ccc(Br)cc2)c1
ZINC23486683	CC(Sc1nc2ccccc2c(=O)n1CCCO)c1nc2scc(-c3cccs3)c2c(=O)[nH]1
ZINC39974395	Cc1ccc(Cn2nc(C)c(NC(=S)Nc3ccc(S(=O)(=O)N4C(C)CCCC4C)cc3)c2C)cc1
ZINC33535919	CCCOc1ccc(C2[NH2+]C(CC3CCCCC3)(C(=O)[O-])C3C(=O)N(C4CCCCC4)C(=O)C23)cc1
ZINC45915133	CC1CC(C)CN(S(=O)(=O)c2ccc(C(=O)Nc3ccccc3C(=O)NCC(F)(F)F)cc2)C1
ZINC49487060	Cc1ccc(S(=O)(=O)N2CCCCC2CCNC(=O)C(=O)Nc2ccccc2C(F)(F)F)cc1
ZINC01380942	Cc1ccc(N2C(=O)C3C(C(=O)NCc4cccs4)C4C=CC3(O4)C2C(=O)NCc2ccccc2)c(C)c1
ZINC59074334	CC[NH+](CC)c1ccc(C2N(C(=O)C[NH+]3CCCC3)CCCN2S(=O)(=O)c2ccc(C)cc2)cc1
ZINC04230717	Fc1ccccc1N1CC[NH+](C(c2cccs2)c2nnnn2C2CCCCC2)CC1
ZINC02412133	CC(C)c1ccc(C2c3c(oc4ccccc4c3=O)C(=O)N2CCC[NH+]2CCOCC2)cc1
ZINC02412132	CC(C)c1ccc(C2c3c(oc4ccccc4c3=O)C(=O)N2CCC[NH+]2CCOCC2)cc1
ZINC09252975	COc1ccc2c(=O)c3c(oc2c1)C(=O)N(CC[NH+](C)C)C3c1ccc(C(C)(C)C)cc1
ZINC09252978	COc1ccc2c(=O)c3c(oc2c1)C(=O)N(CC[NH+](C)C)C3c1ccc(C(C)(C)C)cc1
ZINC09884375	CCn1c(C[NH+]2CCCC2c2cccs2)nc2cc(S(=O)(=O)N3CCCCC3)ccc21
ZINC09884377	CCn1c(C[NH+]2CCCC2c2cccs2)nc2cc(S(=O)(=O)N3CCCCC3)ccc21
ZINC10046202	Cc1cccc2sc(N(CC[NH+]3CCOCC3)C(=O)COc3ccc(Cl)cc3)nc12
ZINC10046571	Cc1ccc2nc(N(CC[NH+]3CCOCC3)C(=O)COc3ccc(Cl)cc3)sc2c1
ZINC10047010	CC(C)Oc1ccc(C(=O)N(CC[NH+]2CCOCC2)c2nc3c(F)cc(F)cc3s2)cc1
ZINC10066012	C[NH+](C)CCN(C(=O)c1cc(Cl)sc1Cl)c1nc2cc3c(cc2s1)OCCO3
ZINC10068262	C[NH+](C)CCCN(C(=O)c1ccc2c(c1)CCCC2)c1nc2cc3c(cc2s1)OCCO3
ZINC09716584	COc1ccc(N2CC[NH+](Cc3cc(=O)c(OCc4cc(C)ccc4C)co3)CC2)cc1
ZINC11912698	COc1ccc(CN2C(=O)c3cccc(N4CC[NH+](Cc5ccc(C)s5)CC4)c3C2=O)cc1
ZINC12079535	c1cnc2c(c1)nc(C1CCCCC1)n2C1CC[NH+](Cc2cccn2-c2nccs2)CC1
ZINC12131508	Cn1cnnc1Sc1ccc(C[NH+]2CCOc3ccc(C4=Cc5ccccc5C4)cc3C2)o1
ZINC12226840	CCOc1cccc2sc(N(CC[NH+](C)C)C(=O)c3ccc4ncsc4c3)nc12
ZINC12301185	Cc1ccc(C2(c3noc(C[NH+]4CCCC(OCc5ccccn5)C4)n3)CCCC2)cc1
ZINC14076999	COc1ccc(OCc2noc(C[NH+]3CCc4sccc4C3c3ccccc3)n2)cc1
ZINC14962500	COc1ccc(-c2nc(C[NH+](C)Cc3nc4ccccc4s3)c(C)o2)c(OC)c1C
ZINC20452023	C[NH+](Cc1nc(-c2ccc(C(F)(F)F)cc2)no1)CC1(N2CCOCC2)CCCCC1
ZINC20649809	COc1ccc2cn[nH+]c(N3CCN(C(c4ccccc4)c4ccccc4)CC3)c2c1OC
ZINC14539803	CN(C)C(=O)c1nn(CC2CCCCC2)c2c1CC(N1CCC([NH+]3CCCCC3)CC1)CC2
ZINC21540852	O=C1CC(N2CC=C(c3ccccc3)CC2)C(=O)N1c1ccc(/N=N/c2ccccc2)cc1
ZINC23229646	CC(C)c1ccc(C[NH+]2CCN(c3ccc(S(=O)(=O)N4CCCC4)cn3)CC2)cc1
ZINC25078441	Cc1ccc(-c2csc3ncn(CCC(=O)n4cccc/c4=[NH+]\C(C)C)c(=O)c23)cc1
