ZINC01208863	CN1C(=O)N(C)C2C1N(CO)C(=O)N2CO
ZINC50290097	NS(=O)(=O)c1ccc(NC(=O)C2(C(=O)[O-])CC2)cc1
ZINC52012223	O=C([O-])C1CC(O)CN1C(=O)NC1CCCCC1O
ZINC61121332	O=C(Nc1cc(F)cc(F)c1F)NC(CO)C(=O)[O-]
ZINC61369804	CC(NC(=O)NC(C(=O)[O-])C(C)O)c1ccsc1
ZINC61845192	NC(=O)c1ccc(N2CC(O)CC2C(=O)[O-])cc1Cl
ZINC62722599	Nc1ccc2ccc(S(=O)(=O)[O-])c(O)c2c1
ZINC62723295	O=S(=O)([O-])c1cc(O)c2cc(O)cc(O)c2c1
ZINC63010795	CC(NC(=O)c1ccc(N)c(F)c1)(C(=O)[O-])C1CC1
ZINC05113327	O=NN(CCCl)C(=O)NC(CO)C(=O)[O-]
ZINC01066233	O=C([O-])CCN1C(=O)NC2NC(=O)NC21
ZINC09970477	CC1(C(=O)[O-])OC(O)C(C)(O)C(C)(O)C1(C)O
ZINC20213407	NC(=O)CNS(=O)(=O)c1c[nH]c(C(=O)[O-])c1
ZINC20258272	CC(O)C(NC(=O)c1c[nH]c(=O)cn1)C(=O)[O-]
ZINC20258273	CC(O)C(NC(=O)c1c[nH]c(=O)cn1)C(=O)[O-]
ZINC20258274	CC(O)C(NC(=O)c1c[nH]c(=O)cn1)C(=O)[O-]
ZINC20258324	Cc1ccc(C(=O)NC(C(=O)[O-])C(C)O)n1C
ZINC20321974	CC(C(=O)NCC(N)=O)n1ccc(C(=O)[O-])n1
ZINC33434739	N#CCCNc1cc(S(=O)(=O)[O-])ccc1O
ZINC37448897	CC(=O)NCCC(=O)N1CC(O)CC1C(=O)[O-]
ZINC37462878	Cn1cc(S(=O)(=O)NC(CO)C(=O)[O-])cn1
ZINC39053714	O=C1C/C(=N\O)NC([O-])=N1
ZINC39136025	N=C1CNS(=O)(=O)N=C1[O-]
ZINC39410022	COCC1NNC(NC(=O)c2ncn[n-]2)S1
ZINC15022410	[O-]C1C(=N\O)/C(=N/O)C1O
ZINC40531190	COC1CC(C(=O)[O-])N(C(=O)NCC(N)=O)C1
ZINC40532471	CC(O)C(NC(=O)N1CCNC(=O)C1)C(=O)[O-]
ZINC40560069	COCCCNC(=O)N1CC(O)CC1C(=O)[O-]
ZINC40573779	CN(CC(N)=O)C(=O)N1CC(O)CC1C(=O)[O-]
ZINC40578413	CC(NC(=O)N1CC(O)CC1C(=O)[O-])C(N)=O
ZINC40578415	CC(NC(=O)N1CC(O)CC1C(=O)[O-])C(N)=O
ZINC40580242	O=C(CNC(=O)NC(CO)C(=O)[O-])NC1CC1
ZINC40604963	O=C(NCC1COCCO1)NC(CO)C(=O)[O-]
ZINC40710403	Cn1cc(NC(=O)NC(CCO)C(=O)[O-])cn1
ZINC40912200	CC(NC(=O)NC(C)(C)C(=O)[O-])C1CCCO1
ZINC44975906	CC(C)(NC(=O)NCC1CCCOC1)C(=O)[O-]
ZINC45821182	[N-]=[N+]=C1N=C2C([O-])=NC(=N)N=C2N1
ZINC49502849	CC(CN1CCOCC1)NC(=O)NCC(=O)[O-]
ZINC19939695	O=C([O-])CCCNC=C1C(=O)NC(=O)NC1=O
ZINC50421360	CC(CC(=O)[O-])NC(=O)NCc1nncn1C
ZINC51841027	CC(O)CN(C)C(=O)NCC(=O)NCC(=O)[O-]
ZINC22158835	CC(NC(=O)c1cc([N+](=O)[O-])c[nH]1)C(=O)[O-]
ZINC53944068	[O-]C1=CC(O)=NC2NN=CN12
ZINC53944070	[O-]C1=CC(O)=NC2NN=CN12
ZINC54431839	Nc1nonc1C(=O)N1CCCCC1C(=O)[O-]
ZINC54500617	O=C1NC(C(=O)NC(C(=O)[O-])C2CC2)CS1
ZINC54505387	O=C([O-])C(NS(=O)(=O)c1cc[nH]c1)C1CC1
ZINC55168821	CN(CCCC(=O)[O-])C(=O)c1n[nH]c(N)n1
ZINC55169397	Nc1nc(C(=O)N2CCCC2CC(=O)[O-])n[nH]1
ZINC16382847	Nc1nc(=S)[nH]c([O-])c1N=O
ZINC34497953	CC1(F)C(=O)N=C([O-])NC1O
ZINC61712966	O=C([O-])CNC(=O)CNC(=O)N1CCC(O)C1
ZINC62722583	Nc1cc(S(=O)(=O)[O-])c2cc(N)ccc2c1
ZINC39231569	N=C1N=C(N)[N-]C2N=NN=C12
ZINC39231570	N=C1N=C(N)[N-]C2N=NN=C12
ZINC38984205	CN1CCN(C2N=c3[nH]c(=N)nc([O-])c3=N2)CC1
ZINC63932380	NC1=NC(=O)CC([O-])=N1
ZINC64029088	O=C(NC/C([O-])=N/c1ncn[nH]1)C1CC=CO1
ZINC19328698	[NH-]C1=NC(=O)C2N=CNC2N1
ZINC04831367	COC1CC(O)C(O)C(CO)O1
ZINC05606819	COC1OC(CO)C(F)C(O)C1O
ZINC05847166	Nc1nc(SC2C=CS(=O)(=O)C2)n[nH]1
ZINC15020060	NNC(=O)c1ccc(N2C(=O)C=CC2=O)cc1
ZINC00211528	CN(CCO)S(=O)(=O)c1ccc(N)cc1
ZINC02537572	Cc1nn(C(C)C(=O)NN)c(C)c1Cl
ZINC02557584	NNC(=O)Cn1cnc(Cl)c1Cl
ZINC08058029	NC(=O)CNS(=O)(=O)c1cccs1
ZINC09994599	CC(C)(C)NC(=O)C(=O)NCCCO
ZINC10339471	N#CCCSc1n[nH]c(N)n1
ZINC11568799	Nc1ccc2c(c1)OCC(=O)N2CCO
ZINC19480765	N/C(=N\O)c1ccnc(-n2cccn2)c1
ZINC20593881	CN1C(=O)C(O)N(c2cccc(N)c2)C1=O
ZINC22059008	CC1OC2OC(CO)C(O)C(O)C2O1
ZINC32006512	CCS(=O)(=O)NCCON
ZINC35237500	CC(=O)NC(C)C(=O)Nc1cn[nH]c1
ZINC35645171	COC1OC(CO)CC(O)C1O
ZINC36127528	Nc1cccc(C(=O)N(CCO)C2CC2)c1
ZINC36810539	NNC(=O)C(=O)N1CCC2CCCCC2C1
ZINC37081474	CN(C(=O)c1ccc(/C(N)=N/O)cc1)C1CC1
ZINC37175652	CN(C(=O)C/C(N)=N/O)C1CCSC1
ZINC37269267	CN(CC(N)=O)C(=O)c1cccc(O)c1
ZINC38062638	Cc1nn(C)c(NCC2COCCO2)c1N
ZINC39097612	CCc1cc(C2OC(O)C(O)C2O)on1
ZINC39097727	CCC1CC(=O)N2CC(O)C(O)C2C1O
ZINC39114046	Nc1ncc2nc(CO)cnc2n1
ZINC39417572	CC1OC(n2ccc(N)nc2=O)CC1O
ZINC39931325	C/N=C1\NC(SC)=NC2N=NC(N)=C12
ZINC39957197	CC1(C)OC2C(O)OC(C(O)CO)C2O1
ZINC39957207	CC1(C)OC(CO)C(C(O)CO)O1
ZINC40229003	Nc1cnn(CCOCCO)c1
ZINC41599385	O=C1N=C([O-])C2(CC[NH+](CCO)CC2)N1
ZINC42414485	O=C1NC(C(=O)Nc2cc[nH]n2)CS1
ZINC43540645	CCC(/C(N)=N/O)n1cncn1
ZINC02545112	COC1OC(C)C(O)C(O)C1O
ZINC49643520	O=S(=O)([N-]c1cn[nH]c1)C1CCC[NH2+]C1
ZINC50709998	Nc1ccc(C(=O)N2CCCC(O)C2)nn1
ZINC51126683	CN(C(=O)c1ccc(NN)nn1)C1CC1
ZINC52725622	NNc1ncccc1Cn1cncn1
ZINC52833775	CN(Cc1ccccn1)/C(N)=N/O
ZINC54381845	CC(C)Oc1nccnc1/C(N)=N/O
ZINC54396229	N/C(=N/O)c1nccnc1OC1CCC1
ZINC55164535	Nc1nc(C(=O)N2CCSCC2)n[nH]1
ZINC48896471	Nc1[nH]ncc1C(=O)N1CCCSCC1
ZINC58721985	COCC(C)N(C)C/C(N)=N/O
ZINC58838314	CC1CCCN(C(=O)CCC(=O)NN)C1
ZINC58845239	CC1CCCCN1C(=O)CCCC(=O)NN
ZINC61147180	NC(=S)CC(=O)NCC1CCOC1
ZINC62457502	Cc1n[nH]c(SCCC(N)C#N)n1
ZINC62810484	Nc1c[nH]nc1C(=O)N1CCOCC1
ZINC04008781	O=C([O-])CN1C(=O)NC2NC(=O)NC21
ZINC04008783	O=C([O-])CN1C(=O)NC2NC(=O)NC21
ZINC05500750	O=P([O-])(OCC(O)O)OCC(O)O
ZINC05940403	CC(Nc1nc(N)c(N=O)c(=O)n1C)C(=O)[O-]
ZINC01558281	NC(=O)c1cnn(CCOS(=O)(=O)[O-])c1N
ZINC06442657	CC(Nc1nc(N)c(N=O)c(=O)n1C)C(=O)[O-]
ZINC19402719	O=C([O-])C1CC(O)CN1C(=O)c1ccc(O)cc1
ZINC19402726	O=C([O-])C1CC(O)CN1C(=O)c1ccc(O)cc1
ZINC19426596	O=C([O-])C1CC(O)CN1C(=O)c1ccc[nH]c1=O
ZINC19426598	O=C([O-])C1CC(O)CN1C(=O)c1ccc[nH]c1=O
ZINC19426600	O=C([O-])C1CC(O)CN1C(=O)c1ccc[nH]c1=O
ZINC19472544	CC(=O)NCC(=O)N1CC(O)CC1C(=O)[O-]
ZINC19510600	NC(=O)CC(NC(=O)Cn1cnnn1)C(=O)[O-]
ZINC19510602	NC(=O)CC(NC(=O)Cn1cnnn1)C(=O)[O-]
ZINC19806000	O=C([O-])C[NH+](CC(=O)[O-])C1NN=NN1
ZINC20218008	O=C([O-])/C=C/C(=O)NC(=O)NC1CCOC1=O
ZINC28100683	O=c1cc(CO)n(CCS(=O)(=O)[O-])cc1O
ZINC36733416	CS(=O)(=O)NCCNC(=O)NCC(=O)[O-]
ZINC36975748	CC(NC(N)=O)C(=O)N1CC(O)CC1C(=O)[O-]
ZINC36980481	O=C1CCC(C(=O)NC2(C(=O)[O-])CCCC2)=NN1
ZINC37432227	CC(O)C(NC(=O)C1=NNC(=O)CC1)C(=O)[O-]
ZINC37456844	CC(NC(=O)C1=NNC(=O)CC1)(C(=O)[O-])C1CC1
ZINC37456845	CC(NC(=O)C1=NNC(=O)CC1)(C(=O)[O-])C1CC1
ZINC38635970	CC([NH2+]C(C)S(=O)(=O)[O-])S(=O)(=O)[O-]
ZINC39116209	O=C([O-])C1(C(=O)[O-])[NH2+]CCC1O
ZINC39205330	NC1C(=O)NC(=O)N=C1S(=O)(=O)[O-]
ZINC39949188	O=C1N=CC(NS(=O)(=O)[O-])C(=O)N1
ZINC40394209	CC(NC(N)=O)C(=O)N1CC(O)CC1C(=O)[O-]
ZINC40470449	Nc1cccc(C(=O)N2CC(O)CC2C(=O)[O-])c1
ZINC40470452	Nc1cccc(C(=O)N2CC(O)CC2C(=O)[O-])c1
ZINC40520647	CC(O)C(NC(=O)Nc1nncs1)C(=O)[O-]
ZINC40546983	O=C([O-])C1CC(O)CN1C(=O)Nc1ncccn1
ZINC40573859	CN(CC(N)=O)C(=O)NCC(=O)NCC(=O)[O-]
ZINC40576993	CC(O)C(NC(=O)Nc1cnn(C)c1)C(=O)[O-]
ZINC40577442	O=C([O-])C1CC(O)CN1C(=O)Nc1cn[nH]c1
ZINC40578412	CC(NC(=O)N1CC(O)CC1C(=O)[O-])C(N)=O
ZINC40578669	CC(NC(=O)N1CC(O)CC1C(=O)[O-])C(N)=O
ZINC40697139	O=C(Cn1cncn1)NC(CCO)C(=O)[O-]
ZINC40697159	CC(C(=O)NC(CCO)C(=O)[O-])n1cncn1
ZINC40697161	CC(C(=O)NC(CCO)C(=O)[O-])n1cncn1
ZINC40912382	CC(C)(NC(=O)NCC1COCCO1)C(=O)[O-]
ZINC44884583	CC(NC(=O)Cn1cnc(N)n1)c1nnn[n-]1
ZINC52786345	COCCC(NC(=O)C1CSCN1)C(=O)[O-]
ZINC54431794	Nc1nonc1C(=O)N1CC(O)CC1C(=O)[O-]
ZINC55168625	Nc1nc(C(=O)N2CSCC2C(=O)[O-])n[nH]1
ZINC20215145	O=C(NC(CO)C(=O)[O-])c1cc([N+](=O)[O-])c[nH]1
ZINC61712847	O=C([O-])C1CC(O)CN1C(=O)N1CCC(O)C1
ZINC61713086	O=C([O-])C1CC(O)CN1C(=O)N1CCC(O)C1
ZINC61713087	O=C([O-])C1CC(O)CN1C(=O)N1CCC(O)C1
ZINC61809338	CN(CC(=O)[O-])C(=O)N(CC(N)=O)CC(N)=O
ZINC04713140	Cc1cc(C)n(-c2cc(N/N=C/c3ccccc3)ncn2)n1
ZINC01351308	COc1ccc(-c2cc(NC3CC3)n3ncnc3n2)cc1
ZINC06742994	c1ccc(-c2cc(NCc3ccco3)n3cnnc3n2)cc1
ZINC06861387	Cc1nc(C#N)c(N/N=C/C2=Cc3ccccc3OC2C)o1
ZINC03328495	O=C(NCC1COc2ccccc2O1)c1ccc2c(c1)OCO2
ZINC13207504	C=CCn1c(=O)n(CC)c(=O)c2[nH]c(C(F)(F)F)nc21
ZINC04859011	Cc1cc(C)nc(N2CCCC(C(=O)Nc3cccnc3)C2)n1
ZINC17300530	CC(C)NC(=O)c1ccc(N2CCCC2)c([N+](=O)[O-])c1
ZINC19789936	Cc1noc(-c2ccc(-c3cccc(-c4cc[nH]n4)c3)nc2)n1
ZINC20855853	Cc1cnn(-c2cc(-c3cccc(-c4cc[nH]n4)c3)ncn2)c1
ZINC21211405	O=C(Nc1ncccn1)c1cc(Cl)c2c(c1)OCCCO2
ZINC22078410	CC1C2CCC[NH+]2CCN1Cc1ccc([O-])c([N+](=O)[O-])c1
ZINC31978752	O=[N+]([O-])c1cccc(-c2cn3c4c(sc3n2)CNCC4)c1
ZINC32603435	CC(c1nc[nH]n1)n1cnc2cc(C(C)(C)C)sc2c1=O
ZINC01414963	COC1=c2ccoc2=C(OC)C(=O)/C1=C1\C=C(C(F)F)ON1
ZINC36357196	Cc1sc(-n2cnnn2)c(C(=O)NC2CCCCC2)c1C
ZINC37105789	Cc1ccc(C(C)Nc2cccc(-n3nnnc3C)c2)o1
ZINC37773566	Cc1ccc(C(C)Nc2cc(-n3cnnn3)ccc2F)o1
ZINC04504998	Cc1cc(NC(=O)C2CC(c3ccc(Cl)cc3)=NO2)no1
ZINC38710126	CCOc1ccc(C2C3=C(COC3=O)NC3N=NC(C)=C32)cc1
ZINC38743979	CC1=CC(C2Nn3c(nnc3C3CCCCC3)S2)N=N1
ZINC39408654	CC12CC3(C)CC(C)(C1)CC(C(=O)NC1N=NN=N1)(C2)C3
ZINC39412803	COc1ccc(C2=NN=CC2C2NN=C3C=CC=C(C)N32)cc1
ZINC39500283	CCc1nc(C)c(C2NC(C3=CC=CC4N=CC=C34)=NO2)o1
ZINC40445521	Cc1nc(C)c(C(C)Nc2ccc([N+](=O)[O-])cn2)s1
ZINC45954827	Cc1cc(NC(=O)N2CCCCCC2c2ccncc2)no1
ZINC47068441	CN(Cc1ccc2c(c1)OCO2)C(=O)NCC1CCOC1
ZINC47068442	CN(Cc1ccc2c(c1)OCO2)C(=O)NCC1CCOC1
ZINC48130326	CCn1ncc(-c2nc3c(cnn3C3CCCC3)[nH]2)c1C
ZINC48464969	CC(C)n1ncc2[nH]c(-c3cccn3-c3nccs3)nc21
ZINC48579095	O=C1/C(=C\c2csc([N+](=O)[O-])c2)Oc2cc(O)ccc21
ZINC48696062	O=C(Nc1nnc(-c2ccco2)s1)N1CC2CCC1C2
ZINC48911744	Cc1cc(NC(=O)c2cc3sc(N(C)C)nc3s2)no1
ZINC49509417	Cc1cc(C(C)Nc2ncc([N+](=O)[O-])cn2)c(C)s1
ZINC50724872	CNc1cc(C(=O)N2CCCCC2C)c([N+](=O)[O-])cc1F
ZINC50778498	CNc1c(Cl)cc(C(=O)N2CC3CCC2C3)cc1[N+](=O)[O-]
ZINC50813673	CNc1ccc([N+](=O)[O-])cc1CN1CC(C)OCC1C
ZINC52811850	Cc1noc(CNc2nc(Cl)nc3ccccc23)n1
ZINC53162785	O=[N+]([O-])c1ccc(F)c(F)c1NC1CCS(=O)(=O)C1
ZINC20246463	Cc1cc(C)nc(N/N=C/c2cccc3c2OCCO3)n1
ZINC55856023	Cc1ccc(-n2cnnn2)cc1NCc1ccccc1C#N
ZINC57306731	CON(C)C(=O)C1CCCN1C(=O)NC1CCCCC1
ZINC36853322	Cn1cc(NC2CC(=O)N(C3CCCCCC3)C2=O)cn1
ZINC59461254	O=[N+]([O-])c1ccc2nc(NCC3CCCO3)sc2c1
ZINC41480503	Cn1ncc2c(Nc3cccc4cccnc34)ncnc21
ZINC62238927	OCc1nnn(-c2ccc3c(c2)OCO3)c1-c1ccccc1
ZINC52863809	Cn1ncc2c([O-])nc(C[NH+]3CCCC3C3CCCC3)nc21
ZINC67303301	Cc1nn(C)c(C)c1C(C)NC(=O)c1cccc2c1OCO2
ZINC67371311	COC(=O)N1CCCC(Nc2ccc(Cl)c(C#N)n2)C1
ZINC67405972	CC(C)(C)C(=O)N1CCCN(C(=O)NC2CCOCC2)CC1
ZINC04482171	N#C/C(=C\c1cc2c(cc1Cl)OCO2)c1nn(CCO)c(N)c1C#N
ZINC06219028	COc1cc(/C=N/Nc2nnc(C)n2N)c(OC)cc1Br
ZINC07778207	CC(C)CCNC(=O)NC(=O)CN1C(=O)NC2(CCCCC2C)C1=O
ZINC09970332	CC1(C)OC(C)(Oc2ccccc2[N+](=O)[O-])C(C)(O)C(C)(O)C1(C)O
ZINC12321622	COc1ccc(C2Nc3nonc3NC3=C2C(=O)CC(C)(C)C3)cc1O
ZINC12614937	CC1CCCCC12NC(=O)N(CC(=O)NCC(=O)NC(C)(C)C)C2=O
ZINC18804947	Cc1cc(C)n(-c2nnc(SCC(=O)NC3CCCCCC3)n2N)n1
ZINC20673851	O=C1CCCC2=C1C(c1cccc(O)c1)c1c(nc(N3CCOCC3)[nH]c1=O)N2
ZINC32565161	Nc1ncc(-c2cnc3ccccc3c2)nc1NCCN1CCOC1=O
ZINC32913640	Cc1c(C(=O)NNC(=O)C2CCN(C(=O)NC3CC3)CC2)oc2ccccc12
ZINC18284410	COc1ccc(C2C(C#N)=C(N)Oc3cc(C)[nH]c(=O)c32)c(OC)c1OC
ZINC39206062	CCOc1cc(C2C(C#N)=C(N)OC3N=NC(COC)=C32)ccc1O
ZINC40568860	Cc1n[nH]c2c1C1(C(=O)N(CC3CCCO3)c3ccccc31)C(C#N)=C(N)O2
ZINC44547665	CC(=O)C1(Cc2cc(O)c3c(c2O)C(=O)c2c(O)cccc2C3=O)CCOC1=O
ZINC44990209	CC(=O)c1ccc(N2CCN(c3nc(N)nc4[nH]cnc34)CC2)cc1
ZINC45480272	CC1CCCCC12NC(=O)N(CC(=O)NNC(=O)c1ccc(Cl)cc1)C2=O
ZINC48185140	CCc1c(C(=O)NNC(=O)c2ccc3c(c2)OCO3)[nH]c(C)c1C(C)=O
ZINC48896367	NNc1ccc(S(=O)(=O)N2CCCSCC2)cc1[N+](=O)[O-]
ZINC51585810	NC(=O)C1CN(C(=O)Nc2ccc3c(c2)OC2(CCCC2)O3)CCO1
ZINC51714457	CC(C)(CNC(=O)N1CCOC(C(N)=O)C1)c1ccc2c(c1)OCO2
ZINC55158093	CS(=O)(=O)N1CCCCC1C(=O)NNC(=O)c1cc2ccccc2cc1O
ZINC56631776	COC(=O)Nc1cccc(NC(=O)N2CCC(C(=O)NC3CC3)CC2)c1
ZINC57191844	Cc1c[nH]c(=O)n1-c1ccc(C(=O)NNC(=O)c2cn(C)c3ccccc23)cc1
ZINC58277097	Cc1occc1C(=O)Nc1cc(NC(=O)c2cnc3[nH]nc(C)c3c2)ccc1F
ZINC58309050	O=C(Nc1cccc(S(=O)(=O)N2CCOCC2)c1)NC1CCCCC1O
ZINC58433364	O=C(CNC(=O)NC1CCCCC1)NC1CCCN(c2ncccn2)C1
ZINC25790724	CC(OC(=O)c1ccc2cn[nH]c2c1)C(=O)NC(=O)NC1CCCC1
ZINC58862451	Cc1ccccc1NC(=O)NNC(=O)c1ccc(-n2cccn2)nc1
ZINC58997955	CC(NC(=O)c1ccc(S(N)(=O)=O)cc1)c1cccc([N+](=O)[O-])c1
ZINC59167114	Cc1nn(-c2ccccc2)c(O)c1/C=N/NC(=O)C1CCCNC1=O
ZINC59367608	CN1C(=O)NC(c2ccccc2)C2C(=O)N(c3ccc(S(N)(=O)=O)cc3)CC21
ZINC15084807	COc1cc(C2CC(=O)Nc3c2c(C)nn3-c2nc3ccccc3[nH]2)ccc1O
ZINC60609093	O=C(NNC(=O)N1CCN(C(=O)c2ccccc2O)CC1)c1ccc(F)cc1
ZINC47257150	Cc1nn(-c2ccccc2)c(C)c1C(=O)Nc1ccc(-n2ncc(C#N)c2N)cc1
ZINC63092080	Cc1ccc(-c2n[nH]c(NC(=O)c3ccc(-n4c(C)c[nH]c4=O)cc3)n2)cc1
ZINC63375043	COc1ccc2c(c1)=C1CCNC(c3c([O-])[nH]c(=O)n(C(C)(C)C)c3=O)C1[NH+]=2
ZINC40287781	CC(=O)Nc1cccc(NC(=O)C2CC(O)=Nc3nc4ccccc4n32)c1
ZINC40287781	CC(=O)Nc1cccc(NC(=O)C2CC([O-])=Nc3nc4ccccc4n32)c1
ZINC64645039	CC(NC(=O)NC1CCCCNC1=O)c1nc(-c2ccc(F)cc2)no1
ZINC08559527	COc1ccc(C2C(C#N)=C(N)N(c3nc[nH]n3)C3=C2C(=O)CC(C)(C)C3)cc1
ZINC65406485	Nc1nc(N2CCOCC2)nc2c1C(/C=C/c1ccco1)CC(=O)N2
ZINC65964705	CN(C)c1nc(N)nc(CN2CCC(C(=O)NC3CCCCC3)CC2)n1
ZINC66240832	Cc1cc(NC(=O)c2ccc(-n3ncc(C#N)c3N)cc2)n(C(C)(C)C)n1
ZINC66671925	O=C(NC1CC1)C1CCCN(C(=O)Nc2cccc(-c3ccc(=O)[nH]n3)c2)C1
ZINC66739990	Cc1[nH]nc2c1NC(c1csc(-c3ccc4c(c3)OCO4)n1)NC2=O
ZINC67162944	O=C(NC1CCCCNC1=O)c1cccc(N2NC(=O)C3CC=CCC3C2=O)c1
ZINC67189841	Cc1cccc(C(=O)NNC(=O)c2c[nH]nc2-c2ccc3c(c2)OCCO3)c1
ZINC67205632	O=C(CCCCC1SCC2NC(=O)NC21)/N=c1\[nH]nc2ccccn12
ZINC67383980	Cc1cc(C(C)Nc2ccc(S(N)(=O)=O)cc2[N+](=O)[O-])c(C)o1
ZINC67411045	Cc1occc1C(=O)NC1CCN(C(=O)NC(C)c2nc3ccccc3[nH]2)CC1
ZINC67414965	Cc1nn(C)c2ncc(NC(=O)C(=O)NC3C4CCCC3C[NH+](C3CC3)C4)cc12
ZINC04006173	OC1(c2ccc3ccccc3n2)COc2ccccc2O1
ZINC05757415	CC1=C(C#N)C(=O)CC(c2ccc(Cl)cc2)N(C)N1
ZINC01607656	Cc1ccc2c3c(c(=O)oc2c1)C(C)CC(C)(CO)O3
ZINC08316254	CNc1nc(-c2ccc3c(c2)OCCCO3)cs1
ZINC04115208	N#CC1C(=N)C(C#N)(C#N)C(c2cccs2)C2CSCC=C12
ZINC12850948	Cc1c(C(=O)N2CCCCC2C)[nH]c2c1C(=O)CCC2
ZINC00226336	N#Cc1c2c(c(N3CCOCC3)[nH]c1=S)CCCC2
ZINC22114326	Clc1nc(I)nc2nc[nH]c12
ZINC22459346	C/N=c1\scc(-c2[nH]c(C)c(C(C)=O)c2C)n1C
ZINC06404175	Cc1cc(O)c2c(=O)c(-c3nc(C)sc3C)coc2c1
ZINC28429355	Fc1cccc(C2NCCc3c2sc2ncnn32)c1
ZINC29462965	CC1CN(C(=O)c2cc3c(F)cccc3[nH]2)CC(C)O1
ZINC34776315	Cc1cc(O)ccc1N1C(=O)C2C3C=CC(C3)C2C1=O
ZINC35217449	O=C(c1cccc2ncccc12)N1CCCC(CO)C1
ZINC35411861	CC(Cl)C(=O)Nc1cc2c(cc1Cl)OCO2
ZINC36416287	CC1CCCCC1NC(=O)C1CCS(=O)(=O)C1
ZINC37400487	FC(F)(F)Cc1nc2cc3c(cc2[nH]1)OCCO3
ZINC37845487	O=C(c1cc(Br)c[nH]1)N1CCOC2CCCCC21
ZINC37980119	O=C(Nc1cccnc1Cl)c1ccc(Cl)nc1
ZINC39468512	CSP1(=O)NN2CC3C=C(Cl)C(F)=CC3CC2CO1
ZINC43165072	O=C(NC1CCOc2ccccc21)N1CCSCC1
ZINC43429049	O=C(c1ccc(C#CCO)s1)N1CCOC2CCCC21
ZINC44115541	COc1ccc2c(c1)CCC(N1CCOCC1)C2O
ZINC44167430	OC1c2ccccc2OCC1N1CCOC2CCCC21
ZINC44977853	CC1CCCC(c2noc(C3=CCSC3=N)n2)C1
ZINC45205229	CC1CCCC(NC(=O)C2CCS(=O)(=O)C2)C1
ZINC48244670	CC1CCCCN1C(=O)c1cc(F)cc2[nH]cnc12
ZINC48927744	CC(=O)N1CCC(NC(=O)C=C2CCCCC2)CC1
ZINC49091689	CC1COCCN1C(=O)c1[nH]c2ccccc2c1Cl
ZINC50429766	Cc1ccc(C#N)cc1NC1CCCc2c1cnn2C
ZINC05490063	Cc1c(Cl)cccc1N1C(=N)SC2CS(=O)(=O)CC21
ZINC50964164	O=C(C1CCCCO1)N1CCc2ccc(O)cc2C1
ZINC51362425	Cc1cccc(C(O)c2ccc3c(c2)oc(=O)n3C)c1
ZINC51633720	Clc1nncc(NC2CCc3ccccc3C2)n1
ZINC53883815	O=S1(=O)CCN(CC2CCCCCC2O)CC1
ZINC19323054	CC1(C)CC2(CCO1)N1CC3(C)CN2CC(C)(C1)C3O
ZINC16609543	CC1CN(C2/C(=N/O)Cc3ccccc32)CC(C)O1
ZINC15577086	Cc1ccc(NC(=O)C2CCS(=O)(=O)C2)c(C)c1
ZINC05042635	Cc1ccc2nc(N3C(=N)SCC3=O)sc2c1
ZINC59171173	Cc1cc(O)ccc1N1C(=O)C2CCCCC2C1=O
ZINC61705453	Cc1ccc2c(CC(=O)N3CCC(O)C3)coc2c1
ZINC61936886	CC1(C)Cc2nc(N3CCCOCC3)sc2C(O)C1
ZINC61938312	CC1CN(C(=O)c2cccc3[nH]ccc23)CCCO1
ZINC62173272	Cc1ccc2c(c1C)OCC(N1CCOCC1)C2O
ZINC62174920	OC1c2cccc(Cl)c2OCC1N1CCOCC1
ZINC62202982	Cc1cc(-c2ccc3c(c2)OCCCO3)[nH]c(=S)n1
ZINC18241177	CC1C=CCC2C(=O)N(c3cc(Cl)ccc3O)C(=O)C12
ZINC64656277	O=C(c1ccc2c(c1)COC2)N1CCc2ccc(O)cc2C1
ZINC65403627	CCc1ccc(C2CC(=O)Nc3snc(C)c32)o1
ZINC65815294	O=C1CCC(C(=O)N2CC3CC4CC(C3)CC2C4)CN1
ZINC04151657	COC(=O)C1CCCN1C(=O)C1CC(SCc2ccco2)CCN1C(=O)COCC(=O)[O-]
ZINC13044265	CCCCn1c(SCC(=O)N(CC)C2CCS(=O)(=O)C2)nc2cc(C(=O)[O-])ccc2c1=O
ZINC13069615	CCN(CC(=O)Nc1ccc2c(c1)OCCO2)S(=O)(=O)c1ccc(F)c(C(=O)[O-])c1
ZINC13077915	Cc1occc1-c1nnc(SCC(=O)[O-])n1/N=C/c1cc2c(cc1[N+](=O)[O-])OCO2
ZINC13078464	O=C([O-])CCc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)cc1
ZINC13086960	CC1CCCCC1NC(=O)COc1ccc(S(=O)(=O)N2CCOCC2)cc1C(=O)[O-]
ZINC13090958	O=C([O-])c1cc(S(=O)(=O)N2CCOCC2)ccc1NCCc1ccc2c(c1)OCCO2
ZINC13204170	O=C([O-])Cn1c(SCC(=O)N2CCCC2c2ccc3c(c2)OCCO3)nnc1-c1cccs1
ZINC13204284	CC(NC(=O)CSc1nnc(-c2cccs2)n1CC(=O)[O-])c1ccc2c(c1)OCO2
