ZINC04018031	NC(=S)N/N=C/C(O)C(O)C(O)CO
ZINC59883850	C=CCn1cc(/C=N/Nc2nc(SCC(=O)NNC(=O)C3CCC3)n[nH]2)cn1
ZINC60374816	CC1(c2ccc(Cl)s2)NC(=O)N(CC(=O)c2c(N)n(C3CC3)c(=O)[nH]c2=O)C1=O
ZINC61808638	NC(=O)CN(CC(N)=O)C(=O)c1cc([N+](=O)[O-])ccc1I
ZINC39781074	CC1NNC(=O)C2=C1C(C)OC2NC(=O)CSC1NN=C(c2ccco2)N1C
ZINC39781075	CC1NNC(=O)C2=C1C(C)OC2NC(=O)CSC1NN=C(c2ccco2)N1C
ZINC39935909	CC1NNC(=O)C2=C1C(C)OC2NC(=O)CSC1NN=C(C2CC2)N1C1CC1
ZINC39937768	CC1NNC(=O)C2=C1C(C)OC2NC(=O)CSC1NN=NN1CC1CCCO1
ZINC63814268	Cc1ccc(C#N)cc1NC(=O)C(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1
ZINC20548289	COCCN1C(=O)C2C(Cc3ccc(O)c(O)c3)NC3(C(=O)Nc4ccccc43)C2C1=O
ZINC64764582	O=C(NCc1cc(Br)c2c(c1)OCO2)NNC(=O)C(=O)NC1CC1
ZINC04610571	CC(C)[NH2+]CC(O)C[NH2+]C(C)C1COc2ccccc2O1
ZINC05734056	CC/C=C/C/C=C/C1CC(=O)NCCC[NH2+]CCCC[NH2+]1
ZINC11729525	[NH3+]C1CC[NH+](CC(O)c2ccc(Br)cc2)CC1
ZINC17191218	CC/C=C\C/C=C/C1CC(=O)NCCC[NH2+]CCCC[NH2+]1
ZINC20431611	C[NH+]1CCC(C[NH3+])(NS(=O)(=O)N2CCCCCC2)CC1
ZINC32066422	[NH3+]CC(c1ccccc1O)N1CCN(c2cccc[nH+]2)CC1
ZINC32066550	CC(C)C[NH+](CC(C)C)C(C[NH3+])c1cc(Cl)ccc1O
ZINC32066576	[NH3+]CC(c1cc(Br)ccc1O)[NH+]1CCCCC1
ZINC32074387	C=CCc1cc(C(C[NH3+])[NH+]2CCC(C)CC2)cc(OC)c1O
ZINC32918780	Cc1cc2c(cc1C)NC1(CC[NH2+]CC1)/C(=[NH+]/C(C)(C)C)N2
ZINC36226790	CCC(C)(C)C1CCC(C[NH3+])C([NH+]2CCCC(CO)C2)C1
ZINC37159020	CCC(C)(C)C1CCC(C[NH3+])C([NH+]2CCC(CO)CC2)C1
ZINC37634350	CNC(=O)C[NH+]1CCC(NC(=O)CC[NH2+]C(C)(C)C)CC1
ZINC37715265	[NH3+]CCCC[NH2+]Cc1cc(Br)c2c(c1)OCO2
ZINC37715439	[NH3+]CCCC[NH2+]Cc1ccc(I)o1
ZINC40670663	CSCCC([NH3+])C(=O)NCC1([NH+](C)C)CCCC(C)C1
ZINC40770536	CC(C)C(CNC(=O)C1([NH3+])CCCC1)N1CC[NH+](C)CC1
ZINC40770538	CC(C)C(CNC(=O)C1([NH3+])CCCC1)N1CC[NH+](C)CC1
ZINC42134954	[NH3+]C1CC2CCC(C1)[NH+]2C1C(=O)Nc2cc(F)cc(F)c21
ZINC44557515	Cc1sc2nc(C[NH+]3CCCCC3C[NH3+])[nH]c(=O)c2c1C
ZINC44763855	[NH3+]CC1(C(=O)NC2CC[NH+]3CCCCC23)CCCCCC1
ZINC44763856	[NH3+]CC1(C(=O)NC2CC[NH+]3CCCCC23)CCCCCC1
ZINC44995377	CC(CNC(=O)C1(C[NH3+])CCCCCC1)[NH+]1CCCCC1
ZINC45272308	CCC[NH2+]C(C)(CC[NH+]1CCCC2CCCCC21)C(N)=O
ZINC45279765	CC(CCN1CC[NH+](C(C)(C)C)CC1)([NH2+]C1CC1)C(N)=O
ZINC50088850	CC1CCCC(C[NH3+])([NH+](C)CC(=O)NCC(F)(F)F)C1
ZINC50348196	CC(C)[NH2+]C(C)(CC[NH+]1CCC(C(C)(C)C)CC1)C(N)=O
ZINC50348198	CC(CC[NH+]1CCC(C(C)(C)C)CC1)([NH2+]C1CC1)C(N)=O
ZINC51692768	[NH3+]C1CCC([NH2+]Cc2cc(Cl)c3c(c2)OCCO3)CC1
ZINC51693793	CCC([NH2+]C1CCC([NH3+])CC1)c1ccc(Cl)cc1Cl
ZINC51694274	CC([NH2+]C1CCC([NH3+])CC1)c1cc(F)c(Cl)cc1Cl
ZINC51694276	CC([NH2+]C1CCC([NH3+])CC1)c1cc(F)c(Cl)cc1Cl
ZINC51817238	CC(O)C[NH+](C)C(C[NH3+])c1ccc(Br)s1
ZINC51817427	CC(O)C[NH+](C)C(c1cccc(Br)c1)C(C)[NH3+]
ZINC51817439	CC(O)C[NH+](C)C(c1ccc(Br)cc1)C(C)[NH3+]
ZINC51817471	CC(O)C[NH+](C)C(c1ccccc1Br)C(C)[NH3+]
ZINC51817472	CC(O)C[NH+](C)C(c1ccccc1Br)C(C)[NH3+]
ZINC57846504	C=C(C)C[NH+]1CCC2(CC1)NC(=O)N(CC([NH3+])CC)C2=O
ZINC57846825	CCCC[NH+]1CCC2(CC1)NC(=O)N(CC(C)(C)[NH3+])C2=O
ZINC62035082	NC(=O)C(C[NH+]1CCC(C[NH+]2CCCC2)CC1)NC1CC1
ZINC62941721	CCC[NH2+]C(C)(CCN1CCC[NH+]2CCCC2C1)C(N)=O
ZINC62941724	CC(CCN1CCC[NH+]2CCCC2C1)([NH2+]C1CC1)C(N)=O
ZINC62977652	Nc1cnn(CC(O)C[NH+]2CCC([NH+]3CCCCC3)C2)c1
ZINC63121886	C[NH+]1CCC(C[NH+](C)Cc2nc(NN)ccc2Cl)CC1
ZINC63165947	C[NH2+]CC1CC[NH+](CC(=O)NC(=O)NCCC(C)C)CC1
ZINC63200949	O=C(C[NH+]1CCC(C2CCC[NH2+]2)CC1)NC(=O)NC1CC1
ZINC63952286	CC(Nc1cc(Cl)nc(N)n1)c1ccc2c(c1)=[NH+]C(=O)[NH+]=2
ZINC65259944	c1ccc(C/[NH+]=C2\Nc3ccccc3NC23CCC[NH2+]C3)cc1
ZINC65425018	CCC(CO)[NH+]1CNC(c2ccccc2)C1c1[nH+]c[nH]c1C
ZINC66245700	CC1CCCC(CN/C(N)=[NH+]/CC2CCCO2)([NH+](C)C)C1
ZINC04328267	CCSC1(SCC)[NH+]=C(N)C2(C#N)C(c3ccccc3)[NH2+]C(C)=C(C)C12C#N
ZINC04328532	CCSC1(SCC)[NH+]=C(N)C2(C#N)C(c3ccccc3)[NH2+]C3=C(CCC3)C12C#N
ZINC04363965	CC[NH+](CC)CCCC(C)Nc1c2cc(OC)ccc2[nH+]c2cc(Cl)c(N)cc12
ZINC02402212	[NH3+]CCCCNc1ncnc2c1sc1[nH+]c(N3CCOCC3)c3c(c12)CCC3
ZINC08635583	S=C(NCC[NH+]1CCOCC1)NCC1CC2CC[NH+]1CC2C[NH+]1CCCC1
ZINC09435887	CCSC1(SCC)[NH+]=C(N)C2(C#N)C(c3ccccc3)[NH2+]C3=C(CCCC3)C12C#N
ZINC11664404	COc1ccc(C[NH2+]CCSc2cn[nH]n2)cc1OCC(O)C[NH+]1CCCC1
ZINC12386480	C[NH+](CC(O)COc1ccccc1C[NH2+]CC1(O)CCCCC1)C1CCCCC1
ZINC12715558	C[NH+](C)CC(C)(C)C[NH2+]Cc1ccccc1OCC(O)C[NH+]1CCSCC1
ZINC12715829	OC(COc1ccccc1C[NH2+]CCc1cn[nH]c1)C[NH+]1CCc2ccccc2C1
ZINC13810544	CCCCSC1(SCCCC)[NH+]=C(N)C2(C#N)C(c3ccccc3)[NH2+]C3=C(CCCC3)C12C#N
ZINC19218146	C[NH+]1CCN(CC[NH2+]Cc2ccccc2OCC(O)C[NH+]2CCSCC2)CC1
ZINC19759109	CC[NH+]1CCN(CC(O)COc2cccc(C[NH2+]CCc3c(C)n[nH]c3C)c2)CC1
ZINC20343916	Cc1cc(=N)n(/C(Nc2ccc(F)c(Cl)c2)=[NH+]/C2CC(C)(C)[NH2+]C(C)(C)C2)s1
ZINC20515474	OCC[NH+](CCO)Cc1ccc(OCC(O)C[NH+]2CCc3ccccc3C2)cc1
ZINC21263853	CC1(C)CC(NC(=S)N(Cc2ccco2)C2CC(C)(C)[NH2+]C(C)(C)C2)CC(C)(C)[NH2+]1
ZINC05518854	Nc1c(/C=C\c2cc3cc(C4=[NH+]CCN4)ccc3o2)[nH]c2cc(C3=[NH+]CCN3)ccc12
ZINC12406238	Nc1nc(C[NH+]2CCN(c3cccc[nH+]3)CC2)nc(Nc2ccc(Cl)cc2)n1
ZINC39354746	OC(COc1ccccc1C[NH2+]CC1=CC(c2ccccc2)[NH+]=N1)C[NH+]1CCCCC1
ZINC32516110	COc1ccc(OCC(O)C[NH+](C)C)c(C[NH2+]CC2([NH+]3CCCCC3)CCCC2)c1
ZINC23358458	CC[NH+]1CCN(CC(O)COc2cccc(C[NH2+]CC3(O)CCCCC3)c2)CC1
ZINC39500621	CC1=C(CCN(C)C(=O)CN2N[NH2+]NC2C[NH+]2CCc3ccccc3C2)C(C)N=N1
ZINC39530978	Oc1ccccc1NCC(c1ccc(Cc2ccccc2)cc1)[NH+]1CC[NH2+]C(Cc2ccccc2)C1
ZINC39923307	CC[NH+]1C(SCC(=O)N/N=C\C2=c3ccccc3=[NH+]C2)NNC1c1ccc(C)cc1
ZINC40645284	CC1(C)CC(Nc2ncnc(NCCCn3cc[nH+]c3)c2[N+](=O)[O-])CC(C)(C)[NH2+]1
ZINC40720820	OCC[NH2+]CCC[NH2+]Cc1cc(Br)ccc1OCc1c(Cl)cccc1Cl
ZINC40720894	OCC[NH2+]CCC[NH2+]Cc1cc(Cl)ccc1OCc1ccc(F)cc1Cl
ZINC41207505	OCC[NH2+]CC[NH2+]Cc1ccc(-c2ccc(Br)cc2Br)o1
ZINC52566150	CCc1n[nH]c2ccc(-c3cncc(OCC([NH3+])CC4=c5ccccc5=[NH+]C4)c3)cc12
ZINC52627722	[NH3+]C(CNc1cncc(Nc2cccc3cnccc23)c1)CC1=c2ccccc2=[NH+]C1
ZINC52627941	[NH3+]C(COc1cncc(-c2ccc3c(=O)[nH]ccc3c2)c1)CC1=c2ccccc2=[NH+]C1
ZINC01719148	CC[NH+](CC)CCCC(C)Nc1cc(N)[nH+]c2nc(-c3ccc(F)cc3)cnc12
ZINC20906603	OC(COc1ccccc1C[NH2+]CC[NH+]1CCCCC1)C[NH+]1CCc2ccccc2C1
ZINC20917404	C[NH+](Cc1ccccc1)CC(O)COc1ccc(C[NH2+]CC[NH+]2CCCCC2)cc1
ZINC23469500	CC(O)C[NH2+]CC[NH2+]Cc1c(OCc2ccc(Cl)cc2Cl)ccc2ccccc12
ZINC23469532	CC(O)C[NH2+]CC[NH2+]Cc1cc(Br)ccc1OCc1ccccc1Cl
ZINC23471968	CCOc1cc(C[NH2+]CC[NH2+]CCO)cc(Br)c1OCc1ccccc1Cl
ZINC23471972	CCOc1cc(C[NH2+]CC[NH2+]CC(C)O)cc(Cl)c1OCc1ccccc1Cl
ZINC20874766	CCOc1cc(C[NH2+]CC[NH2+]CC(C)O)cc(Br)c1OCc1ccc(C)cc1
ZINC20876266	COc1cccc(C[NH2+]CC[NH2+]CC(C)O)c1OCc1ccc(F)cc1Cl
ZINC22937133	CCOc1cccc(C[NH2+]CC[NH2+]CCO)c1OCc1ccc(Cl)cc1Cl
ZINC59634738	CC(O)C[NH2+]CC[NH2+]Cc1ccc(-c2ccc(Br)cc2Br)o1
ZINC63295333	COc1ccc2c(c1)=C(CCNC(=O)C1NC(CC3=c4ccccc4=[NH+]C3)NO1)C[NH+]=2
ZINC63406082	O=C(N/[NH+]=c1\oc2cc(O)ccc2cc1C1[NH+]=c2ccccc2=[NH+]1)c1ccc([N+](=O)[O-])cc1
ZINC63514238	N#CC1=C(SCC2[NH+]=c3ccccc3=[NH+]2)NSC1SCC1[NH+]=c2ccccc2=[NH+]1
ZINC63619717	Clc1ccc(N2C(SCC3[NH+]=c4ccccc4=[NH+]3)NNC2c2cc[nH+]cc2)cc1
ZINC63766860	N#Cc1nc2c(nc1C#N)N(CCc1ccccc1)C([NH3+])C2C1[NH+]=c2ccccc2=[NH+]1
ZINC63796159	Cc1cc(NC(=O)CC2=[NH+]C(C(=O)NCCC3=c4cc(F)ccc4=[NH+]C3)ON2)no1
ZINC64428618	Cc1cccc(NC(=O)CSC2N=NC(C([NH3+])CC3=c4ccccc4=[NH+]C3)O2)c1C
ZINC64519967	Cc1ccc2c(c1)=[NH+]C(CNC(=O)C1NC(c3ccc([NH+]4CCC(C)CC4)cc3)=NO1)[NH+]=2
ZINC04199101	CCSC1(SCC)[NH+]=C(N)C2(C#N)C(c3ccccc3)[NH2+]C(C)=CC12C#N
ZINC04328272	CCSC1(SCC)[NH+]=C(N)C2(C#N)C(c3ccccc3)[NH2+]C(C)=C(C)C12C#N
ZINC04488659	CC1(C)Cc2c(c(N3CCOCC3)[nH+]c3sc4c(NCC[NH3+])ncnc4c23)CO1
ZINC04748026	COc1cc2[nH+]c3cc([N+](=O)[O-])ccc3c(NCC[NH2+]CC(C)O)c2cc1OC
ZINC05370755	Nc1ccc2c(NCCCCCCNc3c4ccccc4[nH+]c4cc(N)ccc34)c3ccccc3[nH+]c2c1
ZINC06576956	CCSC1(SCC)[NH+]=C(N)C2(C#N)C(c3ccccc3)[NH2+]C3=C(CCC3)C12C#N
ZINC09041041	CCCCSC1(SCCCC)[NH+]=C(N)C2(C#N)C(c3ccccc3)[NH2+]C3=C(CCC3)C12C#N
ZINC09317788	Nc1nc(C[NH+]2CCN(c3cccc[nH+]3)CC2)[nH]/c(=N\c2ccc(Cl)cc2)n1
ZINC11174251	CC1CC[NH+](Cc2nc(N3CC[NH2+]C(C(N)=O)C3)c3c4c(sc3n2)CCC4)CC1
ZINC12430293	C[NH+](C)CCOc1cccc(C[NH2+]CC2CC(CO)[NH+](C)C2c2ccccc2F)c1
ZINC12718779	OC(COc1cccc(C[NH2+]CCc2cn[nH]c2)c1)C[NH+]1CCc2ccccc2C1
ZINC13154434	CCSC1(SCC)[NH+]=C(N)C2(C#N)C(c3ccccc3)[NH2+]C(C)=CC12C#N
ZINC13732920	OCC[NH2+]CCC[NH2+]Cc1cc(Br)ccc1OCc1ccccc1F
ZINC13809964	CCSC1(SCC)[NH+]=C(N)C2(C#N)C(c3ccccc3)[NH2+]C3=C(CCCC3)C12C#N
ZINC08666538	CCCCSC1(SCCCC)[NH+]=C(N)C2(C#N)C(c3ccccc3)[NH2+]C(C)=CC12C#N
ZINC13146902	CCCCSC1(SCCCC)[NH+]=C(N)C2(C#N)C(c3ccccc3)[NH2+]C(C)=C(C)C12C#N
ZINC19790756	CC[NH+]1C(c2ccc(Cl)cc2)C(C[NH2+]Cc2cc(C#CCO)cs2)CC1(C)CO
ZINC20967572	CCCOc1c(Br)cc(C[NH2+]CCC[NH2+]CCO)cc1Br
ZINC21264048	C[NH+](C)CCCN(C(=S)NC1CC(C)(C)[NH2+]C(C)(C)C1)C1CC[NH+](C)CC1
ZINC13404833	CC1(C)C2CCC1(C)C([NH2+]C1=c3ccccc3=[NH+]C1=O)C2NC1=c2ccccc2=[NH+]C1=O
ZINC20436810	OC(C[NH2+]C1CCCCC1)CN1CCN(CC(O)C[NH2+]C2CCCCC2)CC1
ZINC39354748	OC(COc1ccccc1C[NH2+]CC1=CC(c2ccccc2)[NH+]=N1)C[NH+]1CCCCC1
ZINC39357991	CN(CC1C=C(c2ccccc2)N=N1)C(=O)CN1N[NH2+]NC1C[NH+]1CCCCCC1
ZINC40720705	COc1cccc(C[NH2+]CCC[NH2+]CCO)c1OCc1c(Cl)cccc1Cl
ZINC40720726	CC(C)Oc1c(Br)cc(Br)cc1C[NH2+]CCC[NH2+]CCO
ZINC40720818	Cc1ccccc1COc1ccc(Br)cc1C[NH2+]CCC[NH2+]CCO
ZINC40720826	OCC[NH2+]CCC[NH2+]Cc1cc(Br)ccc1OCc1ccc(Cl)c(Cl)c1
ZINC45300526	CC1C[NH2+]CCN1c1nc(Nc2cc[nH+]cc2)nc(NC2Cc3ccccc3C2)n1
ZINC45300774	CC1CN(c2nc(Nc3cc[nH+]cc3)nc(NC3Cc4ccccc4C3)n2)CC[NH2+]1
ZINC46569727	CC(=O)/[NH+]=c1/ccc2c(C[NH+](Cc3ccc(C(N)=O)cc3)C3CC3)cc(O)oc-2c1
ZINC29125961	Fc1ccc(-c2[nH]c(C3CC[NH+](CC4C[NH2+]CCN4)CC3)cc2-c2ccncc2)cc1
ZINC20779379	OC(COc1cccc(C[NH2+]CC[NH+]2CCCC2)c1)C[NH+]1CCc2ccccc2C1
ZINC23374733	C[NH+](Cc1ccccc1)CC(O)COc1ccc(C[NH2+]CC[NH+]2CCCC2)cc1
ZINC19330112	CC1(C)CC(NC[NH+](C2CC(C)(C)[NH2+]C(C)(C)C2)C2CC(C)(C)[NH2+]C(C)(C)C2)CC(C)(C)[NH2+]1
ZINC23469469	OCC[NH2+]CC[NH2+]Cc1c(OCc2ccc(Cl)cc2Cl)ccc2ccccc12
ZINC23469527	CC(O)C[NH2+]CC[NH2+]Cc1cc(Br)ccc1OCc1ccc(Cl)cc1Cl
ZINC23471945	CCOc1cc(C[NH2+]CC[NH2+]CCO)cc(Cl)c1OCc1ccc(Cl)cc1Cl
ZINC20874770	CCOc1cc(C[NH2+]CC[NH2+]CCO)cc(Br)c1OCc1ccc(C)cc1
ZINC63120173	C[NH+]1CCC(C[NH+](C)C(C[NH3+])c2cc(Br)c(Br)o2)CC1
ZINC63294745	O=C(NCCC1=c2cc(Cl)ccc2=[NH+]C1)C1NC(CC2=c3ccccc3=[NH+]C2)NO1
ZINC63406115	COc1cccc2cc(C3[NH+]=c4ccccc4=[NH+]3)/c(=[NH+]/C3SC4=C(CCCC4)C3C(N)=O)oc12
ZINC39279764	O=C([O-])c1ccc2c(c1)=[NH+]C(c1cccc(C3[NH+]=c4ccc(C(=O)O)cc4=[NH+]3)c1)[NH+]=2
ZINC63619721	Clc1ccc(N2C(SCC3[NH+]=c4ccccc4=[NH+]3)NNC2c2cc[nH+]cc2)cc1
ZINC63684149	CCc1ccccc1NC(=O)CSC1N=NC(C([NH3+])CC2=c3ccccc3=[NH+]C2)O1
ZINC63720162	Cc1ccc(C)c(NC(=O)CSC2N=NC(C([NH3+])CC3=c4ccccc4=[NH+]C3)O2)c1
ZINC63720227	[NH3+]C(CC1=c2ccccc2=[NH+]C1)C1NNC(SCc2c(F)cccc2Cl)O1
ZINC64083874	Oc1ccc(C2Nc3ccccc3S2)cc1C[NH2+]CCC1=c2ccccc2=[NH+]C1
ZINC64428623	Cc1cccc(NC(=O)CSC2N=NC(C([NH3+])CC3=c4ccccc4=[NH+]C3)O2)c1C
ZINC64451915	CC1CC[NH+](c2ccc(C3=NOC(C(=O)NCCC4[NH+]=c5ccccc5=[NH+]4)N3)cc2)CC1
ZINC64519973	Cc1ccc2c(c1)=[NH+]C(CNC(=O)C1NC(c3ccc([NH+]4CCC(C)CC4)cc3)=NO1)[NH+]=2
ZINC03085641	COCC1=C(C#N)C(SSC2[NH2+]C(C)=CC(COC)=C2C#N)[NH2+]C(C)=C1
ZINC04993718	Cn1c(=O)n(C)c2cc(C[NH2+]CCNc3cc[nH+]c4cc(Cl)ccc34)ccc21
ZINC05602867	CC1(C)CC([NH2+]CC(O)COC(c2ccccc2)c2ccccc2)CC(C)(C)[NH2+]1
ZINC01633630	CC[NH+](CC)CCCNc1[nH+]cc(C)c2c1c1ccc3c(O)cccc3c1n2C
ZINC11842979	COc1cccc(OC)c1C[NH2+]CC1CC(CO)[NH+](C)C1c1ccccc1F
ZINC11945365	OC(COc1ccc(C[NH2+]C2CCCCC2)cc1)C[NH+]1CCc2ccccc2C1
ZINC12075381	CC1(C[NH2+]Cc2cc(Cl)ccc2OCC(O)C[NH+]2CCCCCC2)COC1
ZINC12755120	OC(COc1ccccc1C[NH2+]Cc1ccccc1Cl)C[NH+]1CCCCC1
ZINC19083479	CC(C)(C)c1n[nH]cc1C[NH+]1CCC(O)(C[NH+]2CCc3ccccc3C2)CC1
ZINC19218014	C[NH+]1C(CO)CC(C[NH2+]CC(C)(C)CN2CCOCC2)C1c1ccccc1F
ZINC19635328	CC(C)[NH+]1CCC(N2CCN(Cc3c[nH]nc3C3CCCCC3)CC2CCO)CC1
ZINC20209178	Cc1nn(C(C)C)c(C)c1C[NH2+]CC1CC(CO)[NH+](C)C1c1ccccc1F
ZINC20865607	C[NH+]1C(CO)CC(C[NH2+]Cc2ccc(-c3ccco3)cc2)C1c1ccccc1F
ZINC22809905	CCc1cccc2c(C[NH2+]CC(c3cccs3)N3CC[NH+](C)CC3)c[nH]c12
ZINC25702461	Cc1c(O)ccc2c(C[NH2+]Cc3ccccc3C[NH+]3CCCCC3)cc(=O)oc12
ZINC39154789	COc1ccc(C2[NH+]=NC(NCCc3c[nH]c4ccc(Cl)cc34)=[NH+]C2=O)cc1
ZINC39253037	CCc1ccc2c(c1)=C1N=[NH+]C(N/N=C/c3cc(Cl)cc(OC)c3O)=NC1[NH+]=2
ZINC18066205	Oc1ccccc1/C=[NH+]/CCN(CC/[NH+]=C/c1ccccc1O)c1ccccc1
ZINC04744797	CC1(C)CC([NH2+]CC(O)COc2ccc(-c3ccccc3)cc2)CC(C)(C)[NH2+]1
ZINC52566137	[NH3+]C(COc1cncc(-c2cccc3cnccc23)c1)CC1=c2ccccc2=[NH+]C1
ZINC56937859	C[NH+](C)C(CNC(=O)NCC(c1ccco1)[NH+]1CCCC1)c1ccc(F)cc1
ZINC58329244	CC(CNC(=O)Nc1ccc(N2CCCCC2)[nH+]c1)[NH+]1CCc2sccc2C1
ZINC44344845	OC(C[NH2+]Cc1cn(-c2ccccc2)nc1-c1ccc(F)cc1)C[NH+]1CCCC1
ZINC63075045	CCOc1ccc2c(c1)SC(NC(=O)CSC1[NH+]=c3ccccc3=[NH+]1)N2
ZINC63075064	COc1ccc2c(c1)=[NH+]C(SCC(=O)NC1Nc3c(C)cccc3S1)[NH+]=2
ZINC63075068	COc1ccc2c(c1)=[NH+]C(SCC(=O)NC1Nc3c(C)cccc3S1)[NH+]=2
ZINC63075097	Cc1cccc2c1NC(NC(=O)CSC1[NH+]=c3ccc([N+](=O)[O-])cc3=[NH+]1)S2
ZINC63162908	c1coc(CN2C(SCC3[NH+]=c4ccccc4=[NH+]3)NNC2c2cccs2)c1
ZINC63162959	C=CCN1C(SCC2[NH+]=c3ccccc3=[NH+]2)NNC1c1ccc(Cl)cc1
ZINC63233092	Cc1ccc(C(=O)NC(=S)Nc2ccc(C3[NH+]=c4ccccc4=[NH+]3)cc2)c(C)c1
ZINC63303090	C[NH+](C)CCCNC(=O)CNC(=O)N1CCC2=c3cc(Cl)ccc3=[NH+]C2C1
ZINC63446531	c1ccc(C2NNC(SCC3[NH+]=c4ccccc4=[NH+]3)N2c2ccccc2)cc1
ZINC63465086	O=C(COc1ccc(Cl)cc1)NNC(=O)CSC1[NH+]=c2ccccc2=[NH+]1
ZINC63494670	CC1=C(CCC2=[NH+]C3=c4ccccc4=[NH+]C(NCCCOC(C)C)N3N2)C(C)N=N1
ZINC63494674	CC1=C(CCC2=[NH+]C3=c4ccccc4=[NH+]C(NCCCOC(C)C)N3N2)C(C)N=N1
ZINC39253038	CCc1ccc2c(c1)=C1N=[NH+]C(N/N=C/c3cc(Cl)cc(OC)c3O)=NC1[NH+]=2
ZINC63625138	CCC(=O)NC1Nc2cc(NC(=O)CCC3[NH+]=c4ccccc4=[NH+]3)ccc2S1
ZINC63625970	Cc1ccc2c(c1)SC(NC(=O)CSC1[NH+]=c3ccc([N+](=O)[O-])cc3=[NH+]1)N2
ZINC20353479	COc1ccc(C2[NH2+]CCc3nc[nH]c32)cc1CSC1=[NH+]C2CCCCC2N1
ZINC64074502	CC(NCC1[NH+]=c2ccc(F)cc2=[NH+]1)C1=CNN(c2ccc(F)cc2F)C1C
ZINC64085810	CC1=[NH+]C(CCCC(=O)Nc2nc(C3=c4ccccc4=[NH+]C3C)cs2)ON1
ZINC64097986	O=C(CSC1[NH+]=c2ccc([N+](=O)[O-])cc2=[NH+]1)NC1Nc2ccccc2S1
ZINC64162135	CCN(CC)c1ccc(/C=N/NC(=O)CSC2[NH+]=c3ccccc3=[NH+]2)c(O)c1
ZINC64612602	Cc1ccc2c(c1)=[NH+]C(CNc1ccc(C3NC(c4ccccc4)=NO3)nn1)[NH+]=2
ZINC64715620	CC([NH2+]CC(C1=c2ccccc2=[NH+]C1)C1CC=CS1)C(=O)Nc1ccccc1
ZINC65434673	CCNC(=O)C1CCC(C)(C(=O)NCCC2[NH+]=c3cccc(C)c3=[NH+]2)C1(C)C
ZINC67122369	CC1CC[NH+](CC(O)C[NH2+]CC2=Cc3cc(Br)ccc3OC2)CC1
ZINC67122402	CC1CC[NH+](CC(O)C[NH2+]Cc2ccc(-n3ccc(C(F)(F)F)n3)cc2)CC1
ZINC67122507	Cc1nn(-c2ccc(F)cc2)c(Cl)c1C[NH2+]CC(O)C[NH+]1CCC(C)CC1
ZINC67188119	CC(C)[NH+](C)Cc1ccccc1C[NH2+]Cc1c[nH]nc1-c1cc2ccccc2o1
ZINC08428555	C[NH+](C)Cc1ccc(C[NH2+]CC(O)COC2CCCc3ccccc32)cc1
ZINC08635804	O=C(NCC1CC2CC[NH+]1CC2C[NH+]1CCOCC1)Nc1ccc(F)cc1F
ZINC08635820	CCC1C[NH+]2CCC1CC2CNC(=O)C(=O)NCC1CC2CC[NH+]1CC2CC
ZINC10434685	CCOc1cc(C[NH2+]CC2CC[NH2+]CC2)cc(Br)c1OCC
ZINC12713732	CC(C)=CC[NH+]1CCNC(=O)C1CC(=O)N(C)C1CC(C)(C)[NH2+]C(C)(C)C1
ZINC14953372	C[NH+](C)CC(C)(C)CNC(=O)CC1C(=O)NCC[NH+]1Cc1ccc(F)cc1
ZINC20207660	OC(COc1ccc(C[NH2+]C2CCOCC2)cc1)C[NH+]1CCc2ccccc2C1
ZINC20454887	C[NH+]1C(CO)CC(C[NH2+]Cc2ccc(-n3cccn3)cc2)C1c1ccccc1F
ZINC20560774	CC[NH+]1C(c2ccc(Cl)cc2)C(C[NH2+]Cc2cccnc2)CC1(C)CO
ZINC20866423	C=CCn1cc(C[NH2+]CC2CC(C)(CO)[NH+](CC)C2c2ccc(Cl)cc2)c(C)n1
ZINC20875697	OCC[NH2+]CC[NH2+]Cc1ccc(-c2ccc(Br)cc2Cl)o1
ZINC25702862	CC[NH+](CC)Cc1ccccc1C[NH2+]Cc1cc(=O)oc2c(C)c(O)ccc12
ZINC37318492	CC([NH2+]C1CC[NH+](CC(N)=O)CC1)c1ccc(I)cc1
ZINC04969808	Cc1cc(N2CCOCC2)[nH+]c2ccc(NC(=S)NCC[NH+](C)C)cc12
ZINC39012381	O=S(=O)(/N=C1\N=c2ccccc2=[NH+]C1NCCO)c1cccc(Cl)c1
ZINC39143870	O=C1N=C(Nc2ccc(Nc3ccccc3)cc2)[NH+]=NC1c1ccc(F)cc1
ZINC32500572	CNC(=O)c1nn(C)c2c1CC([NH2+]CC1([NH+]3CCCCC3)CCCC1)CC2
ZINC32519487	Cc1cc2c(C)nc(N3CCC([NH2+]CC[NH+]4CCCC(O)C4)CC3)nc2cc1F
ZINC43262303	CCC([NH3+])C(c1ccc(Br)s1)[NH+](CC)CC(=O)NC(C)C
ZINC43287069	CCC([NH3+])C(c1cc(Br)cs1)[NH+](CC)CC(=O)NC(C)C
ZINC43527082	S=C(NCC1CC2CC[NH+]1CC2C[NH+]1CCCCC1)Nc1ccc(-n2cccn2)cc1
ZINC44166060	O=C(NCC[NH+]1CCCCC1)C1CSCC(c2ccc(F)c(F)c2)[NH2+]1
