ZINC03839681	CC(=O)NC1C=C(C(=O)NC(C)C(N)=O)CC(O)C1O
ZINC03845873	CC(C)C(O)C1(C)CCC(C(=O)[O-])C(C)(C)O1
ZINC19437914	Cc1ccc(NC(=O)C2CC2C)c(C(=O)[O-])c1
ZINC20332895	CCCC(=O)Nc1sc(C)cc1C(=O)[O-]
ZINC21950424	CCNc1snc(CC)c1C(=O)[O-]
ZINC21962610	CC1CC1C(=O)Nc1ccsc1C(=O)[O-]
ZINC26443900	Cc1ccc(/C=C/c2nnc(=S)[nH]c2[O-])cc1
ZINC27647085	OC1O[N-]SC1c1ccc(Cl)cc1
ZINC27647085	OC1ONSC1c1ccc(Cl)cc1
ZINC33421214	C/C(C(=O)[O-])=C(\C)C(=O)Nc1ccc(C)cc1C
ZINC35122484	Cc1ccc(NC(=O)/C=C/C(=O)[O-])c(Cl)c1
ZINC37088657	CC(C)Nc1ccc(F)c(C(=O)[O-])c1
ZINC37122277	O=C([O-])c1cc(NC2CCSC2)c(F)cc1F
ZINC37461370	O=C([O-])C1CC1C(=O)Nc1ccc(Cl)cc1
ZINC37461408	Cc1ccc(NC(=O)C2CC2C(=O)[O-])cc1
ZINC37517199	Cc1cc(C)c(NC(=O)C2CC2C(=O)[O-])c(C)c1
ZINC37517383	O=C([O-])C1CC1C(=O)Nc1ccc(F)c(F)c1F
ZINC37517846	O=C([O-])C1CC1C(=O)Nc1ccc2ccccc2c1
ZINC37624607	CCc1[nH]c(C)c(/C=C/C(=O)[O-])c1C
ZINC37732531	Cc1cc(C#N)ccc1NC1CCC(C(=O)[O-])CC1
ZINC00155089	N#Cc1c(C#N)c(O)c2ccccc2c1[O-]
ZINC38003834	O=C([O-])c1cc(NC(=O)C(F)(F)F)ccc1F
ZINC38152277	CC(C)(C)NC(=O)C1CCC(C)(C(=O)[O-])C1(C)C
ZINC04348006	N/C(=N/c1cccc[nH+]1)c1ccc(Cl)cc1
ZINC39109279	CC1=CC(O)(C(C)C(=O)[O-])CC(C)(C)C1
ZINC39293674	N#CC1CC(NC(=O)[O-])Cc2sccc21
ZINC41051820	CC(C)(C)C(Nc1ccc(F)cc1)C(=O)[O-]
ZINC42983058	Cc1nc([S-])sc1CC(=O)NCC1CC1C
ZINC43827562	O=C([O-])c1ccc2c(c1)NCCS2
ZINC44749872	Cc1cc(NC(=O)C2CC=CCC2)ccc1C(=O)[O-]
ZINC50290484	Cc1cc(C)cc(NC(=O)C2(C(=O)[O-])CCC2)c1
ZINC50292698	Cc1c(F)cccc1NC(=O)C1(C(=O)[O-])CCC1
ZINC50375245	COC1CCCC1Nc1nnc([S-])s1
ZINC50909467	O=C([O-])c1ccc(NCC2CC=CCC2)o1
ZINC51347378	CNC(=O)/C(C#N)=C(\[O-])c1ccccc1C
ZINC51631269	O=C([O-])C1CC1C(=O)NC1CCc2ccccc2C1
ZINC52264742	CC(C)C(C(=O)[O-])C(O)c1cc(F)ccc1F
ZINC52266708	CC(C)(C(=O)[O-])C(C)(O)c1ccc(F)cc1
ZINC52267168	CC1CC(C)(C)CC(O)(C(C)(C)C(=O)[O-])C1
ZINC52267760	CC(C)(C(=O)[O-])C(O)c1ccc2c(c1)CCO2
ZINC52293749	CC1CC1Nc1ccc(Cl)c(C(=O)[O-])n1
ZINC54188404	CC(C)(C)Nc1c(F)cccc1C(=O)[O-]
ZINC54399873	C=CCC(=O)Nc1ccc(F)c(C(=O)[O-])c1
ZINC57956262	CC(C)(C)c1ccc2c(c1)/C(=N\O)CC2C(=O)[O-]
ZINC44270029	Cc1ccc(NC(C)C(=O)[O-])cc1C(F)(F)F
ZINC54528767	Cc1cc(C(=O)[O-])ccc1NC1CC1C
ZINC62720971	CC(C)(C(=O)[O-])C(O)c1cc(F)c(F)c(F)c1
ZINC62762456	CC(C)(C)C1CCC(C(=O)[O-])C(O)C1
ZINC51971052	C/C(=N\Nc1ccc(F)c(F)c1)C(=O)[O-]
ZINC65347492	O=C([O-])c1ccc(-c2ccc(F)cc2O)cn1
ZINC15636549	Cc1ccc(C(=O)NNC(=O)c2ccc(N)cc2)cc1
ZINC00173309	CNC(=S)NNC(=O)c1ccc(O)cc1
ZINC12375641	N/C(CC(=O)Nc1ccccc1F)=N\O
ZINC20050845	Cc1ccc(NCC(=O)NC(N)=O)cc1C
ZINC20547639	CCC(C)NS(=O)(=O)c1ccc(O)c(N)c1
ZINC25886742	CCC(C)C(=O)Nc1ccc(NC(N)=O)cc1
ZINC14112879	CCC(NC(N)=O)C(=O)Nc1ccc(C)c(C)c1
ZINC37043177	Cc1ccc(C(=O)[O-])cc1NC(=O)C([NH3+])C(C)C
ZINC37338830	Cc1ccc(NC(=O)c2ccc(/C(N)=N/O)cc2)cc1
ZINC37907640	Cc1cc(C(N)=O)ccc1NC(C)c1cc[nH]n1
ZINC37933951	CCN(CC)c1cc(N)cc(S(N)(=O)=O)c1
ZINC37934173	CCCN(C)c1cc(N)cc(S(N)(=O)=O)c1
ZINC40367376	CC1CC1C(=O)Nc1ccc(/C(N)=N/O)cc1
ZINC40367459	N/C(=N/O)c1ccc(NC(=O)c2ccc(F)cc2)cc1
ZINC40370187	CCC(NC(=O)c1cc(C)cc(C)c1)/C(N)=N/O
ZINC40370211	CCC(NC(=O)c1cccc(C)c1C)/C(N)=N/O
ZINC40371789	Cc1ccc(CC(=O)NC/C(N)=N/O)cc1
ZINC40372230	CC(C)(C)CC(=O)NC1(/C(N)=N/O)CCCC1
ZINC40472836	CC([NH3+])(C(=O)Nc1ccccc1C(=O)[O-])C1CC1
ZINC41040805	CCCNC(=O)Nc1cc(C)c(N)cn1
ZINC41048206	Cc1c(N)cc(C(=O)OCC(N)=O)cc1F
ZINC42063601	CC(C)=CC(=O)Nc1ccc(NC(N)=O)cc1
ZINC42981874	CC1CC1CNC(=O)c1ccc(NC(N)=O)cc1
ZINC44783404	CC(C)CNC(=O)C1(/C(N)=N/O)CCCCC1
ZINC44833743	CC(C)C(C(=O)N1CCCC1C(N)=O)C(N)=S
ZINC44879165	CC(C(=O)NCC1CCCCC1C)/C(N)=N/O
ZINC45047573	CC1(NC(=O)c2ccc(/C(N)=N/O)cc2)CCCCC1
ZINC45730440	CCC(C)NC(=O)Nc1ccc(C(N)=O)cc1C
ZINC47870587	NC(=O)c1ccc(F)c(NC(=O)NC2CCCC2)c1
ZINC48838597	[NH3+]C1CCCCC1NC(=O)C1CC=CCC1C(=O)[O-]
ZINC49045738	Cc1ccc(F)c(NC(=O)CCNC(N)=O)c1
ZINC49201908	CC(C)C(C)NC(=O)Nc1ccc(C(N)=O)cc1
ZINC50036205	Cn1cc(Sc2cc(C(N)=O)c(N)cc2F)cn1
ZINC50202225	[NH3+]CC(=O)Nc1ccc(Br)cc1C(=O)[O-]
ZINC50227038	Cc1ccc(CNC(=O)C(C)(C)/C(N)=N/O)s1
ZINC50388950	Cc1ccc(C)c(C(=O)NC(C)C/C(N)=N/O)c1
ZINC51090419	N#Cc1c(F)cccc1NC(=O)c1ccc(NN)cc1
ZINC51093962	COC1CCCC1NC(=O)c1ccc(NN)cc1
ZINC51113350	CC1(C)CC1NC(=O)c1cc(NN)nc2ccccc12
ZINC51128208	CC(NC(=O)c1nc(NN)ccc1Cl)C1CC1
ZINC51638929	N#Cc1cc(NC(=O)c2ccccc2NN)ccc1F
ZINC51820206	Cc1cc(/C(N)=N/O)ccc1N(C)CC(C)O
ZINC52880779	CC(C)([NH3+])C(=O)NC(C)(C(=O)[O-])c1ccccc1
ZINC54216499	N#Cc1cccc(NC(=O)c2cccc(F)c2NN)c1
ZINC54412776	CCNC(=O)C(C)NC(=O)c1ccc(N)c(F)c1
ZINC41043251	CCCC(=O)NC1(/C(N)=N/O)CCCCC1
ZINC61122179	CCC(C(=O)Nc1ccc(F)c(C)c1)/C(N)=N/O
ZINC62716742	CCC(=O)Nc1ccc2sc(NN)nc2c1
ZINC62988970	N/C(=N\c1ccc(S(N)(=O)=O)cc1)c1ccccc1
ZINC63009954	CC(C[NH3+])C(=O)Nc1ccc(C(=O)[O-])cc1F
ZINC05558054	N#Cc1cccc(C(=O)NNC(=O)c2ccc(F)cc2)c1
ZINC01674577	COC1(c2ccccc2)Oc2ccccc2C(=O)C1(O)O
ZINC07011448	C=C1C2(C(=O)NNC(=O)c3ccncc3)CCC(C2)C1(C)C
ZINC20556263	Cc1c(N)cc(S(=O)(=O)N2CCOCC2)cc1Cl
ZINC24993073	CC(=O)Nc1cc(NC(=O)c2ccc(C#N)cc2)ccc1F
ZINC35102024	O=S(=O)(NC1CCC(O)CC1)c1ccc2c(c1)CCO2
ZINC36332179	Cc1ccc(C(=O)NC2CCS(=O)(=O)CC2)cc1O
ZINC36733856	Cc1n[nH]c(C)c1NC(=O)c1oc2ccc(F)cc2c1C
ZINC36736278	Cc1cc(S(=O)(=O)Nc2c(C)n[nH]c2C)c(C)s1
ZINC36869580	CN(c1ccc2scnc2c1N)C1CCS(=O)(=O)C1
ZINC20595523	O=S(=O)(Nc1ccc(F)cc1Cl)N1CCNCC1
ZINC37051460	CC(=O)Nc1ccc(NC2CCCc3c2cnn3C)cc1
ZINC37549038	Cc1ccc(NC(=O)c2cnn(C)c2C)c(C#CCO)c1
ZINC37929611	CC1CN(S(=O)(=O)c2cc(F)ccc2N)C(C)CO1
ZINC38680748	CC(C)(C)NC(=O)Nc1cc2c3c(c1)CCN3C(=O)CC2
ZINC38692086	C=CCNC(=O)Nc1cc2c3c(c1)CCC(=O)N3CCC2
ZINC40314810	CC1COCCN1S(=O)(=O)c1cc(N)c(F)cc1Cl
ZINC43389449	Cn1ncc2c1CCCC2NC(=O)Nc1ccc2c(c1)CCC2
ZINC43460677	CNC(=O)C(C)Oc1ccc2c(c1)OC(C)(C)CC2O
ZINC44262796	O=C1NC2(CCCC2)C(=O)N1CC(O)c1ccc(F)c(F)c1
ZINC48470586	Cc1ccc(NC(=O)NCC2CCS(=O)(=O)C2)cc1F
ZINC48475325	O=C(Nc1cc(Cl)ccc1F)NC1CCS(=O)(=O)C1
ZINC48726138	Cc1ccc(NC(=O)C(=O)N2CCCC(O)C2)cc1Cl
ZINC48727776	Cc1ccccc1C(C)NC(=O)NC1CCS(=O)(=O)C1
ZINC48729250	CCC1CCCCC1NC(=O)NC1CCS(=O)(=O)C1
ZINC48807141	CNC(=O)C1(NC(=O)c2ccnc(Cl)c2)CCCCC1
ZINC48954819	Cc1nnc(NC(=O)NC2CCc3c(F)cccc32)s1
ZINC49471442	CNC(=O)C1CCC(NC(=O)N2CC3CCC2C3)CC1
ZINC49520343	Cc1nc(C)c(C(=O)Nc2[nH]nc(C(F)(F)F)c2C)s1
ZINC49534570	Cc1nc(C)c(C(C)n2c(C)c(C)c3c(N)ncnc32)s1
ZINC50728250	CNc1ncc(C(=O)Nc2ncc(C)s2)cc1Cl
ZINC50843194	Cc1ccccc1C(C)(C)C(=O)N1CCOC(C(N)=O)C1
ZINC51995297	CC(C)(C)C(=O)N1CCCC1C(=O)NC1CCCCC1O
ZINC51996353	Cc1cn2c(CC(=O)NC3CCCCC3O)csc2n1
ZINC52003484	N#Cc1cccc(S(=O)(=O)NC2CCCCC2O)c1
ZINC58267240	COc1cc(C(=O)N2CC(C)CC(C)C2)cc(N)c1OC
ZINC58299359	Nc1ccc(N2CCN(C(=O)c3ccc(F)cc3)CC2)nc1
ZINC40677705	Nc1ccc(S(=O)(=O)N2CCOc3ccccc3C2)cc1
ZINC42118872	Cn1cc(NC2C(=O)Nc3c(F)ccc(Cl)c32)ccc1=O
ZINC61979807	CN(c1ccc(C#N)cc1)c1ccc(S(C)(=O)=O)cc1N
ZINC62172667	Cc1ccc2c(c1)C(O)C([NH+]1CCCC(C(=O)[O-])C1)CO2
ZINC62174424	Cc1cc(C)c2c(c1)OCC([NH+]1CCCC(C(=O)[O-])C1)C2O
ZINC62961609	CC(=O)Nc1ccc(NC2CCS(=O)(=O)C2)cc1Cl
ZINC64318794	CC1CCC2C(CCCN2C(=O)CNC(=O)NC2CC2)C1
ZINC51410116	CCn1ccc2cc(NC(=O)c3ccc(=O)[nH]c3)ccc21
ZINC45654769	O=C(NCC1CCS(=O)(=O)C1)NC1CCc2ccccc21
ZINC65515444	O=C(NCC(=O)N1CCCCC1)Nc1ccc(F)cc1
ZINC55085152	CC1CCC(CNC(=O)NC2CCS(=O)(=O)C2)CC1
ZINC66938700	C#Cc1cccc(/N=C2\NN=C(C)C(C(=O)NC)S2)c1
ZINC67353649	CC(C)NC(=O)Nc1cc(F)c(S(C)(=O)=O)c(F)c1
ZINC03874312	COC1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(C)COC21
ZINC04480185	O=C([O-])C1CC=C(Cl)CC1C(=O)Nc1cc([N+](=O)[O-])ccc1[O-]
ZINC04873560	O=C([O-])C1CC=C(Cl)CC1C(=O)Nc1cc([N+](=O)[O-])ccc1[O-]
ZINC02978719	Cc1cc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])c(C)o1
ZINC02046846	O=C([O-])C(=O)Nc1ccc(I)cc1C(=O)[O-]
ZINC01641182	O=C([O-])c1cc2cc(S(=O)(=O)[O-])ccc2cc1O
ZINC01672148	O=C([O-])c1cc2cccc(S(=O)(=O)[O-])c2cc1O
ZINC00799658	O=C([O-])c1cc(NS(=O)(=O)c2ccc3c(c2)OCCO3)cc(C(=O)[O-])c1
ZINC12428281	O=C([O-])CNc1c(C(=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
ZINC13027637	Cc1cc(C(=O)[O-])cc(S(=O)(=O)NC(C)C(=O)[O-])c1C
ZINC13169428	CSCC(=O)Nc1cc(C(=O)[O-])cc(C(=O)[O-])c1
ZINC13196986	COc1ccc(S(=O)(=O)Nc2cc(C(=O)[O-])cc(C(=O)[O-])c2)cc1NC(C)=O
ZINC13274657	O=C([O-])CCSCC(=O)Nc1cc(F)ccc1C(=O)[O-]
ZINC13274681	Cc1cccc(C(=O)[O-])c1NC(=O)CSC(C)C(=O)[O-]
ZINC13391624	CS(=O)(=O)c1ccccc1C(=O)Nc1cc(C(=O)[O-])ccc1C(=O)[O-]
ZINC13422216	CC(C)CNC(=O)NC(=O)COc1ccc(C(=O)[O-])cc1C(=O)[O-]
ZINC13469628	O=C([O-])C1C2C=CC(C2)C1C(=O)Nc1cc([N+](=O)[O-])ccc1[O-]
ZINC16525387	O=C([O-])c1cc(S(=O)(=O)[O-])c2ccccc2c1O
ZINC19836416	CC(O)C(NC(=O)c1cc(F)c(F)c([O-])c1F)C(=O)[O-]
ZINC21003621	O=C(CCCCl)Nc1cc(C(=O)[O-])cc(C(=O)[O-])c1
ZINC25501543	O=C([O-])c1ccc(NS(=O)(=O)c2ccc(N3CC(C(=O)[O-])CC3=O)cc2)cc1
ZINC25574051	Nn1c([S-])nnc1-c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-]
ZINC28477563	Cc1cc(C)[nH+]c(NC(P(=O)([O-])[O-])P(=O)([O-])O)c1
ZINC30727352	CC1(CO)OP(=O)([O-])OP(=O)([O-])OCC1O
ZINC31978942	O=C([O-])c1ccc(CNC(=O)C2C3C=CC(C3)C2C(=O)[O-])cc1
ZINC37587440	O=C([O-])c1ccc(F)c(NC(=O)c2cc([N+](=O)[O-])c[n-]2)c1
ZINC37792749	O=C(CC1(C(=O)[O-])CCCC1)Nc1ccc(C(=O)[O-])cc1
ZINC05673015	O=C([O-])CSCC(=O)Nc1ccc(C(=O)[O-])cc1
ZINC38664812	[NH-]C1=NC(=O)C2=NCN(C3OC4COP(=O)([O-])OC4C3O)C2=N1
ZINC13247420	C/C([O-])=N/S(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(F)c(C(=O)[O-])c2)cc1
ZINC13347287	O=C([O-])c1cccc(S(=O)(=O)Nc2cc(S(=O)(=O)N3CCCC3)ccc2[O-])c1
ZINC39899374	O=C([O-])C1CC=CCC1C(=O)Nc1c(O)cc(S(=O)(=O)[O-])c2ccccc12
ZINC13545961	[NH-]C1=NC(=O)C2=NCN(C3OC4COP(=O)([O-])OC4C3O)C2=N1
ZINC40827107	Cc1nc([O-])sc1S(=O)(=O)[N-]c1cc(C(N)=O)ccc1F
ZINC44935557	CC(NC(=O)N1CCC(C(=O)[O-])CC1)c1nnn[n-]1
ZINC44935621	CCC(C)C(NC(=O)NC(C)c1nnn[n-]1)C(=O)[O-]
ZINC44935957	CC(NC(=O)N1CCOC(C(=O)[O-])C1)c1nnn[n-]1
ZINC44935966	CC(NC(=O)N1CCOC(C(=O)[O-])C1)c1nnn[n-]1
ZINC50983158	CC(C)N/C([O-])=C(\C#N)C(=O)c1ccc([N-]S(=O)(=O)c2ccccc2)cc1
ZINC19418324	CSC(=S)N/N=C(\CCP(C)(=O)[O-])C(=O)[O-]
ZINC19418324	CSC(=S)N/N=C(/CCP(C)(=O)[O-])C(=O)[O-]
ZINC40829314	Cc1n[nH]c(C)c1S(=O)(=O)[N-]c1cccc(C(=O)[O-])c1C
ZINC58977179	O=C([O-])CC1S/C(=N\N=C\c2cc([N+](=O)[O-])cc(Br)c2[O-])NC1=O
ZINC15060918	C=C1C2CCC3C4(C)CC(O)CC(C(=O)[O-])(C(=O)[O-])C4CCC3(C2)C1O
ZINC60380307	O=C(Nc1nnn[n-]1)c1cccc(S(=O)(=O)[N-]c2ccc(Br)cc2)c1
ZINC09419101	CC1(C)CCC(=O)C(C2(O)C(=O)NC(=O)N=C2[O-])=C1[O-]
ZINC40268864	O=C([O-])c1ccc(NC(=O)C2CC(O)=Nc3nc4ccccc4n32)cc1
ZINC40268864	O=C([O-])c1ccc(NC(=O)C2CC([O-])=Nc3nc4ccccc4n32)cc1
ZINC62824861	CC(NC(=O)Nc1ccc(I)cc1C(=O)[O-])c1nnn[n-]1
ZINC62842146	CC1(C(=O)[O-])CCN(C(=O)c2cc([O-])[nH]c(=O)c2)CC1
ZINC62930667	NS(=O)(=O)c1cc([N-]S(=O)(=O)c2ccc(C(=O)[O-])cc2)ccc1Cl
ZINC63097350	CC(CC#N)N(C)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC24250635	CCCCNC(=O)NC(=O)C(C)[NH+]1CCC(C(N)=O)CC1
ZINC31971630	COCC(=O)Nc1ccc(Cl)c(NC(=O)CCC[NH3+])c1
ZINC36299133	CNC(=O)c1cc(S(=O)(=O)NCC([NH3+])CC(C)C)cn1C
ZINC36797349	C[NH+](CC(=O)Nc1cc(N)ccc1F)CC(=O)NC1CC1
ZINC36999549	CNS(=O)(=O)c1ccccc1NC(=O)CCCCC[NH3+]
ZINC37543345	CCCCCNC(=O)C(C)[NH+](CC(N)=O)C1CCNCC1
ZINC37613308	COc1ccc(S(N)(=O)=O)cc1NC(=O)C[NH2+]CC1CC1
ZINC37626883	[NH3+]CC(=O)NCC(=O)NC1CCCC(OCC(F)(F)F)C1
ZINC37629624	[NH3+]CC(=O)NCC(=O)Nc1ccc([N+](=O)[O-])cc1Br
ZINC37632438	CC(C)[NH2+]CCCC(=O)NCc1ccc(S(N)(=O)=O)cc1
ZINC37803625	CCCCN(C(=O)C([NH3+])CC(N)=O)C1CCS(=O)(=O)C1
ZINC39534516	CC(C)S(=O)(=O)c1ccc(C(CNO)N2CC[NH2+]C(O)C2)cc1
ZINC39775230	CC(=O)NC1NNC(CC(=O)N/N=C/C2=c3ccccc3=[NH+]C2)S1
ZINC40462132	COc1ccc(NC(=O)C([NH3+])CCSC)cc1OCCO
ZINC40463585	CSCCC([NH3+])C(=O)Nc1ccc(NS(C)(=O)=O)cc1
ZINC40501134	NC(=O)C[NH+]1CCC(NC(=O)NCC2COc3ccccc3O2)CC1
ZINC41598100	CC(CNC(=O)C(=O)Nc1ccccc1CC(N)=O)[NH+]1CCCC1
ZINC41681764	C[NH+](C)CCCCNS(=O)(=O)c1c(NN)nc2sccn12
ZINC41922486	C[NH+](CCCNC(=O)C(=O)Nc1ccc(C(N)=O)cc1)CC(F)(F)F
ZINC43217526	CCCCCCC(C)NC(=O)c1coc(C([NH3+])C(C)O)n1
ZINC43217852	CC(NC(=O)c1coc(C([NH3+])C(C)O)n1)c1cccc2ccccc12
ZINC44783904	C[NH+](C)CC(C)(C)CNC(=O)C1(/C(N)=N/O)CCOCC1
ZINC44786454	N/C(=N/O)C1(C(=O)NCC[NH+]2CCCCC2)CCOCC1
ZINC45089469	NS(=O)(=O)CCCNS(=O)(=O)CCC1CC[NH2+]CC1
ZINC45118472	CNS(=O)(=O)c1ccc(NCCc2[nH+]ccn2C)c(N)c1
ZINC46737161	Cc1ccccc1C(=O)NCCC(=O)NC1CC[NH+](CC(N)=O)CC1
ZINC46763168	CC1CC(C)C[NH+](CCCCNC(=O)NNC(=O)C(=O)NC2CC2)C1
ZINC47998778	CC[NH+](CC)C(C)CNC(=O)C(=O)Nc1sccc1C(N)=O
ZINC48744404	C[NH+](C)C1(CNC(=O)C(=O)Nc2ccc(C(N)=O)cc2)CCCC1
ZINC49186532	CC(C[NH+]1CCCC1)NS(=O)(=O)c1ccc(NN)nc1
ZINC49786561	CC(C)(CNC(=O)NNC(=O)C(=O)NC1CC1)[NH+]1CCCCC1
ZINC49896723	COc1ccc(OCC(=O)NNC(=O)C([NH3+])C(C)C)cc1
ZINC51062103	CCCCNC(=O)C1CCC[NH+](C(C)C(=O)NC(N)=O)C1
ZINC52808998	COCCC([NH3+])C(=O)N(CC(N)=O)Cc1ccc(Br)cc1
ZINC54266328	CC[NH2+]CCNS(=O)(=O)c1ccc(OC)c(C(N)=O)c1
ZINC54307503	NS(=O)(=O)c1cccc(CNC(=O)CC2CCC[NH2+]C2)c1
ZINC55031217	CC(=O)NCCNC(=O)C[NH+]1CCC(NC(=O)Nc2ccccc2)CC1
ZINC56215225	CC(Nc1ccc(CC(=O)N2CC[NH+](C)CC2)cc1)C(=O)NC(N)=O
ZINC61470715	NC(=O)NCc1ccc(C(=O)NCCCn2cc[nH+]c2)cc1
ZINC58289770	CCOCCCNC(=O)C1CC[NH+](CCC(=O)NC(N)=O)CC1
ZINC63171115	CNS(=O)(=O)c1ccc(S(=O)(=O)NCCC(C)[NH3+])cc1
ZINC63171684	CNS(=O)(=O)c1ccc(NCCC(C)[NH3+])c([N+](=O)[O-])c1
ZINC65253866	CCCCNC(=O)C1CCC[NH+](C(C)C(=O)NC(N)=O)C1
ZINC65470055	Cc1ccc(C(CNC(=O)NNC(=O)C(=O)NC2CC2)[NH+](C)C)cc1
ZINC65594784	CCCCC(NC(N)=O)C(=O)NCCCn1cc[nH+]c1C
ZINC65910087	C[NH+](C)CCNC(=O)c1cccc(NC(=O)CNC(=O)NC2CC2)c1
ZINC67086493	CC(=O)NCCNC(=O)NCc1cccc(C(=O)NCC[NH+](C)C)c1
ZINC67497221	Cc1ccc(NC(=O)C(=O)NCc2cc[nH+]c(N(C)C)c2)cc1C(N)=O
ZINC67558612	Cc1ccc(NC(=O)C(=O)NC(C)CC[NH+](C)C)cc1C(N)=O
ZINC67622218	CCS(=O)(=O)NCCNC(=O)NCC(O)C[NH+]1CCC(C)CC1
ZINC00077695	CC1=C(C(=O)OC(C)C)C(c2ccc(F)cc2)C(C#N)=C(N)O1
ZINC01755647	CCc1ccccc1NC(=O)Nc1ccc(N(C)C(C)=O)cc1
ZINC05692899	CN(C)c1cccc(C(=O)NNC(=O)C23CC4CC(CC(C4)C2)C3)c1
ZINC08353215	O=C(CC12CC3CC(CC(C3)C1)C2)NNC(=O)c1ccc(Cl)nc1
ZINC00359638	Cc1ccc(C(=O)NC(=S)Nc2nc(C)cc(C)n2)c(Cl)c1
ZINC09040422	Cc1ccc(N2CC(CNC(=O)Nc3ccc(F)cc3)CC2=O)cc1
ZINC09368109	Cc1cc(NC(=O)C(C)Nc2ccc(Br)c(C)c2)no1
ZINC09686506	Cc1cc(C)cc(NS(=O)(=O)c2ccc(-c3cc(C)n[nH]3)s2)c1
ZINC09915326	COc1ccc(C)cc1NC(=O)C(=O)Nc1ccc(F)c(Cl)c1
ZINC09977296	CC(C)C(NC(=O)Nc1ccccc1F)c1ccc2c(c1)OCCO2
ZINC11990414	CC(=O)Nc1ccc(Nc2nc(C(F)(F)F)nc3ccccc23)cc1
ZINC12561978	CC(=O)N1CCc2cc(NC(C)C(=O)Nc3ccccc3C)ccc21
ZINC05266148	CCn1cc(NC(=O)Nc2ccc(N(C)C)cc2)c2ccccc21
ZINC15469658	CC(C)=CC(=O)NNC(=O)c1sc(-c2ccccc2)nc1C
ZINC16753685	CC(=O)Nc1ccc(NC(=O)Cc2coc3cc(C)cc(C)c23)cc1
ZINC13325009	Cc1cccc(NC(=O)Nc2ccc(CN3CCOCC3)cc2)c1C
ZINC24039801	CNC(=O)c1cccc(NC(=O)Cc2coc3c(C)c(C)ccc23)c1
ZINC18180044	Cc1ccc(NC(=O)NCC(C)(C)N2CCOCC2)cc1Cl
ZINC26994103	CC1CCC(NC(=O)C(C)Nc2ccc3c(c2)OCCCO3)CC1
ZINC29044771	O=C(NNS(=O)(=O)c1cccc(Cl)c1Cl)C1CCCC1
ZINC31731499	O=C(Nc1ccc(CC(=O)N2CCCC2)cc1)Nc1ccccc1F
ZINC34716205	CCNC(=O)N1CC(C(=O)NC2CC2)CC(c2ccc(F)c(C)c2)C1
ZINC39551592	O=C(Nc1cccc2cn[nH]c12)c1ccc(OC(F)(F)F)cc1
ZINC43230003	CC(C)c1ccccc1NC(=O)NC(C)c1ccc2c(c1)OCCO2
ZINC43323678	Cc1ccc(NC(=O)N(C)CC(=O)Nc2ccccc2)c(F)c1
ZINC48475107	CCCC(C)NC(=O)Nc1cc2c(cc1Br)OCCO2
ZINC49044263	COc1ccc(C(=O)Nc2cc(C(C)C)n[nH]2)cc1Br
ZINC49504434	O=C(NCC1COC2(CCCC2)O1)Nc1ccccc1C(F)(F)F
ZINC50850660	NC(=O)C1CN(C(=O)c2ccccc2SC(F)(F)F)CCO1
ZINC04707434	C/C(=N\S(=O)(=O)c1ccc(Cl)cc1)Nc1ccc(O)cc1
ZINC51582450	CCCNC(=O)C1CCCN(C(=O)Nc2ccc(C)c(C)c2)C1
ZINC51583120	CCCNC(=O)C1CCCN(C(=O)Nc2ccc(C)cc2Cl)C1
ZINC51615089	CCCNC(=O)C1CCCN(C(=O)Nc2ccc(Cl)c(F)c2)C1
ZINC51796532	CC(c1ccc(S(N)(=O)=O)cc1)N(C)c1nc2ccccc2s1
ZINC06537159	Cc1ccc2nc(SCC(=O)Nc3ccc(Cl)cn3)[nH]c2c1
ZINC52840799	CN(Cc1ccc(Br)cc1)c1ccc([N+](=O)[O-])cc1N
ZINC55091045	Cc1cnn(C(C)C2CC2)c1NC(=O)c1ccc2[nH]c(C)c(C)c2c1
ZINC55328893	Cc1ccc(NC(=O)C(=O)NC(C)c2oc3ccccc3c2C)cc1
ZINC04905352	O=C(/C=C\Nc1cc(Cl)ccc1O)c1ccc2c(c1)OCO2
ZINC57497934	CC(=O)Nc1ccc(C)c(NS(=O)(=O)c2ccc(C)cc2C)c1
ZINC24691024	N#Cc1ccc(NC(=O)NCC2CCN(c3ccccc3)C2)cc1
ZINC15122763	O=C(CNc1ccc(Cl)cc1F)Nc1ccc2c(c1)OCO2
ZINC54273109	CS(=O)(=O)NC1(C(=O)NC2CCCCCCC2)CCCCC1
ZINC43155946	CCc1cccc(C)c1NC(=O)NC(C)c1ccc2c(c1)OCO2
ZINC61886445	CC(=O)Nc1cc(NC(=O)c2occc2-c2ccccc2)ccc1C
ZINC31952126	CCOc1cc(/C=N\N=c2/[nH]ccs2)cc(Br)c1O
ZINC63821620	Cc1ccc(C)c(C(C)NC(=O)C(=O)Nc2cc(C#N)ccc2C)c1
