ZINC02741019	CCOc1cc(C[NH2+]CCO)cc(I)c1OCc1ccccc1
ZINC12156449	C=C(C)C1CC=C(C[NH+]2CCC(C3(CCC(C)C)NC(=O)NC3=O)CC2)CC1
ZINC12190846	Oc1ccc(Cl)cc1C[NH+]1CCOc2c(O)cc(-c3cccs3)cc2C1
ZINC12281169	O=c1c2c3c(sc2ncn1CCc1c[nH]c2ccccc12)CC([NH2+]CC1CC1)CC3
ZINC12329855	OC(C[NH+]1CCC2(CC1)CC(O)c1ccc3ccccc3c1O2)c1ccc(Cl)cc1
ZINC12372930	O=C(CC1C(=O)NCC[NH+]1Cc1ccc(F)cc1)NC12CC3CC(CC(C3)C1)C2
ZINC12575101	Oc1cccc(C2c3[nH]c4ccccc4c3CC[NH+]2Cc2ccc3c(c2)OCCO3)c1
ZINC15015711	C=CCOc1cccc(C(Nc2cccc(C)[nH+]2)c2ccc3cccnc3c2O)c1
ZINC16386202	O=[N+]([O-])c1ccc(NCC[NH2+]Cc2cccc(Br)c2)c(Cl)c1
ZINC20271051	Oc1ccc(C[NH+]2CCOc3c(O)cc(-c4nc5ccccc5s4)cc3C2)cc1
ZINC20480653	[NH3+]C(c1cccc(I)c1)c1cc(Cl)cc([N+](=O)[O-])c1
ZINC22635897	CC[NH+]1CCc2c(sc3c2C(O)=NC(c2ccc(-c4ccc(Cl)cc4)o2)N3)C1
ZINC27528762	O=C1CC(CNc2ccc(CC[NH2+]C3CCCCC3)cc2)C2(CCCCC2)O1
ZINC36204654	Cc1sc2nc(C[NH+](CC(O)Cc3ccccc3)C3CCCCC3)[nH]c(=O)c2c1C
ZINC36206458	C=CC(C)(O)C[NH+](Cc1nc2scc(-c3ccc(C)cc3C)c2c(=O)[nH]1)C(C)C
ZINC36962062	COc1cc(OC)cc(C([NH3+])c2cc(Br)sc2Br)c1
ZINC37719895	CCOc1cc(CC[NH3+])cc(Br)c1OCc1ccc(Br)s1
ZINC04667021	Cc1cc(C)c(S(=O)(=O)NC2CC(C)(C)[NH2+]C(C)(C)C2)cc1Br
ZINC39371741	CN1c2ccccc2NC1C1c2[nH]c3ccccc3c2CC[NH+]1Cc1ccco1
ZINC43031111	CCC([NH3+])C(Oc1ccccc1I)c1cccc(OC)c1
ZINC43290597	CCC([NH3+])C(Sc1nc2ccccc2o1)c1cc(Br)cs1
ZINC43548210	C=CCNc1[nH+]c2c(s1)CC1(C)CCC(C(C)C(=O)N(C)CC=C)C(O)C1C2C
ZINC43619885	CC(C)CCC1(C2CC[NH+](CC3=CCC4CC3C4(C)C)CC2)NC(=O)NC1=O
ZINC44164205	O=C(NCCc1ccc(Cl)cc1)C1CSCC(c2ccc(Cl)cc2)[NH2+]1
ZINC44167408	O=C(NCCc1ccc(Cl)cc1Cl)C1CSCC(c2ccc(F)cc2)[NH2+]1
ZINC44169667	O=C(NCc1cccc2ccccc12)C1CSCC(c2ccc(Cl)cc2)[NH2+]1
ZINC38790395	CC(C)c1ccc2c(c1)=CC(CNc1ccc(N3CCCC(O)C3)cc1)C(=O)[NH+]=2
ZINC58829089	CC(C)c1cccc(C(C)C)c1NC(=O)NCC(c1cccs1)[NH+]1CCCC1
ZINC63280125	COc1ccc(C2N/C(=C\C(=O)NCCC3=c4cc(Cl)ccc4=[NH+]C3)CS2)cc1
ZINC63281538	COc1ccc2c(c1)=C(CCNC(=O)/C=C1/CSC(c3ccc(Cl)cc3)N1)C[NH+]=2
ZINC38582909	CCCc1[nH]n(C2Nc3ccccc3S2)c(=O)c1/C=[NH+]/CCc1ccccc1
ZINC38582912	CCCc1[nH]n(C2Nc3ccccc3S2)c(=O)c1/C=[NH+]/CCc1ccccc1
ZINC63698428	Cc1cc(NC(=O)C2C=c3ccccc3=[NH+]2)ccc1C1Nc2ccccc2S1
ZINC63829853	CC1=C(CC(=O)NCC(C2=c3ccccc3=[NH+]C2)c2ccccc2Cl)C(C)ON1
ZINC64723214	CC1=C(CCC(=O)NCCC2=c3ccccc3=[NH+]C2)C(C)N(c2ccccc2)N1
ZINC65330790	O=C([O-])c1ccc(N2CC(C[NH2+]CCC3=c4ccccc4=[NH+]C3)c3ccccc32)s1
ZINC65330791	O=C([O-])c1ccc(N2CC(C[NH2+]CCC3=c4ccccc4=[NH+]C3)c3ccccc32)s1
ZINC66214345	O=C(C[NH2+]CCC1=CCCCC1)Nc1ccc(I)cc1
ZINC02060243	CCOC(=O)c1c(NCc2cc(Cl)cc(Cl)c2O)sc2c1CCCC2
ZINC04719391	O=C(NCCCNC(=O)C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2
ZINC01175997	Cc1ccc(S(=O)(=O)Nc2ccccc2CNc2ccc(Br)cc2)cc1
ZINC02281966	Cc1ccc(S(=O)(=O)Nc2ccccc2C(O)c2ccc(Br)cc2)cc1
ZINC02841005	N#Cc1c(NC(=S)NC(=O)c2ccc(Cl)cc2Cl)sc2c1CCCCC2
ZINC02071608	N#Cc1c(NC(NC(=O)c2ccccc2)C(Cl)(Cl)Cl)sc2c1CCCC2
ZINC03627163	Cc1nc2sc(C(=O)N(Cc3ccccc3)Cc3ccccc3)c(N)c2c(C)c1Cl
ZINC09092519	Nn1c(SCc2ccccc2C(F)(F)F)nnc1-c1ccccc1Br
ZINC09251134	O=C(NCc1c(-n2cccc2)sc2c1CCCC2)Nc1cccc(Br)c1
ZINC06195409	Cc1ccc(NC(=S)N(Cc2cc3ccc(C)c(C)c3[nH]c2=O)C2CCCC2)c(C)c1
ZINC13568544	CC(C)Oc1ccccc1C1Nc2ccccc2NC2=C1C(=O)CC(c1cccs1)C2
ZINC13568681	CC(C)Oc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2cccs2)C3)cc1
ZINC13642806	CCNC(=O)c1cccc2c1NC(c1ccc3c(c1)c1ccccc1n3CC)C1CC=CC21
ZINC13642813	CCNC(=O)c1cccc2c1NC(c1ccc3c(c1)c1ccccc1n3CC)C1CC=CC21
ZINC13645344	Cc1ccsc1C1Nc2ccc(S(=O)(=O)NC3CCCCC3)cc2C2C=CCC21
ZINC13645354	Cc1ccsc1C1Nc2ccc(S(=O)(=O)NC3CCCCC3)cc2C2C=CCC21
ZINC14458484	Cc1ccc(C2Nc3ccc(S(=O)(=O)NCc4ccccc4)cc3C3C=CCC32)cc1
ZINC14461177	CCOCCOc1ccc2c(c1)C1C=CCC1C(c1cc(Br)ccc1O)N2
ZINC14467966	CCN(CC)C(=O)c1ccc2c(c1)C1C=CCC1C(c1cc(Cl)cc(Cl)c1O)N2
ZINC14477044	C=CCNS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1cccc(Cl)c1Cl)N2
ZINC14551936	CSc1ccc(C2Nc3ccc(S(=O)(=O)NC(C)(C)C)cc3C3C=CCC32)cc1
ZINC14552226	CCC(C)NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(SC)cc1)N2
ZINC20111542	Brc1ccc(OCc2ccccn2)c(C2NCCc3c2[nH]c2ccccc32)c1
ZINC20459292	CC(C)N1C=C(Cc2ccc(F)cc2)C2=C(C1)C(c1ccc(F)cc1)C(C#N)=C(N)O2
ZINC20680058	Oc1ccc(C2Nc3ccc(OCCOc4ccccc4)cc3C3C=CCC32)cc1
ZINC20694407	COc1cccc(C2Nc3ccc(OCc4ccccc4)cc3C3C=CCC32)c1O
ZINC20701948	CCN(CC)C(=O)c1ccc2c(c1)C1C=CCC1C(c1cc(Cl)cc(Cl)c1O)N2
ZINC20714336	Cc1ccccc1C1Nc2ccc(S(=O)(=O)NCc3ccccc3)cc2C2C=CCC21
ZINC20720775	CCN(C(=O)c1cccc2c1NC(c1c[nH]c3ccccc13)C1CC=CC21)c1ccccc1
ZINC20750122	C=CCNS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1c(Cl)cccc1Cl)N2
ZINC20759454	CCC(C)NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(SC)cc1)N2
ZINC20764119	COc1cccc(C2CC(c3ccc(Cl)cc3)=NC(c3ccccc3Cl)N2)c1O
ZINC20764329	CCOc1cccc(C2CC(c3ccc(Cl)cc3)=NC(c3ccccc3F)N2)c1O
ZINC20764644	CCOc1ccc(C2=NC(c3ccccc3F)NC(c3cc(Cl)ccc3O)C2)cc1
ZINC20910773	CC(=O)Nc1ccc(CN2CCc3c([nH]c4ccccc34)C2c2ccccc2F)s1
ZINC20910777	CC(=O)Nc1ccc(CN2CCc3c([nH]c4ccccc34)C2c2ccccc2F)s1
ZINC24729385	O=C(NC(Cc1ccccc1)c1nc2ccccc2[nH]1)c1ccc(Br)s1
ZINC32929274	Cc1c(Br)cc(NCC(=O)N/N=C2/CCCCC2C)cc1Br
ZINC12890492	Cc1ccc(-c2c(C)sc3nc(CNC(C)c4ccc(F)c(F)c4)[nH]c(=O)c23)cc1
ZINC16688261	CCOC1=C/C(=C/NNc2c(F)c(F)c(C(F)(F)F)c(F)c2F)C=C(Cl)C1=O
ZINC38870108	Cc1ccc2[nH]c(=O)cc(CSC3Nc4cc(C(F)(F)F)ccc4N3C3CC3)c2c1
ZINC39324534	CCCN1CC2=C(OC(N)=C(C#N)C2c2ccccc2F)/C(=C/c2ccccc2F)C1
ZINC03239110	O=C(NNC1=CC(c2ccccc2)Oc2ccccc21)c1ccccc1Br
ZINC54200424	CCC(C)c1ccc(NC(c2cccnc2)c2ccc3ccc(C)nc3c2O)cc1
ZINC54620329	Oc1c(C(Nc2cc(Cl)c(Cl)cc2Cl)c2cccnc2)ccc2cccnc12
ZINC54621572	Cc1ccc2ccc(C(Nc3cc(Cl)cc(Cl)c3)c3ccncc3)c(O)c2n1
ZINC53363604	COc1cccc(C2CC(c3ccc(Cl)cc3)=NC(c3ccc(Cl)cc3)N2)c1O
ZINC59115605	Cc1ccc(NC(=S)N2CCN(C(=S)Nc3ccc(C)cc3C)C(C)C2)c(C)c1
ZINC59116547	Cc1ccc(S(=O)(=O)Nc2ccc(CNc3ccc(Br)cc3)cc2)cc1
ZINC14092802	Cc1ccc(-c2csc3[nH]c(CNC(C)c4ccc5c(c4)CCCC5)nc(=O)c23)s1
ZINC02316569	N#Cc1c(NC(=S)NC(=O)c2ccc(Br)cc2)sc2c1CCCCCC2
ZINC09251094	CC(NC(=O)Nc1cccc(Br)c1)c1c(-n2cccc2)sc2c1CCCC2
ZINC00756761	Nc1c(C(=O)OCc2ccccc2)sc2nc3c(c(-c4cccs4)c12)CCCC3
ZINC03671904	C=CCSC1=NC2(CC(c3ccccc3)c3cc(Cl)c(O)cc3O2)CC(C)(C)N1
ZINC03671902	C=CCSC1=NC2(CC(c3ccccc3)c3cc(Cl)c(O)cc3O2)CC(C)(C)N1
ZINC01176919	Nc1nc(SCC(=O)c2ccc(Br)cc2)nc2sc3c(c12)CCCCC3
ZINC02996000	O=C(CNc1ccc(I)cc1)N/N=C/c1ccc(Cl)cc1Cl
ZINC01230592	CCOc1cc(Br)c(Br)c(/C=N/c2cc(C)cc(C)c2O)c1O
ZINC13979322	CC(Oc1ccc(Cl)cc1Cl)C(=O)NC(=S)Nc1ccc(Cl)cc1Cl
ZINC14271469	Cc1sc(NC(=S)NC(=O)c2sc3cc(Cl)ccc3c2Cl)c(C#N)c1C
ZINC14461133	Oc1ccc(Br)cc1C1Nc2ccc(OCC3CCCO3)cc2C2C=CCC21
ZINC14462856	CC(C)c1ccc(C2Nc3ccc(S(=O)(=O)NC(C)(C)C)cc3C3C=CCC32)cc1
ZINC14462860	CC(C)c1ccc(C2Nc3ccc(S(=O)(=O)NC(C)(C)C)cc3C3C=CCC32)cc1
ZINC14464750	O=S(=O)(NC1CCCCC1)c1ccc2c(c1)C1C=CCC1C(c1ccc(Cl)cc1)N2
ZINC14465796	O=S(=O)(NC1CCCCC1)c1ccc2c(c1)C1C=CCC1C(c1ccccc1Cl)N2
ZINC14465798	O=S(=O)(NC1CCCCC1)c1ccc2c(c1)C1C=CCC1C(c1ccccc1Cl)N2
ZINC14467889	Oc1c(Cl)cc(Cl)cc1C1Nc2c(OCC3CCCO3)cccc2C2C=CCC21
ZINC14478491	Cc1ccccc1C1Nc2ccc(S(=O)(=O)NCCc3ccccc3)cc2C2C=CCC21
ZINC14548601	Cc1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2cccs2)N3)c(C)c1
ZINC14548705	Cc1cccc(C)c1NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1cccs1)N2
ZINC14548707	Cc1cccc(C)c1NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1cccs1)N2
ZINC14549678	Cc1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(F)cc2)N3)c(C)c1
ZINC14549680	Cc1cc(C)cc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(F)cc2)N3)c1
ZINC14549758	Cc1cccc(C)c1NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(F)cc1)N2
ZINC14549759	Cc1cccc(C)c1NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(F)cc1)N2
ZINC14549760	Cc1cccc(C)c1NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(F)cc1)N2
ZINC20355261	Cc1ccc(/C=C2/Sc3ccc(C(=O)NC(C)CCc4ccccc4)cc3NC2=O)cc1
ZINC20694819	O=S(=O)(NC1CCCCC1)c1ccc2c(c1)C1C=CCC1C(c1cccc(Cl)c1)N2
ZINC20701883	Oc1c(Cl)cc(Cl)cc1C1Nc2c(OCC3CCCO3)cccc2C2C=CCC21
ZINC20752846	Cc1cccc(C)c1NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1cccs1)N2
ZINC21239715	CCOc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cc(F)ccc2F)cc1
ZINC21239721	CCOc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cc(F)ccc2F)cc1
ZINC21239732	CCOc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cc(F)ccc2F)cc1
ZINC21246050	CC(C)COc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2cccs2)C3)cc1
ZINC32398628	CC(C)(NC(=O)CCNC(=O)C12CC3CC(CC(C3)C1)C2)c1ccc(Br)cc1
ZINC34953486	CCN1CC2=C(OC(N)=C(C#N)C2c2ccccc2C(F)(F)F)/C(=C\c2ccccc2)C1
ZINC39126559	CC(C)(C)NC1=C(c2ccc(Br)cc2)C(C#N)C(c2c[nH]c3ccccc23)O1
ZINC39315551	CCN1CC2=C(OC(N)=C(C#N)C2c2ccccc2C(F)(F)F)/C(=C\c2ccccc2)C1
ZINC40892959	CCC12CC(O)C(O)(c3ccccc3)CC1CCc1cc(OCc3cccnc3C)ccc12
ZINC41090574	CCC1=Nc2sc(CC)cc2C(SCC(=O)Nc2cc(Cl)ccc2Cl)N1
ZINC47136585	O=C1OC(NCC(c2ccc(Br)cc2)c2c[nH]c3ccccc23)c2ccccc21
ZINC47136591	O=C1OC(NCC(c2ccc(Br)cc2)c2c[nH]c3ccccc23)c2ccccc21
ZINC47136594	O=C1OC(NCC(c2ccc(Br)cc2)c2c[nH]c3ccccc23)c2ccccc21
ZINC54620353	Oc1c(C(Nc2cc(Cl)c(Cl)cc2Cl)c2ccco2)ccc2cccnc12
ZINC54620374	Cc1ccc2ccc(C(Nc3cc(Cl)c(Cl)cc3Cl)c3ccccn3)c(O)c2n1
ZINC58845663	Cc1ccc(C2Nc3ccc(S(=O)(=O)Nc4ccccc4C)cc3C3C=CCC32)cc1
ZINC58846064	CCc1ccccc1NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccccc1F)N2
ZINC58846610	Cc1cc(C)cc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(F)cc2)N3)c1
ZINC59294118	O=C(/C=C/c1ccc(-c2ccccc2)o1)NC(=S)Nc1ccc2c(c1)Cc1ccccc1-2
ZINC59471568	O=C(N/N=C/c1ccc(Cl)cc1)c1ccc(C2Nc3ccccc3C3C=CCC32)cc1
ZINC04073313	CC1=C2CC3C(CC2(C)CCC1)OC(=O)C3C[NH2+]C1CCCc2c1[nH]c1ccc(C)cc21
ZINC04073314	CC1=C2CC3C(CC2(C)CCC1)OC(=O)C3C[NH2+]C1CCCc2c1[nH]c1ccc(C)cc21
ZINC01591920	OC(c1cc(-c2ccc(Cl)cc2)nc2c(Cl)cc(Cl)cc12)C1CCCC[NH2+]1
ZINC01591934	OC(c1cc(-c2ccc(Cl)cc2)nc2c1ccc1ccccc12)C1CCCC[NH2+]1
ZINC04964500	Cc1ccc2cc(C#N)c(NCCCNC(=O)C34CC5CC(CC(C5)C3)C4)[nH+]c2c1
ZINC00670197	CC[NH+]1CC2=C(OC(N)=C(C#N)C2c2ccc(F)cc2)/C(=C\c2ccc(F)cc2)C1
ZINC03229982	C/C=C(/NN1CC[NH+](C2c3ccccc3-c3ccccc32)CC1)c1ccc(O)cc1
ZINC02647885	O=[N+]([O-])c1cccc(C2[NH2+]CC(c3ccccc3Cl)c3c2[nH]c2ccccc32)c1
ZINC02647884	O=[N+]([O-])c1cccc(C2[NH2+]CC(c3ccccc3Cl)c3c2[nH]c2ccccc32)c1
ZINC02647883	O=[N+]([O-])c1cccc(C2[NH2+]CC(c3ccccc3Cl)c3c2[nH]c2ccccc32)c1
ZINC04460486	CC[NH+]1CC2=C(OC(N)=C(C#N)C2c2ccccc2C)/C(=C/c2ccccc2C)C1
ZINC07925216	Cc1ccc(C([NH2+]CC(=O)Nc2sc3c(c2C#N)CCC3)c2cccs2)cc1
ZINC04303907	CC[NH+]1CC2=C(OC(N)=C(C#N)C2c2ccc(F)cc2)/C(=C/c2ccc(F)cc2)C1
ZINC01302173	C[NH+]1CCc2c(sc3nc(SCc4ccc(Cl)c(Cl)c4)nc(N)c23)C1
ZINC08780811	C=CCc1cccc(/C=N/NC(=O)C2CC[NH+](Cc3ccc(Br)cc3)CC2)c1O
ZINC08918159	C=C1CCCC2(C)CC3OC(=O)C(C[NH2+]C4CCCc5c4[nH]c4ccc(C)cc54)C3CC12
ZINC08918491	Cc1ccc2[nH]c3c(c2c1)CCCC3[NH2+]CC1C(=O)OC2CC3(C)CCCC(C)C3=CC21
ZINC09541843	Cc1ccc(C2N=C(c3cccc(Br)c3)CC(c3ccccc3O)[NH2+]2)cc1
ZINC09542146	COc1cccc(C2CC(c3ccc(Cl)cc3)=NC(c3ccc(Cl)cc3)[NH2+]2)c1O
ZINC09542166	Oc1ccc(Cl)cc1C1CC(c2ccc(Cl)cc2)=NC(c2ccc(Cl)cc2)[NH2+]1
ZINC09543223	Cc1ccc(C2=NC(c3ccccc3C)[NH2+]C(c3cc(Br)ccc3O)C2)cc1
ZINC09543230	Cc1ccc(C2=NC(c3ccccc3C)[NH2+]C(c3cc(Br)ccc3O)C2)cc1
ZINC12112362	OCc1ccc(C[NH+]2CCc3c([nH]c4ccccc34)C2c2c(F)cccc2Cl)o1
ZINC12161956	O=c1c2c3c(sc2ncn1CCc1c[nH]c2ccccc12)CC([NH2+]C1CCCC1)CC3
ZINC12245577	CC(C)(O)C#Cc1ccc(C[NH+]2CCOc3ccc(C(O)C4CCCCC4)cc3C2)cc1
ZINC12864260	CC1=C2CC3C(CC2(C)CCC1)OC(=O)C3C[NH2+]C1CCCc2c1[nH]c1ccc(C)cc21
ZINC08584460	Cc1cc(C)c2nc3c(c(C(O)C4CCCC[NH2+]4)c2c1)CC/C3=C/c1ccc(Cl)cc1
ZINC13998233	OC(C[NH+]1CCC2(CC1)CC(O)c1ccc3ccccc3c1O2)c1ccc2ccccc2c1
ZINC14070227	CC1CCc2c(sc3nc(CC[NH+]4CC=C(c5ccccc5)CC4)nc(N)c23)C1
ZINC15679542	CC[NH+]1CCc2c(sc(-n3cccc3)c2CNC(=O)NC23CC4CC(CC(C4)C2)C3)C1
ZINC06232578	C=CCSC1=[NH+]C(C)(C)CC2(CC(c3cccs3)c3ccc(O)cc3O2)N1
ZINC32099680	OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cc(Cl)cc12)C1CCCC[NH2+]1
ZINC35382188	CCOc1cc(Br)c(C([NH3+])c2ccc(Br)s2)cc1OCC
ZINC39490545	Cc1ccc(C)c(N2CC(C[NH2+]CC3N=NC4=C3CCC4)C(c3ccccc3)N2)c1
ZINC43742705	C=C1CCCC2(C)CC3OC(=O)C(C[NH2+]C4CCCc5c4[nH]c4ccc(C)cc54)C3CC12
ZINC43742839	Cc1ccc2[nH]c3c(c2c1)CCCC3[NH2+]CC1C(=O)OC2CC3(C)CCCC(C)C3=CC21
ZINC59169373	CC1(C)CC(N(Cc2ccccc2F)C(=S)Nc2ccccc2)CC(C)(C)[NH2+]1
ZINC59170778	COc1cc(Br)cc2cc(C(N)=S)/c(=[NH+]/c3cccc(C)c3)oc12
ZINC59171072	COc1cc(Br)cc2cc(C(N)=S)/c(=[NH+]/c3ccc(F)cc3)oc12
ZINC27469071	O=c1[nH]c2ccc(Cl)cc2c(-c2ccccc2)c1C1=NNC(/C=C/c2ccccc2)C1
ZINC27469065	O=c1[nH]c2ccc(Cl)cc2c(-c2ccccc2)c1C1=NNC(/C=C/c2ccccc2)C1
ZINC59564752	CCC1(C)NN(c2ccccc2)C(SCC(=O)Nc2sc3c(c2C)CCCC3)=[NH+]1
ZINC15947392	OC1=NC(c2ccc(Cl)c(Cl)c2)Nc2sc3c(c21)CC[NH+](Cc1ccccc1)C3
ZINC63122560	O=C(/C=C1/CSC(c2ccccc2)N1)NCC(C1=c2ccccc2=[NH+]C1)c1cccs1
ZINC63281457	O=C(CN1c2ccccc2NC1Cc1ccccc1)NCCC1=c2ccccc2=[NH+]C1
ZINC63600718	CN1c2ccccc2NC1CCc1ccc(NC(=O)C2C=c3cc(Cl)ccc3=[NH+]2)cc1
ZINC63663742	S=C(NCc1ccc2c(c1)=C1CCCCC1[NH+]=2)Nc1cccc(Br)c1
ZINC63663751	FC(F)(F)c1ccc(NC(=S)NCc2ccc3c(c2)=C2CCCCC2[NH+]=3)cc1
ZINC63663759	FC(F)(F)Oc1ccc(NC(=S)NCc2ccc3c(c2)=C2CCCCC2[NH+]=3)cc1
ZINC65298059	Cc1ccc(C)c(C2=NC3(CC[NH+](C(C)C)CC3)NC(c3cc(Cl)ccc3O)C2)c1
ZINC00985045	CCC1(C)Cc2c(sc3nc(SCc4ccccc4)nc(N)c23)CO1
ZINC00654884	CC(Nc1cccc(Br)c1)C(=O)N/N=C/c1cccc(Cl)c1
ZINC05222387	CC(/C=C/c1ccccc1)=N\NC(=O)c1cc(Br)ccc1O
ZINC00645596	CC(C)c1ccc(S(=O)(=O)Nc2cc(Cl)c(O)c3ccccc23)cc1
ZINC02394554	Cc1ccccc1-c1nnc(SCc2ccc(Cl)c(Cl)c2)n1N
ZINC01205762	CCc1ccc(S(=O)(=O)Nc2cc(Cl)c(O)c3ccccc23)cc1
ZINC01145508	O=S(=O)(NC1CCCCC1Nc1ccccc1)c1ccc(Cl)cc1
ZINC06203520	Cc1ccc(C(=O)NC(=S)Nc2nc3c(C)cc(C)cc3s2)c(C)c1
ZINC00714291	CCOC(=O)c1sc2nc3c(c(/C=C/c4ccccc4)c2c1N)CCC3
ZINC06708962	CCc1ccc(C(=O)NC(=S)Nc2sc3c(c2C#N)CCC(C)C3)cc1
ZINC06768613	Cc1ccccc1NC(=O)NC(C)c1c(-n2cccc2)sc2c1CCCC2
ZINC06922013	Cc1cc(C)c(CSc2nnc(-c3ccc(Cl)cc3)n2N)cc1C
ZINC06929938	CC(C)c1ccc(NS(=O)(=O)c2ccc3[nH]c4c(c3c2)CCCC4)cc1
ZINC07022664	Cc1ccc(-c2nc(COc3ccc(Cl)cc3C(N)=O)cs2)cc1
ZINC08023477	Cc1ccccc1NC(=O)CSC1=NC2(CCCCC2)Nc2ccccc21
ZINC09254520	COc1cc(Cl)c(C)cc1NCC(=O)NC(C)c1ccc(Cl)cc1
ZINC09536160	CC1CCCCN1C(=O)NCC(c1cccs1)c1c[nH]c2ccccc12
ZINC10059421	O=c1[nH]c(SCc2cccc(Br)c2)nc(O)c1-c1ccccc1
ZINC03317132	Cc1cc(C(=O)NNC2=CCC(C(C)(C)C)CC2)c(C)n1-c1ccc(F)cc1
ZINC12548985	O=C(CSc1nc2ccccc2[nH]1)Nc1ccccc1Cc1ccccc1
ZINC12311563	O=C(/C=C/c1ccc(Cl)cc1)Nc1ccccc1-c1nc2ccccc2[nH]1
ZINC04250510	Cc1ccc(SCCC(=O)Nc2ccccc2-c2nc3ccccc3[nH]2)cc1
ZINC13322126	O=C(N/N=C/c1ccc(C(F)(F)F)cc1)c1ccc2ccccc2c1O
ZINC14956386	CC1=CCC2(C)CCC(O)(C(C)C)C2C(OC(=O)c2ccc(O)cc2)C1
ZINC15434637	COc1ccc(/C=C/C(=O)NNc2c(Cl)cc(Cl)cc2Cl)cc1
ZINC05898225	CCCN1C(=O)/C(=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)NC1=S
ZINC20694591	CCC(C)Oc1ccc2c(c1)C1C=CCC1C(c1cccc(OC)c1O)N2
ZINC06396170	CCC(C)(C)C1CCc2c(sc3c2C(O)=NC(/C=C/c2ccco2)N3)C1
ZINC05386277	CCOc1ccc2sc(/C=[NH+]/CCc3c[nH]c4ccccc34)c([O-])c2c1
ZINC33594316	CCc1c(-c2ccc(C#N)cc2)c(C(N)=O)c(C)n1C1CCCCCCC1
ZINC35132928	CC(C)(C)c1ccc(O)c(NS(=O)(=O)c2ccc(Br)s2)c1
ZINC04147650	CC(C)(C)C1CC=C2C(C#N)=C(N)C(C#N)(C#N)C(CCc3ccccc3)C2C1
ZINC00865561	Cc1ccc(CC(Cc2nc3ccccc3[nH]2)c2nc3ccccc3[nH]2)cc1
ZINC39126595	Cc1ccc(C2=C(NC(C)(C)C)OC(c3c[nH]c4ccccc34)C2C#N)cc1
ZINC40167070	Cc1cc(SCC(=O)Nc2cc(Cl)ccc2O)nc2c(C)cccc12
ZINC36646151	Cc1ccc(CSc2nc3cc(-c4ccccc4)sc3c(=O)n2N)cc1
ZINC04553453	CCC(C)(C)C1CCc2c(sc3c2C(O)=NC(c2cccc(OC)c2)N3)C1
ZINC04551233	Cc1ccc(-c2csc(N/N=C/c3cc(Br)ccc3O)n2)cc1
ZINC04175827	Oc1ccccc1/C=N/Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1
ZINC06594319	O=C(/C=C/c1ccccc1)N/C(=C/c1ccccc1)C(=O)Nc1ccccc1
ZINC20145143	CC(C)c1ccc(/C=C/C(=O)Nc2ccc(-c3ccc(CO)o3)cc2)cc1
ZINC60135401	O=C(NC1CCCCCC1)C1CCCC(C(=O)NC2CCCCCC2)C1
ZINC06803513	Cc1ccccc1Cn1c(C(=O)[O-])c(C[NH2+]C2CCCCC2C)c2ccccc21
ZINC06803553	CC1CCCC([NH2+]Cc2c(C(=O)[O-])n(Cc3ccccc3)c3ccccc23)C1C
ZINC26998129	CC(Nc1ccc(F)c(F)c1)C(=O)Nc1sc2c(c1C#N)CCCCC2
ZINC66606209	CC(CC(=O)NC1CCCC(C(F)(F)F)C1)NC(=O)C1CCCCC1
ZINC66698543	CCCN(Cc1ccccc1O)C(=O)NC1CCCC(C(F)(F)F)C1
ZINC66698617	CCCN(Cc1ccccc1O)C(=O)NC1CCCCC1C(F)(F)F
ZINC67608802	CC(c1cccc(O)c1)N(C)C(=O)NC(c1ccc(Cl)cc1)C1CC1
ZINC67624357	CC(c1cccc(O)c1)N(C)C(=O)NC(c1cccs1)C1CCCC1
