ZINC06244154	N#CCCSc1nncc2ccccc12
ZINC35256067	CC([NH2+]Cc1csc(Br)c1)c1ccc2c(c1)CCCC2
ZINC35258167	Cc1cc(C)c(C[NH2+]C2CCCCC2C(F)(F)F)cc1C
ZINC35460162	C[NH2+]C(c1cccc(Br)c1)c1ccc2c(c1)CCCC2
ZINC35460168	C[NH2+]C(c1ccc2c(c1)CCCC2)c1cc(Br)ccc1F
ZINC35489576	C[NH2+]C(c1ccc(I)cc1)c1cc(C)ccc1C
ZINC35492442	C[NH2+]C(c1ccccc1I)c1c(C)cc(C)cc1C
ZINC35510742	CC[NH2+]C(c1ccc2c(c1)CCCC2)c1ccccc1Cl
ZINC35559185	CC[NH2+]C(c1cc2c(s1)CCCC2)c1cc(Cl)sc1Cl
ZINC35559638	CC[NH2+]C(c1cc(C)cc(C)c1)c1cc(Cl)sc1Cl
ZINC36348082	CCc1ccc(C2c3cccn3CCC[NH+]2Cc2cccc(C)c2)cc1
ZINC36842798	CC1CCCC([NH2+]C2CC(c3cccc(Br)c3)C2)C1C
ZINC36843374	Cc1cccc(C2CC([NH2+]C(C)c3ccccc3C)C2)c1
ZINC36919743	CC([NH2+]C1CCCCC1C(C)(C)C)c1cccc(Br)c1
ZINC36920019	CC([NH2+]C1CC(c2cccc(F)c2)C1)c1cccc(Br)c1
ZINC37099655	CC1CCCC(C)C1[NH2+]C1CCCCC1C(F)(F)F
ZINC37099747	FC(F)(F)C1CCCCC1[NH2+]Cc1c(Cl)cccc1Cl
ZINC37099848	Cc1ccc(C(C)[NH2+]C2CCCCC2C(F)(F)F)cc1
ZINC37099856	Cc1ccc(C(C)[NH2+]C2CCCCC2C(F)(F)F)c(C)c1
ZINC37099857	Cc1ccc(C(C)[NH2+]C2CCCCC2C(F)(F)F)c(C)c1
ZINC37186886	Clc1ccc(C([NH2+]C2CCCC2)c2cccs2)s1
ZINC37214979	CC1CCCC([NH2+]C(c2cccs2)c2cccs2)C1C
ZINC37412062	CC1CCCC([NH2+]C2CC(c3ccc(Br)cc3)C2)C1
ZINC37412064	CC1CCCC([NH2+]C2CC(c3ccc(Br)cc3)C2)C1
ZINC38018387	Cc1cccc(C2CC([NH2+]Cc3ccc(Br)s3)C2)c1
ZINC37146242	CCC(C)(C)C1CCC(C#N)C([NH+]2CC(C)CC(C)C2)C1
ZINC39917302	CCCCCn1c(C(C)[NH+]2CCCCCC2)nc2ccccc21
ZINC40236439	C[NH2+]C(c1ccc(Br)s1)c1cc2c(s1)CCCC2
ZINC40236545	C[NH2+]C(c1cc(Cl)cc(Cl)c1)c1ccc(Br)s1
ZINC38925871	Cc1ccccc1C1N=[NH+]C(=S)N1/N=C/c1ccc(C(C)C)cc1
ZINC02621547	Cc1cc(C(=O)CN2C(=O)NC3(CCCC3)C2=O)c(C)n1C
ZINC00495092	CC(Cl)Cn1c(Br)nc2c1c(=O)[nH]c(=O)n2C
ZINC04811197	O=C(NCC1CCCO1)c1cnn2cc(Br)cnc12
ZINC01393614	CN(C)c1ccc(C2CC(=O)C=C(O)C2n2cncn2)cc1
ZINC06113089	Cc1sc2ncnc(SCC(=O)N3CCNC3=O)c2c1C
ZINC06719960	Cn1c(=O)n(CCO)c(=O)c2c3c(sc21)COC(C)(C)C3
ZINC02778499	Cn1ccc(CNC(=O)c2c(Br)cnn2C)n1
ZINC11093959	CNC(=O)C1CCN(C(=O)C2CC(=O)N(C(C)(C)C)C2)CC1
ZINC12380090	CC(=O)c1ccc(N2C(=O)C3C4C=CC(CO)(O4)C3C2=O)cc1
ZINC12323688	O=C(NC1C=CS(=O)(=O)C1)c1cn2cc(Cl)ccc2n1
ZINC25498161	Cc1cc(C(C)Nc2c(C#N)c(=O)n(C)c(=O)n2C)c(C)s1
ZINC32577568	CC1(C(=O)N2CCCC(c3cc(=O)[nH]cn3)C2)CCCCO1
ZINC32577574	CC1(C(=O)N2CCCC(c3cc(=O)[nH]cn3)C2)CCCCO1
ZINC35669002	Cc1nnc2n1NC(c1ccccc1)C(C(=O)N(C)C)S2
ZINC17070464	CC(C)c1cc(C(=O)NN2C(=O)C3C4CCC(O4)C3C2=O)cs1
ZINC36156106	O=C1NCC2(CCN(S(=O)(=O)c3cccs3)CC2)O1
ZINC37502892	CC(NC(=O)c1cc(Br)cn1C)c1nnc2n1CCC2
ZINC37845064	O=C(C1CCCN1C(=O)c1cc(Br)c[nH]1)N1CCOCC1
ZINC38042587	O=C([O-])C1CCC[NH+]1C1CCN(c2ccc(Cl)nn2)CC1
ZINC38058527	C[NH+]1CCCN(S(=O)(=O)c2ccc(C(=O)[O-])s2)CC1
ZINC38755653	O=C(CC1CSc2nc3c(c(=O)n21)CCC3)Nc1ccncc1
ZINC36684300	CC(=O)N1CCN(C(=O)c2ccc3c(c2)NC(=O)CCS3)CC1
ZINC39549605	O=C([O-])C1CCCN1C(=O)C1=CC2=c3ccccc3=[NH+]C2C=N1
ZINC39961138	CC1=CC2C(=O)N(C)C(SCC3C=C(O)N=N3)=NC2S1
ZINC39961139	CC1=CC2C(=O)N(C)C(SCC3C=C(O)N=N3)=NC2S1
ZINC40508305	Cc1ncsc1C(=O)N1CCCC1C(=O)N1CCNCC1
ZINC40767378	O=C(NCC(=O)N1CCSCC1)c1cc2ccccn2n1
ZINC40947436	CCc1nnc(NC(=O)C2CSC(C)(C)N2C=O)s1
ZINC41903604	Cc1ccn2cc(C(=O)NC3(C)CCS(=O)(=O)C3)nc2c1
ZINC44289420	CNC(=O)CN1CCN(C(=O)c2ccc(Br)o2)CC1
ZINC48005240	N#Cc1c(NC(=O)C(=O)N2CCOCC2)sc2c1CCCC2
ZINC48671128	O=S(=O)(NC1CCC2(CC1)OCCO2)N1CCCCC1
ZINC48671738	CC(=O)NC1CCCN(S(=O)(=O)N2CCCCC2C)C1
ZINC57478065	O=C1CCC(c2nc(C=C(Br)Br)no2)=NN1
ZINC59922796	CC1CC(NC=C2C(=O)N(C)C(=O)N(C)C2=O)CC(C)(C)C1
ZINC61712248	O=S(=O)(c1c(Cl)nc2ccccn12)N1CCC(O)C1
ZINC61823811	CC(C(=O)[O-])[NH+]1CCN(C(=O)N2CCC(C)(C)CC2)CC1
ZINC62925582	CCC1(C(=O)[O-])CCN(C(=O)N2CC[NH+](C(C)C)CC2)C1
ZINC62962231	CC(NC1CCS(=O)(=O)C1)c1nnc2n1CCCCC2
ZINC64054972	CN(C)C(=O)C1CCCN(C(=O)c2ccc3[nH]cnc3c2)C1
ZINC41686903	O=C(NCC1CCCO1)C1CCCN(C(=O)N2CCCC2)C1
ZINC65087765	O=C(c1cccc[n+]1[O-])N1CCC(c2c[nH]c3ncccc23)CC1
ZINC56015747	O=C(NC1CC1)C(=O)N1CCN(C(=O)C=C2CCCCC2)CC1
ZINC65901723	CC(C)(C)C(=O)N1CCCC(C(=O)N2CCNC(=O)CC2)C1
ZINC66217570	CC(=O)NC1CCCN(C(=O)C(=O)N(C)c2cccc(C)c2)C1
ZINC66611339	Cn1ncc2c1CCCC2NC(=O)c1cnn(C)c1C(F)F
ZINC66822125	CC1CCC(N2CC(C(=O)Nc3cnn(C)c3)CC2=O)CC1
ZINC66829233	CC(NC(=O)C1CCOCC1)C(=O)N1CCOCC1(C)C
ZINC66829721	CC1CN(C(=O)C(C)NC(=O)C2CCOCC2)CC(C)(C)O1
ZINC67370764	CC(Nc1ncc(Br)cn1)C(=O)N1CCOCC1
ZINC04128063	CCOc1ccc(NC(=O)C2C3C=CC4(O3)C2C(=O)N(C(C)C)C4C(=O)NC2CCCCC2C)cc1
ZINC06165984	O=C(N/N=C/c1ccc(N2CCOCC2)s1)c1ccccc1NS(=O)(=O)c1cccs1
ZINC08621431	COC(=O)c1c(NC(=O)CN2C(=O)NC(c3ccccc3)(c3ccccc3)C2=O)sc(C)c1C
ZINC08629695	O=C(COC(=O)CNC(=O)c1sc2ccccc2c1Cl)Nc1ccc2c(c1)OC(F)(F)O2
ZINC08714030	O=C(CCCN1C(=O)/C(=C/c2ccccc2Cl)SC1=S)Nc1ccc([N+](=O)[O-])cc1O
ZINC08877306	CC(C)CNC(=O)C(NC(=O)COc1cc2c(c3oc(=O)c4c(c13)CCC4)CCC(C)(C)O2)C(C)C
ZINC08890188	CCOC(=O)c1c(NC(=O)CN2C(=O)NC3(CCc4ccccc43)C2=O)sc2c1CCC(C)C2
ZINC09155431	CN(Cc1ccc(-c2ccc(Cl)cc2)o1)C(=O)CN1C(=O)NC(Cc2c[nH]c3ccccc23)C1=O
ZINC02969667	Cc1cc(C)c(NC(=O)CSc2nc3ccccc3c3nc(CCc4c(C)n[nH]c4C)nn23)c(C)c1
ZINC10135484	CCC1CCC2(CC1)NC(=O)N(CC(=O)OCC(=O)Nc1ccc(Cl)cc1C(F)(F)F)C2=O
ZINC09866667	O=C(COC(=O)c1ccc(NC2CC2)c([N+](=O)[O-])c1)Nc1ccccc1I
ZINC11317838	CNC(=O)NC(=O)CSc1nnc(CSc2nc3ccccc3s2)n1Cc1ccccc1
ZINC11782227	COC(=O)c1cc(CNC(=O)C2CC3C=CC2C3)cc(NS(=O)(=O)c2cccc3cccnc23)c1
ZINC12070269	CCOC(=O)NC(=O)c1c(NC(=O)Cc2ccc(S(=O)(=O)C(C)C)cc2)sc2c1CCC(C)C2
ZINC12479074	CC1CCc2c(sc3nc(SC(C)C(=O)NC(=O)NC4CC4)n(Cc4ccco4)c(=O)c23)C1
ZINC12808406	CC1(c2ccc3c(c2)OCCCO3)NC(=O)N(CC(=O)NC(Cc2ccccc2)c2ccccc2)C1=O
ZINC12522117	CC(Sc1ccc(S(=O)(=O)N2CCCC2)cn1)C(=O)NC(=O)NC12CC3CC(CC(C3)C1)C2
ZINC08816239	COC(=O)c1ccc(C2Nc3ccc(/C(C)=N/NC(=O)CC4(C)OCCO4)cc3C3C=CCC32)cc1
ZINC14360234	COc1ccc(C(=O)NNC(=O)CC23CC4CC(CC(C4)C2)C3)cc1S(=O)(=O)N1CCCCC1C
ZINC16324811	COc1ccc(CNc2nnc(SC(C)C(=O)N3c4ccccc4NC(=O)C3(C)C)s2)cc1
ZINC17952514	Cc1cc(C)c(NC(=O)CNC(=O)CSc2nnc(N3CCCCC3)n2-c2ccccc2)c(C)c1
ZINC18972837	COc1ccccc1-c1nnc(SCC(=O)NCC(=O)Nc2ccccc2Br)n1C
ZINC19353576	Cc1cc(C)c2c(-n3cccc3)c(C(=O)OCC(=O)NCC(=O)Nc3ccc(F)c(F)c3)sc2n1
ZINC19392768	CCOC(=O)C1=C(CSc2nc(C(F)(F)F)nc3ccccc23)NC(=O)NC1c1ccco1
ZINC20133834	COc1ccccc1NC(=O)C1=C(C)Nc2ncnn2C1c1cc(Br)ccc1OC(F)F
ZINC21558718	Cc1cc(C(C)(C)C)ccc1OCC(O)CN1C(=O)NC(C)(c2ccc3c(c2)OCCCO3)C1=O
ZINC24225603	CC(Sc1nnc(-c2cccnc2)n1Cc1ccccc1)C(=O)C(C#N)=C1Nc2ccccc2N1
ZINC25536639	Cc1c(Cl)cccc1-n1c(SCCC(=O)NC(=O)NC2CCCC2)nnc1-c1ccncc1
ZINC28052695	CCOc1cc(C2C3=C(CC(c4ccc(OC)c(OC)c4)CC3=O)Nc3onc(C)c32)ccc1O
ZINC29131779	COc1cc(OC)cc(C(NC(=O)C(C)NC(=O)C23CC4CC(CC(C4)C2)C3)c2nccn2C)c1
ZINC29617061	Cc1ccc(NC(=O)NC(=O)C(C)Sc2nc(CN3CCOCC3)nc3ccccc23)c(C)c1
ZINC16632059	Cc1c(C#N)c(NC(=O)COC(=O)c2ccc3c(c2)NC(=O)C(C)S3)n(C2CCCCC2)c1C
ZINC33121582	CCN(CC)S(=O)(=O)c1ccc(NC(=O)N2CCC(C(=O)Nc3ccccc3C)CC2)s1
ZINC35968423	CNC(=O)C(c1ccccc1)N1CC2=C(C1=O)C(c1cccc(Oc3ccccc3)c1)NC(=O)N2C
ZINC35969367	C=CCN1C(=O)NC(c2ccc(C)cc2)C2=C1CN(C(C(=O)NCc1ccco1)c1ccccc1)C2=O
ZINC36247940	CCOC(=O)C1=C(CSc2nc3sccc3c(=O)n2C)NC(=O)NC1c1ccc(Cl)cc1
ZINC38660617	COc1cc(C2C(C#N)=C(N)Oc3cc(OC(=O)c4ccccc4F)ccc32)cc(OC)c1OC
ZINC39218180	COc1ccc(CC(=O)NNC(=O)CSC2=NC(=O)C3=C4CCCCCCC4SC3=N2)cc1
ZINC22001415	CC1CC(C)(C)CC2(C1)NC(=O)N(CC(=O)OCC(=O)Nc1c(C(C)C)cccc1C(C)C)C2=O
ZINC39759824	Cc1cccc2sc(NC(=O)CSc3nnc(C(C)NC(=O)c4ccccc4F)n3C)nc12
ZINC39761336	O=C(CSc1nc(-c2cccc([N+](=O)[O-])c2)n[nH]1)Nc1ccccc1I
ZINC12699751	Cc1ccc(OCc2nc(C(=O)Nc3cccc(S(=O)(=O)/N=C4/CCCCCN4)c3)cs2)cc1
ZINC40547995	CCCCOc1cccc(C2c3c(-c4cc(C)ccc4O)n[nH]c3C(=O)N2C2CCS(=O)(=O)C2)c1
ZINC44827100	COC(=O)c1c(N/C=C2/C(=O)N(c3ccccc3)N=C2C)sc(C(=O)Nc2ccccc2C)c1C
ZINC08591661	COc1ccccc1NC(=O)C1=C(C)Nc2nc(SCc3ccccc3F)nn2C1c1cccnc1
ZINC59474767	O=C(CSc1nc2ccccc2[nH]1)Nc1ccc2nc(SCC(=O)N3CCOCC3)sc2c1
ZINC63699205	COc1ccc(/C=N/NC(=O)C2C=C(C(C)(C)C)N=N2)cc1CN1NC(C)C(Br)C1C
ZINC19529778	CCOC(=O)C1(Cc2ccc(O)cc2)NC(c2ccco2)C2C(=O)N(c3ccccc3F)C(=O)C21
ZINC67205005	CCOC(=O)C1=C(CN2CCN(c3ccccc3OC)CC2)NC(=O)NC1c1ccccc1Cl
ZINC67291233	COc1ccccc1C[NH+]1CCc2nc(SCC(=O)Nc3ccc(N(C)C)cc3)nc([O-])c2C1
ZINC03844097	CC12CCC3C(CCC4CC(C#N)CCC43C)C1CCC2=O
ZINC00035594	CC1CCCN(C(=O)c2sc3ccccc3c2Cl)C1
ZINC04524413	CC1CC(C)CN(C(=O)/C=C/c2ccccc2Cl)C1
ZINC00189109	Brc1ccc(C2=CSC3=NCCN23)s1
ZINC01590656	C1=COC2(c3ccccc3)N=C(c3ccccc3)SC2=C1
ZINC01673995	N#CCCN1c2ccccc2Sc2ccc(Cl)cc21
ZINC00035595	CC1CCCN(C(=O)c2sc3ccccc3c2Cl)C1
ZINC04821485	Cc1cccc(/C(C#N)=C\c2ccc(Br)o2)c1
ZINC05379546	CC(C)(C)C1=CC(C(C)(C)C)=C(Br)C(=O)C1=O
ZINC03172766	CC1CC(C)CN(C(=O)c2cc3c(s2)CCCC3)C1
ZINC05574072	CC1CCc2nc(/C(C#N)=C/c3ccc(F)cc3)sc2C1
ZINC01721848	O=S1(=O)Cc2ccccc2-c2ccccc2C1(Cl)Cl
ZINC03233536	Clc1cc(Cl)c(/N=C/c2ccncc2)cc1Cl
ZINC09305711	CC1(C)CCc2cc3c4c(c(=S)oc3cc2O1)CCCC4
ZINC11944649	CC(C#N)Oc1c(Cl)cc(Cl)cc1Br
ZINC11944654	CC(C#N)Oc1c(Cl)cc(Cl)cc1Br
ZINC12504985	ClCc1cc(Cl)cc2c1OC(c1ccccc1)OC2
ZINC12887276	CC1CCc2sc(C(=O)N(C)c3ccccc3)cc2C1
ZINC05672852	S=c1nc(-c2ccccc2)ccn1-c1cccc(Cl)c1
ZINC16383006	N#C/C(=C/c1ccc(Cl)cc1Cl)c1ccc(C#N)cc1
ZINC19721508	CC1(C)COC(C(C)(C)c2ccc(Br)cc2)=N1
ZINC31920895	CC(C)c1nc2ccc(Br)cn2c1CCl
ZINC36903626	CC(Cl)c1ncc(-c2ccccc2Br)o1
ZINC37149637	N#CC1CCCC1Oc1ccc(Cl)cc1Br
ZINC37149640	N#CC1CCCC1Oc1ccc(Cl)cc1Br
ZINC37422158	CC(Cl)c1nc2c(F)cccc2n1-c1ccccc1F
ZINC37422346	Fc1cc(F)cc(-n2c(CCl)nc3c(F)cccc32)c1
ZINC37422702	CC(Cl)c1nc2c(F)cccc2n1-c1cc(F)ccc1F
ZINC37444448	Cn1c(C(Cl)c2ccccc2)nc2cccc(Cl)c21
ZINC00125671	CSc1sc(C#N)c2c1C(=O)CC(c1ccccc1)C2
ZINC05752562	CC1CCCC(C)N1/N=C/c1cccc(Br)c1
ZINC04458434	CCN1/C(=C/C2=CC(=O)CC(C)(C)C2)Sc2ccccc21
ZINC39539975	O=C(c1cc2c(s1)CCCC2)N1CCCC1c1ccccc1
ZINC40269130	ClC(c1ccc2oc3ccccc3c2c1)C1CCCO1
ZINC40269134	ClC(c1ccncc1)c1ccc2oc3ccccc3c2c1
ZINC42376752	CC1Cc2ccccc2N1c1ccc(Br)cn1
ZINC45092304	Brc1cccnc1N1CCCC1C1CCCC1
ZINC45092307	Brc1ccc(N2CCCC2C2CCCC2)nc1
ZINC13582982	C/C(=N\c1sc2c(c1C#N)CCC2)c1ccc(Cl)s1
ZINC50527372	Brc1ccc(Cn2ncc3ccccc32)s1
ZINC51699588	COCc1cc(Cl)c2cc(Br)cc(C)c2n1
ZINC52123477	Fc1ccc2nc(CCl)n(-c3c(F)cccc3F)c2c1
ZINC53002859	Cc1ccc2c(c1)CCCN2C(=O)c1cc(C)ccc1F
ZINC55308116	Clc1cc(Sc2cccc(Br)c2)ncn1
ZINC55331609	Cc1ccc(C(Cl)c2ccc3c(c2)CC(C)(C)O3)c(C)n1
ZINC55554737	c1ccc(CN2CCn3c4c(c5ccccc53)CCCC42)cc1
ZINC57796849	N#Cc1c(F)cccc1Sc1nc2ccccc2s1
ZINC58249172	CC1(C)CC2CC(C)(CN2c2nc(CCl)cs2)C1
ZINC61851155	CC1c2ccsc2CCN1c1ccc(C#N)c(Cl)c1
ZINC63011832	Cc1cc(C)cc(N(C)C(=O)c2cc(F)c(F)c(F)c2)c1
ZINC04111983	Cc1cc(C)cc(N2C(=O)CSC23C(=O)Nc2ccc(Br)cc23)c1
ZINC02468535	CSc1cccc(N2C(=O)NC3CC2(C)Oc2ccc(Br)cc23)c1
ZINC04469027	O=C1NC2(CCCc3ccccc32)C(=O)N1Cc1ccccc1C(F)(F)F
ZINC02957874	O=c1oc2ccc(Cl)cc2cc1-c1cn(-c2ccc(Cl)cc2)c(=S)[nH]1
ZINC02963733	COc1cc(Br)cc2c1OC1(C)CC2NC(=S)N1c1ccccc1
ZINC04545177	Cc1c(Br)cc(/C=N/NC(=O)c2ccco2)cc1Br
ZINC04652174	Cc1c(/C=C2/CC3C4CCC5CC(O)CCC5(C)C4CCC3(C)C2=O)cnn1C
ZINC04687424	CC1CC(C)CN(C(=O)c2ccc3c(c2)NC(=O)/C(=C\c2ccccc2F)S3)C1
ZINC05447339	N#C/C(=C1/C(=O)Nc2ccc(Br)cc21)c1ccc2ccccc2n1
ZINC01608175	Cc1ccc2c(c1)C1(SC(C)C(=O)N1c1ccc(Br)cc1)C(=O)N2
ZINC06625742	Cc1ccc(C23CCC(=O)N2C(C(=O)Nc2ccc4c(c2)CCC4)CS3)cc1
ZINC08234466	O=C(Nc1cc(Cl)c(Cl)cc1Cl)C1CC(=O)N(C2CCCC2)C1
ZINC03365056	O=C1CC(c2ccc(Cl)cc2)NC(=O)N1Cc1ccc(Cl)cc1Cl
ZINC14456473	Cc1ccc(C2Nc3ccc(S(=O)(=O)N4CCCC4)cc3C3C=CCC32)s1
ZINC14466108	CN(C)S(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccccc1Cl)N2
ZINC14466110	CN(C)S(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccccc1Cl)N2
ZINC16138824	CC(=O)OC1(C(C)=O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C
ZINC18197229	COc1cc2c(cc1OC)C(c1cccc(Br)c1)C1=C(CCCC1=O)N2
ZINC18197690	COc1cc2c(cc1OC)C(c1ccc(Br)cc1)C1=C(CCCC1=O)N2
ZINC04725962	COC(=O)C1=C(C)NC2=C(C(=O)CCC2)C1c1cc(Br)c(C)s1
ZINC20891717	Cc1ccccc1C1SCC(=O)Nc2c1c(C)nn2-c1ccccc1Cl
ZINC21722394	CCC(=O)N1c2ccccc2NC2=C(C(=O)CC(C)(C)C2)C1c1ccccc1
ZINC22324289	O=C1Nc2cc(C(F)(F)F)ccc2SC1CC(=O)N1CCCCCCC1
ZINC26770326	O=C1N=C(N2CCCCC2)S/C1=C\c1c[nH]c2ccc(Br)cc12
ZINC27305840	CC1(C)C2CCC1(CS(=O)(=O)N1CCC3(C=CC4CCCCC43)CC1)C(O)C2
ZINC32115367	Cc1cc(Br)c(O)c(/C=N/c2ccccc2N2CCOCC2)c1
ZINC32307575	Cc1ccccc1C(=O)NC1CCN(C(=O)c2ccc(Br)s2)CC1
ZINC23909075	CC1c2ccsc2CCN1Cc1nc2scc(-c3ccccc3)c2c(=O)[nH]1
ZINC38702487	O=C1NC(c2cccc(Br)c2)c2c1oc1ccc(Cl)cc1c2=O
ZINC38711844	O=C(Nc1ccccc1Br)C1CC=CCC1C(=O)N1CCCCC1
ZINC39430872	CC1(C)CC/C(=C/c2cccc(Br)c2)CC1(O)Cn1cncn1
ZINC39458383	CSc1ccnc2c1C(=O)CCc1c(Cl)c(C)n(-c3ccccc3O)c1-2
ZINC39505957	O=S(=O)(c1ccccc1)C1CCC2(CC(c3ccccc3O)CN2Cl)C1
ZINC41126634	O=C(Nc1ccccc1Br)c1cc2c(cc1Br)OCCO2
ZINC43317434	CC1c2cccn2CCN1C(=O)Nc1cccc(I)c1
ZINC43736209	CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(O)CCC4(C)C3CCC21C
ZINC43764197	CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C3CC3OC32C(C)O)C1
ZINC45354968	CC(C)(C)C(=O)N1CCC(C(=O)Nc2cccc(I)c2)CC1
ZINC46864003	CC1CCCC(NC(=O)C2CCCN(C(=O)c3ccc(Cl)c(Cl)c3)C2)C1
ZINC51673153	Cc1cc(N2CCSCC2)ccc1NC(=O)N1CCCC1c1ccsc1
ZINC29463501	N=c1sc(-c2ccccn2)nn1-c1c(Cl)cc(C(F)(F)F)cc1Cl
ZINC04143936	COc1ccc(/N=C/C2Nc3ccc(Br)c(Cl)c3C2=O)cc1
ZINC59350745	O=C(c1cc2c(F)cccc2s1)N1CCC(c2c[nH]c3ncccc23)CC1
ZINC16008858	CCc1cc(C(=O)Nc2cc3c(cc2Br)OCCO3)sc1C
ZINC64328421	Cc1cccc(C(=O)Nc2cnc(C(C)(C)C)nc2)c1I
ZINC64858497	O=C(c1cccc(F)c1)N1CCC2(CC1)Nc1ccc(Cl)cc1-n1cccc12
ZINC64858668	O=C(Cc1cccc(F)c1)N1CCC2(CC1)Nc1ccccc1-n1cccc12
ZINC67063823	O=C(NCc1cc(Br)cs1)N1CCOC(c2ccccc2F)C1
ZINC67066022	C=C(Br)CNC(=O)N1CCOC(c2ccc(Cl)c(Cl)c2)C1
ZINC67066023	C=C(Br)CNC(=O)N1CCOC(c2ccc(Cl)c(Cl)c2)C1
ZINC03130752	CN(C)C(=O)NC(NC(=S)Nc1cccc2ccccc12)C(Cl)(Cl)Cl
ZINC05218509	COc1cc(C2Nc3cc(C)ccc3NC3=C2C(=O)CC(C)(C)C3)cc(OC)c1O
ZINC08431460	COc1cc(C2(c3ccc(O)c(OC)c3)C(=O)Nc3c(Br)cc(C)cc32)ccc1O
ZINC02247497	Nc1c(C(=O)NC2CCCC2)c2nc3ccccc3nc2n1-c1ccc(Br)cc1
ZINC09836199	CC1CCCC(NC(=O)C2(O)c3cc(Br)ccc3NC(=O)N2c2ccccc2)C1C
ZINC12403355	O=C(COc1ccc2ccccc2c1Br)NNC(=O)NC1CCCCC1
ZINC01086201	Cc1n[nH]c2c1C(c1cc(Cl)ccc1OCc1cccc3ccccc13)C(C#N)=C(N)O2
ZINC06728487	Cc1cc(C)c(C2C(C#N)=C(N)Oc3[nH]nc(C)c32)cc1COc1ccccc1Cl
ZINC04331416	CCSc1nc(N)c2c(n1)NC1=C(C(=O)CC(C)(C)C1)C2c1ccc(N(C)C)cc1
ZINC13629104	CCOc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCC(C)C3)cc1Br
ZINC13639942	CN(c1ccccc1)S(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC13640415	CCN(C(=O)c1cccc2c1NC(c1ccc(O)cc1O)C1CC=CC21)c1ccccc1
ZINC14461031	CCCNS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1cc(Br)ccc1O)N2
ZINC14544937	CCOc1ccc(NC(=O)c2cccc3c2NC(c2c[nH]c4ccccc24)C2CC=CC32)cc1
ZINC14544938	CCOc1ccc(NC(=O)c2cccc3c2NC(c2c[nH]c4ccccc24)C2CC=CC32)cc1
ZINC14954366	CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc(Cl)c(Cl)c2)CC(=O)N1
ZINC16004373	NC(=O)c1c(NC(=O)COc2cc(Cl)c(Cl)cc2Cl)sc2c1CCC2
ZINC20885933	COc1ccc(OC)c(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cccc(O)c2)c1
ZINC21235741	COc1cccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cccc(OC)c2O)c1
ZINC21254752	COc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(N(C)C)cc2)C3)cc1O
ZINC21259600	COc1cc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccccc2OC)C3)ccc1O
ZINC31817651	N#CC1=C(N)N(c2ccc(Cl)cn2)C2=C(C(=O)CCC2)C1c1ccc2[nH]ccc2c1
ZINC32529607	Cc1cc(C)c2nc(SCCC(=O)Nc3sc(C)c(C)c3C(N)=O)cc(C)c2c1
ZINC01984271	CCc1ccc(OCC(=O)Nc2sc3c(c2C(N)=O)CCC(C)C3)c(Br)c1
ZINC35450261	CCC(C)Sc1nc2c(c(=O)[nH]1)C(c1ccc(O)cc1)C1=C(CC(C)(C)CC1=O)N2
ZINC35450271	CCC(C)Sc1nc2c(c(=O)[nH]1)C(c1ccc(O)cc1)C1=C(CC(C)(C)CC1=O)N2
ZINC24535293	CC(Sc1nc(N)c2ccsc2n1)c1nc2scc(-c3cccs3)c2c(=O)[nH]1
ZINC36743185	CC1CCCCN1S(=O)(=O)Nc1c(N)cc(Br)cc1Br
ZINC36743186	CC1CCCN(S(=O)(=O)Nc2c(N)cc(Br)cc2Br)C1
ZINC37063969	Cc1cc/c(=N/S(=O)(=O)c2c(N)cc(Br)cc2Br)[nH]c1
ZINC00670755	CC(C)(C)C1CCc2c(sc(NC(=O)c3cc4ccccc4c(=O)o3)c2C(N)=O)C1
ZINC31157739	CC1=C(C)C(=O)OC(C(C)(O)C2(O)CCC3(O)C4CC=C5CC=CC(=O)C5(C)C4CCC32C)C1
ZINC39237479	CCc1sc(C2C(C#N)=C(N)OC3NN=C(C)C32)cc1COc1ccccc1Cl
ZINC39464297	O=P1(c2ccccc2O)NN2CCc3cc(-c4ccccc4O)c(Cl)cc3C2CO1
ZINC39545291	O=C(C1CC(c2ccccc2O)=C2Nc3ccccc3C[NH+]21)N(Br)c1ccccc1
ZINC05705855	CC1(C)CCCC2(C)C1CCC(C)(O)C2CC(=O)N/N=C1\C(=O)Nc2ccccc21
ZINC06856694	CCCCSc1nc2c(c(=O)[nH]1)C(c1ccc(O)cc1)C1=C(CC(C)(C)CC1=O)N2
