ZINC04717953	CC1(C(=O)[O-])CCC(C(=O)N2CCCC2)C1(C)C
ZINC43292651	CC([NH3+])C([NH+]1CCCC(O)C1)C(C)(C)C
ZINC43294077	CNC(=O)C1CCCC[NH+]1C(C(C)[NH3+])C(C)(C)C
ZINC43364306	Cc1ccc(C(C(C)[NH3+])[NH+]2CCCC(O)C2)o1
ZINC43364313	CCC([NH3+])C(c1ccc(C)o1)[NH+]1CCCC(O)C1
ZINC43364601	Cc1ccc(C(C(C)[NH3+])[NH+]2CCCCC2CO)o1
ZINC49568214	NC(=O)C[NH2+]C1CC[NH+]2CCCC12
ZINC50090176	C[NH+](CCCCO)C1(C[NH3+])CCCC1
ZINC50247018	C#CCNC(=O)C[NH+]1CCC(C[NH3+])C1
ZINC50269949	C[NH2+]C(C[NH3+])c1cc(Cl)c2c(c1)OCCCO2
ZINC50270421	CCC[NH2+]C1(C[NH3+])CCC(C)CC1
ZINC50271310	[NH3+]CC([NH2+]C1CC1)c1ccc(Cl)s1
ZINC50287375	CC(C)[NH2+]C(C[NH3+])c1ccc2c(c1)CCN2C
ZINC50465303	C[NH+](C)C(C)(C)CNC(=O)C1CC1[NH3+]
ZINC51205925	[NH3+]CC1(C[NH+]2CCC(CO)CC2)CCOC1
ZINC51257057	[NH3+]CC1(C[NH+]2CCCC(O)C2)CCCCC1
ZINC51694407	COC1CCCCC1[NH2+]C1CCC([NH3+])CC1
ZINC51817211	Cc1ccc(C(C(C)[NH3+])[NH+](C)CC(C)O)s1
ZINC51817219	CCC([NH3+])C(c1ccc(C)s1)[NH+](C)CC(C)O
ZINC52180478	[NH3+]CC1(C[NH+]2CCC(CO)CC2)CCOCC1
ZINC53859400	[NH3+]C1CCCCC1C[NH+]1CCCC(O)C1
ZINC53860620	[NH3+]C1CCCCCC1C[NH+]1CCC(O)CC1
ZINC53877464	CCC1CCC([NH3+])C(C[NH+]2CCCC(O)C2)C1
ZINC54345885	CC(C[NH3+])C[NH2+]C(C1CC1)C1CC1
ZINC55087869	CC[NH+]1CCC(CNC(=O)C2CCCCC2[NH3+])C1
ZINC55130401	CC1CCCC(C(=O)NCC2CC[NH+](C)C2)C1[NH3+]
ZINC55130425	C[NH+]1CCC(CNC(=O)CC2CCCC([NH3+])C2)C1
ZINC55141683	CC1CCC(C(=O)NCC(C)(C)[NH+](C)C)CC1[NH3+]
ZINC55141701	CC1C([NH3+])CCCC1C(=O)NCC(C)(C)[NH+](C)C
ZINC55141705	CC1C([NH3+])CCCC1C(=O)NCC(C)(C)[NH+](C)C
ZINC55141715	CC1CCCC(C(=O)NCC(C)(C)[NH+](C)C)C1[NH3+]
ZINC55162492	C[NH+]1CCCC(CNC(=O)C2CCC(C[NH3+])CC2)C1
ZINC61711448	[NH3+]CC#Cc1csc(C[NH+]2CCC(O)C2)c1
ZINC61711449	[NH3+]CC#Cc1csc(C[NH+]2CCC(O)C2)c1
ZINC61711837	CCCC(C)(C[NH3+])C[NH+]1CCC(O)C1
ZINC11730962	CC(O)C(CO)[NH+]1Cc2cccc(N)c2C1
ZINC20216927	COc1cc(C(O)C(C)[NH3+])ccc1O
ZINC20370409	NC(=O)C1CCCN(c2cc[nH+]cc2N)C1
ZINC37020548	CC([NH3+])C(=O)Nc1cc2c(cc1Cl)NC(=O)C2
ZINC37031330	CC([NH3+])C(=O)Nc1ccc2c(c1)NC(=O)CS2
ZINC36678004	CC(C[NH+]1CCCC1C(N)=O)C(N)=S
ZINC37478858	CC([NH3+])(C(=O)N1CCCC1C(N)=O)C1CC1
ZINC37482060	CCC(CO)NC(=O)C1CCC([NH3+])CC1
ZINC37552742	CC(C)(C)NC(=O)Nc1ncc(C#CC[NH3+])s1
ZINC37799395	CC(C)C([NH3+])C(=O)N1CCCCC1C(N)=O
ZINC38006536	[NH3+]C1(C(=O)NCc2cn[nH]c2)CCCC1
ZINC38049123	[NH3+]C1CCCCC1NC(=O)c1ccc2[nH]cnc2c1
ZINC39096812	[NH3+]CCC1OC(=O)c2c1ccc(O)c2O
ZINC40464443	CC(C)(C)C([NH3+])C(=O)N1CCCCC1C(N)=O
ZINC40923981	CC1CCC(C(N)=O)CN1C(=O)C(C)(C)[NH3+]
ZINC42405060	CC(CC(N)=S)[NH+]1CCCCC1C(N)=O
ZINC42414796	[NH3+]C1CCC(C(=O)Nc2cc[nH]n2)CC1
ZINC42427607	NC(=O)CN(C1CCCC1)C(C[NH3+])C(F)(F)F
ZINC42428922	CCC(CC(N)=S)[NH+]1CC(C(N)=O)CCC1C
ZINC42429172	[NH3+]CC[NH2+]C1(C(=O)[O-])CCSc2ccccc21
ZINC42431663	[NH3+]C1CCCCC1[NH2+]C1(C(=O)[O-])CCCCCC1
ZINC42431676	CC(C)CCC(C)([NH2+]C1CCCCC1[NH3+])C(=O)[O-]
ZINC43376548	CC([NH3+])C(N1CCC(C(N)=O)CC1)C(F)(F)F
ZINC43514492	CC(C(N)=S)[NH+]1CCCCC1C(N)=O
ZINC43586727	Nc1nc(CCC2CCC[NH2+]C2)n[nH]1
ZINC44232131	CCN(CC)c1ccc(C([NH3+])CCO)c(O)c1
ZINC44232154	[NH3+]C(CCO)c1cc(Br)ccc1O
ZINC44472966	NC(C[NH3+])C1(c2ccccc2)CCOCC1
ZINC44475087	CCOc1c(Cl)cc(C(N)C[NH3+])cc1C(C)C
ZINC44475229	CCCOc1c(Cl)cc(F)cc1C(N)C[NH3+]
ZINC44475235	CCCOc1c(F)cc(C(N)C[NH3+])cc1Cl
ZINC45437361	CC([NH3+])(Cn1cc(Br)cn1)C(N)=O
ZINC49219150	CC(C)C(C[NH+](C)C)NC(=S)NN
ZINC50458729	Cc1n[nH]c(C)c1NC(=O)C1CC1[NH3+]
ZINC50461840	NC(=O)C1CCCCN1C(=O)C1CC1[NH3+]
ZINC51891166	Nc1cc(=O)[nH]c(SCC2CC[NH2+]C2)n1
ZINC40431758	NC(=O)C1CCC[NH+](C2CCCCC2N)C1
ZINC55085763	NC(=O)C1CCN(C(=O)C2CCCCC2[NH3+])CC1
ZINC55125843	CC1CCC(C(=O)N2CCCC2C(N)=O)CC1[NH3+]
ZINC55125845	CC1CCC(C(=O)N2CCCC2C(N)=O)CC1[NH3+]
ZINC55126581	CNC(=O)CNC(=O)C1CCC([NH3+])C(C)C1
ZINC40695025	CC1CCC(C[NH3+])C(N(CCO)CCO)C1
ZINC62776048	[NH3+]C(c1cn[nH]c1)c1ccc2c(c1)CCCC(=O)N2
ZINC62778127	[NH3+]C1CCCCC1NC(=O)c1cc[nH]n1
ZINC62778289	[NH3+]CC#Cc1ccc(NC(=O)c2cn[nH]c2)c(F)c1
ZINC62846004	CCC1(c2n[nH]c(N)n2)CC[NH2+]CC1
ZINC62858952	CC1(C(=O)NC(C)(C)C(N)=O)CCC[NH2+]C1
ZINC63210031	[NH3+]C1CCCCCC1NC(=O)c1cc[nH]n1
ZINC63210848	[NH3+]C1CCCCCC1NC(=O)c1cn[nH]c1
ZINC66345960	CC(=O)NC([NH3+])C1Cc2ccc(O)cc2O1
ZINC03847469	COc1cc2c(cc1O)C(CCc1ccc(O)cc1)[NH+](C)CC2
ZINC02391903	[NH3+]CC1CCN(C(=O)OCC2c3ccccc3-c3ccccc32)CC1
ZINC04969075	O=C(C[NH2+]CC1CCCO1)Nc1ccccc1-c1ccccc1
ZINC19754647	CCCOc1ccc(-c2nc3scc(CC[NH3+])n3c2C)cc1
ZINC20992111	OCCC1C[NH+](Cc2c[nH]c3ccccc23)CCN1C1CCCCC1
ZINC26441709	O=C(CSC1=[NH+]CCN1)Nc1c(Cl)cc(Cl)cc1Cl
ZINC31972740	C=C(C)COc1ccc(-c2csc3ncc(CC[NH3+])n23)cc1
ZINC31972879	CCCOc1ccc(-c2nc3sc(C)cn3c2CC[NH3+])cc1
ZINC32229622	Cc1ccc(C)c(OC(C[NH3+])c2ccc3c(c2)OCCO3)c1C
ZINC32229663	Cc1ccc(C)c(OC(CC[NH3+])c2ccc3c(c2)OCCO3)c1
ZINC33457032	Cc1ccc(C(C)(C)C)c(OC(C)C(=O)N2CCC([NH3+])CC2)c1
ZINC33457036	Cc1ccc(OC(C)C(=O)N2CCC([NH3+])CC2)c(C(C)(C)C)c1
ZINC33457052	CC(C)(Oc1ccccc1C(C)(C)C)C(=O)N1CCC([NH3+])CC1
ZINC33457067	Cc1cc(C)c(C)c(OC(C(=O)N2CCC([NH3+])CC2)C(C)C)c1
ZINC34669221	CCC[NH2+]C(C)c1c(F)cccc1Sc1nccc(=O)[nH]1
ZINC34788561	CCCCNC1=[NH+]C(SC)Nc2sc3c(c21)CC(C)(C)OC3
ZINC35430486	[NH3+]Cc1c(Oc2ccccc2C(F)(F)F)nc2sccn12
ZINC35549867	CC[NH2+]C(c1ccc2c(c1)CC(=O)N2)c1ccc(Br)o1
ZINC10434238	CC1(C)CC(O)CC(C)(C)[NH+]1CC(O)COC1CCCCC1
ZINC36794974	CCNC(=O)C(C)[NH2+]C(C)c1cc2cc(Br)ccc2o1
ZINC36937661	COCCc1[nH+]n(C)c(N)c1-c1ccc(Br)cc1
ZINC37224780	CNC(=O)C[NH2+]C(C)c1cc2cc(Br)ccc2o1
ZINC37729026	CCC([NH3+])Cc1cc(Cl)cc(Cl)c1OCc1cnoc1
ZINC38116672	CCC(C)[NH2+]C(CO)c1cc(Br)c2c(c1)OCO2
ZINC40225536	CCCc1ccc(S(=O)(=O)NC2CCC([NH2+]C)CC2)cc1
ZINC41165428	OC(CC[NH+]1CCCCCC1)c1cc2cn[nH]c2cc1Cl
ZINC41165689	CC1CCCC[NH+]1CCC(O)c1ccc2[nH]ncc2c1Cl
ZINC41566078	COc1ccc(C(C[NH3+])Cc2ccc3c(c2)OCCO3)cc1C
ZINC42880426	Oc1cc2c(cc1C[NH2+]Cc1ccccc1Br)OCO2
ZINC42948774	[NH3+]CC(OCc1ccc2c(c1)OCO2)c1ccc(Cl)cc1
ZINC43234458	CC([NH3+])C(Oc1cc(Cl)c(Cl)cc1Cl)c1cnn(C)c1
ZINC43257200	CC([NH3+])C(Sc1nnc2n1CCCCC2)c1ccc(Cl)s1
ZINC43264844	[NH3+]CC(Oc1ccc2c(c1)OCO2)c1ccc(Br)s1
ZINC44282264	COc1ccc(-c2nc3ccc(Cl)cn3c2CCC[NH3+])cc1
ZINC44881427	O=S(=O)(CC1CCCC[NH2+]1)Nc1ccc2ccccc2c1
ZINC49010624	CCN(CCOC)c1c(N)c[nH+]c2ccc(Br)cc12
ZINC54184877	CCC([NH3+])Cc1noc(-c2cc(Br)ccc2Cl)n1
ZINC54200370	Cc1ccc2ccc(C(Nc3cc[nH+]cc3)c3ccccc3)c(O)c2n1
ZINC54999410	CCN(Cc1ccncc1)c1nc(C(C)(C)C)c(C[NH3+])s1
ZINC57789804	CC1(C)CN(CCOCC[NH3+])c2cc(C(C)(C)C)ccc2O1
ZINC57805126	[NH3+]CCCn1c(-c2cccnc2)nc2cc(Cl)c(Cl)cc21
ZINC61298801	CC[NH2+]C(C)(C)C(=O)Nc1sc2c(c1C#N)CCC(C)C2
ZINC61405776	CC([NH3+])C(Sc1nnc2ccccn12)c1ccc(Cl)cc1
ZINC62661304	Cn1cc(C(=O)C[NH2+]CCc2c[nH]c3ccccc23)c2ccccc21
ZINC63237299	O=C(NCCC1=c2ccccc2=[NH+]C1)C12CC3CC(CC(O)(C3)C1)C2
ZINC63760956	CCSC1NNC(CSC2=c3ccccc3=[NH+]C2C)N1C
ZINC19839454	OCc1ccc(CNC2CCC[NH+](CC3CCCCC3)C2)o1
ZINC45305188	O=C(NCC1CC[NH+](CC(F)(F)F)C1)NC1CCc2ccccc21
ZINC66586633	CC(O)C[NH2+]Cc1cn(C(C)(C)C)nc1-c1ccccc1Cl
ZINC67459002	Cc1ccccc1-c1cc(O)c2c(c1)C[NH+](CCCCO)CCO2
ZINC04305263	Cc1cc(C)c(C)c(OCC(O)C[NH+]2C(C)(C)CC(O)CC2(C)C)c1
ZINC04729844	CCCC1(C)N=C(c2ccc(OCC)cc2)CC(c2ccccc2O)[NH2+]1
ZINC04827859	CC1(NC(=O)C[NH+]2CCCCC2)CCCCC1c1ccc(O)cc1
ZINC05488666	NC(=O)C1C(c2ccccc2)C(C(=O)c2ccccc2)C2C=CC=C[NH+]21
ZINC00086371	Oc1c(C(Nc2cccc[nH+]2)c2ccc(F)cc2)ccc2cccnc12
ZINC00093620	CCOc1cc2c(cc1OCC)C(c1ccc(O)c(Cl)c1)[NH2+]CC2
ZINC00571513	Cc1ccc2c(c1)c1c(n2CC(O)C[NH2+]Cc2ccco2)CCCC1
ZINC00093622	CCOc1cc2c(cc1OCC)C(c1ccc(O)c(Cl)c1)[NH2+]CC2
ZINC11737528	COc1ccc(-c2cc(C([NH3+])c3cccn3C)c3ccccc3n2)cc1
ZINC11869575	Oc1ccc(-c2cnccn2)cc1C[NH2+]C12CC3CC(CC(C3)C1)C2
ZINC12362800	CCC(C[NH+]1CCCC1)NC(=O)Cc1c(C)[nH]c2c(C)cc(C)cc12
ZINC12759270	Cc1c(-c2ccccc2F)[nH]c2ccc(C[NH2+]Cc3cnn(C)c3)cc12
ZINC12302086	Cc1ccc(-c2n[nH]cc2C[NH2+]C(C)Cc2ncccc2C)cc1C
ZINC14138892	Cc1ccccc1C(C)[NH2+]C(C)c1nc2sc(C)c(C)c2c(=O)[nH]1
ZINC14138893	Cc1ccccc1C(C)[NH2+]C(C)c1nc2sc(C)c(C)c2c(=O)[nH]1
ZINC25329875	C[NH+](C)C(CNC(=O)c1cc2ccccc2cc1O)c1ccsc1
ZINC25535954	CC(C)C(CNC(=O)c1ccccc1O)[NH+]1CCc2ccccc2C1
ZINC31932948	C=C(C)COc1ccc(-c2nc3c(C)cccn3c2C(C)C[NH3+])cc1
ZINC31934745	C=CC[NH2+]Cc1nc2sc3c(c2c(=O)[nH]1)CCC(C(C)(C)C)C3
ZINC35031474	CC1CC(OCC(O)C[NH+]2C(C)(C)CC(O)CC2(C)C)CC(C)(C)C1
ZINC35556694	CC[NH2+]C(c1ccc(Br)cc1)c1ccc2[nH]c(=O)oc2c1
ZINC36154335	O=c1[nH]c(C[NH2+]C2CCCCC2)nc2scc(-c3ccccc3F)c12
ZINC37330763	[NH3+]C(c1ccccc1)c1nc(Cc2ccc(Br)cc2)no1
ZINC00086493	Cc1ccc(C(Nc2cccc[nH+]2)c2ccc3cccnc3c2O)cc1
ZINC15961895	c1ccc(-c2ccc(-c3n[nH]cc3C[NH2+]CC3CCCCO3)cc2)cc1
ZINC03103767	Clc1ccc(-c2csc(NNC3=[NH+]CCCCC3)n2)cc1
ZINC38320358	CC(C)CC[NH2+]C(C)c1nc2scc(-c3ccccc3)c2c(=O)[nH]1
ZINC23359274	OCCC1CN(Cc2c(O)ccc3ccccc23)CC[NH+]1C1CCCC1
ZINC39499941	CC(C)CC1c2[nH]c3ccccc3c2CC[NH+]1Cc1ccc(CO)o1
ZINC39734337	CCCCN1CC[NH+]=C1C(O)(c1c[nH]c2ccccc12)C(F)(F)F
ZINC39951343	CCCC12CCN3CC(CCC)(C[NH+](C1)C3c1ccc(O)cc1)C2O
ZINC40356465	O=C(NC1CCC(Nc2cc[nH+]c3cc(Cl)ccc23)CC1)C1CC1
ZINC41141709	CCCOc1ccc(-n2nc(C[NH3+])cc2-c2ccc(C)cc2)cc1
ZINC41142032	CCCOc1ccc(-n2nc(C[NH3+])cc2-c2ccc(F)cc2)cc1
ZINC42370111	COCCN(CC(C)C)c1c(N)c[nH+]c2ccc(Br)cc12
ZINC43560518	[NH3+]CC1(Cc2nc(-c3ccccc3Br)no2)CCCCC1
ZINC44402511	CCC([NH3+])Cc1c(C(F)(F)F)nn(C)c1Oc1ccc(C)cc1
ZINC46437696	CCc1cc2oc(=O)cc(CS/C(N)=[NH+]/CC(C)C)c2cc1Cl
ZINC46543707	Cc1ccc2cc(C(=O)NCC(c3ccccc3)[NH+]3CCCC3)[nH]c2c1
ZINC48446931	CC1CCC[NH+](C(C)CNC(=O)NC2CCCC(C(F)(F)F)C2)C1
ZINC49750942	O=C(C[NH+]1CCCCC1CO)Nc1cc(Cl)c(Cl)cc1Cl
ZINC13600652	CC(NC(=S)Nc1ccc(N2CCCCC2)[nH+]c1)C(C)(C)C
ZINC13600650	CC(NC(=S)Nc1ccc(N2CCCCC2)[nH+]c1)C(C)(C)C
ZINC57742778	[NH3+]CC(Cc1ccc([N+](=O)[O-])cc1)c1ccc(Cl)cc1Cl
ZINC57790562	CCC([NH3+])CN1C(=O)C(C(C)C)Oc2ccc(C(C)(C)C)cc21
ZINC58084700	CC1CCCCC1[NH2+]CCc1nc2sc3c(c2c(=O)[nH]1)CCCC3
ZINC61405915	CCC([NH3+])C(Sc1nnc2ccccn12)c1ccc(Cl)s1
ZINC65441840	CC(C)C(NC(=O)NCC1CC[NH+](C(C)C)C1)c1ccc(F)cc1
ZINC67010540	CNS(=O)(=O)c1cccc(C(C)[NH2+]Cc2cc(C)c(C)cc2C)c1
ZINC67011534	COc1nc(C)cc(C)c1C[NH2+]Cc1cc(Cl)cc(Cl)c1O
ZINC05949539	[NH3+]CCN(CC[NH3+])n1cncn1
ZINC33609094	CC1CCC([NH3+])CC1CC1CCC([NH3+])CC1
ZINC37050001	CN(CCC[NH3+])C(=O)CC[NH+]1CCCC(C(N)=O)C1
ZINC37158910	NC(=O)C1CCC[NH+]1C1CCCCC1C[NH3+]
ZINC36678365	CC(C[NH+]1CCCCC1CCO)C(N)=[NH2+]
ZINC37744294	C[NH+]1CCC(C[NH3+])(NS(=O)(=O)c2cn[nH]c2)CC1
ZINC01193988	NC(=O)C[NH+]1CCOCC[NH+](CC(N)=O)CCOCC1
ZINC38645743	[NH3+]CC1OC(=O)CCC(=O)OC(C[NH3+])c2ccc1cc2
ZINC38645745	[NH3+]CC1OC(=O)CCC(=O)OC(C[NH3+])c2ccc1cc2
ZINC38647324	NC1=[NH+]C(=O)CN1CCCCN1CC(=O)[NH+]=C1N
ZINC39113612	[NH3+]CCNCC1CNCC[NH2+]1
ZINC40989201	C[NH+](CC(N)=O)C1CCCC1[NH3+]
ZINC41042496	CC(CC[NH3+])[NH+]1CCCC(C(N)=O)C1
ZINC42428340	CC(C[NH3+])C[NH+]1CCC(CC(N)=O)CC1
ZINC42966794	Cc1cccc(C(C(C)[NH3+])[NH+](CCO)CCO)c1
ZINC43250400	CC([NH3+])c1nc(C(=O)NC2CC(C)(C)[NH2+]C(C)(C)C2)cs1
ZINC44373103	[NH3+]CCc1ccc(F)c(CC[NH3+])c1F
ZINC44461451	CC([NH3+])CC(Cl)CC(C)[NH3+]
ZINC44530475	CC(=O)NNC(=O)C[NH+]1CCCC(C[NH3+])C1
ZINC44558749	CC(=O)NNC(=O)C[NH+]1CCCCC1C[NH3+]
ZINC45227061	CC1CCCC[NH+]1CCC(C)([NH3+])C(N)=O
ZINC45274796	CC([NH+](C)CCC(C)([NH3+])C(N)=O)C(C)(C)C
ZINC45419954	C[NH+](CCCC(C)([NH3+])C(N)=O)CC1CC1
ZINC45426516	CC(C)C[NH+](CCCC(C)([NH3+])C(N)=O)C(C)C
ZINC45430227	CC(C)c1[nH+]ccn1CCCCC(C)([NH3+])C(N)=O
ZINC48249864	CC(CC(N)=[NH2+])[NH+]1CCCCC1CCO
ZINC50243135	NC(=O)C1CCCN(C(=O)C[NH+]2CCC([NH3+])C2)C1
ZINC50243439	CC(=O)NNC(=O)C[NH+]1CCC([NH3+])C1
ZINC50243907	CC(C(N)=O)[NH+]1CCC([NH3+])C1
ZINC50463303	NC(=O)C[NH+]1CCCN(C(=O)C2CC2[NH3+])CC1
ZINC50523592	[NH3+]CC[NH2+]CC(O)c1cc(Cl)ccc1Cl
ZINC50814694	Cc1[nH+]n(C)c(N)c1C[NH+](CCO)CCO
ZINC51016153	CC1CCC(C(N)=O)C[NH+]1CC1(O)CC[NH2+]CC1
ZINC52594833	NC(=N\O)/[NH+]=N/C1=c2cc(F)ccc2=[NH+]C1O
ZINC57840607	CCCNC(=O)C[NH+]1CCC2(CC1)NC(=O)N(CC[NH3+])C2=O
ZINC57841694	[NH3+]CCCCN1C(=O)NC2(CC[NH+](CCCO)CC2)C1=O
ZINC57845828	CC(C[NH3+])N1C(=O)NC2(CC[NH+](CCO)CC2)C1=O
ZINC57849049	C[NH+]1CCC2(CC1)NC(=O)N(CCC(=O)NCC[NH3+])C2=O
ZINC19366314	[NH3+]CC[NH2+]CC(O)c1ccccc1
ZINC61271115	NC(=O)C[NH+]1CCC(NC(=O)C[NH+]2CCCNCC2)CC1
ZINC61806199	[NH3+]CCN(CC[NH3+])CC1CC1
ZINC61806584	[NH3+]CCN(CC[NH3+])c1ccc(Cl)cn1
ZINC61806668	[NH3+]CCN(CC[NH3+])c1ccncn1
ZINC61860040	Cc1ccnc(N(CC[NH3+])CC[NH3+])n1
ZINC62534067	NC(=O)C([NH3+])CCN1CCn2cc[nH+]c2C1
ZINC63053253	CN(CC[NH+]1CCCC1)CC(C)([NH3+])C(N)=O
ZINC63179828	COCCNC(=O)C[NH+]1CCCC(C(=O)NCC[NH3+])C1
ZINC63180489	CCOC(=O)NC(=O)C[NH+]1CCCC(C(=O)NCC[NH3+])C1
ZINC63180504	COC(=O)NC(=O)C[NH+]1CCCC(C(=O)NCC[NH3+])C1
ZINC65357133	N/C(=[NH+]\N=C\C1=c2ccccc2=[NH+]C1)c1nonc1N
ZINC04724944	Oc1cc2c(cc1O)C(c1ccccc1O)[NH2+]CC2
ZINC03871389	CCOc1ccc2[nH+]c3cc(N)ccc3c(N)c2c1
ZINC19842724	CCOc1ccccc1C([NH3+])c1ccc2[nH]c(=O)[nH]c2c1
ZINC19842870	[NH3+]C(c1ccc(F)c(F)c1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC19842887	COc1cc(C([NH3+])c2ccc3[nH]c(=O)[nH]c3c2)ccc1C
ZINC20039568	CC([NH2+]CC(=O)NC(N)=O)C12CC3CC(CC(C3)C1)C2
ZINC20268450	[NH3+]CC(Cc1ccc(O)cc1)c1c[nH]c2ccccc12
ZINC22145841	Oc1ccc(C([NH2+]C2CC2)c2ccccc2)c(O)c1O
ZINC36263527	[NH3+]C1CC(NC(=O)Nc2ccc(Cl)c(Cl)c2)C1
ZINC37000397	CNC(=O)C(CC(C)C)NC(=O)C1([NH3+])CCCCC1
ZINC37232533	CC1(C)CC([NH2+]C2CCN(C(N)=O)CC2)CC(C)(C)N1
ZINC37550627	[NH3+]CC#Cc1cnc(NC(=O)c2cc(Cl)ccc2O)s1
ZINC37552204	[NH3+]CC#Cc1cccc(NC(=O)c2ccc(Cl)cc2O)n1
ZINC37552724	[NH3+]CC#Cc1cnc(NC(=O)Nc2ccc(F)cc2F)s1
ZINC37615649	CC([NH3+])(C(=O)Nc1ccc(-c2cc[nH]n2)cc1)C1CC1
ZINC37616642	[NH3+]C1(C(=O)Nc2cccc3c(O)cccc23)CCCC1
ZINC37643826	CC[NH+]1CCC(CNc2cc3c(cc2N)NC(=O)CC3)C1
ZINC00057262	CC(C)(C)[NH2+]CC(O)c1cc(Cl)c(N)c(Cl)c1
ZINC38040997	Cc1cc(S(N)(=O)=O)cc(NC2CC[NH2+]CC2)c1C
ZINC40675466	CC(C)(NC(=O)C1CC2CCCCC2[NH2+]1)C(N)=O
ZINC40829278	CC([NH3+])CC(=O)Nc1ccc2[nH]c(C(C)(C)C)nc2c1
ZINC40999213	Nc1[nH][nH+]cc1Nc1ccc(Br)cc1
ZINC41027261	C[NH2+]C(C)c1ccccc1Sc1nc(N)cc(=O)[nH]1
ZINC42429286	CC([NH2+]CC[NH3+])(C(=O)[O-])c1cc(F)c(Cl)cc1Cl
ZINC42871871	Cc1[nH]c(Nc2ccc(Br)cc2F)c(N)[nH+]1
ZINC43639737	CCc1ccc(C([NH3+])c2ccc3[nH]c(=O)[nH]c3c2)s1
ZINC43769282	Cc1ccc(C/C(N)=[NH+]/NC(=O)OC(C)(C)C)cc1
ZINC44464078	[NH3+]C(CO)Cc1c(-c2ccc(Cl)cc2)[nH]c2ccccc12
ZINC44493370	NC(=O)c1cc2c(nc1NCC1CCCC[NH2+]1)CCCC2
ZINC45066823	Cc1ccc(O)c2c1C(C)CC2[NH2+]CCCS(N)(=O)=O
ZINC45118671	CC(C)[NH+]1CCC(CNc2cc3c(cc2N)CC(=O)N3)C1
ZINC48840201	[NH3+]C1CCCCC1Nc1c(C(=O)[O-])c[nH+]c2ccccc12
ZINC48857699	NC(=S)c1ccccc1NC(=O)C[NH+]1CCCCC1CO
ZINC49152409	CC(C[NH+]1CCCC1)Nc1cc2c(cc1N)CCC(=O)N2
ZINC51848037	Cc1cc2nc(-c3c[nH]c(C4([NH3+])CCC4)n3)[nH]c2cc1C
ZINC52838911	CCc1[nH+]c(-c2ccc(OC(C)C)cc2)c(N)n1N
ZINC52839689	CC(C)(C)c1[nH+]c(-c2ccc(OC(F)F)cc2)c(N)n1N
ZINC52858568	NC(=O)c1cc(Cl)ccc1N1CC2CCC([NH3+])CC2C1
ZINC53035919	Cc1ccc(CNc2cc3c(cc2[NH3+])CCC(=O)N3)o1
ZINC53114892	CC1CCCC(CO)(Nc2ccc(N)c3c[nH+]ccc23)C1
ZINC54376477	CC([NH2+]Cc1cccc(O)c1O)c1nc2ccccc2[nH]1
ZINC57218458	Nc1ccccc1NC(=O)C1CCC2CCCCC2[NH2+]1
ZINC58019543	CC1(C)CC2CC(C)(C[NH+]2Cc2ccc(C(N)=O)cc2N)C1
ZINC61668797	COc1ccc(C([NH3+])c2ccc3[nH]c(=O)[nH]c3c2)cc1F
ZINC61882881	Cc1ccc(C(=O)NC2CCCC2C[NH3+])cc1O
ZINC18007956	NC(=S)/[NH+]=N/c1c(O)[nH]c2ccc(Br)cc12
ZINC18007956	NC(=S)N/N=C1\C(=O)Nc2ccc(Br)cc21
ZINC18007956	NC(=S)N/N=C1/C(=O)Nc2ccc(Br)cc21
ZINC63174545	[NH3+]C1CCCC1NC(=O)Nc1cccc2ccccc12
ZINC63174607	Cc1ccc(NC(=O)NC2CCCC2[NH3+])cc1Cl
ZINC63210782	[NH3+]C1CCCCCC1NC(=O)c1cc2ccccc2[nH]1
ZINC63211032	[NH3+]C1CCCCCC1NC(=O)c1ccc(O)c(Cl)c1
ZINC00425142	Cc1ccc(-n2c(N)c(C(N)=O)sc2=S)cc1C
ZINC00421677	Cc1cccc2cc3c(N)c(C(N)=O)sc3nc12
ZINC00046952	Cc1cc(C(F)(F)F)nc2oc(C(N)=S)c(N)c12
ZINC00207917	Cc1ccccc1C1C(C#N)=C(N)Oc2cc(N)ccc21
ZINC15423264	NC(=S)NNC(=O)c1ccc2ccccc2c1
ZINC00550052	CC(C)Cc1ccc2c(N)c(C(N)=O)sc2n1
ZINC19515987	NC(=O)c1ccc(COc2ccccc2N)c(F)c1
ZINC19691288	[O-]c1ccccc1C1[NH2+]CCc2cc(O)c(O)cc21
ZINC36744345	CCNC(=O)Nc1c(C)cc(Br)cc1N
ZINC36926858	CCC(C)Sc1ccc(S(N)(=O)=O)cc1N
ZINC37027416	Cc1cc(C(N)=O)ccc1NC1CCc2c(O)cccc21
ZINC37285376	CC1CCCC(OCc2ccc(C(N)=O)cc2N)C1
ZINC37754403	Nc1ccc(NC2CCC(O)CC2)c(C(F)(F)F)c1
ZINC00168352	NNC(=O)c1[nH]c2ccccc2c1-c1ccccc1
ZINC00899161	Oc1cc(O)cc(/C=C/c2ccc(O)cc2O)c1
ZINC19640646	CCc1ccc(C2C(C#N)=C(N)SC(N)=C2C#N)cc1
ZINC13600698	Nc1ccc(NC(=S)NC23CC4CC(CC(C4)C2)C3)cn1
ZINC40362269	CC(C)(C)NC(=O)NC(C(N)=S)C1CCCCC1
